content,主题概率,主题类型,情感类型,情感得分
goblogue virus country ,"[(0, 0.041755393), (1, 0.041754846), (2, 0.041885216), (3, 0.04175912), (4, 0.79113746), (5, 0.04170802)]",4,NEGATIVE,0.9954776167869568
gold medal olympics talk shit ,"[(0, 0.027872583), (1, 0.027862236), (2, 0.028243005), (3, 0.027888035), (4, 0.86024404), (5, 0.027890129)]",4,NEGATIVE,0.9985805749893188
gold ultimate dress ,"[(0, 0.041875545), (1, 0.043046266), (2, 0.04214026), (3, 0.04278968), (4, 0.04209537), (5, 0.7880529)]",5,POSITIVE,0.9996168613433838
golden kiwi ,"[(0, 0.72174233), (1, 0.055594884), (2, 0.05587749), (3, 0.05559529), (4, 0.05559432), (5, 0.05559569)]",0,POSITIVE,0.9994920492172241
golden rain ,"[(0, 0.72219473), (1, 0.055561047), (2, 0.055560984), (3, 0.055561107), (4, 0.055560973), (5, 0.055561155)]",0,POSITIVE,0.9996222257614136
goldfish pretending whale talk pramod ,"[(0, 0.8604716), (1, 0.027912777), (2, 0.027897898), (3, 0.028065765), (4, 0.027849583), (5, 0.027802348)]",0,NEGATIVE,0.9823344945907593
gong lijiao awesome ,"[(0, 0.04171096), (1, 0.270816), (2, 0.041866504), (3, 0.04173012), (4, 0.041764066), (5, 0.5621124)]",5,POSITIVE,0.9996887445449829
gongxi jiayou ,"[(0, 0.055620473), (1, 0.055620164), (2, 0.72189766), (3, 0.05562086), (4, 0.05561927), (5, 0.055621535)]",2,POSITIVE,0.7141223549842834
goodbye dear chinese hard boss ,"[(0, 0.028330727), (1, 0.85960937), (2, 0.027859325), (3, 0.02824045), (4, 0.028133519), (5, 0.027826592)]",1,NEGATIVE,0.8008165955543518
google search feel ignorance people fooled country shout virusvirus government shoe figure engine ratio ,"[(0, 0.9440014), (1, 0.011178334), (2, 0.011172674), (3, 0.011212764), (4, 0.011306485), (5, 0.011128385)]",0,NEGATIVE,0.9986157417297363
goood ,"[(0, 0.08344179), (1, 0.08344122), (2, 0.08343995), (3, 0.5827938), (4, 0.08343952), (5, 0.083443776)]",3,NEGATIVE,0.9943867921829224
goooooo ,"[(0, 0.083460584), (1, 0.5826984), (2, 0.08345853), (3, 0.083461486), (4, 0.08345803), (5, 0.08346296)]",1,NEUTRAL,0.5435553789138794
gorgeous ,"[(0, 0.08334206), (1, 0.08334194), (2, 0.08334184), (3, 0.58329016), (4, 0.083341844), (5, 0.08334214)]",3,POSITIVE,0.9998780488967896
gorilla strong lmao ,"[(0, 0.5865983), (1, 0.041859467), (2, 0.042510767), (3, 0.24513777), (4, 0.04219426), (5, 0.041699477)]",0,POSITIVE,0.995652437210083
government ,"[(0, 0.58031696), (1, 0.08369753), (2, 0.084382415), (3, 0.08374476), (4, 0.083978176), (5, 0.08388018)]",0,POSITIVE,0.9583137631416321
government china dark nowadays adjustment elimination time bribery issue nation simply strong ussr fail becuz care living eventually choice overthrow chinese satisfied happier priority poverty bread call democracy reflect western ,"[(3, 0.97279954)]",3,POSITIVE,0.6574202179908752
government deal iran invite country sign treaty betray people overthrow insult chinese ,"[(0, 0.012916362), (1, 0.9351504), (2, 0.012963245), (3, 0.01287738), (4, 0.012975609), (5, 0.013117016)]",1,NEGATIVE,0.9009382128715515
government india install ,"[(0, 0.042339254), (1, 0.041835383), (2, 0.042081017), (3, 0.04187487), (4, 0.04188131), (5, 0.78998816)]",5,POSITIVE,0.9337350130081177
government kill people religion ,"[(0, 0.033774562), (1, 0.8316255), (2, 0.033753842), (3, 0.033532687), (4, 0.03373222), (5, 0.033581123)]",1,NEGATIVE,0.9952664375305176
government people china hold accountable responsible cover outbreak silence doctor warn shame chinese stand innocent suffer loss love ,"[(4, 0.9557387)]",4,NEGATIVE,0.9692602157592773
government people deliver virus country handle ,"[(0, 0.02399034), (1, 0.023982901), (2, 0.023960903), (3, 0.023886874), (4, 0.8802976), (5, 0.023881398)]",4,NEGATIVE,0.9329838752746582
government super peaceful weird… change send hate speech medium history china civilization friend ,"[(0, 0.012093515), (1, 0.011951783), (2, 0.4786673), (3, 0.47333378), (4, 0.011998458), (5, 0.011955151)]",2,NEGATIVE,0.9788065552711487
government trash thwy destroy economy covid shit ,"[(0, 0.020926785), (1, 0.02088675), (2, 0.020999977), (3, 0.020947367), (4, 0.8953386), (5, 0.020900523)]",4,NEGATIVE,0.9996041655540466
government warning chinese morning imminent overthrow islamic tyranny successor cancel shameful colonial contract warn notes. ,"[(0, 0.011188039), (1, 0.011164293), (2, 0.011161402), (3, 0.011169568), (4, 0.0111708185), (5, 0.94414586)]",5,NEGATIVE,0.9928667545318604
graceful elegant peony bloom herald recovery china ,"[(0, 0.89549065), (1, 0.020893313), (2, 0.020914055), (3, 0.020894771), (4, 0.02090836), (5, 0.020898815)]",0,POSITIVE,0.9998316764831543
grain hardearned ,"[(0, 0.055609975), (1, 0.055609737), (2, 0.7219501), (3, 0.055610303), (4, 0.05560897), (5, 0.055610873)]",2,NEGATIVE,0.9852184653282166
granada delicious ,"[(0, 0.055653103), (1, 0.05570553), (2, 0.7218295), (3, 0.055604182), (4, 0.055603005), (5, 0.055604693)]",2,POSITIVE,0.9998552799224854
grape ,"[(0, 0.08334845), (1, 0.5832581), (2, 0.08334814), (3, 0.08334857), (4, 0.083348066), (5, 0.08334866)]",1,POSITIVE,0.9899365901947021
grass horse ,"[(0, 0.72213215), (1, 0.055564564), (2, 0.05556447), (3, 0.05556477), (4, 0.05556444), (5, 0.055609576)]",0,POSITIVE,0.7094677686691284
grate ,"[(0, 0.08342622), (1, 0.0834257), (2, 0.08342467), (3, 0.08466676), (4, 0.08342435), (5, 0.5816323)]",5,NEGATIVE,0.9952492713928223
grate pakistani style ,"[(0, 0.04169559), (1, 0.28740254), (2, 0.04169517), (3, 0.041925836), (4, 0.041695077), (5, 0.5455858)]",5,NEGATIVE,0.9507828950881958
grateful beautiful post ,"[(0, 0.79025805), (1, 0.041915726), (2, 0.04256668), (3, 0.04169647), (4, 0.04169107), (5, 0.041871965)]",0,POSITIVE,0.9998846054077148
greed people vote investment torture murder butcher slaughterhouse current generation government instills fear ashamed remove livestock list publicity stunt intention listen adhere ,"[(0, 0.9635992)]",0,NEGATIVE,0.9816389083862305
green ,"[(0, 0.084040835), (1, 0.0839829), (2, 0.58108836), (3, 0.08410558), (4, 0.08338992), (5, 0.08339241)]",2,POSITIVE,0.9934373497962952
green heart ,"[(0, 0.056468908), (1, 0.056357756), (2, 0.71984386), (3, 0.05616743), (4, 0.055580523), (5, 0.05558152)]",2,POSITIVE,0.9998045563697815
green willow spit catkins ,"[(0, 0.033452623), (1, 0.033658195), (2, 0.03354541), (3, 0.8326035), (4, 0.033362966), (5, 0.033377334)]",3,NEGATIVE,0.9833161234855652
green winter ,"[(0, 0.05599453), (1, 0.71979904), (2, 0.056536432), (3, 0.056034945), (4, 0.056037135), (5, 0.05559791)]",1,POSITIVE,0.9978209733963013
greenhouse economy ,"[(0, 0.055678535), (1, 0.055823673), (2, 0.05567951), (3, 0.055609837), (4, 0.721598), (5, 0.055610415)]",4,POSITIVE,0.9949472546577454
greet ,"[(0, 0.58140504), (1, 0.084788196), (2, 0.08345004), (3, 0.08345298), (4, 0.08344949), (5, 0.083454266)]",0,POSITIVE,0.9988817572593689
greeting canada kill ,"[(0, 0.04189306), (1, 0.7909693), (2, 0.04180069), (3, 0.041739043), (4, 0.041804835), (5, 0.04179304)]",1,NEGATIVE,0.9663261771202087
grill rice plate chicken goode ,"[(0, 0.027802888), (1, 0.11772241), (2, 0.7710518), (3, 0.027803022), (4, 0.02781664), (5, 0.027803259)]",2,NEGATIVE,0.8213820457458496
guess ,"[(0, 0.08339977), (1, 0.08333893), (2, 0.08333885), (3, 0.08340526), (4, 0.5831781), (5, 0.08333906)]",4,NEGATIVE,0.996496856212616
guess american understand simple fault country garbage head education ,"[(0, 0.016891545), (1, 0.016858825), (2, 0.016804647), (3, 0.016759014), (4, 0.9159344), (5, 0.016751634)]",4,NEGATIVE,0.9996764659881592
guess foreigner ,"[(0, 0.057053804), (1, 0.05557625), (2, 0.055576023), (3, 0.055595003), (4, 0.72062224), (5, 0.05557669)]",4,NEGATIVE,0.9875439405441284
guess market exist strange government reopen ,"[(0, 0.02392409), (1, 0.023915837), (2, 0.023895033), (3, 0.023968026), (4, 0.8804453), (5, 0.023851734)]",4,NEGATIVE,0.9892577528953552
guess meat ,"[(0, 0.05563635), (1, 0.055906735), (2, 0.055560403), (3, 0.3385306), (4, 0.43876904), (5, 0.05559685)]",4,NEGATIVE,0.98593670129776
guide coronavirus chance iran protect disease ,"[(0, 0.023829196), (1, 0.024448674), (2, 0.023866117), (3, 0.023858435), (4, 0.024030155), (5, 0.8799674)]",5,POSITIVE,0.8271966576576233
guizhou ,"[(0, 0.08342537), (1, 0.08342498), (2, 0.08422957), (3, 0.08342606), (4, 0.083423495), (5, 0.5820705)]",5,POSITIVE,0.9686795473098755
gunna talk bacterial disease ,"[(0, 0.033470236), (1, 0.8328011), (2, 0.033455953), (3, 0.033432443), (4, 0.033459753), (5, 0.033380464)]",1,NEGATIVE,0.9911819696426392
guys indian government money ,"[(0, 0.83240664), (1, 0.033386573), (2, 0.033890393), (3, 0.033420343), (4, 0.03344593), (5, 0.033450138)]",0,NEGATIVE,0.9914917349815369
haha ,"[(0, 0.08334659), (1, 0.083346516), (2, 0.0838474), (3, 0.083702095), (4, 0.5824105), (5, 0.08334687)]",4,POSITIVE,0.7155454158782959
haha forget hahahaha ,"[(0, 0.041675784), (1, 0.041815713), (2, 0.7907349), (3, 0.041842412), (4, 0.042255316), (5, 0.041675933)]",2,NEGATIVE,0.997825562953949
haha hope ,"[(0, 0.055781346), (1, 0.05570564), (2, 0.05611944), (3, 0.055744465), (4, 0.72050184), (5, 0.05614727)]",4,POSITIVE,0.9982055425643921
haha ignorant people figure status pity ,"[(0, 0.023848794), (1, 0.023872878), (2, 0.02401641), (3, 0.023847101), (4, 0.88023096), (5, 0.024183804)]",4,NEGATIVE,0.9995237588882446
haha nyumbang virus ,"[(0, 0.041692108), (1, 0.041677687), (2, 0.041756082), (3, 0.04174864), (4, 0.79144126), (5, 0.041684255)]",4,NEGATIVE,0.9849757552146912
haha trip beautiful tibet worth visit lifetime bellissimo penso andare vacanza meglio hahahaha ,"[(0, 0.011974644), (1, 0.011974609), (2, 0.94022804), (3, 0.011925776), (4, 0.011973657), (5, 0.011923321)]",2,POSITIVE,0.9991567134857178
hahah ,"[(0, 0.5827452), (1, 0.08345078), (2, 0.08344938), (3, 0.083452195), (4, 0.08344897), (5, 0.083453506)]",0,POSITIVE,0.88926100730896
hahaha ,"[(0, 0.0836184), (1, 0.08347733), (2, 0.083517805), (3, 0.08334147), (4, 0.5827035), (5, 0.08334156)]",4,POSITIVE,0.8918071985244751
hahaha cute ,"[(0, 0.05579151), (1, 0.05591932), (2, 0.055682853), (3, 0.38867152), (4, 0.3883688), (5, 0.055565972)]",3,POSITIVE,0.9995736479759216
hahaha happy ,"[(0, 0.37928498), (1, 0.056202702), (2, 0.055835355), (3, 0.05564791), (4, 0.3974527), (5, 0.055576324)]",4,POSITIVE,0.9998419284820557
hahaha proven goodnight ,"[(0, 0.041732665), (1, 0.041714698), (2, 0.041719683), (3, 0.041696973), (4, 0.7914387), (5, 0.041697267)]",4,NEGATIVE,0.7844740152359009
hahahah ,"[(0, 0.08342722), (1, 0.08342675), (2, 0.08342568), (3, 0.08342785), (4, 0.08342528), (5, 0.5828672)]",5,POSITIVE,0.8702351450920105
hahahaha ,"[(0, 0.08334833), (1, 0.08334823), (2, 0.5832584), (3, 0.083348475), (4, 0.08334799), (5, 0.08334857)]",2,POSITIVE,0.8144575953483582
hahahahaha reaction delicious ,"[(0, 0.7893871), (1, 0.042060878), (2, 0.04324563), (3, 0.04189366), (4, 0.041705687), (5, 0.041707017)]",0,POSITIVE,0.9998440742492676
hahahahahaha ,"[(0, 0.08334611), (1, 0.08334601), (2, 0.08334586), (3, 0.5830986), (4, 0.0833458), (5, 0.08351761)]",3,NEGATIVE,0.7957112193107605
hahahahahaha hungry night ,"[(0, 0.04167803), (1, 0.042147107), (2, 0.04167786), (3, 0.7907945), (4, 0.042001605), (5, 0.04170089)]",3,NEGATIVE,0.9970659613609314
hahahahahahahah reelection ,"[(0, 0.055594835), (1, 0.055594657), (2, 0.05559425), (3, 0.05559507), (4, 0.055594116), (5, 0.72202706)]",5,NEGATIVE,0.8023415803909302
hahahahahahahahaha scold commit country wall ,"[(0, 0.028119031), (1, 0.8600472), (2, 0.028019145), (3, 0.027927112), (4, 0.028090982), (5, 0.027796501)]",1,NEGATIVE,0.9985654950141907
hahahahahahahahahahahaha ,"[(0, 0.0834603), (1, 0.58269995), (2, 0.08345816), (3, 0.08346114), (4, 0.083457716), (5, 0.08346272)]",1,NEGATIVE,0.9643732905387878
hahhhaha ,"[(0, 0.08348809), (1, 0.08348736), (2, 0.5825597), (3, 0.08348899), (4, 0.08348485), (5, 0.08349099)]",2,NEGATIVE,0.9501244425773621
hail virus ,"[(0, 0.05564809), (1, 0.055617273), (2, 0.055642266), (3, 0.055667587), (4, 0.7217928), (5, 0.055632003)]",4,NEGATIVE,0.9676820039749146
halbmi ,"[(0, 0.083461024), (1, 0.5826965), (2, 0.08345891), (3, 0.08346181), (4, 0.08345841), (5, 0.0834634)]",1,NEGATIVE,0.9738494753837585
half talk girl population people talented powerful resourceful energy untapped soul equal aspect call ,"[(0, 0.94401443), (1, 0.011212369), (2, 0.0112052), (3, 0.011240568), (4, 0.0111652985), (5, 0.011162118)]",0,POSITIVE,0.9991955161094666
halo ,"[(0, 0.58274275), (1, 0.08345125), (2, 0.083449885), (3, 0.0834527), (4, 0.083449416), (5, 0.08345401)]",0,POSITIVE,0.9991322159767151
handicapped party admires ,"[(0, 0.042390257), (1, 0.7906911), (2, 0.041718133), (3, 0.041706424), (4, 0.041705508), (5, 0.041788615)]",1,POSITIVE,0.9802665114402771
handsome ,"[(0, 0.083349615), (1, 0.08410881), (2, 0.08334933), (3, 0.5824931), (4, 0.083349265), (5, 0.08334988)]",3,POSITIVE,0.9998358488082886
handsome cute ,"[(0, 0.055580568), (1, 0.055905085), (2, 0.055562336), (3, 0.72182715), (4, 0.055562306), (5, 0.055562552)]",3,POSITIVE,0.9998607635498047
handsome powerful ,"[(0, 0.055712104), (1, 0.056254964), (2, 0.38817024), (3, 0.38845083), (4, 0.055830743), (5, 0.05558107)]",3,POSITIVE,0.9998698234558105
hanfu ,"[(0, 0.08338486), (1, 0.58326435), (2, 0.08333762), (3, 0.08333775), (4, 0.08333761), (5, 0.08333779)]",1,POSITIVE,0.6815261840820312
hanfu beautiful ,"[(0, 0.05596626), (1, 0.7216305), (2, 0.055635173), (3, 0.055580713), (4, 0.05556994), (5, 0.055617444)]",1,POSITIVE,0.9997792840003967
hanfu beautiful time accept rebuttal ,"[(0, 0.027898865), (1, 0.8603358), (2, 0.027952248), (3, 0.028081149), (4, 0.027896807), (5, 0.027835086)]",1,POSITIVE,0.9876996278762817
hankou character recot ,"[(0, 0.7911785), (1, 0.041719638), (2, 0.04171911), (3, 0.041720178), (4, 0.041718934), (5, 0.041943587)]",0,POSITIVE,0.9935991764068604
hankou summer wuhan ,"[(0, 0.041831475), (1, 0.041699834), (2, 0.041740604), (3, 0.041866176), (4, 0.041808084), (5, 0.79105383)]",5,POSITIVE,0.9939460158348083
happen ,"[(0, 0.08333663), (1, 0.08360754), (2, 0.5825246), (3, 0.08340277), (4, 0.08361674), (5, 0.0835117)]",2,POSITIVE,0.9964087605476379
happen country busy ,"[(0, 0.041733764), (1, 0.04178365), (2, 0.78986835), (3, 0.041985154), (4, 0.042062838), (5, 0.042566236)]",2,NEGATIVE,0.9930907487869263
happen matter support china covidfree country forget extend friend ,"[(0, 0.016846962), (1, 0.01675057), (2, 0.9161197), (3, 0.01685969), (4, 0.016737552), (5, 0.016685542)]",2,NEGATIVE,0.7965471148490906
happy ,"[(0, 0.58141464), (1, 0.08446451), (2, 0.08365299), (3, 0.08349072), (4, 0.08361527), (5, 0.08336185)]",0,POSITIVE,0.9998753070831299
happy amen ,"[(0, 0.34113017), (1, 0.056191415), (2, 0.05576318), (3, 0.055663604), (4, 0.43566737), (5, 0.05558425)]",4,POSITIVE,0.9998588562011719
happy bailu ,"[(0, 0.72154623), (1, 0.05586793), (2, 0.055680007), (3, 0.055636004), (4, 0.055669528), (5, 0.05560035)]",0,POSITIVE,0.9998489618301392
happy birthday ,"[(0, 0.72148836), (1, 0.055918798), (2, 0.055713937), (3, 0.055607803), (4, 0.05569916), (5, 0.055571914)]",0,POSITIVE,0.9998631477355957
happy birthday afternoon ,"[(0, 0.79128873), (1, 0.041838977), (2, 0.04174407), (3, 0.041694365), (4, 0.041756403), (5, 0.04167747)]",0,POSITIVE,0.999873161315918
happy birthday china ,"[(0, 0.79062426), (1, 0.041885175), (2, 0.04205444), (3, 0.04171725), (4, 0.04202584), (5, 0.04169298)]",0,POSITIVE,0.999874472618103
happy birthday country ,"[(0, 0.7894233), (1, 0.042073365), (2, 0.042472158), (3, 0.041840587), (4, 0.04249997), (5, 0.041690655)]",0,POSITIVE,0.9998775720596313
happy birthday motherland ,"[(0, 0.33131054), (1, 0.50164807), (2, 0.041796714), (3, 0.0417037), (4, 0.041859616), (5, 0.041681357)]",1,POSITIVE,0.9998579025268555
happy chain luna ,"[(0, 0.042560875), (1, 0.0423178), (2, 0.041887313), (3, 0.04178952), (4, 0.7897325), (5, 0.04171197)]",4,POSITIVE,0.999864935874939
happy china daily ,"[(0, 0.79060805), (1, 0.04185762), (2, 0.042041983), (3, 0.041771874), (4, 0.042031128), (5, 0.04168939)]",0,POSITIVE,0.9998797178268433
happy china youth ,"[(0, 0.79016024), (1, 0.04186246), (2, 0.042208996), (3, 0.04192024), (4, 0.042141076), (5, 0.04170698)]",0,POSITIVE,0.9998805522918701
happy chinese ,"[(0, 0.056309905), (1, 0.7203083), (2, 0.05587325), (3, 0.05591553), (4, 0.055942673), (5, 0.05565037)]",1,POSITIVE,0.9998809099197388
happy chinese celebrate hanfu amazing happychinesenewyear2021 ,"[(0, 0.023928618), (1, 0.88022697), (2, 0.023900738), (3, 0.023887644), (4, 0.024221629), (5, 0.023834396)]",1,POSITIVE,0.9998120665550232
happy chinese love india ,"[(0, 0.83219886), (1, 0.033652164), (2, 0.033511914), (3, 0.033629064), (4, 0.033524342), (5, 0.033483654)]",0,POSITIVE,0.9998785257339478
happy chinese lunar ,"[(0, 0.04224301), (1, 0.38605583), (2, 0.44607517), (3, 0.04193126), (4, 0.041956626), (5, 0.041738126)]",2,POSITIVE,0.9998722076416016
happy chinese partner ,"[(0, 0.04204435), (1, 0.7906718), (2, 0.041833803), (3, 0.04185365), (4, 0.04186562), (5, 0.04173078)]",1,POSITIVE,0.9998798370361328
happy chinese peace kindness happiness health ,"[(0, 0.7027352), (1, 0.023960888), (2, 0.023924066), (3, 0.20155281), (4, 0.023986906), (5, 0.023840094)]",0,POSITIVE,0.9998626708984375
happy country enjoy ,"[(0, 0.04210897), (1, 0.7897214), (2, 0.042254675), (3, 0.041808393), (4, 0.042374462), (5, 0.04173206)]",1,POSITIVE,0.9998878240585327
happy country spread ,"[(0, 0.04259109), (1, 0.042527545), (2, 0.04206491), (3, 0.041854985), (4, 0.7892587), (5, 0.041702718)]",4,POSITIVE,0.9998633861541748
happy dragon boat festival ,"[(0, 0.6072214), (1, 0.033488624), (2, 0.25867724), (3, 0.033837605), (4, 0.033413216), (5, 0.033361852)]",0,POSITIVE,0.9998579025268555
happy fortune ,"[(0, 0.7207292), (1, 0.055866536), (2, 0.056498513), (3, 0.05563595), (4, 0.055669535), (5, 0.055600267)]",0,POSITIVE,0.9998878240585327
happy garden ,"[(0, 0.7216572), (1, 0.055837445), (2, 0.05569168), (3, 0.05560513), (4, 0.055639356), (5, 0.055569213)]",0,POSITIVE,0.9998776912689209
happy harvest ,"[(0, 0.721539), (1, 0.055834617), (2, 0.055765964), (3, 0.05560103), (4, 0.055694304), (5, 0.055565067)]",0,POSITIVE,0.9998683929443359
happy hear disappear iran ,"[(0, 0.03380618), (1, 0.34453747), (2, 0.03349223), (3, 0.033536784), (4, 0.033555977), (5, 0.5210713)]",5,POSITIVE,0.9959372282028198
happy hear love indian ,"[(0, 0.83172977), (1, 0.033698875), (2, 0.033925198), (3, 0.033725265), (4, 0.033433262), (5, 0.03348765)]",0,POSITIVE,0.9998800754547119
happy jinping ,"[(0, 0.72143483), (1, 0.055841036), (2, 0.055852856), (3, 0.055601828), (4, 0.055676885), (5, 0.05559258)]",0,POSITIVE,0.9998683929443359
happy love china ,"[(0, 0.7903941), (1, 0.04190039), (2, 0.04204483), (3, 0.04188278), (4, 0.04205303), (5, 0.04172487)]",0,POSITIVE,0.9998832941055298
happy midautumn festival china daily ,"[(0, 0.8604823), (1, 0.027878266), (2, 0.027979478), (3, 0.027921071), (4, 0.027940733), (5, 0.027798189)]",0,POSITIVE,0.9994020462036133
happy mother daughter ,"[(0, 0.041918553), (1, 0.7909358), (2, 0.041890338), (3, 0.041721422), (4, 0.04180643), (5, 0.04172742)]",1,POSITIVE,0.9998672008514404
happy national ,"[(0, 0.056146573), (1, 0.7213072), (2, 0.055674303), (3, 0.05562851), (4, 0.055660587), (5, 0.055582814)]",1,POSITIVE,0.9998840093612671
happy prove wrong dictate government democracy freedom speech ,"[(0, 0.60034287), (1, 0.3251104), (2, 0.01871281), (3, 0.01864282), (4, 0.01860046), (5, 0.018590689)]",0,NEUTRAL,0.5654836297035217
happy prove wrong dictate government democracy freedom speech control people ,"[(0, 0.92334825), (1, 0.015409681), (2, 0.015435438), (3, 0.015285763), (4, 0.015290287), (5, 0.015230579)]",0,NEUTRAL,0.5707070827484131
happy situation control return normal gradually congratulation china faito ,"[(0, 0.01679856), (1, 0.016763514), (2, 0.016811356), (3, 0.016743364), (4, 0.9161876), (5, 0.016695602)]",4,POSITIVE,0.9988773465156555
happy spring festival ,"[(0, 0.33343372), (1, 0.042048287), (2, 0.4987733), (3, 0.042150717), (4, 0.041900497), (5, 0.0416935)]",2,POSITIVE,0.999882698059082
happy stay strong china ,"[(0, 0.033905085), (1, 0.03368194), (2, 0.8320759), (3, 0.033424478), (4, 0.033563543), (5, 0.03334901)]",2,POSITIVE,0.999880313873291
happy success happiness family ,"[(0, 0.83168346), (1, 0.0335335), (2, 0.033607204), (3, 0.033545077), (4, 0.03421788), (5, 0.033412952)]",0,POSITIVE,0.9998866319656372
happy taiwan national ,"[(0, 0.04209216), (1, 0.78978455), (2, 0.0426724), (3, 0.042053066), (4, 0.04171722), (5, 0.041680586)]",1,POSITIVE,0.9998575448989868
happy thos apple ,"[(0, 0.043540128), (1, 0.042884294), (2, 0.042045794), (3, 0.7878219), (4, 0.04199254), (5, 0.04171536)]",3,POSITIVE,0.9998390674591064
happy wear hanfu year~~ ,"[(0, 0.60270816), (1, 0.26359397), (2, 0.033402335), (3, 0.033445545), (4, 0.03349613), (5, 0.033353835)]",0,POSITIVE,0.9990812540054321
happy y'all ,"[(0, 0.72157425), (1, 0.055835508), (2, 0.05564718), (3, 0.055602532), (4, 0.055773962), (5, 0.05556658)]",0,POSITIVE,0.9998656511306763
happy youth cheer ,"[(0, 0.7903191), (1, 0.041819535), (2, 0.041862786), (3, 0.041899692), (4, 0.042403568), (5, 0.041695327)]",0,POSITIVE,0.9998581409454346
happychinesenewyear ,"[(0, 0.083500475), (1, 0.08349965), (2, 0.08349757), (3, 0.08350156), (4, 0.58249724), (5, 0.083503455)]",4,POSITIVE,0.9943846464157104
happychinesenewyear2021 happy ,"[(0, 0.056086935), (1, 0.72093904), (2, 0.056018356), (3, 0.055652767), (4, 0.055697497), (5, 0.05560545)]",1,POSITIVE,0.9994798302650452
haram ,"[(0, 0.08348836), (1, 0.08348762), (2, 0.582558), (3, 0.08348949), (4, 0.083485216), (5, 0.08349134)]",2,NEGATIVE,0.9984176158905029
harbin institute technology ,"[(0, 0.041706815), (1, 0.57559943), (2, 0.041947447), (3, 0.25721398), (4, 0.041824855), (5, 0.041707475)]",1,NEUTRAL,0.5250850319862366
hard ,"[(0, 0.083487034), (1, 0.08394157), (2, 0.08348366), (3, 0.58196), (4, 0.083791174), (5, 0.08333657)]",3,NEGATIVE,0.9982700347900391
hard deny word president ,"[(0, 0.03351413), (1, 0.033382207), (2, 0.03339011), (3, 0.8325661), (4, 0.03373278), (5, 0.03341468)]",3,NEGATIVE,0.9906021356582642
hard farmer society health worker ,"[(0, 0.027788816), (1, 0.027808819), (2, 0.027832396), (3, 0.86097574), (4, 0.027812935), (5, 0.027781313)]",3,NEGATIVE,0.7248572707176208
hard mango girl cuter ,"[(0, 0.5158575), (1, 0.03359298), (2, 0.033456255), (3, 0.35029805), (4, 0.033438966), (5, 0.033356212)]",0,POSITIVE,0.9896230697631836
hard spread virus ,"[(0, 0.041758087), (1, 0.041999463), (2, 0.041761253), (3, 0.042301733), (4, 0.7904853), (5, 0.04169416)]",4,NEGATIVE,0.9957383871078491
hard supportive time evacuate flooded morning rescue team ,"[(0, 0.6130251), (1, 0.018584637), (2, 0.018714013), (3, 0.31247514), (4, 0.018640079), (5, 0.018561052)]",0,NEGATIVE,0.9922628402709961
hard tenacity happiness pride embrace montecanone uruguay ,"[(0, 0.020941224), (1, 0.17672989), (2, 0.7394425), (3, 0.021101937), (4, 0.020929145), (5, 0.020855237)]",2,POSITIVE,0.9952072501182556
hardhearted girl ,"[(0, 0.05572471), (1, 0.72099626), (2, 0.055811185), (3, 0.056275897), (4, 0.055595264), (5, 0.055596694)]",1,NEGATIVE,0.6790781021118164
harvest ,"[(0, 0.58268), (1, 0.08333794), (2, 0.083761945), (3, 0.083337985), (4, 0.08354412), (5, 0.08333804)]",0,POSITIVE,0.9778914451599121
harvest season ,"[(0, 0.056803748), (1, 0.055563744), (2, 0.7207639), (3, 0.055563796), (4, 0.055740926), (5, 0.05556385)]",2,POSITIVE,0.9942823648452759
harvest send warehouse store green mold ,"[(0, 0.88061434), (1, 0.023869207), (2, 0.023970349), (3, 0.023882547), (4, 0.023837637), (5, 0.02382593)]",0,NEGATIVE,0.9977771639823914
harvest time ,"[(0, 0.45138657), (1, 0.055791363), (2, 0.056200515), (3, 0.32521042), (4, 0.055792533), (5, 0.05561854)]",0,POSITIVE,0.9696594476699829
hate ,"[(0, 0.5808994), (1, 0.08378813), (2, 0.083402224), (3, 0.08428768), (4, 0.08349367), (5, 0.08412884)]",0,NEGATIVE,0.9996899366378784
hate animal abuser people ,"[(0, 0.033708304), (1, 0.83210677), (2, 0.03340374), (3, 0.03358757), (4, 0.033620346), (5, 0.03357331)]",1,NEGATIVE,0.9924302697181702
hate china ,"[(0, 0.72004974), (1, 0.055785954), (2, 0.0562264), (3, 0.05586958), (4, 0.056254454), (5, 0.055813905)]",0,NEGATIVE,0.9992560744285583
hate chinese force follow path ,"[(0, 0.5629081), (1, 0.028097287), (2, 0.028141892), (3, 0.027955001), (4, 0.32486513), (5, 0.028032586)]",0,NEGATIVE,0.9859927296638489
hate country ,"[(0, 0.71731913), (1, 0.05618553), (2, 0.057190854), (3, 0.056150597), (4, 0.057344154), (5, 0.055809766)]",0,NEGATIVE,0.9996194839477539
hate dont innocent animal control hunger ,"[(0, 0.8794046), (1, 0.024297686), (2, 0.024103934), (3, 0.023946479), (4, 0.02429528), (5, 0.02395202)]",0,NEGATIVE,0.994249701499939
hate love lose sail heart grey ,"[(0, 0.880364), (1, 0.023892557), (2, 0.024011053), (3, 0.023926344), (4, 0.023947895), (5, 0.023858184)]",0,NEGATIVE,0.9546037316322327
