时间,fenci,主题概率,主题类型
2023-09-05,提交 书面 文件 敦促 撤销 水产品 禁令 提交 禁运 水产品 反驳 围绕 电力 核电站 核污染 水排 通报 停止 水产品 提交 撤销 反驳 通知 实施 卫生 植物 卫生 措施 协定 国家 措施 通知 取消 停止 措施 做出 回应 参加 区域 经济 伙伴关系 协定 参加 停止 措施 讨论 收起,"[(1, 0.47142717), (2, 0.34661794), (3, 0.072155535), (5, 0.10282546)]",1
2023-09-23,超话 废水 举报 链接 网页 链接,"[(0, 0.8802285), (1, 0.023942389), (2, 0.02394578), (3, 0.023916664), (4, 0.024060506), (5, 0.023906127)]",0
2023-08-25,不顾 国际 社会 执意 核电站 核污染 水排 水产品 报道 日本首相 声称 外交 渠道 提出 交涉 撤销 措施 大使 提出 指出 原产地 水产品 局面 责任 日方 日方 新闻 视频 收起,"[(1, 0.97209716)]",1
2023-09-29,记者 飞往 航班 值机 柜台 发现 震惊 记者 值机 游客 询问 污水 出行 回答 回答 寿司 网友 不行 身体 诚实 大象 军事 超话 视频 收起,"[(1, 0.08257464), (2, 0.7931673), (3, 0.10488517)]",2
2023-08-29,狗日 全球 拥有 不顾 废水 原产地 水产品 民众 情绪 错事 夹住 狗尾巴 禁止 水产品 一事 提出 申诉 恶鬼 告状 世界 日本鬼子 收起,"[(1, 0.29692882), (2, 0.541512), (3, 0.1396633)]",2
2023-09-13,时间 核电站 核污染 作业 结束 总计 排出 污水 电力公司 计划 排放 污水 报道 渔业 从业者 提起 集体 包括 岩手 渔民 控诉 电力公司 污水 侵犯 渔民 捕鱼 公民 权利 停止 水产品 销路 声誉 全文 观察 污水 结束 现状 收起,"[(3, 0.8530575), (4, 0.12966587)]",3
2023-08-27,消息 污水 官员 死亡 骨癌 全身 腐烂,"[(0, 0.021011325), (1, 0.8938733), (2, 0.021273794), (3, 0.021473499), (4, 0.02117503), (5, 0.0211931)]",1
2023-08-31,大使 发布 文章 指责 环境 宣称 核污染 水排 海是 获取 政治 利益 虚假 信息 国际原子能机构 观察员 国家 专家 开放 态度 发起 虚假 信息 经济 胁迫 寻求 政治 利益 水产品 努力 孤立 愤怒 世界 破坏者 岛屿 渔民 过度 捕捞 鱼类 资源 破坏 国家 记者会 主管部门 依法 原产地 水产品 紧急措施 正当合理 核污染 水排 立场 强行 排放 核污染 行径 国际 社会 给予 批评 相关 防范措施 视频 收起,"[(1, 0.7237342), (3, 0.26586702)]",1
2023-09-10,相岸 声称 取消 水产品 禁令,"[(0, 0.027869573), (1, 0.6743944), (2, 0.027914759), (3, 0.21391931), (4, 0.027950296), (5, 0.02795159)]",1
2023-09-11,废水 排放 热度 普通人,"[(0, 0.034187432), (1, 0.03359182), (2, 0.03347321), (3, 0.033593964), (4, 0.8316122), (5, 0.033541385)]",4
2023-08-31,无耻 无知 视频,"[(0, 0.041802), (1, 0.042176697), (2, 0.7906159), (3, 0.04177437), (4, 0.041877165), (5, 0.041753862)]",2
2023-09-12,数据 拆穿 废水 无害 谎言 有毒 政客 想骗 游客 食品 儿童 废水 干嘛 净化 没毒 怀府 刀客 视频,"[(4, 0.7760226), (5, 0.18853548)]",4
2023-09-24,开幕式 结束 听闻 网友 指出 感到 细节 代表团 入场 现场 舞台 背景 切换 荷花 荷花 代表 丧葬 花朵 寓意 网友 回应 指出 事件 单方面 误会 荷花 寓意 美好 希望 日方 小心眼 误会 日方 小心眼 随俗 希望 妄加 揣测 诋毁 希望 日方 友人 荷花 回去 遍插 纯真 美好 美好 荷花 坚信 收起,"[(2, 0.98377496)]",2
2023-09-04,次郎 试图 证明 污水 鬼子 叫唤 指责 水产品 科学 批评 煽动 民间 情绪 祸港 祸台 污水 排水 鬼子 煽动 好摄 视频 收起,"[(2, 0.7132431), (5, 0.25733253)]",2
2023-09-05,提交 书面 文件 宣称 核污染 措施 接受 文件 宣称 撤销 相关 措施 声明 区域 经济 伙伴关系 协定 条款 核事故 相关 禁令 讨论 视频 收起,"[(1, 0.4890079), (2, 0.29910186), (5, 0.1917203)]",1
2023-08-25,国际原子能机构 报告 国际原子能机构 报告 原创 思听 老爸 实验室 发表 图片 封面 开篇 免责 报告 观点 会员国 观点 会员国 报告 后果 承担 责任 图片 报告 背书 作用 责任 排掉 决策 报告 建议 政策 赞同 图片 原子能 机构 背书 看过 报告 背书 权利 报告 排放 报告 排放 事情 排放 邀请 原子能 机构 往下走 报告 工艺 国际 制定 标准 略过 值得 拿出 号称 净化 核素 先进 装置 海水 淡化 玩意 淡水 稀释 用到 工业 农业 引入 巨量 海水 稀释 图片 责任 划分 公司 净化 排放 承担 责任 核事故 硬生生 利益 拖成 核事故 东电 负责 造假 历史 只能 指望 图片 监督者 下属 组建 部门 国际原子能机构 权利 政府 图片 证明 过程 事儿 原子能 机构 事儿 图片 包括 论证 过程 方案 决策 一毛钱 关系 了要 收到 邀请 决策 辐射 防护 涉及 评价 辐射 防护 图片 罐子 无关 提到 决策 流程 事儿 图片 制度 运行 顺带 告诉 事儿 原子能 机构 无关 排放 标准 设定 懒得 截图 完美 计划 排放 环境 科学家 探索 定论 样品 辐射 有没有 超标 点名 辐射 个体 计算 种群 层面 整体 有没有 图片 截图 账面 数据 报告 篇幅 计划 安排 帮忙 掌掌 眼看 漂亮 有没有 漏洞 计划 有没有 漏洞 权力 义务 跟踪 排放 计划 完美 执行 琢磨 琢磨 计划 实施 系统性 造假 东电 政府 部门 核电站 出事 核污染 核泄漏 事故 拖成 级别 核泄漏 事故 公司 实施 念经 有没有 转移 注意力 剩下 现实 挂钩 采样 采样 罐子 罐子 报告 罐子 样品 媒体报道 采样 罐子 限定 罐子 证明 净化系统 造假 前科 公司 信服 罐子 背书 采到 样品 发布 图片 关键 采样 写法 提到 提供 数据 提到 独立 采样 有没有 独立 采样 图片 分享 数据 数据 提供 图片 算是 提到 会派 常驻 取样 图片 项目 背书 项目 不错 有限 日方 限定 罐子 证明 辐射 含量 符合标准 结论 背书 结论 严格控制 样品 结论 收起,"[(1, 0.03247906), (3, 0.095534824), (5, 0.8702188)]",5
2023-09-03,横幅 废水 视频,"[(0, 0.7890035), (1, 0.042062294), (2, 0.042241246), (3, 0.04209139), (4, 0.042537425), (5, 0.042064153)]",0
2023-09-12,废水 排放 水样 合符 标准,"[(0, 0.027862988), (1, 0.027873192), (2, 0.027879095), (3, 0.8604135), (4, 0.028083298), (5, 0.027887894)]",3
2023-09-22,熟悉 朋友 爸爸 高度 颜值 带来 困扰 眼睛 呵护 是从 出生 年龄 选择 适宜 产品 阅读 绘本 时间 上学 视力 不错 分享 在用 护眼 台灯 告诉 靠谱 护眼灯 智商 刺眼 眩光 环境 读写 加速 疲劳 诱发 近视 孩子 学业 很重 靠谱 护眼灯 勇士 呵护 保护视力 健康 选择 台灯 基家 台灯 电磁辐射 危害 口碑 贴心 保护措施 外露 光源 台灯 学习 眼睛 直射 眩光 刺激 视力 下降 台灯 遮光 采用 屋檐 结构 沉式 导光板 完美 地将 光线 隐藏 灯壳 坐在 看不到 光源 孩子 不用 担心 光线 直射 台灯 天地 显得 舒适 遮光 台灯 照明 照明 桌面 死角 完美 亲子 共读 舒适 操作 面板 轻松 模式 书本 阅读 屏幕 阅读 切换 上网 贴心 智能 模式 环境 合适 亮度 体验 光线 时刻 充足 人性化 方方面面 拥有 入座 侦测 开灯 离席 关灯 功能 开启 提醒 过度 色温 时间 环境 适应性 昏暗 房间 合适 温和 亮度 功能 全家 颜值 不用 艺术品 场景 护眼灯 呵护 孩子 稚嫩 照亮 探索 世界 收起,"[(0, 0.99455225)]",0
2023-09-15,半岛 小鬼子 废水 发布 消息 半岛 海域 核爆 废水 核污染 核爆 核污染 冒名 造谣,"[(0, 0.01115988), (1, 0.011295398), (2, 0.06972317), (3, 0.011218726), (4, 0.88534), (5, 0.0112628285)]",4
2023-09-04,海域 污水 颜色 笔默君 视频,"[(0, 0.027986152), (1, 0.85980105), (2, 0.028022073), (3, 0.02812957), (4, 0.028059263), (5, 0.028001891)]",1
2023-08-30,超话 离谱 事件 平台 污水 替换 废水 史书 排放 污水 着急 网络 篡改 记忆,"[(0, 0.13201277), (1, 0.011369843), (2, 0.011430739), (3, 0.11490043), (4, 0.71873283), (5, 0.011553431)]",4
2023-08-30,大叔 案例 讲述 核辐射 危害 受害者 视频,"[(0, 0.4916568), (1, 0.021193704), (2, 0.021029184), (3, 0.020988131), (4, 0.021023916), (5, 0.42410827)]",0
2023-09-01,全世界 组织 匿名 发起 网络 战争 攻击 控制 系统 阻止 排放 污水 保障 地球 民众 全球 响应 配合 人类 历史 联合 攻击 设施 放弃 计划 废水 超话 收起,"[(1, 0.32431027), (3, 0.45657066), (4, 0.10906166), (5, 0.098446)]",3
2023-09-13,代表 绝食 当局 吭声 错误 视频,"[(0, 0.023987023), (1, 0.024055636), (2, 0.8798731), (3, 0.024043888), (4, 0.023873877), (5, 0.024166489)]",2
2023-09-03,扇贝 超话,"[(0, 0.33312467), (1, 0.055711504), (2, 0.44356626), (3, 0.055835847), (4, 0.05597809), (5, 0.055783603)]",2
2023-09-26,废水 核辐射 核污染 快乐 猩球 视频,"[(0, 0.02400568), (1, 0.3441122), (2, 0.5593274), (3, 0.024051126), (4, 0.024206659), (5, 0.024296958)]",2
2023-09-08,报道 访问 议长 大使 使馆 官邸 品尝 食材 午餐 食材 展现 污水 支持 核污染 遵守 国际标准 协调 批评 水产品 科学 议长 食材 水产品 禁令 收起,"[(1, 0.967453)]",1
2023-08-27,超话 世界 生物 视频,"[(0, 0.48173544), (1, 0.383924), (2, 0.033521757), (3, 0.03364709), (4, 0.03365409), (5, 0.033517595)]",0
2023-08-29,视频 政客 妄言 游客 废水 海产 资格 电视台 政客 身份 公开 调侃 现场 大笑 联名 歧视 视频 收起,"[(2, 0.3559631), (3, 0.30281585), (5, 0.31447574)]",2
2023-09-25,取消 水产 禁令 没戏 外相 规矩 报道 新任 外相 阳子 记者会 谈及 负责 对话 事项 排放 污水 计划 外相 改变 立场 改善 反省 错误 推进 构建 建设性 稳定 关系 停止 排放 污水 责任 请问 制造 污水 排放 污水 生态 废水 超话 收起,"[(1, 0.8539024), (2, 0.021565096), (3, 0.112806946)]",1
2023-09-19,打扰 污水 运送 排放 不幸 污水 暖流 时间 阻隔 污水 扩散 污水 扩散 稀释 排放 方式 恶劣 比喻 排放 核污染 排放 还加 阀门 核污染 扩散 热度 价钱 热度 希望 热度 提上来 收起,"[(3, 0.803386), (4, 0.1762896)]",3
2023-09-01,科研 驶向 区域 背负 责任 捍卫 清洁 采集 样本 揭示 利益 全球 着想 正义 怒火 燃烧 胸膛 决心 代价 解决 世界性 面对 污水 人类 生存 挑衅 岛国 行径 纵容 核污染 民族 低头 压力 责任 担当 方式 保护 世界 霸权 势力 试图 干涉 缄默 畏惧 压力 勇敢 捍卫 全球 强硬 回击 漠视 人类 警示 勇猛 科研 收集 海水 样本 揭示 全球 保护 贡献 力量 遭遇 困难 豪言 壮举 全球 焦点 代表 关键问题 展现 英雄气概 责任 担当 勇敢 面对 守护 家园 猎手 视频 收起,"[(1, 0.9898843)]",1
2023-09-18,使馆 核污染 水排 回答 记者 提问 日方 围绕 核污染 发布 消息 选择 实验室 参与 日方 参与 日方 采样 认可 请问 评论 使馆 媒体 报称 拒绝 国际原子能机构 国际 机制 日方 发布 信息 报道 假消息 受邀 参加 核污染 建立 邻国 利益 参与 国际 安排 日方 核污染 信心 拿出 严肃 负责 态度 做出 回应 报道 视频 收起,"[(5, 0.9847418)]",5
2023-09-04,孩子 得知 排放 污水 大人 地图 剪掉 地球 消失 视频 来源 洋姥 超话 萤火虫 视频,"[(0, 0.010606261), (1, 0.9468726), (2, 0.01071743), (3, 0.010591681), (4, 0.010625203), (5, 0.010586806)]",1
2023-09-12,勾子 废水 排放 水样 合符 标准 战车 视频,"[(0, 0.01864978), (1, 0.018659573), (2, 0.018670702), (3, 0.90664047), (4, 0.018731179), (5, 0.018648345)]",3
2023-08-25,意识 商机 开发 藿香 正气水 削减 辐射 危害 中药 代言 背书,"[(0, 0.014201522), (1, 0.014053413), (2, 0.013946572), (3, 0.013977624), (4, 0.013929557), (5, 0.9298913)]",5
2023-08-27,应对 污水 放射医学 核技术 研究院 紧急 成立 放射性 污染监测 专班 计划 海域 采样 素材 来源 澎湃 新闻 视频,"[(0, 0.1340209), (4, 0.08666504), (5, 0.75275254)]",5
2023-09-15,核污染 反对派 律师 指出 污水 违反 海洋法 公约 项指 禁止 陆地 有害物质 排放 计划 排放 核污染 排放 幅射 总量 低于 含有 放射性 声音 批评 废堆 排海 选择 廉价 解决办法 人体 健康 报道 视频 收起,"[(1, 0.07631424), (3, 0.9044236)]",3
2023-08-27,店主 威风 读者 提供 废水 超话,"[(0, 0.02412663), (1, 0.02397683), (2, 0.024018327), (3, 0.024024075), (4, 0.87985796), (5, 0.023996195)]",4
2023-09-11,发布 头条 文章 污水 资本 污水 资本,"[(0, 0.020865211), (1, 0.021001607), (2, 0.020877646), (3, 0.8951062), (4, 0.020974109), (5, 0.021175237)]",3
2023-09-01,团体 发布 调查结果 排放 核污染 整体 受访者 赞同 废水 政府 支持 禁止 水产品 措施 水产品 措施 核水 排海 措施 回答 有意 抵制 日货 回答 有意 抵制 收起,"[(1, 0.4023255), (3, 0.5735829)]",3
2023-09-25,利用 船舶 查询 渔船 去处 带回 禁止 带回 标识 国产 内容 转述 收起,"[(0, 0.012001912), (1, 0.0122798635), (2, 0.16030161), (3, 0.7910884), (4, 0.01201224), (5, 0.012315952)]",3
2023-09-28,报道 报道 领事 记者 见面会 上任 实在 好吃 污染物 顿饭 体现 建立 科学 基础 建立 排放 国际 系统 报道 内容 有待 核实 位置 紧临 排污 海域 领事 市长 大象 军事 超话 收起,"[(2, 0.06122016), (3, 0.91837484)]",3
2023-08-26,世卫 组织 排放 核污染 符合标准 保护 公众 免受 危害 难舍 视频,"[(0, 0.014021531), (1, 0.38307142), (2, 0.013985453), (3, 0.014058298), (4, 0.013970372), (5, 0.56089294)]",5
2023-08-30,讽刺 污水 建议 网民 中国网民,"[(0, 0.027953641), (1, 0.39746848), (2, 0.028028535), (3, 0.02807516), (4, 0.02805654), (5, 0.49041766)]",5
2023-09-05,全球 核污染 图鉴,"[(0, 0.33075994), (1, 0.4986027), (2, 0.042544983), (3, 0.042655334), (4, 0.042801972), (5, 0.042635117)]",1
2023-09-09,碎念 样子 照片 生成 美女 照片 照镜子 照镜子 大脑 苹果 前置 摄像头 氛围 精致 不到 氛围 标准 找对象 介绍 看不上 着急 对象 标准 找到 男人 精致 开车 绿灯 老人 人行道 红灯 行人 自动车 电动车 顺利 老人 闯红灯 发生 老人 起跑 原地 加速 起跑 红灯 技能 冷却 舆情 分发 发票 发出 疫情 废水 政府 形象 世界 逆行 做法 拿钱 没白 屁话 纯纯 收起,"[(2, 0.96238846), (5, 0.026869897)]",2
2023-09-09,污水 干净 报酬,"[(0, 0.042037666), (1, 0.78852403), (2, 0.042179722), (3, 0.04213798), (4, 0.043035235), (5, 0.042085323)]",1
2023-08-31,世卫 组织 发布 统计数据 显示 癌症 全球 人数 全球 癌症 病例 人数 位列 全球 人口数量 管媒 讥讽 卫生条件 患癌 人数 人数 全球 仪器 辐射 妈妈 手欠 地板 超标 手镯 超标 荧光棒 超标 儿子 劳力士 夜光表 爆棚 神神 叨叨 癌症 儿子 搬家 毽客 逆风 飞扬 视频 收起,"[(2, 0.058256906), (5, 0.9272335)]",5
2023-09-08,护肤品 醒醒 视频,"[(0, 0.04211908), (1, 0.041828975), (2, 0.78992087), (3, 0.041830473), (4, 0.042545617), (5, 0.041755024)]",2
2023-08-31,朋友圈 微友 崩溃 包括 妻子 父母 高呼 诅咒 失智 人马 理解 至爱 亲朋 确实 震惊 只能 兄弟 清心 孝亲 思己 兄弟 想法 理解 支持 社会 正常人 不知 世间 坦途 视频 评论 毽客 逆风 飞扬 视频 收起,"[(1, 0.8821128), (4, 0.09943101)]",1
2023-09-04,超话 文哥 视频,"[(0, 0.7906526), (1, 0.041904274), (2, 0.041952014), (3, 0.041860525), (4, 0.04184516), (5, 0.041785475)]",0
2023-08-31,污水 倒灌 错误 气象 武算 情况 洋流 速度 加快 污水 速度 污水 倒灌 记得 关注点 抢购 核辐射 检测仪 不良 煽动 引导 关注 擦边 话题 听信 海水 倒灌 说辞 弱化 抵制 情绪 抵制 关注点 目的 全民 参与 发声 抵制 废水 超话 收起,"[(0, 0.18281512), (1, 0.1888301), (5, 0.6162882)]",5
2023-09-29,废水 超话 抵制 日货 害怕 图源 水印,"[(0, 0.7279271), (1, 0.020961968), (2, 0.18813674), (3, 0.02095949), (4, 0.0210551), (5, 0.020959638)]",0
2023-08-25,原材料 来源,"[(0, 0.72025067), (1, 0.055711243), (2, 0.055669367), (3, 0.056287702), (4, 0.056153595), (5, 0.05592743)]",0
2023-09-17,有没有 废水 扩散 开出 罚单 正好 弥补,"[(0, 0.021367846), (1, 0.021037156), (2, 0.020943508), (3, 0.021497823), (4, 0.89406335), (5, 0.021090312)]",4
2023-09-14,超话 热度 商家 红书 网红 废水 不见 发声,"[(0, 0.31809217), (1, 0.018634664), (2, 0.6072459), (3, 0.018630756), (4, 0.01879421), (5, 0.01860232)]",2
2023-09-13,废水 扇贝 滞销 号召 员工 掏腰包,"[(0, 0.7394543), (1, 0.023883592), (2, 0.16473693), (3, 0.023910396), (4, 0.024047107), (5, 0.023967687)]",0
2023-08-27,暴发 民众 示威游行 自私 超话 来点 石锤 视频,"[(0, 0.3071711), (1, 0.19705485), (2, 0.43921664), (3, 0.018892167), (4, 0.018813055), (5, 0.018852185)]",2
2023-08-27,执意 排放 污水 支持 苦果 来点 石锤 视频,"[(0, 0.018780373), (1, 0.019149879), (2, 0.018815495), (3, 0.9057391), (4, 0.018741097), (5, 0.018774094)]",3
2023-08-29,配当 领导人 国民 不顾 弹劾 入狱 安生 夫人 视频,"[(0, 0.016933935), (1, 0.9153937), (2, 0.016906057), (3, 0.016975958), (4, 0.016904613), (5, 0.016885689)]",1
2023-09-04,分享 思考 有缘人 超话 视频,"[(0, 0.5508468), (1, 0.028018601), (2, 0.33710185), (3, 0.027917534), (4, 0.02822437), (5, 0.027890837)]",0
2023-08-29,总统府,"[(0, 0.5829459), (1, 0.08343984), (2, 0.083403856), (3, 0.08340347), (4, 0.08340344), (5, 0.08340352)]",0
2023-09-15,发现 了有 螃蟹 前段时间 女网 视频 指着 超市 打折 水果 产地 便当 肉类 剩下 打折 打折 发臭 产地 生鲜食品 注明 产地 法律 排海 关系 视频 舆论 正好 推文 拿出 判断 建议 收起,"[(1, 0.77623934), (2, 0.12762246), (4, 0.034053583), (5, 0.0518267)]",1
2023-09-25,感觉 忘记 废水 事情,"[(0, 0.0336114), (1, 0.033427417), (2, 0.033533696), (3, 0.033663403), (4, 0.8322045), (5, 0.03355958)]",4
2023-08-30,入境 污水 扇贝 跳水 娱圈 视频,"[(0, 0.12996829), (1, 0.024697484), (2, 0.63923615), (3, 0.024569673), (4, 0.024533857), (5, 0.15699454)]",2
2023-09-08,高度 保护 文物 无视 毁坏 文物 文物 失窃 事情 污水 混淆 概念 核电站 下水 发生 核事故 谴责 网友 充满 仇恨 圣人 洗白 军国主义 否认 日军 罪行 参拜 原因 提到 指责 伺候 客户 发起 脱钩 提到 无视 网友 大陆 恶毒 言论 谴责 梧桐 网友 忘记 当局 肮脏 事情 提到 大陆 网友 反思 态度 黑暴 发生 洗白 大陆 歧视 指责 人型 仇恨 仇恨 华人 亚裔 袭击 案件 草案 条例 想起 收起,"[(0, 0.030566145), (2, 0.41039613), (3, 0.5182542), (5, 0.035890624)]",3
2023-08-31,民族 支持,"[(0, 0.05709129), (1, 0.7194221), (2, 0.055673115), (3, 0.056159258), (4, 0.056075968), (5, 0.05557823)]",1
2023-09-11,相岸 声称 利用 双边 会议 国际 会议 机会 国际 组织 敦促 撤销 水产品 禁令 负责,"[(0, 0.0106697725), (1, 0.94743913), (2, 0.010457034), (3, 0.010472505), (4, 0.010486001), (5, 0.010475592)]",1
2023-08-27,应对 污水 放射医学 核技术 研究院 紧急 成立 放射性 污染监测 专班 污水 海域 计划 海域 采样 视频 收起,"[(5, 0.9532665)]",5
2023-09-20,排放 污水 海产 信心 停止 水产 寻求 外界 支持 寿司 舞台 大使馆 委员会 国会 大厦 设立 寿司 提供 采用 捕获 鲈鱼 干贝 现场 手握 寿司 招待 议员 视频 收起,"[(1, 0.06051429), (2, 0.91715163)]",2
2023-09-07,日本首相 峰会 发表 讲话 承诺 致力于 支持 共同体 框架 下向 清洁 能源 过渡 推进 气候 战略 计划 解决 气候变化 环境 提出 地区 文化 知识 交流 教学 学习 提供 支持 友好合作 建交 世界 建立 伙伴关系 国家 仰望 视频 收起,"[(0, 0.0865085), (1, 0.89612323)]",1
2023-08-30,快乐 聊聊 灰度 废水 排放 螺蛳 视频,"[(0, 0.021129414), (1, 0.021184321), (2, 0.38555577), (3, 0.021334985), (4, 0.021305664), (5, 0.5294898)]",5
2023-08-29,办公室 消息 例行 记者会 记者 提问 外相 投掷 砖头 遗憾 担忧 敦促 呼吁 民众 冷静 呼吁 民众 冷静 日方 关切 作出 回应 立场 使领馆 遭受 滋扰 提出 交涉 依法 保障 外国人 合法权益 无视 国际 社会 质疑 单方面 强行 核事故 水排 引发 愤慨 导致 局面 根源 日方 核污染 水排 海是 科学 声浪 平息 日方 自私 错误 行径 利益 权利 责任 正当 防范措施 维护 维护 群众 日方 纠正错误 停止 核污染 水排 记者 提问 反感 增加 呼吁 抵制 日货 评论 依法 保障 外国人 合法权益 日方 纠正 排放 核污染 行径 切实 回应 国际 社会 关切 记者 提问 报道 使领馆 接到 骚扰电话 介绍 相关 情况 使领馆 遭受 滋扰 日方 提出 交涉 敦促 日方 依法 处置 切实 保障 使领馆 机构 企业 公民 游客 记者 提问 投掷 砖头 支持 回答 相关 立场 总台 记者 提问 报道 日方 举措 肯定 听到 国际 社会 声音 评论 世界 上有 国家 日方 公开 支持 排放 核污染 国家 名字 公开 支持 核污染 排海 国家 国家 包括 民众 排海 批评 态度 防范措施 不争 事实 日方 指出 核污染 水排 事关 人类 健康 私事 国家 政治 目的 开绿灯 日方 做法 暴露 重视 强权 无视 国际 社会 重视 私利 无视 国际 公共利益 本质 办公室 视频 收起,"[(0, 0.025849141), (1, 0.8633903), (3, 0.108102)]",1
2023-09-20,排放 污水 高志 激辩 学者 无害 仰望 视频,"[(0, 0.018725412), (1, 0.018850941), (2, 0.018797223), (3, 0.71887743), (4, 0.018755062), (5, 0.20599398)]",3
2023-09-04,专家 排放 污水 观点 稍安 视频,"[(0, 0.024016265), (1, 0.40020928), (2, 0.50324476), (3, 0.02428015), (4, 0.024130307), (5, 0.02411923)]",2
2023-08-29,妈呀 鲸鱼,"[(0, 0.3865512), (1, 0.05557524), (2, 0.05557532), (3, 0.391141), (4, 0.055582043), (5, 0.055575237)]",3
2023-08-29,国际 组织 匿名 网站 发起 攻击 瘫痪 排核 废水 排放 匿名 组织 声称 名为 攻击 瘫痪 设施 政府 网站 包含 环境 原子 公司 原子力 学会 原子能 委员会 内阁 原子力 委员会 科学技术 振兴 机构 内阁总理 大臣 网站 留下 屏幕 截屏 匿名 全球 团体 名字 匿名 匿名 政体 企业 制度 组织 爆出 事件 包括 王室 派出 军情 杀手 暗杀 伪装成 意外 强奸 未满 少女 被告 法庭 删帖 阻止 匿名 宣战 视频 保证 方式 禁止 匿名 名字 标志性 仇杀 面具 游行示威 人群 坐在 屏幕 收起,"[(1, 0.16706367), (3, 0.82469386)]",3
2023-08-31,全家 渔业 女士 污水 感受 听听 心声 倭寇 鬼子 真坏 不顾 邻居 国家 强行 排核 污水 军事 博主 视频,"[(1, 0.56329155), (4, 0.40284514)]",1
2023-09-05,国会议员 次郎 污水 区域 彰显,"[(0, 0.02785813), (1, 0.028042968), (2, 0.027921367), (3, 0.028025007), (4, 0.86026704), (5, 0.02788545)]",4
2023-09-21,核廢水 排海 濃度 數據 电力公司 首度 排放 核电厂 废水 环境 浓度 浓度 最低标准 符合规定 出炉 报告 收起,"[(3, 0.9530667)]",3
2023-09-15,打败 好吃 摄取 营养 笑容 打败 樱井 良子 媒体 刊登 广告 写道 人民币 海产品 人口 日元 人民币 购买 产品 海产 损失 家住 神社 狐狸 号召 打败 收起,"[(1, 0.88162905), (2, 0.0943362)]",1
2023-09-09,蛋糕,"[(0, 0.083459176), (1, 0.08345862), (2, 0.5826388), (3, 0.0834584), (4, 0.0834585), (5, 0.0835265)]",2
2023-09-08,议长 食材 午餐 支持 污水 难舍 视频,"[(0, 0.020884335), (1, 0.7558782), (2, 0.16054887), (3, 0.02090471), (4, 0.020889875), (5, 0.020894002)]",1
2023-08-31,诗词 大会 超话 人类 历史 时光 历史 耻辱柱 无视 国际 社会 劝阻 无视 民众 放任 污水 自私 残忍 愚昧 行径 震惊 世界 污水 侵蚀 人类 带来 生存 危机 国际 社会 愤怒 支持 岛国 黑手 原创 收起,"[(1, 0.97742003)]",1
