content,fenci,聚类结果,二级-聚类结果
纯粹的足球当然有，中国大街小巷都有热爱足球的人。可是热爱能有什么用呢回归现实，大家都需要学习和工作，哪儿有固定时间去踢球啊。就现在内卷的这股态势，我们能有多少时间放在业余爱好上不要总和别的国家比，人文和环境都不一样。我们总说搞足球搞来的是什么现在想找一个足球场都难，疫情过后飞盘介入北京这边的足球场有的都翻倍了。凡是涉及竞技，都不会是简单的“纯粹”二字。上至足协，下至俱乐部，所谓的足球都是人情世故。说句实在话，贵州发展落后，需要村超等网红选题带动发展。可热度过后，谁能想起足球呢在骂国足的时候，有没有想过，你是否真正了解足球，真正有负面出现时，没有一味跟风骂街，去了解这项运动。现在的年轻人，有几个不是天天刷抖音打的，有几个人能真正保持运动，打篮球踢踢足球的我上大学的时候，一个系四个年级800多男同学，勉强能凑20度人的足球队，很多都是门外汉，参与度不够，如何让大家热爱啊这就是一个死循环。在流量之上的年代，有谁能够认真思考呢,足球 中国 足球 现实 时间 踢球 内卷 态势 时间 总和 国家 人文 环境 足球 足球场 疫情 飞盘 北京 足球场 竞技 俱乐部 足球 实在话 贵州 选题 热度 足球 足球 负面 骂街 年轻人 音打 人能 打篮球 踢足球 大学 男同学 足球队 门外汉 参与度 流量 认真思考,1,0
我之前跟朋友说，中国足球的问题根本不在我们这些百姓，还不被认同，这次村超狠狠的证明了这一点，中国明明随便一组织就可以有如此高的足球热情，到底是谁把中国足球搞的冰凉又是谁指使授意的,朋友 中国 足球 百姓 证明 中国 足球 热情 中国 足球,1,0
他们不能吃海参，也没钱坚持天天吃,海参,1,1
那至少我们村超氛围好能推动基层足球发展啊（村超小朋友指着国家队队徽骂海参队）那我们只为了那一份热爱，踢的纯粹的足球（村超开盘了，可以下注了）我们开心就好,氛围 基层 足球 小朋友 国家队 队徽 海参 足球,1,0
视频开头什么村超水平远超国足，就水平来说，村超比国足不知道低多少级别，别开什么比国足强的玩笑了，云南最强足球俱乐部最近在中冠(第四级别联赛)一胜两败，在云南可以说大杀四方，村超比中冠还低两个级别，跟中冠球队都没得比，还想跟国足比这比国足能进世界杯还搞笑。视频最后说的确实是中国足球的实际情况，值得我们深思，热爱纯粹才是唯一的必杀技，一点都没错，中国足球太不纯粹了，中超球员不一定真正热爱足球，但村超球员是绝对的热爱。再就是怼足协的话太好了，拍案叫绝，中国足球变成这样足协脱不了责任。,视频 超水平 国足 水平 国足 级别 比国 云南 足球 俱乐部 中冠 级别 云南 中冠 级别 中冠 球队 国足 国足能 世界杯 视频 中国 足球 情况 深思 必杀技 中国 足球 球员 足球 球员 中国 足球 责任,1,0
村超有它存在的价值，但在中国的大环境下，民间运动不会给中国足球带来任何改变，中国足球需要做的是低龄普及和顶层建设。,价值 中国 环境 民间 中国 足球 中国 足球 低龄 普及 顶层,1,0
站足球荒漠真难绷,足球 荒漠,1,0
我觉得国足来了还真不一定踢得过（本人不追足球，希望懂的大佬分析一波）,足球 大佬,1,0
你也不看球，你也不懂球，你也不关心中国足球发展，你只是个骑在舆论头上狂恰流量的,关心 中国 足球 舆论 流量,1,0
说的根本就不是村超本身吧，氛围是好的，任何一个喜欢足球，想要为中国足球发展做贡献的人或者是踢球的人，都会非常喜欢这种这个比赛，碰的是你们这种嗯，贬低国足，贬低中国足球水平，你们这种纯粹博流量的人，或许你们觉得没什么，可是经过这次世界杯，足球氛围明显好了很多，你这是什么意思你有看过国家队的一场比赛吗别的不说，中超你看过吗又或者说嗯，你知道武磊是谁吗武磊去哪里留的洋你懂吗嗯，如果说这也不是专业的事儿，只要是喜欢足球，随便就能知道的，你踢足球吗嗯，又或者说你不知道，但是你喜欢足球还是说你单纯因为这种事情来博流量像董老师那种就是单纯批评像你这种人你知道人家董路对中国足球有多大贡献足球小将你知道吗像西甲那些青训队伍打遍了，你知道吗麻烦你了解清楚好吗,氛围 足球 中国 足球 贡献 踢球 中国 足球 水平 流量 世界杯 足球 氛围 国家队 武磊 武磊 专业 事儿 足球 踢足球 足球 事情 流量 老师 董路 中国 足球 贡献 足球 小将 西甲 青训 队伍 麻烦,1,0
村超和董路都为中国足球切实的做了点事情，不管对不对。而主在干嘛泼凉水吗,董路 中国 足球 事情 干嘛 凉水,1,0
看看评论区就知道这那是足球荒漠啊，这是足球地狱，只要你不是国家队的，你颠个球都能超过国足,评论 足球 荒漠 足球 地狱 国家队 个球,1,0
真正热爱足球的人，不可能否定这么纯粹的比赛,足球,1,0
不是说村超有多牛逼踢得有多好才喜欢的，是看到了希望懂吗，会有更多的孩子喜欢足球，足球才能更加普及全国，中国足球才有希望懂吗,孩子 足球 足球 普及 全国 中国 足球,1,0
无语別给足球甩黑啊,无语 足球,1,0
为什么整个评论区都在玩梗，这种氛围还想中国足球出成绩就行一个孩子被天天打骂你觉得他未来还能是光明的第一，海参事件是因为海参是赞助商，第二，白切鸡事件是因为别人刚伤愈复出，而且别人那场还进球了，第三，国足工资对比事件是低的那档，这成绩很合理，而且这钱不是国家给的，是俱乐部给的，能给国家赚钱的体育国足是最多的，第四，躲球这种东西五大联赛也并不少，第五，天天说有钱才能的你能从国足阵容了找到五个家里是豪门的第六，国足对比国内工资高是因为他们就是中国足球的前五十，别跟我你们行业做到前五十的赚不到钱,评论 玩梗 氛围 中国 足球 成绩 孩子 光明 海参 事件 海参 白切鸡 事件 进球 事件 成绩 国家 俱乐部 国家 国足是 东西 国足 阵容 豪门 中国 足球 别跟我 行业,1,0
我没记错的话是去年还是前年，中国足球在国际上一败涂地，事后足协还腆着个13脸说人民不应该谴责他们，不知道他们训练啥的多辛苦。。真是像极了那些不读书的混子还要嘴硬说自己怎么怎么努力了,中国 足球 国际 读书 混子,1,0
被村超炸出来的这帮球盲不正好证明了中国足球为什么不行了吗,球盲 证明 中国 足球,1,0
足球本来就是属于人民大众的运动,足球 人民大众,1,0
可野，中国足球的成绩很对得起评论区,中国 足球 成绩 评论,1,0
举报，不谢，什么鬼标题，水平远超中超，请问你看过中超嘛或者请问你看过一场全场比赛的球赛吗村超的成功源于热爱，是一个给热爱足球的人施展的平台，把一个这么好的大众交流平台，抬起来和中超对比，你们这些媒体又是何居心呢你可以说村超办的好，说明中国足球群众基础没有想象的那么差，可以说中国足球的青训和选拔制度不完善。等等。。。但你硬要说村超水平远超中超。就因为几个精彩的进球集锦能踢出精彩的进球就代表联赛水平高中国的足球发展成现在这样，足协责任百分之80，你们这些媒体就是那百分之20吧，我觉得，作为一个媒体，在发表一个观点，一个看法，引导观众观念的时候，还是要自己做好功课，建议多了解了解足球，再来发布视频。,标题 水平 全场 球赛 足球 平台 大众 交流平台 媒体 居心 中国 足球 群众 基础 想象 中国 足球 青训 制度 超水平 精彩 进球 集锦 精彩 进球 代表 水平 中国 足球 责任 媒体 媒体 观点 观众 观念 功课 建议 足球 视频,1,0
还是这种比赛看起来有意思真的，谁都是热爱，这不就足球的初衷嘛,足球,1,0
就这评论区，完全对得起国内足球的成绩,评论 足球 成绩,1,0
笑了，这里实打实的足球荒漠，评论区有几个是碰过足球的,足球 荒漠 评论 足球,1,0
这个评论区就是喷子的狂欢，过度消费村超百害而无一利，不要让村超沦为讽刺国足，讽刺青训的工具，中国足球要崛起只能靠青训，不是村超火了就靠村超,评论 喷子 过度 青训 工具 中国 足球 青训,1,0
评论区，足以证明中国是足球荒漠,评论 证明 中国 足球 荒漠,1,0
就这个营销号蹭热度还能火，一堆人跟着玩梗，我就知道中国足球没好了,热度 玩梗 中国 足球,1,0
看评论区就知道中国足球差是有道理的，所谓的群众基础就是一群球盲,评论 中国 足球 道理 群众 基础 球盲,1,0
现在看倒觉得有优越感的是一些平时不看足球却可劲说“村超＞国足”的观众,足球 观众,1,0
站还真就是足球荒漠，看个乐呵得了，别当真,足球 荒漠 别当真,1,0
欧洲五大联赛也都是从这样的“村超”一步一步做出来的，没有纯粹的热爱，光有商业，拿什么支撑足球的发展,欧洲 商业 足球,1,0
中国足球缺的不是专业，而是有一个喜爱足球的氛围，国足（男）和足联给不了，村超能给。这不是水平多高，待遇多好，级别多大的问题，这是热爱，不要过度商业化也不要过度神话，就是喜爱足球的人们用各自的方式一起参与其中而已，希望村超能一直存在下去。,中国 足球 专业 足球 氛围 水平 待遇 级别 过度 商业化 过度 神话 足球 方式,1,0
我们都希望有更多村超的出现，希望有更多喜欢足球的人。但请你不要当标题党,足球 标题,1,0
宇宙足球希望在村超,宇宙 足球,1,0
其实村超的水平确实比不上专业的，但是村超带动了中国的足球氛围，让热爱足球的但又对中国足球氛围心灰意冷的人看到希望。因此向村超至敬，有机会一定到现场看一看。作为一个贵州人我十分骄傲，因为他让足球脱离了贵族，回归了平民。,水平 专业 中国 足球 氛围 足球 中国 足球 氛围 向村 机会 现场 贵州 足球 贵族 平民,1,0
足球拼的是技术，而不是职业问题,足球 技术 职业,1,0
来来来，到底是谁先把村超跟国足比的只要关于足球的事情，别人上来就先说什么县队踢得过你们中超的球队，你知道那是什么比赛吗这就这队那队的了海参，海参，海参是人家赞助商的，你掏钱让他们坐飞机去国外参加比赛吗真傻假傻呀，还中国罗梅西姆巴佩，关键在于青训关键在于管理方式关键在于制度，就搁这中国梅西罗了,足球 事情 县队 球队 海参 海参 海参 坐飞机 中国 罗梅西 关键在于 青训 关键在于 方式 关键在于 制度 中国 西罗,1,0
足球丁真,足球 丁真,1,0
世界赛事里总有中国的身影，只有足球，国人在叹气,世界 赛事 中国 身影 足球 国人,1,0
我一看到这标题我就知道中国足球还有很长的路要走,标题 中国 足球,1,0
足球我从小就踢，从来都是热爱。身边朋友踢的好的，进入梯队青训。像我这样一般水平的，学习成绩不错的，父母有所顾虑就一直读书了。热爱本身没有错，错就错在拿这个抢别人的饭碗。就跟游戏少年跟职业电竞比赛一样，只能显示你的无知。你说热爱，人家每天从早到晚都在训练，你拿头比我们要承认国足问题很大，但不是正确分析，随便恶搞歪曲国足实力，形成扭曲的足球价值氛围，中国足球谈何进步。中国足球从来不是贵族运动和村超也没有任何关系。只有正视差距，戮力同心，扎扎实实搞青训，中国足球才能越来越好。（最近国足两连胜，亚运队赢韩国，键盘侠怕是看不到）,足球 朋友 梯队 青训 水平 学习成绩 父母 读书 饭碗 游戏 职业 实力 足球 价值 氛围 中国 足球 谈何 中国 足球 贵族 和村超 关系 差距 青训 中国 足球 两连胜 韩国 键盘,1,0
足球在欧洲就是在群众中发展出来的，村超就是再走这条路,足球 欧洲 条路,1,0
当流浪地球》打开了中国科幻片的大门，给上海堡垒》关上了。当“村超”打开了中国足球的热清，给“中超”浇灭了。,流浪 地球 中国 科幻片 大门 上海 堡垒 中国 足球,1,0
这次村超比赛不光是中国足球的一片净土，也是世界足球的一片净土，现在职业足球联赛基本上都是利用规则去踢对面的人，已经没有了纯粹对足球热爱去尊重足球的那种感觉，一项运动流行一定是源自于大家对他的热爱与尊重，也是因为起初他的游戏规则是公平的，是吸引人的，我现在呢，不光是中国，你看国外的一些联赛，刚开始罗踢联赛的时候，基本上都是对面的人踢他技不如人就磨练自己的技术，而不是直接无视规则去攻击他人的身体，如果这样做，本身就背离了热爱这项运动的初心,中国 足球 净土 世界足球 净土 职业 足球联赛 利用 规则 对面 足球 足球 感觉 游戏规则 公平 中国 对面 技术 规则 身体 背离 初心,1,0
中国足协在足球运动员看来是工作，洒洒水摸摸鱼。而村超是一群真正热爱足球的人聚集在一块。爆杀中国足协我都信,中国足协 足球 运动员 足球 中国足协,1,0
中国教育已经闭环了，体育也差不多,中国,1,0
14亿人缺的并不是会踢球又热爱足球的人，而是缺少既会踢球又热爱足球而且还有钱并且有后门的人。所以你们知道国足的困难了吧，以后别再抱怨了,踢球 足球 踢球 足球 后门 国足 困难,1,0
足球其实是穷人的游戏，一个足球一块土地就可以了，非常简单。国足把这个运动的本质都抛弃了。,足球 穷人 游戏 足球 土地 国足 本质,1,0
我觉得贵州村超水平没有中超高是毋庸置疑的 但是我在村超看到了对足球的热情和希望 国足确实代表了中国目前最高水平 但是我只看到了窝里横和骄奢淫逸,贵州 超水平 足球 热情 代表 中国 水平,1,0
平时又不看球 现在来吹这些 蹭蹭热度来看球就来为中国足球发声了是吧,热度 中国 足球,1,0
足球成贵族游戏了,足球 贵族 游戏,1,0
看来足球也要走“农村包围城市”的道路,足球 农村 城市 道路,1,0
先普及足球文化，未来才有希望。哪怕最开始水平很低。,普及 足球 文化 水平,1,0
看足球就看个激情，技术先放一边，国足比赛看着都费劲,足球 激情 技术,1,0
 这才是足球该有的样子,足球 样子,1,0
到底是谁阻碍了中国足球的发展从村超可以看出喜爱足球的人很多,中国 足球 足球,1,0
吃足球饭的…都不希望看到足协以外的赛事…因为没钱拿,足球 赛事,1,0
以中国足球现在的成绩来说，中国足协在世界范围内也算业余足球协会了吧,中国 足球 成绩 中国足协 世界 业余 足球 协会,1,0
到底是谁在毁中国足球啊本身是一件球迷看了都觉得挺好的事，一堆人非要拿身体对抗都没有的娱乐足球碰瓷职业自己招黑找骂捧杀村超是吧,中国 足球 球迷 身体 足球 职业,1,0
您要不要再仔细看看足协声明说的是什么就祸害贵州足球了就这还指望中国足球好呢只能说中国足球活该好不起来,声明 祸害 贵州 足球 中国 足球 中国 足球,1,0
因为他们没有关系没有权利，所以不可能踢国足的，而且不是有人说了吗，中国足球就是笑话，海鲜吃太多了，买中国一直输都可以在北京买套房了,关系 权利 中国 足球 笑话 海鲜 中国 北京 套房,1,0
屁也不懂的营销号还那么多人瞎应和。知道国足是什么意思嘛，是中国走足球职业最强的一批人。中国注册球员才多少，你这些村超的为什么不敢从小就踢职业这个视频大多都是不看球的喷子，别说你们，我们看球的谁让孩子走职业中国有什么足球体系。你他妈到处都是打球的，篮球不也越来越差，更何况没人踢的足球，在中国足球跟很多滑雪项目一样（按比例来说），投入的人少，投入的精力也少，体系也差，想出成绩真是做梦,国足 中国 足球 职业 中国 球员 职业 视频 喷子 看球 孩子 职业 中国 足球 体系 篮球 足球 中国 足球 滑雪 项目 比例 精力 体系 成绩,1,0
足球荒漠，名副其实,足球 荒漠,1,0
热爱足球的人在民间，热爱金钱的人在国足。,足球 民间 金钱 国足,1,0
国足海参队√,海参,1,1
我能理解你说村超点燃了也与人的热情，但是你说跟人家职业比省省吧，别做梦了 球都不看在这儿，诋毁中国足球能给你带来满足感么踩一捧一不可取,热情 职业 比省 中国 足球 满足感,1,0
看了评论区发现站已经不是足球荒漠 是足球地狱了,评论 足球 荒漠 足球 地狱,1,0
最讨厌听到的就是说中国的足球天才在送外卖，或者在工地搬砖，或者在哪在哪打工，你们真的不要脸啊，这样说你们心里就会舒服些一个足球天才少不了从小到大都爱踢球，从小到大一有时间就去踢球，有人做得到吗我现在就没见过哪个小孩踢球的，别找借口说没足球场，人家巴西小孩随便找块地照样踢，泥地也踢得爽。中国的小孩颠球的都见不到，哪怕拿个足球随便踢踢的都没有。,中国 足球 天才 工地 舒服些 足球 天才 踢球 时间 踢球 小孩 踢球 借口 足球场 巴西 小孩 泥地 中国 小孩 足球 踢踢,1,0
群众的，才是中国的，中国的，就是世界的。,群众 中国 中国 世界,1,0
不是咱就是说 玩个足球 咋有些人还玩出优越感了 村超给我们带来了 前所未有的热情 知道你们有些人专业 但你们优越感 太重了,足球 热情 专业 太重,1,0
不是，不会真有人以为越南足球的问题在于资本运作吧不会吧,越南 足球 资本运作,1,0
逆天，但凡懂点儿足球也不至于碰瓷职业啊,点儿 足球 职业,1,0
什么时候能让爱足球会踢球的去踢比赛,足球 踢球,1,0
捧中超和国足臭脚的大聪明还是太多了，前不久赢了缅甸，瞬间又高潮了。所以，他们不愿意看到村超得的如火如荼，他们更愿意相信中国足球就是吃着海参嫖着娼，虐虐小菜，然后吹牛。,中超和国 臭脚 缅甸 高潮 中国 足球 海参 小菜 吹牛,1,0
人家自己耍耍整个联赛，开心最重要了，别给人扣振兴中国足球的帽子拜托了，也别远超这个那个了，会写文案别搁那语文阅读理解发散思维到外太空了，体育运动图的是强身健体丰富生活，比特码的打麻将咂二五他就有意义，人家自己组织比赛也没想过能给你们抬到振兴中国足球这个高度了。,人扣 中国 足球 帽子 文案 语文 思维 外太空 体育运动 打麻将 意义 中国 足球 高度,1,0
假如国际赛事邀请了村超，即便是不看足球的我，也要拉上朋友一起看,国际 赛事 足球 朋友,1,0
别这么说我们的海参队,海参,1,1
希望足球能够融入到我们每个人，身边就有自己支持的球队,足球 球队,1,0
足球本来就是全民的运动，巴西队这么强，难道人人都是专业培训出来的吗，不是因为巴西足球氛围浓厚，全民足球才能从群众里面找到苗子吗，有多少球星是贫民窟出来的，难道他们的球就踢不出水平吗,足球 全民 巴西队 专业培训 巴西 足球 氛围 全民 足球 群众 苗子 球星 贫民窟 水平,1,0
反正看到有说村超水平远超国足的，经典国足不信谣不传谣的，女足上了都能踢爆国足的，碰到足球就联想到国足骂海参的，这种评论仍然是从未减少，还有成千上万的点赞，我就明白，中国足球还是任重而道远，唉……,超水平 超国 经典 传谣 女足 足球 海参 评论 明白 中国 足球,1,0
村超被支持不是因为他们有多么能踢而是他们的体育精神是足球这项运动最初的样子,体育精神 足球 样子,1,0
吃海参了吗,海参,1,1
三流的国家队 还有这种不入流的所谓球迷 这就是中国足球,三流 国家队 球迷 中国 足球,1,0
就是因为你们这些牲口自媒体，中国足球才永远搞不好,牲口 媒体 中国 足球,1,0
没关注过这个，不过国足有多烂是早有耳闻了。现在的问题已经不是村超和中超谁强谁弱的问题了，毕竟训练条件等等底子在哪里摆着。问题的关键是，谁是真正喜欢足球这个运动，谁真的希望中国足球能更强。,国足 耳闻 和中超 条件 底子 关键 足球 中国 足球,1,0
只要一个队伍一个组织里面是纯粹的没有以公谋私的那么这个组织哪怕带一点商业化也好，人民一定鼎力支持，支持村超足球属于我们广大的工农及各普罗大众，让我们携手一起抵制中超，对抗不公和腐败，让曾经千禧年前的中国足球精神重新闪耀!,队伍 谋私 商业化 足球 工农 大众 不公 腐败 千禧年 中国 足球 精神,1,0
