txt,情感分数,情感类型,分词,主题概率,主题类型
男男很美好男的也是人，你们一味地去指责同性恋，男的好，女的好，每个人都有脆弱的一面，每个人也想要一个港湾来依靠，特别是男人，现在的社会是男强女弱，人人都认为男人是一家之主，必须撑起一个家，不能变得脆弱，只能一味地强大，男儿流血不流泪，但是他们也是人，在绝境时，不能向妻子，朋友，父母哭泣，就因为他们是男人，不能脆弱，脆弱只会变成羸弱，人们把男人想得太强大，他们也会感到累了，怕了，他们也同样需要另一个强大的男人保护，成为被保护者，而不是保护者，每个人都需要一个爱自己的人，他们选择了同性，这有错吗？这犯罪了吗？这惹你了吗？知不知道歧视他们的人是怎样的吗？据研究表明：1.心胸狭隘；2.跟不上潮流；新时代新思想，追求与时俱进，现在的爱是自由平等的，同性恋者，不要害怕，放飞自我，向着爱出发，向着未来奋斗，他们不是同性恋，你们应该生而骄傲，我相信同性恋的人都是高智商人群！ 收起,1.0,积极,美好 脆弱 港湾 男人 社会 强女 男人 脆弱 强大 男儿 流泪 绝境 妻子 朋友 父母 男人 脆弱 脆弱 男人 太强大 强大 男人 保护者 保护者 同性 心胸狭隘 潮流 时代 思想 自由 平等 同性恋者 骄傲 高智商 人群,"[(0, 0.01845029), (1, 0.9815497)]",1
 02 11 《》: 网页链接 和读过祖母真正的女性爱人迟来的信，最终决定要办一场婚礼来进入婚姻。可是万事糟透，就像那个神神道道说水星逆行的巫婆所说的一样。心情坏透，认为大概上帝不想让她们结婚，因为她们是同性恋。然而最后时刻攒起了所有人，为两人准备了一场完整的、美好的婚礼。两人宣誓，交换戒指，在喜悦中亲吻拥抱，温馨圣洁的婚礼。而一如他往常的自我设定，不陷入任何一种温情。两人在婚礼中抛新娘花束，花束也不知道被谁接到了，此时远在迈阿密的就举着洁白花束，在白色派对里眼神空洞，与一众陌生人狂舞。 收起,0.999734292858576,积极,网页 链接 祖母 女性 爱人 婚礼 婚姻 万事 水星 巫婆 心情 上帝 时刻 所有人 完整 美好 婚礼 戒指 喜悦 亲吻 温馨 圣洁 婚礼 温情 婚礼 新娘 花束 花束 花束 白色 眼神 空洞 陌生人 狂舞,"[(0, 0.017148335), (1, 0.9828517)]",1
 “他爱你的时候是真的，他不爱你的时候也是真的。”所以不要认为他在说不爱你要和你分开只是说说而已，男人提出分手都是经过深切思考，认为你们之间是不适合，所以才会如此果断的离开你，你越卑微，只会让他更加坚定他要分手的决心而已。那么，要成功挽回他，除了委曲求全这种必败的方式，还有什么方法是能够让你挽回成功，让你的爱情不留遗憾的呢？ 分手后怎么办分手后怎么挽回 失恋了怎么挽回 异地恋异国恋同性恋分手失恋分手后如何怎么样挽回前任挽回前女友，如何分离新欢分离小三分离前任感情维护情感挽回挽回前任情感咨询情话想你了难过不想分开伤心难过想哭想你了回来吧 收起,0.999999999999459,积极,男人 深切 卑微 坚定 成功 方式 方法 成功 爱情 遗憾 异地 异国恋 前任 前女友 前任 感情 情感 前任 情感 情话 伤心,"[(0, 0.041863848), (1, 0.95813614)]",1
骚姆 《  》超清大首播！该曲是骚姆首张录音室专辑《   》主打单曲，两年后重新录制新版本并推出正式版。此曲对骚姆意义重大，传递他希望某天，在世界上任何一个角落，同性恋也都能拥有获得幸福的正常权利。 ​,0.999926690620871,积极,清大 录音室 专辑 主打 单曲 版本 意义 角落 幸福 权利,"[(0, 0.9444154), (1, 0.055584576)]",0
同志是不是同性恋志愿者？ ​,0.0578105289918186,消极,同志 志愿者,"[(0, 0.23245518), (1, 0.76754487)]",1
 还是蛮佩服11区电视台的，而且还是，明知出生率很低还特地选择同性恋为切入点的原作拍成日剧。3集短剧，很平缓的叙事方式，特点是借用儿童率真的疑问来展现很多大人都不理解或是有所偏见的看法。 ​,0.999985714758422,积极,电视台 出生率 特地 切入点 原作 日剧 短剧 平缓 方式 儿童 大人,"[(0, 0.046434823), (1, 0.9535652)]",1
一个许久不见的朋友，见到很开心，想要给她一个热情的拥抱，她很坚定的转身说不要讲真，我不是同性恋，我只是不在乎我喜欢的人年龄大小，性别为何，只要真心实意这些都不是问题。更何况，就算我喜欢女生，也不是每个女生都喜欢的喜欢的是一个人，而不是的性别 收起,0.999637833739255,积极,朋友 热情 坚定 年龄 性别 女生 女生 性别,"[(0, 0.068846345), (1, 0.9311537)]",1
正在上幼儿园的男孩说要跟另一个男生“结婚”。“天哪！他是不是同性恋？”——如果你是男孩的父母，你会这么想吗？ 三位专家告诉你：孩子可能并非同性恋，不必太过担心。建议让孩子早接触性教育绘本，拒绝刻板印象，保持宽容接纳的态度与孩子进行深度沟通。:有养有养的秒拍视频 ​,0.999999946272072,积极,幼儿园 男孩 男生 男孩 父母 专家 孩子 建议 孩子 绘本 刻板 印象 宽容 态度 孩子 深度 视频,"[(0, 0.74453205), (1, 0.2554679)]",0
 欧猴的视频《我们的社会能拥抱同性恋么 谢谢你的爱与接纳》 网页链接 () ​,0.999948437373102,积极,欧猴 视频 社会 谢谢 网页 链接,"[(0, 0.08695839), (1, 0.9130416)]",1
尖锐现在皮肤科性病门诊中肛周、肛管、直肠内尖锐湿疣的患者不在少数，其中有不少同性恋的肛交行为染上，也有一些是异性恋寻求性生活方式的多样性而进行肛交后染上，还有一些是通过手的自身接种或污染的洗具染上的。 ​,0.921516383997275,积极,尖锐 皮肤科 性病 门诊 肛周 肛管 直肠 尖锐湿疣 患者 肛交 染上 异性恋 性生活 方式 肛交 染上 洗具 染上,"[(0, 0.032293245), (1, 0.9677068)]",1
暴怒，当同性恋被问到：要不要试着喜欢异性啊？ 同性恋联盟的秒拍视频 ​,0.939820049538295,积极,异性 视频,"[(0, 0.74039507), (1, 0.259605)]",0
突然想起来个初中的事儿，在这里说说，权当记录生活。初三毕业的时候我周围都是哭着喊着不想毕业的同学，每次看到他们的样子我都嗤之以鼻，对我个人来说，毕业简直是再好不过的事情。为什么呢，因为我初中的同桌喜欢我。初中同桌是个女的。我也是个女的。怎么说呢，感觉很微妙。虽然我至今没谈过恋爱，而且对于谈恋爱的性别也没有明确要求，但我觉得我应该还是喜欢男的吧，毕竟我平凡的十七年的人生似乎没有确切的证据可以证明我是同性恋。但是不管怎么说，反正我是不喜欢她。而且最尴尬的一点是，我们是同桌。她总是喜欢用她本身的标准要求我，也喜欢强迫我做一些我并不情愿的事，她同样也喜欢向别人展示她的体贴和她对于我拥有的权利，尽管在我看来这些对我简直是灾难。还有一些奇怪的肢体接触……呃，就是很奇怪。索性初中毕业也很快，大家分道扬镳，该去哪里去哪里，故事就再无后续。谢天谢地。（好怕被熟人看见……我写的真的是真人真事……你们不能因为我不好看就质疑我啊） 收起,0.999999999977252,积极,事儿 权当 记录 毕业 毕业 同学 样子 毕业 事情 同桌 同桌 个女 个女 感觉 微妙 性别 平凡 人生 确切 证据 证明 尴尬 同桌 标准 强迫 情愿 体贴 权利 灾难 肢体 索性 毕业 故事 熟人,"[(0, 0.021683894), (1, 0.97831607)]",1
你知道同性恋吗；参加诗歌咏诵会演员每人发五张票……只有不连座的五张票：在西边山东省会大剧院歌剧厅。请谅解，其实。 ​,0.984368833071572,积极,诗歌 演员 连座 山东省 剧院 歌剧,"[(0, 0.9121119), (1, 0.0878881)]",0
女儿嫁不嫁都可以，连同性恋我也支持，只要女儿自己能开心幸福。因为嫁给男人真的是冒太多风险，不好的婆婆，无担当的老公，意外怀孕受到的伤害，太多了，碰到了这些，我宁愿女儿一辈子不婚，或同性恋。”,0.999998905932037,积极,女儿 女儿 幸福 男人 风险 婆婆 老公 意外 伤害 女儿,"[(0, 0.936634), (1, 0.06336596)]",0
