页码链接,用户id,用户,用户名链接,来自用户名,发表日期,点赞量,转发量,评论数量,content,分词
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月27日 17:19,158,3903,332,亚运会网球男子单打1/4决赛第1场，中国选手张之臻战胜印度选手苏米特·纳加尔，晋级四强！继续加油，期待更多精彩表现！ ​,亚运会 网球 男子单打 决赛 中国 选手 张之臻 战胜 印度 选手 米特 纳加尔 晋级 加油 期待 精彩 表现
https://weibo.com/ajax/statuses/searchProfile?uid=1699540307&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,1699540307,中国之声,,,2023年09月24日 09:25,13,29,11,刚，杭州亚运会赛艇女子轻量级双人双桨决赛中，中国选手邹佳琪、邱秀萍呐联手出击，夺得中国队在杭州亚运会的首枚金牌，这也是本届。恭喜！ ​,杭州 亚运会 赛艇 女子 轻量级 双人 双桨 决赛 中国 选手 邹佳琪 邱秀萍 联手 出击 夺得 中国队 杭州 亚运会 首枚 金牌 本届 恭喜
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月27日 17:04,216,3286,332,亚运会体操女子全能决赛，17岁的中国姑娘左彤夺冠。点赞！ ​,亚运会 体操 女子 全能 决赛 中国 姑娘 左彤 夺冠
https://weibo.com/ajax/statuses/searchProfile?uid=1699540307&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,1699540307,中国之声,,,2023年09月23日 08:11,13,42,8,今晚8点，杭州亚运会将正式开幕。金秋九月，相约杭州！此刻，一起为运动员们加油！你最期待谁的表现？ ​,今晚 杭州 亚运会 正式 开幕 金秋 九月 相约 杭州 此刻 运动员 加油 期待 表现
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月27日 15:24,497,21585,1032,今日，杭州第19届亚运会滑板男子街式决赛，16岁中国选手张杰夺得金牌。恭喜！ ​,今日 杭州 亚运会 滑板 男子 街式 决赛 中国 选手 张杰 夺得 金牌 恭喜
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月27日 15:22,173,3743,239,亚运会武术男子刀术棍术全能比赛，常志昭夺得金牌。常志昭一武术是兰州大学的武术教师。学生：！ ​,亚运会 武术 男子 刀术 棍术 全能 比赛 常志昭 夺得 金牌 常志昭 武术 兰州大学 武术 教师 学生
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月27日 15:07,124,1873,211,9月27日，杭州第19届亚运会射击女子25米手枪个人决赛，中国选手刘锐夺得金牌。祝贺！ ​,杭州 亚运会 射击 女子 手枪 决赛 中国 选手 刘锐 夺得 金牌 祝贺
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月27日 14:11,111,1248,178,今天是杭州亚运会开幕后的第4个比赛日，中国队总奖牌数已破百。央视新闻继续陪你畅聊亚运。听运动员陈可怡、杨飞讲述中国女子七人制橄榄球队夺冠背后的故事。当数字杭州遇上智慧亚运，会产生什么“化学反应”？ 杭州程序员传火炬都不忘带格子衫？ ,杭州 亚运会 开幕 比赛 中国队 奖牌数 破百 央视 畅聊 亚运 运动员 陈可怡 杨飞 讲述 中国 女子 七人制 橄榄球队 夺冠 背后 故事 数字 杭州 遇上 智慧 亚运 化学反应 杭州 程序员 火炬 忘带 格子
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月27日 11:15,1632,15558,1459,亚运会滑板女子街式决赛，13岁中国选手崔宸曦夺得金牌，18岁中国选手曾文蕙获得银牌。，恭喜姑娘们！ ​,亚运会 滑板 女子 街式 决赛 中国 选手 崔宸 夺得 金牌 中国 选手 曾文蕙 银牌 恭喜 姑娘
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月27日 11:15,1342,21275,1422,刚结束的亚运会滑板女子街式决赛中，年仅13岁的中国姑娘崔宸曦 ​夺得金牌！ ​,结束 亚运会 滑板 女子 街式 决赛 中国 姑娘 崔宸 夺得 金牌
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月27日 10:29,210,1987,307,亚运会射击女子50米步枪3种姿势团体赛，由张琼月、夏思钰、韩佳予组成的中国队夺得金牌。恭喜！ ​,亚运会 射击 女子 步枪 姿势 团体赛 张琼 夏思钰 韩佳予 中国队 夺得 金牌 恭喜
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月27日 09:48,153,1251,238,今日，赛事组委会正式宣布了昨天结束的三场比赛成绩：杭州第19届亚运会帆船女子快速艇-49人级比赛，中国组合胡晓宇、单梦缘夺得金牌。帆船男子快速艇-49人级比赛，中国组合。帆船混合双体船-诺卡拉17级比赛，中国组合。 ​,今日 赛事 组委会 正式 昨天 结束 三场 比赛 成绩 杭州 亚运会 帆船 女子 快速 比赛 中国 组合 胡晓宇 单梦缘 夺得 金牌 帆船 男子 快速 比赛 中国 组合 帆船 混合 双体船 卡拉 比赛 中国 组合
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月27日 09:39,109,1337,197,杭州第19届亚运会帆船女子快速艇-49人级比赛，中国组合胡晓宇、单梦缘夺得金牌。 ​,杭州 亚运会 帆船 女子 快速 比赛 中国 组合 胡晓宇 单梦缘 夺得 金牌
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月27日 09:26,493,5541,378,本届亚运会，15岁广东男孩滑手陈烨为中国队摘下滑板项目世界大赛首金。父亲陈玩钦曾是音乐和舞蹈老师，梦想是做艺术家。为支持儿子训练，他租下仓库，自学设计、建模、木工。他回忆曾经做到深夜一两点，场地有些结构对不上，想到花了那么多钱要打水漂，感觉眼泪就要掉下来了。如今，他说：“我很享受当父亲的感觉。”转起！致敬父爱！ ​,本届 亚运会 广东 男孩 滑手 陈烨 中国队 摘下 滑板 世界大赛 首金 父亲 陈玩钦 音乐 舞蹈 老师 梦想 艺术家 支持 儿子 训练 租下 仓库 自学 设计 建模 木工 回忆 深夜 一两点 场地 结构 对不上 想到 打水漂 眼泪 掉下来 享受 父亲 致敬 父爱
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月27日 08:18,732,7566,623,这次杭州亚运会，48岁老将丘索维金娜，晋级跳马单项决赛。她从7岁开始练习体操，已参加过八届奥运会。通常，16-20岁是体操运动员的黄金年龄，而今年48岁的丘索维金娜，早已超出普通体操运动员的“极限”。 ​,杭州 亚运会 老将 丘索维 金娜 晋级 跳马 单项 决赛 体操 参加 八届 奥运会 体操 运动员 黄金 年龄 丘索维 金娜 早已 超出 体操 运动员 极限
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月26日 21:50,2089,14182,1185,杭州亚运会乒乓球男子团体决赛，国乒男团发挥稳定，以3比0大胜韩国队。赛后的发布会上，了。最好的祝福，送给站上领奖台的他们！再次祝贺王楚钦、樊振东、马龙、林高远、梁靖崑！,杭州 亚运会 乒乓球 男子 团体 决赛 国乒 男团 发挥 稳定 大胜 韩国队 赛后 祝福 送给 站上 领奖台 祝贺 王楚钦 樊振东 马龙 高远
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=2&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月26日 21:12,959,9878,1117,在刚结束的杭州亚运会男子4×10米混合泳接力决赛中，中国选手徐嘉余、覃海洋_、王长浩、潘展乐看台观战选手联袂出战，为中国游泳队赢得一枚金牌。恭喜中国队！ ​,结束 杭州 亚运会 男子 混合泳 接力 决赛 中国 选手 徐嘉余 海洋 王长浩 潘展乐 看台 观战 选手 出战 中国 游泳队 赢得 一枚 金牌 恭喜 中国队
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=2&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月26日 20:49,4455,46157,3205,刚，杭州亚运会乒乓球男子团体决赛，中国选手王楚钦、樊振东、马龙出战，击败韩国队，夺得冠军，实现！一起祝贺国乒！ ​,杭州 亚运会 乒乓球 男子 团体 决赛 中国 选手 王楚钦 樊振东 马龙 出战 击败 韩国队 夺得 冠军 祝贺 国乒
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=2&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月26日 20:42,147,2040,167,杭州亚运会女子40米自由泳决赛，中国选手李冰洁打破亚运会纪录，夺得金牌！这也是李冰洁在本届亚运会的第三枚金牌。另一名中国选手马永慧夺得银牌， 。好样的！ ​,杭州 亚运会 女子 自由泳 决赛 中国 选手 李冰 打破 亚运会 纪录 夺得 金牌 李冰 本届 亚运会 第三枚 金牌 另一名 中国 选手 马永慧 夺得 银牌 好样
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=2&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月26日 20:21,148,2510,220,刚，杭州亚运会男子150米自由泳决赛，中国0后小将费立纬夺得金牌。恭喜！ ​,杭州 亚运会 男子 自由泳 决赛 中国 小将 费立纬 夺得 金牌 恭喜
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=2&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月26日 19:53,123,1867,199,在刚结束的杭州亚运会女子20米仰泳决赛中，中国选手彭旭玮_以绝对优势夺得冠军，成功收获！柳雅欣柳阿欣获得银牌。恭喜！ ​,结束 杭州 亚运会 女子 仰泳 决赛 中国 选手 彭旭玮 绝对优势 夺得 冠军 成功 收获 柳雅欣 柳阿欣 银牌 恭喜
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=2&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月26日 19:51,3685,43243,2940,今晚，在杭州电竞中心进行的王者荣耀亚运版本决赛中，中国队6名选手孙麟威、蒋涛、池晓铭、徐必成、林恒、罗思源表现出色，以2比0击败马来西亚队，夺得该项赛事的金牌！这也是杭州亚运会电子竞技项目诞生的首枚金牌。,今晚 杭州 中心 王者 荣耀 亚运 版本 决赛 中国队 选手 孙麟威 蒋涛 池晓铭 徐必成 林恒 表现出色 击败 马来西亚队 夺得 该项 赛事 金牌 杭州 亚运会 电子竞技 诞生 首枚 金牌
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=2&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月26日 18:45,209,2279,282,今天，杭州亚运会场地自行车女子团体竞速赛决赛，中国队夺得金牌！仔细看，姑娘们的头盔上印有哪吒造型。网友：，飒！ ​,杭州 亚运会 场地 自行车 女子 团体 竞速赛 决赛 中国队 夺得 金牌 仔细 姑娘 头盔 印有 哪吒 造型
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=2&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月26日 17:38,507,9241,692,杭州亚运会竞技体操男子全能决赛，张博恒張博恆发挥稳定，夺得金牌！另一位中国选手兰星宇获得铜牌！祝贺两位！点赞，实至名归！ ​,杭州 亚运会 竞技体操 男子 全能 决赛 张博恒 張博恆 发挥 稳定 夺得 金牌 一位 中国 选手 兰星宇 铜牌 祝贺 两位 实至名归
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=2&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月26日 16:49,1648,11618,1076,杭州亚运会乒乓球女子团体决赛，这也是中国乒乓球队本届亚运会获得的首枚金牌。祝贺国乒，继续加油！ ​,杭州 亚运会 乒乓球 女子 团体 决赛 中国乒乓球队 本届 亚运会 首枚 金牌 祝贺 国乒 加油
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=2&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月26日 16:48,2771,23687,1954,刚，杭州亚运会乒乓球女子团体决赛，由孙颖莎、陈梦-乒乓球、王曼昱组成的中国队击败日本队，夺得冠军，实现！永远可以相信国乒，恭喜中国姑娘们！ ​,杭州 亚运会 乒乓球 女子 团体 决赛 孙颖莎 陈梦 乒乓球 王曼昱 中国队 击败 日本队 夺得 冠军 永远 国乒 恭喜 中国 姑娘
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=2&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月26日 16:02,312,5061,605,杭州亚运会乒乓球女子团体决赛第二场，陈梦-乒乓球3比2战胜日本队的平野美宇。五局比分：12-10、8-1、7-1、1-8、1-5。目前，中国队以大比分2比0领先日本队。网友：好漂亮，不由自主被吸引！ ​,杭州 亚运会 乒乓球 女子 团体 决赛 第二场 陈梦 乒乓球 战胜 日本队 美宇 五局 比分 中国队 大比分 领先 日本队 漂亮 不由自主 吸引
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=2&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月26日 14:56,560,14080,847,杭州亚运会乒乓球女子团体决赛，中国队孙颖莎率先出战，3比1战胜日本队的早田希娜。四局比分：1-6、12-10、8-1、1-9。接下来，陈梦-乒乓球、王曼昱将出战。加油！ ​,杭州 亚运会 乒乓球 女子 团体 决赛 中国队 孙颖莎 率先 出战 战胜 日本队 田希娜 四局 比分 陈梦 乒乓球 王曼昱 出战 加油
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=2&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月26日 14:00,106,738,128,杭州亚运会，我们的0后小将闪耀赛场。就在今天上午，随着又一枚金牌到手，！央视新闻带你畅聊亚运，亚运冠军李洪凤做客演播室，回忆夺冠瞬间；杭州亚运会奖牌设计师章俊杰，揭秘创作美学；在浙江小百花越剧团，打卡亚运限定版《梁祝》,杭州 亚运会 小将 闪耀 赛场 今天上午 一枚 金牌 到手 央视 畅聊 亚运 亚运 冠军 李洪凤 回忆 夺冠 瞬间 杭州 亚运会 奖牌 设计师 俊杰 揭秘 创作 美学 浙江 百花 越剧团 亚运 限定版 梁祝
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=2&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月26日 13:29,550,7724,724,今天，杭州亚运会射击混合团体10米气步枪决赛，我国0后组合盛李豪、黄雨婷夺冠。黄雨婷此前还在射击女子10米气步枪团体、个人赛分别夺冠，成为了杭州亚运会首个“三冠王”！目前，。少年未来可期！ ​,杭州 亚运会 射击 混合 团体 气步枪 决赛 我国 组合 盛李豪 黄雨婷 夺冠 黄雨婷 此前 射击 女子 气步枪 团体 个人赛 夺冠 杭州 亚运会 首个 冠王 少年 未来
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=2&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月26日 13:03,601,10364,1079,今天下午2点，杭州亚运会乒乓球女团决赛将打响，。一起为中国姑娘们加油！期待比赛！ ​,今天下午 杭州 亚运会 乒乓球 女团 决赛 打响 中国 姑娘 加油 期待 比赛
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=2&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月26日 11:56,239,1900,383,刚，杭州亚运会10米气步枪混合团体决赛，中国组合盛李豪/黄雨婷发挥出色，夺得金牌。到手，好样的！ ​,杭州 亚运会 气步枪 混合 团体 决赛 中国 组合 盛李豪 黄雨婷 发挥 出色 夺得 金牌 到手 好样
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=2&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月26日 07:29,1066,9399,1772,今天，杭州亚运会将决出39枚金牌。①国乒男团决赛对阵韩国，；②0后冠军盛李豪、黄雨婷联手出战男女10米气步枪混合团体决赛；③女子40米自由泳，李冰洁冲击本届亚运会个人第三金；④电子竞技项目决赛，中国对阵马来西亚。你最期待哪场比赛？ ​,杭州 亚运会 决出 金牌 国乒 男团 决赛 对阵 韩国 冠军 盛李豪 黄雨婷 联手 出战 男女 气步枪 混合 团体 决赛 女子 自由泳 李冰 冲击 本届 亚运会 第三 电子竞技 决赛 中国 对阵 马来西亚 期待 哪场 比赛
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=2&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月25日 22:46,1265,17789,1250,今晚，48岁的传奇老将丘索维金娜亮相杭州亚运会赛场，以资格赛第五晋级跳马单项决赛。当她从跳马上稳落地的那一刻，掌声和欢呼声在场馆内久回荡，致敬老将，致敬每一个为梦想而战的人！ ​,今晚 传奇 老将 丘索维 金娜 亮相 杭州 亚运会 赛场 资格赛 第五 晋级 跳马 单项 决赛 落地 那一刻 掌声 欢呼声 在场 馆内 回荡 致敬 老将 致敬 梦想
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=2&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月25日 21:01,424,4134,617,今晚，杭州亚运会体操女子资格赛暨团体决赛打响。由张欣怡、左彤、章瑾、虞琳敏、唐茜靖组成的中国队赢得冠军，成功卫冕，实现中国体操女团亚运13连冠。 ​,今晚 杭州 亚运会 体操 女子 资格赛 团体 决赛 打响 欣怡 左彤 章瑾 虞琳敏 唐茜靖 中国队 赢得 冠军 成功 卫冕 中国 体操 女团 亚运 连冠
https://weibo.com/ajax/statuses/searchProfile?uid=2656274875&page=2&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,2656274875,央视新闻,,,2023年09月25日 20:35,833,13191,854,刚，杭州亚运会女子20米个人混合泳决赛，中国选手余依婷_获得金牌，以2分07秒75的成绩打破赛会纪录；老将。超棒！ ​,杭州 亚运会 女子 混合泳 决赛 中国 选手 余依婷 金牌 成绩 打破 赛会 纪录 老将 超棒
https://weibo.com/ajax/statuses/searchProfile?uid=7211561239&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,7211561239,央视频,,,2023年09月27日 20:30,5,39,13,金牌的圆是圆满，中秋的圆是团圆。杭州第19届亚运会正逢中秋，《与君共品一轮月》融媒体节目借助亚运热点，展现赛场上的故事，营造“中秋时刻 亚洲共团圆”的浓厚氛围。,金牌 圆满 中秋 团圆 杭州 亚运会 正逢 中秋 君共品 一轮 媒体 节目 借助 亚运 展现 赛场 故事 营造 中秋 时刻 亚洲 团圆 浓厚 氛围
https://weibo.com/ajax/statuses/searchProfile?uid=7211561239&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,7211561239,央视频,,,2023年09月27日 19:00,0,0,0,秋高气爽，总台体育频道评论员于嘉来到美丽的西溪湿地，亚运会期间有幸在领略杭州文化的同时，在洪氏宗祠里近距离感受不一样的“五常十八般武艺”。在这里，于嘉限时体验“武林宗师”，一招一式有模有样。，解锁更多精彩内容！,秋高气爽 体育频道 于嘉 来到 美丽 西溪 湿地 亚运会 期间 有幸 领略 杭州 文化 洪氏 宗祠 近距离 感受 五常 十八般武艺 于嘉 限时 体验 武林 宗师 一招一式 有模有样 解锁
https://weibo.com/ajax/statuses/searchProfile?uid=7211561239&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,7211561239,央视频,,,2023年09月27日 14:42,30,323,41,杭州亚运会体操男子个人全能决赛，张博恒以6个单项5个第一，总分89分夺冠，收获个人本届亚运会第二金！央视频和雅迪电动车官方微博一起为您奉上比赛高能时刻集锦！ ​,杭州 亚运会 体操 男子 个人全能 决赛 张博恒 单项 第一 总分 夺冠 收获 本届 亚运会 和雅迪 比赛 高能 时刻 集锦
https://weibo.com/ajax/statuses/searchProfile?uid=7211561239&page=1&q=%E4%BA%9A%E8%BF%90%E4%BC%9A,7211561239,央视频,,,2023年09月27日 13:48,5,42,10,本期，央视频记者带您走进天下篆刻第一名社—西泠印社，亚运会开幕式主题印篆就来自这里。百年传统文化积淀，擅长金石篆刻，诗书画印四绝。亚运开幕式主题印篆刻者用新式印章，焕发传统艺术的新生魅力！​,本期 走进 天下 篆刻 第一名 西泠印社 亚运会 开幕式 主题 印篆 百年 传统 文化 积淀 擅长 金石 篆刻 诗书画 四绝 亚运 开幕式 主题 篆刻 新式 印章 焕发 传统 艺术 新生 魅力
