评论ID,评论文本,翻译-评论文本,fenci,sentiment
@pujavlog1157,Hi fast comment,嗨，快速评论,评论,正面
@Faustobellissimo,I though the Chenese drink only hot water...,我以为中国只喝热水.,热水,正面
@user-fn9qx1gl2q,"สวัสดีชาวโลก🇺🇸
20%07#2024#18.00
รัฐบาลพรรคเดียวก้าวไกล",你好世界上的人🇺🇸20％07＃2024＃18唯一的政府,世界 政府,正面
@shivaadhikari7854,Congratulations Dainxi xigieo sister 11.1 million subscriber,恭喜 姐妹10万用户,恭喜 姐妹 用户,正面
@susandailylife,"Why so short  Please make long version of this video, i love summer drinks a lot",为什么这么简短，请制作这个视频的长版本，我喜欢夏天的饮料很多,简短 视频 版本 喜欢 饮料,正面
@شرقيات.وغربيات,افرح اذا جاني اشعار اشتراك جديد,如果新的订阅通知感激不已，很高兴,订阅 通知 感激,正面
@Kiolgamer,"Hai dianxi,how r u ,iam big fan of you, greetings from Hyderabad.", ，您的忠实粉丝，海得拉巴的问候。,忠实 粉丝 问候,正面
@ongnguyen7327,"Hello DianXi xiaoge,bạn rất xinh đẹp và giỏi giang,quê hương của bạn phong cảnh tuyệt đẹp thật đáng sống,rát thích xem videos của bạn vì nó rất hay,thanks từ Việt Nam.!",您好 ，您非常美丽和好，您的家乡很漂亮，非常值得生活，就像观看视频一样，因为它非常好，谢越南。,家乡 很漂亮 值得 观看 视频,正面
@charulatha7654,Hi mam can you donate money in your town only ?,嗨，妈，您只能在您的镇上捐款吗？,只能 镇上 捐款,正面
@Oh-So-Orange,"nhà Xiaoge có view rất đẹp, phong thuỷ tốt cho sức khoẻ, bên Quý châu người ta lại thích ở trong hang động không khí âm u ẩm ướt lâu dài hoàn toàn không thích hợp cho sức khoẻ sinh hoạt, còn với người ghé chơi thì có thể thấy thú vị",小家族景色非常美丽，风水对健康有益。,景色 风水 健康 有益,正面
@josephineEspino-gk2fr,this is an old video ive watch this many times but i love it,这是我看过很多次的旧视频，但我喜欢它,看过 视频 喜欢,正面
@risah4765,recipes please!!,食谱请！,食谱,正面
@Oh-So-Orange,"tại sao chủ yếu các nickname xưng đến từ Ấn độ, Thái, Phi, nói chung chủ yếu từ Đông nam á hay Nga mà không có từ Châu Âu, Mỹ, Can, Úc là những nơi có người gốc Trung khá đông đảo ????? Hơn nữa chính trị văn hoá Ấn Độ vốn khác biệt và không mấy hữu hảo với láng giềng Trung Quốc (Đại lục no Taiwan)",为什么主要来自印度，泰国，非洲的昵称，通常来自东南亚或俄罗斯，没有欧洲，美国，澳大利亚是中国起源很大的地方？此外，印度文化政治与中国邻国（台湾大陆）不同，并不是很好,昵称 起源 很大 地方 文化 政治 邻国 大陆,正面
@Shortsvideo-786k,Please make new video Dianxi,请制作新的视频,视频,正面
@Daisy-qk8vb,Where are the recipes ?,食谱在哪里？,食谱,正面
@user-ed8xz2zf4u,嗨。. 我想写信给宝鸡市动物园管理处. 但我不懂中文，也找不到动物园的网站。 我是从翻译写的。 请帮我把我的信息转发给他们. 在那里，动物在没有睡眠的情况下淹死在笼子里（（（他们没有被释放，我想，因为他们是掠食者。 要求他们打开笼子，做木筏，动物会爬到他们身上并得救。 看到他们淹死而几天不睡觉是一种嘲弄。 看着他们的眼睛（另一种选择，只要他们在木筏上，让他们睡觉，把他们装进船里，把他们带出去。 向其他中国城市或国家寻求帮助。 请给他们的信息，也许写在你的来源，动物园管理将阅读它。 或者紧急打开笼子，然后来吧。 谢谢！.,嗨。. 我想写信给宝鸡市动物园管理处. 但我不懂中文，也找不到动物园的网站。 我是从翻译写的。 请帮我把我的信息转发给他们. 在那里，动物在没有睡眠的情况下淹死在笼子里（他们没有被释放，我想，因为他们是掠食者。 要求他们打开笼子，做木筏，动物会爬到他们身上并得救。 看到他们淹死而几天不睡觉是一种嘲弄。 看着他们的眼睛（另一种选择，只要他们在木筏上，让他们睡觉，把他们装进船里，把他们带出去。 向其他中国城市或国家寻求帮助。 请给他们的信息，也许写在你的来源，动物园管理将阅读它。 或者紧急打开笼子，然后来吧。 谢！.,写信给 动物园 管理处 不到 动物园 网站 是从 翻译 信息 转发给 动物 睡眠 情况 淹死 笼子 释放 食者 打开 笼子 木筏 动物 得救 淹死 睡觉 嘲弄 看着 眼睛 选择 木筏 睡觉 装进 国家 寻求 信息 来源 动物园 阅读 紧急 打开 笼子,正面
@maile1742,"Grandpa told the Best ""my granddaughter can do everything""! A big hug to Dawang and Laifu. Bless All.",爷告诉了最好的“我的孙女可以做的一切”！对和的拥抱。祝福大家。,告诉 拥抱,正面
@lamanhnewlife,Turning chicken and duck eggs into century eggs with those surprise colors is truly an art,将鸡肉和鸭蛋变成具有惊喜颜色的世纪鸡蛋是真正的艺术,鸡肉 鸭蛋 惊喜 颜色 世纪 鸡蛋 艺术,正面
@user-ke1tt3ks8h,"You are so talented!  When you peeled and chopped the eggs, they looked like jewels!  Your grandpa (and grandma) is so sweet; he is proud of his granddaughter.",你是如此有才华！当您剥皮并切碎鸡蛋时，它们看起来像珠宝！你的爷（和祖母）真是太好了。他为孙女感到骄傲。,剥皮 切碎 鸡蛋 感到 骄傲,正面
@MountainLifeTales-kx6lj,"This video is delightful! The way she cooks is simply amazing, and the peaceful scenery in the background adds to its charm. I thoroughly enjoyed watching it!",这个视频令人愉快！她的烹饪方式简直令人赞叹，而背景中的宁静风光则增加了其魅力。我非常喜欢看它！,视频 愉快 烹饪 方式 赞叹 背景 风光 增加 魅力 喜欢,正面
@MrsMilato,"Hello Penji and family!  I hope Ahao is doing okay. When we hear patient and iv, that is usually because they are sick. Sending all the  and  to you all!",你好佩吉和家人！我希望一切都好。当我们听到病人和时，通常是因为他们生病了。将所有和所有人发送给所有人！,家人 希望 听到 病人 生病 所有人 发送给 所有人,负面
@dawnkrueger9168,My favorite thing....is when you serve your grandparents 1st.,我最喜欢的事情。.是当您为祖父母服务时。,喜欢 事情,正面
@sewwandhiachini3053,This grand mom and grand fa is very lucky to have a grand child like you️,这个大妈和爷很幸运能有一个像你这样的大孩子,大妈 幸运 孩子,正面
@sycronice,Making food for my grandparents makes me happy. I know I don''t have much time left with them but to show it through yummy food. The day they cross over is not a day I look forward to. May you have many happy meals with them for at least a little while longer.,为我的祖父母做食物让我开心。我知道我没有太多时间和他们在一起，而是通过美味的食物来展示它。他们越过的那一天不是我期待的一天。愿您至少有很多快乐的饭菜。,食物 开心 时间 食物 展示 期待 快乐 饭菜,正面
@user-dv7wd6uc5f,"Я первый раз был в китайском ресторане в Страсбурге  в 1998 году на привокзальной площади. И тогда первый раз попробовал утку по-пекински и ""китайский самовар""! Потом до ковида каждый год туда обязательно заходил!",我是198年在斯特拉斯堡（）的中国餐厅第一次在车站广场上。然后，我第一次尝试北京和“中国萨姆瓦尔”的鸭子！然后，对于，我肯定每年都去那里！,餐厅 车站 广场 鸭子 肯定,正面
@gothtechsupport2337,"the quail eggs look like little gemstones, century eggs are so beautiful!",鹌鹑蛋看起来像小宝石，世纪鸡蛋是如此美丽！,鹌鹑蛋 世纪 鸡蛋,正面
@Kvv7627,"As Teo Chew descendant, century eggs always come with porridge, not to forget salted eggs as well",正如 后代一样，世纪鸡蛋总是带有粥，也不要忘记咸蛋,世纪 鸡蛋 带有 忘记,正面
@aileenk5514,These century eggs r so palatable jz by its beautiful looks. Both the clear yellow n the brown black r like crystal.,这些世纪的鸡蛋凭借其美丽的外观如此可口的。透明的黄色都像晶体一样。,世纪 鸡蛋 外观 可口 透明 黄色 晶体,正面
@PeggyParrish-sg1eu,Your grandpa is so sweet praising all your hard work!!! I admire how your culture honors their elders and takes care of them so well. Another fantastic video!!,您的爷非常赞美您的所有辛勤工作！我欣赏您的文化如何尊重他们的长辈，并很好地照顾他们。另一个很棒的视频！,辛勤工作 欣赏 文化 尊重 长辈 很好 照顾 很棒 视频,正面
@ButterFly-zh8ho,"Before today I wouldn't have imagined I would want to taste these eggs, but this has removed all my preconceptions, it looks appetizing.",在今天之前，我不会想象我想品尝这些鸡蛋，但是这消除了我所有的先入之见，看起来很开胃。,想象 品尝 鸡蛋 消除 开胃,正面
@user-ux4gl2iy7z,"빼놓치않고다 구독합니다
요리에 황홀함과 그곳자연 풍광들 문화 정서들 눈호강 합니다",订阅它菜肴的狂喜和文化情感的自然风光,订阅 菜肴 狂喜 文化 情感,正面
@user-tv8xj9qh3x,Kitni pyari ho tum aor kitni achi jagah rhti ho dada dadi ki kitni respect krti ho so sweet,你真可爱,可爱,正面
@jaimechan3392,"盆雞姐,你好！不經不覺看你的視頻都好幾年了,把你們當成遠方的家人。
大王長大了很多,亞豪都長成美少年了,日子過得真快。祝願府上各人安好,身體健康","盆鸡姐,你好！不经不觉看你的视频都好几年了,把你们当成远方的家人。大王长大了很多,亚豪都长成美少年了,日子过得真快。祝愿府上各人安好,身体健康",盆鸡 视频 当成 家人 长成 日子 祝愿 府上 安好,正面
@user-mu2ic6ck9c,"I always love her videos,culture and all her kind of cooking. I really love the place,the ambiance and it's resources. Lots of food to eat and a happy faces of her family eating together. God bless! From Philippines",我一直喜欢她的视频，文化和她所有的烹饪。我真的很喜欢这个地方，氛围及其资源。很多食物要吃，她的家人一起吃饭。上帝保佑！来自菲律宾,喜欢 视频 文化 烹饪 喜欢 地方 氛围 资源 食物 家人 吃饭,正面
@ouruby1063,一家人都好好看！小炒皮蛋流口水了！,一家人都好看！小炒皮蛋流口水了！,一家人 好看 小炒 皮蛋 流口水,负面
@user-ll1fg5fc5d,小哥到底還有什麼是不會的心情不好的時候、看妳的視頻都會莫名的開心起來,小哥到底还有什么是不会的心情不好的时候、看妳的视频都会莫名的开心起来,小哥 心情 视频 莫名,正面
@josefadivino4629,It's nice for Axia and Ahao to be home with the family.    Love to see them,和与家人一起回家是很好的。喜欢见他们,家人 回家 很好 喜欢,正面
@winghungchung8352,你每條影片都是充滿愛的，簡單樸素的生活真好,你每条影片都是充满爱的，简单朴素的生活真好,影片 充满 简单,正面
@KehidupanDesa_,Selalu senang kalau dianxi uppload berasa kayak penyemangat buat konten kehidupan desa lagi,上传总是很容易对乡村生活的内容感到满意,上传 乡村 内容 感到 满意,正面
@niningetri37,I watch she's in 2019 - now and forever  i'm from indonesia,我看着她在2019年 - 现在和永远我来自印度尼西亚,看着,正面
@lytieuanh1993,"This girl is very skillful, she can cook anything. So admirable, bort beautiful and talented.",这个女孩很熟练，她可以做饭。如此令人钦佩，美丽而有才华。,女孩 熟练 做饭,正面
@DarekSkowron,"Cześć,  jestem z Poski. Lubię oglądać  Twoje filmy. Jest w nich tyle miłości,  spokoju, wzajemnego szacunku. Podziwiam waszą przyrodę,  smakowite potrawy które  robisz. Oglądając  Twoje filmy przenoszę  się  do Chin. Przepiękny  kraj. Pozdrawiam serdecznie Ciebie i Twoich bliskich.",嗨，我来自。我喜欢看你的电影。他们有很多爱，和平与相互尊重。我欣赏您的天性，您做的美味菜。看电影，我搬到了中国。一个美丽的国家。我亲切地向您和您的亲人致意。,喜欢 电影 欣赏 天性 电影 搬到 国家 亲切 地向 亲人 致意,正面
@LilaStandingTall1,Greetings from Tennessee USA 🇺🇸 Good Morning,田纳西州的问候🇺🇸早上好,问候,正面
@cathily,"The egg dish was amazing. Thank you for sharing with me as well as those of you who are watching and have watched this video a very useful cooking and processing recipe. Thank you very much, I wish you and your family always be strong and happy. Wish all of you who watch this video always have good luck in life.",鸡蛋盘很棒。感谢您与我分享观看并观看此视频的人，这是非常有用的烹饪和处理配方。非常感谢您，希望您和您的家人永远坚强和快乐。祝您观看此视频的所有人在生活中总是好运。,鸡蛋 很棒 分享 观看 观看 视频 有用 烹饪 配方 希望 家人 坚强 快乐 观看 视频 所有人 好运,正面
@herawatiwong7869,"Wah...senang  nih jd bisa tau lagi ngapain ,bikin apa bumbu nya apa Trimakasih🫰",好吧.很高兴知道该怎么办，如何处理调味料,调味料,正面
@geethakumar4625,இப்படி ஒரு சமையலை இதற்கு முன்பு பார்த்ததில்லை அசத்தலான சமையல் சூப்பர்,这样的厨房从未见过,厨房,正面
@deepramachandran8805,being... Am an 🇮🇳🇮🇳🇮🇳indian... Am.. Proud of your talents,是.是一个印度人. .为您的才华感到自豪,感到 自豪,正面
@momshiepinay7109,One of the amazing food I've seen. Watching from the Philippines.,我见过的令人惊叹的食物之一。从菲律宾观看。,食物 观看,正面
@donglaimanabat9953,You are really gifted human being,你真的是有天赋的人,天赋,正面
@cheryldelka982,Hello from Minnesota.  Awesome the way you cook. Love it.,您好明尼苏达州。你做饭的方式很棒。爱它。,做饭 方式 很棒,正面
@SandaniGunadasa-xw1ue,"Love From Sri Lanka 
I really love the way that being with Family",斯里兰卡的爱我真的很喜欢与家人在一起的方式,喜欢 家人 方式,正面
@user-db7rv7gj9x,Какие красивые яйца получились,结果是什么美丽的鸡蛋,鸡蛋,正面
@lybatorohova8638,уважаю всю семью за трудолюбие,我尊重整个家庭的辛勤工作,尊重 家庭 辛勤工作,正面
@user-py5iu4xl6f,時間をかけて、卵料理初めて知りました。何時も素晴らしい大王〜,随着时间的流逝，我第一次知道鸡蛋菜。总是很棒的国王〜,时间 流逝 鸡蛋 很棒 国王,正面
@noraabdullah3565,"I like that she get help when needed, her sister, mother, and grandmother also whole family. We see a lot of content like this but they did it from scratch alone (maybe?) but we didn’t see. But Apenji she show to us sometimes. I like that. It’s like a vlog about her and her family. I will be going to Kunming in December and I’ve been told it’s near Yunnan and I am so excited!!",我喜欢她在需要时得到帮助，她的妹，母亲和祖母也是整个家庭。我们看到了很多这样的内容，但他们独自从头开始（也许？），但我们没有看到。但是有时向我们展示。我喜欢。这就像关于她和她的家人的视频博客。我将在12月去库明，我被告知它在云南附近，我很兴奋！,喜欢 母亲 家庭 内容 展示 喜欢 家人 视频 告知 兴奋,正面
@sylviacarino3449,"The best in preparing and cooking foods. You are an excellent chef, a cook, its nothing but the best",最好的准备和烹饪食物。你是一位出色的厨师，只不过是最好的,烹饪 食物 出色 厨师,正面
@vanulelaxmi,"This is my favorite channel️️
Who loves this channel",这是我最喜欢的频道抱晓谁喜欢这个频道,喜欢 频道 抱晓 喜欢 频道,正面
@PreetiSingh-nk8yf,Lost of love from India 🇮🇳 Mumbai,失去印度的爱情🇮🇳孟买,爱情,正面
@user-vf5hm1yp9h,Какое изобилие ароматов и вкусов!!!! Привет из России,多么丰富的香气和口味！来自俄罗斯的问候,香气 口味 问候,正面
@elmasyeniay8589,Türkiye'den selamlar,土耳其的问候,问候,正面
@user-el2tm4wv4u,"Природа неописуемо, красиво очень, и главная героиня всех видео супер! Спасибо вам! Еда тоже необычная для меня, думаю, вкусно! Мира и добра!",大自然是难以形容的，非常美丽，所有视频的主要角色都超级！谢你！我认为食物对我来说也很不寻常！ ！,视频 角色 食物 寻常,正面
@chookuangchoo8889,鹌鹑皮蛋过热油炸一下，放些辣椒面在蛋趁热吃，美味极了,鹌鹑皮蛋过热油炸一下，放些辣椒面在蛋趁热吃，美味极了,鹌鹑 皮蛋 过热 油炸 辣椒面,负面
@401gandikotasirisha9,Your cooking gives me so much peace,你的烹饪给了我这么多的和平,烹饪,正面
@BoabyGeorge,that looks like it would be lovely on a cold winter day sitting with the family around the fire thank you was beautiful seeing the rain as family ate was lovely,在一个寒冷的冬天，与家人周围坐在寒冷的冬日里看起来很可爱,寒冷 家人 坐在 寒冷 可爱,正面
@user-zp3wp9nm6o,ชอบดูมาก....ขยันทำกับข้าวเก่ง,我喜欢看很多.勤奋的烹饪。,喜欢 勤奋 烹饪,负面
@HelenGoodluckGodBlessogame,"How i wish i can taste all those century egg,Looks amazing.A big fan from Philippines.",我希望我能品尝所有那些世纪的鸡蛋，看起来很棒。菲律宾的忠实粉丝。,希望 品尝 世纪 鸡蛋 很棒 忠实 粉丝,正面
@LamAnh-FreeBushcraft-pc1ts,"Such a visually appealing and calming cooking video! The dishes look absolutely delicious, and watching this was so soothing. Can't wait to see more videos like this!",如此吸引人和平静的烹饪视频！这些菜看起来绝对美味，看着这菜真是太舒缓了。等不及要看更多这样的视频了！,吸引 平静 烹饪 视频 看着 舒缓 等不及 视频,正面
@harlee9595,Hi from canada I just got my first taste of those yesterday! As someone who is obsessed with salty flavors it was like heaven! I highly recommend these even if they make you nervous! Nothing tastes quite like them. They're probably the best eggs I ever tasted!,嗨，从加拿大，我昨天刚获得了我的第一次品尝！作为一个迷恋咸味的人，就像天堂一样！我强烈推荐这些，即使它们使您感到紧张！没有什么像他们这样的味道。它们可能是我品尝过的最好的鸡蛋！,品尝 迷恋 咸味 天堂 感到 紧张 味道 品尝 鸡蛋,正面
@syellow9305,"운남의 자연환경과 아름다운 셰프님의 요리솜씨 가족의 훈훈함에서 에너지를 얻습니다
감사합니다",能量是从云南的自然环境和美丽厨师的烹饪家庭的温暖中获得的。谢,能量 是从 厨师 烹饪 家庭 温暖,正面
@italyanguyenngoc2784,Cảm ơn bạn đã chia sẻ cách làm trứng bắp thảo,感谢您分享如何制作玉米蛋,分享,正面
