评论用户id,评论id,分词,分词-英文
1342177770,5081780340394170,肩膀 扛起 苹果 微软,Pick up Apple Microsoft on the shoulders
1733058054,5081915466186790,普通话 标准 讲话 霸气 底气,Mandarin Standard speech domineering confidence
7890237660,5081826267758770,加油,come on
5856358495,5081795147596310,干翻,Do it
7424698440,5081786103103880,战争 加油 支持,Come on for war
6487135234,5081783782081000,步伐 停止,Pace
2347321882,5081781496450270,加油,come on
2749123600,5081778925338930,道阻 行则,Taoist Ryocele
6541574728,5081830857904030,加油,come on
1791213831,5081813800191720,能力 魄力 带动 半导体 行业,Capability drives the semiconductor industry
7923279789,5081805659048420,打压,Suppress
7913299305,5081795006043100,成功 带领 终端 团队 成功 带领 终端 团队 走出 制裁 困境 助力 走出 制裁 困境 大会 安排 演讲,Successfully led the terminal team to successfully lead the terminal team out of the sanctions dilemma to help get out of the sanctions predicament meeting to arrange a speech
2715025983,5081834104818400,期待,expect
7408658401,5081905487154170,科技 技术 人类 发现,Science and technology Human discovery
7921531348,5081952401752220,初始 应力 破裂 特性 岩层 结构,Initial stress rupture characteristic rock layer structure
5347776860,5081911521184540,地震 科学 好像 弱智,Seismic science seems to be mentally retarded
7782958485,5081854537633090,答案 出钱 台积 办厂 大哥 没水 芯片 耗水 大户 运水 芯片 海水 淡化 人会 疯掉,"Answer to pay money, TSMC running a factory, the big brother, no water chip, water consumption, large households, water transport chips, seawater desalination people will crazy"
7782958485,5081852943533000,有钱 生意 货船 客机 得选 排队 进出 真他妈,"Fortunate business cargo ship passenger aircraft must be selected to queue in and out, fucking fucking"
1768913002,5081853359034880,大哥 没水 芯片 耗水 大户 运水 芯片 海水 淡化 人会 疯掉,"Brother has no water chip, water consumption, large households, water transport chips, seawater desalination people will crazy"
7923913312,5081887475240940,指望 足球 畅想 台积 民族 企业,Expect football to imagine TSM ethnic enterprises
7937322564,5081851212861840,排队 进出 真他妈,"Line in line, real fucking"
7845077851,5081938926764410,旋律 心灵 心情 灯塔 照亮 宇宙 深情 时间 害羞 躲到,"Melody Mind, Lighthouse, illuminates the universe's affectionate time, shy hiding"
5878659096,5081926056282870,感兴趣 商业 思维 开通 超话 社区 超话 社区 旗下 兴趣 社区 小伙伴 交流 商业 思维,"Interested in business thinking to open the super talk community, the super talk community, the interest community partner of the community to exchange business thinking"
7645699150,5081861270801970,短片 科幻 演技 折服,Short film science fiction acting skills
7599650828,5081861244322810,科幻 盛宴 天际 奇航 剧情 演技 值得 期待,Science fiction feast Skyrim Qihang plot acting skills are worth looking forward to
3886908688,5081860302702360,人工智能 带来 便利,Artificial intelligence brings convenience
7943827973,5081859846049520,收尾 地方,Closing place
7392154182,5081870032961710,故事 值得 思考,Story worth thinking
6001424978,5081866790769190,机器 了有 创意,The machine is creative
7896839731,5081867935812710,联合 好评,Joint praise
5948522511,5081903189199590,思考 数据 值得,Thinking data is worth it
7935258845,5081902862828030,经历 科技,Experience
7920910467,5081902379434670,成长 故事,Growth story
7420656735,5081901789091960,坚强 力量 女孩,Strong girl girl
7597115253,5081901213418610,情感 演绎,Emotional interpretation
7924673368,5081899309990400,片子 科幻 拍摄 挺好,Film science fiction shooting pretty good
7922752905,5081872666723930,演技 类型 驾驭,Acting type driving
7922807184,5081872290549420,数字 感情,Digital feelings
7734227969,5081871790115740,片子 享受,Film enjoyment
7935555818,5081868397186180,短片 值得 深思,Short film deserves deeply
7935404797,5081867498033490,拍电影 质感,Film texture
6762404728,5081867072310670,交代 交代,Explain
7935495475,5081866658909110,眼泪 打动,Tears move
6524911756,5081866350102030,短片 人类 情感,Short film human emotions
7639766645,5081865625796810,科幻世界 遐想 演技 动容,Science fiction world reverie acting acting
7557444903,5081865080275950,角色,Role
7727398392,5081865002159550,女主 诠释,Lord's interpretation
7922615732,5081864425178430,高大 片子 电影 质感,Tall blockbuster movie texture
6085707119,5081864078101090,拍出 大片 质感,Shooting a large texture
7946457211,5081864035632270,想要 剧情,Want a plot
7336463211,5081863538609150,短片 纯属,Short film
7896901320,5081863214073750,女主角 硕造 完美,The heroine is perfect
1748816697,5081863196508570,角色 诠释 完美,Perfect role interpretation
7937972579,5081863089555920,科技 热爱 追求,Science and technology love pursuit
7931619768,5081862772623340,故事 好评,Praise
7925738031,5081862248072630,创新 温度,Innovative temperature
6080339920,5081861900993880,故事 值得 好评,The story is worthy of praise
7930199982,5081861649337340,女主角 塑造 到位,The heroine is in place
5902839570,5081861462165340,鲜活 演绎,Vivid interpretation
5452198565,5081860824632890,时间 拍出 大片 质感,Time shoots a large piece of texture
7943679139,5081859195142720,坚韧 无畏,Tough and fearless
7916642312,5081866690629710,科幻世界 演技 折服,Science fiction world acting skills
7879071641,5081866375269740,科幻世界 完美 演绎 女主,The perfect interpretation of the female lead in the science fiction world
7728169804,5081865956100310,喜欢 女主 精神,Like the heroine spirit
7946394878,5081863752518880,联合 给力,Union
7938180974,5081863632195620,故事 结局 就行,The ending of the story is okay
7813159043,5081863615419230,会演 散发出 魅力,Will exude charm
7583833896,5081863326797900,最美 娘娘,The most beautiful mother
7938414540,5081863284066960,值得 好评,Worthy of praise
7813063693,5081862748507910,化身 巨人 宇宙,Incarnate giant universe
7602936668,5081862441275790,学会 外太空,Learn outer space
7602936560,5081862168384340,科幻 大片 天际 奇航 完美,Sci -fi blockbuster Skyrims Perfect
7632297736,5081861586160520,天际 奇航 开启 科幻,Skyworth Airlines opens science fiction
7547932059,5081861454038240,科幻 剧情 演绎 厉害,Science fiction plot interpretation is great
7345848484,5081859797288050,故事,story
7591870970,5081882991527920,期待,expect
6976258531,5081866387851780,片子 思考,Film
5964127999,5081865681636960,生命力 演员,Vitality actor
7623009511,5081863012222770,短片 剧情,Short film plot
7645078306,5081862894521800,短片 展现 科技 情感 思考,Short film showing technology emotional thinking
7746408397,5081862793335750,角色 塑造 立体 喜欢 科幻 作品,Character shaping three -dimensional like science fiction works
5501457501,5081862672482330,演绎 女性 力量 崛起,Interpret the rise of women's power
7724734680,5081862519392290,演技 短片 完美 展现,Acting short film is perfectly displayed
7713529168,5081862454642990,不畏 困难,Difficulty
7627541444,5081862278744450,吸引 角色 沦陷,Attract the role of falling
7628232367,5081862053563500,到位 角色 内核,Pacific role kernel
7626131322,5081861858268670,喜欢 角色,Like a role
7627298515,5081861659558810,短片 水平 角色 印象,Short film horizontal character impression
7602747300,5081860957017550,末世 女王,Queen of the Last World
7018646510,5081860655288210,科幻世界 构建 完整 代入 感强,The science fiction world builds a full sense of complete substitution
7284171064,5081870570357340,优秀,excellent
7727800202,5081869059626850,故事 新意,New story
7944319993,5081865237300020,剧情 巧妙 伏笔,The plot is clever foreshadowing
7944500126,5081864921159350,演技,Acting
7944439975,5081864560181920,开启 科幻,Science fiction
7944500220,5081864287552300,科幻 设定 新颖 想象力,Science fiction settings novel imagination
7944500139,5081863791842450,眼神 有戏 故事,Eyes have play stories
7750047433,5081900039017770,整部 片子 塑造 角色 很好,The whole film is very good
5622417994,5081899699273940,正式 上线,Officially launch
5199467896,5081898571796740,看得出 片子 艺术性,You can see the artistic nature of the film
5228075287,5081865962656640,片子 科幻世界,Film science fiction world
7909849484,5081865956362910,科幻世界 人类 情感 交织 演技 精湛,Science fiction world human emotional interweaving acting excellent acting skills
7862126981,5081864458997730,故事 短片 惊叹,Story short film amazing
3990627037,5081864117162510,片子 天际 奇航 喜欢,Film Skywalk Kaishi likes
7406430072,5081863036864360,坚韧 无畏 联发 科技 科技 追求 值得 好评,Pursuit of tough and fearless MediaTek Technology is worthy of praise
5639438604,5081862457792120,科幻 大作,Science fiction masterpiece
7719271705,5081860868149540,完整版 安排,Full version arrangement
2435065830,5081860863955280,科幻 构建 巧妙 演绎 动人,Science fiction construction clever interpretation is moving
7922347899,5081860771940890,人工智能,AI
7333298982,5081860591584010,科技类 题材 小伙伴,Science and technology partner
7547932224,5081859891136220,角色 塑造,Character formation
7838740391,5081724331491850,期待 科技 龙头 创造 产品 世界 美好,Looking forward to the world's leading products in the world beautiful
7883124236,5081715418072580,沸腾 舆论 厉害,Boiling public opinion is great
7902335368,5081726072392820,吃饱 后轮,Full wheel
7745708773,5081860865264610,国家 自由,National freedom
2650527693,5081846516549020,冷却剂,Cooler
7933997505,5081788359901600,伙伴关系 正确 方向,The correct direction of partnership
6706508113,5081943991125990,稳住 科技 不来,Stabilize technology
2165709407,5081917307748530,爱看 公众 记录 私人 经历 轻蔑 无耻,"Love to see the public records of private experience, scorn and shame"
6562676458,5081766136385530,不错,good
7825280235,5081755508539560,生态,Ecological
7906108633,5081743860171670,换仓,Warehouse
5130178555,5081765390323210,走势 看着 真爽,The trend looks so cool
2491798703,5081741763022680,希望,hope
1951763483,5081739342381880,好惨,Miserable
5017471036,5081732527689180,轮动,Rotation
2537062913,5081854130784700,感觉 强大 擅长 修改 细节 更改,It feels strong good at modifying details to change
1612636875,5081683928287000,代码 传到 代码 泄漏 风险,Code pass to the risk of code leakage
5878659096,5081906746492350,感兴趣 开通 超话 社区 超话 社区 旗下 兴趣 社区 小伙伴 交流,Interested in opening the interested community partner of the super -discourse community community to exchange
7518452000,5081801567764840,创意 科幻,Creative science fiction
6511192106,5081801557280080,感觉 眼神 有戏,Feeling the eyes
7465038426,5081801595029390,设定 自带 神秘感 感觉,Set your own sense of mystery
7410626468,5081801804219300,适配,adaptation
7939755430,5081821239054650,看完 广告,After reading the advertisement
7410626468,5081821153067250,感觉 姐姐 适合 风格,I feel that my sister is suitable for style
6135275085,5081821129998720,姐姐 角色,Sister
5586632138,5081820966159550,眼神,Eyes
6663394184,5081820959344990,戏路 演技,Acting
7895152609,5081820926314260,好看 优秀,Beautiful and excellent
7841615095,5081821067087200,演技,Acting
7799106378,5081821056598300,创意 喜欢 风格,Creative like style
2129697037,5081821924558190,感觉 选择,Choice
7923436810,5081821360689230,演技 肯定 失望 超牛,Acting is definitely disappointed Super Cow
5320777452,5081821035367780,喜欢 视频 感觉 好看 会演,I like videos and feel good -looking.
7314971913,5081821014918530,眼神 拿捏,Look
7428900277,5081801775383830,创意 满满 设定 感动,Creative settings are moved
6339710035,5081902393068140,演技,Acting
7936375140,5081897384548770,喜欢,like
6551571213,5081821356492050,设定 适配,Set adaptation
7917880756,5081820943614490,适合 角色 太酷,Suitable for characters too cool
7026400568,5081820934706450,片子 新颖 确实 吸引,The novelty of the film is indeed attractive
6302301584,5081808383248930,智感,Sense of wisdom
7335912816,5081801884961490,确实 吸引 感觉,Really attractive feeling
6467203821,5081801861371450,适合 类型,Suitable type
7722742929,5081821339714570,驾驭 风格,Control style
7572101186,5081821003909460,肯定 适合 科幻,Definitely suitable for science fiction
6788377376,5081801534210830,希望 懂事 导演 科幻,Hope to be sensible director
6807171100,5081801500396460,导演 剧本,Director script
5864728216,5081801594767340,姐演 类型 适配,Sister -acting type adaptation
7749198841,5081746825287350,说话 欺负,Bullies
7684605154,5081747974523460,事情,matter
7623781551,5081745833596260,报警,Call the police
6203944877,5081747266210820,期待,expect
7533117232,5081746945083010,希望,hope
7407633312,5081746915724640,事件,event
7943317898,5081746914149790,事情,matter
7943121995,5081746780196470,事情 期待,Look forward to
7284632959,5081746750837080,希望,hope
7807919536,5081746660133170,希望 大白,Hope
7895097293,5081746620285060,希望 还原,Hope to restore
2662253345,5081850748605230,国家 单位 规范 不压 下压 手写 公开 回执 单位 单位 用章 规范 伪造 国家 单位 文书 公章 涉嫌 伪造 国家 单位 文书 公章,State units regulate that the handwriting publicly retrofit unit units are used to regulate the formal seal of the state units' documents on suspicion of the official seal of the state units
6480602257,5081746674553000,只能 证据 背锅侠,Only evidence can be carried on the pot man
6573970082,5081747164760220,希望,hope
3491062032,5081746696047560,录音 事件 确实 希望,Recording event really hope
7458896262,5081746649387700,希望 后续,Hope to follow up
1456913502,5081810465198810,回执单,Reward
1777925074,5081755482851450,直播间 低俗 徒弟 可笑 天下太平,The lively apprentice is ridiculous in the world
1867471380,5081830831429600,公司 没见 回应,The company did not see a response
6220482091,5081818729024880,请问 悲哀 证明,Excuse me
7895790636,5081747656803860,澄清,clarify
1787984707,5081801149909410,立案 告知 倒立 颜色,Inform the inverted color of the case
7932372539,5081757029766050,报警 回执单 报警,Alarm return to the alarm
6232237111,5081820525758230,事情 回应 边边角角 立人 槽头 回应 假酒 回应 月饼 回应 没事,"The incident responds to the corner corner of the corner, the head of the corner, the fake wine responds to the moon cake response is okay"
7921228925,5081776433664380,报案 案由 侮辱 诽谤,The report case was insulting and defamation
7921709203,5081746754242960,回应 感觉 网友 期待 官方 说法,Response feels that netizens look forward to the official statement
1296397523,5081900561470650,讲完,Finish
2854473064,5081827013035520,撒谎,lie
1797865853,5081857263667160,想到 财政 刀乐 点子,Thinking of the fiscal knife music ideas
7949912027,5081828050600430,打算,Intend
7903301594,5081835084448250,鼓吹 武备 制造 好战 言论 良知 科学界 人士 科技 人类 幸福 绝不能 人类 灾难,"Promoting martial arts creation of fighting good words of good speech, conscience, science and technology human happiness, human happiness, never human disaster"
5731492358,5081830634292890,水平,level
5878651650,5081830456296210,作恶 软件 杀人 程序员 开除,Murder Software Murder Programmer Fleement
7650236934,5081829767643910,趋势 战争 形态 实物 对决 生死 强大 程度,"Trend and war form, real objects to life and death strong level"
7742729909,5081825603748270,毁灭 人类 人类,Destruction of humans and humans
1983395434,5081825502560770,低估 美帝 卑鄙 底线 世人 秩序,Underestima the U.S. Dis Despicable Line World Order
2514432114,5081798563072960,池子,pond
5659598386,5081901108827030,想问 社区 提问 无限 提问 恋爱 高质量 回答 限定,"I want to ask the community to ask questions unlimited, ask for love, love high -quality answer limited"
5878659096,5081880758845900,感兴趣 开通 超话 社区 超话 社区 旗下 兴趣 社区 小伙伴 交流,Interested in opening the interested community partner of the super -discourse community community to exchange
1154880935,5081831640927380,小孩,Child
6735458822,5081835361272320,空间,space
7910891391,5081830182881600,国家 资格 二郎腿 训示,National Qualification Erlang Leg Leg Xue
2729770713,5081827586346650,压根 诚意,Sincere
7942259607,5081908175964500,魔幻 喜欢 模样,Magic like looks like
7457396189,5081851446432230,支持 干翻,Support
6099987053,5081853654732760,小艺 关灯 小野,Xiaoyi Tale Light Ono
5212481699,5081860068082610,可爱,cute
6339396579,5081889814352850,照片,photo
5938762624,5081411501428190,强化 高数 重点班,Strengthen high -numbered key classes
6040103992,5081382514590900,讲讲 注意力 机制 模型,Talk about attention mechanism model
5264815990,5081434883360630,希望 男神 发布 出题 水平,I hope that the male god will release the level of questions
6298742687,5081378743915010,讲讲 年数 概率,Talk about the probability of year number
7883467733,5081450543844640,原理 信号系统,Principle signal system
5247563258,5081733407706310,哥会,Brother
5656625251,5081546249473100,讲讲 机械,Talk about machinery
7182821306,5081437363504780,干翻,Do it
2604198187,5081372189787850,男神,Male god
5580039695,5081829451500590,顺便 讲讲 信号 系统,"By the way, talk about the signal system"
7734899087,5081799032046600,补药 放弃 数学 数学 计算机,Supplementary medicine and abandon mathematics and computers
5855513739,5081551593279740,考上 人工智能,Admitted to artificial intelligence
6301367762,5081551513584290,可识,Knowledgeable
7719510394,5081544242760680,讲讲 机械,Talk about machinery
6187535521,5081503402820920,人工智能 基础 讲解 考上,Artificial intelligence basics explanation test
6587149480,5081489043620420,全能,Versatile
5496084833,5081476037088590,退学,Drop out
7848571264,5081466994167240,无敌,Invincible
5941243994,5081457624876220,讲讲 扩散 模型 数学知识 看不懂,"Talking about the diffusion model mathematics knowledge, I don’t understand"
7391118113,5081414478072890,信号 系统,Signal system
7702756496,5081404607827530,神经网络 讲讲,Neural network talk
5876543649,5081748339430270,苦苦 挣扎,Struggle
6645783887,5081417895383140,安排 安排 老师 喜欢 人工智能 喜欢 相关,Arrange teachers like artificial intelligence and related related related
7821069876,5081899456533450,拷打,torture
6485833096,5081844246644340,回首 向来 风雨 无情,Looking back
7429820913,5081447105302220,喜欢 喜欢 数学,Like mathematics
6883659544,5081731654224780,讲讲,Talk about
7419043908,5081679882359830,还好 拜读 文章,Fortunately read the article
7730273576,5081508304657200,登陆,Log in
7379480833,5081464096427100,看海 攻略 安排,See the sea strategy arrangement
5124598915,5081457934731400,视频 看不下去 喜欢 讲课 风格,"I can't read the video, I like the style of lectures"
7859291776,5081446536710250,安排,arrange
1453306012,5081846448392840,语言 直译 翻译,Language translation translation
7794874608,5081817982440450,西院,Western courtyard
7072188402,5081821907521840,学霸 喜欢 季节,Xueba likes season
6802209439,5081931505206720,漂亮 年轻,Beautiful and young
5345595468,5081898397208780,自由,free
5345595468,5081898273999050,自由,free
1615042810,5081782494694930,恭喜 获奖,Congratulations to winning
5609274373,5081753200626750,老师 年轻,Teacher young
1881024670,5081724218247490,好看,nice
1626031661,5081835413440410,知性 老师 机会 时装周,Intellectual Teacher Opportunity Fashion Week
3130961201,5081817620677930,回复,reply
6436146488,5081804499322150,来源于,Derive
2696894852,5081766013964020,领奖 照片,Prize photo
7117115829,5081755459522220,生子 娶妻,Having a child and marrying
1890941724,5081739330326290,老师 气质,Teacher temperament
2159913411,5081725343106750,相传,Pass on
7941730222,5081794892532130,和程 正大 综艺 世界 奇妙,The world of Cheng Zhengda variety show is wonderful
1804427253,5081932522062420,神秘 复苏,Mysterious recovery
5784683977,5081781504052860,白酒,Liquor
2452185234,5081779960024580,收到,receive
7748945167,5081858351564650,帮主 网约,Gang
3548565692,5081870765133820,系会,Department meeting
6542259726,5081902308394050,鸡贼 开心 巨头 水平,Chicken thief happy giant level
6516684162,5081887949460940,假人 发正 脸会 识别,False people will recognize on their faces
1231516480,5081857383203140,视频 上能 打上 生成,Can be played on the video
6631129139,5081880058402080,游戏王,Game king
5051961103,5081733429461770,荒野 机器人,Wilder
6902825413,5081729654590020,试一试,Try
6089551348,5081729322454020,抽书,Draw a book
3821854430,5081912888527280,荒岛 机器人,Deserted island robot
2759810861,5081873942578250,荒野 机器人,Wilder
1414030223,5081848510155420,看书 看书,Reading
2997526730,5081845194035130,荒岛 机器人,Deserted island robot
7571897637,5081816994418010,世界,world
