content,emotion_scroe,emotion_type,主题概率,主题类型
冠冕堂皇一堆废话，那么多借口，其实就是没交税进贡2021-02-17 21:222回复,0.0009654844250773786,neg,"[(0, 0.22856058), (1, 0.08487069), (2, 0.60262066), (3, 0.08394803)]",2
我拷，简直了这个，太可拷了，刑啊，牢玩家了吧，太刑了这个，可狱不可囚的人才呐2021-09-29 15:251回复,0.03408665830129909,neg,"[(0, 0.08930223), (1, 0.08457221), (2, 0.737829), (3, 0.0882966)]",2
评论区阴阳怪气真多。2021-02-17 22:101回复,0.09132699323271498,neg,"[(0, 0.0636624), (1, 0.063069485), (2, 0.8104959), (3, 0.06277218)]",2
为什么不报关猛犸象2021-03-01 21:50回复,0.02664190092473362,neg,"[(0, 0.0839952), (1, 0.08444847), (2, 0.7476141), (3, 0.08394225)]",2
这是咋发现的。。。。扫描应该扫不出来吧。。。还是得靠线人[尴尬]2021-03-01 01:22回复,0.5378117447624916,neu,"[(0, 0.084015645), (1, 0.09018782), (2, 0.742038), (3, 0.08375851)]",2
其实吧，主要还是不能大批量人工饲养还有无痛收割，不然对于南方贫困山区也算是一种经济作物，类比鹿茸,0.9933943992930495,pos,"[(0, 0.03663085), (1, 0.036539268), (2, 0.039836824), (3, 0.88699305)]",3
象有新品种了不长象牙的象,0.359676174467189,neg,"[(0, 0.74256444), (1, 0.08752727), (2, 0.08615648), (3, 0.083751835)]",0
这不是管了吗？,0.3693910911319984,neg,"[(0, 0.25), (1, 0.25), (2, 0.25), (3, 0.25)]",0
阴阳怪气的,0.6666666666666666,pos,"[(0, 0.13142198), (1, 0.12521274), (2, 0.6181962), (3, 0.12516913)]",2
你的世界非黑即白,0.8969395612235743,pos,"[(0, 0.13014363), (1, 0.12591091), (2, 0.6128385), (3, 0.13110696)]",2
那大象的牙犀牛的角都是自己没了的？可可西里的藏羚羊也是自己把皮拖了？没有买卖就没有伤害！,0.3259683222845101,neg,"[(0, 0.05109235), (1, 0.84652334), (2, 0.05202198), (3, 0.050362304)]",1
但是不得进口。,0.7272727272727275,pos,"[(0, 0.25), (1, 0.25), (2, 0.25), (3, 0.25)]",0
钢琴是二手的，可没说琴键是二手的,0.0011963663885170561,neg,"[(0, 0.12534691), (1, 0.6002244), (2, 0.13519214), (3, 0.13923654)]",1
可以夏天去俄罗斯西伯利亚挖猛犸象的牙，猛犸象已经灭绝不受法律保护，猛犸象牙可以在中国市场流通。,0.9999788093491868,pos,"[(0, 0.026928974), (1, 0.026027752), (2, 0.9190853), (3, 0.027957963)]",2
回复 @泠鹭 :对。,0.15827338129496404,neg,"[(0, 0.12724806), (1, 0.12897201), (2, 0.6174336), (3, 0.12634629)]",2
只要是有关象牙的任何贸易都违法吗,0.23003206710680357,neg,"[(0, 0.06579028), (1, 0.39906913), (2, 0.47225696), (3, 0.062883615)]",2
回复 @龞䌃槬 :爪巴，集中销毁违禁品的新闻每年都有，动动手指吧，不费劲,0.8659263505308052,pos,"[(0, 0.05141209), (1, 0.053316772), (2, 0.8450972), (3, 0.050173953)]",2
能流通一般拍卖，象牙除非有研究机构要，一般直接销毁，象牙再贵哪有海关局的官帽子值钱。,0.6042985691059486,pos,"[(0, 0.87211794), (1, 0.042631328), (2, 0.04334769), (3, 0.04190307)]",0
回复 @龞䌃槬 :挺好奇你所谓的媒体是啥？是bbc还是cnn?,0.5353799779906536,neu,"[(0, 0.08403456), (1, 0.08676119), (2, 0.74542767), (3, 0.083776586)]",2
回复 @MatsuzakaUme :凭什么吃菜，菜里头的微生物细菌，害虫就活该被你们开水烫死，热油烫死吗，它们也是活生生的生命啊，菜比动物就少了部分细胞而已，都是细胞组成的你凭什么伤害它们，你每天洗头洗脸能杀死几千只螨虫它们愿意？伪善罢了,0.04912281304268529,neg,"[(0, 0.032931544), (1, 0.03196217), (2, 0.9030021), (3, 0.03210421)]",2
回复 @MatsuzakaUme :我觉得菜菜挺可爱的,0.35462544285887276,neg,"[(0, 0.06786496), (1, 0.06535198), (2, 0.79424804), (3, 0.072535045)]",2
回复 @bili_69030368760 :吃素的人比你想象的多！,0.19365604196713582,neg,"[(0, 0.06498447), (1, 0.06309897), (2, 0.80916226), (3, 0.06275425)]",2
我记得猛犸象牙是可以交易的，得看什么象牙2021-02-16 20:10回复,0.05238674805413823,neg,"[(0, 0.042790506), (1, 0.041982207), (2, 0.8727641), (3, 0.04246322)]",2
回复 @鱼柠树 :因为发掘地主要在西伯利亚冻土层，这玩意毛子说了算,0.0014996811506178265,neg,"[(0, 0.06126414), (1, 0.053907696), (2, 0.064471014), (3, 0.82035714)]",3
回复 @大大啊王 :不能，主要是怕钻法律漏洞在加上老死和被吃难保证象牙的完整性,0.17658385364564821,neg,"[(0, 0.054442476), (1, 0.0504636), (2, 0.84466165), (3, 0.05043225)]",2
"回复 @瑭璜123456 :可以的,了解一下再说话,光就闲鱼上就一大堆",0.004104031658165974,neg,"[(0, 0.1272481), (1, 0.12896742), (2, 0.6174383), (3, 0.12634617)]",2
我想知道这些如何处理？2021-02-26 10:57回复,0.14075465424515587,neg,"[(0, 0.12724915), (1, 0.12898357), (2, 0.61742055), (3, 0.1263467)]",2
去了解一下国内动保现状你就知道为啥了,0.6428824382479335,pos,"[(0, 0.4623148), (1, 0.08349953), (2, 0.08735259), (3, 0.36683312)]",0
老死的象牙或被老虎吃剩下的象牙不能用吗？2021-02-17 18:47回复,0.009101460878176426,neg,"[(0, 0.043713395), (1, 0.04375626), (2, 0.87028813), (3, 0.042242225)]",2
主要是非法走私[吃瓜]合法的根本不管2021-02-27 10:41回复,0.009182999521917479,neg,"[(0, 0.05078473), (1, 0.05086737), (2, 0.84818274), (3, 0.05016516)]",2
象牙就是违法，除了猛犸象牙2021-06-30 01:23回复,0.009916894978377888,neg,"[(0, 0.05121812), (1, 0.05393966), (2, 0.84453326), (3, 0.050308987)]",2
大象又不是中国的，关我们屁事2021-02-17 10:25回复,0.0892395922861392,neg,"[(0, 0.0644207), (1, 0.80401564), (2, 0.068379484), (3, 0.063184164)]",1
保护濒危动植物国际公约了解一下，我国是缔约国2021-02-17 11:51,0.9849985516289596,pos,"[(0, 0.063976854), (1, 0.06389459), (2, 0.06305117), (3, 0.8090774)]",3
云南有亚洲象，多读书[OK]2021-02-17 12:17回复,0.5334135660470276,neu,"[(0, 0.5301231), (1, 0.08981894), (2, 0.29569197), (3, 0.084366016)]",0
不可以，哪怕是二手的也不行[辣眼睛]你弄到最后这个产业起来了，就会有很多一手了2021-02-16 18:19回复,0.005629907391584199,neg,"[(0, 0.050256554), (1, 0.051482577), (2, 0.8445942), (3, 0.053666677)]",2
哈哈，我记得采访旅行博主，国外的这种市场，看到老外路过不会搭理，看到国人就会疯狂的来一来看一看啦，而且白菜价[嗑瓜子]2021-02-16 23:03回复,0.1421134215653731,neg,"[(0, 0.032883253), (1, 0.03247792), (2, 0.9025366), (3, 0.032102223)]",2
一根角代表一只犀牛……我的天啊,0.5252928049154372,neu,"[(0, 0.063309774), (1, 0.25556698), (2, 0.6158073), (3, 0.065315954)]",2
我比较好奇，什么样的人会买,0.8276361313518976,pos,"[(0, 0.08342805), (1, 0.08548466), (2, 0.7476615), (3, 0.08342582)]",2
有市场就有杀害,0.6755293728532236,pos,"[(0, 0.0901312), (1, 0.41914356), (2, 0.4025875), (3, 0.088137686)]",1
顺着查这些“有钱人”，我不信里面没有洗黑钱的,0.009040295568781387,neg,"[(0, 0.7433549), (1, 0.08879737), (2, 0.08438218), (3, 0.083465494)]",0
10根整角和其他一点零碎就 值一亿多？。怪不得这么猖狂呢。,0.1283914156963598,neg,"[(0, 0.13089426), (1, 0.12510292), (2, 0.6168656), (3, 0.12713721)]",2
价格或者说价值是如何定义的,0.5090736858187637,neu,"[(0, 0.08675141), (1, 0.73583317), (2, 0.0850413), (3, 0.09237411)]",1
物以稀为贵 全球就2万头了,0.5259214451134621,neu,"[(0, 0.7460659), (1, 0.08687008), (2, 0.08364829), (3, 0.08341571)]",0
治病，比黄金贵很多，至今也没有早就出来为什么亚洲犀牛具有这么大的药效，是其他不可替代的药物，普通水牛做的牛黄丸200一颗，犀牛做的几万一颗，自古以来就是神药,0.9998543622384054,pos,"[(0, 0.032286495), (1, 0.9031862), (2, 0.032696847), (3, 0.03183045)]",1
资×本×家不仅压迫人类，还伤害动物。,0.9946554245237392,pos,"[(0, 0.06598916), (1, 0.06528407), (2, 0.80425394), (3, 0.06447284)]",2
看看这个昂贵的价格。这些人可真恶心。,0.035198750770111586,neg,"[(0, 0.12510067), (1, 0.13135988), (2, 0.12681328), (3, 0.61672616)]",3
把买家抓起来判刑就没事了,0.24876270134291856,neg,"[(0, 0.74617666), (1, 0.086813554), (2, 0.08362245), (3, 0.083387345)]",0
买了犀牛角他们就能羽化登仙了吗,0.8060879573847181,pos,"[(0, 0.12809615), (1, 0.125102), (2, 0.6190814), (3, 0.12772048)]",2
资本家买来当首饰,0.4303819826348244,neg,"[(0, 0.25), (1, 0.25), (2, 0.25), (3, 0.25)]",0
有本事你一辈子别看中医,0.7396532051925279,pos,"[(0, 0.06681181), (1, 0.80305225), (2, 0.06565555), (3, 0.064480394)]",1
一枪一个毙了吧，这种人留着没意思。,0.08447032660552423,neg,"[(0, 0.25), (1, 0.25), (2, 0.25), (3, 0.25)]",0
我们欣赏石头雕刻的艺术，陶泥烧制的艺术，金属铸造成的艺术，刺绣带来的五彩斑斓！但我们拒绝根雕、骨雕，因为良心告诉我们:我们正在做破坏的事，毁灭的事！枯骨的呐喊声，哭泣声，咒诅声在达到我们的耳边！不为之同悲伤同哭泣怎有人的良心！人的良心——为今天的生活着想，也为明天的生活远顾！,0.9999999999892033,pos,"[(0, 0.02193703), (1, 0.020954603), (2, 0.021188088), (3, 0.93592024)]",3
这个角有什么用,0.40441176470588236,neg,"[(0, 0.25), (1, 0.25), (2, 0.25), (3, 0.25)]",0
"活体工艺品有啥实际用处?不是有更好的人造替代品?非得用生物的骨质物来做?显得你很""有钱""?你所谓的虚荣心可是绝大部分人连在意都不会在意的。",0.9977070815643332,pos,"[(0, 0.08640408), (1, 0.7866422), (2, 0.06305514), (3, 0.0638986)]",1
犀牛为什么不养殖犀牛？,0.7936898184809545,pos,"[(0, 0.08385085), (1, 0.7342759), (2, 0.08407144), (3, 0.09780184)]",1
希望只是锯断了角,0.4147752321071194,neg,"[(0, 0.13860703), (1, 0.12526707), (2, 0.6055303), (3, 0.13059554)]",2
犀牛角对犀牛来说就是护卫武器，没了角也活不了多久，变相杀害。,0.122694049807753,neg,"[(0, 0.8616502), (1, 0.04975455), (2, 0.045086235), (3, 0.04350905)]",0
看到有专门的保护人员给犀牛安装假角,0.4823663011790794,neu,"[(0, 0.06492009), (1, 0.25072762), (2, 0.06547539), (3, 0.6188769)]",3
为啥啊？犀牛角做的饰品？发簪烟斗？,0.08666982059697104,neg,"[(0, 0.08672478), (1, 0.08343808), (2, 0.24335845), (3, 0.5864787)]",3
没有买卖就没有……,0.3982345063667685,neg,"[(0, 0.12850669), (1, 0.6188603), (2, 0.1275868), (3, 0.12504622)]",1
好药啊，好药,0.4737672181921908,neu,"[(0, 0.25), (1, 0.25), (2, 0.25), (3, 0.25)]",0
查到的赃物，怎么处理呢,0.24196319991469628,neg,"[(0, 0.25), (1, 0.25), (2, 0.25), (3, 0.25)]",0
所以有个比较猎奇的保护手段，就是先锯掉犀牛角，然后给他们安装一个假的角,0.16344840430531604,neg,"[(0, 0.037016165), (1, 0.036266565), (2, 0.8886353), (3, 0.03808202)]",2
约100头？有些是双角的？,0.4427326858031111,neg,"[(0, 0.25), (1, 0.25), (2, 0.25), (3, 0.25)]",0
咱国家又没有野生犀牛了 管这个,0.8699094148977438,pos,"[(0, 0.06350081), (1, 0.80282366), (2, 0.06376691), (3, 0.06990867)]",1
可中国没有犀牛啊,0.8822160663725886,pos,"[(0, 0.083889805), (1, 0.74712676), (2, 0.08494702), (3, 0.084036455)]",1
这些犀牛角是从境外走私进来的,0.41115287175238,neg,"[(0, 0.08518012), (1, 0.083382726), (2, 0.74727386), (3, 0.08416327)]",2
跟着朋友去参观艺术览展，我突然发现人类有个扭曲的灵魂，不爱那活着的事物，反而爱那死去事物的遗骸！,0.999986697229732,pos,"[(0, 0.02876477), (1, 0.02903261), (2, 0.91401446), (3, 0.028188193)]",2
我的天,0.38121739130434773,neg,"[(0, 0.25), (1, 0.25), (2, 0.25), (3, 0.25)]",0
龙哥胖了！胖了！胖了！（重要的事情说三遍）,0.1493590135053895,neg,"[(0, 0.7231031), (1, 0.08493104), (2, 0.08442179), (3, 0.107544094)]",0
这么一看真的脸上有肉肉了呢！依旧那么帅,0.9238720309469058,pos,"[(0, 0.07657748), (1, 0.77066565), (2, 0.08256372), (3, 0.07019317)]",1
和WWF全球大使朱一龙一起，为地球发声,0.9863003382748899,pos,"[(0, 0.872624), (1, 0.041691724), (2, 0.041773796), (3, 0.043910533)]",0
真的，朋友也喜欢龙哥，哥哥也很久没营业了，想向别人安利又不知道怎么说，喜欢他喜欢到忘了他的好,0.9998137746709004,pos,"[(0, 0.7912408), (1, 0.044560418), (2, 0.043061398), (3, 0.12113737)]",0
这套衣服又是几个视频一起录的叭hhhh,0.7340111491392755,pos,"[(0, 0.06394364), (1, 0.8094472), (2, 0.062955655), (3, 0.06365348)]",1
本来第一个视频我还不觉得哥哥胖了，但是突然跳到第二个视频之后就胖的好明显啊,0.9051195995811878,pos,"[(0, 0.05284212), (1, 0.845352), (2, 0.051404618), (3, 0.05040126)]",1
胖龙让我确定一件事，他是真的没整过容，连微调都没有。因为胖龙有点豆子的味儿了哈哈哈。因为沈魏脸比豆子足足小了3圈，所以我一度怀疑拢龙是不是微调过，毕竟这在娱乐圈太正常了。可龙哥是千年老痘护航的钢铁直男啊，又觉得不可能。果然，豆子就是胖，还黑，而已。。。。。。哈哈哈哈哈,0.9982047065294187,pos,"[(0, 0.036994286), (1, 0.039017513), (2, 0.03879701), (3, 0.8851912)]",3
寻艺明权，看一眼叭，微信搜明星权力榜和寻艺，给龙哥投一票吧,0.529174979120202,neu,"[(0, 0.12808819), (1, 0.12657699), (2, 0.1250435), (3, 0.6202913)]",3
前后一对比，看出龙哥胖啦～哈哈，还是胖点儿更好看～,0.9369883273342863,pos,"[(0, 0.086830266), (1, 0.34253716), (2, 0.08465273), (3, 0.48597986)]",3
是我的错觉吗？觉得龙哥有点脖子前倾？,0.9951744576820755,pos,"[(0, 0.08424346), (1, 0.08381822), (2, 0.08336497), (3, 0.74857336)]",3
为地球发声，冲呀,0.959029477695406,pos,"[(0, 0.09812794), (1, 0.08342978), (2, 0.0834881), (3, 0.73495424)]",3
哥哥加油我高考也加油,0.9999525516755603,pos,"[(0, 0.08667599), (1, 0.74567574), (2, 0.08336831), (3, 0.08428)]",1
如老虎。。嗷呜~~,0.4401704292415073,neg,"[(0, 0.13305041), (1, 0.61042434), (2, 0.12874909), (3, 0.12777618)]",1
包包们，3个跟WWF活动有关的任务一起努力做一下，3个任务都关系到“人数”的：1. 地球一小时朱一龙专场，助力人数需要66666，http://t.cn/A6Z57AeS ，需要更多包包发动身边人一起参与进来；2. 扫码哥哥微博发出的海报上的二维码；3. ELLE公主号，在下面这条的留言区写出答案。注意不要简单复制其他人的答案，写上一点自己的思考想法等等。http://t.cn/A6ZGXmAT加油动起来,0.9999658801829654,pos,"[(0, 0.948636), (1, 0.017120369), (2, 0.017124372), (3, 0.017119305)]",0
啊啊啊啊啊啊啊热腾腾的哥哥！！！,0.9955053770892803,pos,"[(0, 0.08561979), (1, 0.7440411), (2, 0.08340668), (3, 0.086932465)]",1
有点脸圆又健康的龙哥真好看，哈哈哈哈,0.9198351843815531,pos,"[(0, 0.065205865), (1, 0.46607587), (2, 0.1666908), (3, 0.3020275)]",1
肉嘟嘟的哥哥反而更可爱了！亲亲甜甜小朱(=・ω・=),0.9998559488278727,pos,"[(0, 0.05147686), (1, 0.8448591), (2, 0.050590843), (3, 0.053073183)]",1
和WWF全球大使朱一龙一起为地球发声,0.9863003382748899,pos,"[(0, 0.8726066), (1, 0.041691728), (2, 0.0417738), (3, 0.043927867)]",0
长肉肉啦，好看！长肉肉的朱朱最好看,0.8570494802981486,pos,"[(0, 0.12508336), (1, 0.12684911), (2, 0.62148136), (3, 0.12658615)]",2
都听龙哥的,0.6239469983797535,pos,"[(0, 0.12808381), (1, 0.12657622), (2, 0.1250435), (3, 0.6202964)]",3
我的天我感觉刚刚好，非常好看呜呜呜,0.5738368973395115,pos,"[(0, 0.06255812), (1, 0.06280659), (2, 0.8052492), (3, 0.06938608)]",2
刚刚好，不胖,0.42471642171439683,neg,"[(0, 0.12510528), (1, 0.12512347), (2, 0.1309671), (3, 0.61880416)]",3
刚刚又看了吴邪时候的龙哥，真的瘦的让人心疼 所以我觉得现在这样刚刚好！,0.9943089492855255,pos,"[(0, 0.043294717), (1, 0.041910503), (2, 0.043897733), (3, 0.87089705)]",3
我超喜欢朱朱肉嘟嘟的脸 很好亲的感jio（不是,0.9259802771946922,pos,"[(0, 0.08637793), (1, 0.7308416), (2, 0.08632755), (3, 0.09645295)]",1
有肉肉更好，说明宝贝有好好吃饭,0.958524047691671,pos,"[(0, 0.041853983), (1, 0.87301105), (2, 0.04215015), (3, 0.042984806)]",1
这样比瘦的时候好看,0.6892074482293215,pos,"[(0, 0.12508322), (1, 0.12681958), (2, 0.6215295), (3, 0.12656766)]",2
其实现在这个健康的状态最好啦！！看他太瘦我心疼,0.9752057560571679,pos,"[(0, 0.805764), (1, 0.066685416), (2, 0.06362372), (3, 0.06392684)]",0
我也是，然后每次逛B站发现都看过了,0.7463567433591022,pos,"[(0, 0.062566206), (1, 0.80828315), (2, 0.0665913), (3, 0.06255937)]",1
回复 @巍璧明也 :我也,0.15827338129496404,neg,"[(0, 0.12726443), (1, 0.12907276), (2, 0.61731225), (3, 0.12635055)]",2
其实这样也挺好的……就单纯做个演员没事儿做个公益,0.9995330563161753,pos,"[(0, 0.25), (1, 0.25), (2, 0.25), (3, 0.25)]",0
看出来了姐妹,0.594411206564634,pos,"[(0, 0.25), (1, 0.25), (2, 0.25), (3, 0.25)]",0
回复 @逍垚稔儿 :给涯总直播间送b坷垃，或者投币满20个硬币，就可以去直播中心领取，不过投硬币那个我也不知道怎么看的,0.0005893161933389068,neg,"[(0, 0.08402744), (1, 0.08448187), (2, 0.74771875), (3, 0.083771884)]",2
请问包妹你昵称前面的 朱一龙5 怎么弄到的啊？我也想弄一个,0.005721304984876108,neg,"[(0, 0.26078215), (1, 0.08341594), (2, 0.08391986), (3, 0.571882)]",3
虽然亲妈粉们说胖龙也好看。。。。哈哈哈那是，底子在这儿呢，但是作为观众，我觉得沈魏时期130多斤的拢龙是最好看的！吴邪那样110多斤，瘦的快脱像了也不好，让人心疼,0.9999829110379327,pos,"[(0, 0.02544849), (1, 0.025840156), (2, 0.92235327), (3, 0.026358053)]",2
哥哥里面的衣服颜色我真的爱了，要去买个同色了,0.990408787436257,pos,"[(0, 0.66734946), (1, 0.22814368), (2, 0.052498106), (3, 0.052008804)]",0
觉得哥哥好像有讲重音就伸一下脖子的习惯,0.955702003523256,pos,"[(0, 0.07135224), (1, 0.07929121), (2, 0.06393978), (3, 0.7854168)]",3
感觉可能是拍摄角度的问题吧！,0.8482014178841284,pos,"[(0, 0.12509438), (1, 0.1251039), (2, 0.13518836), (3, 0.61461335)]",3
因为龙哥以前拍戏腰伤没有恢复好,0.9631981953139694,pos,"[(0, 0.08821217), (1, 0.08387311), (2, 0.08340193), (3, 0.7445128)]",3
http://t.cn/A6ZGXmAT,0.5,neu,"[(0, 0.25), (1, 0.25), (2, 0.25), (3, 0.25)]",0
状态也太好了！！！！,0.27301690759847386,neg,"[(0, 0.74759495), (1, 0.083461955), (2, 0.08551106), (3, 0.08343204)]",0
在吗？抽个粉丝投喂小脑斧,0.544315098295391,neu,"[(0, 0.25), (1, 0.25), (2, 0.25), (3, 0.25)]",0
你们可能不知道 我曾经在极度愤怒的情况下 愤怒了一天,0.02126939700184316,neg,"[(0, 0.086875394), (1, 0.08833511), (2, 0.085935), (3, 0.73885447)]",3
老子一个滑铲全抱走,0.8663078648504553,pos,"[(0, 0.12527496), (1, 0.61643773), (2, 0.13305014), (3, 0.12523717)]",1
众所周知，东北虎必须熟练掌握东北话，所以饲养员必须是东北银,0.9901125577650169,pos,"[(0, 0.06390538), (1, 0.8084649), (2, 0.06347422), (3, 0.064155534)]",1
