关键词,标题,提问时间,提问内容,地方,答复时间,官方答复
新冠_all,打新冠疫苗,2022-03-30 10:45,我想咨询一下，12-17周岁打新冠疫苗，孩子监护人都不在身边，怎样才能打疫苗呢。,留言对象：四川省成都市青羊区委书记,"网友：
    您好！您留言反映的问题已交草堂街道办事处调查，现回复如下：
    您反映青少年打新冠肺炎疫苗问题，草堂路社区工作人员已到现场协调完毕，已经告知如监护人不能同行，需持监护人委托书就可以接种了。
    感谢您的留言。",2022-04-01 10:09
新冠_all,新冠疫苗接种,2022-03-15 16:22,我是夹关镇拴马村的村民，想咨询一下3岁以上的儿童可以在夹关卫生院接种新冠疫苗吗？,留言对象：四川省成都市邛崃市委书记,"网友，您好！您留言咨询的问题，经邛崃市夹关镇人民政府调查核实，现答复如下：
经核实，夹关镇卫生院每月3号、6号、9号、13号、16号、19号、23号、26号、29号上午都可以接种新冠疫苗，您可根据您自己的时间安排，选择适当的时间到夹关镇卫生院接种新冠疫苗，儿童接种疫苗需带上疫苗接种本和监护人身份证,并由监护人陪同。
以上情况，夹关镇工作人员已于2022年3月16日通过电话告诉了您，您表示知晓。如还需了解相关情况，您可致电88789141咨询。
感谢您对我们工作的关心和支持，谢谢！",2022-03-29 09:13
新冠_all,新冠疫苗接种,2022-08-25 10:17,咨询一下小孩到新都区人民医院老院区（上南街）接种新冠疫苗需要核酸报告嘛，还有周末可不可以接种。,留言对象：四川省成都市新都区委书记,"网友，您好！
      留言收悉，现回复如下：
      按照成都市新都区疫情防控指挥部第11号通告的规定，各类流动性强的行业、人员密集场所、空间密闭场所的从业人员须持24小时核酸检测阴性证明，进入上述场所人员须持48小时核酸检测阴性证明。您的小孩到新都区人民医院老院区（上南街）接种新冠疫苗需要48小时核酸阴性报告，该疫苗接种点周末正常开展业务，可以进行接种。
      以上情况，桂湖街道工作人员已于2022年9月1日电话告知您，您对工作人员的解释和答复表示认可。
      此复。  ",2022-09-01 15:42
新冠_all,新冠疫苗接种,2022-07-20 23:31,我是唐山市开平区开平镇欢套村村民，我家里老人想接种新冠疫苗，但是第一针还没打，就被锁定了怎么办？,留言对象：河北省唐山市委书记武卫东,网民您好，您的留言我们非常重视，进行了认真办理并与您沟通，感谢您的关注，祝您生活愉快！,2022-08-15 11:20
新冠_all,接种第四针新冠疫苗时间,2022-09-29 01:00,本人想咨询一下，我市何时接种第四针新冠疫苗，有没有具体接种新冠疫苗的时间？,留言对象：重庆市委书记袁家军,您好！您关于“何时接种第四针新冠疫苗一事”的留言收悉。其间，工作人员已与您取得联系，对您留言所关心的接种第四针新冠疫苗一事进行了说明，您表示知悉和理解。如果您还有其他疑问，请向重庆市卫生健康委员会咨询，联系人：李老师，办公电话：67706572。希望您一如既往地关心和支持我们的工作！祝您身体健康！生活愉快！,2022-10-11 09:26
新冠_all,在哪里可以接种新冠疫苗,2022-11-06 20:02,我朋友住在巴城红杨花园，自身免疫力较差，没有接种过新冠疫苗，请问现在哪里可以接种新冠疫苗第一针？,留言对象：江苏省苏州市市长吴庆文,红杨社区工作人员已电话联系居民告知接种疫苗地点及方法，如需咨询请直接拨打社区电话57652056、57322979，感谢配合！ ,2022-11-11 14:14
新冠_all,新冠疫苗什么时间开始接种,2022-06-16 13:06,南关区长春大街春苑小区，由于疫情原因，新冠疫苗停止接种，询问什么时候可以开始打新冠疫苗。,留言对象：吉林省长春市南关区委书记,网友您好，近期会开始恢复新冠疫苗接种，具体时间等待网格长通知。,2022-06-22 09:06
新冠_all,接种第一针新冠疫苗,2022-01-05 12:19,你好，现在未接种第一针新冠疫苗的人能否接种第一针新冠疫苗？在哪里能接种？谢谢,留言对象：上海市委书记陈吉宁,"网友您好！
　　您的留言收悉，现将有关情况回复如下：
　　您咨询疫苗接种事项。经查，您可到附近的接种点接种第一针新冠疫苗。具体流程是：先下载“健康云”App或通过 “随申办”移动端、“上海发布”、“上海疾控”进入“新冠病毒疫苗接种服务”专区，选择合适的时间和接种点预约登记接种。如果不方便使用智能手机进行预约，可通过社区卫生服务中心的健康驿站自助终端刷身份证、社保卡后登记预约，或由社区志愿者协助进行登记预约后接种。
　　感谢您对我们工作的理解和支持。
　　特此回复。",2022-02-11 23:00
新冠_all,在哪预约新冠疫苗？,2022-02-03 22:03,西咸新区沣东新城在哪可以预约新冠疫苗加强针？,留言对象：陕西省西安市委书记方红卫,您好！首先感谢您对我们工作的关注和支持！2022年春节期间，沣东新城辖区三桥社区卫生服务中心、和平社区卫生服务中心均可以预约接种新冠病毒疫苗。沣东新城工作人员2月9日已与您取得联系，并解释说明了相关情况。欢迎您继续关注并监督我们的工作！（经办人：董永祥 电话：029-89106955）,2022-02-11 20:20
新冠_all,新冠疫情接种,2022-01-31 08:46,受疫情影响，没能及时接种新冠疫苗加强针，全市低风险复工复产后，一直在单位上班，没时间去打，请问蓝田县各乡镇卫生院春节假期期间有没有接种计划？,留言对象：陕西省西安市蓝田县委书记,"        您好！首先感谢您对我们工作的关注和支持。
        收到您的留言后，县卫健局第一时间与您取得联系，了解您新冠疫苗接种史等具体情况。
        经了解，您是洩湖镇麻坡村村民，在高陵区上班，2021年6月28日接种了新冠疫苗第二针，后因疫情影响未接种加强针，现想在我县接种新冠疫苗加强针。县卫健局已将我县春节期间各医疗机构开展新冠疫苗接种情况告知于您，建议您前往就近的卫生院接种新冠疫苗加强针，您表示2月6日前往县妇计中心接种。如有需要，请咨询县卫健局，联系电话：029—82720985。
        欢迎您继续关注并监督我们的工作。",2022-02-01 20:55
新冠_all,怎么预约吸入式新冠疫苗,2022-11-06 12:36,我在苏州发布上看到，苏州已经开放预约吸入式新冠疫苗了，请问昆山哪里可以预约？去年打的新冠疫苗现在还可以接种吗？,留言对象：江苏省苏州市委书记曹路宝,您好！目前吸入式新冠疫苗只针对加强针使用，新开针无法使用，具体是打过北京生物、科兴中维、武汉生物的新冠病毒灭活疫苗两针（其他种类灭活疫苗暂时不使用）或者康希诺肌注式腺病毒载体疫苗满6个月，18岁以上需要进行加强免疫接种的人使用，包括老年人也推荐使用。昆山市首批开展吸入式新冠疫苗的门诊为开发区、高新区、张浦、花桥、巴城、周市门诊使用，具体预约请电话上述新冠门诊，各门诊信息请关注“昆山疾控”微信公众号，在“疫苗接种”栏里查询。 ,2022-11-13 09:58
新冠_all,咨询接种新冠疫苗,2022-03-29 13:49,我在东昌区盛世花都居住，想咨询第三针新冠疫苗到哪里接种，谢谢！,留言对象：吉林省通化市市长高山,"网友，您好！
   您的留言已收悉。距离您较近的疫苗接种点是通化市东昌区光明街道社区卫生服务中心 ，地址：通化市东昌区新华大街丽景人家三期A区东北侧，好运来丽景店对面。感谢您的留言，祝您生活愉快。如您还有其他咨询事项，请您拨打12345政务服务热线，我们将24小时为您服务！",2022-03-31 10:06
新冠_all,接种新冠疫苗地点,2022-01-12 16:49,朝阳区接种新冠疫苗第一针的地点有哪些？从哪里可以查询？谢谢,留言对象：北京市朝阳区委书记文献,您好，收到您反映的问题后，朝阳区疫苗接种工作组专班人员对于网民提出问题作如下答复：尊敬的居民您好，朝阳区所有街乡均开设接种点位，满足各街乡人员就近接种，“北京朝阳”APP定期更新接种点位、接种时间等内容信息，同时各街乡，社区同步宣传，张贴海报、APP小程序发布等。感谢您对朝阳区建设和管理的关心与支持。,2022-01-21 14:58
新冠_all,新冠疫苗没打被锁针,2022-07-16 10:59,本人居住在遵化市开元国际，因为怀孕加上哺乳期没有打新冠疫苗，然后最近想去打时候，发现被不知道哪里锁针，第一针第二针居然出现在我怀孕的时候，第三针也已经打了，现在没有地方打针，我声明没有再任何地方登记过新冠疫苗信息，希望领导可以严查这种事情，然后给我解锁，让我去正规地方接种新冠疫苗，谢谢,留言对象：河北省唐山市遵化市委书记,"网民您好！经遵化市防控办排查，您在遵化没有注射新冠疫苗记录，不存在被锁针情况，建议您联系承德市兴隆县防控办（0314-5058829）处理相关事项。
感谢您对我们工作的支持与信任！祝您生活愉快！ 
",2022-07-21 17:07
新冠_all,新冠疫苗禁忌证明,2022-03-28 13:51,您好，书记，我父亲因为身体免疫系统有问题，一直没有接种新冠疫苗，请问我们新密市哪里能开新冠疫苗禁忌证明呢，没有证明在外打工的话，有些地方不让工作，另外目前还能接种第一针疫苗吗？,留言对象：河南省郑州市新密市委书记,"网友你好：1、市民究竟能不能打疫苗，需要预防接种门诊的工作人员来判定，市民只需将自身情况进行如实告知即可。我市各个乡镇卫生院、社区卫生服务中心预防接种门诊均可根据市民如实提供的健康状况判定是否接种新冠疫苗，也可为其开具暂缓接种新冠疫苗的证明；
2、目前我市所有预防接种门诊均可接种新冠疫苗第一针，其它相关问题均可咨询市卫健委，电话69822321.
",2022-04-11 10:12
新冠_all,新冠肺炎检测费用,2022-03-29 20:44,濮阳的新冠肺炎检测费用38元/样，请问为何濮阳没有便宜点的检测地点，如果有请告知,留言对象：河南省濮阳市委书记杨青玖,"网友您好：
    您的留言收悉。
    新型冠状病毒核酸检测项目河南省统一定价，地市按照省要求统一执行，新型冠状病毒核酸检测分为单采和混采。自2021年12月10日起，新型冠状病毒核酸检测（样本单采）项目价格为30元/人次，检测试剂单独计费并执行零差率销售，向群众收取的检测项目费用和试剂费用总和不得超过40元/人次。新型冠状病毒核酸检测（标本混采）项目价格10元/人次含检测试剂费用。
     属于“应检尽检”的，按规定采用多人混检；属于“愿检尽检”且检测机构单日检测人数较多的，可以应用多人混检，也可按单人单检方式检测并计费。按要求，对入境人员、密切接触者、密接的密接等高风险人员在集中隔离期间严格落实单人单检。",2022-04-07 09:23
新冠_all,请问什么时候才能接种新冠疫苗呢？,2022-02-06 08:50,请问什么时候才能去接种新冠疫苗呢？去哪里可以接种新冠疫苗呢？,留言对象：天津市河东区委书记范少军,您好！收到您的留言后，相关单位已安排工作人员与您电话联系，就您所咨询的问题进行了详细解答。感谢您对我们工作的理解，祝您生活愉快！,2022-03-15 09:45
新冠_all,新冠疫苗接种凭证,2022-03-22 19:32,我想询问一下接种的新冠疫苗没有接种凭证无法打第二针 怎么去找第一针接种凭证？,留言对象：吉林省委书记景俊海,网友，您好！接到留言后，我们第一时间与您电话沟通，向您解读相关政策，并建议您向原单位进行咨询，您表示知晓。感谢您的关注和支持！,2022-03-25 15:02
新冠_all,新冠疫苗被锁针,2022-07-19 18:28,本人张*英还没有接种新冠疫苗第二针，确在2022年7月14日被唐山市路北区石油家园卫生服务站锁针，造成我不能回到老家接种新冠疫苗接种第二针，希望各位领导帮我解决一下，万分感谢,留言对象：河北省唐山市委书记武卫东,网民您好，已与您取得联系，您可随时前往石油家园卫生服务站接种第二针疫苗。感谢您对我们工作的支持与理解！,2022-08-11 09:42
新冠_all,什么时候能恢复打新冠疫苗,2022-03-10 18:54,因为逐渐恢复复工，但是家里亲戚上班的地方要求打新冠疫苗加强针，所以我想请问一下什么时候可以打新冠疫苗加强针，谢谢,留言对象：内蒙古自治区包头市昆都仑区委书记,"        尊敬的网民朋友您好：您所反映的问题经昆区卫健委工作人员核实，目前昆区按包头市指挥部统一要求已于3月16日恢复新冠病毒疫苗接种工作，目前共开设接种门诊9家。具体接种门诊开设情况您可关注昆区卫健委公众号公告内容，前往就近门诊预约接种。已与您取得联系并告知结果，感谢您对我们工作的理解与支持。
        经办人：左秋颖
        联系方式：151-4721-0151
        尊敬的网民朋友您好！我区已开通微信公众号：智慧昆都仑，您可以直接在智慧昆都仑的“咨询举报”中反映您的诉求，涉及到的单位、部门会第一时间给您回复解答。您还可以根据您的居住地址填加网格信息，每个网格都配有一名或多名专职网格员，会及时答复和办理您提出的问题。感谢您对我们工作的理解。",2022-03-25 11:38
新冠_all,新冠疫苗接种问题,2022-07-03 11:39,我是八大湖街道辖区居民，去年12月份接种了新冠疫苗第2针，现在可以接种加强针吗？接种后有效果吗？,留言对象：山东省青岛市委书记陆治原,"尊敬的网民朋友：
    您好！您反映的问题，市南区八大湖街道办事处进行了调查核实。接种新冠疫苗第二针半年后，即可进行加强针接种，接种加强针后将大幅度提升体内抗体水平，建议您到时间后尽快接种。详情可拨打八大湖街道办事处电话85823623了解。",2022-07-07 14:17
新冠_all,新冠疫苗预约,2022-03-18 08:53,"建议省委相关领导和省疾控中心;卫健委的领导，
在新冠疫苗接种和加强针接种时候，开通使用小程序预约或者健康山西app预约(详细情况各位领导可以看一下健康西安小程序)同时也接受线下预约接种(方便不会使用智能手机的老年人)同时给各个社区分配的疫苗多一点。",留言对象：山西省委书记蓝佛安,,
新冠_all,新冠疫苗加强针（第四针）有没有计划什么开始,2022-08-18 11:21,您好，咨询一下新冠疫苗接种安排，新冠疫苗加强针（第四针）有没有计划什么开始？大部分人可能都接种了第三针新冠加强针疫苗，就我本人而言，第三针加强针接种完，到现在已经有8个多月了，想知道有没有第四针新冠疫苗的接种计划或者有没有计划什么时候开始接种？,留言对象：上海市普陀区委书记姜冬冬,"网友您好！
       您在人民网“领导留言板”的留言已收悉，现将有关情况回复如下：
       我委已于2022年8月22日致电您进行沟通，目前上海市新冠疫苗第四针暂未开放接种，建议您可以关注上海发布了解最新情况。对此，您表示认可。
       感谢您对普陀区卫生健康工作的理解、支持和关注。
       特此回复。",2022-08-31 23:00
新冠_all,新冠疫苗加强针,2022-04-05 21:32,书记你好:我是四川人居住义庄，我新冠疫苗前面两针在四川打的，现在时间到了，请问第三针现在在哪家医院可以打,留言对象：浙江省嘉兴市秀洲区委书记,"尊敬的网友：
    您好，接到您反映的问题，现答复如下：
    由于当前新冠疫情形势严峻，新城街道社区卫生服务中心目前暂停新冠疫苗接种服务，待疫情形势有所缓解，后续仍会继续提供新冠疫苗接种服务。我局工作人员致电您沟通解释，告知您后续可咨询新城街道社区卫生服务中心，电话：83851495，您表示满意。
    感谢您对我们工作的关心与支持！
                                 秀洲区卫生健康局
                                   2022年4月6日",2022-04-06 18:36
新冠_all,关于春节期间新冠疫苗接种时间安排的建议,2022-01-09 18:49,领导，您好！目前防疫工作依然严峻，个人观念而言，到期适合接种疫苗能打尽量都打，关于春节期间新冠疫苗接种服务点接种服务的事项，经过私下了解到，今年过年期间1月30日至2月7日，大多服务点以放假休息为主，有些接种点可以打新冠疫苗，有些接种点不能打新冠疫苗，请公布下全市医疗点在春节期间新冠疫苗接种单位的值班点、接种时间，以便闲暇时间能自行前往，把防疫大事尽早落实。谢谢！,留言对象：云南省曲靖市委书记李石松,"网民同志：您好！
您通过人民网领导留言板给曲靖市委书记的留言已收悉，现将有关情况答复如下：
目前，曲靖市经确认的新冠病毒疫苗接种单位共177个，接种单位已涵盖全市所有乡镇（社区）、街道。新冠病毒疫苗接种单位已于2022年1月28日前将春节期间的放假日期、收假日期、工作日上班时间的通知张贴于单位门口，市民可根据通知选择适当的时间进行接种。市卫生健康委医政医管科于2022年1月29日通过电话将您反映的问题进行告知，您表示已知晓。感谢您对我单位工作的理解和支持！若还有疑问，请咨询，联系电话：0874-3122172。

曲靖市卫生健康委员会
 2022年1月29日",2022-02-07 17:01
新冠_all,新冠核酸信息采集,2022-01-19 15:07,省委书记您好，现在外省去检测新冠时都有政府平台的信息采集小程序。云南还没有统一的信息平台。我们去医院检测都是手填信息，效率低安全性不高,留言对象：云南省委书记王宁,"网民同志：您好！您通过人民网领导留言板给王宁书记的留言收悉，针对您的意见建议我委认真研究，现就有关情况反馈如下：
一、主要信访诉求
建议政府平台研发统一的信息采集小程序。去医院检测都是手填信息，效率低安全性不高。
二、调查核实情况
为做好全省疫情防控期间的群众健康申报和扫码亮码工作，我省于2020年2月上线了云南健康码2021年5月云南健康码完成升级改造，新版健康码上线以来特色鲜明、功能丰富、细节亲民，用户反映良好，为强化疫情防控工作发挥了重要重要，截至2022年2月底云南健康码累计注册量6000余万人次，累计亮码次数87亿。系统使用量为全省第一，目前已对潜在风险赋红码1.3万人，赋黄码27.7万人，为守住疫情零外溢，本地零扩散的底线起到了积极的作用，作为省卫生健康委唯一的、较为权威的数据程序平台，由于受技术条件限制和专业功能的影响，无法整合成集各类功能为一体的数据平台和载体，针对您建成全省统一的信息采集小程序，从健康码功能定位暂时无法实现，我委将积极向省级信息管理部门、通讯管理部门反映您的意见建议。选取技术平台高、信息功能强的应用程序平台，积极打造成为功能完善、服务更加人性化的信息程序平台，同时我委将督促各级医疗机构进一步优化诊疗服务流程，加强信息化的应用，服务群众方便就医，切实提升群众满意度。
感谢您对信访工作的关心和支持，欢迎您一如既往地关注卫生健康工作，提出宝贵意见建议，使我们更好地服务广大人民群众。
祝您工作生活愉快！",2022-03-02 11:33
新冠_all,新冠疫苗接种点位,2022-03-24 16:09,请问一下夹关镇新冠疫苗接种具体点位在哪里？,留言对象：四川省成都市邛崃市委书记,"网友，您好！您留言咨询的问题，经邛崃市夹关镇人民政府调查核实，现答复如下：
经核实，夹关镇的疫苗接种点在夹关镇卫生院，位于北岸街100号。
以上情况，夹关镇工作人员已于2022年3月25日通过电话告诉了您，您表示知晓。如还需了解相关情况，您可致电88789141咨询。
感谢您对我们工作的关心和支持，谢谢！",2022-04-08 08:49
新冠_all,郑州可以开不宜接种新冠疫苗的证明吗？,2022-05-18 16:30,请问，郑州可以开不宜接种新冠疫苗的证明吗？那里可以开这个证明？需要什么申报材料？两位老人都有多年沉疴，也是纠结了很久没有打新冠疫苗，希望有医疗机构能够给我们一个权威、清晰的解释，如果二位老人的病情可以接种新冠疫苗，我们还是非常希望接种的。,留言对象：河南省郑州市委书记安伟,"现将关于网民反映关于郑州可以开不宜接种新冠疫苗的证明吗问题的回复如下：

经落实，圃田乡卫生院无法开具《不宜接种新冠疫苗的证明》，经与网民联系沟通，现已针对网民诉求与圃田小学对接相关事宜，争取尽快将网民诉求落实到位。

                                                                                                               2022年5月25日",2022-05-25 15:00
新冠_all,接种新冠疫苗的咨询,2022-04-09 09:42,现在上海处于抗疫关键时刻，询问在此期间需要打新冠疫苗怎么办？,留言对象：上海市委书记陈吉宁,"网友您好！
　　您的留言收悉。根据本市疫情防控相关要求，您留言期间暂停了常规疫苗接种工作，目前疫苗接种工作已恢复常态化，您可根据需要至接种点接种。
　　感谢您对我们工作的理解与支持。
　　特此回复。",2022-06-29 23:00
新冠_all,康希诺新冠疫苗,2022-03-20 12:42,我儿子在天津打的第一针康希诺腺病毒新冠疫苗，青海在哪里可以打加强针,留言对象：青海省委书记陈刚,,
新冠_all,新冠疫苗被锁,2022-07-14 22:55,尊敬的 领导我是唐山迁西县人，新冠疫苗第三针被锁定，查询无门，人在外地想接种也不可以了！希望领导百忙之中能不能给解锁一下，给您增添麻烦表示歉意。谢谢 ,留言对象：河北省唐山市迁西县委书记,网民您好，您的留言已收悉。针对您反映的情况，您可以和迁西县疾控中心联系（电话：工作时间 5685853、值班时间 5685879），我们将根据您提供的信息立即联系属地进行调查处置。由此给您带来的不便，我们深感歉意。感谢您对我县疫情防控工作的监督和支持，祝您生活愉快！,2022-07-17 08:26
新冠_all,基层卫生院缺少一针剂的新冠疫苗,2022-08-16 14:43,您好！我父母于今年1月初在郑东新区白沙镇注射的一针剂的新冠疫苗，一个月前都该注射加强针了，可是两次到可以注射新冠疫苗的社区医院，都没有一针剂的疫苗，社区医院说上面库里面没有一针剂的新冠疫苗，其他两针剂和三针剂的新冠疫苗都有。请您解决一下这个问题。,留言对象：河南省郑州市市长何雄,"
       网友您好！您反映的问题我们已查收，并即时转郑东新区管委会处理落实，现已办结回复，特将回复结果告知如下：
       经向白沙镇疫情防控办了解，目前白沙镇卫生院新冠疫苗针剂由郑州市统一调配，现阶段一针剂新冠疫苗确实存在针剂不足情况，已向郑州市相关部门进行反应。
       感谢您的留言，祝您生活愉快！
",2022-08-18 18:15
新冠_all,儿童新冠疫苗哪里接种,2022-09-26 08:22,我是路北区丽景秦园居民，想了解一下3周半儿童是否可以接种新冠疫苗，在哪里接种还有接种时间？,留言对象：河北省唐山市委书记武卫东,网民您好，路北区3周半儿童可前往路北区妇幼保健院进行新冠疫苗接种。目前接种时间为上午8：20—11：20，下午13：30—17：00，周一至周五全天，周六上午（法定节假日除外）。感谢您对我们工作的理解与支持！,2022-10-05 08:49
新冠_all,新冠疫苗身份证接种问题,2022-08-07 07:44,尊敬的领导您好：我是一名川籍在中山市小榄镇的农民工，事情是这样的，我的身份证掉了还没有来得及补办，去打新冠新冠要身份证原件或者户口本，户口本的话还需要从老家寄过来很不方便，就是说建议政府能不能现场出示电子身份证就可以打新冠疫苗，因为现在电子身份证和身份证是具备同等法律效力的，而且现在很多地方政府也在推广电子身份证，这样很方便的，谢谢,留言对象：广东省中山市市长肖展欣,尊敬的网友：接种新冠疫苗凭有效的身份证明材料包括身份证、户口本、电子身份证、居住证等，您可凭借相关有效身份证明，在小榄镇或我市其他镇街任何一个接种点接种疫苗。感谢您的支持与理解！,2022-09-26 15:55
新冠_all,关于新冠疫苗的问题,2022-03-14 09:18,我的公司在盐城市开发区，现想向相关部门咨询，盐城市区哪里可以接种北京生物和兰州生物的新冠疫苗，谢谢。,留言对象：江苏省盐城市亭湖区委书记,网民您好！其因疫情防控工作需要，我区靠近开发区的几个接种点暂停接种北京生物的新冠疫苗，请您过几天后联系电话88324084咨询。,2022-03-22 16:31
