内容,主题概率,主题类型
表扬 大阪 第一 酒店 地理位置 超级 大阪 中央 南口 马路 对面 一幢 红棕色 高楼 楼下 星巴克 全家 酒店 地下通道 连接 地铁 梅田 大丸 梅田 阪神 商场 林立 好吃 酒店 下午 中午 这家 酒店 软件 不错 前台 待人 热情 耐心 打扫 人员 勤劳 房间 牌子 更换 床单 挂出去 帮忙 收拾 干干净净 客房 内部 实行 分类 瓶子 分类 硬件 厕所 很小 出事 上锁 轻轻 打开 感受 友好 日本 马桶 房间 空调 第一次 见到 酒店 空气净化 电梯 房卡 快速 插入 拔出 选择 楼层 没用 插来 插去 没能 运气 产品 自带 推荐 玩法 京都 景点 算是 符合 路线 购物 这份 推荐 玩法,"[(5, 0.99061567)]",5
真的 乐桃 航空 最差 航班 形容 差差 反正 酒店 不错 干净 卫生 交通,"[(0, 0.32572505), (11, 0.6130342)]",11
酒店 交通 便利 前台 服务 很好 待客 邮件 早餐 种类 略少 味道 不错 景观 缺点 房间 设施 陈旧 空调 噪音,"[(6, 0.9557701)]",6
满意 旅游 酒店 飞机 服务 价格 公道 下次 携程 购买,"[(7, 0.9155618)]",7
日本 真的 超级 超级 好玩 酒店 位置 一点点 气愤 携程 客服 交通 赶不上 飞机 分钟 回复 几个 理解 着急 心情 真的 客服 超级 平台 从没,"[(10, 0.9642789)]",10
自由 产品 下单 追踪 酒店 预定 情况 小时 告知 预定 人房 提出 预定 一间 单人房 一间 双人房 客服 一家 三口 出行 两间房 几次 沟通 未果 下单 单独 预定 双人房 自由 预定 满意,"[(11, 0.97185695)]",11
订单 途中 插曲 顺利 解决 开心 旅程 入住 民宿 不错 卫生 干净 本来 担心 厕所 洗澡 想多 卫生间 超级 干净 洗澡 影响 徐姐 超级 下次 选择 这家 民宿 徐姐 愉快 聊天,"[(9, 0.97097635)]",9
酒店 房间 实在 太小 酒店 卫生 很好 周边 交通 出门 地下铁 和线 随便 景点,"[(0, 0.57469857), (5, 0.15186138), (7, 0.22100201)]",0
携程 旅游 产品 放心 便捷 特别 廉价 产品 盛行 胡乱 度假 产品 支持 携程,"[(8, 0.93807757)]",8
总体 比较满意 明明 双床 现场 确实 大床 携程 专员 出错,"[(7, 0.91555464)]",7
行程 值得 几个 行程 三个 一个团 时间 地点 意愿 调整 父母 父母 自如 取消 更改 行程 核心 景点 一一列举 反正 行程 包含 几顿 大餐 比较满意 包括 一家 日式 别墅 套餐 行程 高潮 大阪 京都 几次 地方 值得 深度 如果说 改进 地方 带队 导游 质量 满意 几个 介绍 东西 几个 压根 所有人 专业 导游 差太 也许 半路出家 原因,"[(12, 0.9839853)]",12
回来 一段时间 点评 总体 旅行 不错 网上 微信 客服 跟踪 服务 二个 司导 小伙子 负责 接送 准时 路上 讲解 感觉 不错 箱根 酒店 希尔顿酒店 没网 几点 满意 地方 提出 希望 改进 网上 定单 酒店 五个 不让 选择 三个 二人 二个 三人间 浪费 下单 付款 不停 跳价 总会 付款 价格 价格 越下 一日游 行程 马虎 只管 接送 讲解 选择 人数 酒店 晚餐 定单 告诉 游客 酒店 晚餐 感觉 受骗 有所改进 更好,"[(7, 0.98691374)]",7
时间 不长 地方 行程 时间表 需求 调整 自由 不累 全程 专车 埃尔法 接送 司机 友善 负责 值得 信任 酒店 接受 儿童 标间 加床 房间 希望 携程 提前 安排 提醒 一小 酒店 告知 加钱 定房 不错 日本 值得,"[(13, 0.9755556)]",13
私家 出游 携程 旅行 服务 到位 国内 携程 售后服务 专员 全程 微信 提示 提醒 第二天 行程 安排 国外 有司 全程 陪伴 服务 下次 光顾 携程 旅行 好评,"[(12, 0.96683097)]",12
第三天 富士山 行程 舒缓 司机 师傅 热情 健谈 适合 小朋友 出行,"[(8, 0.43365544), (12, 0.4948979)]",12
总体 满意 三个 地方 改进 京都 一晚 四个 一间 客房 公司 所称 标准 较大 落差 大阪 公园 登上 天守阁 登天 守阁 门票 门票 资金 钱包 车上 留下 一点 遗憾 办理 行李 托运 支持 现金 付款 支付 乘客 下才 行李 托运 手续 本次 旅游 满意 改进 地方 希望 公司 改进 服务 下次 旅游 选择 公司 产品,"[(13, 0.9834131)]",13
有史以来 最差 旅游 体验 太坑 讲讲 去程 机票 常州 北京 北京 上海 东京 第一天 国内 飞机 一日游 回程 大阪 西安 第二天 早上 飞回来 西安 机场 一晚 酒店 温泉 酒店 类似 商务酒店 车子 新车 中途 十一座 面包车 携程 私家 七万块 团费 公司,"[(4, 0.97788596)]",4
团太 坑人 全程 个司 全程 司导 陪同 地方 吃饭 酒店 入住 登机 不配 跟着 大团 全程 生气 全程 解决问题,"[(5, 0.9535483)]",5
司机 客服 热情 满意 选择 再来,"[(0, 0.0102073), (1, 0.010207319), (2, 0.01020733), (3, 0.6141366), (4, 0.2633757), (5, 0.010207294), (6, 0.010207341), (7, 0.010207349), (8, 0.010207339), (9, 0.0102073075), (10, 0.010207282), (11, 0.010207283), (12, 0.010207284), (13, 0.010207339)]",3
愉快 私家 亲子 飞机 接机 导游 安排 行程 不累,"[(1, 0.90713173)]",1
总体 接受 参考 携程 推荐 攻略 安排 大阪 没到 地方 酒店 离心 顿掘 走路 分钟 舒适 经济 下楼 地铁站 分钟 房间 行李箱 日本 寸土寸金 小户型 接受 花钱 万豪 大阪 二次 入住 酒店 本次 回程 航班 本来 行程 利用 时间 游玩 晚上 航班 没想到 日本 乐桃 航空 一家 相当于 国内 春秋 航空 提供 餐食 行李 托运 两个 行李箱 真的 郁闷 流程 超级 折腾 客人 机票 看清楚 一点 乐桃 晚上 回来 朋友 廉价 航班 晚上 携程 特意 提醒 行李 托运 服务,"[(0, 0.9883905)]",0
酒店 位于 大阪 梅田 地下铁 换乘 超级 机场 出门 号线 大巴 第一站 新阪 酒店 后门 百货公司 买买 买退 完税 送到 酒店 人性化 奈良 神户 京都 分钟 路程 酒店 门口 拉面,"[(0, 0.97003514)]",0
建议 选大 机型 订机票 飞机 回程 行李 超重 郁闷 大阪 日航 酒店 第二次 入住 地铁 御堂 筋线 楼上 出行 便利 推荐 入住,"[(0, 0.95961523)]",0
朋友 休闲 酒店 高岛 百货商场 隔壁 美食 购物 酒店 分钟 小时 购物 商场 外面 晚饭 酒店 不错 美中不足 回程 一早 退房 机场 快车 机场 航班 分才 办理 登记手续 小时 队才 办理 手续 进关 购物 时间,"[(5, 0.9741962)]",5
酒店 交通 空调 温度 被子 一层 舒服,"[(10, 0.88391244)]",10
開心 行程 價格 豐富 酒店 位置 超捧 小鹿 好玩 導遊 禮貌,"[(2, 0.92257136)]",2
超级 一大早 影响 心情 通知 提前 告知 购买 行李 两个 箱子 开会 携程,"[(0, 0.93365747)]",0
携程 每晚 酒店 住宿 日本 一家 酒店 每位 六岁 小孩 额外 支付 日币 无理要求 入住 携程 明明 小孩 入住 两间 房间 一共 大三 小孩 额外 住宿费 全世界 没听说过 小孩 额外 付钱 额外 付钱 日本 六岁 小孩,"[(7, 0.97488904)]",7
往返 东航 航班 延误 回京 天气 延误 了近 小时 机场 等待 下午 两点 晚上 航班 提供 餐食 绝望 空乘 服务 送水 送饭 时间 看不到 走动 手机 飞行 模式 酒店 还好 一如既往 舒适 服务 不错,"[(12, 0.97346044)]",12
电话 下单 客服 电话 留错 导致 隐私 信息 发到 手机 承诺 道歉 反馈 旅行 愉快 服务 不敢恭维,"[(3, 0.9483948)]",3
京都 入住 酒店 服务 设施 不错 地铁站 酒店 马路 大阪 酒店 真心 房间 行李 办法 床边 酒店 交涉 第二天 稍微 一点 稍微 一点 没想到 早上 出行 睡衣 叠好 放在 枕头 边上 晚上 回来 睡衣 酒店 交涉 酒店 推卸责任 清洁 公司 第二天 晚上 回来 酒店 赔钱 酒店 爽快 旅行 大阪 酒店 真的 糟糕 酒店,"[(7, 0.98279876)]",7
京都 丽嘉 皇家 酒店 服务 酒店 接送 司机 打扫卫生 日本 阿姨 敬业 上车 行李 拿上去 下车 脚下 凳子 行李 一件件 打扫卫生 阿姨 不厌其烦 问询 打扫 洗面奶 精华液 乳液 面霜 漱口水 客人 壮观 细节 感觉 服务 热情,"[(7, 0.9748776)]",7
京都 花筑青 民宿 感受 携程 深深 恶意 原价 携程 酒店 价格 真的 蒙在鼓里 两倍 价格 良心 不痛 携程 上定 环球 影城 门票 项目 限高 提醒 两三个 项目 浪费 几千 只管 赚钱 客户 体验 生气,"[(3, 0.97345287)]",3
遇上 台风 利奇马 被迫 航班 取消 携程 服务 透顶 中午 客服 告诉 改签 早上 下午 航班 确认 下午 客服 专员 说去 空司 确认 消息 每隔 一会儿 询问 客服 始终 答复 凌晨 两点 打电话 回复 航班 退票 改签 航班 告知 太晚 早上 中午 客服 专员 小姐 告诉 退票 办法 航空公司 回复 情况 一遍 最佳 黄金时间 只能 专员 小姐 说会 领导 下午 四点 回复 无限期 携程 客服 信息 等待 回复 下午 三点 接到 携程 电话 第三 国内 朋友 全日空 改签 全日空 查询 发现 接到 改签 信息 公司 就让 不可思议 明明 客服 专员 看好 下午 机票 确认 全日空 改签 信息 接到 携程 客户 服务 真是太 不可思议 无语,"[(7, 0.9911528)]",7
携程 每次 出行 携程 预订 回国 航班 天气 原因 取消 携程 客服 协调 改签 航班 非常感谢,"[(7, 0.9453733)]",7
回程 上海 台风 航班 取消 国航 短信 通知 取消 航班 后续 交代 国航 改签 国际航班 国内 电话 日本 国航 电话 不通 办法 酒店 机场 人员 接受 台风 影响 延误 告诉 取消,"[(7, 0.9709752)]",7
听说 有人 投诉 携程 至少 没想到 差劲 携程 会员 尊贵 铂金 大阪 酒店 大床 改成 双床 加钱 回国 那天 上海 台风 航班 取消 行程 打到 回电 查询 办理 客服 对不起 安抚 取消 补偿 瞎说 改好 航班 答应 第二天 凌晨 排队 航空公司 航班 本来 赶回去 拖到 携程 单子 白瞎 打完 这段 评论 卸载 客服 孜孜不倦 打通 推托 一阵子 没法 航空公司 真棒,"[(7, 0.98476535)]",7
一名 医护人员 工作 机票 一周 电话 不上 成员 回来 机票 没退 请问,"[(8, 0.9285522)]",8
本次 出行 尽兴 唯一 携程 订单 预订 成都 机场 撤柜 携程 更新 操作 耽误 时间 影响 心情 感觉 人浮于事,"[(0, 0.95355594)]",0
订购 行程 选择 航空公司 提示 乐淘 航空 托运 额外收费 机场 额外 订单 时能 提示 航空公司,"[(1, 0.94195217)]",1
电话 预定 客服 人员 亲切 耐心 细致 客服 人员 服务 超级 满意 大阪 喜来登 酒店 还给 房间 升级 满意 大阪 丽思 卡尔顿 酒店 城际 景观 房间 更是 超级 满意 携程 服务态度 质量 满意,"[(2, 0.7633628), (3, 0.2114206)]",2
新阪 酒店 不错 服务 前台 中文 服务 打扫 干净,"[(5, 0.9071344)]",5
飞机 回来 航班 莫名 延迟 半夜 提前 两个 礼拜 通知 原因 选择 紧张 时间 肯定 优惠 机票 酒店 还好 小孩 真够 折腾 酒店 不错 房间 一点 交通 商场 药妆店,"[(13, 0.9690403)]",13
酒店 真的 携程 评分 感觉 忽悠 大阪 酒店 小脏,"[(5, 0.9071165)]",5
自由 做足 功课 设计 行程 航班 酒店 携程 出票 携程 靠谱 前提,"[(7, 0.92853004)]",7
在外 期间 不错 回来 回程 航班 上海浦东 天津 天气 取消 东航 安排 住宿 安排 第二天 乘坐 补班 航班 住宿 夜里 接到 携程 客服 电话 改签 第二天 上午 第二天 早上 跟着 东航 大巴回 浦东 机场 发现 携程 客服 虹桥机场 客服 建议您 赶往 虹桥机场 飞机 穿越 上海 客服 有意思 赶不 客服 就让 乘客 安排 乘坐 点钟 浦东 天津 航班 只好 航空公司 柜台,"[(7, 0.98476845)]",7
京都 酒店 闹市区 自由 出行 性价比 不错 订单 附加 产品 携程 售后 发给 领取 一清早 机场 好几家 领取 订单 打电话 不上 携程 客服 无奈 紧急 之下 只好 机场 现场 租用 价格 两三倍 携程 售后服务 退化 订单 咨询 客服 售后 相关 信息 发给 客户,"[(3, 0.9788883)]",3
酒店 住宿 价格 九月 那次 日本 台风 关西 机场 被淹 突发 情况 携程 深航 互相推诿 关西 机场 开放 情况 携程 深航 航班 改签 取消 信息 电话 导致 六号 携程 携程 八号 关西 机场 航班 旅行社 航司 改签 苦苦 等待 日本 友人 关西 机场 四号 发布 声明 取消 航班 傻傻 携程 航司 通知 戏剧性 深航 携程 没来 情况 预定 机票 活生生 八号 回程 拖到 十三号 滞留 食宿费 承担 看着 旅行社 航司 妥善 安排 客人 转机 改签 只能 一声,"[(4, 0.9880931)]",4
游玩 愉快 特别 出发 台风 飞机 延误 携程 最快 速度 取消 当天 住宿 退款,"[(1, 0.9380863)]",1
预订 产品 满意 唯一 失望 预订 早上 机场 订单 时间 搞错 旅途 瑕疵 携程 满意 答复,"[(7, 0.40313324), (13, 0.54643464)]",13
大阪 新阪 大酒店 服务 行李 入住 行李车 走过 一眼 行李 用车 推进 房间 看着 行李,"[(0, 0.9419465)]",0
总体 评价 酒店 两个 还好 关键 干净 早上 出门 打扫卫生 人员 地上 仔细 打扫 估计 地毯 头发 感觉 地理位置 距离 分钟 路程 好几个 喜欢 逛商店 下次,"[(5, 0.47655174), (9, 0.49169454)]",9
乘坐 吉祥 航空 来回 准时 餐饮 每人 托运 行李 大阪 瑞士 南海 酒店 地理位置 小孩子 抱怨 舒服 沙发 摊开 那种 沙发床 床面 高高低低 折叠床 稍微 好些 京都 威斯汀 整张 席梦思 小孩 总算 好好 加床 旅行 遗憾 京都 酒店 实用 酒店 几步 地方 巴士 地铁 高温 时节 酒店 空调车 惬意 清晨 震耳欲聋 蝉鸣声 吵醒 安慰 大自然 音乐 和室 房间 足够 泡澡 木制 四周 墙壁 木制 斑斑驳驳 专用 淋浴房 习惯 京都,"[(7, 0.98671997)]",7
出行 愉快 事情 明明 下单 显示 机票 可更改 可退 出票 显示 更改 日本 往返机票 千多 打电话 航空公司 更改 退票 携程 打电话 携程 携程 更改 提醒 携程 酒店 机票 小心 截屏 保留 证据 携程 诚信 小动作 昧良心,"[(7, 0.9748866)]",7
酒店 不划算 通知 客房 位置 客服 来换 逻辑 选越 行程 酒店 安排 改为 提前 付款 去过 下次 绕行 自由 安排,"[(7, 0.9557471)]",7
中转 航班 一程 晚点 搭乘 一程 临时 改变 目的地 司机 协议 取消 接机 最终 携程 五百多 费用 临时 改定 机票 明明 携程 预订 成功 确认 办票 柜台 发现 携程 自动 取消 国际航班 耽误 携程 越来越 越来越 无耻 评价 二十多年 差评 忠实 会员,"[(3, 0.97838765)]",3
携程 实诚 人房 出发 确认 告知 两个 房间 标间 只能 再订 一间 酒店 房间 明明 三张 携程 忽悠 一间 携程 真的 差劲,"[(5, 0.7353853), (7, 0.22733551)]",5
疫情 机票 改签 无数次 电话 打不 留言 人理 前一晚 通知 航班 取消 只能 高价 态度恶劣,"[(4, 0.9419495)]",4
谢谢 携程 服务 酒店 大巴 送机 临时 专车 送机 携程 退款 退回 账户 携程 优惠券 不太会,"[(7, 0.9453421)]",7
日本 携程 订机票 酒店 携程 推荐 酒店 酒店 办理 入住 小孩 要计 床位 人房 酒店 很贵 东京 酒店 携程 推荐 适合 携程 酒店 香港 往返机票 行李 托运费 购买 行程 托运 日本 香港 每人 只能 一件 行李 小包 行李 大小 重量 超出 托运 机场 前要 航空公司 机场 手忙脚乱 携程 推出 自由 套餐 机票 酒店 推荐 定下 行程,"[(0, 0.18117763), (7, 0.8037775)]",7
总体 临时 河口 湖玩 两天 房间 携程 介绍 出入,"[(4, 0.9071252)]",4
预定 国航 航班 往返 时间 很好 大阪 大阪 心斋桥格兰多 酒店 酒店 地理位置 干净 房间 早餐 晚餐 酒店 自助 火锅 京都 饭店 京都 三条 早餐 麻烦 酒店 房间 条件 干净 舒服 推荐 前台 购买 一日 公交 日元 公交 东京 东京 王子 大酒店 打包 预定 确切 价格 携程 工作人员 告诉 天住 装修 一次性 拖鞋 睡衣 和床 干净 有人 打扫 情况 预定 视野 装修 设施 洗浴 用品 齐全 真不知道 携程 房间 比不上 东京 王子 大酒店 酒店 旁边 池袋 中央公园 二战 结束 关押 处决 东条英机 甲级战犯 监狱 日本 有个 围观,"[(5, 0.9893227)]",5
一点 日本 酒店 孩子 入住 一间 明明 是定 三个 加酒 携程 沟通 无果 只能 办法 办理 入住 孩子,"[(7, 0.45303562), (8, 0.5018392)]",8
台风 推迟 还行 钱包 放在 宾馆 回去 检查 回家 发现 现金,"[(12, 0.9225823)]",12
吉祥 航空 太烂 晚点 五个 小时 关键 大阪 航班 好几个 小时,"[(10, 0.9225976)]",10
领队 有用 携程 门票 几次 电子 发出,"[(7, 0.8838532)]",7
预订 出行 好多 办法 解决 携程 单交 完钱 出行 携程 没什么 关系 后续 随行 帮手 全程 客服 形式,"[(7, 0.95109564)]",7
哈哈哈 倒霉 出发 那天 遇上 台风 耽误 行程,"[(2, 0.89679193)]",2
晚上 不可抗力 原因 想退 晚上 酒店 携程 客服 作用 答非所问 拖延时间 白白浪费 机票 航空公司 协商 退款 携程 客服 主动 解决问题 要定 建议 自由 不划算 推荐 自认倒霉,"[(3, 0.96559286)]",3
连不上 网络 客服 远程 调整 每次 恢复 出厂 设置 额外 国外 流量,"[(10, 0.9285491)]",10
差评 疫情 初期 取消 行程 回复 改签 机票 回国 电话 永远 不通 永远 等待 回复 不能自己 改签 机票 携程 失望,"[(3, 0.9557714)]",3
不行 大阪 上海 行李 只能 携程 短信 通知 飞机 出票 短信 超过 行李 费用 春秋 航空 携程 预留 手机号 投诉 后会 超额 退还给 第一天 携程 第二天 客服 答复 一点点 责任 态度 恶劣 客服 态度 客服 客户 上帝 工号 态度 回家 客服 推卸责任 客户 员工 开除,"[(0, 0.97980803)]",0
携程 谢谢 最贵 机票,"[(0, 0.014290731), (1, 0.014290715), (2, 0.014290699), (3, 0.81422067), (4, 0.014290687), (5, 0.0142908525), (6, 0.014290682), (7, 0.01429077), (8, 0.014290734), (9, 0.014290685), (10, 0.014290687), (11, 0.014290706), (12, 0.014290695), (13, 0.01429071)]",3
行程 两家 酒店 环球 影城 这家 不错 回到 大阪 市区 满心 希望 酒店 前台 入住 钥匙 打开 房间 很矮 压抑感 扑面而来 国内 经济 连锁 酒店 分是 满分 只能 是因为 酒店 地理位置 确实,"[(5, 0.97185)]",5
携程 双人房 酒店 单人房 大床 费劲 单人房 客服 摆设 退款 无奈 国外 只能 万多 日元 差劲,"[(0, 0.94535846)]",0
愉快 旅行 机票 酒店 出票 确认 很快 客服 人员 态度 有事 沟通 飞机 晚点 通知 酒店 环球 影城 分钟 晚上 玩累 早点 酒店 休息 周边 吃饭 地方 楼下 便利店 星巴克 车站 机场 机场 大巴 携程 领队 有问必答 开心,"[(7, 0.9761831)]",7
大阪 今非昔比 价格 不具 优势 下次 日本 行会 选择 航空公司 反正 同行人 价格,"[(11, 0.933657)]",11
大阪 酒店 卫生 不太好 第一天 入住 发现 床单 没换 头发 异味 前台 投诉 更换 总体 感觉 不错 京都 大阪 好玩 携程 推荐 京都 酒店,"[(5, 0.8473358), (10, 0.11836792)]",5
客服 巨差 退回 电话 找到 人工 服务 无限 等待 携程 客服 威武 不让 投诉 霸王 平台 退款 搭理,"[(3, 0.95110685)]",3
旅行 乐桃 航空 歧视 中国 中国 护照 快速通道 托运 中国 护照 排队 廉价 航空 经济仓 明白 歧视 干什么 住宿 四分 原因 日本 整体 粉尘 特别 大阪 东京 酒店 东西 晚上 积灰 大阪 酒店 空气 净化器 感觉 意义 行程 整体 满意 关西 值得,"[(2, 0.9783984)]",2
大阪 酒店 返程 乐桃 航空 免费 托运 花钱 关西 航站楼 三家 航空公司 登机 只能 提前 小时 办理 值机 乐桃 航空 飞机 提供 饮料 点心 携程 改签 去过 友好,"[(0, 0.967973)]",0
日本 乐桃 航空 提示 付托 运费 托运费 只能 卡刷 害得 只能 问路 希望 提前 提示 航班 延误 小时 申办 补偿 希望 携程 帮忙 无异议 旅行 总体 不错,"[(13, 0.9668273)]",13
不错 行程 订票 航班 免费 托运 行李 损失,"[(7, 0.5340882), (13, 0.37065402)]",7
提前 攻略 大阪 京都 交通 搞晕 京都 酒店 干净 舒服 温馨 酒店 服务 大阪 酒店 关西 酒店 房间 迷你 迷你 第一天 打扫 房间 拖鞋 前台 服务 推荐 这家 酒店,"[(0, 0.59003407), (5, 0.3813897)]",0
推荐 酒店 非常适合 家庭 地理位置 交通 出行 行程 推荐 接送 安排 进一步 改进 接机 司机 牌子 司机 错过 发微 等待 浪费 时间 送机 供应商 主动 发现 携程 客服 联络 晚上 协调 总算 安排,"[(7, 0.29131177), (9, 0.6834727)]",9
挺好 不好 地方 酒店 服务 酒店 环境 不错 出行 客服 双床 房换大 床房 搞了半天 退掉 便宜 想想 价格 相差 一千多 干脆 不换 将就一下 酒店 换大床 酒店 客服 工作 忽悠,"[(2, 0.9690334)]",2
伤透 消费者 旅行 预定 自由 大阪 酒店 当晚 不让 入住 前台 房型 只能 包含 儿童 孩子 预定 人房 预定 行程 携程 出具 产品 确认 单上 对此 提示 网络 致电 携程 酒店 沟通 日币 差价 升级 房型 无奈 只能 客服 提出 这笔 携程 全额 追偿 客服 调查 相关 人员 责任 一半 补偿 拒绝 诉求 全额 赔偿 客服 帮忙 申请 一周 任何人 致电 客服 投诉 专员 每次 转接 备注 加急 客服 事到如今 依然 回音 一家 国内 知名 旅游 度假 销售 公司 携程 丧失 诚信 经营 顾客 至上 服务 理念 消费者 放在首位 致电 消保 消费者 维权 困难 就让 第三方 介入 消费者 权益 满意 答复 再也不会 预定 携程 服务 诚信 意识 企业 值得 消费者 信任,"[(3, 0.9917057)]",3
提早 两个 月定 显示 机舱 仅剩 几个 感觉 赶紧 下单 样子 一个月 时间 航班 酒店 便宜 位置 空余 欺骗 消费者 携程 补偿,"[(12, 0.95961607)]",12
自由 携程 给定 酒店 真的 大阪 酒店 天台 微信 领队 服务,"[(5, 0.9226013)]",5
信任 携程 没想到 体验 失望 失望 出发 台风 关系 预定 东航 航班 取消 携程 两天 通知 语气 服务 语气 特别 投诉 经理 理解 经理 改签 机票 一拖再拖 询问 差价 莫名其妙 舱位 莫名 拖到 廉价 航空 请问 预定 便宜 没问 改签 无奈 之下 打给 东航 客服 回复 机票 南航 南航 改签 打去 南航 取消 本来 享受 免费 改签 机票 差额 全日空 几分钟 搞定 实在 无厘头 常识 莫名其妙 投诉 经理 缺钱 买药 简单 一件 出行 莫名 安心 质素 常识 经理 携程 信任 谢谢,"[(11, 0.98867345)]",11
携程 套餐 酒店 真的 大阪 新阪 酒店 房间 破旧 房间 行李箱 床单 不洗 第一天 榻榻米 皮肤 客房 床单 发现 床单 一塌糊涂 头发 极点 提醒 携程 套餐 酒店,"[(5, 0.9668268)]",5
机票 肯定 住宿 第一家 酒店 京都 丽嘉 皇家 酒店 服务 房间 很大 干净 门厅 客厅 卧室 卫生间 第二家 大阪 新阪 酒店 行李箱 摊开 地方 下脚 放假 超级 卫生间 只能 容纳 可怕 估计 两个 很挤 两袋 东西 房间 进门 过道 只能 房间 空调 只能 风量 几天 温度 房间 通风 只能 空气 净化器 风扇 房间 程度 上旬 大阪 温度 晚上 毛衣 房间 第二天 能干 没开 空调 情况 服务 设施 真的 不行,"[(5, 0.98672956)]",5
酒店 飞机 安排 明明白白 景点 参考 旅游 携程,"[(0, 0.8968097)]",0
安排 登机 楼上 飞机 号取 流程 设计 客服 帮忙 解决 推荐 玩法 经典 诚意 大阪 酒店 饮用水,"[(13, 0.94839704)]",13
大阪 推荐 酒店 太小 推荐 小间 大床 平方 拉杆箱 打不开 加钱 床房 箱子 放过 走路 酒店设备 陈旧 唯一 好处 交通 边上 轨道交通 酒店 通道 直达 不用 出门 楼下 机场 大巴 适合 单身 情侣 对面 八喜 超大 玩具 卖场 扭蛋 儿童玩具 游戏机,"[(11, 0.9778836)]",11
大阪 新坂 酒店 图片 不符 房间 平米 活动 空间 紧贴 窗台 电视剧 棚户区 阁楼 携程 更换 酒店 携程 解释 三天 费用 一分 推荐 酒店 更换 更换 房型 自行 前台 取消 入住 转而 酒店 肯定 维权 投诉,"[(11, 0.9748972)]",11
航班 时间 大阪 安排 酒店 不好 第一次 不套 床单 被子 一层 床单 难受,"[(0, 0.93365914)]",0
出发 前一天 小朋友 生病 发烧 导致 旅行 变更 损失 携程 推荐 美亚 保险公司 拒赔 川航 机票 发生 事情 第一 时间 沟通 携程 保险公司 正确 下次 携程 放心 发烧 儿童 出国 旅游 美亚,"[(12, 0.971854)]",12
自由 机票 生日 打电话 交错 说实话 记得 提交 耽误 行程 机场 值机 小姐 情况 希望 提交 提示 确认 信息,"[(2, 0.9535586)]",2
