内容,主题概率,主题类型
时间 玩玩 缆车 不错 走走 玩玩 不累 拖家带口 总体,"[(0, 0.025466), (1, 0.027632004), (2, 0.91955525), (3, 0.027346712)]",2
西山 颠覆 习惯 小心谨慎 防蒙 防骗 游客 传统 认知 索道 步行 索道 缆车 滇池 西山 龙门 出门 热情 停车场 收费员 招呼 索道 免费 接送车 一再 确认 免费 掏出 钱包 索道 自然而然 免费 是因为 售票 拿回扣 收费员 挂完 电话 索道 卖票 一会儿 车里 一对 母子 连忙 索道 肯定 回答 一口气 惴惴 一会儿 一路上 司机 热情 地向 介绍 昆明 提醒 出行 公交 西山 回来 免费 西山 公园 每位 游客 电子 导游 景点 自动播放 贴心 西山 有个 长联 蛮有意思 景点 概括 值得 回味 五百里 滇池 奔来 眼底 披襟 茫茫 空阔 无边 东骧 神骏 西翥灵 蜿蜓 南翔 缟素 高人 韵士 选胜 登临 螺洲 凤鬟雾 苹天苇 点缀 翠羽 丹霞 孤负 四围 香稻 万顷 晴沙 九夏 芙蓉 春阳 数千年 往事 心头 把酒 凌虚 滚滚 英雄 楼船 唐标 铁柱 宋挥玉 革囊 伟烈 丰功 费尽 移山 心力 珠帘 不及 暮雨朝云 残碑 付与 苍烟 落照 赢得 半江 渔火 两行 秋雁 清霜,"[(3, 0.99440336)]",3
游记 西山 龙门 景区 早上 大巴车 开到 第一个 景区 一路 醒来 呼吸 新鲜空气 感觉 算是 昆明 著名 景区 壮美 感觉 半天 时间 肯定 索道 确实 幽静 舒服 索道 挺不错 一路 晃晃悠悠 小风 西山 风景 尽收眼底 远处 眺望 滇池 近处 山中 花朵 不自在 山路 蛮有意思 左边 壁画 双手 开凿 龙门 美景 实在 拍拍 右边 悬崖 滇池 风景 不错 一路 很快 龙门 景区 门口 开心 时间 心情,"[(1, 0.30637774), (2, 0.68553936)]",2
位于 昆明市 西山 森林公园 昆明 龙门 要去 龙门 西山 悬崖峭壁 开凿 开发 山洞 凸起 石头 修建 写有 龙门 一登龙门 身价百倍 石壁 雕刻 佛像 俯瞰 滇池 昆明市 地方,"[(0, 0.49986678), (2, 0.48133826)]",0
滇池 西山 龙门 特别 山上 风景 漂亮 索道 西山 西山 索道 要到 顶上 凌云阁 鸟瞰 昆明 美爆 下山 路人 很窄 观览 很久 滇池 索道 回到 对岸 值得 套票 山脚下 游客 中心 领票 滇池 索道 半山腰 省去 四十分钟 大巴 车程 办法 领到 不合理 回答 疑问 红嘴鸥 海埂 公园 岸边 横跨 滇池 索道 海埂 公园 地方 横跨 滇池 索道 另一边 西山 半山腰 上山 西山 索道 两个 索道,"[(1, 0.46005833), (2, 0.37600914), (3, 0.15999596)]",1
感觉 不错 高德 地图 不准 本来 游客 中心 不到 公里 两趟 公交 打车 套票 不错 缆车 大巴 单程 大巴 单程 滇池 缆车 行程 安排 很好 一点 不累 走回头路 龙门 两个 小球 龙珠 超级 记得 硬币 投入 碰碰运气 换币 地方 只能 一元 一张 原因 分钟 山路 好多 差点儿 滑倒 滇池 海鸥 感觉 充实,"[(3, 0.98480135)]",3
市区 民族村 路口 到达 滇池 大坝 海埂 公园 方向 漫步 大坝 吹风 眺望 滇池 海鸥 到达 滇池 索道 单程票 西山 索道 俯瞰 滇池 远至 昆明 城市 构图 超棒 感受 步行 分钟 西山 公园 门口 购买 套票 索道 步行 电瓶车 第一步 悬空 索道 上山 超值 分钟 坐在 索道 晃荡 双腿 极目眺望 六方 城市 滇池 西山 尽收眼底 第二步 索道 终点站 龙门 方向 步行 先上 后下 山路 崎岖 华山 感觉 左手边 悬崖 右手边 峭壁 滇池 第三步 分钟 到达 龙门 不到 龙门 西山 拿出 相机 啪啪 美景 龙门 试试 悬崖绝壁 爬上去 一览 返回 下行 欣赏 绝壁 小花 龙门石窟 来到 龙门 景区 门口 电瓶车 返回 西山 公园 门口 开车 大姐 车技 杠杠 左兜 右转 分钟 到达 两种 选择 大巴 下山 索道 滇池 海埂 公园 关键 时间 心情,"[(1, 0.6394566), (2, 0.058217388), (3, 0.30017504)]",1
值得 走走 景区 管理 规范 风景 不错 节假日,"[(0, 0.02863925), (1, 0.91228586), (2, 0.029162101), (3, 0.029912801)]",1
闪婚 西山 鸟瞰 滇池 昆明 全城 万达 双子塔 醒目 团来 第一天 行程 总体 感觉 景点,"[(0, 0.94789165), (1, 0.017062373), (2, 0.017360179), (3, 0.017685767)]",0
门廊 文字 好看 油漆 油漆 泼到 门廊 椭圆 框处,"[(0, 0.8683833), (1, 0.08089312), (2, 0.025468666), (3, 0.025254907)]",0
值得 一登龙门 身价百倍 发发,"[(0, 0.8438149), (1, 0.052375924), (2, 0.052586246), (3, 0.05122288)]",0
滇池 公园 缆车 山腰 西山 昆明 值得 山上 历史 人文 建筑 俯瞰 滇池 昆明,"[(0, 0.017406503), (1, 0.017777225), (2, 0.9474842), (3, 0.017332034)]",2
滇池 索道 西山 龙门 购票 西山 龙门 购票 山脚 换票 大巴 上山,"[(0, 0.020077981), (1, 0.02072827), (2, 0.020868966), (3, 0.93832475)]",3
爸妈 不错 景色 空气,"[(0, 0.051943902), (1, 0.84433067), (2, 0.052709963), (3, 0.05101541)]",1
出口 地方 妈妈 东西 外边 这时候 追过来 大妈 门票 掏出 门票 不行 两边 一遍 一遍 大年三十 痛快 脾气好 碰上 不讲理 检票 大妈 见不着 大年初一 早上 太阳,"[(0, 0.96964854), (3, 0.010653317)]",0
美的 地方 滇池 门票 选择 缆车 性价比 超高 沿路 风景秀丽 半个 小时 车程 滇池 全貌 滇池 缆车 好多 龙门 一登龙门 身价十倍 游客,"[(0, 0.012402515), (1, 0.18974923), (2, 0.011598059), (3, 0.78625023)]",3
昆明 值得 市区 打车 多公里 半小时 公交 时间 长点 山脚下 黑车 不亏 公园 大巴 走回头路 黑车 村里 出租车 司机 认路 更省 后山 龙门 凌霄阁 半山腰 缆车 海埂 公园 运气 不好 缆车 年底 大修 一段 电瓶车 走走 下坡路 拍拍 心情 舒爽,"[(1, 0.98047405)]",1
风景 不错 天气 心旷神怡,"[(0, 0.05226415), (1, 0.8419723), (2, 0.054130558), (3, 0.05163305)]",1
值得 景点 观光车 走路 辛苦 龙门 景区 石阶 滑要 慢点 滇池 壮观 水面 绿藻 干净 下山 缆车 海埂 公园 海鸥 海鸥,"[(0, 0.37377387), (1, 0.6016652), (2, 0.012237602), (3, 0.012323391)]",1
风景 票价 唯一 售票员 态度 不好 一脸 好像 爱理不理 样子 希望 改改,"[(0, 0.0196668), (1, 0.02112954), (2, 0.783776), (3, 0.17542769)]",2
西山 睡美人 早已 名扬天下 滇池 岸边 流传 动人 故事 很久以前 滇池 岸边 青年 男女 真挚 相爱 互订 终身 财主 看上 这位 美丽 姑娘 用计 小伙子 害死 滇池 姑娘 爱人 悲痛欲绝 披头散发 含泪 迎风 呼喊 力尽 仰面 倒下 化成 睡美人 尊贵 凤凰 老远 飞来 吊念 当地人 不知 凤凰 称作 碧鸡 称为 碧鸡山 卧佛 化身 睡美人 满腔 热泪 红尘 海枯石烂 无尽 地久天长 色相 如来 观自 慈悲 未必 沉沦 滇池 万顷 杨枝水 送秋波 一怆 是因为 故事 特别 早上 上山 空气 清醒 晨练 地方,"[(2, 0.9902283)]",2
景点 推荐 感觉 能住 价格 不明 推荐 赶集,"[(0, 0.028633498), (1, 0.91366196), (2, 0.028592683), (3, 0.029111909)]",1
不错 景点 一路上 一系列 石窟 道教 题材 雕塑 色彩斑斓 雕工 不算 特别 高强 古迹 喜欢 凤凰 雕塑 流畅 灵动 凤凰 翅膀 小窝 硬币 好运 每人 三次 美景 登高 望临 美景 无限 滇池 全景 昆明 全景 尽收眼底,"[(2, 0.9784143)]",2
西山 早早 爬山 锻炼身体 早上 老年人 居多 西山 感觉 年轻 体力 大爷 西山 很美 空气 山顶 俯瞰 滇池 昆明城 感觉 天空 西山 农家乐 块钱 游玩 还能 过夜 上山 山道 本地人 自产 水果 新鲜,"[(2, 0.97668433)]",2
缆车 西山 半山腰 龙门 费用 缆车 俯瞰 滇池 爬山 滇池 龙门 爬山 做好 交钱 胸卡 导览 语音 导览 节省 人力物力,"[(0, 0.012343483), (1, 0.9625465), (2, 0.01263318), (3, 0.012476804)]",1
导游 不错 讲解 到位 旅游 加油,"[(0, 0.036465634), (1, 0.88799804), (2, 0.03849599), (3, 0.037040327)]",1
小有名气 跟着 朋友 好不容易 爬上去 哇塞 往下 一看 我一 建议 恐高症 地方 感受 一览 众山 意境 大片 美景 尽收眼底 总体 感觉 刺激 好爽 震撼,"[(0, 0.01083951), (1, 0.9682052), (2, 0.010590178), (3, 0.010365093)]",1
购价 划算 路线 缆车 滇池 全貌 西山 植被 购买,"[(0, 0.027397452), (1, 0.026835918), (2, 0.57358897), (3, 0.37217766)]",2
一登龙门 身价百倍 来到 昆明 不到 龙门 西山 办法 便是 滇池 索道 来回 双程 大元 送到 半山 龙门 景区 入口处 门票 一程 索道 再付 回程 电车 反正 龙门 五元 跑不了 风景 美的,"[(1, 0.1244577), (3, 0.8588031)]",3
昆明 西山 龙门 记忆 最深 地方 西山 悬崖峭壁 小时候 家长 星期天 西山 怕怕 龙门 之险 青天 西山 乘车 公路 慢慢 爬山 途经 华亭寺 太华寺 三清 龙门 山脚下 往上走 公路 两边 茂密 森林 空气清新 天然 氧吧 各种各样 植物 茁壮成长 数不尽 野花 怒放 一股 山泉水 山顶 上流 好多 半山上 有个 玉兰 玉兰树 品种 开花 季节 白色 粉色 玉兰花 开遍 半山坡 美的 特别 妖冶 华亭寺 有点累 休息 休息 观赏 风景 爬山 山脚 龙门 公里 景区 公路 山路 大弯急 行人 树木 高大 遮挡 视线 西山 管理局 车辆 上山 太华寺 爬上来 好累 路边 拐进去 太华寺 三清 看得见 龙门 只见 龙门 西山 悬崖峭壁 有个 小小的 石雕 头上 龙门 两个 大字 阳光 照耀 金光闪闪 西山 龙门 位于 西山 森林公园 山东 滇池 一条 长约 数公里 断层 断层 南侧 修筑 一条 石刻 通道 石道 人力 悬崖峭壁 一锤 途中 隧道 螺旋 宛转 有人 石洞 下临 万丈深渊 惊心动魄 五百里 滇池 尽收眼底 山顶 魁星阁 途中 著名 凤凰 因道 达天阁 石坊 上题 龙门 此为 龙门 龙门 承载 劳动 智慧 结晶 一登龙门 身价百倍,"[(2, 0.71761423), (3, 0.27908248)]",2
昆明 龙门 龙门 位于 三清 南面 包括 北由 三清 别有洞天 石洞 门起 南至 达天阁 削壁 石雕 工程 罗汉山 挂榜 之间 削壁 由北向南 原有 四个 岩洞 明嘉靖 年间 北面 三清 岩洞 开发 穴石 小楼 当年 洞需 铁索 栈道 危蹬 地址 三清 南面 登临 西山 龙门 三清 龙门 龙门 位于 西山 顶部 罗汉 悬崖峭壁 龙门 栈道 到达 山顶 狭窄 栈道 来回 擦肩 侧身 龙门 迂回 栈道 开凿 增加 龙门 出口 游人 流水 畅通无阻 增加 安全感 增加 风景 游览点 饱览 龙门 精湛 石刻 艺术 穿过 龙门 隧道 石阶 龙门 平台 龙门 胜景 最为 著名 便是 魁星 相传 凿成 龙门 石匠 小心 魁星 手中 石笔 凿断 心痛 纵身 悬崖 前往 西山 公园 市内 公交车 到达 市中心 租车 前往 分钟 云南 民族村 龙门口 缆车 往返 海埂 西山 全程 往返 单程 游客 打算 西山 上住 一晚 聂耳 太华山 太华 别墅 山庄 借宿 自带 帐篷 食物 自行 食宿 山上 便是 山庄 华亭寺 用餐 游览 西山 半天 三月 昆明人 结伴 西山 郊游 热闹 民族村 值得,"[(2, 0.9949581)]",2
西山 龙门 去过 两次 第一次 岁时 妈妈 带我去 年轻 喜欢 自由 耳濡目染 爱好 第二次 十一月 可惜 蓝潮 滇池 湖面 大片 绿色 污染带 污染 程度 感觉 比较严重 昆明市 政府 任重道远 西山 龙门 平如镜 滇池 風景 依然 蓝潮 治理 发展 成像 洱海 泸沽湖 旅游胜地 龙门 雕塑 精美 希望 龙门 身价百倍,"[(2, 0.9837772)]",2
昆明 值得 俯瞰 城市 滇池 开车 停车场 停车 地方 边上 缆车 买票 地方 缆车 门票 门票 下山 电瓶车 景色 很棒 陡峭 楼梯 很滑 一点 门票 免费 领导 游器 边走边看 很棒 很棒,"[(1, 0.97488534)]",1
运动 小伙伴 建议 缆车 走路 遗憾 龙门 顶上 难过 遗憾 遗憾 龙门 景区 不错 人挺多 旁边 导游 介绍 边上 生肖 点灯 的别 坑人 感觉 第二天 腿疼 运动 后果 去过 小伙伴 提前 团购 便宜,"[(1, 0.9766785)]",1
缆车 来回 俯瞰 滇池 景色 顺便 爬山 阴天 滇池 实在 扫兴 西山 龙门 本来 地方 很小 散客 带团 导游 乌泱 乌泱 地方 拍照 好好看 两眼 不行 西山 指示牌 不好 地方 一处 明白 指示牌 指得 云里雾里 不知所云 糟糕,"[(1, 0.92505294), (3, 0.061017696)]",1
西山 森林公园 俯瞰 滇池 游客 中心 套票 感觉 合适 缆车 电瓶车 锻炼身体 游客 中心 大巴 公园 入口 建议 缆车 上山 自上而下 观赏 缆车 风光 无限 看着 旁边 滇池 蓝天白云 缺点 滇池 确实 水源 养护 缆车 观赏 西山 龙门石窟 本来 洛阳 类似 确实 规模 确实 悬崖峭壁 开凿 工程 确实 显出 当年 虔诚 逐级 山下 电瓶车 回到 公园 入口 大巴 回到 游客 中心 回到 市区 总体 流程 合适,"[(0, 0.054238383), (2, 0.10415572), (3, 0.8375671)]",3
点评 一种 爱好 更是 一种 生活 西山 坐落于 滇池 西部 景区 云南昆明 滇池 著名景点 昆明 游玩 地方 长长的 索道 滇池 直通 西山 远观 滇池 秀美 辽阔 体会 西山 龙门 文化 积淀 值得 地方 推荐,"[(0, 0.2200894), (1, 0.14527242), (2, 0.62720984)]",2
景色 太美 滇池 全景,"[(0, 0.0533873), (1, 0.8410209), (2, 0.053621087), (3, 0.051970694)]",1
雕刻 艺术家 古代人 留给 破坏,"[(0, 0.043927126), (1, 0.8652111), (2, 0.04780343), (3, 0.04305826)]",1
值得 往返 感受 上行 始发站 民族 西南 索道 西山 联票 免费 摆渡 海埂 公园 东门 往北走 开车 湖滨路 停车场 人不多 排队 四个 车厢 第二个 停车站 车站 高度 快艇 码头 高度 两侧 俯瞰 滇池 感觉 棒极了 临近 西山 仰角 速度 感觉 峭壁 树木 扑面而来,"[(2, 0.981906)]",2
地势 险要 抓紧时间 建议 滇池 索道 观赏 景色 远眺 昆明 南市区,"[(0, 0.022169944), (1, 0.46451974), (2, 0.49148196), (3, 0.021828372)]",2
西山 龙门 壮观 山美水 平原 没上 缺少 锻炼,"[(0, 0.028544774), (1, 0.028751247), (2, 0.9126924), (3, 0.030011522)]",2
龙门 山顶 风景 不错 俯瞰 滇池 昆明 城区 时间 缆车 时间 足够 建议 步行 上山 陡峭 门票 貌似 值得,"[(0, 0.012933984), (1, 0.3371601), (2, 0.6363665), (3, 0.013539375)]",2
风景 挺不错 历史感 西山 滇池 聂耳 可惜 时间 太紧 虚云大师 纪念,"[(0, 0.022115398), (1, 0.022242371), (2, 0.23175772), (3, 0.7238845)]",3
垃圾 景区 门票 白白浪费 大众 支持 不到 退票 连接,"[(0, 0.026860321), (1, 0.02623851), (2, 0.92095405), (3, 0.025947096)]",2
西山 龙门 西山 风景区 景观 好多 冲着 龙门石窟 单独 收费 不爽 滇池 缆车 额外 缆车 收费 想想 四点 时间 龙门 俯瞰 昆明 全景 缆车 上看 一路 下山 一路 风景 小时 山脚 公交 火车站,"[(1, 0.97643936)]",1
西山 国家森林公园 位于 滇池 湖畔 峰峦起伏 林木 苍翠 白鸟 争鸣 景色 秀丽 森林公园 华亭寺 太华寺 三清 古刹 殿宇 楼阁 掩映 茂林修竹 深处 公园 增添 一份 人文 气息 西山 龙门 缆车 滇池 第二段 缆车 山路 徒步 沿途 景色 不错 绿树 环绕 怪石 林立 湖光山色 青山 绿树 掩映 若隐若现 增添 一份 别样 感受 身处 空气 清新 环境 清心 更是 心旷神怡,"[(0, 0.27430665), (2, 0.7168453)]",2
滇池 昆明湖 昆明池 中国 云南省 大湖 昆明市 西南 盘龙江 河流 注入 湖面 海拔 面积 平均 水深 最深 湖水 西南 海口 泄出 螳螂 金沙江 支流 普渡河 上源 滇池 云南省 淡水湖 高原 明珠 环湖 地区 常有 洪涝 水患 早在 盘龙江 上建 松华坝 开凿 海口 加大 滇池 流量 减轻 环湖 涝灾 上游 河流 上先俊 修建 十座 大中型 水库 沿湖 修建 几十座 电力 排灌站 解除 洪涝灾害 确保 农田灌溉 城市 工业 生活 用水 湖内 产鲤 金钱 滇池 居住 称为 部落 战国时期 楚将庄 率部 滇池 地区 庄桥 部属 服从 建立 滇国 汉武帝 益州郡 治为 滇池 晋宁 十三年 公元 建立 云南 行省 池畔 赤城 改称 昆明 云南省 所在地 滇池 风光秀丽 碧波万顷 风帆 点点 湖光山色 令人 陶醉 滇池 国家级 旅游 度假区 占地面积 平方公里 分为 功能区 高标准 多功能 国际化 建设,"[(2, 0.9937257)]",2
风景 名胜区 欣赏 滇池 全貌 路线 西山 龙门,"[(0, 0.029198779), (1, 0.02962266), (2, 0.9110884), (3, 0.030090133)]",2
爬山 来到 西山 昆明 有名 走水 山下 小镇 经人 指点 一条 林间 小路 前一天 下过 林间 找到 野生 路上 泥泞 稳点 打滑 太阳 天气 适合 出汗 小时 上山 小时 下山 景点 感觉 山上 有个 景点 龙门石窟,"[(2, 0.9784438)]",2
早饭 景区 门口 一碗 酸辣粉 豆腐 魔芋 木耳 海带 说实话 味道 幸好 调料 味道 好吃 景区 门口 确实 一碗 酸辣粉 米线 只能 填填 肚子 龙门 电子 导游 古老,"[(0, 0.1741424), (1, 0.80762714)]",1
自然 生态环境 树木 山林 环绕 空气清新 一路 步行 欣赏 山下 滇池 风光 沿途 聂耳 可供 参观 瞻仰 整条 线路 平时 缺乏 锻炼 走不动 景区 大巴车 车票 每人 锻炼身体 遛狗,"[(0, 0.15540291), (1, 0.82680446)]",1
周末 龙门 两个 方向 水泄不通,"[(0, 0.044049997), (1, 0.47038367), (2, 0.043518964), (3, 0.44204736)]",1
西山 滇池 昆明 两大 景点 正好 山脚下 滇池 两景 完美 市区 有点儿 挡不住 昆明人 热情 每次 节假日 家人 伙伴 西山 聊天 索道 单程 索道 西山 穿过 滇池 块钱 值得 音乐家 聂耳 龙王庙 拜拜 心愿 烦恼 解开 滇池 走走 三个 哈尼族 姑娘 帮忙 拍照 池边 大爷 钓鱼 一两分钟 两条 调侃 好运 龙王爷 昆明,"[(2, 0.9851551)]",2
特别 适合 锻炼 人士 锻炼身体 平时 感觉 门票 小贵,"[(0, 0.026561378), (1, 0.92048305), (2, 0.026797336), (3, 0.02615817)]",1
西山 龙门 景点 华亭寺 景点 爬上去 龙门 风景 挺不错 缆车 太累 山顶 一览无余 昆明 景色 天气 壮观,"[(0, 0.014529043), (1, 0.015369612), (2, 0.7457035), (3, 0.22439784)]",2
没事 爬山 一大 享受 春雨 洗浴 西山 迷人 山坡 苍翠欲滴 浓绿 来得 散尽 雾气 淡雅 丝绸 一缕缕 地缠 腰间 阳光 每片 叶子 雨滴 五彩 珍珠 亲近 自然 感受 自然 放飞 心情,"[(2, 0.9749932)]",2
两次 昆明 两次 西山 第一次 扛下来 风景 不错 第二次 一代 一代 僧人 凿壁 雕刻 道家 思想 传承 很多年 师傅 嘱咐 想来 别有滋味,"[(0, 0.011564039), (1, 0.011439424), (2, 0.96595466), (3, 0.01104183)]",2
单程 索道 门票 感觉 实在 超值 走马观花 大饱眼福 细细品味 深意,"[(0, 0.023157297), (1, 0.9296441), (2, 0.02355279), (3, 0.023645807)]",1
滇池 索道 大巴车 景区 门口 去取 去时 搞清楚,"[(0, 0.028366039), (1, 0.9139059), (2, 0.028840486), (3, 0.02888757)]",1
昆明 值得 景点 大众 点评 门票 车票 便宜,"[(0, 0.028366214), (1, 0.030858958), (2, 0.91040754), (3, 0.030367222)]",2
滇池 不错,"[(0, 0.085825175), (1, 0.09201741), (2, 0.73335034), (3, 0.08880708)]",2
风光 昆明市 一看,"[(0, 0.065624125), (1, 0.06872479), (2, 0.8019466), (3, 0.06370453)]",2
西山 第一次 高树 山上 滇池 美丽 心情 特别 感觉 神清气爽 边上 一小 彩虹 音乐家 聂耳 聂耳 纪念馆 塑像 朋友 好多 照片 漂亮 发到 朋友圈 朋友 下次,"[(0, 0.010102528), (1, 0.3862571), (2, 0.59394777)]",2
索道 滇池 全景 滇池 最佳 位置 门票 门票 走进 一段路 电瓶车 抢钱 好好 景区 开发 商业化 收费 难看,"[(0, 0.014236043), (1, 0.95750004), (2, 0.014312932), (3, 0.013950943)]",1
天然 氧吧 空气 适合 步行 爬山,"[(0, 0.037915017), (1, 0.03765406), (2, 0.8878996), (3, 0.036531333)]",2
西山 重点 龙门石窟 听错 龙门石窟 大佛 龙门石窟 龙门 鱼跃龙门 寓意 状元 及第 龙门 当年 看风水 状元 悬崖 开凿 石窟 真的 才子 石窟 壮观 修建 垂直 悬崖峭壁 陡峭 狭窄 地方 山体 内部 开挖 通道 夏天 阴凉 发毛 只容 小道 原生态 摆拍 欣赏 风景 绝佳 石窟 雕刻 有意思 寓意 科举 文殊 菩萨 鱼跃龙门 多子 多福 观音 娘娘 洞窟 天花板 艳丽 漂亮 彩绘 绝对值 回小 门票 票价 免费 讲解 地方 自动 讲解 回收 发现 外国游客 喜欢 西山 电瓶车 上上下下 背着 大包 有个 年纪 外国 大爷 悠闲自得 潇洒 不行,"[(0, 0.99055266)]",0
昆明 西山 森林公园 坐落 滇池 名气 很大 缆车 一览 滇池 全貌 公园 很久 适合 周末 爬山 远道而来 游客 地方 特别 拜访 靠着 滇池 滇池 全景 时间 有限 建议 选择 缆车 来回 票价 好像 门票 收费,"[(1, 0.46425942), (2, 0.52099675)]",2
第一次 昆明 打算 昆明 坐火车 大理 晚上 火车 昆明 西山 大众 点评 搜到 是因为 西山 索道 本来 打算 滇池 索道 滴滴 司机 师傅 西山 滴滴 好不容易 打到 多分钟 司机 师傅 师傅 规划 一条 路线 先买 西山 门票 套票 景区 用到 景区 大巴 上山 景点 门口 选择 游览车 索道 下山 索道 风景 游览车 交钱 套票 龙门 景区 走路 门口 工作人员 导游 介绍 建议 下山 归还 免费 景点 索道 索道 美女 索道 索道 西山 索道 滇池 索道 西山 索道 建议 西山 索道 滇池 滇池 索道 出口 工作人员 滇池 索道 买票 滇池 索道 大巴 下山 收钱 套票,"[(1, 0.26571408), (2, 0.38032135), (3, 0.35123673)]",2
团购 套票 通知 只能 退掉 景区 价格 亏了 多出 好多钱 电池 索道 单程 西山 景区 门口 景色 太美 龙门 景区 门票 景区 电瓶车 单程 可惜 当天 西山 索道 检修 坐成 回来 下山 大巴 便宜 公交 天气 超级 蓝天白云 倒影 滇池 昆明城 尽收眼底 希望 下次 机会,"[(1, 0.98276174)]",1
索道 好玩 惊险 刺激 爬山 不算 滇池 昆明 全景 很漂亮,"[(0, 0.023818947), (1, 0.9276857), (2, 0.024991944), (3, 0.023503415)]",1
套票 实在 现场 买票 排队 坐车 太久,"[(0, 0.032087345), (1, 0.40680283), (2, 0.033371978), (3, 0.52773786)]",3
风格 酌情 不错 门票 每位 提前 订购 大众 点评 团购 提前 样子 买好 大巴 上山 索道 刚上 索道 兴奋 索道 国内 乘过 最长 索道 半小时 犯嘀咕 尽头 索道 下山 一路 美景 眼底 滇池 脚下 游人 几处 烧香拜佛 拍照 留念 山路 湿滑 小心 慢行 电瓶车 大巴 返回,"[(2, 0.82506275), (3, 0.16358456)]",2
公园 俊美 讲讲 线路 打车 海埂 公园 索道 轻松 选择 往返 单程 卫生间 免费 提供 索道 游客 分钟 西山 索道 选择 索道 龙门 电瓶车 龙门 门票 当地人 强烈推荐 小道 西山 索道 下山 流着泪 高原 游客 尝试 上山 不到 分钟 心跳 快速 头晕目眩 碍于 下山 游客 鼓励 调头 老人家 半小时 路程 半小时 过程 害怕 晕倒 有人 搭救 千步 小小 售票亭 告知 买票 进园 徒步 爬心 游客 乖乖 索道,"[(1, 0.95497656), (3, 0.037295606)]",1
