评论,fenci,情感分类,主题概率,主题类型
自带的系统上上网还可以，想玩其他的功能毫无疑问得换.偶在京东订的时候为了装方便，一起买了阿帕奇的光驱。到货后，发现该光驱无法引导系统光盘启动，已验证过该光驱读写功能正常。,自带 系统 上上网 功能 毫无疑问 得换 偶在 京东 阿帕奇 光驱 到货 发现 光驱 引导 系统 光盘启动 验证 光驱 读写 功能,neg,"[(1, 0.9589915)]",1
相对于2140，屏幕不是镜面屏，亮度会差一点，,屏幕 镜面 亮度,neg,"[(0, 0.035873186), (1, 0.035763137), (2, 0.7851084), (3, 0.035741467), (4, 0.035914794), (5, 0.035803556), (6, 0.03579545)]",2
"用的是系统,一般用户需要重装,缺少蓝牙模块,电池使用时间稍短,发热量较大",系统 用户 重装 缺少 蓝牙 模块 电池 时间 稍短 发热量 较大,neg,"[(0, 0.011944713), (1, 0.011931332), (2, 0.43787453), (3, 0.011951186), (4, 0.011941635), (5, 0.5023902), (6, 0.011966383)]",5
屏幕有点软，合上盖，用手拿着机器，明显有按进去的感觉，这点就不如我朋友买的苹果的屏幕了。另外不知道是不是我还没有煲的关系，音响有点刺耳。,屏幕 上盖 手拿着 机器 感觉 朋友 苹果 屏幕 关系 音响 刺耳,neg,"[(0, 0.011962341), (1, 0.0119406665), (2, 0.825662), (3, 0.0119326245), (4, 0.114596695), (5, 0.011947986), (6, 0.011957673)]",2
那个叫什么什么的系统不怎么会用，想换，听说有点麻烦，不知道有没有高人指导下小弟,系统 想换 听说 麻烦 有没有 指导 小弟,neg,"[(0, 0.89226156), (1, 0.017966311), (2, 0.018024703), (3, 0.017926952), (4, 0.01789902), (5, 0.017935622), (6, 0.017985828)]",0
屏幕的边框是指纹收集器。屏幕亮度每次调低后，再重启，又变成最高了,屏幕 边框 指纹 收集器 屏幕 亮度 每次 调低 重启,neg,"[(0, 0.0143628195), (1, 0.014363658), (2, 0.014383784), (3, 0.014363873), (4, 0.6722157), (5, 0.014400498), (6, 0.25590965)]",4
系统操作还是不太习惯，另外不能把的文件和文件互通，所以也会有一些不方便的,系统 操作 习惯 文件 文件 互通,neg,"[(0, 0.020547263), (1, 0.020653585), (2, 0.8767135), (3, 0.020474723), (4, 0.020537373), (5, 0.020542327), (6, 0.02053123)]",2
"太重了，好像比其他品牌14寸的机子还重，怎么上面写着2,可是电脑包装上面写毛重3，还有不知是自己太背了还是怎么的，本子到手还没有用，好像有点问题，又要去售后维修，太麻烦了！",太重 好像 品牌 机子 电脑 包装 毛重 不知 本子 到手 好像 售后 维修 麻烦,neg,"[(1, 0.6254913), (2, 0.32665431)]",1
系统不分区。晕。不知道厂家为什么这么搞。既然研发了产品，对于他们内行人来说简单的事就顺手弄好得了。不分区，还要我们弄半天，特别对于我们电脑不懂的女生来说，更是麻烦。,系统 分区 厂家 研发 产品 内行人 简单 顺手 分区 半天 特别 电脑 不懂 女生 更是 麻烦,neg,"[(2, 0.17213885), (6, 0.785754)]",6
发票上写的很明白，赠包，电话客服处理完直接没音信了，京东在线客服竟然来个因为618的优惠而没有包儿了，我觉得很不合理，既然没有就别写赠包，本来价格高400还一大堆赠品，这现在什么也没搞上，还要自己买包,发票 上写 明白 电话 客服 音信 京东 在线 客服 优惠 包儿 不合理 就别 写赠 本来 价格 一大堆 赠品,neg,"[(4, 0.9546747)]",4
缺点还是大家都认同的屏幕太亮的问题，本人通过一些彩色设置将屏幕的亮度和对比度调低了些，勉强能够接爱，但同台式机相比色彩上还是有点差异，因此只能4分，而且屏幕的可视角度不高。,缺点 认同 屏幕 太亮 彩色 设置 屏幕 亮度 对比度 调低 勉强 接爱 但同 台式机 相比 色彩 差异 只能 屏幕 可视 角度,neg,"[(5, 0.96083325)]",5
商品本身就是有点划花，但是可以忍受，但是京东的配送实在是让人气愤。,商品 划花 忍受 京东 配送 实在 气愤,neg,"[(0, 0.017939856), (1, 0.017944112), (2, 0.017952085), (3, 0.42647824), (4, 0.28707448), (5, 0.2146616), (6, 0.017949646)]",3
热量较高~不完游戏就开着也会热，需要散热器为好特别是夏天，显卡是入门级的。不过以后把内存加至4，那样会爽点。,热量 游戏 散热器 特别 夏天 显卡 入门级 内存 加至,neg,"[(0, 0.014499172), (1, 0.014351862), (2, 0.66209567), (3, 0.26598364), (4, 0.014340699), (5, 0.014361093), (6, 0.0143679)]",2
处理器再强点就好了，当然再强点就不是这个价了，显卡的显存很强大，位宽很不强大。只有包，没有鼠标，,处理器 显卡 显存 强大 位宽 强大 鼠标,neg,"[(0, 0.017924173), (1, 0.01791817), (2, 0.017943474), (3, 0.017900296), (4, 0.57523996), (5, 0.017905835), (6, 0.33516812)]",4
让我最不爽的是没有ＸＰ的驱动盘，我上官网下载花了我一下午时间！,不爽 驱动 上官 下载 下午 时间,neg,"[(0, 0.02043971), (1, 0.020453205), (2, 0.020516094), (3, 0.020434683), (4, 0.020549674), (5, 0.020498458), (6, 0.87710816)]",6
键盘有点不习惯，尤其光标键做得太小。散热部分没有好，不过说得过去。,键盘 习惯 光标键 太小 散热 说得过去,neg,"[(0, 0.020522758), (1, 0.020461991), (2, 0.87710327), (3, 0.020430882), (4, 0.020476814), (5, 0.020497674), (6, 0.020506551)]",2
今天刚买的，开机使用没多久，交流电流适配器便不间断发出刺耳的杂噪音，继而发现电池也发出同类声音。我很多朋友都用，都没有这种情况，所以可以确定是产品质量问题。,开机 没多久 交流 电流 适配器 不间断 发出 刺耳 噪音 发现 电池 发出 同类 声音 朋友 情况 产品质量,neg,"[(2, 0.18141921), (6, 0.7787138)]",6
"没有驱动及系统安装光盘,对今后的使用带来一定不便,最让人感到气愤的是,居然整个硬盘就1个分区,厂家的这种做法也未免太懒惰太不负责任了!",驱动 系统 安装 光盘 带来 不便 最让人 感到 气愤 硬盘 分区 厂家 做法 未免太 懒惰 不负责任,neg,"[(2, 0.94943017)]",2
触摸板设计太差，不如三星等品牌的好操作。左右键间隔太大，对于习惯单手操作触摸板的我来说很不方便。键盘键位间距大，容易进灰尘。连系统盘都不送一张，未免有点小家子气了。,触摸板 设计 三星 品牌 操作 间隔 习惯 单手操作 触摸板 键盘 键位 间距 灰尘 系统盘 一张 未免 小家子气,neg,"[(0, 0.952177)]",0
大家在京东买东西一定要谨慎，出现点问题就是自己到处去跑，他们才不会管你，小心上当！！,京东 东西 谨慎 小心 上当,neg,"[(0, 0.023989301), (1, 0.024097268), (2, 0.024066886), (3, 0.023946), (4, 0.023962718), (5, 0.4937317), (6, 0.38620612)]",5
散热不是很好，不过送的散热器还可以将就用用，到天热的时候再看怎么样了,散热 散热器 用用,neg,"[(0, 0.7854237), (1, 0.035749644), (2, 0.035760622), (3, 0.03579381), (4, 0.03575905), (5, 0.035758678), (6, 0.035754472)]",0
操作系统还不如直接给裸机，分成一个盘最后还是要重装的，不给个光盘一重装专用软件在网站上也没找到，美中不足,操作系统 裸机 分成 重装 光盘 重装 专用 软件 网站 找到 美中不足,neg,"[(0, 0.011977085), (1, 0.011969959), (2, 0.011957105), (3, 0.011929578), (4, 0.01195152), (5, 0.5194004), (6, 0.4208144)]",5
我买的这个笔记本上门写的家庭高级版，结果拿到手是版的，,笔记本 上门 家庭 高级 拿到,neg,"[(0, 0.023930684), (1, 0.02388928), (2, 0.023873502), (3, 0.023863059), (4, 0.023906693), (5, 0.023965988), (6, 0.85657084)]",6
散热一般，从触摸板到右手掌托有些温热，只有三个，太少，不过分配到是比较合理,散热 触摸板 右手掌 温热 三个 分配,neg,"[(0, 0.8773605), (1, 0.020439543), (2, 0.0204457), (3, 0.020429779), (4, 0.020441452), (5, 0.020443643), (6, 0.02043931)]",0
屏幕设计的有点小了，很宽的留边，有点浪费；,屏幕 设计 留边 浪费,neg,"[(0, 0.02869541), (1, 0.028631508), (2, 0.02871156), (3, 0.028602643), (4, 0.028682375), (5, 0.028654335), (6, 0.8280221)]",6
"触摸板那里有点热,不知道是不是正常现象,在有外壳都是塑料,有点不太结实的感觉,我觉得我还得去买个内胆.",触摸板 现象 外壳 塑料 结实 感觉 内胆,neg,"[(0, 0.017927652), (1, 0.01794054), (2, 0.01795951), (3, 0.017893065), (4, 0.017949043), (5, 0.39243835), (6, 0.5178918)]",6
明明写的是高级版，拿到手才发现只是普通版！明明说2点及千克，拿到手变3点几千克了！神奇哦！,明明 高级 拿到 发现 明明 千克 拿到 手变 几千克 神奇,neg,"[(0, 0.013036804), (1, 0.013018772), (2, 0.013016775), (3, 0.013040704), (4, 0.013013903), (5, 0.9218481), (6, 0.013024944)]",5
接口太少，靠得近，而且还在左边.刚出库就有返现100元，赠包！！！ 的活动，又不能保价，大大的不爽！！！ ，预制的很麻烦，还不如裸机再节省点价格。,接口 左边 出库 返现 活动 保价 大大的 不爽 预制 麻烦 裸机 节省 价格,neg,"[(0, 0.010241003), (1, 0.010281725), (2, 0.010265784), (3, 0.7363049), (4, 0.010333982), (5, 0.010289615), (6, 0.21228305)]",3
键盘上的键敲得稍微快点的时候，有些字母明明敲了，但是就是没上去。好像主要是在左边的键。,键盘 稍微 快点 字母 明明 没上去 好像 左边,neg,"[(0, 0.015905248), (1, 0.015928812), (2, 0.9043785), (3, 0.015899489), (4, 0.015907569), (5, 0.015989285), (6, 0.015991114)]",2
明显能看出来是低端本，塑料感很强，做工也仅仅比神船稍好。只有2个，且都在左边。散热很差，面好像蒸笼啊。不送包……,低端 塑料 做工 神船 稍好 左边 散热 好像 蒸笼 不送,neg,"[(0, 0.013039626), (1, 0.013061173), (2, 0.01309192), (3, 0.013012709), (4, 0.013036101), (5, 0.9217059), (6, 0.013052597)]",5
"到货时间太慢，整整过了8天，是没有系统还是怎么了？为什么打开之后就不动了，显示  ,谁能帮我解释解释，该怎么办呢？是应该找京东还是找宏基？",到货 时间 太慢 整整 系统 打开 不动 显示 解释 解释 京东 宏基,neg,"[(0, 0.011018549), (1, 0.09336201), (2, 0.011024374), (3, 0.011015539), (4, 0.46641943), (5, 0.3961116), (6, 0.011048452)]",4
悬浮键盘~！ 真不知道设计师怎么想的 按键的下半部分 识别率很低 ~按10次 识别5次就不错了  而且 悬浮键盘 容易积灰！还有就是很厚 做工不细,悬浮 键盘 真不知道 设计师 按键 下半 识别率 识别 不错 悬浮 键盘 积灰 做工 不细,neg,"[(6, 0.9427543)]",6
装系统麻烦，至少要告知具体方法，比如要改中的硬盘选项，非专业的人是想不到的，另外刻录机在读盘的时候震动非常大，我认为对硬盘肯定有损伤。,系统 麻烦 至少 告知 具体方法 硬盘 选项 非专业 想不到 刻录机 读盘 震动 硬盘 肯定 损伤,neg,"[(2, 0.946286)]",2
1.购买的时候写着赠送包的，可是收到本本的时候没有包。这时去查看订单时，赠包的条款没有了。,购买 赠送 收到 本本 查看 订单 赠包 条款,neg,"[(0, 0.015934616), (1, 0.7829245), (2, 0.015915366), (3, 0.015924063), (4, 0.015911808), (5, 0.13746348), (6, 0.015926205)]",1
没有系统，拿到手里打开机器，只能随便看一下，因为没有系统啊！没有系统才会有这样的价钱吧！开箱的时候竟然是一个纸箱面又装了另外一个箱子，这箱子还真多，不过没有鼠标和包包！,系统 拿到 手里 打开 机器 只能 随便 系统 系统 价钱 开箱 纸箱 箱子 箱子 真多 鼠标 包包,neg,"[(1, 0.9522023)]",1
预装的版本不是常用，可以装版本的。还有安装一键还原时会死机，还有官方的显卡驱动装不上，少个文件。还有该型号的同个设配用了多个不同的驱动，找驱动不好找。,预装 版本 常用 版本 安装 一键 还原 时会 死机 官方 显卡 驱动 装不上 少个 文件 型号 同个 配用 多个 驱动 驱动 不好,neg,"[(6, 0.96261615)]",6
就是本本上许多预留的接口让人看了太心酸了。,本本 预留 接口 心酸,neg,"[(0, 0.028633356), (1, 0.82792395), (2, 0.028626684), (3, 0.028819993), (4, 0.028681992), (5, 0.028685594), (6, 0.028628414)]",1
有点厚重，不过这个价格，算是这样的了，接口只有2个而且位置不当,厚重 价格 算是 接口 位置 不当,neg,"[(0, 0.020547017), (1, 0.020515712), (2, 0.020456748), (3, 0.020494612), (4, 0.31819043), (5, 0.020545017), (6, 0.57925045)]",6
装系统麻烦，对于新手。笔记本有些厚，给女生买注意外观。不适合女生,系统 麻烦 新手 笔记本 女生 外观 适合 女生,neg,"[(0, 0.015884997), (1, 0.015900433), (2, 0.9043191), (3, 0.016149892), (4, 0.015888797), (5, 0.015893666), (6, 0.015963124)]",2
"为什么玩魔兽争霸有的时候会卡?完流行蝴蝶剑直接显示不出来,甚至黑屏的显卡还这么垃圾?",魔兽争霸 流行 蝴蝶剑 显示 黑屏 显卡 垃圾,neg,"[(0, 0.017914968), (1, 0.017912613), (2, 0.01791644), (3, 0.017883025), (4, 0.017883573), (5, 0.017954769), (6, 0.8925346)]",6
1.机身有点厚。,机身,neg,"[(0, 0.07149977), (1, 0.57010514), (2, 0.07160684), (3, 0.071447544), (4, 0.07149203), (5, 0.07184502), (6, 0.07200368)]",1
发热量好像是普遍现象了，也许是天气热的原因吧，屏幕有些小，时间长了会疲劳,发热量 好像 普遍现象 也许 天气 原因 屏幕 时间 疲劳,neg,"[(0, 0.9139359), (1, 0.014332595), (2, 0.014369935), (3, 0.014314148), (4, 0.014346711), (5, 0.014364581), (6, 0.014336141)]",0
运行速度有点慢，免费的杀毒软件只能用90天，给了两张盘，“鸡肋”没有光驱，如用还得用外置光驱，或合成驱动。麻烦。,运行 速度 免费 杀毒软件 只能 两张 鸡肋 光驱 如用 得用 外置 光驱 合成 驱动 麻烦,neg,"[(6, 0.9462332)]",6
不明白为什么机器是六月产的，有部分驱动却不是最新的，无线上网时断时续，上官网更新驱动后正常。续航时间也没有介绍所说的8小时。,明白 机器 六月 驱动 最新 无线 上网 时断时续 上官 更新 驱动 续航 时间 介绍 所说 小时,neg,"[(2, 0.94934994)]",2
刚开机没一会  就很热了机子 作为10寸便携小本 还是厚了点 还是重了点 因为电池的缘故吧 因为蓄电时间的提升 忍了~,开机 一会 机子 便携 电池 缘故 蓄电 时间 提升,neg,"[(0, 0.7517713), (1, 0.014323596), (2, 0.014337394), (3, 0.014305157), (4, 0.17657547), (5, 0.0143630905), (6, 0.014324035)]",0
17、18日个买了1台，内胆包不一样，其中一台的内胆包实在是蹩脚。一台笔记本外壳有贴膜，一台没有。搞不懂，难道三星也山寨了？,内胆 包不 一台 内胆 实在 蹩脚 一台 笔记本 外壳 贴膜 一台 搞不懂 三星 山寨,neg,"[(2, 0.94263923)]",2
缺点不要太多,缺点,neg,"[(0, 0.071446754), (1, 0.07156026), (2, 0.07168743), (3, 0.07174821), (4, 0.07144477), (5, 0.5706675), (6, 0.071445)]",5
"很重,背出去很累.好象屏幕上有个亮点,不过很小(屏本来就很小,呵呵),不明显,不过这种好象不算质量问题?不是很懂,不明显也就算了.......",背出去 屏幕 有个 亮点 很小 本来 很小 不算 质量,neg,"[(0, 0.014389835), (1, 0.014321686), (2, 0.43672603), (3, 0.01431391), (4, 0.014358168), (5, 0.49152818), (6, 0.014362162)]",5
1.刚买就跌价，比较郁闷！,跌价 郁闷,neg,"[(0, 0.047639012), (1, 0.047674846), (2, 0.71399444), (3, 0.047696557), (4, 0.047652546), (5, 0.04767378), (6, 0.04766883)]",2
用了四天，暂时发现：一是使用时触摸板微热，二是三个口都松，松到一动机器鼠标就掉线了。,四天 暂时 发现 触摸板 微热 三个 松到 一动 机器 鼠标 掉线,neg,"[(0, 0.8223136), (1, 0.011935237), (2, 0.011941247), (3, 0.118021764), (4, 0.011927335), (5, 0.011929946), (6, 0.011930845)]",0
热了一些，一定要装4 ，一般待机情况下达到56度以上，一个快捷按钮塌了半边，进设置时手靠近左边麦克风孔会发出很大的啸叫声，很奇怪的故障,要装 待机 情况 快捷 按钮 半边 设置 时手 靠近 左边 麦克风 孔会 发出 很大 叫声 奇怪 故障,neg,"[(2, 0.95221144)]",2
6芯电池太重了了。。虽然续航时间长，但是未必所有的用户都会需要这么长时间，可以考虑提供3芯和6芯的一个选择,电池 太重 续航 时间 未必 用户 长时间 提供 选择,neg,"[(0, 0.91390854), (1, 0.014364516), (2, 0.014350974), (3, 0.014339709), (4, 0.014353452), (5, 0.014348597), (6, 0.014334184)]",0
屏幕分辨率小了点，尤其是1024*600的这个600，用一段时间会发现不方便。另外确实如很多人评价的一点，运行东西稍微多点，就卡。,屏幕 分辨率 一段时间 发现 确实 评价 一点 运行 东西 稍微 多点,neg,"[(0, 0.011971652), (1, 0.802254), (2, 0.13796577), (3, 0.011971042), (4, 0.011952145), (5, 0.011936379), (6, 0.011949006)]",1
送来就是坏的，点不亮，也怪我粗心没试就刷卡收货了。搞得我还要自己去话说维修点检测，然后才给换，折腾到现在机器还没用上。在下单的时候有个选项，是否让京东代为试机，点一下就可以了。京东质检部门应该注意一下,送来 不亮 粗心 没试 刷卡 收货 维修点 检测 给换 折腾 机器 没用 下单 有个 选项 京东 代为 试机 京东 质检 部门,neg,"[(1, 0.20698664), (3, 0.7602985)]",3
刚买第二天就降价100～～,第二天 降价,neg,"[(0, 0.04771413), (1, 0.7133674), (2, 0.04777758), (3, 0.04791927), (4, 0.047685612), (5, 0.047647577), (6, 0.047888376)]",1
"声音太小了,开到最大,声音都小得吓死人,最好是买耳机听歌,,视频晚上有点黑,亮度调到最大也有点黑,送的内胆包太差了,我买的白色,送的黑色的内胆包,而且内胆包还不能封口,我觉得不像内胆包.",声音 太小 声音 吓死人 耳机 听歌 视频 晚上 亮度 内胆 包太差 白色 黑色 内胆 内胆 包还 封口 内胆,neg,"[(6, 0.95470154)]",6
电池没说的那么好，用了半个月，一直在用电池，也就用67个小时，开始是8小时，效果没有想象中那么理想,电池 没说的 半个 电池 小时 小时 效果 想象 理想,neg,"[(0, 0.9140739), (1, 0.014304939), (2, 0.014317058), (3, 0.014336175), (4, 0.014301619), (5, 0.014338885), (6, 0.014327426)]",0
?款?子只能?，才能?示??卡，如果?，??就不被??出?，?句??，只有集成?卡被??，的系?很大，占10多，整???都很慢，很苦?，?在?盼???快推出的?卡??,只能 集成 很大 很慢 推出,neg,"[(0, 0.023869198), (1, 0.02390723), (2, 0.02388476), (3, 0.023844788), (4, 0.023859596), (5, 0.023860859), (6, 0.85677356)]",6
就是补丁后不能设置密码，害我差点重做系统,补丁 设置 密码 差点 系统,neg,"[(0, 0.02392055), (1, 0.023874119), (2, 0.8567413), (3, 0.02384445), (4, 0.023853384), (5, 0.02386211), (6, 0.023904055)]",2
音箱效果不太好，有杂音．只能做一般的使用，需另外配音箱．显示效果也一般．另外自带那个杀毒软件根本就注册不了，被我删了，现在裸奔中．还有那个读卡器，我有试过一次，没法用，不知道什么问题．,音箱 效果 不太好 杂音 只能 音箱 显示 效果 自带 杀毒软件 注册 裸奔 读卡器 没法用,neg,"[(0, 0.18934597), (2, 0.31404474), (3, 0.45828786)]",3
虽至于另外的那些更是不值一提，选来选去三星的这款不错。然以前用的三星不好，但这次不错,更是 不值一提 选来 选去 三星 这款 不错 三星 不好 不错,neg,"[(0, 0.013016157), (1, 0.013044995), (2, 0.013024138), (3, 0.013005532), (4, 0.921852), (5, 0.013020411), (6, 0.013036755)]",4
买回来后当天试了试，因为出差一直没用，昨天才打开，过了换货期。电池不能充电，希望出厂时严把质量关，给顾客减少不必要的麻烦。,买回来 当天 试了试 出差 没用 昨天 打开 换货 电池 充电 希望 出厂 时严 质量关 顾客 减少 不必要 麻烦,neg,"[(6, 0.9546599)]",6
性能一般，蛮肉的，但上网速度很快，比我大都快，郁闷。。。电池太强啦～什么时候大本子也能用它个6小时啊？,性能 蛮肉 上网 速度 很快 郁闷 电池 本子 它个 小时,neg,"[(0, 0.28458816), (1, 0.013099464), (2, 0.65009356), (3, 0.013096695), (4, 0.013041882), (5, 0.01303114), (6, 0.013049112)]",2
1.底座的橡皮托容易掉落...,底座 橡皮 掉落,neg,"[(0, 0.03582971), (1, 0.7852124), (2, 0.035784815), (3, 0.035784554), (4, 0.035796076), (5, 0.035796147), (6, 0.0357963)]",1
送的内胆包有点不好，还有外接电源中间连接处无法全部插入。续航时间也没有标称的那么长，希望京东能注意宣传的真实性。,内胆 不好 接电源 连接处 插入 续航 时间 标称 希望 京东 宣传 真实性,neg,"[(0, 0.0110589005), (1, 0.011056522), (2, 0.01101602), (3, 0.0110443495), (4, 0.011024643), (5, 0.011096984), (6, 0.9337025)]",6
有点重了，上下班背着太累人了；还有就是那系统，真气死人了，就一个盘分区，找了好多办法来分区，结果还是把系统给搞坏了，备份也搞没用了。只有拿到服务点，还要花二百大洋搞好分区换个系统。,上下班 背着 累人 系统 气死人 分区 好多 办法 分区 系统 搞坏 备份 没用 拿到 服务 二百 大洋 搞好 分区 系统,neg,"[(6, 0.95903575)]",6
原来是钢琴漆的，不是亚光的，小小遗憾。,钢琴漆 亚光 小小 遗憾,neg,"[(0, 0.8281544), (1, 0.028626364), (2, 0.028664466), (3, 0.028653603), (4, 0.028625147), (5, 0.028628793), (6, 0.0286472)]",0
160的硬盘容量，实际查看分区只有140多一点，打电话问华硕销售，解释说什么还有隐藏分区……搞不拎清~,硬盘容量 查看 分区 多一点 打电话 华硕 销售 解释 隐藏 分区,neg,"[(0, 0.013062326), (1, 0.1950433), (2, 0.013074998), (3, 0.51144534), (4, 0.013066295), (5, 0.013052676), (6, 0.24125506)]",3
不赠送杀毒软件，只有使用60天的。价格偏高。有些地方2900.因为急着要用，所以图方便下单了。可能是电池的原因，机器有点重。确实战指纹。,赠送 杀毒软件 价格 地方 下单 电池 原因 机器 确实 指纹,neg,"[(0, 0.5347771), (1, 0.013031129), (2, 0.013043689), (3, 0.013040702), (4, 0.013027118), (5, 0.013033108), (6, 0.40004715)]",0
不足也有：1、份量不轻，别看个不大还挺沉的，感觉跟我的差不多；2、屏幕边框设计不好看，太宽像大模具套小屏幕；3、漂亮的烤漆爱留指纹，美观与实用两难；4、底部温度不低，放腿上夏天比较热。,份量 挺沉 感觉 屏幕 边框 设计 好看 模具 屏幕 漂亮 烤漆 指纹 美观 实用 两难 底部 温度 夏天,neg,"[(0, 0.95465964)]",0
屏幕清晰度低，为什么很不清楚？？？显卡驱动的问题，还是机子本身的问题？？？,屏幕 清晰度 显卡 驱动 机子,neg,"[(0, 0.023871869), (1, 0.023988312), (2, 0.8567194), (3, 0.023835814), (4, 0.023847556), (5, 0.02383761), (6, 0.023899449)]",2
黑色的表面指纹很明显，屏幕色温挺高，偏色挺大，而且好像不能调？似乎只能调屏幕整亮度，不接交流电的时候屏幕暗，选了高耗电好像屏幕也没亮起来。,黑色 表面 指纹 屏幕 色温 偏色 好像 只能 屏幕 亮度 交流电 屏幕 耗电 好像 屏幕 没亮,neg,"[(2, 0.9494647)]",2
送的内胆包比较差，由于电池的缘故，重量也稍微重了一点，不突出设计很好，但是还是没有浑然一体，最大的一个问题是升级，没有提供空余的内存扩展槽，如果升级，需要用2的条子替换掉自带的1条子，非常不好！！,内胆 电池 缘故 重量 稍微 一点 设计 浑然一体 升级 提供 空余 内存 扩展槽 升级 条子 替换 自带 条子 不好,neg,"[(1, 0.9569961)]",1
不能装锁、光驱读盘能力不算太好、圆通快递太离谱，到货无通知，直接给公司保安，等我见到?时纸箱包装已被拆开过。建议京东每单多给圆通两毛电话费！,装锁 光驱 读盘 能力 不算 圆通 快递 离谱 到货 通知 公司 保安 见到 纸箱包装 拆开 建议 京东 圆通 电话费,neg,"[(1, 0.19509362), (4, 0.7690424)]",4
价格要是能再低点就更好了！京东应该多搞特价活动!快递的服务态度不是很好,价格 低点 更好 京东 特价 活动 快递 服务态度,neg,"[(0, 0.7440775), (1, 0.17618024), (2, 0.015899377), (3, 0.015944617), (4, 0.01595981), (5, 0.016001277), (6, 0.01593719)]",0
