Unnamed: 0,发表时间,作者,评级,标题,内容,fenci,sentiment
,2024-07-31 16:39:11,Hjhunguhffdgthbf,1,阿瓦隆系统不愧是你站的集大成作品,如标题,标题,正面
,2024-07-31 16:32:12,45554555589,1,灵动岛能整明白么,在哪开启关闭，不知道怎么关的，再也开不开,开启 关闭 开不开,负面
,2024-07-31 15:59:13,蒙古上单12569,1,六星好评,你所热爱的就是你的生活,热爱,正面
,2024-07-31 15:39:46,sdfg！,5,还可以,没有理由，总之就是还可以,理由,负面
,2024-07-31 15:09:58,皑看看绿豆,5,不错,用了这么久感觉比别的好多了,感觉,正面
,2024-07-31 15:08:54,guyingzilians,1,听视频呢,视频页面的听视频按钮呢，你们怎么做负优化啊！,视频 页面 视频 按钮 做负,负面
,2024-07-31 13:06:14,二次根式式,1,垃圾软件,开通会员再开通大会员会员的钱不给退白瞎15块倒是先说清楚会员和大会员的区别啊,开通 会员 开通 会员 会员 给退 会员 会员 区别,负面
,2024-07-31 11:51:15,UP主 L,4,实用,里面有很多很棒的主,很棒,正面
,2024-07-31 11:38:17,33苦4,1,实行文字狱的APP,（该条评论已经被删除）稍微有一点点敏感的话，都不能发🤮,评论 删除 敏感,负面
,2024-07-31 11:38:00,我要看动漫！,5,关于番,要是能出一些被禁的就好了，希望能出一个成年人自愿系统，然后就能看一些不能看的了（强烈希望）,能出 希望 能出 成年人 系统 希望,正面
,2024-07-31 09:43:16,沟咔的碟,1,灯牌改你m呢,以前只要发一个弹幕就能续灯牌，现在还非要花米了，叔叔你马什么时候似啊？,弹幕 能续 灯牌 叔叔,正面
,2024-07-31 09:01:01,貊農,1,粉丝牌给我改回来！！！,不是你什么意思啊，每三天就要捐钱是吗，好不容易有个喜欢的主播想支持一下你就要这样硬卡是吗，人家要是三天没开直播牌子全没了，然后你说卡舰长的话当月可以一直有牌子噢～哇哦那你想得好美呀，正好最近舰长又涨价格，反正我们底层粉丝从来都不是人的你也不在乎，对对，粉丝牌你们只需要改一下一下规则，而我们底层粉丝要考虑的可多了。,捐钱 喜欢 支持 硬卡 牌子 舰长 牌子 正好 舰长 价格 底层 粉丝 粉丝 规则 底层 粉丝 可多,正面
,2024-07-31 07:56:28,yuanwang1975,5,阿b永远的神,看到不少人因为站风气变差等等问题会给差评 但我觉得这不是站一个网站的经营问题 其实是互联网大环境的影响   你去看看某音 小某书 贴吧 微博等等 远比这差的多 大部分网暴等恶性事件都是在这些地方发生的。相比之下 哔哩哔哩无论在审核 推荐还是屏蔽上都做的更好 站内环境也基本稳定 引战骂战的存在但不多 而且激烈程度远远降低。而且 站是个真正能学到东西的地方 我包括我的不少同学都是靠着里面的免费公益课程提了不少分。        总而言之 我会支持站的发展 也认为他会越作越好 担起互联网净土的责任！😄,风气 变差 差评 网站 互联网 环境 网暴 地方 发生 哔哩 哔哩 审核 推荐 屏蔽 环境 稳定 引战 骂战 激烈 程度 降低 学到 地方 包括 同学 公益 课程 我会 支持 担起 互联网 净土 责任,正面
,2024-07-31 03:33:28,忧愁善∠感的小男孩,5,用阿b快十年了,最喜欢的视频社交网站。,喜欢 视频 社交 网站,正面
,2024-07-31 03:19:35,游客3387654,1,发现一个巨大的bug,我睡觉给视频定时关闭二十分钟，就关上屏幕睡了（有后台播放吗不是）然后！我半夜醒了，还在播，打开站，发现弹窗提示：定时关闭时间已到是否关闭？。。。。我都定时关上屏幕睡觉了，这个弹窗要等我睡醒点关闭吗？？？神经，我用的流量，播几个小时你开心了吧，我不会原谅你这个无情的家伙,睡觉 视频 关闭 屏幕 后台 播放 打开 发现 弹窗 提示 关闭 时间 关闭 屏幕 睡觉 弹窗 睡醒 关闭 神经 我用 流量 小时 开心 无情 家伙,负面
,2024-07-31 01:43:42,453/¥¥55,3,半夜给我推荐察边直播,熬个夜还让我开了眼了，真的恶心了，站是在做什么交易呢？还是审核晚上准点睡觉啊？？？无语的要,恶心 交易 审核 准点 睡觉,负面
,2024-07-30 21:47:23,你会做什么？,5,爱看,有很多好看的视频。我从小看到大。,好看 视频,正面
,2024-07-30 20:35:23,张泽禹迷妹,5,喜欢,不错哒我主要是看四代物料不错,不错 物料 不错,正面
,2024-07-30 19:31:24,小雪211,5,最喜欢的视频软件没有之一！,阿真的是我用过最棒最棒最喜欢最喜欢的视频软件了！弹幕文化虽然近几年有所变质但开精选还是很有意思的～网友也是很温暖的，文化水平明显较高的宝宝们！内容也更多是长视频比较符合我个人的口味，主们也很有趣～入站近四年第一次评价！真的很棒！,用过 喜欢 喜欢 视频 软件 弹幕 文化 变质 精选 网友 温暖 文化 水平 较高 内容 视频 符合 口味 主们 有趣 评价 很棒,正面
,2024-07-30 18:54:04,改个名字怎么这么费劲呀啊嘿,1,新的粉丝牌规则是来搞笑的吗,主播不能靠发弹幕来点亮自己的粉丝牌，只能上舰长，这吃相过于难看了吧？我天天去自己直播间签到，好不容易升到15级，这就给我灭了。纯傻波一软件,弹幕 点亮 粉丝 只能 舰长 难看 直播间 签到 升到 傻波 软件,负面
,2024-07-30 17:25:32,︶东哥花呗借贷宝商家,5,还不错,如标题,标题,正面
,2024-07-30 15:59:42,bbbbnnnnnnhydheehfhfjfjdn,5,怪好玩的,怪好玩的,好玩,正面
,2024-07-30 15:46:16,抽抽出宝不能,5,虽然没下载，但是我感觉非常的好用。,这个我在别的手机上面也用过。,手机 用过,正面
,2024-07-30 15:29:07,影子打脑壳,1,卖国贼app,公民有权自由表达自己的观点和看法，而不受不当干涉。只有汉奸国贼才去干预！,公民 有权 自由 表达 观点 看法 不受 干涉 汉奸 国贼 干预,正面
,2024-07-30 14:59:30,lpf天马,1,无障碍太差了，给个一星,开发者光顾着吃瓜，都不干正事儿了，现在无障碍弄得这么差,开发者 光顾 正事儿,正面
,2024-07-30 14:30:34,Vindw,1,处理问题太机器化,什么问题都解决不好太垃圾一直推推推 听不懂人话,解决 垃圾 推推 听不懂,负面
,2024-07-30 13:41:38,妮妮称霸世界,1,一⭐️还是多了,（该条评论已经被删除）蛆站名不虚传，期待倒闭呀🥰,评论 删除 蛆站 期待 倒闭,负面
,2024-07-30 13:38:59,斯坦福与他人添堵一股回顾信任,3,还行吧,还行吧，可以继续努力,还行 努力,正面
,2024-07-30 12:54:25,菊次郎的大蜀山,5,谢谢b站多年的陪伴,感谢大家,感谢,正面
,2024-07-30 12:47:37,魏静怡很生气,5,喜欢B站,小潮院长好帅,院长 好帅,正面
,2024-07-30 10:45:52,向日葵武,2,b站,五星给所有站的勇士一星给站,勇士,正面
,2024-07-30 10:25:54,讨厌破站,1,最恨的直播平台,粉丝灯牌三天不刷就自动掉了 盲盒也坑 舰长搞什么涨价 动不动被警告 别人擦成那样都能播 我就不行 气鼠了😤,粉丝 灯牌 不刷 盲盒 舰长 涨价 警告 擦成 不行 气鼠,负面
,2024-07-30 09:53:40,楼下遇见你,4,非常好非常好,就是能不能把原来的选集点后有痕迹的那个功能恢复一下啊 都不知道自己看到哪了呜呜求求了,选集 痕迹 功能 恢复 求求,负面
,2024-07-30 09:17:05,我不是人……啊啊啊啊,4,小钱钱都到我怀里来,好贵的会员呢，这个怪我，我挣不来钱,好贵 会员,正面
,2024-07-30 07:45:34,Arvinivra.,1,毫无意义的一堆宣传,你们再出一个没政治意味的软件版本吧,政治 意味 软件 版本,正面
,2024-07-30 06:00:12,Tasville,1,沟槽的纱沟软件,（该条评论已经被删除）烂透了,评论 删除,负面
,2024-07-30 02:04:43,giligilibbb,3,没信心,突然间推出小屏播放有时失效，变成后台听声音了，真不明白这么小的问题为什么会发生,推出 播放 失效 后台 声音 发生,正面
,2024-07-30 00:03:45,小丘尼,1,直播定时关闭,苹果用户想要直播定时关闭的功能,苹果 用户 想要 关闭 功能,正面
,2024-07-29 22:42:24,我不是弟中弟,1,没地方清缓存,占了十几个内存，设置里清缓存只有几百，流氓软件,内存 缓存 流氓软件,负面
,2024-07-29 22:38:49,！lll。,1,弹幕真的烦,关了弹幕重新点进去又有 下一集也有 真的服了 看一集点一次,弹幕,正面
,2024-07-29 22:11:44,RedRoad🇨🇳,3,听视频按钮被隐藏,如题，之前可在竖屏界面找到的听视频按钮被隐藏起来了，只有横屏后全屏播放时，才能在右上角三个点中找到听视频按钮，这极大增加了不便！希望尽快改回来！,竖屏 界面 找到 视频 按钮 隐藏 横屏 点中 找到 视频 按钮 增加 希望,负面
,2024-07-29 22:11:42,李宗瑞霉菌,1,更新后看视频自动跳转,更新后看视频自动跳转到直播，几个版本都没修复，干什么吃的？,视频 跳转 版本 修复,正面
,2024-07-29 19:23:38,zhangduyu,1,为什么默认开启弹幕？,打开一个视频弹幕默认就开启了。,打开 视频 弹幕 默认 开启,负面
,2024-07-29 19:11:55,Dennis\'jiang,1,抽风的记忆弹幕状态,设置好了记忆弹幕开关状态居然会自动关闭，我设置开启只要一退出设置页面随便开一个视频就把弹幕给我开开了，再回去设置一次只要点开一个视频又自动给我关闭，太影响观感。我反复设置26次了，没一次有用的，不知道又是抽啥风,记忆 弹幕 开关 状态 关闭 开启 退出 页面 视频 弹幕 开开 回去 视频 关闭 观感 反复 有用,正面
,2024-07-29 19:04:45,ｕｙｉｐ,3,建议取消阿瓦隆系统,我在一个造谣视频下发布辟谣评论，结果被阿瓦隆系统吞了，类似的事情还有很多，阿瓦隆系统这么做会造成信息茧房，不利于网友正常思考。 -----------------------------------------------------------------------------------------  开发者回复：小伙伴的评论情况如果出现被删除或不能显示，您可以通过链接（://../5//）提交申诉，如果您的评论核实无问题会帮您恢复。,造谣 视频 发布 评论 系统 类似 事情 系统 信息 茧房 不利于 网友 思考 开发者 回复 小伙伴 评论 情况 删除 显示 链接 提交 申诉 评论 核实 恢复,负面
,2024-07-29 18:31:02,华为大nb,1,给四星是为了能被看到,站现在变味了，跟抖音差不多，几乎失去希望了,变味 跟抖 希望,负面
,2024-07-29 17:13:04,Nmmmmmcv,1,账号封禁,我才刚下载的软件账号显示两个月前给我永久封禁了我要求转人工询问还没办法询问就这种服务还干什么,下载 软件 账号 显示 封禁 人工 询问 办法 询问,负面
,2024-07-29 16:08:02,kimilijia,3,使用体验,黑屏听视屏时总是闪退，再打开就会卡，越来越多擦边博主视频真的很蠢,视屏 闪退 打开 擦边 博主 视频 很蠢,负面
,2024-07-29 15:00:19,2223712282,1,广告跳转,你们有什么权限打开我手机的其他软件？,权限 打开 手机,正面
,2024-07-29 13:05:36,a niceone,5,超级棒,近几年用的最满意的一款,满意,正面
,2024-07-29 12:09:28,Black Chrismas,2,容易崩溃,功能越来越多了，内存占用也越来越大。我14，每次切出去回来十有五六会重启，之前看的视频就不见了。能不能优化下内存，再不济，记录下之前播放的位置，如果识别到被系统关闭，且短时间切回来，从原来的视频开始播放。这点还是做得到的吧？,功能 内存 占用 切出去 回来 重启 视频 不见 内存 不济 记录 播放 位置 识别 系统 关闭 短时间 回来 视频 播放,负面
,2024-07-29 10:47:28,的饭店,1,大会员没啥意义,开了会员一样有广告,会员 广告,负面
,2024-07-29 09:59:53,阿里2233,1,诱骗买联合会员 欺诈,千万别买联合会员 买前看清楚 别买到年卡季卡组合 骗子,联合 会员 买前 买到 组合 骗子,负面
,2024-07-29 09:09:38,来咯努力快乐咯林俊杰,1,呵呵,粉丝灯牌也给改了你是真的潮,粉丝 灯牌,正面
,2024-07-29 03:23:22,才不是本子墨,1,竖屏bug以及迟来的对竖屏感想,黑屏有声音无画面，必须进竖屏模式才有画面。别整你那构式竖屏模式了，直播都改成竖屏真不知道怎么想的，看到抖音成功就迫不及待出竖屏模式，恶心用户还整出一堆。,声音 画面 模式 画面 别整 构式 竖屏 模式 改成 竖屏 成功 模式 恶心 用户 整出,负面
,2024-07-29 03:06:41,曲长风,4,电视版和Ps 5 版的功能需要完善。,电视版和 5 版的功能需要完善。比如手机版本才有的倍速功能，画面比例功能，需要做一下！谢谢！,电视 功能 完善 手机 版本 功能 画面 比例 功能,正面
,2024-07-29 01:55:42,🌪️🌟,3,一个用户的建议,我用站的时间不能说很长 但是这些时间里站也发生了很大的变化拥有了更多的用户和主 但有些视频的质量就下降了 还有一些问题有一些更新感觉是无用功 比如说关注列表没有了以前的默认关注 根本不知道哪些有分组过 在手机端上也不能批量分组 建议可以开发一个智能分组 批量删除 随着关注的人越来也多 这个事情也变得越来越复杂,用站 时间 时间 发生 很大 拥有 用户 视频 质量 下降 感觉 关注 列表 默认 关注 手机 批量 建议 开发 智能 批量 删除 关注 事情 变得,正面
,2024-07-29 01:02:00,路痴@12,1,最差劲的视频软件👎,风气、各种广告的问题我就不说了，毕竟很多人都吐槽过。我只是想说，你个靠家做起来的网站在家歌曲没有违规的情况下是怎么有脸删除大量在站内多年的歌曲的？？？家几百万播放的视频说没就没，各种各样的低俗、无意义视频不管不顾，专门举报不予理睬，，，真的寒心。当然了，我也做不了什么别的，取消大会员+一星差评送给你,风气 广告 网站 歌曲 情况 删除 歌曲 播放 视频 低俗 意义 视频 举报 寒心 做不了 取消 会员 星差 送给,负面
,2024-07-29 00:28:08,123子spp,1,粉蛆的温床,终有一天会被时代审判,时代,正面
,2024-07-28 23:56:45,蛋小蓝100,1,必须看,误触投币了，不能返回,误触 投币 返回,正面
,2024-07-28 23:27:23,重复的名字：,4,永封+注销问题,希望能解决一下这个问题，这直接导致手机号不能再次注册，可以设置一个实名等略微私密的身份认证，设置一些任务完善这个账号的信任程度,希望 解决 导致 手机号 注册 实名 私密 身份 认证 完善 账号 信任 程度,负面
,2024-07-28 22:34:07,186585485657586258,3,为啥现在不能游客登录了啊？,为啥就是不能游客登录了？记得更新前还可以的啊😇,游客 登录 记得,正面
,2024-07-28 22:15:26,那时候我们还在一起吗,5,得不到币,免费的币得不到,得不到,正面
,2024-07-28 22:13:51,sj➕➖➕,1,为什么不提醒我工房的商品到售？,不提醒为什么要开那个按钮 我讨厌你,提醒 按钮 讨厌,负面
,2024-07-28 21:32:48,一人行suanny,1,垃圾,新版本就是一坨垃圾，点了自动播放，依然不自动播放，搜索叶也不好用，感觉乱七八糟，越更越垃圾，什么玩意,版本 垃圾 搜索 感觉 垃圾 玩意,负面
,2024-07-28 21:29:37,好哔哩哔哩,5,爱哔哩哔哩,好用，有影视，有番剧,影视,负面
,2024-07-28 20:42:58,司琦Sam,5,挺不错的,唯一缺点：下不了服,缺点,正面
,2024-07-28 18:50:39,Artedia950108,1,软件做的还不如安卓端,（该条评论已经被删除）我的老安卓刷都不发烫，你这软件怎么改的？,评论 删除 发烫 软件,负面
,2024-07-28 18:49:24,话疗处女座,4,我最喜欢的短长视频app,相对动态的视频我更喜欢静态的，而且不像一般短视频那样，只有一个视频给你看，你可以直接从标题上大概判断他的好坏。能见识到各行各业的人，但是感觉每日热门的视频有点不是很喜欢，有些是大阿婆主，然后因为他粉丝多，所以观看流量就很多，其实他做的那些视频本身质量个人感觉不是特别高，一般做一些综艺节目之类的，具体内容我也没看。感觉热门总体质量不是很高,动态 视频 喜欢 静态 视频 视频 标题 判断 好坏 见识 感觉 热门 视频 喜欢 粉丝 观看 流量 视频 质量 个人感觉 具体内容 没看 感觉 热门 总体 质量,正面
,2024-07-28 18:48:42,水木书生,1,官方擦边  低俗之极,收了游戏广告的钱就毫无底线的诱导不良价值观了，这就是站。,游戏 广告 底线 不良 价值观,正面
,2024-07-28 18:31:18,1452738615172920,5,感谢B站对应届大学生提供免费优质课程,免费课程真香,课程,正面
,2024-07-28 18:15:45,迷陌,1,最近体验可以说吃稀的都塞牙。,一点体验都没有，大量营销号和老作品翻新，中间再夹杂着拼夕夕海量推广，彻底放弃了，本来奔着日漫和平时看点短视频，现在日漫出的慢，短视频全是一坨。我为什么不去刷某音，看某讯视频呢？,体验 作品 翻新 夹杂着 海量 推广 放弃 日漫 看点 视频 漫出 视频 视频,正面
,2024-07-28 17:38:35,斯大林达瓦里氏,1,不要妨碍鼠鼠挣钱啦.jpg,金金金金金，钱钱钱钱钱,金金 金金,正面
,2024-07-28 17:09:07,蝴蝶夹卡卡,1,你马都死了,怎么我看个视频都闪退和卡顿啊,视频 闪退,负面
,2024-07-28 16:24:10,Loco yang,1,不知道从什么时候开始变卡了,开会员也没用，千兆网看视频只有20的缓存速度,会员 没用 视频 缓存 速度,正面
,2024-07-28 16:17:09,肝金游戏,1,控评删评，垃圾东西每天一个差评给你们,倒闭了我会放个鞭炮 -----------------------------------------------------------------------------------------  开发者回复：小伙伴的评论情况如果出现被删除或不能显示，您可以通过链接（://../5//）提交申诉，如果您的评论核实无问题会帮您恢复。,倒闭 我会 鞭炮 开发者 回复 小伙伴 评论 情况 删除 显示 链接 提交 申诉 评论 核实 恢复,负面
,2024-07-28 16:02:49,图谋烂醉凹凸咯一我X5,1,贼耗电，感觉还会偷宽带,如标题,标题,正面
,2024-07-28 15:45:38,游帅哥,4,不知道,站整体的非常的不错，是我最喜欢的一个长视频网站。只不过跟以前比还是差了挺多的，但我依旧喜欢，我永远都会喜欢站。,整体 不错 喜欢 视频 网站 喜欢 喜欢,正面
,2024-07-28 13:55:37,12899号的改变都能做,1,别给我推明星黑料,站是要倒了吗？粉黑大战，乌烟瘴气，影视区主是在搞文字狱吗？,影视 区主 文字狱,负面
,2024-07-28 13:25:08,utrrgiihc,3,IOS 17.5.1无法上传视频,点击我的，发布，上传视频。然后跳转到开启相册权限，访问照片图库只有两个选择：无仅添加照片然后在客户端没有任何可以选择和上传视频的变化？反复要求开启相册权限,点击 发布 上传 视频 跳转 开启 相册 权限 访问 照片 图库 选择 添加 照片 客户端 选择 上传 视频 反复 开启 相册 权限,正面
,2024-07-28 12:24:27,疐忈,1,垃圾,能不能把你那个私人续费给弄掉 老子都不知道走哪关 你莫名其妙给我扣钱 你以为我钱很多吗,私人 弄掉 老子 扣钱,负面
,2024-07-28 11:45:32,艾比小姐～,4,为什么平板没有会员购！,这对我们这些平板党来说真的很崩溃，九敏，真的不能改改吗,平板 崩溃 改改,负面
,2024-07-28 11:24:28,一只屑太阳,1,乐子太多,以前很喜欢这个网站，但是现在站乐子太多了，到处骂人,喜欢 网站 乐子 骂人,负面
,2024-07-28 10:45:15,BAT的B早就换人了,4,多关注一下分屏模式使用体验,如题，分屏模式下无法调节视频播放速度，希望改进一下。,分屏 模式 视频 播放 速度 希望 改进,正面
,2024-07-28 10:33:41,shzjsnxjx,4,快同步平板功能,听视频，快捷切换账号，自动识别视频，我想你了😭,视频 快捷 切换 账号 自动识别 视频,负面
,2024-07-28 10:05:34,vmgux,1,广告真多,一刷新全是广告,刷新 广告,负面
,2024-07-28 09:54:33,就想给个五星把,5,☺️,五星好评,好评,正面
,2024-07-28 09:25:06,最好看的名称,5,哔哩哔哩是全世界最好看的视频,不，我感觉她比哪位视频都好看哪位,感觉 视频 好看,正面
,2024-07-28 08:43:39,zcszcs,1,某些题材内容过于营销,某些营销题材视频真狠，各种删评,题材 视频 删评,正面
,2024-07-28 08:13:34,梦泪爱月抛,3,听视频没了,听视频本来很好的，结果我早上起来听视频突然没了,视频 很好 视频,正面
,2024-07-28 03:35:17,君君酱酱～,5,五星,很不错的,不错,正面
,2024-07-28 01:38:03,劲劲M,5,说吃黑流量的逗死我,（该条评论已经被删除）乐,评论 删除,负面
,2024-07-28 00:59:05,威尼斯A,1,新版修复了用户通过搜索观看目标视频的BUG,站更新后关于搜索栏我认为有以下几点问题1.搜索栏输入明确的关键词后，有相关关键词的高点击量目标视频权重降低，取而代之的是新视频，低点击量，有强制性引流成分。2.搜索栏第三栏稳定出现与关键词毫不相干的广告及推广，有些推广视频封面及标题包含低质、擦边内容。3.输入目标关键词，偶尔会出现相同博主数条视频，有刻意引流嫌疑。我是从11年就注册的站用户，经历了几波内容调整，目前修改的内容推广的我觉得还可以忍受，但是修改搜索模式这一点我觉得站吃相变得难看了。,搜索 搜索 输入 关键词 相关 关键词 点击 目标 视频 权重 降低 视频 点击 强制性 引流 成分 搜索 稳定 关键词 广告 推广 推广 视频 封面 标题 包含 低质 擦边 内容 输入 目标 关键词 博主 视频 刻意 引流 嫌疑 是从 注册 用户 经历 几波 内容 修改 内容 推广 忍受 修改 搜索 模式 变得 难看,正面
,2024-07-28 00:43:32,狙击大王初音未来,1,史,（该条评论已经被删除）纯史,评论 删除 纯史,负面
,2024-07-27 23:48:32,金海观潮结果从头到脚后跟词,1,勾使推荐搜索,我刚屏蔽完，你就推荐过来恶心我，还一直在那，什么意思,屏蔽 推荐 恶心,正面
,2024-07-27 23:45:48,qinggan,1,垃圾b站吞我评论,做不好就別做了這個平台也快完了，一個個正常的評論那刪這刪的，那些賣片的不管正常評論管的挺積極的,平台 評論 賣片 評論 積極,负面
,2024-07-27 22:45:07,我是小布丁，但不要吃我,5,能不能取消些恐怖的内容啊？,有待改进,有待 改进,正面
,2024-07-27 21:14:32,蝎子一只,1,我靠 B站有病吧。给我恶心到了,今天偶然点进推荐页。  全是。鼻子超恶心黑头。 和各种甲沟炎。 狂点不感兴趣还一直推。真的看吐了。 平均每屏推荐都能赶上一个。     然后还有一些背的画面也恶心。   从没点开过推荐。  也没关注过那些内容。 收了多少恶心赞助,推荐 鼻子 恶心 黑头 狂点 看吐 平均 推荐 画面 恶心 开过 推荐 关注 内容 恶心 赞助,负面
,2024-07-27 18:44:55,我不爱吃蘑菇,5,点评,非常满意👍,满意,正面
,2024-07-27 18:25:44,畅想录音,1,差评,为什么没有了播完暂停,了播,正面
,2024-07-27 18:21:45,brianyf,2,画面卡住，声音正常,在弱网的时候，画面卡住不动，声音正常、流畅播放。问题是：回到网络正常情况下，画面还是不动！拖动进度条，画面也不动！,弱网 画面 声音 流畅 播放 回到 网络 情况 画面 拖动 进度条 画面 不动,正面
,2024-07-27 17:51:44,飞翔的短尾猫,1,粉丝灯牌重新点亮规则更改得真恶心,把粉丝灯牌规则改了重新点亮还要氪金，现实忙的人或者喜欢的主播经常不播的怎么办？舰长价格也涨了。谁不知道你平台送礼物上大航海抽成抽一半啊？叔叔换成阿姨后想钱想疯了，祝早日被同行取代😊,粉丝 灯牌 规则 点亮 现实 喜欢 不播 舰长 价格 平台 航海 抽成 叔叔 换成 取代,正面
,2024-07-27 16:34:40,水无月空,1,杀软,依托史,依托,正面
,2024-07-27 16:00:24,dqc$&@,5,真的好用,超级喜欢站,喜欢,正面
,2024-07-27 15:46:24,法国湖也是,1,低俗/玩烂梗,站社会风气恶劣，审核不作为，不下架引战、网暴、烂梗、低俗视频，并且纵容,恶劣 审核 引战 网暴 低俗 视频 纵容,负面
,2024-07-27 15:16:58,带妹好球,1,B站不要不要不要实名认证！！！,（该条评论已经被删除）给大家的忠告，绝对绝对绝对不要实名认证，因为如果你不小心违规了，他们封禁的不仅仅是一个小破站账号，还有可能抖音，快手，知乎，小红书，微博等给你来个连坐！！！大清亡了一百多年了啊！他们是直接锁你的身份，不给你任何机会，真是滑天下之大稽，视法律和用户权益为儿戏！！！他们是想要我们社死！！！,评论 删除 忠告 实名 认证 小心 封禁 账号 知乎 连坐 身份 机会 法律 用户 权益 儿戏 想要 社死,负面
,2024-07-27 15:14:40,..查拉图特斯拉,3,最近广告太多 还辣眼睛,纯广告的视频越来越多，质量差就不说了，不小心刷到还辣眼睛，能不能给大会员开个纯净无广模式？,广告 视频 质量 小心 刷到 眼睛 会员 纯净 模式,负面
,2024-07-27 12:10:52,HD垃圾版本b,1,为什么平板的，,评论不可以分享到动态。。。。。,评论 分享 动态,正面
,2024-07-27 11:57:05,LianKe008,1,默认勾选一星,就像你收藏默认勾选订阅合集一样😇,收藏 默认 勾选 订阅 合集,正面
,2024-07-27 11:21:39,Aries荷包蛋,4,我才刚进站就别问了我寻思我也不知道啊,我都没玩我也没办法给评价啊这样不科学你们应该晚点再问,办法 评价 科学 晚点,负面
,2024-07-27 11:10:27,庭叶花开晚,1,发热严重,不好用，新版功能很不好用，不方便小屏，不方便听视频。能回退功能吗,功能 视频 回退 功能,正面
,2024-07-27 10:42:17,蒙古 上 单,1,入b站8年 见证从无广告时代到如今群魔乱舞,叔叔我啊 最喜欢赚钱了呢,叔叔 喜欢 赚钱,正面
,2024-07-27 10:38:08,🐵🐵🐵🌝,1,司马,为什么下架命嫌,下架 命嫌,正面
,2024-07-27 09:57:25,双手冰冰的,5,这个真的是太好了,希望众多，各位网友希望支持一下,希望 网友 希望 支持,正面
,2024-07-27 09:18:55,bhddxjjhyfvjjkfdc,1,越来越恶心了了呢，类似微博小红书抖音之类的,热搜全是引导那帮脑子不正常的吵架的，还不能关！流量你是玩明白了。评论区弹幕区里全是那些脑子不太正常的，要么素质不高，要么抬杠，要么扣帽子。视频质量也在下降，全去搞那些恶心人的流量？我寻思着正常人真那么少？,引导 脑子 吵架 流量 评论 弹幕 脑子 素质 抬杠 扣帽子 视频 质量 下降 恶心 流量 正常人,负面
,2024-07-27 08:59:31,哦老婆CS,1,把灯牌改回去,想钱想疯了？三天续一次灯牌？,灯牌,正面
,2024-07-27 08:17:14,栗一臣,5,反馈,我一点击站就会有老动画角色被教训的视频，希望可永远不要再出现这些视频,点击 动画 角色 视频 希望 视频,正面
,2024-07-27 07:50:39,😅😄😂,1,吃相太难看,对粉丝牌下手，像街边讨食的乞丐,粉丝 下手 讨食 乞丐,正面
,2024-07-27 07:41:02,Iikunikun,2,推荐算法差,每次首页都推荐差不多的视频，没有新鲜感。,推荐 视频 新鲜感,正面
,2024-07-27 07:07:25,福柯也可,1,挺烂的,现在就是无尽的广告和删评，没有那味道了,广告 删评 味道,负面
,2024-07-27 05:17:48,南五三,1,蒙古上单,你视频优质在了哪里？别给我推抽象的史了好吗,视频 优质 抽象,正面
,2024-07-27 02:37:39,我我我我我又不乱来,1,垃圾,各种意义上的垃圾，无须多言。,意义 垃圾,负面
