景点名称,网址,用户名称,星级,评价内容,时间,赞,回应,文本
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                火鸳鸯
                                ",50,昆明市区乘坐3号线地铁做到总站就到了，特别方便。提前一天网上买好票，大巴车，索道，电瓶车都包括了。售票处坐上大巴车到达聂耳墓就可以坐索道了。很慢的速度，虽然是敞篷的，也是很容易接受的。下索道往下走奔龙门，真的非常险峻秀美啊，怪不得那么多领导人也来呢！那个休了14年的凿壁廊道真是巧，还有龙门石窟，让我记住了魁星点斗，独占鳌头的意思,2019-10-1212:32,1,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                菁哥哥爱小灰灰
                                ",50,到昆明玩，必去的一站就是西山风景区，坐索道赏滇池看龙门，一趟下来，美景尽收眼底。门票套餐建议直接在大众点评上定，包含了双程大巴、单程索道和单程电瓶车，我们是上山做的索道，我觉得在索道上看滇池真的太美了，而且在索道上拍照特别漂亮。下山一定要去摸龙门，一路下来处处是风景，在观景台吹风发呆是最好不过的了。,2019-10-1115:18,19,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                lxzip001
                                ",50,上西山第一段坐索道上去，在索道上滇池就立即以更高的视角展现出来，爬上山可以多角度俯瞰滇池乃至昆明城，西山上人文和自然景观都非常丰富，悬崖、石刻、建筑、寺庙、佛塔，绝对不是一座让人感到单调的山，建议能见度好的时候去。,2019-10-1112:25,7,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                西域都护
                                ",40,昆明打卡第四站:西山。西山又称碧鸡山，位于昆明市西侧，毗邻滇池，距离市区约15公里。远远望去，如一女子躺卧于滇池岸边，因此，西山也有“睡美人”之称。西山森林茂密，环境清新雅致。不仅可以访古探寺，还可以俯瞰浩瀚滇池。站在西山之巅，心境开阔，烦恼皆无故。这是昆明当地人钟爱的地方，有“不耍西山等于不到昆明，不到龙门只是白跑一趟西山”之说。现在西山是一个峰峦起伏、林木茂密、百鸟争鸣、风景秀丽的免费公园。主要由华亭寺、太华寺、三清阁、龙门等景点组成。花香四季，树木茂密，清幽静雅，精致富有韵味。佛光普照，与水相邻，修身养心之地。自古就有“滇中第一佳境”之誉。西山景区的大门在高峣，这是正大门，也是公认的大门口。如果想要徒步或坐大巴，就从这个大门进；西山内部的景点，除了龙门外，几乎都不要门票。龙门景点门票40元/人，上下山大巴单程15元/人，景区内环保电瓶车单程：8元/人。滇池上山索道（从海埂公园直达龙门景区门口）单程：40元/人，双程70元/人，龙门索道（从龙门景区门口直到山顶）单程：25元/人西山景区太大了，所以推荐以下三种上山方式:1.可以徒步登山，大约需要2小时，从大门口（高峣）沿着大路直接上山，中途可经过华亭寺、太华寺等景点后到达龙门景区，适合时间充裕、体力好的游客。2.可坐大巴直接到达龙门景点门口，在西山景区大门口（高峣）购买大巴车票，随站随停，大巴终点是龙门景区门口。3.从海埂公园附近的滇池索道坐上山索道，直达龙门景区门口。,2019-10-1104:42,26,2,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                marvely
                                ",40,拖家带口的来西山玩，没法逞英雄的全程徒步，于是先坐景区环保车开到龙门口，从这里开始上山。上山的路径，几乎都是沿着山壁开凿出来的，沿路都是石窟，石刻，庙宇，就这样走走看看，爬到了山顶。西山在滇池旁，一路上都能看到滇池的景观，当然在山顶上看得幅面更广。拖家带口的不能继续走路下山，于是选择了坐缆车下去，缆车也在靠近滇池的一边，沿途也是看风景。,2019-10-1019:06,25,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                Su
                                ",50,坐索道滇池一览眼底，很美。从西山坐下去就又到了海埂公园。,2019-10-1014:30,13,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                锦绣河山
                                ",40,导航显示从小吃街到山门只有两公里多，可是我们却走了一个多小时。。。到山门了就不想走了坐车回小吃街吃东西了,2019-10-0923:38,1,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                Grathreart
                                ",50,西山真的很不错，门票索道价格都很合理，特别是索道，坐了好一会儿才花了20多，所以建议可以坐坐索道，省时体验感也超棒，沿途可以看到滇池，还是蛮壮观的，另外一个比较新奇的就是龙门原来是沿山而建的石道，很窄，偶尔需要弯腰通过，但是感觉特别有意思。到了山顶，俯瞰下面的滇池，心情瞬间放空，但是有恐高症的朋友可能会有一点点受不了，哈哈。提示:沿途有卖无花果的嬢嬢些，无花果超级便宜。玩累了山下这有小吃一条街，物美价廉，味道还不错。,2019-10-0923:34,3,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                Paris
                                ",50,[交通]如果有本地朋友的话呢，就可以开车自驾上山⛰️崎岖山路一顿转转转～如果木有呢，就有缆车🚠载你啦，可以看到城市美景，视野更加广阔[特色体验]从昆明市区的湛池边看过来这里就是一位横躺的美人，身材婀娜多姿，长长的头发垂入湖里，龙门就是这位美人的头部，高山悬崖绝壁，除了景色美丽还有就是爬山🧗‍♀️好累哦龙门山上有几处寺庙，可以拜一拜，灵不灵，我就母鸡道lo～只是怎么都拍不出这悬崖峭壁的美丽，怪我不是专业人士，但是自拍🤳我是在行的[推荐理由]意外的是，好像不是灰常出名的地方，竟有着这样如此的景色,2068f85d2154,66,8,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                shadowuu
                                ",40,地铁站出来，就是西山景区，买的通票。大巴上去，换缆车，老式缆车还是蛮有意思的。缆车下来就是龙门景区。大概半小时到四十分钟能走完。只要别有错路。然后再电瓶车换大巴出景区。出口有茶马花街。吃吃东西。不错,2019-10-0908:26,6,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                我是美团
                                ",50,昆明西山风景区，位于昆明西郊滇池湖畔，距市区15公里，海拔2500米。是观赏整个滇池最佳之地。最佳游览路线，山脚下乘坐景区大巴车至缆车站，换乘电瓶车，登山至山顶。此段登山路途较为陡，大概需要四十分钟。山顶乘坐缆车下山，可观看滇池及昆明的美景。,2019-10-0823:21,94,2,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                ThatRyan
                                ",40,買的套票90塊包大巴往返，單程索道，單程電动車。如果要把整個景點都逛完，建議只買大巴往返；如果逛一半景點，建議走路上山再坐索道下来。,2019-10-0820:02,2,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                回锅肉
                                ",50,去昆明游西山，提前一天大众点评买票，坐轻轨在西山站下，出轻轨后，左侧公路100米，有很多好吃的，可以吃饱了再上山，价格还都不贵。坐环保大巴一路到龙门顶，右侧是聂耳墓，中国音乐领路人，一代英才。继续向前走，进入景区，一路向下，穿龙洞，左手摸龙珠，一路风景美不胜收，坐游览车下山，环保大巴回轻轨站，不错不错,2019-10-0815:35,54,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                珍妮Jenny
                                ",40,云南昆明西山风景名胜区游玩攻略[景点名]：西山风景名胜区[地址]：昆明市西山区西山公路Z103路口附近[交通]：1-5、62、98、182路公交车到“菊花村”站，转51路公交车到“高峣”站下车。2-乘坐6、51、17、18、21、94公共车在高峣下车。3-坐7、116、54、K2、66路公交车到“岷山车场”站下车，转乘6路公交车到“高峣”站下车即到。4-坐A1、A9、24、44、73路公交车到“云南民族村（云南民族博物馆）”站下车，步行到对面车站台，转乘94路公交车到“高峣”站下车。[开放时间]：早上8点到下午6:30。[建议游玩时间]：半天。[门票价格]：40元[游玩攻略]：建议攀登参观顺序：西山华亭寺→太华寺→三清阁→聂耳墓→玉兰园。[推荐理由]：云南的特点就是它的这种植被的覆盖率非常高，那西山他整个里面的植被覆盖率也真的是非常高，但一年四季几乎全都是常绿的，然后它里面的景点像华亭寺啊，太华寺啊，三清阁呀，这些古刹殿宇全都是隐藏在这些非常茂密的植被下面的。西山它有雄险奇秀美的5大特征，华亭寺的海拔有2000多米，它整个嗯寺庙里面是非常宏伟壮观的，也是昆明比较著名的一个佛教圣地，它的这个华亭寺登上去往下看就有一个百丈悬崖峭壁的这种感觉，是非常的惊险的。那太华寺的话，它就会比较清秀一点。西山整体看起来的话，它就比较像一尊庞大的说服，然后又有人觉得它会比较像一个，嗯，取着腿握在滇池旁边的这样的一个美人，所以西山它有两个别名，一个叫卧佛山，一个叫做睡美人山。在西山里面不光能够有攀登高峰的这种体验，而且还是一个清肺之旅，它的森林的覆盖率很高，空气质量非常好，而且爬到最高处还能看到昆明的整个全景，所以我觉得还是比较值得一去的。,2019-10-0815:28,14,2,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                lizikunl
                                ",50,昆明西山风景名胜区是国家4A旅游景区。地址在：昆明市西山区碧鸡街道办高峣。交通：乘坐公交车在高峣站下车，乘坐地铁3号线在昆明西山公园站（终到站）下车。可以沿途行走到各景点游玩，也可以乘坐旅游大巴游览观光各景点。昆明西山公园，森林茂密，景致极佳，是天然的大氧吧，即可呼吸新鲜空气，又可观赏各景点。,2019-10-0811:02,48,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                叶轻眉
                                ",50,地铁可以直接到风景区门口我和同学并不想爬山，所以在山脚坐车直接到了景区南门，司机师傅一路上以超车为己任，体验了一把昆明山路的蜿蜒和当地司机的技术强烈安利坐滇池索道，可以在缆车上看到滇池全景之后从景区出来坐公交去海埂大坝11月会有海鸥，去早了,2019-10-0716:35,5,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                慵懒的呼吸
                                ",50,西山森林公园，濒临滇池，位于昆明西南15公里处，绵延40多公里，海拔约2500米。远眺西山群峰，宛如一位少女，仰天静卧在滇池岸边，所以当地人也称它“睡美人”。游客来西山，更重要的是欣赏它的名胜，西山由华亭寺、太华寺、聂耳墓、三清阁和龙门组成。建议游客花上半天时间徒步登山，沿途可观赏不同的景点。传说：相传滇池边原本有对男女青年，他们互相爱恋，男捕鱼、女织网。为了表示对姑娘的爱意，小伙子驾舟到海中为她采取海菜花，谁知一去不复返，姑娘思念情人，昼夜长哭，泪流“五百里”，洒入滇池中，最后泪尽而逝，身躯化为湖滨山峦，长发则散于草海之内，这便是“睡美人”的由来。现有地铁三号线直达，很方便。,2019-10-0715:53,175,23,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                点小评2742520742
                                ",40,景区有语音导航，老年卡不配。虽然天气不是很通透，景点挺好，就是人太多了。带小朋友第一次去，玩儿的很开心。全程自己走路，山路有点陡，腿脚不方便的游客不是很方便。景区内的交通很有次序，下次淡季好可以再来。,2019-10-0711:41,2,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                小木头吃美食
                                ",50,还不错，坐缆车上去然后再爬上去就可以了，缆车来回70，门票30,2019-10-0710:30,,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                latte
                                ",40,不知道大家咋想的8月份去的时候山上人特别特别特别多路特别特别特别不好走，都是山路，比较陡峭，还特别窄。龙门那里所有人挤在一起为了摸龙门上的一个东西硬是走了一个多小时。唯一值得一提的就是在山上能俯瞰整个滇池，风景不错。但成本是在太大了。索道一般。,2019-10-0700:30,1,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                Jason
                                ",30,从海埂公园坐缆车🚡上了西山🐌，进景区还得再买门票、坐🚠缆车或者大巴。真是城会玩啊，变着花样收费。关键点是，西山的缆车是露天的，跟海埂公园的厢式不同，它不避雨～不避雨～不避雨～这阴雨连绵的天～哎，好难哦！,2019-10-0611:32,4,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                楚楚20101008
                                ",40,西山离我住的地方不远，买的套票就没走多少路，上凌霄阁有点累，估计是海拔高了点，走了一会腿没累就喘不上气来了，坐地铁到西山景区下车，在大众点评上的套票不用换票直接用二维码就可以了，往前走点是茶马花街，里面各式的小吃挺多的，在茶马花街就可以坐大巴到聂耳墓，然后坐电瓶车到龙门,2019-10-0610:51,1,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                鱼别丢_2707
                                ",30,打车到高峣的游客中心，兑换了套票，包含来回大巴，单程索道，单程小旅游车，和公园的门票。爬西山，看滇池，那风景是自然是极好的。缆车是露天座椅式的那种，可以饱览山顶的风光。不过要是遇到雨天估计就不能坐了。,2019-10-0609:17,56,2,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                大大
                                ",50,西山。昆明的一个旅游爆地。上面风景特别好。可以看到整个昆明。下次过来昆明还去。,2019-10-0600:38,5,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                TOM大魔王
                                ",50,去之前攻略没有做足，到了昆明查询排行榜。这个是排名第一的就选择了它，交通足够方便，乘坐地铁就可以直达景区山脚下。然后走几步就是售票点直接购买套票，包含门票和所需的交通工具（电瓶车、交通车、索道）票就可以全部买好。在山上有古人的石刻和佛像，行人的栈道也全部是在悬崖峭壁上砸开。高处俯瞰滇池景色舒服，植被茂密空气清新。,2019-10-0520:23,13,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                哪里有压迫哪里就有反抗
                                ",40,爬爬山锻炼下身体的同时还可以看风景。,2019-10-0509:51,1,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                花以向晚
                                ",40,一言难尽。忘记在大众点评上买票了，到了景区的入口处才买的全票。问了工作人员，说宠物可以进景区，而且我们坐大巴上去的时候，司机也没有反对。结果坐大巴到了景区门口，宠物不让进。那就把门票，索道票，观光车票都退了。想着留着一张大巴票下山，结果是带着宠物验票员不让坐大巴，唉！把票都退完了，空跑一趟，一路看着风景走下山，权当我做了一回驴友。,2019-10-0422:44,47,1,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                张凝凉7
                                ",50,开车开到茶马花道那做大巴车上去的去的还算早缆车没咋排队缆车很是好玩也很长值票价了往龙门石窟那边走时路上有点儿惊险悬崖峭壁的小路步步瘆人龙珠那个门的风景很好滇池尽收眼底下山坐的电瓶车很是方便在大众点评上买的75元的通票包含缆车电瓶车和往返大巴值！,2019-10-0414:23,2,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                风中凌乱
                                ",40,第一次认真写点评！！！！第一次来昆明，据说西山风景好，一登龙门，身价百倍，觉得应该去看看！[交通]：地铁三号线直达西山脚，步行或乘坐大巴车上到半山腰售票处，进门坐索道或电瓶观光车或步行上山，再步行至各个龙门等景点，下山也有以上三种选择，回到了半山腰售票处，也有索道横跨滇池，如果刚好想去滇池，我觉得值得一坐！（我和小伙伴是从西山脚下步行上山，走了近两个小时！走了个古道，全程上坡梯子，生无可恋！不太建议步行上山，太费时间！太累！国庆节去的，人超多，坐索道几分钟，排队一个半小时！我觉得坐点评观光车会快很多！）假期人流量很大！在哪里人都多！排队坐车人多，坐索道人多，景区人也多，进龙门也很艰难，做好心理准备！[推荐理由]:登上去风景确实不错！俯瞰滇池，心旷神怡！[tips]：学生证门票有半价优惠的！记得带学生证！但交通没有优惠哦！价位：门票30，大巴车单程12.5，电瓶观光车单程10，上山索道单程25，下滇池索道单程40、双程70。山下吃的较为便宜一些，尽量在山下吃，山上东西🈶、、贵！okok！祝大家玩得愉快,2019-10-0408:23,37,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                山楂条清蒸雪碧
                                ",40,很不错的风景区，在昆明来讲已经算高的山了，空气很好植被覆盖率高，如果全程步行上山估计需要5/6个小时，建议大家可以坐大巴车到半山，然后索道上去别有一番景色，最出名就是西山的龙门了，平时去的话应该人不多，但是节假日就不好多了，路很窄一人通过，不过景色还是很好哦,2019-10-0408:16,6,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                点小评2701536764
                                ",10,垃圾，很垃圾，超级垃圾。建议不去,2019-10-0214:40,3,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                zhqbaby
                                ",40,今天是国庆第一天，所有景点都是人爆满的状态，上山缆车爆满，窄窄的龙门石窟走道更是人都差点没法通行，下山的景区电瓶车也爆满。所以西山风景虽好，但是在这种大节日里真的很难领略了。配图第一张是下午四点依旧爆满的上山缆车。,2019-10-0119:19,,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                Vinnie919
                                ",40,风景优美，大巴，索道，电瓶车安排紧凑，带孩子出游也可以玩的挺好,2019-10-0118:33,3,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                贪吃虎虎虎
                                ",50,打卡昆明西山风景名胜区可以地铁直达，然后购买索道，观光车，摆渡车，大门票组合在一起的套票，这样又节约时间又省力。还有免费的电子导游器，这样可以好好了解景点的故事。风景是非常漂亮的很值得一去。我最喜欢龙门景点。,2019-09-3023:55,1,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                茶色
                                ",50,这是到昆明旅行的第一站～西山旅游景区是朋友首推的～可以坐地铁到这附近，然后走路300多米到游客中心，我是直接打的过去的，在大众点评上买了套票～不过不建议买套票，因为套票是包含双程大巴车，电瓶车和上行索道～我的优化线路是去程大巴，上行索道，然后步行1公里回景区大门口，出大门口后，右手边就是索道可以直接去云南民族村～这样游玩省时间还可以全走到～西山上景色大好～可以全览整个滇池～寺庙多～爱好古迹的人可以来看一看～,2019-09-3021:19,6,3,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                小贝妮慧慧
                                ",40,过年家庭旅游报了一个私人定制团新年第一天八个人出发去旅游哈哈哈去看看大伯大伯母曾经生活过的地方对于他们这个有满满的回忆国定假期旅游景点人真的好多但是冬天到这种地方旅游真的很舒服空气也好不愧是四季如春的好地方风景也很美平时天天坐在办公室也不运动难得出来爬爬山还不错哈哈哈老年人好像有点爬不动,2019-09-3011:42,11,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                Mr.陶.
                                ",30,登上山顶会有意想不到的震撼。不满意的是景区指示不清，没标明还有南门可以上去，不愿意坐车坐索道的会多一个选择。,2019-09-2922:01,2,,下一页
昆明滇池国家级风景名胜区西山景区,https://www.dianping.com/shop/G4lfwM5TFAw9NBZt/review_all/p127,"
                                楼叔在线
                                ",50,不登一次西山，大概就算没来过昆明吧。当然很多游客都是游览车直接到龙门的，这种应该也不算爬过西山。毕竟一路拾阶而上，尽情地呼吸山林自然清新的空气，静静聆听虫鸣鸟啼，这种乐趣无法言表。如果挑非节假日前来，推荐走一下太华古道，整条路径可能都碰不到几位行路人，仿佛天地间唯有自我的存在，绝对的治愈。登到高处，隔着葱郁的树木远眺滇池，偶尔能听到山下普道上的登山者嬉戏聊天之喧腾，却又始终看不见人。这会是很有趣的体验。,2019-09-2903:07,7,,下一页
