content,fenci
在贵州大学上了4年学，贵州由于地形和天气天气的问题，物资匮乏，因此当地人都是以勤俭节约为美德的，而且视频中开玩笑让老板白送，老板是真的会送你。,贵州大学 贵州 地形 天气 天气 物资 当地人 美德 视频 老板 白送 老板
来贵州一定要吃路边的小火锅店，按人数计费，蔬菜都是免费不限量不用客气，现在真的很怀念那边的美食,贵州 火锅店 人数 计费 蔬菜 限量 客气 美食
给大伙避一避坑，千万不要去那种装修很奢侈的地方吃饭，味道不咋地还死贵，多走走转一下小巷子物美价廉，最重要的是正宗，好吃的不得了,大伙 地方 味道 小巷子 正宗
山东人表示上次去贵州见到的是第三天的太阳,山东人 贵州 太阳
看完了，感触挺深的。以前关注太是因为打击鬼称，整顿市场风气。今天这个视频，太随手做了一些微不足道而又难能可贵的事，比如多花一些钱买下嬢嬢的菜，去给独居老人送礼物。人性的美好，在于善良。而把善良从自己身边传播出去，用善良温润别人的内心，这是大功德。人为善，福虽未至，祸已远离；人为恶，祸虽未至，福已远离。,市场 风气 视频 老人 人性 温润 内心 功德 人为 人为
我贵大毕业的，那里的路边饭店老板都超好，便宜又好吃，北方人刚到那边看到火锅好多素菜免费的时候，只有震惊,毕业 饭店 老板 火锅 素菜
醉美多彩贵州是真的醉基本每个地方的人喝酒都很厉害，顺便给大家科普一下贵州都有哪些名酒呢——茅台、习酒、国台、珍酒、董酒、金沙酒、赖茅、贵州醇、安酒、窑酒……,贵州 地方 贵州 名酒 茅台 习酒 国台 珍酒 董酒 金沙 赖茅 贵州 窑酒
贵州不容易啊，财政问题比我们还严重，希望这波能带动当地经济起飞吧（顺便啥时候帮帮云南昆明,贵州 财政 经济 云南昆明
贵州真能喝不是小年轻，是上了年纪的苗族妇女上次看着她们一首歌下来就2大碗48度米酒,贵州 苗族 妇女 米酒
我看到了津威，哈哈，这个酸奶还就贵州有卖就贵州人从小喝，但又不是贵州生产的，好奇怪,了津威 酸奶 贵州 贵州 贵州
贵州太棒了我们前几天刚从重庆-乐山-贵阳玩回来，在贵阳疯狂吃吃吃，酸汤鱼就吃了2顿，让我一个完全不吃淡水鱼的人也停不下筷子，水果是真便宜除了蜂糖李20块一斤，但是新鲜好吃，买也值得），我们在贵阳街头看到有人卖蓝莓，撑了一袋子15块钱，一斤吃到爽烙锅也好好吃羊肉粉好好吃，我词穷了,贵州 太棒了 重庆 乐山 贵阳 贵阳 淡水鱼 筷子 水果 蜂糖 新鲜 贵阳 蓝莓 袋子 块钱 烙锅 羊肉
第二天我们租了个车跑去千户苗寨，租个车2天才200多（想当年我们在大理租车一天就300），虽然网上都说很商业，但是去了还是被震撼到（其实是有原住民的），但是苗寨里吃饭很贵建议外面吃过再进去,苗寨 天才 大理 租车 商业 原住民 寨里 建议
总之，贵州会是我想再去一次的地方,贵州 地方
为什么牛瘪火锅这么臭,火锅
养殖场里面的牛会在饲料中加入大量的粗蛋白，被胃肠内细菌分解不完全产生大量臭味物质(吲哚、粪臭素 、硫化氢等),养殖场 牛会 饲料 蛋白 胃肠 细菌 臭味 物质 吲哚 粪臭素 硫化氢
而正宗牛瘪火锅用的都是吃青草的牛(青草中蛋白质含量很少)，一般不会这么臭。,正宗 火锅 青草 青草 蛋白质 含量
都是自家酿的酒，没有度数的,度数
贵州山花奶也很好喝,贵州 山花
美女太多了嗯,美女
牛瘪太香了嗯没吃过，真假啊,真假
贵州的风景是真好，哪怕在城市里转一圈都能看到山，而且贵州的少数民族是正儿八经的过日子，民族团结做的很好，压根没听说过有啥民族矛盾，大家都是一家人。不过也很羡慕平原地区，前几天去扬州太美了，绿化真多，江南水乡名不虚传，就是看不到山让我一个贵阳人有点没安全感,贵州 风景 城市 贵州 少数民族 正儿八经 过日子 民族团结 压根 一家人 平原 地区 扬州 绿化 江南水乡 贵阳人 安全感
从淄博到榕江，是时候重新定义一下消费和快乐了,淄博 榕江 定义
好家伙，朋友们，可以开发点新的旅游点了。第一站，山东淄博。第二站，贵州村超,朋友 旅游点 山东 淄博 贵州
感谢大佬，谢谢你们，我们这里的农业真的满难的。要不就是干旱死，要不就是水多了淹死。种在自己家后面的白菜，一个不注意就没了。有人恨我们，种烟买酒，都是毒，我们也很难过，但，真的没有别的能救我们了。好看的地方云南其实更好，好吃的地方四川便宜有名，湖南更有特色。我们这里，谁来了都会感慨一句，不愧是贵州，太特么贵了。但我们这些工具人也不明白，为啥物价那么贵,大佬 谢谢你们 农业 白菜 种烟 地方 云南 地方 四川 湖南 特色 贵州 工具 明白 物价
在贵州读了四年大学的人表示，贵州真的泰酷辣,贵州 大学 贵州
看哭了 喵的我在贵州这么多年第一次觉得生活的地方这么好,贵州 地方
民风淳朴，有空想去看看,民风 空想
作为一个贵州人，负责任告诉大家，玩一定要自己玩，吃一定要去小店吃，买一定要理性买，坑人的也有，请各位愿意来我们贵州的大家理性思维。不管是哪里，淳朴的人永远都是真诚待人，商人永远都是为了利益（来到贵州哪家店破破烂烂，招牌都看不清了那种就是老店了，几十年竞争淘汰和选择留下来的，肯定好吃，我在毕节这边有好几家就是店比我年纪还大，那真的是靠味道和诚信得人心）,贵州 小店 理性 坑人 贵州 理性 思维 永远都是 商人 永远都是 利益 贵州 老店 毕节 味道 诚信
作为一个在外地读大学的贵州人，看到自己家乡收获了这么多的好评，真的很开心，但视频里面确实太美好了，贵州还是有很多坑人的地方和东西，就是不知道太能不能找到这些店家了，另外贵州的东西真的好吃，我和我朋友们在外面都吃不惯，不好吃，还是家乡的味道好吃，强烈建议大家去吃，夏天去不热，我和朋友已经计划好回去要好好的吃一遍贵州的饭菜了（贵州的饭菜没有让人特别惊艳的味道，很淳朴，但是吃了一段时间后就感觉离不开它了，特别是折耳根蘸水）。,外地 大学 贵州 家乡 视频 贵州 坑人 地方 东西 太能 店家 贵州 东西 朋友 家乡 味道 朋友 计划 贵州 饭菜 贵州 饭菜 味道 感觉 耳根
讲良心话，第一次去中国瘪王吃的时候，我点的4斤，当地合作老板说多了，两个人两斤够了，我说不够吧，结果两斤我没吃完，想着在成都5斤都不够,中国 老板 成都
美女太多了》给个定位，我想尝尝牛瘪，美女坐那桌,美女 定位 美女
斗牛一般是7月23日州庆的时候  还有芦笙节的时候  也欢迎来州府凯里  我给你们带路,斗牛 日州庆 芦笙 州府
有没有想让太来次南昌的给他一点小小的“天下英雄城，文明南昌人”的震撼,南昌 天下英雄 文明 南昌人
云贵川不相信酒醉,云贵川
为了尝一下这个美食，特地约上三个小伙伴从广西南宁开车过去吃,美食 特地 小伙伴 广西南宁
牛肉牛杂煮不老配的青菜是白萝卜的叶子（巨苦）没敢喝汤，但是牛肉入口微苦后回甘，开车一天的疲惫感都消除了。出不了辣的要叫老板少放辣，反正我是辣颠了,牛肉 青菜 白萝卜 叶子 牛肉 入口 老板
每当这个时候，有一个城市就要扣大分，猜猜是哪个城市呢。 （友情提示，看我就知道哪个城市扣大分了）,城市 城市 友情 城市
难怪，我一个贵阳的朋友老是想让我去贵阳喝他的自酿米酒。,贵阳 朋友 贵阳 米酒
还是要适量饮酒，别对身体造成什么损伤,饮酒 身体
就跟着你混了，走各个城市，我的未来旅游风向标,城市 风向标
欢迎大家来贵州玩，贵州其实没有什么绝对的景区景点，因为贵州的路上一直都很美，最近换手机了所以只有县里拍的有些照片，但是天空真的蓝的很清澈,贵州 贵州 景区 景点 贵州 手机 县里 照片 天空
欢迎大家来到我的家乡来玩～虽然我不会喝酒,家乡
真的会被民风淳朴的地区吸引作为人不是很喜欢热闹，但完全拒绝不了热情的地方看到奶奶那句你们过路来看我一眼真的被触动到了，也希望贵州好好发展，能留住家乡的孩子们，少一点独居老人,民风 地区 热情 地方 奶奶 过路 贵州 家乡 孩子 老人
只去过一次贵阳，吃了一次酸汤鱼，就一个蔬菜免费加，真的秒杀成都,贵阳 蔬菜 秒杀 成都
真的希望国内能有更多的淄博烧烤和贵州村超出现,淄博 贵州
事实证明，配得上仙剑的风景并不会像那群小人说的穷山恶水出刁民,仙剑 风景 小人 刁民
带货见识多了，带城市还是头一次见,城市
我感觉贵州缺斤少两很少，但不是没有，我遵义这边某县城，菜市场里的水产鬼称挺多的，感觉是黔东南这边没有啥鬼称。羡慕黔东南的朋友,感觉 贵州 县城 菜市场 水产 感觉 黔东南 黔东南 朋友
我们这个社会现在太需要像淄博，贵州村超这样的城市和风土人情了，这才是真正的文化自信，道路自信啊,社会 淄博 贵州 城市 文化 道路
有没有具体的地址。这也太有感觉了。以后有机会得去逛一逛。,地址 感觉 机会
看哭了，父母在贵州做生意，从小在贵州长大，后来回老家了才感觉到风土人情可以差这么远，我真的好喜欢贵州的山水，贵州人的朴素热情，可惜这辈子只能留在湖南了,父母 贵州 贵州 长大 回老家 感觉 贵州 山水 贵州 朴素 热情 湖南
不敢去，看了那种欢乐的盛会，再回深圳上班，心理落差太大了接受不了。去贵阳凯里吃吃就好了。,盛会 深圳 心理 贵阳
说实话，以现在的知名度，如果要继续搞公正客观的验称必须带口罩、墨镜或着安排其他人员出面，否则人家认出你是谁后验称的参考意义不大了。,知名度 公正 客观 口罩 墨镜 人员 出面 意义
不骗人，贵州晴天真的超美，雨天稍逊但各有各的美，以下图片全是在遵义一个小山村拍的。,骗人 贵州 晴天 图片 小山村
哇，贵州，想去的地方之一，一是因为是深深的家，二是在河北要热炸了,贵州 地方 河北
欢迎来到贵州啊贵州的酸汤也很棒啊也可以去古镇镇远看美景,贵州 贵州 古镇 美景
讲述苗族配仙剑你是懂童年的……,苗族 仙剑
成都出来挨打,成都
政通人和，真好啊,政通人和
看来贵州也要火了，毕竟1万亿不好还,贵州
开始转型了吗,转型
贵州的美食，美景很多，特别是小吃摊都超级好吃，如果吃不了折耳根记得叫孃孃不要加折耳根，酸汤鱼，酸汤牛肉，羊肉粉，牛肉粉，狼牙土豆，洋芋粑粑，蛋包洋芋，烤洋芋，在贵州有一百种吃洋芋的方法。蕨粑，地摊火锅，豆米火锅，酸汤火锅，虾酸牛肉，贵州辣子鸡，辣椒粉，酸汤粉，烙锅，糟辣椒炒饭，糟辣鱼，还有很多很多美食，说不完根本说不完，贵州的美食绝对是被低估的存在欢迎来到贵州这里美景也很多，各种瀑布，山川河流，还有少数民族风情不过注意不要被坑哦，比如西江千户苗寨，本地人都坑，建议选择小众一点的苗寨侗寨，还有出了火车站会有一孃孃拉客，这种不要信，还有随便到当地人家里做客都会被热情招待，因为来者都是客,贵州 美食 美景 耳根 耳根 牛肉 羊肉 牛肉 狼牙 土豆 洋芋 蛋包 洋芋 洋芋 贵州 洋芋 方法 蕨粑 地摊 火锅 豆米 火锅 火锅 虾酸 牛肉 贵州 辣子鸡 辣椒粉 烙锅 辣椒 美食 贵州 美食 贵州 美景 瀑布 山川 河流 少数民族 风情 西江 苗寨 本地人 建议 侗寨 火车站 拉客 当地人 做客 热情 来者
那我就不得不给大家伙推荐下我们贵州铜仁德江县7月23号的水龙节了那天全城的人都上街玩水泼水，近百条水龙灯在街上游行，氛围好得一批，欢迎大家来玩,大家伙 贵州 铜仁 德江县 水龙 全城 上街 玩水 泼水 龙灯 氛围
放个视频大家感受一下,视频
贵州这个县城真热闹，上百万的消防车，开来跟大家一起玩泼水节 贵州这个县城真热闹，上百万的消防车，开来跟大家一起玩泼水节,贵州 县城 消防车 贵州 县城 消防车
哈哈，慢慢整理一些真的值得去玩儿的地方，准备假期一次性玩儿个够，而不是打个卡吃个饭,整理 玩儿 地方 玩儿
随着这些年的快速发展，在获得物质提升的同时，也丢掉了很多东西，到贵州和淄博一样，去那里的游客向往的都是一种真诚的氛围，其实，每一个人即是游客，又同时是这种氛围的创造者和维护者,物质 东西 贵州 淄博 游客 氛围 游客 氛围 创造者 维护者
打破了我对贵州的刻板印象，人文淳朴,贵州 刻板 印象 人文
准备去贵州旅游的朋友能替我吃糯米饭豆腐圆子豆腐果豆腐丝儿凉拌折耳根丝娃娃豆花面牛肉粉羊肉粉安顺裹卷炸洋芋洋芋粑洋芋饼还有地摊火锅吗。我想家了。糯米饭能给我空运一斤来吗去贵州可以不去哪里玩，吃的一定要吃爽啊,贵州 朋友 糯米饭 豆腐 圆子 豆腐 豆腐 丝儿 耳根 娃娃 豆花 牛肉 羊肉 安顺 洋芋 洋芋 洋芋 地摊 火锅 糯米饭 空运 贵州
欢迎来到我的家乡,家乡
江苏省（看前）：这种好客现象真的有吗     江苏省（看后）：,江苏省 好客 现象 江苏省
好家伙，在贵州不得天天酒驾,贵州
酒精过敏的人是不是不适合去这些地方，感觉会被认为很不礼貌,酒精 过敏 地方 感觉 礼貌
我说怎么最近回榕江的票这么少本来打算周末回老家剑河县的，一看榕江高铁站的票没多少了,榕江 回老家 剑河县 榕江 高铁
有幸春天去过贵州玩，可惜很多景点互相离得有点远，但是真的到处是风景,贵州 景点 风景
贵州呆了4天，真的喝了4天。报团去的，高山流水别人喝一口，我直接喝了两壶，全团人给我鼓掌，看我喝酒。,贵州 报团 高山流水 两壶 全团
城市人表示很羡慕这种地方的民风和环境啊,城市 地方 民风 环境
牛瘪火锅到底啥子味道,火锅 味道
贵州除了山太多了以外吃的真的很便宜，但是其他的物价不便宜,贵州 山太 物价
贵州?,贵州
不建议现在去，不建议现在去，因为离山东太远了，我去不了,建议 建议 山东
海南：有种来我这试试，看我不坑死你,海南
看着贵州上大分是真的为家乡骄傲,贵州 家乡
等到每缕微风都带着醉意,微风
我在贵州等你,贵州
农村生活没想象中那么好，也没网络中说的那么差，第一次在网络挨骂就是因为说农村生活越来越好,农村 想象 网络 网络 农村
下个月中回贵州，榕江下个月一整个月的酒店全部都预定完了，小红书上找了个到村超步行三分钟的民宿，本来以为住宿供不应求，那么好位置的民宿肯定会喊价很贵，结果干干净净的两室一厅两百块钱一天，真的震惊了，我的家乡人民怎么那么棒,贵州 榕江 酒店 小红 步行 民宿 住宿 民宿 喊价 两室 家乡
谢谢看视频之后我感觉最近遇到了感觉过不去的瓶颈好像有了必须过去的硬性要求让我感觉我的流水线改造计划只会更加坚定，我不想再看到老奶奶再说孩子出门打工，我姥姥姥爷是土地革命的受益者我爸爸妈妈是改革开放的受益者我现在是党的孙子是农民的儿子，农民经过奋斗有了一点点资本但我绝不做资本家再有机会我都不做，就算我只能让十几个人可以不在背井离乡都是值得只要我可以成功就一定会有人效仿，一生二，二生三，三生万物。就可以解决很多留守儿童留守老人的问题，辈子都不想让小孩再像我小时那样,谢谢 视频 感觉 感觉 瓶颈 硬性 感觉 流水线 计划 老奶奶 孩子 姥姥 姥爷 土地革命 受益者 爸爸妈妈 改革开放 受益者 孙子 农民 儿子 农民 资本 资本家 机会 效仿 万物 儿童 老人 辈子 小孩 小时
贵州黔东南的人，目前在贵阳定居。只能说榕江不地道啊，发达了就忘记黎从榕铁三角了，不带兄弟们起飞啊,贵州 黔东南 贵阳 榕江 地道 黎从榕 铁三角 兄弟
开个玩笑，虽然不是榕江的但是看到榕江这么受欢迎还是挺开心的。黎从榕铁三角没少在旅游方面下功夫，但一直都反响平平，就没有形成现在村超这样现象级的传播热度。我觉得这次能火和淄博有很多相似之处，有几个方面：,榕江 榕江 黎从榕 铁三角 下功夫 现象 热度 能火 淄博
一是，宣传内容能被大多数人所理解。在村超火爆之前，当地大多数是宣传少数民族文化，这确实是全国独一份。但实话说我一个本地人都听不懂，外地人想要引起共鸣真的很难。足球不一样，且不说群众基础广不广，即便不懂规则，就只要知道进球就完事了。淄博也是一样，烧烤好吃就完事了，这是大家都能理解的东西。相反，少数民族文化多少有语言障碍，因为侗族，苗族语言完全是另外一个语言体系和普通话完全不相关，所以理解起来有困难。,内容 少数民族 文化 全国 本地人 外地人 足球 群众 基础 规则 进球 淄博 东西 少数民族 文化 语言障碍 侗族 苗族 语言 语言 体系 普通话 困难
二是，真诚。榕江和淄博一样，主打就是一个真诚。两者在火了以后酒店，吃饭什么的都没有涨价。人到地方以后，再结合当地的文化招待外地朋友，这宣传效果就好了很多。淄博没去过，但看网友去体验感都很好。榕江去了，前段时间恰巧带外地朋友去了榕江。因为朋友是外地的，我跟他交流说的是普通话，没有说方言。结果我也被当成了外地人，我就将错就错，一直说普通话。看看到底体验如何。结果是体验感拉满，停车工作人员会优先安排车位，去看球当地人宁愿自己站着也要给我们让位置，因为我们是客人。我不禁被这个真诚打动，真的很好。,榕江 淄博 主打 酒店 涨价 地方 文化 外地 朋友 效果 淄博 网友 体验 榕江 前段时间 外地 朋友 榕江 朋友 外地 交流 普通话 方言 外地人 普通话 体验 体验 工作人员 车位 当地人 客人
总之，欢迎大家来玩，不要害怕自己是外地人就会被坑，我自己实测没有被坑。大家来了只会受到热情的接待，当然喝不了酒的那就另说,外地人 热情
再怎么是当地风俗也不该劝酒，拜托别宣传喝酒了。,风俗
前年山东老家亲哥的发小在一场酒局后走在大马路上倒地去世了。事实是有的人不能喝酒，是真的不能喝，不要劝酒!,山东 老家 亲哥 酒局 大马路 倒地 事实
我家可以住两三个人，没地方住的可以私信我，我安排你们， 不用钱，放心,地方 私信
贵州黔东南那边时候喝酒凶，换我们铜仁就基本汉化的多了，我是土家族,贵州 黔东南 铜仁 汉化 土家族
贵州村超氛围真的很好，关键他还不要钱啊啊啊还可以免费吃到很多很多美食，还有烟花盛宴，山水间的风景映入眼帘，民族风味浓厚，凉爽的气候～欢迎大家都来玩呀（除了贵阳物价贵，其他的都很很很便宜,贵州 氛围 关键 啊啊啊 美食 烟花 盛宴 山水 风景 民族 风味 气候 贵阳 物价
小趴菜就不建议凑热闹了，安安静静的吃牛瘪火锅,建议 火锅
运动玩的就是一个氛围，挺好的，一直说体育精神就是如此，而不是所谓职业赛,氛围 体育精神 职业赛
转型为贵州区主,转型 贵州 区主
县规划图，各位能找到村超不,规划图
真的是什么火，蹭什么，背后视频策划的痕迹太重了，有点失真,视频 策划 痕迹 太重
虽然我是一个在江苏的贵州遵义人，但是贵州赶紧给我上分呀,江苏 贵州 贵州
作为山东来的贵州女婿 我表示  贵州我真的是太爱了,山东 贵州 女婿 贵州
欢迎大伙来贵州榕江玩 我可以提供旅游攻略啥的,大伙 贵州 榕江
其实贵州人都有好多都没见过牛瘪火锅,贵州 火锅
欢迎来贵州,贵州
本人土生土长贵州人  苗族侗族欢迎大家来贵州做客,土生土长 贵州 苗族 侗族 贵州 做客
去了一次，不适合我这种喜欢安静加不喝酒的人。。不过风景不错,安静 风景
没以前的节目有意思,节目
确实被诏安了,诏安
村超这波，实属可以,实属
真的变味了,变味
此生不悔入华夏，然后弹幕飘来一句下半年放假就去，理想和现实,华夏 弹幕 理想 现实
太，你知道看你视频我有多想回家吗我在外读了三年硕士，毕业后到了华东，已经在外好多年了，想家里的吃的，想家里的山水，也想家里那些质朴善良的人们，但我现在暂时还得在外工作，回不去,视频 回家 硕士 毕业 华东 山水 质朴
支持 淄博 榕江 真正的華夏禮儀之邦 ，保護好 禁止拒絕資本家侵蝕,淄博 榕江 夏禮儀
去中国瘪王那一定要说微辣啊，今天刚去吃，老板没问我也没说，以为是大众口味结果上来辣死了，后劲大，我们五个人三斤没吃完，浪费了起码一斤，太可惜了。,中国 老板 大众 口味 后劲 浪费 起码
澄清一下，我们贵州是这样的,贵州
我也想我奶奶了，可惜奶奶不在了,奶奶 奶奶
地无三尺平，天无三寸晴，人无三文银,三文
中间有一段仙剑奇侠传四的音乐，突然的就哭了,仙剑 奇侠传 音乐
只有我把标题看成了“来贵州帮我超超”吗,标题 贵州
赵俺了，唉,赵俺
醉美多彩贵州不是白叫的,贵州
视频这么好 居然没几个人投币,视频 投币
一个城市能拥有自己的球队，是多么幸福多么令人羡慕的事情。,城市 球队 事情
看起来挺不错啊，民风淳朴，风景像仙境一样,民风 风景 仙境
以一己之力带动文旅,文旅
隆江猪脚饭（不是）,江猪 脚饭
居然跑来榕江了，就在隔壁，可惜我不能出去的说）,榕江
很多人说有点像客家话，其实在苗语当中有一些词语能与客家话相通，很神奇对不对,客家话 苗语 词语 客家话
作为一个贵州苗族人，太视频里面发现了很多我之前没有发现的家乡的“美”，过去数年在贵州生活一直没有感受到家乡的美景和风情。,贵州 苗族 视频 家乡 贵州 家乡 美景 风情
在背井离乡后才发现，城市的生活真的很嘈杂，朋友，如果你也厌倦了城市的生活，去贵州逛一逛看一看吧。,城市 朋友 城市 贵州
感谢太可以来宣传贵州，贵州其实风景很好，最近几年也发展起来，气候也比较事宜休假，虽然我是一个喝不来酒的贵州人另外说一句，回梦游仙真的很戳人泪点，外加看到的是是我们贵州的样子，你让我怎么省下这个三连，这个币和赞你一定要收下,贵州 贵州 风景 气候 事宜 贵州 梦游 泪点 贵州 样子
才去了回来，下了高铁站就领了免费的矿泉水，因为有小朋友还坐了免费的车直接去村超现场，看了很美的烟花，去了清澈见底的小丹江，真的是不虚此行，准备二刷，榕江值得,高铁 矿泉水 小朋友 现场 美的 烟花 丹江 榕江
看见大家来贵州玩真的好开心，疫情之后生意越来越不好做，爸妈的粉店赚钱没有以前的一半了，真希望这次可以多多带动周边经济吧，让大家能够重新富足起来,贵州 疫情 爸妈 粉店 经济
可以到茅台喝酒去,茅台
我都不敢吃牛瘪火锅，太强了，但是我们这边的火锅蔬菜和米饭确实免费续，导致我去外省读大学的发现米饭和蔬菜甚至纸巾单独收费真的震撼了很久,火锅 火锅 蔬菜 米饭 外省 大学 米饭 蔬菜 纸巾 收费
你没体验过拦门酒，已经算好了，去兴义那边，你说不定没见到上菜,体验 门酒 兴义 上菜
这种说是没有度数的米酒，在我们这儿叫做“ ”酒，因为在屋里喝的时候感觉不出什么，但是只要出门一吹风马上就“ ”一声醉倒在地上了,度数 米酒 感觉
看到家乡火起来真的很感动，全中国倒数几个贫困的地方，黔东南更是占了贫困中的贫困，这里的人真的很淳朴和热情。疫情解封后年轻人为了生计都外出打工，家里只留下老人和小孩，这一次也真正让远处在外的游子们看到了家乡生活慢慢好起来的样子，真的真的很感动。,家乡 中国 倒数 地方 黔东南 热情 疫情 年轻人 老人 小孩 游子 家乡 样子
中国这么多城市，终于看到一些真正认认真真挖掘自己城市的特色并做到创新的了，看到淄博、贵州这些地方发展得这样好，热热闹闹的，真的好想自己的城市也学着搞出自己的特色和创新发展道路来。,中国 城市 城市 特色 淄博 贵州 地方 城市 特色 道路
其实也不光是榕江，贵州大多数县城鬼秤现象都比较少，因为流动人口少，你今天昧良心，传开了你就很容易没生意。当然发达区县除外,榕江 贵州 县城 现象 流动人口 区县
老板会跟你说几个人吃多少就够了，因为我去贵州好几次我点多了，老板都跟我说少点一点……,老板 贵州 老板
啊，我刚刚从贵州回来,贵州
看了村超和淄博就知道真诚永远是最大的必杀技,淄博 必杀技
仙剑:我回家啦,仙剑 回家
用仙剑用心了,仙剑 用心
我去过一次贵州，真的热情,贵州 热情
看大鼓楼,鼓楼
贵州没有非常特殊的美景，但贵州每一处都是美景,贵州 美景 贵州 美景
很开心看到有这么多人喜欢贵州,贵州
这个国家最伟大的是人民,国家
小心资本入侵，西双版纳现在全是外地人经营了，人多的时候凳子都要钱,小心 资本 西双版纳 外地人 凳子
啊景区就这么敞开看的吗，哎呀，糊涂啊，这不亏死了，每年得损失多少啊,景区 损失
云南也有牛瘪的菜，西猛佤族自治县。,云南 西猛 佤族 自治县
贵州人很骄傲!欢迎大家来贵州玩,贵州 贵州
牛瘪火锅让我想起了桂北地区的羊瘪火锅,火锅 桂北 地区 火锅
具体位置在哪里，就榕江市吗三天后放一月假啊,具体位置 榕江
淄博热度过了 该去贵州了,淄博 贵州
我大贵州人民热情好客，,贵州
山美水美,山美水
我是凯里的，看到这些感觉很想回家,感觉 回家
云贵川不相信喝醉，之前和朋友吃饭问我能喝酒不，,云贵川 朋友
作为贵州黔东南州人那家牛火锅店每年都会去光顾因为很出名他家一天要卖一头半的牛,贵州 黔东南州 火锅店
酒太香了，美女太多了我认可，但是牛瘪太香了我不敢苟同,美女
我的建议是来长沙,建议 长沙
给力，直接投币,投币
欢迎来玩啊，个人不建议去那些新建的古镇，本地人生活吃饭的小街小巷才最值得去消费,建议 新建 古镇 本地人 小街 小巷
快来六盘水，短斤两的事十年前听说过，现在不知道还有没有，欢迎来抽查,六盘水 斤两
看到家乡火气来还蛮高兴，欢迎来贵州玩,家乡 火气 贵州
贵州人表示，从来就不相信喝醉，只有倒不倒，没倒就是没醉,贵州
云南人路过告诉你，云南吃的还是有点东西的,云南 云南 东西
贵州的美食我一个本地人都还没吃完,贵州 美食 本地人 都还没
榕江本地人狂喜我老家火了有一种开心又说不出来的感觉,榕江 本地人 老家 感觉
淄博打开了先河，贵州紧跟，希望中国越来越好，中华民族越来越昌盛。,淄博 先河 贵州 中国 中华民族 昌盛
给贵州朋友打,贵州 朋友
