content,fenci
随着这些年的快速发展，在获得物质提升的同时，也丢掉了很多东西，到贵州和淄博一样，去那里的游客向往的都是一种真诚的氛围，其实，每一个人即是游客，又同时是这种氛围的创造者和维护者,真诚
打破了我对贵州的刻板印象，人文淳朴,淳朴
准备去贵州旅游的朋友能替我吃糯米饭豆腐圆子豆腐果豆腐丝儿凉拌折耳根丝娃娃豆花面牛肉粉羊肉粉安顺裹卷炸洋芋洋芋粑洋芋饼还有地摊火锅吗。我想家了。糯米饭能给我空运一斤来吗去贵州可以不去哪里玩，吃的一定要吃爽啊,吃爽
有幸春天去过贵州玩，可惜很多景点互相离得有点远，但是真的到处是风景,有幸
这种淳朴让人热泪盈眶，感动由心而发。,淳朴
贵州除了山太多了以外吃的真的很便宜，但是其他的物价不便宜,便宜 便宜
看着贵州上大分是真的为家乡骄傲,骄傲
谢谢看视频之后我感觉最近遇到了感觉过不去的瓶颈好像有了必须过去的硬性要求让我感觉我的流水线改造计划只会更加坚定，我不想再看到老奶奶再说孩子出门打工，我姥姥姥爷是土地革命的受益者我爸爸妈妈是改革开放的受益者我现在是党的孙子是农民的儿子，农民经过奋斗有了一点点资本但我绝不做资本家再有机会我都不做，就算我只能让十几个人可以不在背井离乡都是值得只要我可以成功就一定会有人效仿，一生二，二生三，三生万物。就可以解决很多留守儿童留守老人的问题，辈子都不想让小孩再像我小时那样,坚定 成功
开个玩笑，虽然不是榕江的但是看到榕江这么受欢迎还是挺开心的。黎从榕铁三角没少在旅游方面下功夫，但一直都反响平平，就没有形成现在村超这样现象级的传播热度。我觉得这次能火和淄博有很多相似之处，有几个方面：,平平
一是，宣传内容能被大多数人所理解。在村超火爆之前，当地大多数是宣传少数民族文化，这确实是全国独一份。但实话说我一个本地人都听不懂，外地人想要引起共鸣真的很难。足球不一样，且不说群众基础广不广，即便不懂规则，就只要知道进球就完事了。淄博也是一样，烧烤好吃就完事了，这是大家都能理解的东西。相反，少数民族文化多少有语言障碍，因为侗族，苗族语言完全是另外一个语言体系和普通话完全不相关，所以理解起来有困难。,火爆 确实 困难
二是，真诚。榕江和淄博一样，主打就是一个真诚。两者在火了以后酒店，吃饭什么的都没有涨价。人到地方以后，再结合当地的文化招待外地朋友，这宣传效果就好了很多。淄博没去过，但看网友去体验感都很好。榕江去了，前段时间恰巧带外地朋友去了榕江。因为朋友是外地的，我跟他交流说的是普通话，没有说方言。结果我也被当成了外地人，我就将错就错，一直说普通话。看看到底体验如何。结果是体验感拉满，停车工作人员会优先安排车位，去看球当地人宁愿自己站着也要给我们让位置，因为我们是客人。我不禁被这个真诚打动，真的很好。,真诚 真诚 真诚
贵州村超氛围真的很好，关键他还不要钱啊啊啊还可以免费吃到很多很多美食，还有烟花盛宴，山水间的风景映入眼帘，民族风味浓厚，凉爽的气候～欢迎大家都来玩呀（除了贵阳物价贵，其他的都很很很便宜,浓厚 凉爽 便宜
去了一次，不适合我这种喜欢安静加不喝酒的人。。不过风景不错,不错
确实被诏安了,确实
好热闹啊,热闹
太，你知道看你视频我有多想回家吗我在外读了三年硕士，毕业后到了华东，已经在外好多年了，想家里的吃的，想家里的山水，也想家里那些质朴善良的人们，但我现在暂时还得在外工作，回不去,善良
去中国瘪王那一定要说微辣啊，今天刚去吃，老板没问我也没说，以为是大众口味结果上来辣死了，后劲大，我们五个人三斤没吃完，浪费了起码一斤，太可惜了。,微辣
一个城市能拥有自己的球队，是多么幸福多么令人羡慕的事情。,幸福
看起来挺不错啊，民风淳朴，风景像仙境一样,淳朴
很多人说有点像客家话，其实在苗语当中有一些词语能与客家话相通，很神奇对不对,神奇
在背井离乡后才发现，城市的生活真的很嘈杂，朋友，如果你也厌倦了城市的生活，去贵州逛一逛看一看吧。,嘈杂
看见大家来贵州玩真的好开心，疫情之后生意越来越不好做，爸妈的粉店赚钱没有以前的一半了，真希望这次可以多多带动周边经济吧，让大家能够重新富足起来,富足
我都不敢吃牛瘪火锅，太强了，但是我们这边的火锅蔬菜和米饭确实免费续，导致我去外省读大学的发现米饭和蔬菜甚至纸巾单独收费真的震撼了很久,确实
看到家乡火起来真的很感动，全中国倒数几个贫困的地方，黔东南更是占了贫困中的贫困，这里的人真的很淳朴和热情。疫情解封后年轻人为了生计都外出打工，家里只留下老人和小孩，这一次也真正让远处在外的游子们看到了家乡生活慢慢好起来的样子，真的真的很感动。,贫困 贫困 贫困 淳朴
看了村超和淄博就知道真诚永远是最大的必杀技,真诚
啊景区就这么敞开看的吗，哎呀，糊涂啊，这不亏死了，每年得损失多少啊,糊涂
贵州人很骄傲!欢迎大家来贵州玩,骄傲
榕江本地人狂喜我老家火了有一种开心又说不出来的感觉,狂喜
焚香迎客送平安，老人家是真的有心了。,平安 有心
顺便说一下，贵州那边的彩礼很便宜，3万到8万还是家里有弟弟的那种,顺便 便宜
经历了太多资本的逐利，当你被压榨到难受的时候，这种返璞归真，人与人之间的真情流露，就成为了我们向往的美好，也许你说贵州偏远，那么你想想山东淄博，人们追求的，难道就是烧烤吗,美好
就说有点眼熟,眼熟
土酒杂质太多，喝完很难醒,难醒
我以前每年都带小朋友去贵州避暑顺便到处逛逛，这两年实在是喝不动了，有点怕,顺便
正是因为有这么淳朴的人们，才能萌生出如此纯粹的村超,淳朴
看着真的漂亮，暑假去玩玩,漂亮
建议去杀一下市里面，物价真的巨高,巨高
莫失莫忘无论何时何地，一听到瞬间那种记忆深处的迸发的感动就油然而出，沉思许久。,沉思
為貴州人民熱情與風景打動.也被的善良打動了,善良
真的蛮伟大的，在这个充满戾气的时代让我们感受我们国家各种各样的美好,充满 美好
实话说，贵州工价很低的，另外物价也比较高,很低
我说我在贵州怎么感觉基本看不到得到鬼秤呢，原来是贵州人民太纯朴了，同时我也感概明明明码足秤是最基本的商家准则，结果现在全国没有几个地方做得到,纯朴
贵州人给外地的一点建议，去吃贵州本地美食千万别去装修非常好的点里去吃，宰客的很多，味道也一般，贵州的王道美食都是小店，看起来很普通的小门面和小巷子里，比如豆米火锅，大一点的店里一般都是25一个人锅底的肉贼少，有些蔬菜免费但是种类很少，但你去普通一点的店，基本都是16一个人然蔬菜种类贼多，甚至有的连火锅菜都免费，味道非常不错，就是夏天去小的店人很多很热很闷，但味道绝对不欺骗你，以上建议适用于豆米火锅，地摊火锅，鱼火锅,不错 很热 很闷
希望咱们国家的足球竞技环境越来越好，而不是提起国足就是“海参”“假球”，看着村超我体会到了一种最初看足球赛的快乐：没有支持的队伍，踢得精彩我就看的很开心,快乐
一定要去一趟赶集好多好吃的又便宜,便宜
没加任何滤镜特效哦,特效
外婆家在贵州，几乎每年暑假都要去贵州避暑。因为山沟沟里特别凉快，城里40度，山沟沟里日常24，25度，不用开风扇，不用空调，吹自然风，简直不要太舒服了。而且那里的人很淳朴，有次出门碰上下大雨，一户人家直接让我们进屋避雨，还用自家种的瓜果，酿的甜酒招待我们，直到雨停。那里景色也好，水稻田一片一片的连成碧海，衬着蓝天白云，像油画似的。田间地头的老水牛悠哉悠哉地吃草，脖子上的铃铛丁零当啷的，在幽静的山间回荡着，伴着潺潺流水，伴着清风，飘得很远很远……,凉快 舒服 淳朴 幽静 很远
15年去过从江   风景真的很美 年轻的姑娘小伙人也很漂亮 美食也不错 就是牛瘪不太能接受  有机会再去啊～,年轻 不错
贵州物价贵的东西就属贵阳，贵州自然景观是最值得看的，所以建议想要到贵州逛逛的朋友们避开贵阳其他市也有不错的风景哒,不错
我去我干爹家去，然后我干奶奶倒了一碗他们自己酿的酒给我喝，我当时就是一个恐慌状态，我不会喝酒啊，后面我干爹的弟妹过来喝酒，他们那里好像是过年那段时间会到处走人家喝酒,恐慌
作为贵州人，很欣慰看到这样的网红小城市出现，带动经济发展，去了大城市生活后，真的差距太明显了。同时建议去耍的小伙伴，一定尝尝酸汤鱼火锅，牛瘪(正宗的没有那么臭)，折耳根小炒，庵肉，榕江卷粉祝去玩的有一场愉快旅行。,愉快
谢谢，把我的家乡推广出去，单靠自己人的宣传力量很小，况且外面的人也很难了解真正的贵州，谢谢用这种方式为贵州助力,单靠 很小
真诚才是最打动人的，那些路过的狗都要薅把毛的景区好好看看，心脏了再美的景色都让人无心欣赏，学习一下吧，淄博、胖东来的例子在那呢,真诚
很多景区都陷入那个恶性循环，最智慧的选择现在很多人都看到了，无私不是自私的反义词，而是一种双赢呀,自私
哈哈，我们山东人确实很多能喝酒的。贵州现在给我印象最深刻的是贵州百灵鸟周深，今年暑假去贵州玩玩,确实
一种本该如此应该如此真是如此的舒适,舒适
此生不悔入华夏不知道是不是每一个中国人的内心独白，但是近期展现在世人面前的只有淄博的纯真，榕江的淳朴；展现在我们曾经的是缉毒警察的奉献，边防战士的值守，消防官兵的舍生忘死，人民子弟兵的救援辛苦；展现在我们经历过的，医护人员的逆行，乡村老师的投入，返乡发展人的辛劳，农民伯伯的勤劳，的确从表明上我们很幸福，但是没有人对幸福是会满足的，我们还期望相关部门的以身作则为人民服务，我们还期望食品的安全，我们还期望教育系统培育出来的人才为国为民发光发热，我们还期望.....老百姓还期望着很多，任重而道远,纯真 淳朴 辛苦 勤劳 幸福 幸福
作为一个从大山走出来的孩子，对于贵州的情感真的难以言表。贵州在国家的大力帮扶下，渐渐脱离了贫困了，乡村逐渐振兴。真的非常欢迎大家来贵州旅行，顺便带动一下贵州的经济，我家毕节金沙那块儿，要是没地方歇脚，欢迎大家到我家做客。有说错的还望包含。,贫困 顺便
有幸在小丹江遇到过,有幸
文化美，人性美，风情美三美紧密结合；凝聚在文中所说的贵州，体现出人文与自然结合的风土人情，作者来到此地更有别样的感受。文化美历久千年文化圈，形成一种少数民族的特别文化，热情好客，纯朴的人和商业结合。人性美，人性的简单，单纯带给“外来人”不一样的感受。风情美，葱葱郁郁的树林与高山相结合，形成了一种独有的民族风情特色；更是人与自然的独有风土人情，更是大好河山的完美写照。表达了作者对文中民族特色的赞美和喜爱之情，即说明了在大山深处的魅力，也体现了民族特色的所独有的浪漫。,纯朴 简单 郁郁 完美 浪漫
贵州的留守儿童和留村老人真的太多太多了，这片土地很美，但却养不活那么多年轻人，真心的希望贵州的旅游业能发展起来，能留住年轻人，有了年轻人，这片土地才有活力，才有动力，才有未来。,不活
我现在在贵州旅游，第一站去了六盘水，温度很低非常舒服，物价好便宜东西也好吃，打车那些司机叔叔阿姨都很亲切和你聊天推荐当地好玩的好吃的，而且都会礼让行人不会按喇叭然后这几天来了贵阳，可能是最近旅游的人挺多的，出租车都在乱喊价，按喇叭也很大声，有些司机不打转弯灯就直接转弯了，经常一脚刹车贵阳真的游客太多了，好难排队，车辆也经常堵车，没什么景点玩，不建议去贵阳，直接到想要去的景点玩就好,舒服 便宜 亲切
本视频介绍了贵州春潮的发源地贵州榕江，以及当地的美丽风景和热情民俗，包括牛瘪火锅、斗牛场、苗族家访等，还有当地的村超文化、足球比赛和免费门票等。作者被这里的美食、美景和热情所打动，希望更多的人能够了解和体验这里的纯朴和美好。--本内容基于视频内容由模型生成，仅供参考，由 召唤发送,纯朴 美好
好奇问问租车的话一般是在哪租,好奇
身为贵州的一员这一刻我很为自己的家乡感到骄傲哈哈,骄傲
贵州真的很好啊，好喜欢他们的牛肉粉，酸汤鱼，天气真的好凉爽，好想再去,凉爽
这山歌一唱，我就心慌。,心慌
感觉挺好玩的,挺好玩
国足应该感到羞愧。,羞愧
穷山恶水出刁民只是少数， 多数的是越穷的人越傻(善良)。大城市还有民风淳朴吗 都是尔虞我诈,善良 淳朴
中午刚吃，感觉牛瘪火锅好辣啊…再加上很倒霉扁桃体发炎了，太坐牢了,倒霉
这奶奶虽然穷，但是家里面很干净,干净
努力赚钱去旅游，攒够钱找个好地方去养老,努力
看完好有感触呀，在贵州我所接触到的大部分都是热情温暖的、重情重义的，我初中的同学也是我现在的好朋友，我高中的同学还是我现在的好朋友，过年回家一趟，吃个饭聚一起，都是关系特别好的都有20个左右，去外地读大学，大学里面真没交到几个朋友，当听室友说回家没人和他一起玩的时候震惊了都，那么多同学，就没一些一直联系的?事实证明确实很少。贵州经济发展确实落后一些，从我初中毕业大概15年左右开始大修高速路，到今天实现高速路基本每个县都能到，高铁也市市通，这也是财政赤字的一大原因，但是路是必须通的，要想富先修路嘛!看到榕江那么火热，真的很自豪，很感动，特别欢迎全国各地的朋友来我们大贵州感受风土人情，喝两杯酒，都是朋友!最后说一句毕节市纳雍县的美食是真的多!!!,完好 温暖 确实 确实 落后 一大
发贵州是吧，点了欢迎大家来玩呀，我们这边风景还是不错的，自然环境很好，不过坑人的也有，大家仔细分辨呀,不错 仔细
以前年轻人会为了故事买单，接着年轻人长大一点了 愿意为爱情买单（不然你以为电商节怎么来的）后来再长大一点被社会和爱情摧残过了的那群人愿意为情怀和自己买单，而现在 愿意为那一股温暖的人情味买单。没错，我们这群社会弃子级别的90后 95后 被毒打了这么久，突然想起最动情的不是什么摸不着边的爱情，有可能是看到面摊突然想起课本上的一碗阳春面》。因为那时候 有人情味 。,温暖
为我大贵州感到骄傲疯狂打,骄傲 疯狂
我河北的，我妈妈就是贵州毕节的，因为妈妈晕车，30年了，一次娘家没回去过，我也没去过我的“另一个故乡”，如果有一天，我的生活过得稍微富裕了，我是不是也能带着妈妈回毕节呢,富裕
真好啊  真希望不要被现代肮张的思想污染,肮张
好热闹  太好了,热闹
在大城市呆久了，可能会忘记真正的淳朴是什么样的，看到视频这种热情好客觉得就是演的，但其实很多小镇小地方真的很淳朴。我曾经去过甘肃省民勤县旅游，路过一片瓜田玉米田的时候停车照相休息，谁想来了个老农聊了两句就送我们了两个大蜜瓜，真的是当初摘了俩送我们，只是要求我们当场吃完并把瓜皮扔田里，非常非常甜，之后查资料才知道这瓜叫银蒂，甜度在所有蜜瓜品类里都属于前列，可惜产量少难保存，只能在甘肃内部消耗掉。,淳朴 淳朴
确实是这样的，不给你缺斤少两，他的招牌怎么会金碧辉煌呢,确实
牛瘪火锅确实好吃,确实
我其实很感动的一点是，现在越来越多人看到我的家长。在外地读书后，我强烈的安利我的家长。朋友告诉我，他认识的贵州人，和我一样特别强烈的安利贵州。我说因为曾经，我想走出大山，后来发现，这片山水，是如此的美丽。我希望更多人看到贵州美好的一面，当然有好人的地方就有坏人。在贵州，也有坑旅客的商户和景区。只是希望大家不要失望，去问问本地人，带你们去还没有开发完的景区，去巷子里好吃的店。,美好
在外上大学很久没回去的孩子看到大家喜欢我的家乡真的很激动，看的视频一边哭一边看。欢迎大家去大贵州玩多彩贵州欢迎大家,激动
各位朋友，如果想到贵州自驾游，要注意安全，慢慢开，下雨天绝对不要开，较窄的山路就让当地人帮忙开过去，我们当地人都会帮忙的，一定要注意安全哈,较窄
确实没有度数,确实
看得出贵州最近确实大力在推广旅游了,确实
农村，农民，土地永远是中国的根如果农村好农民收入高，他们还会背井离乡让年迈双亲跟幼儿留守吗我们的乡村还是要国家给予更多的关心和重视农业是立国之基，如果从事农业的人都没有得到应得的待遇，城乡差距越来越大，乡村基础教育、科技、卫生缺失或者流于形式……,年迈 卫生
唉，想旅游舒服还得是这种小城市,舒服
欢迎大家来贵州最近正好李子熟了，贼好吃，就是贼贵，我一个本地人都觉得好贵啊，吃榴莲都没这么心疼，不过确实是我在其他地方吃不到的美味可以试试，这个季节从贵州离开的游客经常看见一人提篮大李子不是没有原因的，推荐推荐,正好 心疼 确实
说句题外话，太的外套哪里买的好好看,好好看
所以说经常听到网暴，精神内耗之类的，有时候不太理解，我真的平安喜乐,平安
真好啊比太，希望你下次来抽空也到从江玩玩，体验下中国唯一持枪的部落和中国三大梯田之一的加榜梯田，还有体验斗牛届耶路撒冷从江县举办的斗牛活动和最新鲜的牛瘪火锅，口味想放开的话生瘪和紫血都试试,生瘪
去贵州一定要去吃火锅，味道真的很不错，去黔东南一定要去凯里吃酸汤牛肉火锅，酸汤砂锅粉，酸汤串串，真的很好吃，牛肉都是按斤称，人均八十差不多就可以吃得很饱，红酸汤真的很好吃，泡饭吃停不下来,不错
不能喝酒的朋友千万不要逞强，直接说就可以了，因为我感觉咱们贵州人喜欢“劝”，你不要不好意思拒绝，该拒绝就拒绝，无非就是多说几遍，要为自己身体着想,不好意思
要知道举办这么大规模的活动，城市从上到下付出了多少的努力，汗水和真心，可以带动多大的经济和旅游产业，给这座城的百姓带来多大的幸福感和收入，就业等等，真的不容易啊，作业在此某些城市的官员会抄吗，心里有想着和牵挂着百姓的生活吗，而我们的城市还剩下了多少的人间烟火气息,努力
这些人们让我看到这个社会的淳朴和纯真,淳朴 纯真
来贵州吃火锅千万别去那种看着特别高大上的地方，贼啦坑，蔬菜和饭要分开收费就算了，按人头收完一次还要收座位费，去过这种店一次，这店开了半年不到就倒闭了，真的该,高大
真诚谢谢宣传我的家乡,真诚
团结，同志们，一定要团结，只要我们一直团结，我们的日子一定会变成这样热情似火,团结 团结 团结
都没吃过，我自从来了贵州就没怎么出过门，这边太凉快了,凉快
先是淄博，现在榕江，说明我们都厌倦这越来越没有人情味的社会，但又都向往淳朴的生活，真实的生活。真的希望我们的生活圈少一些资本的影子,淳朴
我当时五一去的，虽然物价涨了了，但是还是很便宜对于我来说，我天天吃四顿，当时我自己一个人去的，玩了五天四夜花了一千一二左右（包了车费和住宿费，当时住宿费就去了我五百），当时人太多了没吃到酸汤牛肉是个遗憾，我当时还主要逛的市区，旁边的那些自驾去会方便点,便宜 遗憾
这期真的无敌，都快把我一个大男人看哭了，这才是朴实的劳动人民原本的模样。,朴实
看到那个安吉拉卑鄙堵鼻孔，就觉得讨厌,卑鄙
热情溢出屏幕的同时，我流下了沉思的眼泪。,沉思
少数民族做生意实在纯朴，我们广东佬做生意…吃饭连纸巾都有收费,纯朴
我的开心可比烦恼多  好感动,烦恼
其实我们现在可能被钱财洗刷了当初的淳朴,淳朴
太的视频可以说是高质量啊，太不错了,不错
去淄博专门吃了蛋糕大爷的绿豆饼……可能是期待太高了吧，并不便宜也算不上好吃,便宜
贵州人真的特别特别淳朴善良,淳朴 善良
真的很棒，希望更多的正能量视频比负能量视频更能吸到流量，三连了,很棒
声明一下贵州人喝酒不全是厉害的，还有我这种小趴菜拖后腿一杯倒,厉害
酒那不纯纯当矿泉水喝吗,纯纯
最朴实的普罗大众，庆幸资本还没临幸这片净土,朴实
看看日历就知道为啥这半个月都一直是正面新闻了,正面
我对贵州印象特别好，因为我有两个贵州哥们，爽利痛快，为人正直，虽然有一点小毛病，不过显得人更真实。,痛快
当民风淳朴也是一种奢侈，大爱这些朴实无华的人，这是中国,淳朴 奢侈
比中超好看看多了，昨儿我看新闻里报道有场比赛结果时，看到里面拼抢最厉害是外援，进球和积极回撤是外援，其他人和散步一样，好像意思外援出力打球他们是辅助都懒得使力,厉害
我在贵州读的大学。那边的同学家里连续喝三天,连续
贵州经济欠发达的地区民风都还是比较朴实的，穷的地方的人讲究用情谊来联络关系，但如果你到贵阳有些地方去看，大多数人眼里只有钱,朴实
真诚的、炽热的感情从来都是从互动中来，太的情绪越来越放开了，谢谢各地亲爱的人们，谢谢,真诚 炽热 亲爱
我真的要说，贵州的蔬菜又水又好吃，还便宜我不喜欢吃蔬菜的都喜欢上吃蔬菜了,便宜
这地方对我来说根本不能去，我这种小趴菜按这个喝酒频率怕是没有清醒的时候,清醒
这就是过去一直在说的，讲好中国故事，的一个典型案例。正所谓我和我的祖国一刻也不能分离。我因为祖国的强大过上了幸福的生活（旅游很开心，拍的视频爆火），祖国因为我而有意义（我让祖国发生的美好故事在互联网上传播，祖国的存在就是为了让我们过上好的日子）,强大 幸福 美好
看到杨梅我就想起来去长沙玩，在五一广场地铁那里看见有卖杨梅的，问了问多少钱，15一斤，犹豫了下还是买了因为比我们那里便宜点，回去路上，我同学看了之后说绝对没有一斤，我心碎，其实她拿出那个秤砣来称的时候我就觉得我被骗了吧，少就少吧，还特别酸，巨酸啊,犹豫 便宜 巨酸
确实不赖,确实
别叫朋友来贵州拼喝米酒，山东人喝瓶子酒很厉害，但是米酒真不行，这是品种差异带来的，不是说你们不行。我举个例子，有个朋友大我一岁，他有个小姨嫁到山东，前两年过年回贵州来，喊我也去作陪，我还没下场呢，那朋友就把他姨夫放翻了，被拖去睡觉后我们在他家继续喝了三小时，后来才知道他姨夫尿床了，过了半年多，不知道是清明还是五一他姨夫又来了，带了仨家里的兄弟一起来，我朋友又叫我去招待，和他父亲一起，就三人把四个人炫翻了，米酒我们喝惯了，山东人瓶子酒喝惯了。我不是苗族，我喝米酒的量在本地根本上不了台面，所以说想来拼酒就跟黔东南炫瓶子酒，那玩意他们输多胜少。有些非黔东南地区也喝米酒，但是没有黔东南地区的苗族这么能炫，那是一年到头都在喝的节奏，喝米酒那是真的牛批,厉害 清明
很不错哦,不错
希望当地政府能扛得住，保护好人民的淳朴，接下来必定和淄博一样迎来各种好好坏坏的挑战,淳朴
不得不说贵州散白确实一绝，毕业以后和朋友去剑河找同学玩，推杯换盏之前那种膨胀，那种嚣张，最后在地板上睡到第二天下午才知道错了,确实 嚣张
牛瘪火锅本地也没有很多人吃过的，去吃酸汤牛肉火锅 本地的黄牛肉真的很不错,不错
