Unnamed: 0,content,Unnamed: 2,综合评分,type,情感type,主题概率,主题类型
20,款车  完美 时尚 大气 开车 算是 温柔 颠簸 路段 挺价格 晕车 感受 地方  担心 不足  利用率  表现 远远 超出 预期 车上 储物箱 储物 乘坐  价格 挺价格 外观 尺寸  内部 感到 拥挤  车子 腿部  头部  充足 放置 东西 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.012697941), (1, 0.011045108), (2, 0.97625697)]",2
21,混合 动力系统 稳定性 燃油 经济性 出色 驾驶 体验 动力  缺点 发动机 介入 开裂  抖动 包括 车子 外观 做工 细致  这辆  实用性 给力  满座 情况 丝毫 束缚  靠背 纯平 状态 储物 外出 游玩 很好 体现 优势 打开  地板 内部 储物格 随车 要用 工具 合适 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.807802), (2, 0.18362796)]",0
22,车刚 提到 兴奋 豪车 相媲美 同价位 分析 质量 做工  媳妇 认可 大人 价格 孩子 婴儿车 带上  一款 驾驶  乘坐  伸直 拥挤  颠簸 角度  绰绰有余 孩子 东西 通通 带上 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.012166236), (1, 0.012071056), (2, 0.9757627)]",2
23,高速行驶 加速 超车 表现 显得 迟疑 只能 提前 规划 行程 错过 路口   一大 亮点   无论是   提供 动力 腿部 头部   容量 相当可观 周末 郊游 一车 行李 轻松  表现 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.013474468), (1, 0.013503534), (2, 0.97302204)]",2
24,款车 中控台 感觉 一点 高级 还给 本来  内饰 带来 一丝 塑料 款车 内饰 多一点 豪华 元素 更好  一款 乘坐  肯定 毋庸置疑 坐在 宽松 系统 体型 多重 坐在 拥挤  后备箱 放下 东西 平常  东西  异味 实用 续航 噪音 亏电 车漆 空间,,4.86,0,neg,"[(0, 0.013116004), (1, 0.011963325), (2, 0.97492063)]",2
25,感觉 不足 颜色 太浅 白色 面积 好看 耐脏 清洁 费劲 提速 异味 降噪 效果 高速   款车  不足 储物 格子 特别  中央 扶手箱 副驾驶 储物 能装 东西 车门 边上 随手 小东西 前 贴心  杯架 杯子 妥妥 车子 回家 家人 评价  价格 座椅 宽大 软硬 靠背 调节 很自 腿部 轻轻松松 二郎腿 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.1786384), (2, 0.812821)]",2
30,续航 波动性 一点 原因 琢磨不透 长途 计划 续航 稳定 有点儿 衡量    利用 极致 个子 储物  利用率 扶手箱 纸巾 墨镜 女朋友 化妆品 刚刚 合适  纸巾 湿巾 副驾驶 储物格 零食 证件 随身携带 东西 储物格  整理 钓鱼用具 钓鱼 爱好 平常 空闲 时间 说走就走 车上 续航 噪音 亏电 车漆 空间,,4.86,0,neg,"[(0, 0.44024563), (2, 0.5512354)]",2
31,新车 发现 新车 原因 内饰 异味 影响 一段时间 轮胎 后备箱 看着 霸气 后期 换胎 成本  紧凑型  一点 不小 系统 坐在  宽松 坐在  伸展  三个 轻轻松松 座椅 宽大 价格 后备  后备箱 一家人 出去玩 油耗  座椅 大件 不成问题 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.012187158), (1, 0.011097443), (2, 0.9767154)]",2
32,事先 不论是 乘坐  储物  驾驶 腰部 支撑 功能 完美 内饰 感觉 颜色 不太好 有点 风格 价格  份上 接受   后备箱  平时 用车 充足 座椅 价格 想要 腰部 支撑 功能 几个 朋友 吃饭 自驾游   油耗 三个 成年人 不成问题 地台 全平 价格 建议 厂家  座椅 功能 后备  平整 能装 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(2, 0.98299694)]",2
33,要说 地方 款车 内饰 异味 大闻 价格   表现  坐在 驾驶 位置 头部 腿部 后备箱 剩余  地板 平整 凸起 三个 拥挤 难受  容积 后备箱 放下 东西 续航 噪音 亏电 车漆 空间,,4.86,0,neg,"[(0, 0.018046502), (1, 0.016622715), (2, 0.96533084)]",2
34,不足 做工 挺 缺乏  简约 车型 内饰 区别 风格 一点 表现 心坎  不足  不稳 宽大 父母 孩子 出门 游玩 压力  表现 不赖 两个 垃圾 家人 旅游 感受  储物 能力 有多强  尺寸 宽大 小孩子  约束 蹦蹦跳跳 续航 噪音 亏电 车漆 空间,,4.86,0,neg,"[(0, 0.8389237), (1, 0.01156662), (2, 0.14950968)]",0
35,内部 乘用    容积 不算 放取 大件 东西 轻松  车里   乘坐 系统 一米 八多 个子  顶头 身体 轻松 舒展 开来 全家 老少 一同 出行 压力  轻松 三个 大人 颠簸 坐姿 需求 腿部 富裕  留给 小朋友 来回 走动  不小 车里  储物格 讨厌 存储 物品   深度  开口 大些 实用 续航 噪音 亏电 车漆 空间,,4.86,0,neg,"[(0, 0.66985655), (1, 0.32127193)]",0
36,中控台 显得 高级 缺点 缺点 材质 接触 留下 指纹 清洁   讨厌 欣慰 储物   后备箱 体积 东西 车顶 行李架 搬家 用途 目标 使命 续航 噪音 亏电 车漆 空间,,4.86,0,neg,"[(0, 0.83356506), (1, 0.014204874), (2, 0.15223005)]",0
37,平时 上下班 车里 安静 快速路 高速 感觉  跟着 接受 内饰 用料 做工 异味 嗅觉 灵敏 原因   原因 家里人 个子 不矮 担心 不论是 纵向  横向  充足 系统 坐在  二郎腿 坐垫 动力 价格 头顶  充足 一家人 出远门 舒价格服 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.011611898), (1, 0.010383015), (2, 0.9780051)]",2
38,我用 段时间 发现 两个 地方 改进 区域 触控 按键 感觉 做成 实体 按键 实用  低速 安静 车速 感觉  跟着   胖子 友好 身材 坐在 驾驶 尴尬 座椅 支撑 很棒  三个 宽松 乘坐 颠簸性 不稳 同级 车型 后备  挑不出 毛病 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.78471744), (1, 0.011544579), (2, 0.20373797)]",0
39,车子 十全十美 指望 车子 颜值 普普通通    后备箱 坐在  葛优 影响 平时 爸妈 出去玩 两个 价格 续航 噪音 亏电 车漆 空间,,4.86,0,neg,"[(0, 0.02391003), (1, 0.023259046), (2, 0.9528309)]",2
40,地方 稍微 一股 异味 摆脱 内饰 味道 用尽 方法 发现 长时间 开窗 通风 效果 切实际 最为 见效  车子  稍微 感觉  不足 储物  感觉  那种 灵活 储物  来放 东西 不稳  缺陷 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.9700522), (1, 0.014126839), (2, 0.015820963)]",0
41,购车 时间 不到 一个月 慢慢 开着 发现 毛病 陆陆续续 发现 小毛病 抗震 县城 路况  地方 不足 颠簸 抗震 能力 特别  感觉  一点 声音   一家人 储物  感觉 家人 野炊 东西 系统 体重 算是 身材 驾驶 位置 副驾驶 拥挤 宽松 头部 距离 一拳 座位 往后  腿部  还好 值得一提的是  地面 太难受 续航 噪音 亏电 车漆 空间,,4.86,0,neg,"[(1, 0.010889142), (2, 0.97926277)]",2
42,内饰  不稳 好看 所用 材质 配色 年轻 漆面 反光板  留下 指纹 家里 小孩儿 乱摸 指纹 时不时 清洁 感觉 有点儿 麻烦 车上 湿巾   女朋友 系统 坐在 副驾驶 天天 二郎腿 开车 座椅 调到 最靠 位置   一点 内部  实用 扶手箱 东西 副驾驶 储物格 证件 反正  有大  实用   续航 噪音 亏电 车漆 空间,,5.0,0,neg,"[(0, 0.9817165)]",0
43,这辆 地方 内部 储物格  日常 储存 随身 物品 改进 提升 体验  驾乘  这辆 表现出色 定位 摆在 内部 异味 后备箱 失望 特别  座椅 头部  充足 坐在 压抑感 视野 长时间 驾驶 感到 疲劳  座椅 坐满 感到 拥挤 乘坐 体验  容积 后备箱 能装 行李 唯一 可惜 内部 储物格  科学 日常 储存 随身 物品 续航 噪音 亏电 车漆 空间,,4.86,0,neg,"[(0, 0.25834596), (2, 0.7342498)]",2
44,价格 活动 昂贵 这么久 发现 性能 对得起 价格 家人 比较严重 高速 心情  建议 高速 心情    大小 符合 一家人 出行 拥挤 家人 坐进  感觉 沙发 乘坐 压迫感 大小 宽裕 头部  开车 视野 开阔 局促 压抑 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.01348494), (1, 0.011149383), (2, 0.9753657)]",2
45,事情 新款 老款 昂贵 下手 选择 新款 价格 昂贵 办法 有点 生活     座椅 轻松 坐得 三个 男生 一家 三口 更是 绰绰有余  感觉 挺能 东西 特别 不足 头部  充足 再也 不用 刻意 点头 感觉   同级 适合 出门 自驾游 续航 噪音 亏电 车漆 空间,,4.86,0,neg,"[(0, 0.97580767), (1, 0.010927472), (2, 0.013264876)]",0
46,地方 心情  一辆车 相当于 私人  看着 时尚 感觉  担心  表现 不赖 颠簸 乘坐 体验 包小包  装下 储物  表现    动力 储物格 一点 体型 较大 上下车 非常灵活 拥挤 座椅 油耗 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.015580866), (1, 0.013135596), (2, 0.97128356)]",2
47,担心 内饰 新车 提回来 内饰 异味 家里 小孩 小孩 感觉 价格 车子 价格 不稳 豪华 中上 档次 异味 不稳 失望  担心  车身 尺寸 内部 轴距   位置  位置  乘坐 压抑 晕车 腿部  活动 续航 噪音 亏电 车漆 空间,,4.86,0,neg,"[(0, 0.9750235), (1, 0.01176544), (2, 0.013211072)]",0
48,瑕疵 激烈 驾驶 底盘 表现 柔软性 有点 驾驶 乐趣 支撑 媳妇 新手 开车 价格 只能 萝卜青菜 各有所爱  看得出来 精心  物品 外观 车身 尺寸  表现 肯定 不赖 乘坐  表现 一家 自然 动力   表现 得体 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.01233636), (1, 0.010918566), (2, 0.9767451)]",2
49,拿到 钥匙 那一刻 忐忑 担心 东西 担心 半路上 惊喜 一段时间 小家伙 续航 里程 一点 不含糊 城市 穿梭 自如  小天地     得能 翘起 二郎腿  惊人 每次 超市 采购 塞下 零食 日用品 仿佛 告诉 担心 储物 能力 异味 小东西 再也 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.010024372), (2, 0.9811206)]",2
50,天气 慢慢 每次 上车 空调 难受 那种 发现 空调 动力 后备箱 影响 感觉  级别 这车  表现 优秀 内部  人性化 无论是   显得  大方 高个子 驾驶 乘坐    外出 能带 东西 续航 噪音 亏电 车漆 空间,,4.57,0,neg,"[(0, 0.014924316), (1, 0.014033426), (2, 0.9710423)]",2
51,不足之处 市区 高峰期 红绿灯 道路 拥堵 频繁 起步 情况 油耗 显得 多一点 表显 油耗 个油 拥堵 情况 油耗 一台 动车   中规中矩 家用 肯定 前  动力 系统 大个 憋屈  座椅 宽度 三个 成年人 压力   一般般 不稳 行李物品 平时 没什么 储物 需求 接送 朋友 帮忙 垃圾 续航 噪音 亏电 车漆 空间,,4.57,0,neg,"[(2, 0.98294306)]",2
52,台车 买回来 一个多月 要说 车子 刚刚 买回来 不足 味道 一段时间 除味 导致 段时间 车子 时间 特别   不赖 动力  感觉 满满的 高级  乘坐  同级 一流 水准 日常 家用 副驾驶 手套  后备箱 老婆 包包 能装   不算 同级 燃油 相比 东西 平时 东西 还油耗 出远门 还好  座位 放倒 扩展性  续航 噪音 亏电 车漆 空间,,4.57,0,neg,"[(0, 0.13082169), (2, 0.8602423)]",2
53,驾驶 过程 方向盘 车子 电车 柔顺 那种 轻松 力气 有点 重量 重量 手感 驾驶 体验   大小 挺 适合 家庭  容量  座椅 比例 腿部  影响 自驾游  发挥 用处 帐篷 野炊 用具 过段时间 打算 一趟 到时候 新车 正好 考验 能力 续航 噪音 亏电 车漆 空间,,4.86,0,neg,"[(0, 0.7068188), (2, 0.28355914)]",0
54,完美 完美 稀有 改进 地方 小小的 影响 驾驶 续航 选择  延续 比亚迪   一贯 追求   动力 宽松  乘客 享受 充足 腿部 头部   容量 令人满意 无论是 折叠 婴儿车 一整套 高尔夫球 轻松 放下 家庭用户  无疑 贴心 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.011285728), (1, 0.010451764), (2, 0.97826254)]",2
55,车身 优点 缺点 带来 好处 自然  场强 车身 开船 车身 不可避免 路上 慢慢悠悠 好像 床垫 感觉 路感 反馈 这类 共性  系统 不算  讨厌 用车 平时 上班 代步  肯定 家里人 出去玩 排座位 调整   续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.011341651), (1, 0.010598914), (2, 0.9780594)]",2
56,车子  稍微 点儿 速度     动力 驾驶员 活动 开车 懒腰 肯定   地板   宽松 两边 价格    深度 宽度  整体 容积 讨厌 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.019355068), (1, 0.017454162), (2, 0.9631908)]",2
57,一点儿 有点儿 价位 接受   小轿车  娇小 类型 驾驶   老公 中等 体型 拥挤 头顶 不小 距离 长途 驾驶 颠簸  乘坐  家里人  三个 价格  收纳 地方 日常 小东西   不大不小 玩儿 东西 油耗 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.012253911), (1, 0.012132451), (2, 0.97561365)]",2
58,提车 多久 发现 地方  车身 轴距 前    座椅 支持 加热 通风 功能 提高 乘坐 颠簸性 系统 体型 偏胖 坐在 驾驶 位置 头部 一拳 距离 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.018178971), (1, 0.018156396), (2, 0.9636646)]",2
67,底盘 调教 太软 摇晃 感觉   整体 讨厌 适合 家用  容量  有点  座椅 整体 放倒 大床 中午 车上 午睡 出去玩 不用 帐篷 一家人 续航 噪音 亏电 车漆 空间,,4.14,0,neg,"[(0, 0.017391367), (1, 0.016636394), (2, 0.96597224)]",2
75,地方 款车 同级 相比 感觉 颠簸性 高速行驶  系统 驾驶 调整 合适 位置  乘坐  后备箱 阻碍 座椅 皮质 座椅 颠簸 包裹   后备箱 岳母 节礼  填完 续航 噪音 亏电 车漆 空间,,5.0,0,neg,"[(0, 0.014963811), (1, 0.014867657), (2, 0.97016853)]",2
76,新车 内饰 异味 散味 底盘 调教   前   纯平 坐椅 大件 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.027862154), (1, 0.02644163), (2, 0.94569623)]",2
77,要说 驾驶 特别 缺点 底盘 调校 不软 不硬 刚刚 价格 接受    车长 轴距 内部 两个 数据 紧凑型 车型 算是 抢眼 表现 一家人 轻松 前 拥有 较大 储物 乘坐  后备   座椅 放倒 行李 物件 续航 噪音 亏电 车漆 空间,,5.0,0,neg,"[(0, 0.9749456), (1, 0.011644103), (2, 0.013410348)]",0
78,新车 没多久 爱惜 发现 缺点   储物  驾驶证 行驶证 重要文件 放进去 余地 东西  乘坐  讨厌 价格 很挤 驾驶 挺价格 座位 感觉 那种 没有支撑 那种 感觉 一种 浑身 包裹 显得 难受 一种 感觉 难以形容 异味 价格 续航 噪音 亏电 车漆 空间,,5.0,0,neg,"[(0, 0.0131053915), (1, 0.33512032), (2, 0.6517743)]",2
79,家庭 用车  储物  太大   轿车 只能 装载    找到 合适 颠簸 位置 好处 想必 轿车 头部  优秀 系统 较高 情况 感到 局促 轿车 原因  着实 续航 噪音 亏电 车漆 空间,,4.57,0,neg,"[(0, 0.013856228), (1, 0.01371875), (2, 0.972425)]",2
80, 一点 完美 早点 时尚 大气 激烈 糟蹋 颠簸 路段 价格 气势恢宏 感觉  不足  利用率  表现 远远 超出 预期 储物箱 门板 储物 乘坐  价格 挺价格 外观 尺寸  内部 感到 拥挤  紧凑型 车子 腿部  头部  充足 放置 东西 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.011968176), (1, 0.010889169), (2, 0.97714263)]",2
81,好像 特别 家里 人选 这辆 显得 格调 行车 质量  款车 家庭 能手 气势恢宏 感觉 感觉 车子 颠簸性 很好    好多 物品 平躺在 车里 拥挤   动力 一家人 自驾游 所带 东西 绰绰有余 放不下  不稳 不小 储物格 细节 超赞 储物格 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.54128), (1, 0.011629305), (2, 0.4470907)]",0
82, 优秀 长时间 坐在  习惯 自由自在 状态 后边 拘束  平常 时间 司机  特别 但当 坐到 后边 后边  稍微 家庭成员 出行 安排 拘束 续航 噪音 亏电 车漆 空间,,5.0,0,neg,"[(0, 0.017561652), (1, 0.015771316), (2, 0.96666706)]",2
83,特别 新车 提回来 内饰 网上 竹炭 放在 两三天 时间 车子 异味 开窗 通风 了有 星期 样子 味道 慢慢 淡去    印象  内部 感到 颠簸 无论是 长途旅行 城市 驾驶 体验  座椅 调节 功能 需求  座椅 腿部   压抑 续航 噪音 亏电 车漆 空间,,4.86,0,neg,"[(0, 0.637117), (1, 0.010716585), (2, 0.35216635)]",0
84,唯一 地方 配置 功能 功能 配置 段时间 没买 配置 有用  这辆 平时  油耗 整体 表现   平时 坐过  表现 家用 动力 腿部  表现 优秀 情况  超过 三个 挺价格      需求   能装 东西 续航 噪音 亏电 车漆 空间,,4.57,0,neg,"[(0, 0.017366933), (1, 0.015284313), (2, 0.96734875)]",2
85,赞不绝口 缺点  稍微 一点 辆车 小毛病 一种 驾驶 体验 这辆 开车 细微 声音 座椅 整体 偏平    家用 正好 再也 担心 行驶 过程 中顶 车顶 内部  高够 上下班 代步  动力   动力 乘坐 拉货 车子  讨厌 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.013056266), (1, 0.0109532215), (2, 0.9759905)]",2
86,  家庭 买车 时不时 农村 老家 感叹 装不下 实在 装不下 底盘 太软 转弯 后备箱 倾斜 路况 不太好 地面 颠簸 减震 效果  一米 八几 一百六十多 体重 老婆 一百四十 体重 两口子 名副其实 大种 一点 感受 憋屈 无论是   行动自如 紧凑型 异味 一点 紧凑 乘坐  富余 大个子 友好   油耗  一点 更好 续航 噪音 亏电 车漆 空间,,4.57,0,neg,"[(2, 0.9824672)]",2
87,提车 几天 发现 地方  轴距 紧凑型 不足 乘坐   系统 体型 偏胖 坐在 驾驶 位置 头部 一拳 距离 腿部  展开 续航 噪音 亏电 车漆 空间,,4.86,0,neg,"[(0, 0.02384392), (1, 0.2515068), (2, 0.7246493)]",2
88,地方 操控 感觉 方向盘 手感 特别 有点 那种 质感 车子 感觉 转向 感觉   级别 车型 表现出色   座椅 提供 动力 腿部 头部  乘坐 颠簸 后备  轻松 容纳 行李物品 续航 噪音 亏电 车漆 空间,,4.86,0,neg,"[(0, 0.017825728), (1, 0.016236154), (2, 0.9659381)]",2
89,内饰 显得 呆板 按部就班 布局 缺少 新意 价格 昂贵 力度 太小 横向 算不上 优势  车身 尺寸 特别 紧凑型 算是 优势 坐在  系统 腿部  公分 坐下 放松  地板 平整 一家 五口 出行 两个 老人 小孩 坐在 放松 抱怨  不足储 物格 平时 东西 动力 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.010639982), (2, 0.9800755)]",2
90,动力 依然 乘坐 很棒 心中 品牌 印象 有点 那种 大气 老成 样子 感觉 地方 表现 驾驶 得心应手  平时 家用 购物 动力 随手 物品 地方  坐在 车子  感觉 价格  无论是 宽度 长度 很棒 运用自如 随意 发挥 感觉 正好   第一印象 优秀 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.97630054), (1, 0.010935409), (2, 0.012764115)]",0
91,内饰 异味 新车  气味 款车 气味 挺重 提车 回来 星期 皮革 胶水 味道 难闻 通风 开窗 透气 受不了 慢慢   没的说 朋友 短腿 伸直 还够 不到 刹车 可想而知   仿皮 电动 座椅 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.012560574), (1, 0.012775255), (2, 0.97466415)]",2
92,实在 要说  上次 家人 出门 自驾游 高速  不稳 点点 老婆 孩子 感觉  系统 坐进 排头 一拳   油耗  不用说 储物  值得 表扬  进深 高度 可观 动力 日常 一家 三口 野餐 放下 帐篷 真心  续航 噪音 亏电 车漆 空间,,4.86,0,neg,"[(0, 0.012055192), (1, 0.010326147), (2, 0.97761863)]",2
93,款车  感觉 颠簸 感觉 车子   感觉 紧凑 举例 系统   感觉 乘坐  头部 车顶 相碰 剩余  最多 超过 公分 腿部   靠背 公分 空余   注重 地方 房子  一点 总会 价格 选择 车子 例外 一点  乘坐 价格 款车  轿车 算是 续航 噪音 亏电 车漆 空间,,4.86,0,neg,"[(0, 0.013541289), (1, 0.012941512), (2, 0.97351724)]",2
94,车里 内饰 味道 一段时间 驾驶 效果 操控 颠簸 有点 这辆 车子 都用 顺手 座椅 调试 到位 身体 支撑 包裹  整体  表现  人性化 东西  动力 一家人 坐在  轻松 回老家 父母 东西 东西 自然 不在话下 日常 物品 续航 噪音 亏电 车漆 空间,,4.71,0,neg,"[(0, 0.013997563), (1, 0.011768621), (2, 0.9742338)]",2
