景点名称,评星,评论文本,fenci,label,score,主题概率,主题类型
只有河南·戏剧幻城,3.0,景区造景，舞台场布、装置设备，服务水平都挺高的，比较现代，迎合了当下打卡出片的风潮，有一定的特色。问题在于剧目剧本内容比较空洞，过分口号式地强调河南的重要地位、河南有诸多文化名人等，个别剧目依然宣扬一些落后的思想，譬如多子多福、重男轻女之类的……从小耳濡目染再看到这些仍感到不适……私以为即使要尊重传统，也应该以辨证的态度和与时俱进的表达来呈现……不过很多人都没感觉有什么不对，所以可能我不是这个景区的核心受众。无所谓，买了两日票，也算为家乡做贡献了。周边乍看品种丰富，细看大多是工厂流水线，没有深入发掘本地特色，能买的不多。本地人无聊时来逛逛也算不错，要是外地专程来且对内容要求高的，可能会失望。,落后 不适 尊重 无聊 不错,negative,0.5844213962554932,"[(0, 0.011904875), (1, 0.011904859), (2, 0.011904855), (3, 0.011904855), (4, 0.011904855), (5, 0.011904864), (6, 0.011904912), (7, 0.011904859), (8, 0.011904904), (9, 0.8452366), (10, 0.011904873), (11, 0.011904936), (12, 0.011904855), (13, 0.011904859)]",9
只有河南·戏剧幻城,5.0,幸好改成了两日票，这样可以选三个主剧场。每个都值得一看！春节假期人很多。第一天结束的时候还觉得一般，第二天就对河南文化产生了不同的感触！有两个项目还是没排上。其他都看了。个人不喜欢两院子，故事性不强，豫剧也没很好展示，音效不好，没有沉浸。小剧场个人最喜欢曹操的麦田和苏轼的河南。对了。很多都容易哭着出来。备纸巾。最后就是不适合带特别小的小朋友，剧场都很黑，有小小朋友被吓哭了。,幸好,negative,0.8275530338287354,"[(0, 0.035714444), (1, 0.035714444), (2, 0.53571224), (3, 0.035714444), (4, 0.035714444), (5, 0.035714444), (6, 0.035714444), (7, 0.035714444), (8, 0.035714444), (9, 0.035714444), (10, 0.035714444), (11, 0.035714444), (12, 0.035714444), (13, 0.035714444)]",2
只有河南·戏剧幻城,4.5,只有河南剧场，终于来打卡了，初三来的，门票是最高价，人也剧多，还好提前做了攻略，安排得紧凑，基本完成任务2天1夜除了张家大院和幻城剧场，其余全部打卡。烟花也看了。每个剧场代入感都很强，每一个剧场场景都做得逼真，场景细节做的都很到位。 红庙学校里的老师演的都很投入。春节人多每场都要等一个多小时，个人比较推荐李家村茶铺:互动很多，尤其是 ″黑社会″里面的每个角色都是原声表演，互动的时候也会专门让观众拍照 。景区里面的小吃和主食价格都不是太贵。景区里面的环境卫生做得很好。还有免费的可租借婴儿车和可租借轮椅。工作人员的态度很好完全没有一点不耐烦。服务打满分！,剧多 紧凑 不耐烦,negative,0.5748347043991089,"[(0, 0.017857214), (1, 0.017857214), (2, 0.017857214), (3, 0.017857214), (4, 0.017857214), (5, 0.017857214), (6, 0.017857214), (7, 0.017857287), (8, 0.017857214), (9, 0.017857214), (10, 0.7678562), (11, 0.017857214), (12, 0.017857214), (13, 0.017857214)]",10
只有河南·戏剧幻城,5.0,票价确实贵，但是值得。朋友不理解，都是人造的景，有啥看的。我说，又不是看景，他说，那看人？当然是看剧啊。两天时间，看了三个大剧八个小剧。第一天，上午火车站，下午李家村。穿插着看了几个不是很热门的小剧。中午在麦浪餐厅就餐，饭后溜达到楼顶，在光与影的碰撞中留下了一张满意的照片。第二天，只有一个主剧幻城，其余时间用来打卡最热门的四个小剧。最长排队1个小时，可以接受。这样的安排刚刚好，想看的都看了。哪个剧最好看？一千个观众就有一千个哈姆雷特。儿子说他最喜欢火车站，很震撼，我倒是觉得幻城很不错，美轮美奂中和古人进行一场穿越时空的对话。有轻松愉快的，李家村茶铺和红庙学校，互动式的情景喜剧，让大家哈哈大笑，儿子还有幸客串了把王一博；有庄严肃穆的，第七机车礼堂，再现二七大罢工的惨烈；曹操的麦田，在官渡之战的旧址上想象着将近2000年前发生过的故事；苏轼的河南，塑造了一个独特视角下更有血有肉的苏轼。演员们都很敬业，他们一天要表演很多场，日复一日重复同一场演出，却没有丝毫懈怠。观众们也很专注，没人玩手机，这也是对演员最大的尊重。除了听到自己夸自己，有些尬和不好意思，也确实能激发我是河南人的自豪感。除夕之夜，欣赏完灿烂盛大的烟花，遇到了出城送客的演员们，寒风中他们衣衫单薄，却热情的和游客们合影留念。只有河南，只有河南！,确实 最长 不错 有幸 惨烈 独特 懈怠 尊重 不好意思 确实 灿烂 单薄,negative,0.844793438911438,"[(6, 0.9285709)]",6
只有河南·戏剧幻城,5.0,带孩子一起去的，过年人好多，好多剧场都没看，还得平时过去，能看的更多，可以看到之前的年代发生过的种种迹象，跟孩子一起感受一下之前艰难生活，还有现在拥有的幸福生活是这么来的，很值得学习，好剧场值得排队一看，,艰难,negative,0.7610120177268982,"[(0, 0.035714477), (1, 0.035714477), (2, 0.035714477), (3, 0.5357118), (4, 0.035714477), (5, 0.035714477), (6, 0.035714477), (7, 0.035714477), (8, 0.035714477), (9, 0.035714477), (10, 0.035714477), (11, 0.035714477), (12, 0.035714477), (13, 0.035714477)]",3
只有河南·戏剧幻城,5.0,演员特敬业！表演都很好！只有河南的景色也很好拍，黄墙黄土，还有河南各个市，县的墙，特别有民族自豪感！ 幻城场面宏大，讲述了河南的历史光辉。李家村剧场描述1942饥荒，场景变幻感人。小剧场也很好，就是排队很久，要注意时间。,宏大,negative,0.7221457958221436,"[(0, 0.03571443), (1, 0.03571443), (2, 0.0357148), (3, 0.03571443), (4, 0.03571443), (5, 0.03571466), (6, 0.03571443), (7, 0.5357111), (8, 0.035714723), (9, 0.03571443), (10, 0.03571443), (11, 0.03571485), (12, 0.03571443), (13, 0.03571443)]",7
只有河南·戏剧幻城,0.5,春节超容纳量接待，只顾圈钱。所有热门项目排队超两小时，服务不人性化，这么冷的天，在户外站两三个小时，人都麻木了，一天也玩不了几个剧场。也可以不排队，一个项目一个人的优速通100-130之间。我买两日票，620，还有几个热门项目没有玩。关键宣传的很厉害的热门项目，比如红庙学校，其实根本就不好玩啊，就是仿照做了一个小小的学校有两间教室，有几个人演老师和学生，大家互动。真心不建议节假日来。,厉害 不好玩,negative,0.9799166917800904,"[(0, 0.023809806), (1, 0.02380966), (2, 0.023809753), (3, 0.023809738), (4, 0.02380966), (5, 0.02380966), (6, 0.6904741), (7, 0.02380966), (8, 0.02380966), (9, 0.023809688), (10, 0.02380966), (11, 0.02380966), (12, 0.02380966), (13, 0.02380966)]",6
只有河南·戏剧幻城,5.0,买了两天的票，今天刚玩了一天，已经看了5个剧场了。双日票包含三大主剧场的票还是很划算的，只不过年初三初四正是价格最贵的时候。身为河南人来看不亏！只有河南真的大大增加河南人的文化自信，目前看的比较多的都是关于河南历史和人物的。排队的时候还有小哥哥跳舞缓解无聊,最贵 无聊,negative,0.931709349155426,"[(0, 0.02380968), (1, 0.02380971), (2, 0.02380968), (3, 0.02380968), (4, 0.02380968), (5, 0.02380968), (6, 0.02380968), (7, 0.023809707), (8, 0.02380968), (9, 0.6904741), (10, 0.0238097), (11, 0.02380968), (12, 0.02380968), (13, 0.023809703)]",9
只有河南·戏剧幻城,5.0,场面宏大，演员非常敬业，服务人员态度也很好，唯一可惜是来之前不了解，早知道应该买两天的票都看一遍，建议来的自己备点吃的，没时间吃饭，赶着看下一场剧,宏大,negative,0.7221457958221436,"[(0, 0.03571444), (1, 0.03571444), (2, 0.03571484), (3, 0.03571444), (4, 0.03571444), (5, 0.035714686), (6, 0.03571444), (7, 0.035715498), (8, 0.035714757), (9, 0.03571444), (10, 0.03571444), (11, 0.5357103), (12, 0.03571444), (13, 0.03571444)]",11
只有河南·戏剧幻城,0.5,场地很漂亮，舞台灯光很好（唯一的优点，值0分）年30来的，人很少，剧看了挺多，总结出来就是史。所有大剧小剧全都是对口型，割裂感严重。最重要的是编剧是只有小学学历吗？所有的剧剧情都崩的一坨，看的想睡觉（我爸真睡着了）。首先就是苏轼的河南，不是哥们，苏轼跟河南到底有啥关系啊，到结尾也没说出来。开头搞一堆莫名其妙的弹幕搞的神神秘秘的到最后就是他想在河南做官？一点中心也没有，立意全靠结尾。其次就是车辆厂礼堂，一整个男主穿跃回一百年前再向古人展示现代发展的剧本，最后告诉人们要努力工作，建设新时代……一股子春晚小品的味道，尬不尬啊（结尾男主的声音还放不出了，演出事故）。然后就是候车大厅，没有中心，演到一半还让一群女孩子穿旗袍站在台上搔首弄姿，有够恶俗。还有一段师妹被师兄好上了就等师兄一辈子的剧情，都什么年代了还在宣传这种思想，说的台词也相当尴尬，恶心的不行。整体就是由几幕完全不相干的故事组合起来的，没有中心。最逆天的是天子驾六，又是天子穿越回现代的剧情，关键是差不多的剧情我在国家宝藏这个综艺里见过，这导演是演都不演直接抄了吗🤮。最无语的是下沉岁月，干脆连剧情都没了，从头到尾就是一群人话都不说地在舞台上走来走去，做动作，配合上一些灯效，投影一些莫名其妙的文字比如宇宙的起源是什么。最后还投影了一行字：没看懂就对了—— （导演是纸张吗？）唯一一个连我妈都看不下去的小剧。大剧戏剧幻城我没心情看了，大概就是流水账，公式化穿越剧情。总结：剧情一坨，初中以上学历看着都会觉的无聊，千万不要来，这年头宣发做的好就有人来，我不信有人会来第二遍，能劝一个是一个。,努力 不尬 恶俗 尴尬 无聊,negative,0.9713572263717652,"[(0, 0.011904799), (1, 0.8452373), (2, 0.011904799), (3, 0.011904813), (4, 0.011904799), (5, 0.011904877), (6, 0.011904799), (7, 0.011904817), (8, 0.011904799), (9, 0.011904901), (10, 0.011904814), (11, 0.011904817), (12, 0.011904799), (13, 0.011904836)]",1
只有河南·戏剧幻城,1.5,硬件设施很好，景区管理很成熟，但最关键的一点：戏剧的剧本没有做好！一天看了三大主剧，翻了无数白眼，因为有很多逻辑不通、硬上价值，甚至有些道德绑架的内容，整体感觉不好，去一次觉得不值,成熟 不通,negative,0.7443311810493469,"[(0, 0.023809621), (1, 0.023809621), (2, 0.023809621), (3, 0.023809621), (4, 0.6904749), (5, 0.023809621), (6, 0.023809621), (7, 0.023809621), (8, 0.023809621), (9, 0.023809621), (10, 0.023809621), (11, 0.023809621), (12, 0.023809621), (13, 0.023809621)]",4
只有河南·戏剧幻城,0.5,拍照还行，剧情比较难看，李家村无聊，天子驾六看不到，苏轼曹操排队特别长，本来准备呆到晚上，中午就想走了,无聊,negative,0.9564334154129028,"[(0, 0.035714313), (1, 0.0357144), (2, 0.035714313), (3, 0.035714313), (4, 0.035714313), (5, 0.035714313), (6, 0.035714313), (7, 0.035714395), (8, 0.035714313), (9, 0.5357136), (10, 0.035714384), (11, 0.035714313), (12, 0.035714313), (13, 0.035714395)]",9
只有河南·戏剧幻城,0.5,很糟糕，出发前要做功课，所有剧都有演出时间，来了就是各种排队，感觉还是有时间的年轻人来好了，对老年人太不友好，想看剧基本都会错过，无法以休闲的心态来游玩，我很悲哀，几十年了获得快乐的方式还是要靠抢和竞争（排队），努力工作难道不是为了更好的看路上的风景吗，最烦排队，以后不会再来,糟糕 友好 悲哀 快乐 努力 最烦,negative,0.8884609341621399,"[(0, 0.0102042025), (1, 0.010204254), (2, 0.0102042025), (3, 0.010204298), (4, 0.0102042435), (5, 0.010204229), (6, 0.0102042025), (7, 0.0102042025), (8, 0.0102042025), (9, 0.86734504), (10, 0.0102042025), (11, 0.0102042025), (12, 0.010204284), (13, 0.0102042025)]",9
只有河南·戏剧幻城,4.5,喜欢看剧的朋友一定要来。就是排队挺烦躁的。应该弄个小程序排队，想看的两个小剧场都没看见。想去的朋友一定要提前买票，当天买不一定能买到，两天应该可以全部看完。可以住在附近玩两天。,烦躁,negative,0.7531258463859558,"[(0, 0.035714418), (1, 0.53571254), (2, 0.035714418), (3, 0.035714418), (4, 0.035714418), (5, 0.035714418), (6, 0.035714418), (7, 0.035714418), (8, 0.035714418), (9, 0.035714418), (10, 0.035714418), (11, 0.035714418), (12, 0.035714418), (13, 0.035714418)]",1
只有河南·戏剧幻城,4.5,来这里很适合拍照出片，尤其是晴天。黄土墙，绿色或黄色的麦苗，湛蓝的天空。走文艺风、废土风、可爱风、潮流风都很适配，包出片的。里面的戏剧的很好听。但是故事情节都比较单薄，没有什么内涵，不是很好看，突然就燃起来了，但是不知道再燃什么，冲着戏剧去的人，可能会失望。但是每一场演员的演绎很认真，给各位演员点赞。一定要走上二楼，二楼也有麦苗哦！里面商店的吃的不算特别贵，量很足，味道也很好，在景区还算的性价比可以的。,单薄 很足,negative,0.9491284489631652,"[(0, 0.69047534), (1, 0.023809573), (2, 0.023809604), (3, 0.023809573), (4, 0.023809573), (5, 0.023809573), (6, 0.023809625), (7, 0.023809744), (8, 0.023809573), (9, 0.023809573), (10, 0.023809573), (11, 0.023809573), (12, 0.023809573), (13, 0.023809573)]",0
只有河南·戏剧幻城,0.5,不好看幻城剧场 东扯一下 西扯一下 没有完整剧情 感觉就是背历史人物名 没说几句又扯到另外一个人物 挺无聊的 而且每个剧场时间都是冲突的 11点到 到下午三点半 除了看幻城 才看到一个小剧场 也不好看 2个人演及其无聊 没内容 没剧情 没意思 不会在来了,完整 无聊 无聊,negative,0.939651370048523,"[(0, 0.017857179), (1, 0.0178572), (2, 0.017857179), (3, 0.017857179), (4, 0.017857179), (5, 0.017857179), (6, 0.017857179), (7, 0.0178572), (8, 0.017857179), (9, 0.7678565), (10, 0.017857196), (11, 0.017857179), (12, 0.017857179), (13, 0.01785727)]",9
只有河南·戏剧幻城,0.5,非常糟糕。早上十点来，买票大剧场只有幻城剧场了，进来后小剧场都得排队一个半小时以上，什么都看不上，千万别来，超级差评,糟糕,negative,0.9753314256668092,"[(0, 0.03571437), (1, 0.03571437), (2, 0.03571437), (3, 0.03571437), (4, 0.03571458), (5, 0.03571437), (6, 0.03571437), (7, 0.03571437), (8, 0.03571437), (9, 0.035714436), (10, 0.03571437), (11, 0.03571437), (12, 0.5357129), (13, 0.03571437)]",12
只有河南·戏剧幻城,5.0,历经两天的观剧历程结束了，整个行程体验就是很充实很舒服!最大的感受在于剧情本身，无论是三大剧场还是其余的小剧场都很不错，创意满满，体验感超棒!每一个剧情建设都很饱满，不会让人感到无聊和乏味，站在历史的角度上即还原了故事本身又在其基础上作出创新，让孤陋寡闻的我只能在台下惊呼哭泣，并拍手叫好。其次是剧场整体的设计，风格，服务等，都让人很安心舒适，不光有“只有河南十大免费服务”还有整体的舞美设计和建筑设计，每一个剧场和“小格子”都让人眼前一亮，两天下来除了拍视频其余时间完全没有空隙玩手机，根本不会无聊好吗!!起初买票时吐槽票价怎么会这么贵，到底值不值得去一趟，但是这两天的行程下来，只能说这票价哪贵啦?这票价简直太棒了好吧!推荐朋友们如果有计划到河南出行的，一定留两天的时间给“只有河南.幻城剧场”因为它值得。(这真的是我二十年来去过的最好的景点!)#只有河南戏剧幻城,充实 舒服 不错 无聊 乏味 舒适 无聊,negative,0.7774049639701843,"[(9, 0.88392764)]",9
只有河南·戏剧幻城,4.5,时间不多，再加上对于这类的游客项目不是很感兴趣，就只选了幻城剧场一个剧场。主要是想满足一下好奇，和给我喜欢的王潮歌捧场😘哈哈幻城建在郊外，周围农田，有只有河南酒店可以入住。方便去幻城活动。如果都看完里面的剧场，估计得两天？听说节假日人满为患。和游乐场一样，每个项目都要看好时间，提前去排队。看自己喜欢吧。里面又吃食的地方，我没体验🥲可以去体验一次,好奇,negative,0.6042166948318481,"[(0, 0.03571443), (1, 0.03571443), (2, 0.03571443), (3, 0.03571443), (4, 0.03571443), (5, 0.03571443), (6, 0.03571443), (7, 0.03571443), (8, 0.03571443), (9, 0.03571443), (10, 0.03571443), (11, 0.03571443), (12, 0.03571443), (13, 0.5357124)]",13
只有河南·戏剧幻城,4.5,门票🎫：一日票290可以选择一个主剧场，二日票490可以看三个主剧场，时间安排合理是可以把21个全部看完的，我一日票一天看了八个小剧场。火车站剧场🚉：提前半个小时开始检票，不用很早就入场，因为第一幕的剧场是环形的，无论你站在哪个位置都一样的。第二幕是分开十几个小房间的，可以坐着，每个房间的剧情都不同。第三幕尽量站在舞台中间，可以近距离观看。第四幕一定不要坐在前排！虽然离演员很近，后面大部分表演都是在麦田里，我就是坐在第一排很难看到，可以坐在中间的位置。小剧场首推第七车车辆厂礼堂5🌟：由一个傲慢的主持人视角进入了1923年二七大罢工、1958年文艺汇演、1988年改革开放以及现代的剧情，很精彩一定要看。红庙学校4🌟：第一幕在室外，座位不多，其余的人可以站着。第二幕在室内上课，分为两个教室不同的课目。互动性很强很愉快的戏剧体验，就是排队时间太长了，好在可以坐着休息。张家大院4🌟：这个是最精彩的室外剧场，可以早点去有座位尽量坐在前排，去晚了只能站在。李家村茶铺3🌟：也是很热门的剧场，笑点比较低，互动性强，属于比较欢乐的剧情。老库房3🌟：刚开始音乐表演一惊一乍的，有小孩和老人心脏不好不适合观看，最后可以一起上台蹦，互动性强适合喜欢热闹的人看。覆斗书院2🌟：户外表演，艺术成分太高。坤台1🌟：户外舞蹈表演，没意思舞蹈也不好看。曹操的麦田1🌟：演员的扮相不符合曹操，表演浮夸，剧情也不好看。⚠️一定要提前看到今天的节目单，尽量把自己想看的剧场衔接起来，多跑几步就会有机会，走的慢了队就排满了。里面的吃的都还能接受，种类很多有，矿泉水是三块钱。看灯光秀最后出来看就行了，出门左边走有公交站可以坐到紫荆山地铁站或者鲁庙地铁站。,傲慢 愉快 欢乐 热闹,negative,0.6995511054992676,"[(0, 0.014285768), (1, 0.014285768), (2, 0.014285768), (3, 0.014285768), (4, 0.814285), (5, 0.014285768), (6, 0.014285768), (7, 0.014285768), (8, 0.014285768), (9, 0.014285768), (10, 0.014285768), (11, 0.014285768), (12, 0.014285768), (13, 0.014285768)]",4
只有河南·戏剧幻城,4.0,小朋友看了火车站，看了苏轼。觉得有点恶搞了她的大偶像。整体还可以。,恶搞,negative,0.7404167652130127,"[(0, 0.035714626), (1, 0.035714626), (2, 0.035714626), (3, 0.035714626), (4, 0.035714626), (5, 0.035714626), (6, 0.53570986), (7, 0.035714626), (8, 0.035714626), (9, 0.035714626), (10, 0.035714626), (11, 0.035714626), (12, 0.035714626), (13, 0.035714626)]",6
只有河南·戏剧幻城,0.5,特别恶心 台词低劣什么下有儿孙 儿女双全 我配蒸馒头蒸你个大头鬼🤮,低劣,negative,0.9940508008003236,"[(0, 0.035714626), (1, 0.035714626), (2, 0.035714626), (3, 0.035714626), (4, 0.035714626), (5, 0.035714626), (6, 0.53570986), (7, 0.035714626), (8, 0.035714626), (9, 0.035714626), (10, 0.035714626), (11, 0.035714626), (12, 0.035714626), (13, 0.035714626)]",6
只有河南·戏剧幻城,5.0,今天和家人一起去的，虽然不是什么重大节假日，是一个周日，但是人还是挺多的，第一场进来在路上拍了拍照，四大之一小剧场（忘了具体哪个）就没有排上，所以如果特种兵刷特别多的剧目的话，还是建议绕开拍照人群直接往里冲。其中最喜欢的还是曹操的麦田，演员对于节奏和行走和台词的情绪这些把握我都很喜欢，虽然我是完全历史废还是进场之前查的官渡之战，但是在演员带领下情绪属于完全沉浸，节奏非常喜欢，第二喜欢的是苏轼，除了本人实在没有艺术能力欣赏最后的化鸟环节都很不错其他看的几个感觉都比较平平无奇，大剧场选的是李家村，确实感觉最后扬麦子铲麦子那里有点时间过于漫长。李家茶铺感觉也一般，互动表现还能笑一下，演员和灯光等互动有点僵硬了，好几次听不清灯光在喊什么整体一天下来1大剧场➕5小剧场还是属于比较连贯下来的，中午有休息30分钟在宋街吃的小吃，不咋贵能接受，总体下来还是很震撼很满意的,不错 平平 确实 僵硬,negative,0.5285359621047974,"[(0, 0.014285803), (1, 0.014285781), (2, 0.014285781), (3, 0.014285781), (4, 0.014285781), (5, 0.014285798), (6, 0.8142847), (7, 0.014285781), (8, 0.014285791), (9, 0.014285801), (10, 0.014285796), (11, 0.014285798), (12, 0.014285781), (13, 0.0142857935)]",6
