关键词,标题,提问时间,提问内容,地方,官方答复,答复时间,提问内容_positive_probs,提问内容_negative_probs,官方答复_positive_probs,官方答复_negative_probs
病毒,宠物乱象问题怎么解决,2022-07-31 12:55,尊敬的书记先生，本人于今年7月24日在临汾市尧都区建设街564号**宠屋购买一只宠物狗，买下时商家承诺宠物健康无疾病且已接种一针疫苗。在交付时末能提供该狗的健康证明及疫苗接种证明。7月28日发现宠物狗有拉稀行为，并开始轻微呕吐。询问商家商家说吃坏肚子需喂益生菌7月29日上午见宠物狗病情未见好转，带狗去宠物医院诊疗，检测出细小病毒和犬冠病毒，了解过程中这两类病毒具有潜伏期。医生告知原告该治愈率极低并且治疗费用高昂。随即找到商家商家不予理睬，请问宠物这种问题该向哪个部门反映并且能合理解决问题。,留言对象：山西省临汾市委书记闫晨曦,"       网友您好，您的留言已收悉，并交由市农业农村局办理，现将办理情况反馈如下：
       经核实，根据宠屋经营者提供的免疫记录显示：反映人购买的宠物犬已于2022年7月15日注射了犬瘟热、腺病毒2型、副流感、细小病毒四联活疫苗。据反映人描述和交易记录显示：7月24日，宠屋经营者将该犬出售给反映人；7月27日，该宠物犬出现轻微呕吐、拉稀症状；7月31日，该宠物犬死亡。据临汾经济开发区雅康新宠物医院执业助理兽医师判断：反映人所购买的柯基公犬发病原因可能是体质较弱，抵抗力不强，加上月龄较小，又换了新环境，这一系列的原因导致了该犬发病，经检测发现该宠物犬携带的犬冠病毒、犬细小病毒无法确定与华姐宠屋有直接关系。经执法人员调解，双方协商一致达成和解协议，宠屋经营者退还反映人购犬费用。",2022-08-24 17:15,0.0059,0.9941,0.0036,0.9964
病毒,建议全长春市消毒,2022-03-21 10:21,应该全市消毒，舒兰前年新冠全市消毒，马路、小区、下水、全消毒，把病毒灭杀在空气中。,留言对象：吉林省长春市市长王子联,"尊敬的网友：
    您好！收到您的留言后，长春市政府对此高度重视，责成市卫生健康委员会核实情况，回复结果如下：
    首先对您提出的建议表示感谢。目前长春市已结合当前疫情形势制定了《新冠肺炎疫情环境消毒实施方案》，由相关单位按照方案要求做好全市主要道路和环卫设施的清洁卫生工作，对封控区周边的小巷及各类环卫设施垃圾存放点周围开展不少于2次的预防性消毒工作。
    感谢您的留言，欢迎继续对我们的工作予以监督和支持。",2022-03-28 21:05,0.0978,0.9022,0.9638,0.0362
病毒,公共卫生间治理与防疫建议,2023-01-03 16:20,"城市的公共卫生间 有很常见现象 有使用者有使用后不冲水 或者 不及时冲水情况，这首先是污染了公共卫生间的环境和空气影响了市容市貌，同时，人的排泄物暴露在空气中长时间 就会形成病毒的气溶胶传播，同时因为公共卫生间又是 大量人员日常都会接触的空间，这样就会 产生传播病毒的隐患，交叉裂变传染。 

  建议改进改造 公共卫生间 蹲坑 的冲水 按键在人的正前方手可以触及的范围 现在大多数一般是在人身后 用脚踩才可以，同时配合宣传教育 让大家养成 排便立即冲水的习惯，这样一方面可以提高大家生活环境的质量，又可以对防治疫情有一定积极的效果，同时针对男厕所小便池异味现象 希望要求保洁人员每天用 84消毒液冲洗消除，可以解决问题",留言对象：北京市委书记尹力,您好，针对您所述的问题已收悉，同时建议您关注官方发布的消息。感谢您的信任和关注！,2023-01-04 23:33,0.0676,0.9324,0.95,0.05
病毒,供水公司施工单位遗留小区垃圾清理问题,2022-03-23 17:05,民生路22号民香小区正门民生东五道街遗留下大批香坊区供水公司施工后的垃圾，沙子混凝土乱七八糟的，跟冰雪混合后都是泥巴了，遗留的沙子混合着泥土，占据了大部分小区的走路地面，已经一年了不清理，现在冰雪融化搞的很脏，一摊摊的造成病毒细菌大量繁殖，尤其现在防疫形势严峻，这种情况更加剧病毒的滋生，极大的危害防疫,留言对象：黑龙江省哈尔滨市香坊区委书记,"网民朋友：
       您好！感谢您的留言。您反映的问题已由香坊区信访局交办，现将相关情况回复如下：
       经核实，3月25日香坊区老旧小区改造指挥部联合承建单位及物业公司对民香小区范围内5号楼、8号楼、9号楼附近所有花坛、人行路、广场上的生活、建筑垃圾、积雪、施工器材进行了全面清理。
       如您再有需要，请拨打香坊区老旧小区改造指挥部电话：0451-87267991。",2022-04-02 10:27,0.0034,0.9966,0.1189,0.8811
病毒,​战胜新冠肺炎我的几点建议,2022-04-18 15:12,"战胜新冠肺炎我的几点建议
——新冠肺炎传播途经的几点分析：
切断传播途经是控制传染病的一个有效办法，传播途经分很多种，呼吸道疾病的传播途经以空气传播为主要途经，但是间接传播也是不可忽视的途经，我们从各视角来分析一下：
一，空气里带病毒的颗粒与气溶胶直接传播大家比较理解，用的方法也知道用佩戴口罩来预防。
二，间接传播的路经：病人或无症状感染者的呼吸、咳嗽、打喷嚏、鼻涕、痰液等病源物直接排放在空气或地面及一些物品表面，排放在空气里的这些病毒源也与空气里的水分结合慢慢沉降于地面或物品表面；这些病源体在空中的停留时间长短与空气的湿度有关，冬天空气干燥没有水分与这些病源体结合，这些病源体在空气中漂浮时间就越久，空气传播的概率就越高。到春夏天空气湿度高，这些病源体的颗粒与气溶胶很快与空气中的水分结合，自身重量增加而下沉下来，春夏天多雨季节，雨水也清洁空气里的颗粒下沉至地面并冲走。
三，我的几点建议：
1，增加空气湿度是预防呼吸道传染病的一个有效办法，我们可以利用高层建筑物进行雾化空气，对高危病区进行全天候加湿及地面进行定期冲洗。有必要的时候进行人工降雨工程。
2，佩戴面罩：佩戴口罩手容易接触到鼻口三区，鼻口三角区是呼吸道传染病桥头堡，使用佩戴面罩有效控制手接触到鼻口三角区，佩戴有效过虑功能的面罩同样有效阻止病毒进入呼吸道。
3，佩戴手套：手是间接传播的唯一“桥梁”，佩戴手套能阻止病毒直接污染手部。
4，穿鞋套：我们为控制传染病进行全面的核酸检测，全部人员都要排队隔间一二米距离，但带病毒的人鞋底也带着病毒，因为他家里地面的病毒通过鞋底可以带到外面地面，鞋底是人体接触地面的唯一接触点，地面上的病源体经鞋底到处污染，特别污染到家里，场所。建议出门用鞋套，回家把鞋套集中在一个密封箱里统一处理。
传染病可怕，但科学地了解病毒的传染途经后解决起来也容易，我相信在我们党的领导下，最难的问题都可以解决，加油！",留言对象：浙江省委书记易炼红,"尊敬的网友：
您好，您在人民网上给省委书记的留言收悉，经浙江省卫生健康委员会调查了解，现答复如下：
首先,感谢您对新冠肺炎疫情防控工作的关心和建议。每个人都是自己健康的第一责任人。防控疫情，人人有责,为做好疫情防控工作,我们倡导公众坚持科学佩戴口罩、与人保持安全距离，做到勤洗手、常通风、少聚集、不扎堆，用公筷、分餐制;少去人群密集、空气不流通的公共场所;前往商场、餐厅、酒店、影剧院、体育场、公交、地铁、民航、医院等公共场所，要积极配合落实测温亮码等常态化疫情防控措施。同时,接种新冠病毒疫苗是预防新冠肺炎最经济、最有效、最方便的手段，符合接种条件的人员都应积极参加疫苗接种工作。
感谢您对我们工作的理解和支持！",2022-04-28 18:32,0.9935,0.0065,0.995,0.005
病毒,丙肝药报销,2022-06-07 09:21,本人生孩子检查出丙肝病毒携带者，请问在哪里可以买到吉三代，可以报销吗,留言对象：河南省新乡市获嘉县委书记,"网民您好！您在人民网反映的留言已收悉,现将有关情况反馈如下： 
获嘉县卫健委工作人员立即咨询我县人民医院、中医院、同盟医院，均没有该药物。后与获嘉县疾控中心进行联系，告知该网民可以到新乡市疾控中心门诊进行咨询。如该网民还有其他问题可以拔打卫健委电话4562190进行咨询。",2022-06-10 15:32,0.2889,0.7111,0.5805,0.4195
病毒,北京市西城区或丰台区康希诺苗加强针接种地点,2022-04-28 17:17,想问一下第一针打的康希诺生物的腺病毒疫苗，加强针应该去哪打？,留言对象：北京市委书记尹力,"您好，关于您反映的问题，西城区回复：经区卫生健康委核实，目前西城区可以接种康希诺新冠疫苗的接种点有：新街口街道的西城区第一文化馆临时接种点，位于西城区西内大街147号电话66184175；广外街道的广外养老大厦临时接种点，位于西城区红莲北里10号楼东侧电话63367851。具体也可联系新街口社区卫生服务中心及广外社区卫生服务中心。感谢您对我们工作的理解与支持！
",2022-06-01 13:41,0.0174,0.9826,0.9701,0.0299
病毒,求助,2022-12-06 23:03,        尊敬的领导你好，我是一名乙肝患者，最近两年都在华西医院定期随访检查，看病，拿药，治疗，并在华西办了特殊病门诊，今日惊闻四川大学华西医院乙肝传染科特殊疾病门诊，自2022年12月3日下午起不能再开乙肝抗病毒的药物，韦立得 富马酸丙酚替诺福韦片；之前都是可以正常的开方拿药，乙肝抗病毒治疗不能停药，停药病毒就要反弹不受控制，之前去医院看病医生建议换成这款药，才过了几个月现在这药医院又不给开，请领导们听取广发患者的心声，帮忙处理一下这个问题。,留言对象：四川省成都市委书记施小琳,"网友:
    您好！您反映的问题不在成都市管辖范围，请您向省领导留言板块反映。感谢您对我们工作的支持和理解，谢谢！
",2022-12-09 10:34,0.0786,0.9214,0.974,0.026
病毒,对嘉峪关防疫政策的几点疑问,2022-04-15 23:39,目前嘉峪关各小区实行防疫政策非本小区车辆不允许进入，小区多个出入口封闭，仅留存一个集中出入。但是，只不让外小区车进，人可以随便进不需要任何查验证明。请问，1.是车有病毒还是人有病毒？2.这样的防疫政策导致上下班时间人车集中，严重拥堵，不知道起到了什么防疫作用！3.小区出口集中管理却不管进出的人，不知道这样的防疫政策作用何在？,留言对象：甘肃省嘉峪关市市长刘凯,"网民朋友：
        您好！
        您的留言已收悉，市长非常重视，责成我们妥善处理。现回复如下：
        当前,全国疫情防控形势十分严峻，为严格做好中高风险区“外防输入”工作，全市各小区根据市疫情防控办公室工作要求，原则上只留一个进出口，对小区进出人员和车辆严格管控，非本小区车辆禁止入内，外来人员查验出行码、测温无异常、登记后有序通行，本小区居民凭出入证进出。经我们核实，各小区门口值守人员严格执行防控政策，对进入小区人员进行严格管控，有效避免了人员随意出入的情况。
        下一步，我们将不断加大疫情防控政策宣传力度，依托微信公众号、居民微信群、小喇叭播音等形式向居民宣传我市最新疫情防控政策，引导居民主动配合做好疫情防控工作。继续做好小区门口值班值守，严格、有序、快速查验出入人员信息，做好外来人员登记，不断改进工作方法，做好值班值守工作，努力降低疫情防控工作对居民生活的影响。
        经向您详细说明我市疫情防控政策和下一步工作措施，您表示理解，会积极配合做好疫情防控工作。感谢您对我们工作的关心和支持，欢迎您继续提出宝贵意见和建议。
        祝您身体健康，生活愉快！



                                                                                                                 雄关街道办事处主任：蒲吉俊
                                                                                                                 钢城街道办事处主任：王  炜
                                                                                                                       2022年5月9日",2022-05-12 10:15,0.0027,0.9973,0.1797,0.8203
病毒,新华联广场院内垃圾不清运,2022-03-22 11:35,路南区新华联广场物业以疫情垃圾停运为由，导致小区院内垃圾堆积，易造成病毒传染。,留言对象：河北省唐山市路南区委书记,"尊敬的网民朋友，您好,针对您所咨询的问题答复如下：
经查，因突发疫情，垃圾清运车辆通行受限，新华联广场出现垃圾清理不及时现象。经广场街道协调区环卫处，2022年3月25日，该小区内垃圾已全部清运完毕。目前，所有垃圾日产日清。
感谢您的理解和支持，祝您生活愉快，工作顺利。
",2022-04-07 09:59,0.0026,0.9974,0.2869,0.7131
病毒,农民如何能申办到慢性病证明,2022-07-26 08:59,我母亲患有乙肝长期吃抗病毒药，请问相关领导需要什么样的证明？可以申办到慢性病证明,留言对象：安徽省滁州市定远县委书记,"经调查，合法性母亲之前已将申报慢性病证所需材料送至乡镇卫生院，可能由于病历材料不足，被卫生院退回。医保局工作人员已告知您，可将病历材料带至县医保中心，由中心专家进行审阅，如若材料充足，可当场为您办理慢性病证。
县医保局工作人员与您电话沟通，确定您在本周五前携带病历等材料至县医保中心101办公室，县医保局将安排专人负责协调此事。
感谢您对我们工作的理解和支持，如有不清楚的地方，请与医保局联系。

联系人: 李 斌       联系方式     18714803093 ",2022-08-02 15:54,0.4628,0.5372,0.9438,0.0562
病毒,东庞矿生活区花园变成了菜园,2022-05-28 11:37,本应种花种草的地方被人种了菜，还浇粪又是夏天非常的臭，病毒传播途径又多了一个呢,留言对象：河北省邢台市内丘县委书记,网民您好！经调查，东庞矿生活区属于邢台市信都区管辖，您可以向信都区有关部门反映相关问题。感谢您对我们工作的理解和支持！,2022-05-30 10:16,0.0225,0.9775,0.9504,0.0496
病毒,垃圾清运不及时,2022-12-26 19:27,大东区小北街37-1号院内垃圾点位清运不及时，导致垃圾外溢，存在病毒传播风险，请社区协调尽快处理。,留言对象：辽宁省沈阳市委书记王新伟,    您好！社区已协调京环公司将大东区小北街37-1号院内垃圾及时清运，及时阻断病毒传播风险。问题得到解决。,2022-12-29 08:55,0.0111,0.9889,0.0276,0.9724
病毒,小区内垃圾点位清理不及时。,2022-12-26 19:17,大东区八王寺小区，园区内的垃圾点位清理不及时导致垃圾外溢，存在病毒传播风险，请社区协调尽快处理。,留言对象：辽宁省沈阳市委书记王新伟,"      您好！经调查，社区已联系环卫部门对园区垃圾及时清运，保证园区卫生干净整洁。
感谢您的信任和支持!",2023-01-06 15:36,0.0328,0.9672,0.9759,0.0241
病毒,供热太低，室内不足16度,2022-12-23 07:58,疫情峰值期间，鹿山小区的业主都在家里抗病毒，结果没叫疫情引起发烧，让暖气折腾给冻感冒发烧了。,留言对象：辽宁省大连市旅顺口区委书记,"尊敬的网民：
　　您好！您反映的问题已转区住房城市建设局调查处理，工作人员于12月30日向您反馈具体情况。感谢您对我区发展的关注与支持。",2022-12-30 17:24,0.0347,0.9653,0.9527,0.0473
