内容,主题概率,主题类型
目前嘉峪关各小区实行防疫政策非本小区车辆不允许进入，小区多个出入口封闭，仅留存一个集中出入。但是，只不让外小区车进，人可以随便进不需要任何查验证明。请问，1.是车有病毒还是人有病毒？2.这样的防疫政策导致上下班时间人车集中，严重拥堵，不知道起到了什么防疫作用！3.小区出口集中管理却不管进出的人，不知道这样的防疫政策作用何在？,"[(1, 0.9748613)]",1
路南区新华联广场物业以疫情垃圾停运为由，导致小区院内垃圾堆积，易造成病毒传染。,"[(0, 0.02003293), (1, 0.94009846), (2, 0.01979857), (3, 0.020070083)]",1
我母亲患有乙肝长期吃抗病毒药，请问相关领导需要什么样的证明？可以申办到慢性病证明,"[(0, 0.02359776), (1, 0.92943615), (2, 0.023794554), (3, 0.023171518)]",1
本应种花种草的地方被人种了菜，还浇粪又是夏天非常的臭，病毒传播途径又多了一个呢,"[(0, 0.029065916), (1, 0.02890406), (2, 0.030187806), (3, 0.9118422)]",3
大东区小北街37-1号院内垃圾点位清运不及时，导致垃圾外溢，存在病毒传播风险，请社区协调尽快处理。,"[(0, 0.020816103), (1, 0.9396085), (2, 0.019561864), (3, 0.020013535)]",1
大东区八王寺小区，园区内的垃圾点位清理不及时导致垃圾外溢，存在病毒传播风险，请社区协调尽快处理。,"[(0, 0.018999282), (1, 0.94377697), (2, 0.018405981), (3, 0.018817801)]",1
疫情峰值期间，鹿山小区的业主都在家里抗病毒，结果没叫疫情引起发烧，让暖气折腾给冻感冒发烧了。,"[(0, 0.022580389), (1, 0.93304175), (2, 0.022903323), (3, 0.021474503)]",1
"咨询我在浙江省台州市临海市涌泉镇涌泉中心卫生院何时能接种新冠疫苗第三针加强针？
出生日期2005-02-08,性别男,接种单位涌泉中心卫生院已接种针数2针,第2针疫苗名称新型冠状病毒灭活疫苗（Vero细胞）生产企业名称北京科兴中维，接种时间2021-09-16,第1针疫苗名称新型冠状病毒灭活疫苗（Vero细胞）生产企业名称北京科兴中维，接种时间2021-08-25","[(0, 0.97195596)]",0
慢性病补助都有哪些疾病？乙肝在慢性病补助范围吗？乙肝抗病毒治疗期间可以申请慢性病补助吗？,"[(0, 0.03389866), (1, 0.9028102), (2, 0.03185701), (3, 0.0314341)]",1
领导您好，请问太原市会引进康希诺腺病毒疫苗吗？如果引进了可以在哪个渠道得知去具体哪个社区接种呢？,"[(0, 0.023345547), (1, 0.02353671), (2, 0.92923826), (3, 0.0238795)]",2
摆放距离房子过近，家里经常闻到一阵阵臭味，蚊虫肆虐病毒滋生，严重影响生活望有关部门领导帮助,"[(0, 0.9512481), (1, 0.016295116), (2, 0.015964555), (3, 0.016492218)]",0
"本人于9.28在西安市雁塔区雁塔区丈八东路榕青无界6A1幢101xx商铺     西安哆xx宠物零售有限公司 购买了小狗一只  当天拿回家就出现拉肚子情况  销售售前说这种可能是应急反应  直到10.2号小狗还在拉肚子  就去附近医院检查    检查出来已经患上细小病毒多天    并且这个病毒有7天潜伏期  也就是说 发病前就已经得了这个病 本人才购买第三天 也就是购买前狗狗就带病毒了  前往售卖店铺协商   老板不与协商 
我最后让他们出示相关证件  目前具备合法的营业证件  他们只有营业执照   相关《养殖卫生许可证》《员工健康证》《犬只疫苗证明》他们都拿不出来
最后他们不给发票，正规企业 应该缴纳相应税费 ，但是我询问相关发票，尽然答复是 我们没有发票   不给开具发票 。
","[(3, 0.97476196)]",3
"尊敬的领导，您好！
本人由于咽反射过于敏感，以及过往个人经历导致的心理问题等原因，对于核酸检测咽拭子采样存在恐惧心理而无法很好的完成配合。
疫情之前两年一直在外省，当地社区为有类似困难的小部分人提供了其他替代的采样方式。
不知道我市是否也能有类似的人文关怀？
在全员采样的过程中由此产生的额外支出愿意个人承担，非常感谢！","[(2, 0.973781)]",2
大东区联合路1-2号院，车库旁边的垃圾点位清理不及时导致垃圾外溢，存在病毒传播风险，请社区协调尽快处理。,"[(0, 0.946768), (1, 0.018288655), (2, 0.017187942), (3, 0.017755412)]",0
"目前疫情已经常态化，但奥体中心篮球馆一直没有对外营业
希望能够协调尽早对市民开放，强身健体，抵抗病毒 ","[(0, 0.020559106), (1, 0.019988555), (2, 0.020447003), (3, 0.9390053)]",3
由于当前新冠病毒的严重性，避免交叉感染，建议做核酸真正做到不聚集，到百姓家门口做，这样最安全,"[(0, 0.91198343), (1, 0.029156974), (2, 0.030284569), (3, 0.028575018)]",0
这次疫情特别突出了病毒的强传播能力！尤其是在城关区的疫情发生情况尤为突出！与城关区的公共出行方式有一定的关系！只有城关区严禁动力共享单车投放，而七里河，安宁，西固都可以使用动力共享单车，而避免了乘坐人员拥挤的公交和地铁的乘坐风险！单人快速便捷的动力共享单车的使用对聚集性病毒的传播有一定的抑制作用！所以希望城关区也能够放开动力共享单车的投放使用,"[(2, 0.9746279)]",2
尊敬的领导您好，我投诉沈阳市皇姑区宁山中路18-1号院内有一辆归属北塔街道的环卫垃圾车把外面清扫来的垃圾运进小区院内进行分拣，把可回收纸壳废纸等废品存放在小区车棚中，不仅有极大的火灾隐患。还把垃圾车停放在院内，小区地面被租户弄的脏乱不堪，垃圾车内臭水直流，天热了满小区都是垃圾腐臭味，垃圾中含有大量细菌病毒通过空气传播。影响其他居民的健康，更有感染新冠病毒的危险。,"[(0, 0.9750241)]",0
大东区北顺城路144-1号院，车库旁边的垃圾点位清理不及时导致垃圾外溢，存在病毒传播风险，请社区协调尽快处理。,"[(0, 0.9503591), (1, 0.017053466), (2, 0.015994491), (3, 0.016592901)]",0
"因为遇到以下问题实在无助才求助，提交了相城区12315以及打咨询电话暂无回应：8.22日在相城区澄虹路9号1**室银鱼宠舍购买宠物 在一开始购买时卖家告知宠物已经打全疫苗没有健康问题但并未提供疫苗本或者宠物健康检测证明，中间出现一些咳嗽眼部分泌物多的情况 询问后卖家告诉我是由于品种等原因出现的正常现象，后来两次小狗突发抽搐身体僵直时候还在告诉我不用担心正常现象，听取卖家建议采取喂糖水措施不见小狗好转去了医院，检测结果也表明小狗多处出现问题，切携带潜在病毒 而之前我询问的症状也是炎症的表现，而卖家还在说没有事，现已把狗归还卖家但卖家不退款 
 卖家行为侵犯了消费者的知情权，将带有细小病毒，以及冠状病毒，体检不合格的小狗卖给我， 要求退款并赔偿小狗治疗费用 如能提供帮助，将十分感谢","[(0, 0.97462976)]",0
慢性病人自选的两个医院药物不稳定，经常碰到药吃完了，去拿药，医院药卖完了，要等一段时间，才能拿到，病毒性肝炎的丙酚替诺福韦抗病毒药物，又不能停药，服用的中成药鳖甲软肝片只有阜阳五院有，也是经常拿不到，大多数都自费到合肥买，回来报销的政策又低，想问领导，能不能让慎城镇卫生院进这两个药，或者是颖上县中医院稳定这两个药的供需，谢谢,"[(2, 0.97469604)]",2
大亚湾碧桂园星悦每一层楼道窗户全部封死，窗户无法打开通风，导致楼道有刺鼻异味而无法散去，甚至随业主回家开门进入屋内，现防疫工作仍是社会上的头等大事，而开窗通风仍是抵抗病毒保护公共卫生安全的有效方式，星悦这种不通风的密闭窗户将造成极大的病毒传播风险。为降低新冠肺炎等传染病的传播风险保卫小区业主健康。另外如不幸发生火灾，不能及时排烟通风，也存在消防隐患问题。希望领导有空能协调主管部门督促开发商及时整改,"[(2, 0.97346187)]",2
建议在省、市交界的所有道路、车站、机场设置临时隔离检查点，对来往人员的双码、核酸报告、行程做主动问询，对符合防疫政策流动的人员就地进行落地检测后就地临时隔离，待就地核酸结果正常后方可正常流动(疫情区旅居史和非疫情区旅居史人员分开隔离)。当然，在此期间需要做好人员间距、口罩佩戴、病毒消杀，避免检测期间、休息期间病毒传染。对不符合流动的人员可直接按防疫要求处理。如此可以避免发生该报备不报备、该隔离不隔离的问题。,"[(0, 0.9747636)]",0
"尊敬的区领导：
您好！当前我区有部分地区流浪狗泛滥，存在诸多社会安全问题。1.流浪狗可能携带狂犬病毒，危及人民群众生命安全。2.流浪狗可能大量繁殖，造成本地区流浪狗泛滥成灾，成群结队破坏公共设施、传播各类病毒。3.流浪狗可能嚎叫扰民，半夜影响人民群众正常休息。
希望区领导、有关部门合理解决掉城区内流浪狗问题，为人民群众办实事、办好事，提高人民群众生活的幸福感。","[(0, 0.9750293)]",0
诚挚建议，现在这段时间期间，暂停西安机动车限行，提倡自驾车通勤，减轻公共交通防疫压力，有效减少病毒感染，减轻政府和社会防疫救助压力！,"[(0, 0.9615987), (1, 0.012824415), (2, 0.0127962185), (3, 0.012780684)]",0
郑庄子大街92号8号楼前垃圾桶离一楼居民家窗户太近，夏天味道难闻，滋生蚊蝇，居民害怕有病毒传染。希望重新规划垃圾桶摆放位置。,"[(0, 0.012544997), (1, 0.0124358665), (2, 0.012420597), (3, 0.96259856)]",3
核酸检测便民服务点人太多，排队一小时也做不上，这样聚集的人太多，更加有感染病毒的风险，请领导给解决一下，谢谢,"[(0, 0.94810325), (1, 0.0172906), (2, 0.017521044), (3, 0.017085081)]",0
我是在昌图县（没有新冠病毒感染者的地区）工作的长春人，想咨询一下最新的防疫政策，我返回长春前需要做哪些准备？,"[(0, 0.022782473), (1, 0.93385273), (2, 0.021894075), (3, 0.021470703)]",1
现在保定市人民医院不开门接诊，我已经好几个月没有诊断了，正在进行抗病毒治疗，药不能停，望领导对医院正常接诊做安排。,"[(0, 0.023158291), (1, 0.92940027), (2, 0.023837686), (3, 0.023603695)]",1
"我去这个医院给猫检查，检查完说的猫得了冠状病毒需要打针。因为我不懂这个，回家百度了一下，说是看冠状病毒的试纸上有两道杠才是阳性，可是我的试纸上只有一道杠。本来想着问清楚点自己放心，就把照片发给这个医院的医生帮我确定一下，然后他非说的确是两道杠。我不太相信他，就在网上花钱找了好几个宠物医生看了一下，网上的宠物医生都是只看照片的确只有一道杠。
最后我把别的医生说的内容发给他看，他就各种狡辩，推托","[(0, 0.010077812), (1, 0.010105532), (2, 0.010232584), (3, 0.96958405)]",3
"领导您好：根据国家、省、市各级文件，序贯接种新冠疫苗第三针已经开放，允许前两针打灭活疫苗前提下，第三针打安徽智飞重组蛋白或康希诺腺病毒。
本人前两针为科兴灭活疫苗，第三针希望打康希诺腺病毒疫苗。但雨花亭街道卫生服务中心接种人员只允许接种同类型灭活疫苗。经12345市长热线反馈，左家塘工作人员回复我两针灭活的加强针序贯接种只能打安徽智飞，不允许打康希诺，请问哪里可以打康希诺？","[(1, 0.9743072)]",1
做核酸人太多，排队时间过长，希望增加检测点数量,"[(0, 0.92256063), (1, 0.02604474), (2, 0.025662582), (3, 0.025732102)]",0
"三水区是否有流感疫苗接种，听说今年的疫苗抗原成分包含针对流感病毒流行株，请问如何预约打？在那里预约？多少钱一针，打多少针？
","[(0, 0.018043436), (1, 0.018297754), (2, 0.94556004), (3, 0.018098745)]",2
323楼3单元有业主养鸡，一年有余，经常带鸡在小区四处走动，禽流感隐患和鸡粪病毒传播。物业表示没见过，也不能定位具体单元户，所以管不了。,"[(0, 0.01444682), (1, 0.014484358), (2, 0.014311601), (3, 0.9567572)]",3
"领导您好，现在小区垃圾肆意堆放，无人管理清理。给居民带来很严重的生活困扰。
恰逢沈阳疫情防控重要阶段，如垃圾堆放会产生细菌，病毒滋生。责任谁来负责。","[(0, 0.9633837), (1, 0.012531603), (2, 0.012031821), (3, 0.01205287)]",0
严重扰民，噪音太大，灰尘太大，病毒大，家人孩子出现感冒，喉咙疼，物业不管，公共场地，物业不该占用。这种有污染的，应该处理到该处理的点去弄，他们这样完全不合理！,"[(0, 0.0176166), (1, 0.9472643), (2, 0.017770993), (3, 0.017348094)]",1
西城区阜成门万通金融中心与3月17日停止供暖，违反北京市要求供暖至月底的要求，天气寒冷，上班人员容易感冒，对病毒抵抗力下降，影响防疫工作。,"[(0, 0.962723), (1, 0.012495915), (2, 0.012529117), (3, 0.012251948)]",0
从12月17以来，暖气停止供暖，打热线电话无人接听，收费不作为，没有服务意思，现在大家都在家抗击病毒确得不到合理正常的供暖服务！希望政府领导关注民生，早点解决！,"[(0, 0.014621653), (1, 0.013920836), (2, 0.95735765), (3, 0.014099849)]",2
飞跃路与富民大街交汇，早上有很多人露天剪发，碎发乱飞，污染环境，尤其是这特殊时期还有可能传播病毒，影响城市面貌，有损长春市形象，希望有关部门能治理。,"[(0, 0.011691804), (1, 0.011690674), (2, 0.011346109), (3, 0.96527135)]",3
北京市防疫政策中，14日内有1例以上(含1例)本土新冠病毒感染者所在县(市、区、旗)旅居人员严格限制进返京。其中的所在县(市、区、旗)应该如何界定？,"[(0, 0.01834988), (1, 0.9445806), (2, 0.019051056), (3, 0.018018452)]",1
1.15号楼旁边垃圾堆不及时清理，容易引发蚊蝇滋生病毒。2.南门消防通道每天早上变成运送垃圾，摆放一大堆垃圾桶，气味难闻且全是细菌,"[(0, 0.013448481), (1, 0.013073331), (2, 0.012845683), (3, 0.9606325)]",3
"1、目前世纪康城用水为自备井（2015年4月8日，就因管道破裂导致诺如病毒感染）；
2、请领导给予解决老百姓用水问题；期待用上市政供水；
谢谢。
","[(0, 0.0144899385), (1, 0.0143870525), (2, 0.0143832015), (3, 0.9567398)]",3
从上海现有的状况看，建议在做好现有疫情防控工作的同时，每天进行城市环境的大消杀，特别是对重点区域增加消杀次数，相信对消灭和阻断病毒的传播起效又快又好。,"[(0, 0.3210229), (1, 0.65498406), (2, 0.012134963), (3, 0.01185806)]",1
"书记：您好。
    “青羊小区综合市场”居然开设在“青羊东二路125号”小区内部，居民生活区与农贸市场搅合在一起， 居民无论出门或回家，都必须经过拥挤的农贸市场。 众所周知，农贸市场人头攒动，熙来攘往，摩肩接踵，而且进出人员复杂且流动性强，非常容易发生新冠病毒交叉感染。 本小区居民都盼望该市场尽快迁出，减少病毒交叉感染的机会。
     在青羊小区的西安北路三巷74号有大约三百多平方米的空地， 该空地至少已闲置了一年半，完全可以在那里建多层农贸市场？","[(2, 0.9749917)]",2
生活中发现，雅居乐湖居笔记社区周边存在多数流动商贩不戴口罩经营问题。在疫情防控日益严峻的情况下，建议领导重视流动商贩的疫情管控措施的实施。原因有三：一是流动商贩活动频繁，一般是一天内在多地辗转，如果发生疫情防控问题，防控较难，同时也给疫情防控流调带来困难。二是当前新冠病毒的传染性逐渐增强，其传播速度甚至超过了麻疹病毒。三是流动商贩一般不具备执行扫码看红绿等防控措施能力，这给疫情防控带来了很大漏洞。,"[(1, 0.9746552)]",1
楼顶违建，建设鸽子笼子约100多平方米高约1层楼高，前阵子楼顶房檐大面积脱落，居民区养鸽子疫情时期易产生病毒，楼下都是鸽子屎和毛，不敢开窗,"[(0, 0.96099573), (1, 0.012792448), (2, 0.012785166), (3, 0.013426657)]",0
永城水木清华园20号楼楼下，多只流浪猫，夜晚啼叫，白天，夜晚乱窜，由于流浪猫身上携带狂犬病毒，沙门氏菌，弓形虫，体外奇生虫等，已反应给小区物业并未处理,"[(0, 0.012308753), (1, 0.96350306), (2, 0.012056645), (3, 0.012131581)]",1
核酸检测，去掉“纸质登记”环节，免于“填写表格”时携带、感染病毒。“核酸条码”增加获取电话号码功能，群众用手机扫码时，系统自动获取、保留联系方式。谁阳性，电话多少，一目了然。,"[(0, 0.97078747)]",0
入冬以来室内温度一直就是13-14摄氏度，当前新冠病毒肆虐，只能居家办公，实在承受不了，也曾多次联系过供热公司，无果，恳请领导为民做主，快速解决民生问题！谢谢,"[(0, 0.011838602), (1, 0.011281546), (2, 0.9652795), (3, 0.011600275)]",2
九洲湾景汇自今年供暖开始居民室内温度就不达标。现给热力公司打电话无人接听。目前居民在家忍受新冠病毒的同时还忍受着冻感冒的双重痛苦，请领导们关注下民众的冷暖！,"[(0, 0.9675895), (1, 0.010714795), (2, 0.010892521), (3, 0.010803221)]",0
青秀区紫荆路B***号娱乐场所F****仍无证经营，以接待朋友名义，低调继续无证经营，且不符合娱乐场所疫情管控政策，很容易造成人员聚集，病毒传播，希望相关部门做好管理,"[(0, 0.96282), (1, 0.012419336), (2, 0.012398711), (3, 0.012361947)]",0
南昌县蒋巷镇抽水站高梧站附近，6.7只附近单位养的狗追路过行人，时刻都有咬人危险，如果是小孩路过极易咬伤，且不知是否野狗，带狂犬病毒与否，望往政府部门处理。,"[(0, 0.014279474), (1, 0.95761156), (2, 0.014067894), (3, 0.014041142)]",1
 延安巷52号，将小区内垃圾分类桶倒放不让居民使用，反而故意在居民楼二楼及以上每层楼道设置不分类的垃圾桶，造成鼠患在居民楼内滋生，细菌病毒直接在楼道扩散传播 ,"[(0, 0.012523895), (1, 0.012716012), (2, 0.012748542), (3, 0.9620115)]",3
"陈市长您好：
   由于求学的原因需要往返于北京和天津两座城市之间。防疫方法是随着疫情的不确定性而改变，就进出京文件当中的，县(市、区、旗，)地域问题向您咨询。
   以下是进出京政策部分内容：
   进京的防疫政策是，7天内有1例及以上本土新冠病毒感染者所在县(市、区、旗，下同)旅居史人员严格限制进返京，对有1例及以上本土新冠病毒感染者所在地级市其他县人员、陆路边境口岸所在县人员不再限制进返京。
   出京政策是，北京市中高风险地区人员、“北京健康宝”弹窗人员继续严控出京。其他人员出京不受限制，但不得前往7天内有1例及以上感染者所在县。
    上面进京写到“县(市、区、旗，下同)旅居史人员严格限制进返京，对有1例及以上本土新冠病毒感染者所在地级市其他县人员”。
    出京也提及到“县”
    天津作为一个直辖市她所对应进出京政策里提及到的县(市、区、旗）和地级市，是不是直辖市里的街道和区。

     此致

    ","[(1, 0.97494864)]",1
我于1月6日晚在怡康药店高陵车城花园店买了两瓶四季抗病毒合剂。原本38块钱一瓶的药，两瓶要了我100块。在疫情特殊时期，这么哄抬药价不好吧,"[(0, 0.01435685), (1, 0.9571267), (2, 0.014418251), (3, 0.0140982345)]",1
巩义市学院路碧桂园一期物业在小区内部乱建垃圾场，并把其他小区的垃圾拉倒本小区的建的垃圾场地，且长时间不清理，垃圾堆积，病毒和细菌给小区居民带来巨大困扰。,"[(0, 0.012459641), (1, 0.012540623), (2, 0.012289351), (3, 0.9627103)]",3
郑州市第一人民医院南院区位于航空港区梅河路遵大路交叉口，作为郑州市新冠病毒定点救治医院后续如何发展，新冠疫情常态化，医院是否还对外运营。,"[(0, 0.0139677), (1, 0.9582131), (2, 0.013857911), (3, 0.013961292)]",1
"现在正处于疫情防控期间，太原市等很多地区严格管理，
很多地区都有确诊病例，疫情病毒蔓延很快，为什么临汾教育部门还不通知学生上网课 难道教育部门不应该采取措施吗
","[(0, 0.015461936), (1, 0.015187478), (2, 0.0153274685), (3, 0.9540231)]",3
随着今年省内外疫情的办法，安徽省以出现多例新冠病毒感染者，教师招聘考试报考人员多，跨度广，往返时间人口流动性大，27号考试在即，不知道本次考试是否会延期进行。盼回复，谢谢,"[(0, 0.013301316), (1, 0.013479917), (2, 0.95992184), (3, 0.013296937)]",2
