文本,新颖性,科学价值,可行性,研究基础,申报书质量,分词
该项目拟使用锰催化剂实现二种醇和膦氢化合物的脱氢缩合加成等串联反应，从而实现含膦配体的高效合成，项目具有很好的创新性，也具有一定的挑战性，比较很多膦氢化合物可以作为配体。本项目拟用多齿配体来解决这类竞争配位的问题。另外一个就是在醇脱氢得到相应的醛时膦氢也会加成，但有利的一面是这种加成反应是可逆的，也正好可以利用这一反应，解决膦氢化合物的毒化问题申请人在锰催化的三组分反应方面已取得了很好的研究进展，相应的工作发表在. .和上，该研究对进一步拓展锰催化的有重要的价值和意义申请人有很好的研究基础，研究方案也具有可行性，研究目标明确，研究内容充实建议优先资助,1,1,1,1,0,项目 催化剂 二种 醇和 化合物 脱氢 缩合 加成 串联 含膦 配体 高效 合成 项目 很好 创新性 挑战性 化合物 配体 项目 拟用 配体 解决 竞争 配位 脱氢 加成 加成反应 可逆 正好 利用 解决 化合物 毒化 申请人 催化 组分 很好 研究进展 工作 发表 研究 进一步 拓展 催化 价值 意义 申请人 很好 研究 基础 研究 方案 可行性 研究 目标 研究 内容 充实 建议 优先 资助
申请人开展的工作是新型活性染料，活性源自卡宾化学反应性。与传统的活性染料相比，潜在可用于相对化学惰性的材质的活性染色，具有较大的创新性与应用潜力。符合需求牵引，突破瓶颈的科学属性。项目团队没有硕士生，仅有两名博士生与三位高级职称研究人员，组成不太合理，建议加强团队研究生比例。项目经费为70万，较面上项目建议平均经费更高，材料费的经费预算似有不合理之处。计算机是否算设备，需要进一步核实一下。该类二氮丙啶类化合物的活性高，可能有爆炸风险，在大量制备时有潜在安全风险，请予以关注。,1,1,0,0,-1,申请人 工作 新型 活性染料 活性 源自 卡宾 化学反应 传统 活性染料 相比 潜在 用于 化学 惰性 材质 活性 染色 较大 创新性 潜力 符合 需求 牵引 突破 瓶颈 科学 属性 项目 团队 硕士生 两名 博士生 三位 高级职称 研究 人员 建议 团队 研究生 比例 项目 经费 面上 项目 建议 平均 经费 材料费 经费 预算 不合理 计算机 设备 进一步 核实 该类 类化合物 活性 爆炸 风险 制备 潜在 风险 予以 关注
申请人瞄准的是一个行业问题，及纱线上浆退浆。该过程的关键是上浆高效牢固，且退浆容易。如何能够实现上述两个似乎矛盾的要求，是本项目拟解决的问题。申请人提出了利用氧化还原控制的蛋白浆料实现开关式的上浆退浆思路。具有非常强的创新性。工作也有很好的研究基础，有望形成有价值的研究成果，改变行业过程现有工艺路线。建议优先资助。,1,1,0,1,0,申请人 瞄准 行业 纱线 上浆 退浆 过程 关键 上浆 高效 牢固 退浆 两个 矛盾 项目 解决 申请人 提出 利用 氧化 还原 控制 蛋白 浆料 开关 上浆 退浆 思路 创新性 工作 很好 研究 基础 有望 价值 研究成果 改变 行业 过程 现有 工艺 路线 建议 优先 资助
申请人利用纳米技术精准构建一系列金属纳米颗粒和手性染料分子杂化结构，在不同耦合尺度上，例如一维阵列，二维超晶格阵列，以及三维扭曲螺旋超结构等，研究等离激元-激子手性相互作用，深入揭示金纳米颗粒和手性染料分子杂化结构的构效关系及理化机制，并进一步拟实现特定数量的手性分子的探测，为单分子手性探测的极限目标提出新方法和新原理。该项目的研究方案具有一定的新颖性和独特性，建议资助。精准构建新型金属纳米结构与手性分子的杂化体系，有望在光子学，光电子学，催化领域展现更多功能和广泛应用。申请人利用纳米技术，精准构建新型多级次手性分子与金属纳米颗粒杂化结构，在单颗粒以及超结构两方面研究其中的多尺度耦合相互作用，深入阐明构效关系，揭示物理化学机制。该项目对推动新型纳米手性光学功能器件的发展及拓展相应领域的应用提供方法及技术基础，具有重要意义。申请人长期致力于纳米技术，纳米自组装与手性等离激元光子学前沿交叉研究领域，积累了扎实的研究经验，在手性等离激元纳米结构及其与分子耦合杂化结构的设计制造，结构调控以及手性光学效应研究方面也取得了一系列重要研究成果，发表了一系列高水平论文，具有很好的相关工作基础，可以很好的进行该项目。建议字体字号要按照申请书要求准备。,1,1,1,1,-1,申请人 利用 纳米技术 精准 构建 一系列 金属 纳米 颗粒 手性 染料 分子 杂化 结构 耦合 尺度 一维 阵列 二维 晶格 阵列 三维 扭曲 螺旋 结构 研究 离激 激子 相互作用 揭示 纳米 颗粒 手性 染料 分子 杂化 结构 构效 关系 理化 机制 进一步 特定 数量 手性 分子 探测 分子 探测 极限 目标 提出 方法 原理 该项 目的 研究 方案 新颖性 独特性 建议 资助 精准 构建 新型 金属 纳米 结构 手性 分子 杂化 体系 有望 光子 光电子学 催化 领域 展现 多功能 广泛应用 申请人 利用 纳米技术 精准 构建 新型 多级 手性 分子 金属 纳米 颗粒 杂化 结构 颗粒 结构 研究 尺度 耦合 相互作用 阐明 构效 关系 揭示 物理化学 机制 项目 推动 新型 纳米 光学 功能 器件 发展 拓展 领域 提供 方法 技术 基础 意义 申请人 长期 致力于 纳米技术 纳米 组装 手性 离激 光子 前沿 交叉 研究 领域 积累 扎实 研究 经验 在手 离激 纳米 结构 分子 耦合 杂化 结构 设计 制造 结构 调控 光学 效应 研究 一系列 研究成果 发表 一系列 高水平 论文 很好 相关 工作 基础 很好 项目 建议 字体 字号 申请书
"实现贵金属的选择性提取和放射性元素的有效捕获是事关经济社会发展的前沿课题。项目围绕有机多孔材料应用在该领域存在的吸附量有待提高、效率有待提升等问题，拟通过将氮杂卡宾功能砌块前体（1,2,4-三氮唑，需用碱拔氢变成氮杂卡宾）构筑到分子笼、和中，发展系列结构有序的聚氮杂卡宾吸附剂，用于贵金属的选择性提取和放射性元素的捕获。但需要注意的是，项目中所说的“聚卡宾”、“有序多孔聚卡宾分子筛”准确来说，属于聚氮杂卡宾的范畴；而与“聚氮杂卡宾”相关的工作，已经被和领域国内外的专家（例如. 20, 2, 7363-7368.）报道过；因此概念上的新意，需要进一步斟酌。可资助。三氮唑需要碱拔氢成卡宾，的稳定性可能存在不足。此外，乙烯聚合后会生成柔性的烷基链，所生成的氮杂卡宾是否会因为材料结构的柔性而生成二聚结构，从而影响吸附性能？建议申请人针对上述问题进行进一步说明。",-1,1,-1,0,-1,贵金属 选择性 提取 放射性元素 捕获 事关 经济社会 发展 前沿 课题 项目 围绕 有机 多孔 材料 领域 吸附 有待 提高 效率 有待 提升 卡宾 功能 砌块 前体 需用 碱拔 卡宾 构筑 分子 发展 系列 结构 有序 聚氮 卡宾 吸附剂 用于 贵金属 选择性 提取 放射性元素 捕获 项目 所说 聚卡宾 有序 多孔 聚卡宾 分子筛 准确 聚氮 杂卡宾 范畴 聚氮 杂卡 相关 工作 领域 国内外 专家 报道 概念 新意 进一步 斟酌 资助 碱拔 卡宾 稳定性 乙烯 聚合 生成 柔性 烷基 生成 卡宾 材料 结构 柔性 生成 结构 影响 吸附 性能 建议 申请人 进一步
"该项目属于“聚焦前沿，独辟蹊径”型科学问题，项目提出的原位激活锚定肿瘤治疗纳米催化材料是具备了创新性和原创性的研究思路，为研究特定催化体系在肿瘤治疗中的作用机制提供了丰富的材料模型和有效的构建方法。该项目提出了一种新的策略，针对肿瘤微环境与正常健康组织的差异，合成一种将内源性反应和外源性激活的多种治疗方法结合在肿瘤治疗中结合为一体的纳米催化材料，其体外治疗效果显著。现有的多种纳米催化药物所面临的重要问题之一是在肿瘤区域停留时间短，难以在肿瘤部位富集，该策略旨在提高纳米催化材料在肿瘤部位的浓度和停留时间，阐明其在肿瘤治疗中的生物学作用和机制。通过使用温和的化学交联片段，可以实现纳米催化材料在肿瘤部位的特异性锚定，提高纳米催化材料在治疗肿瘤，特别是治疗转移性肿瘤中的治愈率，并将其发展成为一种新的临床治疗方法。项目组提出的纳米催化体系锚定概念，为研究肿瘤治疗中特异催化体系的机理提供了准确的材料模型和有效的构建方法。 其中通过活性氧触发/调控醛释放策略的亮点在于纳米前药在肿瘤微环境中释放的醛基可以与生物体系中富含氨基和巯基等亲核性化学基团在温和环境下发生类点击反应，实现释放基团在 高表达区域的锚定。基于此，项目提出发展具有醛基释放性能的配体平台,结合纳米催化材料实现纳米催化材料在肿瘤特定区域的原位锚定。且项目计划构建一系列不同形貌、尺寸的纳米复合结构，瞄准一些易转义、恶性程度高的癌症对纳米催化材料进行疗效评估，计划为恶性肿瘤提供高效、高特异性的研究手段。研究思路清晰，研究内容明确，研究视角独特，符合聚焦前沿、开拓新路的特点。该项目的实施有望促进纳米催化材料的临床应用，对改善国民健康有重要意义，而且对社会和经济发展也有贡献。项目组具备开展本研究所需的专业知识和技术手段，前期在生物分子检测与成像、激活剂药物构建、原位及转移性肿瘤诊断与治疗等方面的研究工作，均取得阶段性创新成果。综上所述，构建原位激活锚定肿瘤治疗纳米催化材料是一个具有创新性和原创性的研究思路，有可能解决迫切需要新的有效的癌症治疗策略。项目小组有能力承担这一具有挑战性的项目，项目的成功可能对改善国民健康和促进社会和经济发展产生重大影响。",1,1,1,1,0,项目 聚焦 前沿 独辟蹊径 科学 项目 提出 原位 激活 锚定 肿瘤 治疗 纳米 催化 材料 具备 创新性 原创性 研究 思路 研究 特定 催化 体系 肿瘤 治疗 作用 机制 提供 材料 模型 构建 方法 项目 提出 一种 策略 肿瘤 环境 健康 组织 差异 合成 一种 内源性 外源性 激活 多种 治疗 方法 肿瘤 治疗 一体 纳米 催化 材料 体外 治疗 效果显著 现有 多种 纳米 催化 药物 面临 肿瘤 区域 停留时间 难以 肿瘤 部位 富集 策略 旨在 提高 纳米 催化 材料 肿瘤 部位 浓度 停留时间 阐明 肿瘤 治疗 生物学 作用 机制 温和 化学交联 片段 纳米 催化 材料 肿瘤 部位 特异性 锚定 提高 纳米 催化 材料 治疗 肿瘤 特别 治疗 转移性 肿瘤 治愈率 发展 一种 临床 治疗 方法 项目组 提出 纳米 催化 体系 锚定 概念 研究 肿瘤 治疗 特异 催化 体系 机理 提供 准确 材料 模型 构建 方法 活性氧 触发 调控 释放 策略 亮点 纳米 前药 肿瘤 环境 释放 生物 体系 富含 氨基 巯基 等亲 核性 化学 基团 温和 环境 发生 点击 释放 基团 表达 区域 锚定 项目 提出 发展 释放 性能 配体 平台 纳米 催化 材料 纳米 催化 材料 肿瘤 特定 区域 原位 锚定 项目 计划 构建 一系列 形貌 尺寸 纳米 复合 结构 瞄准 转义 恶性 程度 癌症 纳米 催化 材料 疗效 评估 计划 恶性肿瘤 提供 高效 特异性 研究 手段 研究 思路清晰 研究 内容 研究 视角 独特 符合 聚焦 前沿 开拓 新路 该项 目的 实施 有望 纳米 催化 材料 临床 改善 国民 健康 意义 社会 经济 发展 贡献 项目组 具备 研究所 专业知识 技术手段 前期 生物 分子 检测 成像 激活剂 药物 构建 原位 转移性 肿瘤 诊断 治疗 研究 工作 阶段性 创新 成果 构建 原位 激活 锚定 肿瘤 治疗 纳米 催化 材料 创新性 原创性 研究 思路 解决 迫切需要 癌症 治疗 策略 项目 小组 能力 承担 挑战性 项目 项目 成功 改善 国民 健康 社会 经济 发展 影响
申请人提出了一种噻吩并吡啶二酮异靛蓝结构的新型受体结构单元，通过增加一个羰基单元，增强吸电子能力，同时保持好的分子平面型，基于这个结构合成一系列共轭聚合物。从新的构筑单元的角度来讲，本项目具有较好的新颖性。发展特色的分子体系对于有机半导体材料的发展具有促进作用，如果该项目的结构单元发展成功，且性能优异，则的确能对领域的发展产生贡献。申请人的研究基础较强，分子的合成路线也具有很好的可行性，初步合成了基于单元的聚合物-2和-2，说明合成制备方面不是问题。但是其性能是否比基于传统的噻吩异靛蓝单元的聚合物要强还无法判断。另外，申请人应该简要阐述正在承担的面上项目和本项目的联系和区别。基于此，本项目可资助。,1,1,1,1,0,申请人 提出 一种 噻吩 吡啶 靛蓝 结构 新型 受体 结构单元 增加 羰基 单元 增强 电子 能力 分子 平面 结构 合成 一系列 共轭 聚合物 构筑 单元 角度 项目 较好 新颖性 发展 特色 分子 体系 有机 半导体 材料 发展 促进作用 该项 目的 结构单元 发展 成功 性能 优异 领域 发展 贡献 申请人 研究 基础 分子 合成 路线 很好 可行性 初步 合成 单元 聚合物 合成 制备 性能 传统 噻吩 靛蓝 单元 聚合物 要强 判断 申请人 简要 阐述 承担 面上 项目 项目 区别 项目 资助
申请人面向印染行业“无盐活性染料染色”需求，针对纤维素纤维表面活性低、纤维孔隙尺寸排阻效应问题，拟进行纤维素纤维孔隙内静电增强的弱阳离子聚合物、活性染料吸附和扩散行为研究，试图解决技术瓶颈背后的基础问题。课题研究符合印染行业的重大需求，可解决传统活性染料染色无机盐用量大的技术瓶颈。为解实现无盐活性染料染色的绿色印染技术，申请人提出“纤维素纤维和聚合物分子间构建静电作用力、研究弱阳离子聚合物结构与其在纤维上的吸附和扩散机制，丰富聚合物在微孔内的吸附和扩散理论”等问题，研究结果对阐明活性染料在纤维上的固着机理、发展高效的纤维素纤维改性和无盐染色具有一定的应用价值申请人在阳离子改性棉纤维基础应用研究、纺织品生态染色方面的界面吸附行为、聚合物界面吸附扩散等理论方面具有较丰富的积累，发表多篇高水平论文，承担或参加多个国家级项目，具有良好的研究基础。研究方案合理，所提出的“基于静电作用力促进聚合物在纤维素纤维的吸附扩散一提高其吸附效率”、采用分子模拟等技术研究其相关机理等具有创新性；对课题研究内容进行了预研实验，技术路线和研究方法可行。实现无盐高效染色，申请人还需要关注的关键科学问题在于如何提高聚合物与纤维素纤维的分子间作用力、聚合物在纤维素纤维上的吸附构型等。,1,1,1,1,0,申请人 面向 印染 行业 活性染料 染色 需求 纤维素 纤维 表面活性 纤维 孔隙 尺寸 排阻 效应 纤维素 纤维 孔隙 静电 增强 阳离子 聚合物 活性染料 吸附 扩散 研究 试图 解决 技术 瓶颈 背后 基础 课题 研究 符合 印染 行业 需求 解决 传统 活性染料 染色 无机盐 用量 技术 瓶颈 活性染料 染色 绿色 印染 技术 申请人 提出 纤维素 纤维 聚合物 分子 构建 静电 作用力 研究 阳离子 聚合物 结构 纤维 吸附 扩散 机制 聚合物 微孔 吸附 扩散 理论 研究 阐明 活性染料 纤维 固着 机理 发展 高效 纤维素 纤维 改性 染色 价值 申请人 阳离子 改性 棉纤维 基础 研究 纺织品 生态 染色 界面 吸附 聚合物 界面 吸附 扩散 理论 积累 发表 多篇 高水平 论文 承担 参加 多个 国家级 项目 研究 基础 研究 方案 提出 静电 作用力 聚合物 纤维素 纤维 吸附 扩散 提高 吸附 效率 采用 分子 模拟 技术 研究 相关 机理 创新性 课题 研究 内容 预研 实验 技术 路线 研究 方法 可行 高效 染色 申请人 关注 关键 科学 提高 聚合物 纤维素 纤维 分子 作用力 聚合物 纤维素 纤维 吸附 构型
该项目拟研究高分子在混合溶剂中的构象和热力学性质。研究方案方面，申请人在理论上提出将稀溶液的团簇理论与高分子自洽平均场理论结合，这不仅能够克服传统-理论和无规相近似理论中的均匀混合近似，还可以为成核生长相分离动理学提供新的认识。在蒙特卡洛模拟算法上，申请人拟将-算发推广到高分子二元混合溶剂体系，通过引入构型偏倚算发等高效地实现链的插入和删除，可快速计算自由能作为链数和溶剂组分比的函数，进而实现高分子溶液相图的快速构建。在研究思路上，申请人基于具有最小化参数集合地格点模型，综合运用高分子溶液理论和蒙特卡洛模拟算法，克服了传统基于单一研究方法的缺点，通过对比两种方法结果的相似性与不同处，可以更系统更全面地揭示高分子在二元混合溶剂中的热力学和相行为，为解释共溶剂和共非溶剂等现象提供新的认识。因此，该项目的研究思想和研究方案都具有很强的新颖性和独特性。建议优先资助。混合溶剂被广泛用于刺激-响应型智能高分子材料的设计、聚合物水处理膜的制备和生物大分子的构象调控等众多领域，是目前高分子物理领域的研究重点和热点体系之一。申请人通过发展高分子溶液理论和蒙特卡洛模拟的方法对高分子在混合溶剂中的链构象、热力学性质和相行为展开系统研究。有望从最基本的机理上解释长期存在却又尚未理解的混合溶剂共非溶剂和共溶剂反直觉现象。对高分子物理领域将有着重要的贡献。申请人具有非常扎实的高分子物理论基础，并且在蒙特卡洛模拟算法上也有着丰富的经验。尤其是，申请人一直和国际著名的高分子物理学家加州理工大学的王振刚教授保持合作，为该项目的实施提供了强有力的保障。,1,1,1,1,0,项目 研究 高分子 混合 溶剂 构象 热力学 性质 研究 方案 申请人 理论 提出 溶液 理论 高分子 自洽 平均 理论 克服 传统 理论 无规 近似 理论 均匀 混合 近似 成核 生长 分离 动理学 提供 蒙特卡洛 模拟 算法 申请人 拟将 算发 推广 高分子 二元 混合 溶剂 体系 引入 构型 偏倚 算发 高效 插入 删除 快速 计算 自由 链数 溶剂 组分 函数 高分子 溶液 相图 快速 构建 研究 思路 申请人 最小化 参数 集合 地格 模型 综合 高分子 溶液 理论 蒙特卡洛 模拟 算法 克服 传统 单一 研究 方法 缺点 两种 方法 相似性 系统 揭示 高分子 二元 混合 溶剂 热力学 解释 溶剂 共非 溶剂 现象 提供 该项 目的 研究 思想 研究 方案 很强 新颖性 独特性 建议 优先 资助 混合 溶剂 用于 刺激 响应 智能 高分子 材料 设计 聚合物 制备 生物 大分子 构象 调控 众多 领域 高分子 物理 领域 研究 重点 热点 体系 申请人 发展 高分子 溶液 理论 蒙特卡洛 模拟 方法 高分子 混合 溶剂 构象 热力学 性质 展开 系统 研究 有望 机理 解释 长期存在 尚未 理解 混合 溶剂 共非 溶剂 溶剂 直觉 现象 高分子 物理 领域 贡献 申请人 扎实 高分子 理论 基础 蒙特卡洛 模拟 算法 经验 申请人 国际 著名 高分子 物理学家 加州 理工大学 王振刚 教授 合作 该项 目的 实施 提供 强有力 保障
申请人提出制备高指数晶面硒化铟纳米晶体，研究其生长机制、光学性能以及光催化降解染料罗丹明的光催化性能及机理。各种高指数晶面半导体晶体的制备、表征及其晶面对光催化性能的研究很多，不同形貌的纳米结构硒化铟及其复合物的制备、光学、光催化性能及机制已有很多报道，申请人将高指数晶面概念延伸至硒化铟，已制备了具有{10}晶面的硒化铟，并研究了其光催化降解的光催化性能及机理，从其光催化性能来看，并不高。已有很多价廉、高效的光催化降解染料的光催化剂（如： 、2等），硒、铟均为价格昂贵的稀有元素，用其制备光催化降解染料的硒化铟光催化剂是否有实际价值制得商榷，因此项目的原创性和研究价值并不突出。申请人提出的高指数晶面硒化铟纳米晶体的制备技术、光催化性能及机理具有一定的科学价值，对相关前沿研究领域具有一定的潜在贡献。申请人在半导体材料的制备、光学性能及光催化方面具有一定的研究基础，从已发表的论文看，研究成果的原创性并不十分突出。此外，申请人应该论述硒化铟晶体的最稳定晶面是什么，具体哪些晶面是高指数晶面，如何从原理上分析说明具体通过控制什么样的反应条件，制备相应的高指数晶面。,-1,1,-1,1,-1,申请人 提出 制备 指数 晶面 纳米 晶体 研究 生长 机制 光学 性能 光催化 降解 染料 罗丹明 光催化 性能 机理 指数 晶面 半导体 晶体 制备 表征 面对 光催化 性能 研究 形貌 纳米 结构 复合物 制备 光学 光催化 性能 机制 已有 报道 申请人 指数 晶面 概念 延伸 制备 晶面 研究 光催化 降解 光催化 性能 机理 光催化 性能 已有 价廉 高效 光催化 降解 染料 光催化剂 价格昂贵 稀有元素 制备 光催化 降解 染料 光催化剂 价值 制得 商榷 项目 原创性 研究 价值 申请人 提出 指数 晶面 纳米 晶体 制备 技术 光催化 性能 机理 科学 价值 相关 前沿 研究 领域 潜在 贡献 申请人 半导体 材料 制备 光学 性能 光催化 研究 基础 发表 论文 研究成果 原创性 申请人 论述 晶体 稳定 晶面 晶面 指数 晶面 原理 分析 控制 条件 制备 指数 晶面
与传统高分子相比，含团簇的高分子具有复杂的化学成分和相互作用力，其结晶行为难以用经典的折叠链模型来预测或描述，建立团簇高分子结晶的相关规律与理论具有重要的科学意义。项目拟通过精准化学手段合成分子参数可控的含团簇高分子样品库，系统研究各分子参数对团簇高分子单晶形成、晶体形貌结构和结晶热力学等的影响，建立团簇高分子的结晶模型，进一步利用结晶驱动自组装制备横向多组分的二维纳米材料。项目的研究思想新颖，研究方案独特，可资助。项目所关注的科学问题集中于团簇高分子能否结晶的关键因素、团簇高分子的结晶模型，以及团簇高分子的结晶与结晶驱动自组装行为。所关注的科学问题对理解团簇高分子的聚集态结构具有重要意义，具有良好的科学价值。但是，如申请书中所述，申请人正在承担的青年基金也集中于团簇高分子的精确合成与结晶行为，建议本项目中的科学问题可更加聚焦或细化。申请人长期从事团簇高分子的合成与结构方面的研究，具有很好的研究基础，研究方案可行性高。项目聚焦于前沿基础研究领域，但合作单位为长江水利委员会长江科学院，从参与人的研究背景来看，与该单位合作研究的必要性不充分，参与单位和参与人的分工不明确。,1,1,1,1,-1,传统 高分子 相比 含团 高分子 化学成分 相互作用 结晶 难以 经典 折叠 模型 预测 描述 建立 高分子 结晶 相关 规律 理论 科学 意义 项目 精准 化学 手段 合成 分子 参数 可控 含团 高分子 样品 系统 研究 分子 参数 对团 高分子 单晶 晶体 形貌 结构 结晶 热力学 影响 建立 高分子 结晶 模型 进一步 利用 结晶 驱动 组装 制备 横向 多组分 二维 纳米材料 项目 研究 思想 新颖 研究 方案 独特 资助 项目 关注 科学 高分子 结晶 关键因素 高分子 结晶 模型 高分子 结晶 结晶 驱动 组装 关注 科学 理解 高分子 聚集 结构 意义 科学 价值 申请书 所述 申请人 承担 青年 基金 高分子 精确 合成 结晶 建议 项目 科学 聚焦 细化 申请人 长期 高分子 合成 结构 研究 很好 研究 基础 研究 方案 可行性 项目 聚焦 前沿 基础 研究 领域 合作 单位 长江水利委员会 长江 科学院 参与 研究 背景 单位 合作 研究 必要性 参与 单位 参与 分工
本项目拟构建精细结构可控的多模态协同级联催化多功能载药纳米平台-/。将/自催化/联合化疗/免疫疗法多模态协同结合，实现多模态协同效应精准杀伤肿瘤细胞。多模态，多功能的纳米药物治疗肿瘤有非常多的研究。本方案只是多增加了或者改变了纳米药物的一些特定功能，和其它多功能纳米药物相比，独特性和新颖性不够明显。开发多模态，多功能的纳米药物治疗肿瘤，具有良好的应用前景。已有非常多的多模态协同治疗的纳米药物，多种已有的诊疗方法的集成，相互间存在的作用是否会影响治疗效果，需要探索。申请人在纳米生物医学材料研发及性能评价、药物缓释载体的制备及表征、细胞分子生物学、动物实验等方面进行了系列研究，具有完成本项目的研究技术和研究基础。本项目需要发展精细结构可调控的纳米药物，申请者需要突出采用何种调控技术实现这一目的，和已有的之类似结构材料的方案相比，有何优势。在制备过程中，？红细胞膜的作用是什么？为什么要用红细胞膜？申请书中引用文献中的插图，建议表明出处。在本体系中，葡萄糖的氧化需要消耗氧气，会导致肿瘤乏氧，这一点如何解决，需要考虑，此外肿瘤组织的酸性增强，也会导致肿瘤细胞的治疗耐受。,-1,0,-1,1,-1,项目 构建 精细结构 可控 模态 协同 级联 催化 多功能 载药 纳米 平台 催化 联合 化疗 免疫 疗法 模态 协同 模态 协同效应 精准 杀伤 肿瘤 细胞 模态 多功能 纳米 药物 治疗 肿瘤 研究 方案 增加 改变 纳米 药物 特定 功能 多功能 纳米 药物 相比 独特性 新颖性 开发 模态 多功能 纳米 药物 治疗 肿瘤 前景 已有 模态 协同 治疗 纳米 药物 多种 已有 诊疗 方法 集成 相互间 作用 影响 治疗 效果 探索 申请人 纳米 生物医学 材料 研发 性能 评价 药物 缓释 载体 制备 表征 细胞 分子生物学 动物 实验 系列 研究 项目 研究 技术 研究 基础 项目 发展 精细结构 调控 纳米 药物 申请者 采用 何种 调控 技术 目的 已有 类似 结构 材料 方案 相比 有何 优势 制备 过程 细胞膜 作用 要用 细胞膜 申请书 引用 文献 插图 建议 出处 体系 葡萄糖 氧化 消耗 氧气 导致 肿瘤 一点 解决 肿瘤 组织 酸性 增强 导致 肿瘤 细胞 治疗 耐受
利用太阳光催化降解污染物和催化分解水制氢在解决国家环境和能源问题方面有美好的前景和迫切的需要。二氧化钛纳米晶被广泛研究和开发应用了很多年，其主要缺点是只能吸收太阳光中的紫外光，对自然光照的利用率很低。本项目提出用纳米硫化物与二氧化钛纳米晶复合，拓展其吸收波长到可见光甚至近红外区，能够充分利用太阳光的能量，打破目前二氧化钛纳米催化剂无法实际应用的瓶颈。本项目提出的科学问题很多，包括纳米晶的成核与生长、在油水界面上的自组装、光催化的构效关系、纳米粒子与聚合物乳液的复合与成膜、复合膜的光催化的构效关系，等。建议对众多的科学问题进行凝练，有些问题在过去20年已经被广泛地研究过了，比如纳米晶生长、组装、与高分子复合等。本项目的关键科学问题应该是：1、怎样控制合成二氧化钛纳米晶与硫化物纳米晶的异质结构？2、这种异质结为什么能吸收可见光甚至近红外光实现光催化效率的提高？其中的构效关系和催化机制是什么？申请人在二氧化钛等无机纳米晶的合成制备方面有丰富的经验，在纳米晶的表面吸附、种晶生长、油水界面合成、光催化降解有机物等方面也有良好的研究基础。本项目提出的研究内容十分丰富，表现出申请人扎实的理论功底，但是创新性不够强，大部分研究内容在文献中都有报道。从可行性的角度来看，存在3个关键问题没有对应的研究方案和科学机制：1、二氧化钛纳米晶与硫化物纳米晶的合成并非难事，什么情况下会形成异质结构而不是简单的复合在一起？这不仅涉及到两种材料晶格匹配、晶面生长、表面能等问题，而且会引发复合材料稳定性、催化活性的构效关系、复合纳米材料的均匀性和分散性等问题。2、二氧化钛纳米晶与硫化物纳米晶形成异质结后，其能带结构是怎样变化的？吸收可见光甚至近红外光实现光催化过程的机制是什么？怎样通过调整复合材料的组成、形貌、结构、共生晶面等因素实现吸收因子、吸收波长、催化效率的提高？许多金属硫化物本身也能被氧化分解，这种异质结如何避免光催化过程对硫化物结构的破坏？3、这种复合纳米粒子与聚合物共混成膜，在乳胶膜中含量只有百分之几，被包裹后的纳米粒子怎样和外界接触表现出催化性能？光照不会导致乳胶膜自己被催化分解么？整个项目书需要精炼。从实际应用的角度来看，申请书还要说明这种复合材料能够大规模低成本地制造，并且具有长期稳定性，能够重复利用而不降低光催化活性的理由。,-1,1,-1,1,-1,利用 太阳光 催化 降解 污染物 催化 分解 制氢 解决 国家 环境 能源 美好 前景 迫切 二氧化钛 纳米 研究 开发 很多年 缺点 只能 吸收 太阳光 紫外光 自然 光照 利用率 项目 提出 纳米 硫化物 二氧化钛 纳米 复合 拓展 吸收 波长 可见光 近红外 充分利用 太阳光 能量 打破 二氧化钛 纳米 催化剂 瓶颈 项目 提出 科学 包括 纳米 成核 生长 油水 界面 组装 光催化 构效 关系 纳米 粒子 聚合物 乳液 复合 成膜 复合膜 光催化 构效 关系 建议 众多 科学 凝练 研究 纳米 生长 组装 高分子 复合 项目 关键 科学 控制 合成 二氧化钛 纳米 硫化物 纳米 异质 结构 异质 吸收 可见光 红外光 光催化 效率 提高 构效 关系 催化 机制 申请人 二氧化钛 无机 纳米 合成 制备 经验 纳米 表面 吸附 种晶 生长 油水 界面 合成 光催化 降解 有机物 研究 基础 项目 提出 研究 内容 表现 申请人 扎实 理论 功底 创新性 大部分 研究 内容 文献 报道 可行性 角度 关键问题 研究 方案 科学 机制 二氧化钛 纳米 硫化物 纳米 合成 难事 情况 下会 异质 结构 简单 复合 涉及 两种 材料 晶格 匹配 晶面 生长 表面 引发 复合材料 稳定性 催化活性 构效 关系 复合 纳米材料 均匀 分散性 二氧化钛 纳米 硫化物 纳米 异质 结后 能带 结构 变化 吸收 可见光 红外光 光催化 过程 机制 调整 复合材料 形貌 结构 共生 晶面 因素 吸收 因子 吸收 波长 催化 效率 提高 金属 硫化物 氧化 分解 异质 光催化 过程 硫化物 结构 破坏 复合 纳米 粒子 聚合物 混成 乳胶 含量 百分之几 包裹 纳米 粒子 外界 接触 表现 催化 性能 光照 导致 乳胶 催化 分解 项目 精炼 角度 申请书 复合材料 大规模 低成本 制造 长期 稳定性 重复 利用 降低 催化活性 理由
