user-name,comment-date,content,评价,content1,分词,主题概率,主题类型,emotion_type
ioK569155910,2022年8月29日,进来四十分钟没到   本来是想爬山的 到了乘船地方 直接不让上山 只能乘船 一环一环的消费,0.0,进来四十分钟没到 本来是想爬山的 到了乘船地方 直接不让上山 只能乘船 一环的消费,四十分钟 本来 爬山 乘船 地方 不让 上山 只能 乘船 一环 消费,"[(0, 0.031721786), (1, 0.033978023), (2, 0.9343002)]",2,负面
ioK569155910,2022年8月29日,隐形消费  上不了山  吧进了四十分钟就下来了  体验感有点差,0.0,隐形消费 上不了山 吧进了四十分钟就下来了 体验感有点差,隐形 消费 四十分钟 体验,"[(0, 0.8557098), (1, 0.06918566), (2, 0.07510456)]",0,负面
佛前那朵白莲花,2022年8月24日,凉爽，景色不错，避暑好地方，适合老人，孩子过来，乘坐游船过瘾,1.0,凉爽，景色不错，避暑好地方，适合老人，孩子过来，乘坐游船过瘾,凉爽 景色 不错 避暑 地方 适合 老人 孩子 乘坐 游船 过瘾,"[(0, 0.039102003), (1, 0.92893064), (2, 0.031967364)]",1,非负
迷彩天堂914,2022年9月2日,很震撼，带孩子去很不错。,1.0,很震撼，带孩子去很不错。,震撼 孩子 不错,"[(0, 0.81322706), (1, 0.09931503), (2, 0.0874579)]",0,非负
你比划啥,2022年8月24日,100多的门票太值啦   特别推荐滑索  主要是滑完了能坐快艇飘一下哈哈,1.0,10多的门票太值啦 特别推荐滑索 主要是滑完了能坐快艇飘一下哈,门票 太值 特别 推荐 滑索 快艇,"[(0, 0.05331735), (1, 0.052499026), (2, 0.89418364)]",2,非负
迷彩天堂914,2022年9月2日,环境很好，很震撼。,1.0,环境很好，很震撼。,环境 震撼,"[(0, 0.7626171), (1, 0.118530855), (2, 0.11885204)]",0,非负
nER503444797,2022年7月29日,风景还好，还算凉快，景区卫生环境太差，卫生间没灯没人打扫，下次不想再去，实在是不值门票钱,0.0,风景还好，还算凉快，景区卫生环境太差，卫生间没灯没人打扫，下次不想再去，实在是不值门票钱,风景 还好 凉快 景区 卫生 环境 卫生间 没灯 没人 打扫 下次 不想 实在 不值 门票,"[(0, 0.08859365), (1, 0.023308342), (2, 0.888098)]",2,负面
OyA466314320,2022年8月28日,很不错，遗憾的是缆车没有开，没有坐成,1.0,很不错，遗憾的是缆车没有开，没有坐成,不错 遗憾 缆车 坐成,"[(0, 0.8448149), (1, 0.07173952), (2, 0.08344556)]",0,非负
权萌萌zax,2022年6月30日,还可以，晴天风景还是很美的,1.0,还可以，晴天风景还是很美的,晴天 风景 美的,"[(0, 0.103871115), (1, 0.10083946), (2, 0.7952894)]",2,非负
匿名用户,2022年8月27日,有个农家菜，不好吃还贼拉贵,0.0,有个农家菜，不好吃还贼拉贵,有个 农家菜 好吃 拉贵,"[(0, 0.07056449), (1, 0.8597616), (2, 0.06967395)]",1,负面
开朗的男人,2022年8月23日,还行吧，坐船感觉不错，就是坐船价格不便宜,1.0,还行吧，坐船感觉不错，就是坐船价格不便宜,还行 坐船 感觉 不错 坐船 价格 便宜,"[(0, 0.06359124), (1, 0.881724), (2, 0.054684736)]",1,非负
wanglanhui2012,2022年8月20日,风景优美，环境很不错，有小漓江的感觉,1.0,风景优美，环境很不错，有小漓江的感觉,风景优美 环境 不错 漓江 感觉,"[(0, 0.86384296), (1, 0.07570239), (2, 0.06045467)]",0,非负
匿名用户,2022年8月19日,感觉就 挺一般的，一下子就玩完了，里面的各种项目还要再花钱,0.0,感觉就 挺一般的，一下子就玩完了，里面的各种项目还要再花钱,感觉 一下子 玩完 项目 花钱,"[(0, 0.058287516), (1, 0.88246083), (2, 0.059251625)]",1,非负
gajtg128756,2022年8月23日,下大雨了没有去上，被破退票，后期上班没时间去,0.0,下大雨了没有去上，被破退票，后期上班没时间去,大雨 退票 后期 上班 时间,"[(0, 0.06251771), (1, 0.05882482), (2, 0.87865746)]",2,非负
mapple04,2022年8月1日,一般般，感觉买的大门票，没啥用，没啥地方可转，去了就是乘船，索道和大滑梯等都没开，说是在维修，不知道78月底旅游旺季，怎么这样？不会再去了,0.0,一般，感觉买的大门票，没啥用，没啥地方可转，去了就是乘船，索道和大滑梯等都没开，说是在维修，不知道78月底旅游旺季，怎么这样？不会再去了,感觉 门票 地方 可转 乘船 索道 滑梯 没开 维修 月底 旅游 旺季,"[(0, 0.027421245), (1, 0.94267946), (2, 0.02989933)]",1,负面
开朗的男人,2022年8月10日,说实话，游船价格有点小贵，一来回一百元，没几分，景区门票倒是不贵，学生票能五折,0.0,说实话，游船价格有点小贵，一来回一百元，没几分，景区门票倒是不贵，学生票能五折,说实话 游船 价格 小贵 来回 一百元 几分 景区 门票 不贵 学生票 五折,"[(0, 0.9388317), (1, 0.031033438), (2, 0.030134853)]",0,负面
郭郭晴ggq,2022年8月13日,摆渡车10元一位，坐船每人100。船停在金刚寺，必须要爬一段才行?记得之前好像不是这样,0.0,摆渡车10元一位，坐船每人10。船停在金刚寺，必须要爬一段才行?记得之前好像不是这样,摆渡 一位 坐船 每人 船停 金刚 一段 才行 记得 好像,"[(0, 0.035650767), (1, 0.9258511), (2, 0.03849813)]",1,非负
gajtg128756,2022年8月23日,没去上，然后就下大雨了，我被破退票,0.0,没去上，然后就下大雨了，我被破退票,没去 大雨 退票,"[(0, 0.11449548), (1, 0.08908305), (2, 0.79642147)]",2,负面
馋嘴辣豆,2022年8月16日,一般般，很多项目没有开，该说不说，游船是真不错，北方小桂林,1.0,一般，很多项目没有开，该说不说，游船是真不错，北方小桂林,项目 游船 真不错 北方 桂林,"[(0, 0.06547986), (1, 0.87477636), (2, 0.059743777)]",1,非负
申东升450,2022年8月1日,周末去的，人不是很多，也不少，轻松的游园，坐船观山景,1.0,周末去的，人不是很多，也不少，轻松的游园，坐船观山景,周末 轻松 游园 坐船 观山,"[(0, 0.05892249), (1, 0.88105595), (2, 0.060021564)]",1,非负
王广明561,2022年8月22日,不错哦,1.0,不错哦,不错,"[(0, 0.6477697), (1, 0.1726703), (2, 0.17956)]",0,非负
kUu346518372,2022年8月18日,头一次去看冰灯感觉挺新鲜的,1.0,头一次去看冰灯感觉挺新鲜的,冰灯 感觉 新鲜,"[(0, 0.7821389), (1, 0.1246654), (2, 0.093195684)]",0,非负
KZj675641719,2022年8月14日,景色不错不错很美丽，凉快凉快凉快。,1.0,景色不错很美丽，凉快。,景色 不错 美丽 凉快,"[(0, 0.8574654), (1, 0.0723602), (2, 0.07017443)]",0,非负
宇宙干饭海绵宝宝,2022年8月18日,？？？。！？。我？？哦谢谢谢谢姐妹,0.0,？。！？。我？哦谢姐妹,姐妹,"[(0, 0.1693976), (1, 0.6610033), (2, 0.16959913)]",1,非负
开朗的男人,2022年8月10日,凑合吧，坐船有点点小贵，景区门票便宜,1.0,凑合吧，坐船有点小贵，景区门票便宜,凑合 坐船 小贵 景区 门票 便宜,"[(0, 0.0556117), (1, 0.06472481), (2, 0.87966347)]",2,非负
xWd544282898,2022年8月14日,因为心情，没感受到景区有什么服务！,0.0,因为心情，没感受到景区有什么服务！,心情 感受 景区 服务,"[(0, 0.13141324), (1, 0.07435349), (2, 0.79423326)]",2,非负
nER503444797,2022年7月29日,自然风景不错?卫生环境太差，特别恶心，进去就出来了，没来得及拍照，再也不想去了，实在不值门票价格,0.0,自然风景不错?卫生环境太差，特别恶心，进去就出来了，没来得及拍照，再也不想去了，实在不值门票价格,自然风景 不错 卫生 环境 特别 恶心 拍照 再也 不想 实在 不值 门票价格,"[(0, 0.028084744), (1, 0.027887737), (2, 0.94402754)]",2,负面
匿名用户,2022年8月7日,景区环境还是不错的！就是船费稍微有点贵！,1.0,景区环境还是不错的！就是船费稍微有点贵！,景区 环境 不错 船费 稍微,"[(0, 0.067307696), (1, 0.058837384), (2, 0.87385494)]",2,非负
萍萍2241,2022年8月5日,服务太差了，美团给开发票，开完了又冲红，冲红的有无效,0.0,服务太差了，美团给开发票，开完了又冲红，冲红的有无效,服务 太差 美团 开发票 开完 冲红 冲红 无效,"[(0, 0.92059636), (1, 0.039337758), (2, 0.040065844)]",0,负面
高志乔乔志高,2022年6月16日,山青水秀，疫情的原因，现在游客少，值得游玩,1.0,山青水秀，疫情的原因，现在游客少，值得游玩,山青水秀 疫情 原因 游客 值得 游玩,"[(0, 0.89083225), (1, 0.056993376), (2, 0.05217438)]",0,非负
申东升450,2022年8月1日,还不错,1.0,还不错,不错,"[(0, 0.6477756), (1, 0.17266981), (2, 0.17955461)]",0,非负
zhk405306512,2022年7月29日,服务环境都不错，让人满意,1.0,服务环境都不错，让人满意,服务 环境 不错 满意,"[(0, 0.84572375), (1, 0.07784116), (2, 0.076435044)]",0,非负
mgs906007284,2022年7月25日,不买船票的话基本啥也看不到，真的不值,0.0,不买船票的话基本啥也看不到，真的不值,不买 船票 看不到 真的 不值,"[(0, 0.061284665), (1, 0.05824868), (2, 0.88046664)]",2,负面
xsG970826701,2022年7月24日,特别好,1.0,特别好,特别,"[(0, 0.18014051), (1, 0.1858876), (2, 0.63397187)]",2,非负
xsG970826701,2022年7月24日,不错,1.0,不错,不错,"[(0, 0.6477887), (1, 0.17266889), (2, 0.1795424)]",0,非负
宇宙养猪指南,2022年5月1日,门票加船票加索道人均190，但是景色很美，值票价的，超满意！！！照片无滤镜，一定要晴天去，山里很冷。,1.0,门票加船票加索道人均190，但是景色很美，值票价的，超满意！照片无滤镜，一定要晴天去，山里很冷。,门票 船票 索道 人均 景色 票价 满意 照片 滤镜 晴天 山里,"[(0, 0.9344565), (1, 0.030436836), (2, 0.035106692)]",0,非负
小草修炼中,2022年7月17日,环境不错，交通方便，周边自驾，有更多选择。,1.0,环境不错，交通方便，周边自驾，有更多选择。,环境 不错 交通 周边 自驾 选择,"[(0, 0.059415992), (1, 0.05189315), (2, 0.8886908)]",2,非负
caufl,2022年7月20日,还可以，就是晚上有点冷，多穿点衣服,1.0,还可以，就是晚上有点冷，多穿点衣服,晚上 穿点 衣服,"[(0, 0.08757778), (1, 0.09073797), (2, 0.82168424)]",2,非负
LH80051100,2022年7月15日,景区还不错，推荐大家来，很遗憾索道由于维修没有开,1.0,景区还不错，推荐大家来，很遗憾索道由于维修没有开,景区 不错 推荐 遗憾 索道 维修,"[(0, 0.055551197), (1, 0.05872562), (2, 0.8857232)]",2,非负
L·Y990,2022年5月31日,这里是真的一般般，疫情期间买个门票只能做个电梯然后就下山，美团上也不给人提示让人白跑一趟。园区服务态度也不行，差点打起来,0.0,这里是真的一般，疫情期间买个门票只能做个电梯然后就下山，美团上也不给人提示让人白跑一趟。园区服务态度也不行，差点打起来,真的 疫情 期间 买个 门票 只能 做个 电梯 下山 美团 提示 白跑一趟 园区 服务态度 不行 差点,"[(0, 0.9543375), (1, 0.023211403), (2, 0.022451114)]",0,负面
oDB672836286,2022年5月3日,"无语了，当天买了票就不能出来，出来就得重新买个票？
检票的让去找咨询中心，咨询中心的推说去找检票的，踢皮球？
最无语的说辞就是出来之前要和他们说一声，咋的，当天的发票白纸黑字的写的没有用？一句话就有用了？",0.0,无语了，当天买了票就不能出来，出来就得重新买个票？检票的让去找咨询中心，咨询中心的推说去找检票的，踢皮球？最无语的说辞就是出来之前要和他们说一声，咋的，当天的发票白纸黑字的写的没有用？一句话就有用了？,无语 当天 买个 检票 咨询中心 咨询中心 推说 检票 踢皮球 最无语 说辞 一声 当天 发票 白纸黑字 一句 有用,"[(0, 0.9620325), (1, 0.018994005), (2, 0.018973509)]",0,负面
匿名用户,2022年2月3日,不吐槽路程了，因为冬奥了很多地方都有冬奥车道，堵堵必然的，从下午13:00出发-15:40到达，离龙庆峡还有3.4公里就堵了一个小时，进停车场很方便。停车场到门口大概走了20分钟-半个小时，但人真的多的吓人…但一路徒步前... ,0.0,不吐槽路程了，因为冬奥了很多地方都有冬奥车道，堵必然的，从下午13:0出发-15:40到达，离龙庆峡还有3.4公里就堵了一个小时，进停车场很方便。停车场到门口大概走了20分钟-半个小时，但人真的多的吓人…但一路徒步前. ,不吐槽 路程 冬奥 地方 冬奥 车道 下午 出发 到达 龙庆峡 公里 小时 停车场 停车场 门口 分钟 半个 小时 真的 吓人 一路 徒步,"[(0, 0.015508812), (1, 0.9678573), (2, 0.016633896)]",1,负面
遥远的绝响bj,2022年6月4日,适合小孩玩，基本不用走路。缆车，船都能坐,1.0,适合小孩玩，基本不用走路。缆车，船都能坐,适合 小孩 不用 走路 缆车,"[(0, 0.06053216), (1, 0.060148034), (2, 0.87931985)]",2,非负
宋温柔今天也温柔,2022年6月25日,走了好远好远好远 冰灯也一般 太差了,0.0,走了好远 冰灯也一般 太差了,冰灯 太差,"[(0, 0.74487674), (1, 0.13179235), (2, 0.1233309)]",0,负面
小猫咪怎么知道,2022年3月31日,"环境非常独特，风格统一，就喜欢这种有格调的地方
吃饭才来评价。那会儿和我一起打卡的心上人，已经有了新人了
物是人非，山长水阔，触处思量遍
愿天高水长，各自安好。你很有趣，也很爱过，只是不适合，只是有点薄情，有点遗憾。",1.0,环境非常独特，风格统一，就喜欢这种有格调的地方吃饭才来评价。那会儿和我一起打卡的心上人，已经有了新人了物是人非，山长水阔，触处思量遍愿天高水长，各自安好。你很有趣，也很爱过，只是不适合，只是有点薄情，有点遗憾。,环境 独特 风格 统一 喜欢 格调 地方 吃饭 评价 打卡 心上人 新人 物是人非 山长水阔 触处 思量 遍愿天 高水长 安好 有趣 爱过 适合 薄情 遗憾,"[(0, 0.01390866), (1, 0.97213614), (2, 0.013955187)]",1,非负
HIw411752541,2022年2月26日,地理位置非常棒，门口就是地铁站，交通非常方便，冲这一点给五星好评有非常大的落地窗，空气循环很好，条件非常不错店里空间不是很大，但布置很集中，灯光渲染也很有氛围第一次来，带着探店的想法来，点了特色饮料，蛮惊喜的，值得好评菜...,1.0,地理位置非常棒，门口就是地铁站，交通非常方便，冲这一点给五星好评有非常大的落地窗，空气循环很好，条件非常不错店里空间不是很大，但布置很集中，灯光渲染也很有氛围第一次来，带着探店的想法来，点了特色饮料，蛮惊喜的，值得好评菜.,地理位置 门口 地铁站 交通 一点 五星 好评 落地窗 空气 循环 条件 不错 店里 空间 很大 布置 灯光 渲染 氛围 第一次 探店 想法 特色 饮料 惊喜 值得 好评,"[(0, 0.11814756), (1, 0.013657865), (2, 0.8681946)]",2,非负
匿名用户,2022年6月19日,满意，风景狂特，高山流水大龙的人行隧道很有特色还来,1.0,满意，风景狂特，高山流水大龙的人行隧道很有特色还来,满意 风景 狂特 高山流水 大龙 人行 隧道 特色 还来,"[(0, 0.931071), (1, 0.034379125), (2, 0.034549847)]",0,非负
honeyhaoqi,2022年5月3日,分索道和游船两个景区，个人喜欢索道景区，性价比非常高。,1.0,分索道和游船两个景区，个人喜欢索道景区，性价比非常高。,索道 游船 两个 景区 喜欢 索道 景区 性价比,"[(0, 0.04287047), (1, 0.43737543), (2, 0.5197542)]",2,非负
匿名用户,2022年3月24日,"「百花洞」「蹦极跳」「滑道」「溜索飞降」「鸡冠山」「划船泛舟」「神仙院」
【环境】干净
【交通】很方便
「游船」「玉渡山」「电梯」「金刚寺」「震山如来」「冰灯」
【项目】有很多很多
【餐饮】没什么而且有些小贵，想去的可以...",1.0,「百花洞」「蹦极跳」「滑道」「溜索飞降」「鸡冠山」「划船泛舟」「神仙院」【环境】干净【交通】很方便「游船」「玉渡山」「电梯」「金刚寺」「震山如来」「冰灯」【项目】有很多【餐饮】没什么而且有些小贵，想去的可以.,百花 蹦极跳 滑道 溜索 飞降 鸡冠 划船 泛舟 神仙 环境 干净 交通 游船 玉渡山 电梯 金刚 震山 如来 冰灯 项目 餐饮 没什么 小贵,"[(0, 0.015114156), (1, 0.9691395), (2, 0.015746357)]",1,非负
yanan0914,2022年2月3日,"可能是因为今年过年留京人多，所以去看冰灯的人也巨多，导致服务完全跟不上。首先停车场进不去，所以比较机智得把车停到了路边，推着孩子走进去，看到停车场其实是有位置的，但是为什么门口堵了半个小时车进不去，不知道。
然后是检票，...",1.0,可能是因为今年过年留京人多，所以去看冰灯的人也巨多，导致服务完全跟不上。首先停车场进不去，所以比较机智得把车停到了路边，推着孩子走进去，看到停车场其实是有位置的，但是为什么门口堵了半个小时车进不去，不知道。然后是检票，.,是因为 今年过年 留京人 冰灯 巨多 导致 服务 跟不上 停车场 进不去 机智 停到 路边 孩子 走进 停车场 位置 门口 半个 小时 进不去 检票,"[(0, 0.015078812), (1, 0.9684217), (2, 0.01649947)]",1,负面
iko26201996,2022年6月19日,环境不错，游玩好去处,1.0,环境不错，游玩好去处,环境 不错 游玩 好去处,"[(0, 0.85506433), (1, 0.074312404), (2, 0.07062328)]",0,非负
Gondorfu,2022年6月12日,东西挺好的，价格也实惠,1.0,东西挺好的，价格也实惠,东西 价格 实惠,"[(0, 0.094042554), (1, 0.80937785), (2, 0.09657957)]",1,非负
匿名用户,2022年2月24日,第一次去一开始去的时候想象这很美好，去了以后心凉了半截，冰灯挺不错的，就是太冷了，去之前一定要多穿点，带孩子去的，适合打卡拍照，但是溜达看了也就一个小时就回来了，小吃也就那么回事吧，出锅热乎，没两分钟透心凉呀。,1.0,第一次去一开始去的时候想象这很美好，去了以后心凉了半截，冰灯挺不错的，就是太冷了，去之前一定要多穿点，带孩子去的，适合打卡拍照，但是溜达看了也就一个小时就回来了，小吃也就那么回事吧，出锅热乎，没两分钟透心凉呀。,第一次 想象 美好 凉了半截 冰灯 挺不错 太冷 穿点 孩子 适合 打卡 拍照 溜达 小时 回来 小吃 那么回事 出锅 热乎 两分钟 透心凉,"[(0, 0.016600369), (1, 0.96437657), (2, 0.019023096)]",1,非负
etw828458181,2022年5月3日,强烈推荐大家去玩，超级棒！！！,1.0,强烈推荐大家去玩，超级棒！,强烈推荐 超级,"[(0, 0.117892385), (1, 0.74830085), (2, 0.13380675)]",1,非负
新日新月异,2022年6月2日,也就是一次性了，不会再去了，伤客户，可是培养起来却难，不知道后面谁躺枪,0.0,也就是一次性了，不会再去了，伤客户，可是培养起来却难，不知道后面谁躺枪,一次性 客户 培养,"[(0, 0.8313753), (1, 0.084302396), (2, 0.08432231)]",0,非负
LIU1073065947,2022年6月1日,价格便宜，支持购买，美团上面就是便宜，但是现在有以前哪也去不了,1.0,价格便宜，支持购买，美团上面就是便宜，但是现在有以前哪也去不了,价格便宜 支持 购买 美团 便宜,"[(0, 0.06625918), (1, 0.060840696), (2, 0.8729001)]",2,非负
匿名用户,2022年2月3日,从抖音看到了龙庆峡冰灯，抖音88一位，可能是习惯了美团买东西，还是美团买了花了100，真是不去后悔，去了更后悔，主要是堵车能赌到你怀疑人生。去的时候交通管制，排队两个半小时到了停车场，去的是一个临时停车场，原有的停车场停...,0.0,从抖音看到了龙庆峡冰灯，抖音8一位，可能是习惯了美团买东西，还是美团买了花了10，真是不去后悔，去了更后悔，主要是堵车能赌到你怀疑人生。去的时候交通管制，排队两个半小时到了停车场，去的是一个临时停车场，原有的停车场停.,抖音 龙庆峡 冰灯 抖音 一位 习惯 美团 东西 美团 不去 后悔 后悔 堵车 怀疑 人生 交通管制 排队 两个 半小时 停车场 临时 停车场 原有 停车场,"[(0, 0.014986109), (1, 0.96981025), (2, 0.015203643)]",1,负面
shasha4532,2022年5月8日,2012年8月份去的，人超级多，现场毫无管理。不带口罩，随地吐痰下，到处都是垃圾。等着坐船等了40min，景色很美但是商业化太严重了。不值得去!,0.0,2012年8月份去的，人超级多，现场毫无管理。不带口罩，随地吐痰下，到处都是垃圾。等着坐船等了40min，景色很美但是商业化太严重了。不值得去!,月份 超级 现场 管理 不带 口罩 随地吐痰 垃圾 坐船 景色 商业化 值得,"[(0, 0.036881234), (1, 0.028600907), (2, 0.93451786)]",2,负面
litertiger,2022年6月2日,体验非常好，价格公道，下次还会再来的.^?^.,1.0,体验非常好，价格公道，下次还会再来的.^?^.,体验 价格公道 下次 还会,"[(0, 0.8639969), (1, 0.06866032), (2, 0.06734279)]",0,非负
