content,class,fenci
梁朝伟我个人觉得年轻时候不觉得帅 就无间道时候也没啥感觉 反而是现在老了觉得越老越帅,其他,年轻 感觉
她爸爸是个圈内特别有名的摄影师，有资源,污名化,爸爸 圈内 有名 摄影师 资源
属于电影宣发的一部分,不良示范,电影 宣发
有流量又不用卖货傻笑掉格，又有人牵线搭桥，还能宣传电影，何乐不为,不良示范,流量 不用 卖货 傻笑 掉格 牵线搭桥 电影
回复  :难道不是因为捐骨髓吗,其他,回复 骨髓
对不起，我是警察,相对剥夺,警察
天生影帝啊，一张张照片，像是一部部电影，一段段故事,相对剥夺,天生 影帝 照片 像是 电影 一段段 故事
回复  :艺术家，明星，都是众位艺术大师培养教育的结果，梁朝伟的成功是导演，编剧，摄影师，后期，经纪策划，期刊，市场各种联合的结果。华语世界梁氏宗情血脉繁盛，可是梁朝伟只有一个。,不良示范,回复 艺术家 艺术大师 培养教育 成功 导演 编剧 摄影师 经纪 策划 期刊 市场 联合 世界 血脉 繁盛
朝伟的眼神里有很多故事，这是他的迷人之处,其他,眼神 故事 迷人
回复  :冠希哥这个人向来有一说一，能让他说帅的人大概是没有几个的,相对剥夺,回复 向来
回复  :那不就是搭档星爷🤔,污名化,回复 搭档 星爷
回复  :那这还不是社恐,不良示范,回复 社恐
明星电影宣传必备流程,不良示范,电影 必备 流程
小笔 你的生活真的拉满了,相对剥夺,小笔 拉满
你演技再好好的过梁朝伟？,相对剥夺,演技
伟仔真的太是那个了 温柔有气质,其他,温柔 气质
这是电影截图吗？请问电影名字叫什么？多谢,其他,电影 截图 请问 电影 名字
狄龙:阿嚏,相对剥夺,阿嚏
太厉害了,不良示范,厉害
回复  :人家在国外就由变了,相对剥夺,回复
社恐伟,不良示范,恐伟
模特好看,相对剥夺,模特 好看
伟仔好慈祥，每条皱纹都是故事,其他,皱纹 故事
弹幕说拍的一般的看看自己拿起相机能不能拍下去吧 真的很不错了 感觉就是外行笑内行,不良示范,弹幕 拍下去 不错 感觉 外行 内行
回复  :吴京票房还高呢他才是影帝之王,相对剥夺,回复 票房 影帝
很吓人，谁都请的来,相对剥夺,吓人
回复  :这个太难请了,相对剥夺,回复
世界的参差,相对剥夺,世界 参差
回复  :会，会吗？,相对剥夺,回复
无上限,相对剥夺,上限
一直都很迷人的帅哥,其他,迷人
眼神全是经历,其他,眼神 经历
拍的好好看，最近在学摄影。没想到还可以从比我小的人身上学习。,不良示范,好好看 摄影 学习
酸了，这什么背景,相对剥夺,背景
年纪大了，想到小时候追过的连续剧，绝代双骄，侠客行，光影交错中又见到当年的影子，眼眶都湿润了,其他,想到 小时候 追过 连续剧 侠客行 光影 交错 见到 影子 眼眶 湿润
陌生人，不想打击孩子，也不想瞎吹嘘，想成为大师还有很长的路慢慢走吧,相对剥夺,陌生人 不想 打击 孩子 不想 吹嘘 大师
梁朝伟，我小时候就喜欢他身上的忧郁的气质，然后模仿，结果他帅了几十年，我成特么小丑啦。,相对剥夺,小时候 喜欢 忧郁 气质 模仿
小孩子应该看到谁都要叫您,其他,小孩子
梁朝伟真的帅，从小的偶像，希望可以跟他合影一下。,其他,偶像 希望 合影
感觉梁朝伟好喜欢小孩子,其他,感觉 喜欢 小孩子
想问下用的一次成像后背是什么，是用相纸么？没看太清楚,其他,下用 成像 后背 相纸 没看
为什么看她拍的照片想哭呢！是感动吗？,不良示范,照片 感动
@-- 古希腊掌管人脉的神，你看看她的视频,群体对立,掌管 人脉 视频
这女孩背景真吊,相对剥夺,女孩 背景
我擦 好看,其他,好看
阿伟你也来看视频辣,相对剥夺,视频
哎，每个视频拍的都差不多,相对剥夺,视频
真的社恐。。。。我都感觉出来了。。。。,不良示范,社恐 感觉
电影脸，真特么帅,其他,电影
啥背景啊,相对剥夺,背景
早有耳闻,相对剥夺,耳闻
妈呀，越来越帅,其他,妈呀
梁朝伟老了想我哥和舅舅,其他,舅舅
这个女孩什么来历？为何这么多大伽让她拍照？,相对剥夺,女孩 来历 大伽 拍照
影帝就随便一站脸上都是故事,其他,影帝 故事
这眼神真能打呀,其他,眼神
这实力真是没谁了，缺打杂的吗,相对剥夺,实力 打杂
啊，好想要一张,其他,想要
喜欢你的陈奕迅,其他,喜欢
卧槽，这什么人脉,群体对立,卧槽
这就是我不想结婚生子的原因，我给不了后代这些资源帮助他成长，又不想看到后代因为起点太差所以活的那么辛苦，干脆就别让他出生算了，,群体对立,不想 结婚 生子 原因 资源 成长 不想 起点 辛苦 出生 算了
我的男神啊，还是一如既往地帅,其他,男神 地帅
“有些人你让他演电影呢他是的，但是电影之外你让他看镜头做采访做演讲呢他就不行了”“他没事就打飞的到伦敦喂鸽子，喂完鸽子又飞回来”,其他,电影 电影 镜头 采访 演讲 不行 没事 打飞 鸽子 鸽子
梁朝伟都约到了，周星驰啥时候安排一下,相对剥夺,安排
我也想被这个妹妹拍照呀,相对剥夺,妹妹 拍照
我怎么感觉连小女孩一见面都被他电到了一下 就和他说话感觉有点点结巴,其他,感觉 小女孩 见面 说话 感觉 点点 结巴
营销号吧有几张明显不可能是她拍的……她个子没那么高，是怎么拍的梁站着还能直视镜头的……,相对剥夺,个子 直视 镜头
多看几期就知道了 爸爸抱起来拍的,其他,爸爸
顶级的食材，专业的设备，想着出来是个大厨，想不到是个小孩,相对剥夺,顶级 食材 专业 想着 小孩
这种拍照的形式叫什么？想带老爸来一套,其他,拍照 形式 老爸
画风很温暖,其他,画风 温暖
光一个摄影师爸爸是不够这么多大碗主动攀关系的!从影几十年什么摄影师没见过!哎颜色的重要性,不良示范,摄影师 爸爸 关系 摄影师 没见 颜色 重要性
封面很有意思…内容不如封面,相对剥夺,封面 内容 封面
   梁朝伟真的是举止都是戏。稍微一动就能往片里放的那种,其他,举止
某些角度真的，云龙兄，是你吗,相对剥夺,角度
梁朝伟眼睛都是戏！,其他,眼睛
梁朝伟都老拉，时光飞逝啊,其他,时光 飞逝
事实证明：不管几岁 被小朋友夸奖 都会超开心,不良示范,小朋友 夸奖 开心
梁朝伟这个表情和姿势做的有点好，比前面的演员更专业。,其他,表情 姿势 演员 专业
摄影界要卷死的节奏，童星出道,相对剥夺,摄影 节奏
吗呀 这小姑娘接触的都是大明星 大帅哥羡慕啊,不良示范,接触 羡慕
结尾小姑娘应该再牵一下梁朝伟的手，然后说“梁大伯，你的手不凉了！”做到首尾呼应，体现你的摄影有温度,不良示范,结尾 首尾呼应 体现 摄影 温度
哇！这也太帅了吧,其他,太帅
投胎是个技术活  当闪,相对剥夺,投胎 技术活
今天天龙人要拍的是，底层人看评论区的破防瞬间！（包括我）,群体对立,底层 评论 破防 包括
卧槽，一下子让人想起春光乍泄的光影,其他,卧槽 想起 光影
看梁朝伟的眼睛 怎么感觉有点想哭,其他,眼睛 感觉
怎么说呢，说不嫉妒她的后台是不可能的，除了她的拍照技术，我全都嫉妒,相对剥夺,后台 拍照 技术 嫉妒
我男神,其他,男神
梁朝伟这么好的基因为什么不要小孩，好可惜。,其他,基因 小孩 可惜
有什么可惜的，没孩子有没孩子的福气,其他,可惜 孩子 孩子 福气
梁朝伟的眼神真的帅一辈子,其他,眼神
她拍的照片确实非常好，那么谁教的那？所以家里有资源很正常嘛，人生来就是不同的，好好看拍照就好了，想那么多干嘛,不良示范,照片 确实 资源 人生 好好看 拍照 干嘛
我很好奇用的什么机器,其他,好奇 机器
要是能拍到陈冠希就好了。,相对剥夺,拍到
梁朝伟和金城武真的是天生的电影脸，故事感好强烈,其他,天生 电影 故事 感好
梁朝伟？！真的是梁朝伟？！做梦都不敢这么想,相对剥夺,做梦
影帝跟笙笙在一起确实可爱,其他,影帝 确实 可爱
看的我想流泪为什么,其他,流泪
老虎真的好有魅力🥹,其他,魅力
我今天拍的，在同学家的饭馆。我也想有的实力和资源，奈何就一普通人，不过我觉得平凡的生活也可以美丽多彩,群体对立,同学 饭馆 想有 实力 资源 奈何 普通人 平凡
你们这些警察可真有意思，喜欢在天台拍照,相对剥夺,警察 喜欢 天台 拍照
他好有魅力,其他,魅力
童话，花篱墙，村门口儿年岁最高那棵榆树。脑子里最先蹦出的仨东西。,其他,童话 篱墙 年岁 脑子里 蹦出
真就是神，那个传绯闻的电影里面的演技卧槽不是说学了就能演出来，太像了,其他,传绯闻 电影 演技 卧槽 演出
且不论资源或者背景，就单凭这个技术。将来是个好苗子,相对剥夺,资源 背景 单凭 技术
不用送了，但是手很诚实,其他,不用 诚实
还需要上学吗？,相对剥夺,上学
这是谁的女儿呀？怎么能和这么多明星拍照？,相对剥夺,女儿 拍照
小妹妹背景很硬吧！,相对剥夺,背景
对光影的理解很深刻,不良示范,光影 理解
感觉看着电影呢,其他,感觉 看着 电影
上了年纪的帅哥，魅力最大化。,其他,魅力
这家伙是光明会的吗,群体对立,家伙 光明
真的帅，还帅了这么多年，那种味道迷了我好多年,其他,味道
不是妹妹，你这人脉…,群体对立,妹妹
的爷爷能在历史书上找到吗？,相对剥夺,爷爷 历史 找到
社恐的老哥居然这么配合,不良示范,社恐 老哥 配合
巨蟹喜欢小朋友,其他,巨蟹 喜欢 小朋友
啊？夸张,相对剥夺,夸张
梁朝伟不是隐居日本了吗，这也能约上，真是人脉厉害！,群体对立,隐居 厉害
调查她家里的背景,相对剥夺,背景
这是哪个圈内大佬的闺女吗？,相对剥夺,圈内 闺女
人脉大帝,群体对立,大帝
这是小孩子吗,相对剥夺,小孩子
拍照水准一直在线，没上过也没下过,相对剥夺,拍照 水准 没上 下过
当我面长大时，才发现他们已经老了……,其他,发现
没学过摄影，有没有懂的人说一下这是什么水平,其他,没学 摄影 有没有 水平
看了评论区，越来越觉得穷人不值得拯救了😅仇富的飞舞太多了😅终于知道王左被讨厌的原因了,群体对立,评论 穷人 值得 拯救 飞舞 讨厌 原因
最后竟然主动要牵梁朝伟的手……一时间不知道谁是小孩,其他,小孩
真的演技太好了，比刘德华强多了,其他,演技 强多
刘嘉玲说的真是一点没错， 他的眼神看狗都深情,其他,没错 眼神 深情
懂不懂天龙人含金量,污名化,懂不懂 含金量
社牛小孩遇到社恐老头,不良示范,社牛 小孩 社恐 老头
梁朝伟的眼神里有好多的故事。,其他,眼神 故事
看到这个视频我惊了…看了下往期视频我更惊…,相对剥夺,视频 视频
拍的真好看,相对剥夺,好看
多久没更新了，我很担心你，知道吗？下次别这样了，一天一更。让我知道你的安全,其他,担心
好温柔好配合啊，即使获得这么大成就还是一副谦逊的姿态，以前一直无感，最近正好看了他几部电影，刷到这个真的好感+,其他,温柔 配合 成就 谦逊 姿态 无感 正好 电影 刷到 好感
原来梁朝伟真的有点社恐,不良示范,社恐
谁的嘴角咧起来了，好可爱的两个人啊,其他,嘴角 可爱
我就真心问一下，如果我就随便拍，然后加一些滤镜，能不能有这样的效果。当然前提是，拍的也是梁朝伟。,相对剥夺,效果 前提
评论区很多人在关注女孩背景，家事。但鲜有人正面评价她的技术，处事，情商，胆量。一个9岁的年龄，即便是富裕的出身，没有自己对社会的认知和向上的理解，也做不到这点。父母给了一个很好的环境，但自己是否在这样的起跑线冲刺才是最重要的。固然她的自信来自于家境和阅历，但她的天赋，勇气，还有为人处世的双商，绝对来源于自己。相信评论区很多二三十的人不要说和明星交流了，就连和普通人调动摄影情绪都很难做到吧？,不良示范,评论 关注 女孩 背景 家事 鲜有 正面 评价 技术 处事 情商 胆量 年龄 富裕 出身 社会 认知 理解 不到 父母 很好 环境 起跑线 自信 家境 阅历 天赋 勇气 双商 来源于 评论 交流 连和 普通人 摄影 情绪
你有这家庭背景，你家的狗待几年也情商高,污名化,家庭 背景 情商
笑死你有这环境狗都会不一样，那么多,群体对立,环境
回复  :但可惜你情商不高，还要把这一切怪在家境上😅,相对剥夺,回复 可惜 情商 家境
回复  :但可惜你情商不高，还要把这一切怪在家境上😅,相对剥夺,回复 可惜 情商 家境
回复  :但可惜你情商不高，还要把这一切怪在家境上😅,相对剥夺,回复 可惜 情商 家境
回复  :其实家庭环境好的小孩一开始就会被教育，怎么招待人，怎么眼观六路耳听八方照顾饭局上每个人的需求。怎么发现对方身上的优点，用正面的角度去沟通和考虑问题。反而一些没什么底气的人才会为了尊严，面子，别别扭扭的，或者充满攻击性。,相对剥夺,回复 小孩 招待 照顾 饭局 需求 发现 优点 正面 角度 沟通 底气 人才 尊严 面子 充满 攻击性
她有什么技术？你来分析分析？不就是纯靠背景吗？,相对剥夺,技术 纯靠 背景
我还是喜欢叫这为老师文武,其他,喜欢 老师
原片在哪里下，太喜欢了,其他,原片 喜欢
博主有照片的图片吗好想做头像,不良示范,照片 图片 头像
我靠小孩姐有点东西,不良示范,小孩
拍我干嘛,其他,干嘛
什么相机介绍一下？,其他,介绍
看着专业 审美不够,其他,看着 专业
太深情了,其他,深情
小孩姐姐，照片去哪里领取呢？,其他,小孩 姐姐 照片 领取
不行了这张真的太《春光乍泄》了，已经哭了,其他,不行
哇拍的好有魅力,不良示范,魅力
这孩子怎么这么懂事,不良示范,孩子 懂事
这孩子肯定家境牛逼，家人肯定手眼通天，这么多明星卖面子,相对剥夺,孩子 肯定 家境 家人 肯定 卖面子
阿婆主确实拍的很好啊,不良示范,确实 很好
他和华仔眼里全是故事真的好……没有可以形容梁朝伟的词万般词汇无法形容他的特别,其他,故事 形容 万般 词汇
梁朝伟还是帅，说明帅和年纪真的无关,其他,无关
遇强则强,不良示范,遇强
天哪，那是梁朝伟呀，是真的风采依然，啊啊啊啊啊啊啊啊啊啊啊啊啊梁朝伟可是一个极度的人啊，把妹妹都显得活泼了,其他,风采 妹妹 显得 活泼
人比人比死人,相对剥夺,人比人 死人
真深情啊🤔,其他,深情
可以自取头像吗,不良示范,自取 头像
