,内容
13,我感觉评论区里好多人，都没有了解过，到底什么是“野生动物”，什么是“非法走私”，什么是“濒危物种”中国的“野生物种”这四个字已经被国内专家用坏了，国内有两个名录规定何为野生动物，但同时引入了国际上的一个华盛顿名录，那个名录的核心点在于，对名录中的野生动物及其相关制品的交易流通要进行监控管理，防止走私防止偷猎，但是国内引进这个名录之后，这个名录不知道怎么用的，莫名其妙变成了野生动物保护名录，结果现在除了“六畜”等(鸡鸭鹅牛羊猪等)，所有你看到的动物，几乎都是“野生动物”，几乎是所有哦！哪怕这个东西是入侵物种，是对本土生态不利的物种，它也被判定为野生动物，哪怕它是养殖的，也算“野生动物”，哪怕是养殖的哦！这就是现在国内专家乱用名词弄出来的破事，你以为的“野生动物”和实际上专家口中的“野生动物”，可能根本就不是一个东西！而且更有趣的是，非常多的人把野生物种和濒危物种混为一谈了，有的东西(比如某些鱼类)都特么泛滥成灾了，还濒危呢！？它是“野生动物”它就必须濒危？它老婆孩子可能比从你开始，往上几代人所有亲属加起来还多，(你自己可能比它更像濒危动物)抵制偷猎盗猎，不是说要抵制养殖，不是说要抵制正常渠道获取，这跟烟酒的道理一样，美苏当年彻底禁烟禁酒，把自己坑成什么德行了查不到吗？国家不监管市场，反而搞一刀切，这个市场就全被黑市黑帮垄断了，到时候不仅国家收不到税，还要花着已有的税金，消耗人力去查黑市黑帮最后要说的嗷，视频里这个都发黄发黑了，不会吧不会吧，不会真有人以为键皮那一层还能怎么加工吧，磨一磨就没了哦，政策通通不知道，跟风一个比一个强，厉害厉害2021-02-17 22:3170回复
14,二手.....很正常吧，以前还有的，现在没有而已.......在禁止贩卖之前制造的（？）2021-02-16 09:3845回复
15,虽然我也很喜欢象牙制品，但是坚决支持禁止象牙贸易。包括那些“牢底坐穿兽”也一样。欲望是没有边界的，不能以“我喜欢”或者“外国不禁啊”作为理由。2021-02-17 12:3433回复
16,打击象牙买卖2021-02-16 08:2722回复
17,有钱人为所欲为2021-02-16 17:3317回复
18,你们应该问，查到的违禁品都怎么处理了2021-02-17 22:0512回复
19,遇到不了解的情况怎么办？搜索一下，了解情况，做出判断✘主观臆测，阴阳怪气，反正结论都是体制问题✔2021-02-18 22:179回复
20,没有买卖就没有杀害2021-02-16 10:399回复
21,第一眼看成海象牙了2021-02-16 15:325回复
22,判刑更高吧？2021-02-17 12:29回复
23,这些象牙按键是什么时候制造出来的？能查实吗？2021-03-01 10:104回复
24,我记得猛犸象牙是可以交易的，得看什么象牙2021-02-16 20:103回复
25,主要是非法走私合法的根本不管2021-02-27 10:412回复
26,这么小还能做什么2021-02-19 16:332回复
27,随后送到了哪个老爷家里？2021-02-18 10:132回复
28,冠冕堂皇一堆废话，那么多借口，其实就是没交税进贡2021-02-17 21:222回复
29,我拷，简直了这个，太可拷了，刑啊，牢玩家了吧，太刑了这个，可狱不可囚的人才呐2021-09-29 15:251回复
30,评论区阴阳怪气真多。2021-02-17 22:101回复
31,为什么不报关猛犸象2021-03-01 21:50回复
32,这是咋发现的。。。。扫描应该扫不出来吧。。。还是得靠线人[尴尬]2021-03-01 01:22回复
33,其实吧，主要还是不能大批量人工饲养还有无痛收割，不然对于南方贫困山区也算是一种经济作物，类比鹿茸
34,象有新品种了不长象牙的象
35,这不是管了吗？
36,阴阳怪气的
37,你的世界非黑即白
38,那大象的牙犀牛的角都是自己没了的？可可西里的藏羚羊也是自己把皮拖了？没有买卖就没有伤害！
39,但是不得进口。
40,钢琴是二手的，可没说琴键是二手的
41,可以夏天去俄罗斯西伯利亚挖猛犸象的牙，猛犸象已经灭绝不受法律保护，猛犸象牙可以在中国市场流通。
42,回复 @泠鹭 :对。
43,只要是有关象牙的任何贸易都违法吗
44,回复 @龞䌃槬 :爪巴，集中销毁违禁品的新闻每年都有，动动手指吧，不费劲
45,能流通一般拍卖，象牙除非有研究机构要，一般直接销毁，象牙再贵哪有海关局的官帽子值钱。
46,回复 @龞䌃槬 :挺好奇你所谓的媒体是啥？是bbc还是cnn?
47,回复 @MatsuzakaUme :凭什么吃菜，菜里头的微生物细菌，害虫就活该被你们开水烫死，热油烫死吗，它们也是活生生的生命啊，菜比动物就少了部分细胞而已，都是细胞组成的你凭什么伤害它们，你每天洗头洗脸能杀死几千只螨虫它们愿意？伪善罢了
48,回复 @MatsuzakaUme :我觉得菜菜挺可爱的
49,回复 @bili_69030368760 :吃素的人比你想象的多！
50,我记得猛犸象牙是可以交易的，得看什么象牙2021-02-16 20:10回复
51,回复 @鱼柠树 :因为发掘地主要在西伯利亚冻土层，这玩意毛子说了算
52,回复 @大大啊王 :不能，主要是怕钻法律漏洞在加上老死和被吃难保证象牙的完整性
53,"回复 @瑭璜123456 :可以的,了解一下再说话,光就闲鱼上就一大堆"
54,我想知道这些如何处理？2021-02-26 10:57回复
55,去了解一下国内动保现状你就知道为啥了
56,老死的象牙或被老虎吃剩下的象牙不能用吗？2021-02-17 18:47回复
57,主要是非法走私[吃瓜]合法的根本不管2021-02-27 10:41回复
58,象牙就是违法，除了猛犸象牙2021-06-30 01:23回复
59,大象又不是中国的，关我们屁事2021-02-17 10:25回复
60,保护濒危动植物国际公约了解一下，我国是缔约国2021-02-17 11:51
61,云南有亚洲象，多读书[OK]2021-02-17 12:17回复
62,不可以，哪怕是二手的也不行[辣眼睛]你弄到最后这个产业起来了，就会有很多一手了2021-02-16 18:19回复
63,哈哈，我记得采访旅行博主，国外的这种市场，看到老外路过不会搭理，看到国人就会疯狂的来一来看一看啦，而且白菜价[嗑瓜子]2021-02-16 23:03回复
64,一根角代表一只犀牛……我的天啊
65,我比较好奇，什么样的人会买
66,有市场就有杀害
67,顺着查这些“有钱人”，我不信里面没有洗黑钱的
68,10根整角和其他一点零碎就 值一亿多？。怪不得这么猖狂呢。
69,价格或者说价值是如何定义的
70,物以稀为贵 全球就2万头了
71,治病，比黄金贵很多，至今也没有早就出来为什么亚洲犀牛具有这么大的药效，是其他不可替代的药物，普通水牛做的牛黄丸200一颗，犀牛做的几万一颗，自古以来就是神药
72,资×本×家不仅压迫人类，还伤害动物。
73,看看这个昂贵的价格。这些人可真恶心。
74,把买家抓起来判刑就没事了
75,买了犀牛角他们就能羽化登仙了吗
76,资本家买来当首饰
77,有本事你一辈子别看中医
78,一枪一个毙了吧，这种人留着没意思。
79,我们欣赏石头雕刻的艺术，陶泥烧制的艺术，金属铸造成的艺术，刺绣带来的五彩斑斓！但我们拒绝根雕、骨雕，因为良心告诉我们:我们正在做破坏的事，毁灭的事！枯骨的呐喊声，哭泣声，咒诅声在达到我们的耳边！不为之同悲伤同哭泣怎有人的良心！人的良心——为今天的生活着想，也为明天的生活远顾！
80,这个角有什么用
81,"活体工艺品有啥实际用处?不是有更好的人造替代品?非得用生物的骨质物来做?显得你很""有钱""?你所谓的虚荣心可是绝大部分人连在意都不会在意的。"
82,犀牛为什么不养殖犀牛？
83,希望只是锯断了角
84,犀牛角对犀牛来说就是护卫武器，没了角也活不了多久，变相杀害。
85,看到有专门的保护人员给犀牛安装假角
86,为啥啊？犀牛角做的饰品？发簪烟斗？
87,没有买卖就没有……
88,好药啊，好药
89,查到的赃物，怎么处理呢
90,所以有个比较猎奇的保护手段，就是先锯掉犀牛角，然后给他们安装一个假的角
91,约100头？有些是双角的？
92,咱国家又没有野生犀牛了 管这个
93,可中国没有犀牛啊
94,这些犀牛角是从境外走私进来的
95,跟着朋友去参观艺术览展，我突然发现人类有个扭曲的灵魂，不爱那活着的事物，反而爱那死去事物的遗骸！
96,我的天
97,龙哥胖了！胖了！胖了！（重要的事情说三遍）
98,这么一看真的脸上有肉肉了呢！依旧那么帅
99,和WWF全球大使朱一龙一起，为地球发声
100,真的，朋友也喜欢龙哥，哥哥也很久没营业了，想向别人安利又不知道怎么说，喜欢他喜欢到忘了他的好
101,这套衣服又是几个视频一起录的叭hhhh
102,本来第一个视频我还不觉得哥哥胖了，但是突然跳到第二个视频之后就胖的好明显啊
103,胖龙让我确定一件事，他是真的没整过容，连微调都没有。因为胖龙有点豆子的味儿了哈哈哈。因为沈魏脸比豆子足足小了3圈，所以我一度怀疑拢龙是不是微调过，毕竟这在娱乐圈太正常了。可龙哥是千年老痘护航的钢铁直男啊，又觉得不可能。果然，豆子就是胖，还黑，而已。。。。。。哈哈哈哈哈
104,寻艺明权，看一眼叭，微信搜明星权力榜和寻艺，给龙哥投一票吧
105,前后一对比，看出龙哥胖啦～哈哈，还是胖点儿更好看～
106,是我的错觉吗？觉得龙哥有点脖子前倾？
107,为地球发声，冲呀
108,哥哥加油我高考也加油
109,如老虎。。嗷呜~~
110,包包们，3个跟WWF活动有关的任务一起努力做一下，3个任务都关系到“人数”的：1. 地球一小时朱一龙专场，助力人数需要66666，http://t.cn/A6Z57AeS ，需要更多包包发动身边人一起参与进来；2. 扫码哥哥微博发出的海报上的二维码；3. ELLE公主号，在下面这条的留言区写出答案。注意不要简单复制其他人的答案，写上一点自己的思考想法等等。http://t.cn/A6ZGXmAT加油动起来
111,啊啊啊啊啊啊啊热腾腾的哥哥！！！
112,有点脸圆又健康的龙哥真好看，哈哈哈哈
113,肉嘟嘟的哥哥反而更可爱了！亲亲甜甜小朱(=・ω・=)
114,和WWF全球大使朱一龙一起为地球发声
115,长肉肉啦，好看！长肉肉的朱朱最好看
116,都听龙哥的
117,我的天我感觉刚刚好，非常好看呜呜呜
118,刚刚好，不胖
119,刚刚又看了吴邪时候的龙哥，真的瘦的让人心疼 所以我觉得现在这样刚刚好！
120,我超喜欢朱朱肉嘟嘟的脸 很好亲的感jio（不是
121,有肉肉更好，说明宝贝有好好吃饭
122,这样比瘦的时候好看
123,其实现在这个健康的状态最好啦！！看他太瘦我心疼
124,我也是，然后每次逛B站发现都看过了
125,回复 @巍璧明也 :我也
126,其实这样也挺好的……就单纯做个演员没事儿做个公益
127,看出来了姐妹
128,回复 @逍垚稔儿 :给涯总直播间送b坷垃，或者投币满20个硬币，就可以去直播中心领取，不过投硬币那个我也不知道怎么看的
129,请问包妹你昵称前面的 朱一龙5 怎么弄到的啊？我也想弄一个
130,虽然亲妈粉们说胖龙也好看。。。。哈哈哈那是，底子在这儿呢，但是作为观众，我觉得沈魏时期130多斤的拢龙是最好看的！吴邪那样110多斤，瘦的快脱像了也不好，让人心疼
131,哥哥里面的衣服颜色我真的爱了，要去买个同色了
132,觉得哥哥好像有讲重音就伸一下脖子的习惯
133,感觉可能是拍摄角度的问题吧！
134,因为龙哥以前拍戏腰伤没有恢复好
135,http://t.cn/A6ZGXmAT
136,状态也太好了！！！！
137,在吗？抽个粉丝投喂小脑斧
138,你们可能不知道 我曾经在极度愤怒的情况下 愤怒了一天
139,老子一个滑铲全抱走
140,众所周知，东北虎必须熟练掌握东北话，所以饲养员必须是东北银
141,"那一天我在医院捐完1吨血后回家写诗，写到2000多首的时候准备休息一下顺便发表---篇关于癌症的论文,这时我看见楼下有只老虎跟一头熊打架，我直接从18楼跳下去并在空中调整身体稳定落地，着落点和目标隔了层40m的钢板，我瞬间极端愤怒，心脏一下喷出5吨血，刚想-拳打穿40m钢板过去阻止,没想到旁边两个被我落地吓到的路人过来围攻我,第一个壮汉扑过来我随便借一一个力背摔，他头扭到脖子昏迷了，第二个拿出步枪想射我，我在极端愤怒的情况下闪避了30发子弹，-拳使他缴械并击穿了他身后的40m钢板，接着我继续向老虎赶去，老虎看见我直接扑过来，我一个滑铲从它身下滑过，并用随身带的刀子把它的肚子划开，内脏掉-地，它当场去世。熊马上跟过来，它-过来我就闭气装死，它一回头我直接- -个锁喉，两只腿固定住它的要，用力一分钟就把他窒息了。这时背后突然冲出一只成年的雄性暴龙，没想到我刚才极端愤怒的一拳不仅打穿了40m的钢板，还打通了时空裂缝。我二话不说赶紧把刀子牢牢地绑在脚板上，暴龙冲到我前面，张开大口从上往下咬，我向前一个翻滚躲避攻击，起身一跃抓住前爪挂在暴龙的胸前，我的一只脚板下是绑着匕首的，我就用那条腿来踢，每踢一下就等于捅了它一 刀,大概踢了七八下， 它就一命呜呼了。还没松口气又来了100个神秘组织的人,想把我抓去研究，我当然不同意，于是和他们打了起来，打了足足75分钟，完事之后还摇着花手跑了30公里，因为实在太累就在某个人的院子里躺下睡着了，这家人养的藏獒看见我在睡觉就想吃掉我,我神经拳一拳干在它的眼窝上，然后我就醒了，那时候有点害怕，它更凶了又要扑上来，我接着双腿劈叉跳它咬在了草地上，我直接剪刀腿夹住它的脖子，借着落地的力720度旋转给他头拧下来了，狗主人看到这一幕一直骂向我要赔偿，我就笑笑，躺在血泊中继续睡，因为我知道我随时可以用我的剪刀腿拧下他的头。人和人不能一概而论。"
142,这个工作还招人吗
143,幼年期大猫，攻击力很低，但依然很凶萌，可以使出卖萌绝技使两腿兽失去抵抗能力！
144,可爱的大猫咪
145,人和人的体质不能一概而论，我面对这种老虎一个滑铲就进了阿伟乱葬岗
146,下虎式伸懒腰！
147,你们可能不知道，小老虎在动物园待一个小时就会过去60分钟
148,六级猫粮不请自来
149,四只小花猫🐯
150,阿伟死了啊啊啊好可爱！
151,柠檬树上柠檬果 柠檬树下只有我
152,我跟你讲，这种猫我能rua…我能跑五公里
153,emmm，比前两天大了？
154,人和人的情况不能一概而论，我曾经在极度愤怒的情况下，老虎冲过来一个滑铲，把我肚子抛开了。
155,翘屁嫩虎
156,awsl
157,就你了，三级肉嫩。
158,就你了，三级...啊呸我也是三级
159,无能狂怒？
160,那可太愤怒了
161,人跟人不能一概而论，毕竟体质不同，要是我像层主这样愤怒一天   我能把自己活活气死
162,结果发现虎妈就在门口等你
163,直接滑到老虎妈妈面前🐯
164,先别滑铲了，虎爷今天都吃撑了，明天吧
165,我又开始膈应你了
166,回复 @长夜_忆 :那你别穿人类的衣服啊
167,知乎宇宙
168,哈哈哈 段子原主怎么还是人呢 是神仙了
169,摇着花手跑30公里
170,还招人，就是一天换三顿，哦不，三个人
171,不了，老虎最近有点消化不良
172,回复 @学习资料码 :这就体现出会滑铲的重要性了
173,有可能是61分钟
174,人被杀，就会死
175,众所周知，人喝水就会死
176,六级肉已经柴了，不好吃，还是喂上面那群三级的吧
177,回复 @水桶浪客 :我们4级的肉太肥了，怕把小老虎腻到，还是三级的肉好，不肥不瘦
178,回复 @葫芦精辟 :就你了
179,金渐层
180,可怜又惢疼[酸了]偷猎者不得好死
181,没见过穿山甲，不过希望他们都不会被抓～
182,突然有一个疑问，如果是中医导致应该只是中国走私量大，但标题上说的是全球范围内穿山甲范围内都是都是最大的。然后就是以形补形确实很不靠谱，但是从穿山甲联想到 通透 再联想到增加母乳，这中间的跨度太大了根本不是正常人思维。而且这个穿山甲因为中医被走私的原因就像是突然冒出来的，并且所有营销号都这么异口同声的这么说，而且都没有任何数据，就向观众灌输了这个结论，就好像它是一个共识。
183,其他我不知道，但从穿山到母乳这种脑回路在传统中医书里太多了，我在书店看过某版本的本草纲目，很多这种
184,中医脑回路历来清奇，人屎人尿皆可入药，各种动物屎也可入药
185,因为富人喜欢象牙制品，所以全世界的大象就遭了殃。因为西方人喜欢吃松露，所以云南那里都没啥人吃的松露好多都出口国外。所以你知道为什么中医说穿山甲的那些妙用，就能导致全世界的穿山甲都遭殃了吧？
186,不能否认中医在古代以及并不久远的过去在治病救人上发挥的巨大作用，在古代很长一段时间都是其它地区，尤其是欧洲不可比拟的。是我们的骄傲。但是，现在已经有了降维打击的先进医学，就不要退而求其次了。其实没有什么中医西医的说法，还加入什么民族情绪，怪力乱神之类的。我觉得应该统称古代医学和现代医学，该怎么选，一目了然。
187,我反对捕杀买卖穿山甲。对于中医，我虽然不懂，但是我有过亲身经历。以前我一个咳嗽两个多月没有治好，医生说治疗的药物方法就这些，不好也没有办法。然后经亲戚介绍我去了一个退休医生的家里，他搭了下脉什么的，开了个方子。我按照方子去中药店抓了6包中药，一周就好了。有些地方，中医还是有他的独到之处的。我认为全盘否定中医的人对中医并不懂。
188,即使在现代，中医也有很多很有用的东西呀，比如说针灸、正骨、推拿等等，中医又不是只有那些奇奇怪怪的药物，就算是有些药物原理无法解释，只要能通过双盲实验验证疗效，不一样是科学有效的吗？揪住一个错误就彻底否定，不合适吧。
189,不要把中医跟盗猎野生动物混为一谈行吧，盗猎就盗猎，哪有那么多冠冕堂皇的理由？完全就是两回事，治病的方子多了去了，哪有非用保护动物的道理。某些人抓住这些奇奇怪怪的药物直接把中医彻底否定了？一口一个糟粕？在您眼里中医就只有这些？针灸、推拿、正骨这不也是中医的东西？就算是有些药物不能解释原理，只要双盲实验通过了，不一样是科学有效的？别太二极管行吧
190,纲目记载穿山甲有毒，所以自己想吃就别往传统医学上扯。
191,有种中药，主要成分是蚯蚓，说可以通血管，因为蚯蚓善打洞！你去查，很多中药书籍都这样写。传统医学有可取之处，但是糟粕也很多啊！而且最重要的是，行骗的中医太多了，随便包装一下，就是中医世家，包治百病！
192,古人都不会认为古人100%对，中医古籍里古人因为某些观点互相争论的多的是，而今是某些人放弃了思考。
193,葫芦爷爷:能，就是它穿了山放跑了妖怪！
194,盲猜又有人诋毁中医了
195,现代科学体系下中医基本没有什么发言权。
196,中医需要去糟粕
197,买本最新版的中药学，上面就清楚的写着，具有祛瘀通经，通下乳汁，消肿排脓的作用，中医很多东西就暂时无法用科学去解释，但不能否认他有用，他的疗效，不然哪来这么多中医院中医院校，我们这的人民医院中医门诊天天爆满
198,想吃穿山甲可以啃自己的指甲
199,穿山甲和指甲成分一样？哈哈哈。
200,动物灭绝跟我们穷人真没啥关系，都是有钱人的需求，也是有钱有势有势的人在享用
201,穿山甲的灭绝：论土豪的危害
202,大众的眼睛是雪亮的，有没有道理自己心里明白，什么都说不出来还想让大家信服，可能么
203,传统医学
204,这就要问我们的老中医了 哈哈
205,据说有一半人吃中药得肾衰竭的是真的吗
206,能做鸡汤
207,这玩意儿一级？真的是牢底坐穿兽。
208,有人工培育的吗
209,吃啥补啥，我缺指甲所以要吃穿山甲？
210,从我做起
211,我承诺：保护野生动植物
212,大家一起接力：我承诺，保护野生动植物！
213,我承诺，保护野生动植物！
214,从我做起，支持
215,保护野生动物！
216,感恩众生菩萨
217,南无阿弥陀佛！
218,非常支持，早就该这样了
219,希望这次疫情过后能加快相关法律的制定
220,支持 我参与
221,非常非常支持，早该这样了。
222,真希望猎杀野生动物的人重判
223,必须严厉打击
224,愿所有生命都被温柔以待
225,我们甘肃甘南藏族自治州永远支持你们。
226,加油
227,支持
228,支持国家政策。
229,必须支持。
230,强烈支持 
231,必须严厉打击 
232,势在必行，刻不容缓。
233,支持！    保护所有生命，尊重生命，不爱请勿伤害。人做天看 
234,早该这样做了  支持
235,付出多么大的代价啊！早一点这样做多好！
236,重在执行和坚持
237,必须严惩不贷。给予判刑。
238,永久关闭野生动物交易市场
239,而且支持重判
240,支持重判。没有严厉就不会牢记。
241,保护自然，重判野生交易
242,重判野生交易
243,支持重判！爱护野生动物和平相处！
244,珍爱动物，热爱大自然
245,必须的重判啊！…………！！！
246,抓的好，给力
247, 不放出来  我都不知道  这是干啥的  要保护野生动植物 
248, 保护好自己才是王道 
249, 看来以后好看的东西不能买。 
250,必须严查
251, 查、严查 
252,加大力度打击野生动物买卖，这次教训还不够吗 
253,绝对有靠山 要从根本查起
254,立即当斩
255,真的是顶风作案
256,斩立决
257, 今年的榛蘑多少钱一斤 
258, 我想买蘑菇钉 
259,这是野生植物吗
260, 小店里怎么没有榛蘑呢？ 
261,笼鸟文化，千年历史，这是为了什么
262,我看见好多人养画眉鸟啊，不能养吗
263,马鹿山公园每天早上有好多人提着画眉鸟玩
264,严惩不贷的
265,这些在融水那边多的是
266,弄的好
267,依法严历打击
268, 这个真的漂亮 角是透明的 点睛之笔 
269, 那别卖了 全自己留着 
270, 老师，帮忙代购吗 
271, 保护动物！人人有责！ 
272,近年来的灾害提醒着人类
273,尽自己的能力保护动植物
274,敬畏生命，敬畏自然
275,一起保护！
276,有些动物是永远消失了
277, 要严查贩卖野生动物的！      
278,小时候能见到的物种到现在绝大多数都见不到了
279,可惜
280,        
281,    
282,重重的罚，这得多少鲜活的生命啊！
283,用羚羊角戳死
284,为什么屡禁不止  还不是某些人不作为 
285,沒有买卖，就沒有杀害沒有买卖，就沒有杀害
286,你把惩罚加重，就会减少铤而走险的人。惩罚太轻就不用考虑太多
287,黑猫这么多，谁的错
288,惩罚的越多，就说明这东西越值钱。这东西越值钱就越有人搞。
289,这羚羊角是真的吧
290,很名贵的中药材！小孩发烧磨水喝比啥都好的快！
291,那东西有啥用？
292,很贵按克卖！一条最少最少十多万都不止！现在这东西少了更贵！
293,必须严惩，爱护大自然保护野生动物
294,缴获的这些东西是集中销毁还是到了个别人手里
295,沒有买卖，就沒有杀害
296,重判重判！！！
297,捡一根虎骨能判5年，这些人不要都枪毙？
298,明知故犯，支持重判！
299,重罚重判
300,人抓了，货物也没收了，一举两得
301,人类太可怕了！
302,没有买卖，就没有杀害
303,查了这些东西怎么办？有些事情不想说的那么明白，自己体会
304,国家收藏 
305,缴获的东西怎么处理？
306,买家也应付出代价。没有买卖就没有伤害。
307,没有卖买就没有伤害
308,把象牙镶他们嘴里，羊角安头上。。。以儆效尤
309,所有动物都有血有肉，为啥动物不平等呢？
310,以后全部都不要吃肉了哈，全部吃素 
311,没有买卖，就没有杀生 
312,如果曝光收缴后的去向就好了
313,这羚羊角厉害！上边都长着倒沿，好进不好出。
314,那么这个两千万这个价值是怎么来的？？？这得品一品
315,没有买卖就没有杀害
316,这是什么东西啊，都没见过。
317,这些能做什么我不懂
318, 保护野生动物，就是保护我们自己生命！ 
319, 保护的最好方法，就是放开去驯养 
320, 保护动物人人有责 
321, 保护野生动物，就是保护我们自己生命！没有买卖就没有杀害！         
322, 如果这次疫情放过了人类，希望人类也能放过它们 
323, 拒绝吃肉。全部吃青菜   
324, 好吃   
325, 保护动物，人人有责   
326, 现在越来越多网红用人工种植的名义来规避违法，绝了，让所有人相信，有些人工养殖的动物也不一定能吃OK？ 
327, 我气的是前面 
328, 保护动物，人人有责 
329, 保护动物，也是为了保护自己呀           
330,我们与动物和平相处就是保护地球。
331,保护家园人人有责
332,保护动植物从我们做起，加油    
333,海洋是生命的起源之地，海洋中的生物多达20余万种，其中动物约18万种，植物2万余种，保护海洋环境就是保护人类自己。
334,保护野生动植物从我做起
335,守护我们共同的家园，守护地球生态！铁铁们加油！
336,保护野生动物人人有责 
337,保护好野生动物，
338,保护动物人人有责
339,讲的太好了
340,保护野生动物
341,保护家园，人人有责
342,保护野生动植物，我们在行动！愿每个生命都能被温柔以待，保护野生动植物，从我做起，从我们做起！希望大家积极举报各类破坏野生动植物的行为，与我们一起守护地球生态。 
343,保护地球
344,爱护野生动物园，从我做起
345,保护动植物从我们做起，加油 
346,守护是责任   ，打击是重点，各位老铁行动起来。
347,护生态环境，人人有责 
348,以后不能吃肉了，刚好可以瘦 
349,保护野生动植物，我们在行动！愿每个生命都能被温柔以待，保护野生动植物，从我做起，从我们做起！希望大家积极举报各类破坏野生动植物的行为，与我们一起守护地球生态。
350,保护动物从我做起
351,环护从小做起
352,保护动物我一直在行动
353,一起保护动物，加油
354,让我们大家一起，保护野生动物
355,一定要保护我们的家园，杜绝破坏生态平衡，一定要保护动植物
356,守护我们共同的家园，保护野生动物，一起加油
357,珍惜每个生命 
358,保护好野生动物
359,守护好我们的家园！愿每个生命都能温柔以待！
360,保护野生动物，从我做起
361,从每个人做起
362,一起加油
363,我们在行动
364,一起为美好家园付出一份微薄之力吧 
365,守护我们自己的家
366,只要人人都献出一点爱世界将更美好
367, 没有买卖就没有伤害   
368, 必须严惩， 
369, 这都是真品   
370, 这些都是好东西啊。   
371,太残忍了
372, 辛苦你们了     
373,辛苦了
374, 辛苦了     
375, 源头不打，却打买家  。希望大家小心  。 
376, 就想问问，罚没的东西最后去哪里了？ 
377, 买，必须买，好东西才有市场 
378, 就不能从根源解决问题吗！ 
379, 失望的世界 
380, 海边成吨的贝壳你们要不，不知道捡来后犯不犯法   
381, 好广告       
382, 现在睡觉都不敢翻身生怕压死任何一个螨虫 
383, 你们应该严查，不让上架 
384, 我就买，买真品 
385, 这样的情况不是普通人能买的 
386, 我买的是勺子形螺   
387, 海关没收的这些后期怎么处理 
388, 没收以后东西去哪里了 
389, 陷阱   大家注意了   
390, 要是买完了咋办 
391, 这摆明了就是仙人跳高级版   
392, 变相广告涨价了吗 
393, 大国风度，强国法则 
394, 支持！厉害了我的国！ 
395, 厉害了我的国🇨🇳 
396, 支持 
397, 为祖国点赞       
398, 支持保护野生动物      
399, 保护动物 人人有责       
400, 支持       
401, 支持   
402, 支持👍👍👍 
403, 必须严惩 
404, 感谢分享感恩老师讲的必须严惩 
405,野生动物没惹你们任何人
406, 才判这点刑 希望重判这类人         
407,有只老虎的牙齿被磨平了，不知道你们看见没
408,我没钱去游乐园看动物表演，这算不算间接保护动物了？
409,还是那句话：没有买卖就没有伤害
410,人类就是罪恶的源泉是根本
411,我一直蚂蚁都不舍得菜死
412,告诉你们吧。弱肉强食。不过你们硬要这样子说。聪明反被聪明误。让我上热门。
413,永远支持！！
414,所以有了很多灾难！！！阿弥陀佛
415,说法律吧，法律厉害谁也不敢
416,本来是在科普得同时也给人们带来快乐，关键看怎么对待，怎么监管
417,我们县城这几天庙会，里面有熊和老虎，看见它们可怜的不行
418,只要没人去看，自然而然那个行业就不行了，当然这是不可能的。
419,不是我说，人类如果再这样下去虐待那些猛兽的话，老虎狮子，可能他们以后就没有了大自然的那份狂野，不信，咱们可以试试
420,南摩阿弥陀佛
421,不知道怎么去制止
422,动物园怎么讲
423,保护动物，人人有责
424,保护野生动物人人有责
425, 这必须严惩。 
426,严惩！
427,坚决打击贩卖野生动物的行为
428,这个是药材
429,必须严惩
430,重惩
431,大自然给予万物生命都是平等的！人类呀！善待每一生命吧，等于善待我们自己！
432,严打严惩
433,希望一直这样严查下去
434,严惩。
435,务必严惩。
436,必须重判！
437,严办
438,为海关点赞！
439,辛苦了 致敬英雄
440,各类野生菌类这些都是有用的#健康养生#菌类#灵芝@抖音小助手
441,我们重来不吃这些，煮不熟太硬了不好吃
442,一般还是药用
443,主要不了解，我们这边也这样的也不了解。
444,你说的这些我们这里都不要 多的很
445,云芝可以煲汤喝吗
446,我只想知道紫灵芝和红灵芝有什么用？
447,可以煲鸡汤了是吧？？有没有多少或者是用量这方面。
448,老板！你那哪个灵芝最好？
449,有赤灵芝么
450,没有哪个最好的药用价值不同的。一般裂迭灵芝跟紫芝用的比较多。
