评论,fenci,情感分类,主题概率,主题类型
让我最不爽的是没有ＸＰ的驱动盘，我上官网下载花了我一下午时间！,不爽 驱动 上官 下载 下午 时间,neg,"[(0, 0.010205748), (1, 0.010205777), (2, 0.01020574), (3, 0.7277291), (4, 0.010205748), (5, 0.010205705), (6, 0.010205744), (7, 0.010205726), (8, 0.010205833), (9, 0.010205758), (10, 0.14980185), (11, 0.01020577), (12, 0.010205775), (13, 0.010205757)]",3
键盘有点不习惯，尤其光标键做得太小。散热部分没有好，不过说得过去。,键盘 习惯 光标键 太小 散热 说得过去,neg,"[(0, 0.010210472), (1, 0.010210447), (2, 0.010210458), (3, 0.010210446), (4, 0.01021045), (5, 0.010210457), (6, 0.010210467), (7, 0.8672639), (8, 0.010210522), (9, 0.010210451), (10, 0.010210467), (11, 0.01021051), (12, 0.010210501), (13, 0.010210481)]",7
今天刚买的，开机使用没多久，交流电流适配器便不间断发出刺耳的杂噪音，继而发现电池也发出同类声音。我很多朋友都用，都没有这种情况，所以可以确定是产品质量问题。,开机 没多久 交流 电流 适配器 不间断 发出 刺耳 噪音 发现 电池 发出 同类 声音 朋友 情况 产品质量,neg,"[(11, 0.9483493)]",11
"没有驱动及系统安装光盘,对今后的使用带来一定不便,最让人感到气愤的是,居然整个硬盘就1个分区,厂家的这种做法也未免太懒惰太不负责任了!",驱动 系统 安装 光盘 带来 不便 最让人 感到 气愤 硬盘 分区 厂家 做法 未免太 懒惰 不负责任,neg,"[(5, 0.9453132)]",5
触摸板设计太差，不如三星等品牌的好操作。左右键间隔太大，对于习惯单手操作触摸板的我来说很不方便。键盘键位间距大，容易进灰尘。连系统盘都不送一张，未免有点小家子气了。,触摸板 设计 三星 品牌 操作 间隔 习惯 单手操作 触摸板 键盘 键位 间距 灰尘 系统盘 一张 未免 小家子气,neg,"[(10, 0.94836247)]",10
大家在京东买东西一定要谨慎，出现点问题就是自己到处去跑，他们才不会管你，小心上当！！,京东 东西 谨慎 小心 上当,neg,"[(0, 0.011914572), (1, 0.011914536), (2, 0.011914531), (3, 0.011914532), (4, 0.011914542), (5, 0.011914529), (6, 0.011914544), (7, 0.011914521), (8, 0.011914542), (9, 0.011914525), (10, 0.845111), (11, 0.011914521), (12, 0.011914551), (13, 0.011914553)]",10
散热不是很好，不过送的散热器还可以将就用用，到天热的时候再看怎么样了,散热 散热器 用用,neg,"[(0, 0.017861247), (1, 0.017861193), (2, 0.017861202), (3, 0.017861199), (4, 0.017861206), (5, 0.017861206), (6, 0.01786119), (7, 0.017861212), (8, 0.7678043), (9, 0.017861195), (10, 0.017861225), (11, 0.017861195), (12, 0.017861197), (13, 0.017861195)]",8
操作系统还不如直接给裸机，分成一个盘最后还是要重装的，不给个光盘一重装专用软件在网站上也没找到，美中不足,操作系统 裸机 分成 重装 光盘 重装 专用 软件 网站 找到 美中不足,neg,"[(8, 0.922554)]",8
我买的这个笔记本上门写的家庭高级版，结果拿到手是版的，,笔记本 上门 家庭 高级 拿到,neg,"[(0, 0.011911229), (1, 0.011911273), (2, 0.011911304), (3, 0.01191126), (4, 0.011911234), (5, 0.011911251), (6, 0.8451537), (7, 0.011911247), (8, 0.0119112395), (9, 0.01191127), (10, 0.01191126), (11, 0.011911244), (12, 0.011911234), (13, 0.0119113)]",6
散热一般，从触摸板到右手掌托有些温热，只有三个，太少，不过分配到是比较合理,散热 触摸板 右手掌 温热 三个 分配,neg,"[(0, 0.8672102), (1, 0.010214585), (2, 0.010214605), (3, 0.010214608), (4, 0.010214593), (5, 0.010214595), (6, 0.0102146035), (7, 0.010214598), (8, 0.01021461), (9, 0.010214598), (10, 0.010214591), (11, 0.010214645), (12, 0.0102145905), (13, 0.010214599)]",0
屏幕设计的有点小了，很宽的留边，有点浪费；,屏幕 设计 留边 浪费,neg,"[(0, 0.014297788), (1, 0.014297813), (2, 0.014297697), (3, 0.014297672), (4, 0.81412953), (5, 0.014297723), (6, 0.014297696), (7, 0.014297708), (8, 0.014297626), (9, 0.014297724), (10, 0.014297872), (11, 0.014297734), (12, 0.014297772), (13, 0.014297699)]",4
"触摸板那里有点热,不知道是不是正常现象,在有外壳都是塑料,有点不太结实的感觉,我觉得我还得去买个内胆.",触摸板 现象 外壳 塑料 结实 感觉 内胆,neg,"[(12, 0.8838969)]",12
明明写的是高级版，拿到手才发现只是普通版！明明说2点及千克，拿到手变3点几千克了！神奇哦！,明明 高级 拿到 发现 明明 千克 拿到 手变 几千克 神奇,neg,"[(7, 0.91550654)]",7
接口太少，靠得近，而且还在左边.刚出库就有返现100元，赠包！！！ 的活动，又不能保价，大大的不爽！！！ ，预制的很麻烦，还不如裸机再节省点价格。,接口 左边 出库 返现 活动 保价 大大的 不爽 预制 麻烦 裸机 节省 价格,neg,"[(2, 0.845052), (6, 0.09365743)]",2
键盘上的键敲得稍微快点的时候，有些字母明明敲了，但是就是没上去。好像主要是在左边的键。,键盘 稍微 快点 字母 明明 没上去 好像 左边,neg,"[(6, 0.8967639)]",6
明显能看出来是低端本，塑料感很强，做工也仅仅比神船稍好。只有2个，且都在左边。散热很差，面好像蒸笼啊。不送包……,低端 塑料 做工 神船 稍好 左边 散热 好像 蒸笼 不送,neg,"[(4, 0.8071303), (12, 0.114873074)]",4
"到货时间太慢，整整过了8天，是没有系统还是怎么了？为什么打开之后就不动了，显示  ,谁能帮我解释解释，该怎么办呢？是应该找京东还是找宏基？",到货 时间 太慢 整整 系统 打开 不动 显示 解释 解释 京东 宏基,neg,"[(6, 0.7884684), (8, 0.14555518)]",6
悬浮键盘~！ 真不知道设计师怎么想的 按键的下半部分 识别率很低 ~按10次 识别5次就不错了  而且 悬浮键盘 容易积灰！还有就是很厚 做工不细,悬浮 键盘 真不知道 设计师 按键 下半 识别率 识别 不错 悬浮 键盘 积灰 做工 不细,neg,"[(11, 0.81499094), (13, 0.12778279)]",11
装系统麻烦，至少要告知具体方法，比如要改中的硬盘选项，非专业的人是想不到的，另外刻录机在读盘的时候震动非常大，我认为对硬盘肯定有损伤。,系统 麻烦 至少 告知 具体方法 硬盘 选项 非专业 想不到 刻录机 读盘 震动 硬盘 肯定 损伤,neg,"[(3, 0.94191015)]",3
1.购买的时候写着赠送包的，可是收到本本的时候没有包。这时去查看订单时，赠包的条款没有了。,购买 赠送 收到 本本 查看 订单 赠包 条款,neg,"[(5, 0.8967373)]",5
没有系统，拿到手里打开机器，只能随便看一下，因为没有系统啊！没有系统才会有这样的价钱吧！开箱的时候竟然是一个纸箱面又装了另外一个箱子，这箱子还真多，不过没有鼠标和包包！,系统 拿到 手里 打开 机器 只能 随便 系统 系统 价钱 开箱 纸箱 箱子 箱子 真多 鼠标 包包,neg,"[(9, 0.8638767), (10, 0.08847799)]",9
预装的版本不是常用，可以装版本的。还有安装一键还原时会死机，还有官方的显卡驱动装不上，少个文件。还有该型号的同个设配用了多个不同的驱动，找驱动不好找。,预装 版本 常用 版本 安装 一键 还原 时会 死机 官方 显卡 驱动 装不上 少个 文件 型号 同个 配用 多个 驱动 驱动 不好,neg,"[(6, 0.18019085), (7, 0.78250736)]",7
就是本本上许多预留的接口让人看了太心酸了。,本本 预留 接口 心酸,neg,"[(0, 0.01429889), (1, 0.014298926), (2, 0.014298957), (3, 0.014298887), (4, 0.014298887), (5, 0.014298956), (6, 0.8141143), (7, 0.014298887), (8, 0.014298881), (9, 0.014298899), (10, 0.014298924), (11, 0.014298896), (12, 0.014298902), (13, 0.014298889)]",6
有点厚重，不过这个价格，算是这样的了，接口只有2个而且位置不当,厚重 价格 算是 接口 位置 不当,neg,"[(0, 0.010210719), (1, 0.010210701), (2, 0.14066815), (3, 0.010210711), (4, 0.010210729), (5, 0.010210703), (6, 0.010210729), (7, 0.010210774), (8, 0.010210707), (9, 0.0102106985), (10, 0.01021071), (11, 0.73680323), (12, 0.010210709), (13, 0.010210691)]",11
装系统麻烦，对于新手。笔记本有些厚，给女生买注意外观。不适合女生,系统 麻烦 新手 笔记本 女生 外观 适合 女生,neg,"[(5, 0.31155136), (13, 0.5931961)]",13
"为什么玩魔兽争霸有的时候会卡?完流行蝴蝶剑直接显示不出来,甚至黑屏的显卡还这么垃圾?",魔兽争霸 流行 蝴蝶剑 显示 黑屏 显卡 垃圾,neg,"[(9, 0.8838766)]",9
1.机身有点厚。,机身,neg,"[(0, 0.03572155), (1, 0.035721514), (2, 0.035721656), (3, 0.035721723), (4, 0.03572156), (5, 0.53561926), (6, 0.035721555), (7, 0.035721555), (8, 0.035721548), (9, 0.035721563), (10, 0.035721514), (11, 0.03572154), (12, 0.035721514), (13, 0.03572188)]",5
发热量好像是普遍现象了，也许是天气热的原因吧，屏幕有些小，时间长了会疲劳,发热量 好像 普遍现象 也许 天气 原因 屏幕 时间 疲劳,neg,"[(1, 0.9070805)]",1
运行速度有点慢，免费的杀毒软件只能用90天，给了两张盘，“鸡肋”没有光驱，如用还得用外置光驱，或合成驱动。麻烦。,运行 速度 免费 杀毒软件 只能 两张 鸡肋 光驱 如用 得用 外置 光驱 合成 驱动 麻烦,neg,"[(8, 0.9419271)]",8
不明白为什么机器是六月产的，有部分驱动却不是最新的，无线上网时断时续，上官网更新驱动后正常。续航时间也没有介绍所说的8小时。,明白 机器 六月 驱动 最新 无线 上网 时断时续 上官 更新 驱动 续航 时间 介绍 所说 小时,neg,"[(0, 0.099594146), (3, 0.8499603)]",3
刚开机没一会  就很热了机子 作为10寸便携小本 还是厚了点 还是重了点 因为电池的缘故吧 因为蓄电时间的提升 忍了~,开机 一会 机子 便携 电池 缘故 蓄电 时间 提升,neg,"[(0, 0.9070939)]",0
17、18日个买了1台，内胆包不一样，其中一台的内胆包实在是蹩脚。一台笔记本外壳有贴膜，一台没有。搞不懂，难道三星也山寨了？,内胆 包不 一台 内胆 实在 蹩脚 一台 笔记本 外壳 贴膜 一台 搞不懂 三星 山寨,neg,"[(5, 0.93803823)]",5
缺点不要太多,缺点,neg,"[(0, 0.035715457), (1, 0.035715435), (2, 0.03571541), (3, 0.03571564), (4, 0.035715416), (5, 0.035715412), (6, 0.035715435), (7, 0.035715435), (8, 0.035715412), (9, 0.535699), (10, 0.035715457), (11, 0.03571547), (12, 0.03571554), (13, 0.035715424)]",9
"很重,背出去很累.好象屏幕上有个亮点,不过很小(屏本来就很小,呵呵),不明显,不过这种好象不算质量问题?不是很懂,不明显也就算了.......",背出去 屏幕 有个 亮点 很小 本来 很小 不算 质量,neg,"[(4, 0.2027075), (12, 0.7115153)]",12
1.刚买就跌价，比较郁闷！,跌价 郁闷,neg,"[(0, 0.023831766), (1, 0.023831788), (2, 0.023831895), (3, 0.023831774), (4, 0.023831813), (5, 0.023832012), (6, 0.02383228), (7, 0.6901856), (8, 0.023831772), (9, 0.02383187), (10, 0.023831848), (11, 0.023831824), (12, 0.023831766), (13, 0.023831952)]",7
用了四天，暂时发现：一是使用时触摸板微热，二是三个口都松，松到一动机器鼠标就掉线了。,四天 暂时 发现 触摸板 微热 三个 松到 一动 机器 鼠标 掉线,neg,"[(0, 0.84373343), (4, 0.0847648)]",0
热了一些，一定要装4 ，一般待机情况下达到56度以上，一个快捷按钮塌了半边，进设置时手靠近左边麦克风孔会发出很大的啸叫声，很奇怪的故障,要装 待机 情况 快捷 按钮 半边 设置 时手 靠近 左边 麦克风 孔会 发出 很大 叫声 奇怪 故障,neg,"[(5, 0.94835085)]",5
6芯电池太重了了。。虽然续航时间长，但是未必所有的用户都会需要这么长时间，可以考虑提供3芯和6芯的一个选择,电池 太重 续航 时间 未必 用户 长时间 提供 选择,neg,"[(6, 0.23166269), (8, 0.6825582)]",8
屏幕分辨率小了点，尤其是1024*600的这个600，用一段时间会发现不方便。另外确实如很多人评价的一点，运行东西稍微多点，就卡。,屏幕 分辨率 一段时间 发现 确实 评价 一点 运行 东西 稍微 多点,neg,"[(3, 0.10083668), (10, 0.8276998)]",10
送来就是坏的，点不亮，也怪我粗心没试就刷卡收货了。搞得我还要自己去话说维修点检测，然后才给换，折腾到现在机器还没用上。在下单的时候有个选项，是否让京东代为试机，点一下就可以了。京东质检部门应该注意一下,送来 不亮 粗心 没试 刷卡 收货 维修点 检测 给换 折腾 机器 没用 下单 有个 选项 京东 代为 试机 京东 质检 部门,neg,"[(4, 0.26762462), (11, 0.6933271)]",11
刚买第二天就降价100～～,第二天 降价,neg,"[(0, 0.023811875), (1, 0.023811845), (2, 0.023811875), (3, 0.023811921), (4, 0.023811884), (5, 0.023811853), (6, 0.36274508), (7, 0.023811895), (8, 0.3515124), (9, 0.023811845), (10, 0.023811905), (11, 0.023811948), (12, 0.023811854), (13, 0.023811873)]",6
"声音太小了,开到最大,声音都小得吓死人,最好是买耳机听歌,,视频晚上有点黑,亮度调到最大也有点黑,送的内胆包太差了,我买的白色,送的黑色的内胆包,而且内胆包还不能封口,我觉得不像内胆包.",声音 太小 声音 吓死人 耳机 听歌 视频 晚上 亮度 内胆 包太差 白色 黑色 内胆 内胆 包还 封口 内胆,neg,"[(11, 0.95108503)]",11
电池没说的那么好，用了半个月，一直在用电池，也就用67个小时，开始是8小时，效果没有想象中那么理想,电池 没说的 半个 电池 小时 小时 效果 想象 理想,neg,"[(9, 0.9071088)]",9
?款?子只能?，才能?示??卡，如果?，??就不被??出?，?句??，只有集成?卡被??，的系?很大，占10多，整???都很慢，很苦?，?在?盼???快推出的?卡??,只能 集成 很大 很慢 推出,neg,"[(0, 0.011914745), (1, 0.011914909), (2, 0.011914763), (3, 0.011914756), (4, 0.011914756), (5, 0.011914744), (6, 0.011914761), (7, 0.011914741), (8, 0.011914763), (9, 0.011914787), (10, 0.84510803), (11, 0.011914755), (12, 0.011914744), (13, 0.011914749)]",10
就是补丁后不能设置密码，害我差点重做系统,补丁 设置 密码 差点 系统,neg,"[(0, 0.84511024), (1, 0.011914691), (2, 0.011914536), (3, 0.011914639), (4, 0.011914536), (5, 0.011914543), (6, 0.011914837), (7, 0.01191461), (8, 0.011914551), (9, 0.011914681), (10, 0.011914535), (11, 0.0119145475), (12, 0.011914517), (13, 0.011914579)]",0
音箱效果不太好，有杂音．只能做一般的使用，需另外配音箱．显示效果也一般．另外自带那个杀毒软件根本就注册不了，被我删了，现在裸奔中．还有那个读卡器，我有试过一次，没法用，不知道什么问题．,音箱 效果 不太好 杂音 只能 音箱 显示 效果 自带 杀毒软件 注册 裸奔 读卡器 没法用,neg,"[(9, 0.9380637)]",9
虽至于另外的那些更是不值一提，选来选去三星的这款不错。然以前用的三星不好，但这次不错,更是 不值一提 选来 选去 三星 这款 不错 三星 不好 不错,neg,"[(11, 0.70262533), (13, 0.21932511)]",11
买回来后当天试了试，因为出差一直没用，昨天才打开，过了换货期。电池不能充电，希望出厂时严把质量关，给顾客减少不必要的麻烦。,买回来 当天 试了试 出差 没用 昨天 打开 换货 电池 充电 希望 出厂 时严 质量关 顾客 减少 不必要 麻烦,neg,"[(2, 0.86619294), (13, 0.08864736)]",2
性能一般，蛮肉的，但上网速度很快，比我大都快，郁闷。。。电池太强啦～什么时候大本子也能用它个6小时啊？,性能 蛮肉 上网 速度 很快 郁闷 电池 本子 它个 小时,neg,"[(2, 0.915542)]",2
1.底座的橡皮托容易掉落...,底座 橡皮 掉落,neg,"[(0, 0.01788454), (1, 0.017884554), (2, 0.01788454), (3, 0.01788454), (4, 0.01788454), (5, 0.01788454), (6, 0.01788454), (7, 0.0178846), (8, 0.7675009), (9, 0.01788454), (10, 0.017884595), (11, 0.017884549), (12, 0.01788454), (13, 0.01788454)]",8
送的内胆包有点不好，还有外接电源中间连接处无法全部插入。续航时间也没有标称的那么长，希望京东能注意宣传的真实性。,内胆 不好 接电源 连接处 插入 续航 时间 标称 希望 京东 宣传 真实性,neg,"[(8, 0.92848563)]",8
有点重了，上下班背着太累人了；还有就是那系统，真气死人了，就一个盘分区，找了好多办法来分区，结果还是把系统给搞坏了，备份也搞没用了。只有拿到服务点，还要花二百大洋搞好分区换个系统。,上下班 背着 累人 系统 气死人 分区 好多 办法 分区 系统 搞坏 备份 没用 拿到 服务 二百 大洋 搞好 分区 系统,neg,"[(4, 0.06722945), (5, 0.7129569), (9, 0.18235384)]",5
原来是钢琴漆的，不是亚光的，小小遗憾。,钢琴漆 亚光 小小 遗憾,neg,"[(0, 0.57013935), (1, 0.014305622), (2, 0.014305569), (3, 0.014305597), (4, 0.01430556), (5, 0.014305605), (6, 0.014305558), (7, 0.014305558), (8, 0.014305562), (9, 0.0143056745), (10, 0.014305558), (11, 0.014305588), (12, 0.2581936), (13, 0.014305569)]",0
160的硬盘容量，实际查看分区只有140多一点，打电话问华硕销售，解释说什么还有隐藏分区……搞不拎清~,硬盘容量 查看 分区 多一点 打电话 华硕 销售 解释 隐藏 分区,neg,"[(1, 0.9155052)]",1
不赠送杀毒软件，只有使用60天的。价格偏高。有些地方2900.因为急着要用，所以图方便下单了。可能是电池的原因，机器有点重。确实战指纹。,赠送 杀毒软件 价格 地方 下单 电池 原因 机器 确实 指纹,neg,"[(2, 0.21709073), (9, 0.7049778)]",9
不足也有：1、份量不轻，别看个不大还挺沉的，感觉跟我的差不多；2、屏幕边框设计不好看，太宽像大模具套小屏幕；3、漂亮的烤漆爱留指纹，美观与实用两难；4、底部温度不低，放腿上夏天比较热。,份量 挺沉 感觉 屏幕 边框 设计 好看 模具 屏幕 漂亮 烤漆 指纹 美观 实用 两难 底部 温度 夏天,neg,"[(12, 0.2944706), (13, 0.66037613)]",13
屏幕清晰度低，为什么很不清楚？？？显卡驱动的问题，还是机子本身的问题？？？,屏幕 清晰度 显卡 驱动 机子,neg,"[(0, 0.011909537), (1, 0.011909645), (2, 0.0119095715), (3, 0.011909605), (4, 0.011909622), (5, 0.011909562), (6, 0.011909631), (7, 0.011909566), (8, 0.011909564), (9, 0.011909603), (10, 0.8451752), (11, 0.011909593), (12, 0.011909577), (13, 0.0119096525)]",10
黑色的表面指纹很明显，屏幕色温挺高，偏色挺大，而且好像不能调？似乎只能调屏幕整亮度，不接交流电的时候屏幕暗，选了高耗电好像屏幕也没亮起来。,黑色 表面 指纹 屏幕 色温 偏色 好像 只能 屏幕 亮度 交流电 屏幕 耗电 好像 屏幕 没亮,neg,"[(12, 0.9453507)]",12
送的内胆包比较差，由于电池的缘故，重量也稍微重了一点，不突出设计很好，但是还是没有浑然一体，最大的一个问题是升级，没有提供空余的内存扩展槽，如果升级，需要用2的条子替换掉自带的1条子，非常不好！！,内胆 电池 缘故 重量 稍微 一点 设计 浑然一体 升级 提供 空余 内存 扩展槽 升级 条子 替换 自带 条子 不好,neg,"[(2, 0.95353854)]",2
不能装锁、光驱读盘能力不算太好、圆通快递太离谱，到货无通知，直接给公司保安，等我见到?时纸箱包装已被拆开过。建议京东每单多给圆通两毛电话费！,装锁 光驱 读盘 能力 不算 圆通 快递 离谱 到货 通知 公司 保安 见到 纸箱包装 拆开 建议 京东 圆通 电话费,neg,"[(0, 0.81807613), (10, 0.13902466)]",0
价格要是能再低点就更好了！京东应该多搞特价活动!快递的服务态度不是很好,价格 低点 更好 京东 特价 活动 快递 服务态度,neg,"[(2, 0.472805), (6, 0.21442474), (10, 0.22541952)]",2
