label,review,fenci
1,"在这种天气里感谢送餐员的辛苦服务,谢啦",天气 感谢 餐员 辛苦
1,"送餐特别快,态度好,非常感谢",送餐 态度
1,送的非常快，包装好！谢师傅！,包装 师傅
1,附近最好吃的麻辣香锅，不开玩笑的,好吃 香锅 开玩笑
1,味道不错，份量很足，建议都点小份。红薯超好吃就是太烂了容易碎,味道 不错 份量 很足 建议 小份 红薯 好吃 太烂
1,还不错，就是稍微咸了点,不错
1,这么晚辛苦外卖小哥了,辛苦 外卖 小哥
1,超级快就送到了，谢骑士很快，感谢骑士这种天气还在工作！,送到 骑士 感谢 骑士 天气
1,非常好吃，味道也很香，推荐！,好吃 味道 推荐
1,"很好吃,速递快,下次继续选择",好吃 速递 选择
1,太麻了，青笋有点小，米饭给的也不多，土豆片都碎了，找不到了,太麻 青笋 米饭 土豆片 不到
1,点了太多次了，味道很香,味道
1,"态度很好,地址填错了还是给我跑了一趟,没有表现出不愿意的样子,为了这个快递员,我写了评论",态度 地址 填错 表现 出不 样子 快递 评论
1,快递小哥很快就送到了！赞！水煮牛肉质鲜嫩，辣的恰到好处，也很入味。不错，挺好吃的！,快递 小哥 送到 牛肉 鲜嫩 入味 不错 挺好吃
1,"口味,不错，干净味道好，送货员服务非常好！",口味 不错 干净 味道
1,"送餐特别快,态度好,辛苦啦,谢",送餐 态度 辛苦
1,"送餐快,送餐大哥态度好,辛苦啦",送餐 送餐 大哥 态度 辛苦
1,"送餐很快,态度也很好,谢",送餐 态度
1,快递大叔人特别好。就是百度外卖现在连个优惠都那个少，真要投奔饿了么了。,快递 大叔 百度 外卖 投奔
1,感觉没有在店里的好吃，感谢送餐师傅我们家六楼没电梯还得爬楼梯,感觉 店里 好吃 感谢 送餐 师傅 六楼 电梯 爬楼梯
1,菜场好，挺好吃的,菜场 挺好吃
1,快递小哥辛苦了！下雨天的真是辛苦您了！给你点赞！,快递 小哥 辛苦 下雨天 辛苦
1,相当好！送餐快，一大盒子超好吃！,送餐 一大 盒子 好吃
1,"送餐特别快,送餐员态度也特别好",送餐 餐员 态度
1,速度快，量多，很香,速度
1,味道很正点！餐具很好用！送餐速度快！,味道 正点 餐具 送餐 速度
1,鱼豆腐有异味儿，有点腻。,豆腐 异味
1,非常好！第一次用百度外卖，送餐很快，快递小哥也很礼貌。菜品量足，味道不错，下次再来。,百度 外卖 送餐 快递 小哥 礼貌 菜品 味道 不错
1,味道不错！,味道 不错
1,东西还可以，但是没有在店里吃的好吃,东西 店里 好吃
1,锅底怎么是13？,锅底
1,"很香,很好吃",好吃
1,"很好,送餐员也很好",餐员
1,菜量给的挺足的，很满意，就是墨鱼丸不太好，有股臭味，其他都很好吃。,菜量 挺足 满意 墨鱼 不太好 臭味 好吃
1,不错好吃，就是最后有点油,不错 好吃
1,一个小时送到的，很好吃，但是点了平菇怎么没给,小时 送到 好吃 平菇
1,辣椒放太多了吧,辣椒
1,锅仔酸菜炖腔骨怎么没见酸菜啊？只有青笋和腔骨，青笋也不是酸的。,酸菜 腔骨 酸菜 青笋 腔骨 青笋
1,很合口味。女友夸猪蹄好吃。过年期间都不容易。给快递小哥个赞。辛苦。,合口味 女友 猪蹄 好吃 快递 小哥 辛苦
1,炒饭有点儿油，不过菜还是很好的,炒饭 很好
1,送餐很及时，菜品味道不错！,送餐 菜品 味道 不错
1,饭还挺实在给个好评送餐挺快,实在 好评 送餐 挺快
1,骑士服务态度很好，速度很迅速！,骑士 服务态度 速度
1,最近一直订这家的外卖，相当不错，够味儿，快递小哥也是棒的！,外卖 不错 够味儿 快递 小哥
1,量很多，就是尖椒豆腐皮的味道差点，不是尖椒，是大海椒，一点辣味都没有呢！,尖椒 豆腐皮 味道 差点 尖椒 大海 辣味
1,味道还不错，红烧肉更软点就更完美啦！,味道 不错 红烧肉 完美
1,"快递员很好,又快又负责",快递 负责
1,味道很好，送餐速度也很快。,味道 送餐 速度
1,一直在订餐还不错好评,订餐 不错 好评
1,很好，送餐小哥服务不错，态度很好，准时，饭菜也不错，大冷天，赞一个,送餐 小哥 不错 态度 准时 饭菜 不错
1,挺好吃的不错送的很快,挺好吃 不错
1,美味，送餐人员态度很不错。,美味 送餐 人员 态度 不错
1,不错啊很好吃哦！送的好快态度很好,不错 好吃 态度
1,"又快又好,小哥态度很好,好评",小哥 态度 好评
1,下雨天，小哥还提前送过来了，好辛苦，好评,下雨天 小哥 提前 辛苦 好评
1,"挺好的,服务态度也挺好的",服务态度 挺好
1,配送员人很好,配送 员人
1,不错，好吃，两个人没吃完，还会光顾！,不错 好吃 光顾
1,小炒肉真心不是湖南小炒肉，坦白讲肉炒太老了，不推荐。鸭头不错,小炒 湖南 小炒 坦白讲 推荐 鸭头 不错
1,特别实在，实惠，量大，良心餐厅。味道也不错,实在 良心 餐厅 味道 不错
1,很不错，菜品物美价廉～,不错 菜品
1,空心菜份量少了点，汤不错,空心菜 份量 不错
1,蛮好吃的就是饭太少了,好吃
1,今天送的真快，好评,好评
1,送货时间挺准的就是对路不太熟悉～还可以吧～,送货 时间 挺准 不太熟悉
1,最近迷恋金桔柠檬茶啊！,迷恋 金桔 柠檬茶
1,服务态度不错，骑手辛苦啦~,服务态度 不错 骑手 辛苦
1,口味不错服务态度好感谢你们,口味 不错 服务态度 感谢
1,今天真是超级快，感觉刚下单就送到啦哈,感觉 下单 送到
1,好服务，就是习惯百度外卖的快速,习惯 百度 外卖
1,口感好其他的不能比我喜欢,口感 喜欢
1,配送费越来越贵！,配送费
1,态度非常好，速度快，味道好极了!,态度 速度 味道
1,"好喝不贵,红火哈",好喝 红火
1,快递小哥辛苦,快递 小哥 辛苦
1,快递很及时，很方便很好,快递
1,服务很好，下次还会订购,订购
1,不错，就定他们家的1!！,不错
1,送的及时，饮料很好喝哦,饮料 好喝
1,不错啊。快递很快，奶茶也还行。,不错 快递 奶茶 还行
1,很快。布丁奶茶贼好喝,布丁 奶茶 好喝
1,超好喝，快递小哥很热情，速度很快…,好喝 快递 小哥 热情 速度
1,"挺好的,挺好喝的,不错",好喝 不错
1,好喝，也没有漏。，,好喝
1,骑士很好，赞一个，很礼貌，辛苦了！,骑士 礼貌 辛苦
1,满意，速度也非常快。,满意 速度
1,味道很棒！辛苦送餐员啦！,味道 很棒 辛苦 餐员
1,经常定，特别好喝，快递给力。,好喝 递给
1,大冷天辛苦快递大哥了。,辛苦 快递 大哥
1,超级快！奶茶一如既往的美味！,奶茶 美味
1,送餐很快，这么冷的天气辛苦了,送餐 天气 辛苦
1,外卖员名字跟我们家名字一样,外卖 名字 名字
1,服务态度很好饮料很棒！,服务态度 饮料 很棒
1,在这样寒冷大风的天气里，等了一下午的奶茶终于到了，已经从热的变成凉的了。但仍感谢骑士的敬业精神！,寒冷 大风 天气 奶茶 感谢 骑士 敬业精神
1,"大风天,不容易,非常好",大风
1,"7点半下单,9点送到,今天冷可以理解,外送态度也非常好,虽然等了很久,但是还是好评吧",下单 送到 理解 态度 好评
1,快递师傅特别好，大冷天真不容易,快递 师傅
1,谢，非常感谢，那么等的天真是麻烦了，虽然等了会，但还是很感谢,天真 麻烦 感谢
1,"配送员辛苦啦,服务很好",配送 辛苦
1,"喝了好几年快乐柠檬,第一次喝曲奇奶茶,个人觉得不好喝,本人还是更喜欢茶类冰饮,给配送员赞一个,大冬天的",快乐 柠檬 曲奇 奶茶 好喝 喜欢 茶类 冰饮 配送
1,"一直都挺满意的~,骑士也很棒~",满意 骑士 很棒
1,"能送这个实在太好了,外送大哥辛苦了",实在 大哥 辛苦
1,送餐很快，这么冷的天辛苦了,送餐 辛苦
1,好喝，百度送的很快，非常感谢,好喝 百度
1,一如既往的味道我喜欢的口味,味道 喜欢 口味
1,"送货员态度很好啦！,非常感谢,辛苦了",态度 辛苦
1,大哥很热情！不错!好评,大哥 热情 不错 好评
1,大满贯奶茶！超大杯！,大满贯 奶茶 超大
1,今天忙到忘了给我半糖，下次希望别忘。,希望
1,快递态度很好，大冷天的辛苦了。,快递 态度 辛苦
1,"速度很快,味道很好,很赞",速度 味道
1,"骑士师傅人好,态度超级好",骑士 师傅 态度
1,服务态度好，速度快，值得表扬,服务态度 速度 值得 表扬
1,师傅人很好，送的超级快,师傅
1,送的很快，师傅人也很亲和,师傅
1,好极了！送来还是热的！,送来
1,非常满意！送餐很快！,满意 送餐
1,十万个赞！最好喝没有之一！,好喝
1,百度骑士服务很好，全五分好评,百度 骑士 好评
1,"非常好,相当棒,很快，味道好",味道
1,"一直很喜欢他家的东西,味好,便宜",喜欢 东西 便宜
1,不错，快递师傅也给力,不错 快递 师傅
1,饮料好喝，送餐也神速。,饮料 好喝 送餐 神速
1,岩盐芝士绿茶每单必点,岩盐 芝士 绿茶
1,一如既往的又快又好！每周都会在百度外卖买快乐柠檬家奶茶，送餐快，奶茶好喝，棒哒，开心～,百度 外卖 快乐 柠檬 奶茶 送餐 奶茶 好喝 开心
1,快递员速度快服务好，辛苦了！,快递 速度 辛苦
1,"元旦节晚上9点还在送真的让我感动,一直喜欢柠檬小子.蛋糕珍珠特别好喝,盐岩芝士加了珍珠很棒",感动 喜欢 柠檬 小子 蛋糕 珍珠 好喝 盐岩 芝士 珍珠 很棒
1,非常好非常快支持！,支持
1,百度骑士特别给力，奶茶是经典大家都爱喝。,百度 骑士 奶茶 经典 爱喝
1,好喝，超级喜欢这家的饮料，小哥送餐也很快,好喝 喜欢 饮料 小哥 送餐
1,外卖小哥很赞！送的很快养乐多好喝！,外卖 小哥 好喝
1,再送小哥超帅！,小哥 超帅
1,超级给力的骑士！饮料好喝！,骑士 饮料 好喝
1,"一直很好喝,这个很好喝",好喝 好喝
1,好喝，送的很快，百度外卖我最喜欢用了！,好喝 百度 外卖 喜欢
1,每一样的很喜欢！会继续光顾哒,喜欢 光顾
1,"非常好喝,一直喜欢,布丁好吃",好喝 喜欢 布丁 好吃
1,"送货态度非常好，提前了20多分钟，送得非常快，百度配送，靠谱！,奶茶一如既往的好喝，棒哒～",送货 态度 提前 百度 配送 奶茶 好喝
1,嘿把不错吧,不错
1,第一次买冰沙，口感真不错！喜欢,买冰沙 口感 喜欢
1,师傅人特别好！送货超认真,师傅 送货
1,外送小哥态度很好，很辛苦。,小哥 态度 辛苦
1,非常好！送货非常快！比美团和饿了吗好多了，以后就在这买了！,送货 比美
1,超快就送到了，喜欢百度外卖，真心赞！,超快 送到 喜欢 百度 外卖
1,"天气这么不好的情况下点外卖实在对不住外卖小哥,辛苦啦",天气 情况 下点 外卖 实在 对不住 外卖 小哥 辛苦
1,芋圆小丸子不甜～希望下次甜一点，真的没什么味道,芋圆 小丸子 希望 味道
1,虽然慢了些。但是能理解|,理解
1,好！赞！态度好速度快！,态度 速度
1,非常快～辛苦了～很好喝,辛苦 好喝
1,师傅人很好，服务很好，送得快~好评,师傅 好评
1,"大雾霾的,外送大哥辛苦了！天冷注意身体！",大雾 大哥 辛苦 身体
1,就是配送大哥忘记给我拿吸管了?其他都很棒。,配送 大哥 忘记 吸管 很棒
1,很速度，赞，奶茶也好喝。,速度 奶茶 好喝
1,师傅很好，服务很热情！,师傅 热情
1,"派送员非常好。,速度快,态度棒的",派送 速度 态度
1,"建议再出款浓情可，与岩的区别一下。,总体很满意啦！百度我支持你哟！雾霾天百度小哥辛苦你啦！百度公司一定要发给他们口罩哦，太不容易了！",建议 出款 浓情 区别 总体 满意 百度 支持 百度 小哥 辛苦 百度 公司 口罩
1,送餐员很热情，很好吃谢,餐员 热情 好吃
1,小哥态度很好，两种饮料都很好喝,小哥 态度 饮料 好喝
1,太赞了我家没电梯还能送这么快好感动,电梯 感动
1,送餐员辛苦，奶茶好喝…,餐员 辛苦 奶茶 好喝
1,师傅服务很好.速度特别快.,师傅 速度
1,百度骑士很快就送到啦！不错,百度 骑士 送到 不错
1,热饮也有大杯就好了，中杯不够喝的,热饮 中杯
1,隔三差五儿的就点两杯味道不错！送餐员辛苦啦！,味道 不错 餐员 辛苦
1,嗯，送货师傅依然很负责任呢！,送货 师傅 负责
1,速度快，服务好，必须赞一个,速度
1,"还不错,送货很快味道也还好",不错 送货 味道 还好
1,喜欢哦，每天都在喝，就是昨天忘了给我半糖了,喜欢
1,百度骑士最牛！,百度 骑士
1,菠萝冻过甜，柠檬冰冻也不太好，但大满贯一如既往的好,菠萝 冻过 柠檬 冰冻 不太好 大满贯
1,送餐员辛苦！奶茶味道不错！,餐员 辛苦 奶茶 味道 不错
1,很喜欢喝他家的饮料！谢送餐小哥大冷天送来！,喜欢 饮料 谢送 小哥 送来
1,"挺好的,辛苦了",辛苦
1,超级好喝，几乎老点…送餐员师傅态度很好！赞！,好喝 老点 餐员 师傅 态度
1,简直神速…非常好喝。继续努力,神速 好喝 努力
1,配送非常迅速態度非常好给个赞,配送 態度
1,速度很快，奶茶也都封口了就不会撒出来,速度 奶茶 封口
1,很喜欢，一周已经喝了四次了。最爱手榨柠檬绿,喜欢 柠檬
1,经常上班定这个喝，好喝，送餐员师傅，可好了。,上班 好喝 餐员 师傅
1,快递员很客气辛苦，因为食物破损还跑了两趟，谢了！,快递 客气 辛苦 食物 破损
1,非常好，现在每天都喝，下午一杯柠檬绿茶提神醒脑,柠檬 绿茶
1,喜欢。明天还会点。！,喜欢
1,好评啊，配送速度超快，这大雾霾天的辛苦啦~,好评 配送 速度 超快 大雾 辛苦
1,辛苦送餐员，填错了地址又白走了一趟，辛苦了！服务态度很好！,辛苦 餐员 填错 地址 辛苦 服务态度
1,换口味了尝、不知道是不是有进步,换口味 了尝
1,最好喝的奶茶，最给力的快递小哥。,好喝 奶茶 快递 小哥
1,超级好喝，快递小哥非常给力。,好喝 快递 小哥
1,特别好喝，经常定，快递小哥非常好。,好喝 快递 小哥
1,赞！加红豆味道更好！,红豆 味道
1,好喝哦，但今晚我们作死点的无糖，感觉好酸，友情提示减肥的朋友点半糖,好喝 作死点 无糖 感觉 友情 提示 减肥 朋友
1,快递小哥特别好。奶茶棒哒！,快递 小哥 奶茶
1,很好喝，送餐也及时。,好喝 送餐
1,送餐员态度很好！辛苦啦！奶茶味道棒，谁让我是个奶茶控几乎天喝…,餐员 态度 辛苦 奶茶 味道 奶茶
1,这几天都在点，今儿给朋友点了几杯她们都赞不绝口！赞！,朋友
1,非常感谢！辛苦陈骑士啦！,辛苦 骑士
1,好喝！味道超赞！送餐员也很准时！,好喝 味道 超赞 餐员 准时
1,"比上面提醒的时间早很多。,速度挺快的",提醒 时间 速度 挺快
1,味道不错连着好几天了都在喝！,味道 不错
1,全都很棒，会继续支持。,很棒 支持
1,"点了三次了,很好喝,送的也很快",好喝
1,味道超级棒！送餐员大冷天的也很辛苦！超赞！,味道 餐员 辛苦 超赞
1,好喝！味道不错！送餐也很快！,好喝 味道 不错 送餐
1,非常喜欢味道不错，辛苦了！,喜欢 味道 不错 辛苦
1,这大雪天的，快递员给力！辛苦快递员了,大雪 快递 员给力 辛苦 快递
1,还行，不错，快递也非常的快,不错 快递
1,好喝！快递小哥这么大的雨还送的很快！看他的湿哒的了！谢你们啦！,好喝 快递 小哥
1,很不错，速度也很快。,不错 速度
1,师傅态度特好，真暖心，赞,师傅 态度
1,大冷天的，快递小哥跟热情，准时，辛苦，很感谢,快递 小哥 热情 准时 辛苦 感谢
1,红豆布丁奶茶太甜。烤珍珠一直美味,红豆 布丁 奶茶 太甜 珍珠 美味
1,"还挺快的～,味道也不错。赞",挺快 味道 不错
1,都好喝。烤珍珠尤其好喝,好喝 珍珠 好喝
1,美味，及时，经常订，希望优惠力度再大些,美味 希望 力度
1,百度骑士特别准时，态度还特别好！,百度 骑士 准时 态度
1,"快递员态度好,速度也很快",快递 态度 速度
1,味道很好，就是手滑点成冰的了，悲剧,味道 手滑点 成冰 悲剧
1,非常不错，谢送餐的师傅,不错 送餐 师傅
1,比预计时间送的还早十分钟，态度很好，点赞！,时间 态度
1,快递小伙儿特别热情.很好！,快递 小伙儿 热情
1,可惜不能更改杯型，又所有订单也不齐全,可惜 更改 杯型 订单 齐全
1,大冷天的，送餐员辛苦了,餐员 辛苦
1,好喝，大雪天的非常感谢,好喝 大雪
1,。送餐员特好的说话。,餐员 特好 说话
1,送货挺快的，送货挺快的,送货 挺快 送货 挺快
1,太快了，你是飞过来送餐的吧…,送餐
1,"送餐大姐人可好了，特别热情,五星！赞",送餐 大姐 热情 五星
1,配送很快！送来还是烫的！很好,配送 送来
1,快递小哥态度特别好…辛苦啦谢,快递 小哥 态度 辛苦
1,热饮有珍珠的。,热饮 珍珠
1,百度的外送了小礼品！很高兴！意外惊喜！,百度 礼品 意外 惊喜
1,饮品味道一直很棒，有外送太完美啦～配送大哥服务很好，热心帮忙找零钱,饮品 味道 很棒 完美 配送 大哥 热心 帮忙 零钱
1,服务很好！还送了吸冻！哈,吸冻
1,好喝。速度快。,好喝 速度
1,非常方便！准时！很好！,准时
1,奶茶好喝！送餐准时，到的时候还是热乎的！,奶茶 好喝 送餐 准时
1,奶茶超级好喝，喝了好多次了,奶茶 好喝
1,他家的奶茶超级好喝。,奶茶 好喝
1,奶茶超级好喝，推荐。,奶茶 好喝 推荐
1,超级好喝的奶茶。,好喝 奶茶
1,送的超快！,超快
1,速度很快，32个赞，服务很好,速度
1,准时到达，太给力了！,给力
1,速度很快。而且我找不到钥匙也耐心等。还安慰我说不着急。人很好。东西很好喝。下次还会买,速度 不到 钥匙 耐心 安慰 着急 东西 好喝
1,特别感谢快递师傅！这么大风天气还准时送到！辛苦…谢啦！,快递 师傅 大风 天气 准时 送到 辛苦
1,速度很快，唯一不足就是第一次下单莫名的失败了。,速度 下单 莫名 失败
1,很好喝！天都喝～,好喝
1,配送不错、态度也不错,配送 不错 态度 不错
1,"师傅人很好,，送的速度也很快。",师傅 速度
1,很棒的骑士！,很棒 骑士
1,还不错，绿茶还是个人喝不惯。奶茶给赞,不错 绿茶 奶茶
1,小哥长得帅态度还好，好评,小哥 长得帅 态度 还好 好评
1,很快，也很好喝，不错,好喝 不错
1,很好送货大哥,送货 大哥
1,奶茶很好喝，快递小哥也超给力！赞一个，辛苦了。,奶茶 好喝 快递 小哥 超给 辛苦
1,服务热情！点单时忘了一杯，给快递小哥打电话，有帮忙捎了一杯！,热情 快递 小哥 帮忙
1,"有效率,非常好",有效率
1,热情！速度快！,热情 速度
1,超快！服务好热情,超快 热情
1,"超级快,送餐员超级好",餐员
1,优惠活动不错,不错
1,"杯子坏了,不过饮料没出来,其他都可以",杯子 饮料
1,赶上雨最大的时候，外卖小哥很不容易,外卖 小哥
1,非常感谢百度外卖的服务，大哥因为找不到地方饶了大半个圈。,百度 外卖 大哥 不到 地方
1,速度快態度好,速度 態度
1,"还是那个味道,都很喜欢",味道 喜欢
1,弹珠和芋圆小丸子很好吃,弹珠 芋圆 小丸子 好吃
1,"每次都买珍珠奶茶,很好喝,送餐速度也快！推荐购买",珍珠奶茶 好喝 送餐 速度 推荐 购买
1,送的超级快，送餐员很辛苦。快乐柠檬一直喜欢喝,餐员 辛苦 快乐 柠檬 喜欢
1,奶茶很好喝，快递员也特别好,奶茶 好喝 快递
1,很好，很喜欢，希望出更多新口味。,喜欢 希望 口味
1,送餐师傅很好呦！饮料好大杯！吓死宝了！,送餐 师傅 饮料 吓死
1,"师傅相当神速啊,好评！",师傅 神速 好评
1,外送小伙儿很逗,小伙儿
1,"味道超赞,送的也快提前了半个小时",味道 超赞 提前 小时
1,足不出户享受清凉，快递小哥谢啦～,享受 清凉 快递 小哥
1,速度快服务态度好,速度 服务态度
1,送货很快哦,送货
1,叫了好几次，真心好喝,好喝
1,速度很快哟，女儿的岩盐芝士可有点咸哈，我的大满贯还是比较赞滴！,速度 女儿 岩盐 芝士 有点咸 大满贯 赞滴
1,非常好，快递非常不错,快递 不错
1,每天都会买上几杯，快递非常棒,快递
1,好喝，速度也很快，值得赞,好喝 速度 值得
1,"味道很不错,送餐人员态度也很好,很赞,以后还会来",味道 不错 送餐 人员 态度
1,少年很可爱—,可爱
1,非常的快、有温馨提示！,温馨 提示
1,下次记得带够零钱,记得 带够 零钱
1,奶茶很好喝,奶茶 好喝
1,送来的挺快的～味道不错,送来 挺快 味道 不错
1,送来的非常快，饮料都非常的不错呦，超级喜欢,送来 饮料 不错 喜欢
1,"味道很浓,而且还可以换不喜欢的布丁,很灵活的店家,赞一个",味道 喜欢 布丁 灵活 店家
1,感觉没有去店里的好喝,感觉 店里 好喝
1,速度超级快呀，很好喝，冰爽,速度 好喝
1,很棒！太快了,很棒
1,送餐快，非常好,送餐
1,曲奇很好喝,曲奇 好喝
1,很准时！口味很好，大爱可小丸子,准时 口味 小丸子
1,"速度很快,谢送餐员,辛苦",速度 谢送 餐员 辛苦
1,岩盐芝士的也好喝,岩盐 芝士 好喝
1,好喝～不用去外面买了～,好喝 不用
1,下雨了，感谢送餐员,下雨 感谢 餐员
1,"非常好,辛苦送餐员",辛苦 餐员
1,挺快的，好,挺快
1,喜欢多年。非常好。,喜欢
1,谢外送人员。在雨天的家里还能喝到快乐柠檬,谢外 人员 快乐 柠檬
1,"东西很好吃,送餐速度和态度也很棒",东西 好吃 送餐 速度 态度 很棒
1,本次订餐很愉快！,订餐 愉快
1,挺好的！下次还定！辛苦送餐小哥,还定 辛苦 送餐 小哥
1,"米饭好少啊！对我这女生来说也不太够哪！,水煮牛肉还是很好吃哦！",米饭 女生 牛肉 好吃
1,骑士小哥辛苦啦！非常快,骑士 小哥 辛苦
1,菜很好吃，就是炒饭这次给的有点少。,好吃 炒饭
1,快递小哥服务特别好，餐送到还热乎的，正好吃。菜品不错。,快递 小哥 送到 好吃 菜品 不错
1,"饭很少,要知道就多定两碗了,送餐师傅很棒",送餐 师傅 很棒
1,"土豆炖得特别好,适合老人吃,谢",土豆 适合 老人
1,速度比预计快很多，菜品不错,速度 菜品 不错
1,"辣子鸡越来越少了。,！",辣子鸡
1,送餐小哥真快，菜也很好吃,送餐 小哥 好吃
1,好吃，江山城的烤鸭真是挺好吃的,好吃 江山 烤鸭 挺好吃
1,挺好的，挺不错的，味道不错,味道 不错
1,菜有点辣，菜量挺好，量大。味道挺好。,菜量 味道
1,态度很好，效率很高，给十分赞,态度 效率
1,每次量都很足哈！超级赞，好吃,很足 好吃
1,送餐很快，可是为啥没餐具呢，用手吃？幸好送餐师傅给了两双百度餐具。,送餐 餐具 幸好 送餐 师傅 百度 餐具
1,百度骑士速度好快啊！而且服务态度超级好～江山城的饭一直很好吃，走了外卖很方便呢！,百度 骑士 速度 服务态度 江山 好吃 外卖
1,麻辣香锅做的真好吃，,好吃
1,很棒。很快。很好吃,很棒 好吃
1,他家菜很好吃，有求必应，送餐速度很快，赞,好吃 送餐 速度
1,速递小哥辛苦了，饭菜到手还是烫的，在这寒冷的日子，谢啦！,速递 小哥 辛苦 饭菜 寒冷 日子
1,很好吃，菜品味道很好，有要求都很爽快满足，赞,好吃 菜品 味道 爽快
1,点了三个菜，师傅拿来六盒子，量很大的。千叶豆腐和包菜咸了点，鱼香肉丝咸淡刚好，口味很好，干净卫生，没想到这么好，还送了几颗山楂，希望品质会一直保持，还会再来滴。,师傅 拿来 盒子 很大 豆腐 包菜 鱼香肉丝 咸淡 口味 干净 卫生 山楂 希望 品质
1,挺快的味道不错，推荐大家选择。,挺快 味道 不错 推荐 选择
1,服务热情，送餐高效，很满意,热情 送餐 高效 满意
1,味道不错，挺讲究的，私房豆腐很好吃,味道 不错 私房 豆腐 好吃
1,有一点问题，就是餐盒用的太多。没有必要,餐盒
1,在家附近吃了很多年，烤鸭一级棒。,烤鸭
1,送餐快，菜品还是热的.服务也好,送餐 菜品
1,很不错，以前都在店里吃，现在方便了,不错 店里
1,不错，味道可以！速度也还可以,不错 味道 速度
1,很棒的哦，第二次订餐了,很棒 订餐
1,丸子很嫩，拔丝山药还给配了一袋水，呵，好贴心,丸子 很嫩 拔丝 山药 还给 贴心
1,很快很好吃更给力会继续支持的,好吃 力会 支持
1,不错哦，感谢百度骑士！,不错 感谢 百度 骑士
1,这家店和百度外卖太配了，炒菜速度也快，送餐速度也快，全家都很满意，点了四个菜，宫保鸡丁、鱼香肉丝、酱茄子、酸辣土豆丝，土豆丝是面的，也挺好吃，其他几个菜品味道都不错，多吃了碗米饭，作为送餐能这样的效果超级知足了！还会再来！,百度 外卖 炒菜 速度 送餐 速度 全家 满意 宫保鸡 鱼香肉丝 茄子 土豆丝 土豆丝 挺好吃 菜品 味道 不错 米饭 送餐 效果 知足
1,速度很快，菜的味道也好！不错！,速度 味道 不错
1,毛血旺辣度正合适，料很足，比眉州的性价比更高,毛血旺 辣度 正合适 很足 比眉州 性价比
1,宝很爱吃荷兰豆，甜的,荷兰豆
1,"很好吃,送餐速度快,下次再来",好吃 送餐 速度
1,送外卖小伙服务真棒，很尽责！,外卖 小伙 真棒 尽责
1,味道很棒啊,味道 很棒
1,配送师傅速度很快，态度也好。,配送 师傅 速度 态度
1,"百度外卖超快,有些菜没了，换的",百度 外卖 超快
1,"百度外卖，赞。,菜不错就是请注意包装。",百度 外卖 不错 包装
1,"百度外卖，赞。,店家的包装要提高，都洒了！",百度 外卖 店家 包装 提高
1,店家给力，骑士哥们也给力，辛苦了谢，下次还点。,店家 骑士 哥们 辛苦 了谢
1,外卖小哥很可爱。饭少。,外卖 小哥 可爱
1,好吃，服务也好，满足了我的需求,好吃 需求
1,配送速度很快，服务态度很好,配送 速度 服务态度
1,谢骑士，辛苦了～,骑士 辛苦
1,不错，方便，挺好吃的,不错 挺好吃
1,那个汤的味道是真心的接受不了，其他的还好，味道比较不错。,味道 接受 还好 味道 不错
1,第一次吃鸡米饭超级好吃！送餐也超快！,米饭 好吃 送餐 超快
1,"排骨鸡里没有青笋么,下次放点吧",排骨 青笋
1,"汤很好的说,送餐很快,棒",送餐
1,"吃的挺好的,以后还会点别的",挺好
1,帮女朋友订的，味道很好。,女朋友 味道
