original_content,processed_content
　自動車産業は関連する取引先が多く、日本経済への影響も大きい。株主だけでなく、従業員や地域社会の失望も大きいだろう。,自動車 産業 関連 取引 多く 日本 経済 影響 大きい 株主 従業 地域 社会 失望 大きい だろ
　窮地にあるのが日産である。内田誠社長が就任した２０１９年に、世界販売台数は約５２０万台に上ったが、米国や中国などの市場で商品力が低下し、２４年は約３３０万台にまで落ち込んだ。,窮地 日産 内田 社長 就任 世界 販売 台数 上っ 米国 中国 市場 商品 低下 落ち込ん
　工場閉鎖など大胆なリストラ策の必要性を指摘する声は多い。,工場 閉鎖 大胆 リストラ 必要 指摘 多い
　こうした中、台湾電機大手・鴻海精密工業が出資を模索したことから、経営の自律性を確保するために統合を急いだと言われる。,台湾 電機 大手 精密 工業 出資 模索 経営 自律 確保 統合 急い 言わ
　見切り発車のような交渉入りの発表だったが、ホンダは、統合を成功させるには、日産の大規模な再建策が不可欠との立場だった。だが、日産側の取り組みが十分ではないと考えて、主導権を握るために子会社化を打診した。,見切り 発車 交渉 入り 発表 ホンダ 統合 成功 日産 規模 再建 不可欠 立場 日産 取り組み 十分 考え 主導 握る 子会社 打診
　これが「対等の精神」を強調していた日産側の強い反発を招き、破談の引き金になったという。,対等 精神 強調 日産 強い 反発 招き 破談 引き金
　日産経営陣の現状認識は甘いと言わざるを得ないが、ホンダ側も事前にもっと丁寧に意思疎通を図るべきではなかったか。今後、電気自動車（ＥＶ）分野などで協業の検討を続けるという。不信感を残したままでは難しかろう。,日産 経営 現状 認識 甘い 言わ ざる ホンダ 事前 もっと 丁寧 意思 疎通 図る べき 今後 電気 自動車 分野 協業 検討 続ける 不信 残し まま 難しかろ
　両社が再編へと動いたのは、ＥＶ時代の到来を見据えて、このままでは中国ＢＹＤや米テスラなど新興企業に勝てないという危機感があったはずだ。,両社 再編 動い 時代 到来 見据え まま 中国 テスラ 新興 企業 勝て 危機 はず
　ＥＶの競争力は、自動運転技術やソフトウェア、バッテリーなどがカギとなり、巨額の開発費用を要する。中国メーカーなどは豊富な資金力を誇る。企業規模を拡大し、量産効果を高めなければ、太刀打ち出来ないのが実情だ。,競争 自動 運転 技術 ソフトウェア バッテリー カギ 巨額 開発 費用 要する 中国 メーカー 豊富 資金 誇る 企業 規模 拡大 量産 効果 高め なけれ 太刀打ち 出来 実情
　事業環境の変化は激しく、スピード感が必要だ。ホンダと日産が単独で生き残るのは容易でない。それぞれが、新たな提携先など早急に次の戦略を描いてほしい。,事業 環境 変化 激しく スピード 必要 ホンダ 日産 単独 生き残る 容易 新た 提携 早急 戦略 描い ほしい
Title: ＮＹダウ２日続伸、終値１２３ドル高の４万４５９３ドル…コカ・コーラやアップル値上がり,ダウ 続伸 終値 ドル ドル コカ・コーラ アップル 値上がり
【ニューヨーク＝小林泰裕】１１日のニューヨーク株式市場で、ダウ平均株価（３０種）の終値は前日比１２３・２４ドル高の４万４５９３・６５ドルだった。値上がりは２営業日連続。,ニューヨーク 小林 泰裕 ニューヨーク 株式 市場 ダウ 平均 株価 終値 前日 ドル ドル 値上がり 営業 連続
市場予想を上回る決算を発表した飲料大手コカ・コーラが５％高となった。中国のアリババ集団と提携し、中国でＡＩ（人工知能）サービスを提供すると報じられたスマートフォン大手アップルも２％高となった。,市場 予想 上回る 決算 発表 飲料 大手 コカ・コーラ 中国 アリ ババ 集団 提携 中国 人工 知能 サービス 提供 報じ スマート フォン 大手 アップル
ＩＴ企業の銘柄が多いナスダック市場の総合指数の終値は７０・４１ポイント安の１万９６４３・８６だった。中国勢との競争激化への懸念から、電気自動車（ＥＶ）大手テスラが６％安と下落した。,企業 銘柄 多い ナスダック 市場 総合 指数 終値 ポイント 中国 競争 激化 懸念 電気 自動車 大手 テスラ 下落
Title: 中国拠点現地向け特化　住友理工・清水社長,中国 拠点 現地 向け 住友 理工 清水 社長
自動車部品を手がける住友理工の清水和志社長は読売新聞のインタビューで、中国の拠点について、経済安全保障の観点から米国などへの製品輸出を減らし、中国国内向けの生産に特化する方針を示した。主要取引先の日系メーカーに加え、現地企業を開拓する。,自動車 部品 手がける 住友 理工 清水 和志 社長 読売新聞 インタビュー 中国 拠点 経済 安全 保障 観点 米国 製品 輸出 減らし 中国 国内 向け 生産 方針 示し 主要 取引 日系 メーカー 加え 現地 企業 開拓
　同社は車の振動を抑える「防振ゴム」や自動車用ホースの大手。日本や中国、米国など２０か国以上で事業を展開する。清水氏は中国に関して「昔のような『世界の工場』ではなくなった」と述べた。,同社 振動 抑える ゴム 自動車 ホース 大手 日本 中国 米国 以上 事業 展開 清水 中国 世界 工場 なくなっ 述べ
　従来、中国で生産した製品を北米や日本などに輸出していたが、「中国で作るものは中国で消費（供給）するように体制を変えている」という。中国の開発拠点では現地採用の人材を増やしている。,従来 中国 生産 製品 北米 日本 輸出 中国 作る 中国 消費 供給 体制 変え 中国 開発 拠点 現地 採用 人材 増やし
　電気自動車（ＥＶ）の普及が事業に与える影響は、電池の冷却部品など新製品の拡販を通じてカバーできるとの見通しを示した。,電気 自動車 普及 事業 与える 影響 電池 冷却 部品 製品 拡販 カバー 見通し 示し
Title: 中国ＥＶの自動運転バス、愛知県日進市でレベル４実現へ実証実験,中国 自動 運転 バス 愛知 日進 レベル 実現 実証 実験
コミュニティーバスの自動運転化に取り組んでいる愛知県日進市が、乗務員が乗り込まない「レベル４」実現に向けた実証実験をスタートした。実験は今月末までで２０２５年度中の認可取得を目指す。,コミュニティー バス 自動 運転 取り組ん 愛知 日進 乗務 乗り込ま レベル 実現 向け 実証 実験 スタート 実験 今月 年度 認可 取得 目指す
　同市は２３年１月から自動運転の取り組みを始め、これまでは緊急時に備えて運転手が乗車する「レベル２」で進めてきた。最高速度も時速２０キロに抑えてきた。,同市 自動 運転 取り組み 始め 緊急 備え 運転 乗車 レベル 進め 最高 速度 時速 キロ 抑え
　今回の実験では、国内の自動運転用ソフトの開発会社が改造した中国製のＥＶ（電気自動車）バスを使う。最高速度を時速３５キロに上げ、一般車両の流れを妨げないよう改善した。,今回 実験 国内 自動 運転 ソフト 開発 会社 改造 中国 電気 自動車 バス 使う 最高 速度 時速 キロ 上げ 一般 車両 流れ 妨げ 改善
　ルートは市役所と名鉄日進駅を巡回する約３・５キロ間で、午前９時台から午後３時台まで１日７便運行する。定員は１５人で、実験中は無料で乗車できる。,ルート 市役所 名鉄 日進 巡回 キロ 午前 午後 運行 定員 実験 無料 乗車
　事業費の約１億円は、全額が国から補助される。市移動政策室は「完全無人運転に向けて最終段階のチェックになる」と話している。ダイヤなどの問い合わせは同室（０５６１・７３・３２４９）。,事業 全額 補助 移動 政策 完全 無人 運転 向け 最終 段階 チェック 話し ダイヤ 問い合わせ 同室
Title: 北九州市に「１万坪のまとまった土地ないか」…陸海空そろう物流拠点、冬の時代続いた「鉄都」に復権の兆し,北九州 まとまっ 土地 陸海空 そろう 物流 拠点 時代 続い 復権 兆し
ＪＲ小倉駅（北九州市小倉北区）から北西に約３キロ離れた工業地帯。工場や倉庫などが並ぶ西港地区に、ひときわ目を引く真新しい大型物流施設がある。内部では１月上旬、高く積み上げられた荷物の間をフォークリフトが動き回り、次々とトラックに移していた。,小倉 北九州 小倉北 北西 キロ 離れ 工業 地帯 工場 倉庫 並ぶ 西港 地区 ひときわ 引く 真新しい 大型 物流 施設 内部 上旬 高く 積み上げ 荷物 フォークリフト 動き回り 次々 トラック 移し
　地場企業の戸畑物流が昨年１０月に稼働させた物流施設（鉄骨２階建て、延べ床面積約４万６０００平方メートル）で、市内最大規模。投資額は約８０億円に上る。１階は自社で使用するほか、米アマゾンがテナントとして入居を決め、今春から配送を始める。２階は大手メーカーとの契約交渉が進む。,地場 企業 戸畑 物流 昨年 稼働 物流 施設 鉄骨 建て 延べ 面積 平方メートル 市内 最大 規模 投資 上る 自社 使用 アマゾン テナント 入居 決め 今春 配送 始める 大手 メーカー 契約 交渉 進む
　「この施設が、北九州の物流拠点としての可能性が見直されるきっかけになればいい」。作業の様子を眺めながら、日向祥剛社長（７５）は力を込めた。,施設 北九州 物流 拠点 可能 見直さ きっかけ なれ いい 作業 様子 眺め 日向 社長 込め
　強い追い風となっているのは、長距離輸送トラックの「２０２４年問題」だ。,強い 追い風 長距離 輸送 トラック 問題
　九州の物流拠点は現在、佐賀県鳥栖市や福岡市近郊に多く集まる。ただ、２０２４年４月に長距離ドライバーの労働時間の上限規制が強化されたことで、１度に運べる範囲が狭まり、広島や島根方面への配送が難しくなったと指摘されている。このため、日向社長は「北九州であれば、九州全域と中国地方の西側をカバーできる」と強調する。,九州 物流 拠点 現在 佐賀 鳥栖 福岡 近郊 多く 集まる 長距離 ドライバー 労働 時間 上限 規制 強化 運べる 範囲 狭まり 広島 島根 方面 配送 難しく 指摘 日向 社長 北九州 九州 全域 中国 地方 西側 カバー 強調
　物流拠点を北九州に設ける動きは広がっており、市には「１万坪のまとまった土地はないか」といった問い合わせが相次ぐ。「こんな時代が来るとは思わなかった」。市産業経済局の山口博由理事はこう驚く。,物流 拠点 北九州 設ける 動き 広がっ まとまっ 土地 問い合わせ 相次ぐ 時代 来る 思わ 産業 経済 山口 理事 こう 驚く
　さらに西港地区には、本州と九州を結ぶ新たな巨大つり橋を含む「下関北九州道路」（下北道路）のインターチェンジができる予定だ。周囲の用地の価格は１０年前の約２倍に高騰しているという。下北道路は３０年代の完成が見込まれ、西日本に変革の波をもたらす。,西港 地区 本州 九州 結ぶ 新た 巨大 つり橋 含む 下関 北九州 道路 下北 道路 インターチェンジ 予定 周囲 用地 価格 高騰 下北 道路 年代 完成 見込ま 西日本 変革 もたらす
　北九州は戦前から近代化を支える「鉄都」として栄えた。１９０１年に官営八幡製鉄所（現・日本製鉄九州製鉄所八幡地区）が操業を開始。かつては４大工業地帯の一つで、人口は１００万人を超えていた。,北九州 戦前 近代 支える 栄え 官営 八幡 製鉄 日本 製鉄 九州 製鉄 八幡 地区 操業 開始 工業 地帯 一つ 人口 超え
だが、７０年代以降は冬の時代が続いた。製造業が安い人件費を求め海外に拠点を移すなど、存在感は薄れた。東芝などの工場閉鎖や人口流出も重くのしかかった。高齢化や空き家問題が深刻な街と言われ、暴力団による事件が相次いだこともイメージを悪化させた。今の人口は約９１万人だ。,年代 以降 時代 続い 製造 安い 人件 求め 海外 拠点 移す 存在 薄れ 東芝 工場 閉鎖 人口 流出 重く のしかかっ 高齢 空き家 問題 深刻 言わ 暴力団 事件 相次い イメージ 悪化 人口
北九州空港に着陸し、国際貨物の荷降ろしを行う米物流大手ＵＰＳの貨物専用機（１月１６日、北九州市の北九州空港で）,北九州 空港 着陸 国際 貨物 降ろし 行う 物流 大手 貨物 専用 北九州 北九州 空港
　一方、ここにきて、陸路以外でも物流拠点としての注目度が高まっている。,陸路 以外 物流 拠点 注目 高まっ
　１月中旬、尾翼に米物流大手ＵＰＳの企業ロゴが描かれた専用機が北九州空港に着陸した。ＵＰＳは２０２３年２月から、北九州空港発着の国際貨物ビジネスを開始。週５便運航し、関西国際空港を経て、アジア各地や欧米など２００以上の国と地域に輸送する。,中旬 尾翼 物流 大手 企業 ロゴ 描か 専用 北九州 空港 着陸 北九州 空港 発着 国際 貨物 ビジネス 開始 運航 関西国際空港 アジア 各地 欧米 以上 地域 輸送
　ＵＰＳジャパンによると、福岡や熊本市であれば、最短で集荷当日に貨物機に載せ、翌日にアジアや米国、２日後には欧州に届けることが可能という。海上の北九州空港は九州唯一の２４時間空港で、同社の加藤真社長は「空港の運用に柔軟性があり、高速道路への接続も充実する。物流ハブ空港として、アジアでも高い優位性がある」と話す。,ジャパン よる 福岡 熊本 最短 集荷 当日 貨物 載せ 翌日 アジア 米国 欧州 届ける 可能 海上 北九州 空港 九州 唯一 時間 空港 同社 加藤 社長 空港 運用 柔軟 高速 道路 接続 充実 物流 ハブ 空港 アジア 高い 優位 話す
　さらに、北九州空港は２７年に滑走路が５００メートル延伸され３０００メートルになる。大型貨物専用機が燃料を満載して離陸でき、欧州までの直行便も可能になる。,北九州 空港 滑走 メートル 延伸 メートル 大型 貨物 専用 燃料 満載 離陸 欧州 直行 可能
　また、北九州市は日本海と太平洋、瀬戸内海が関門海峡でつながることから、フェリーの貨物量も全国２位だ。「陸海空そろった都市は他になく、北九州復権の大きな武器になる」。山口理事は期待を込める。,北九州 日本海 太平洋 瀬戸内海 関門海峡 つながる フェリー 貨物 全国 陸海空 そろっ 都市 北九州 復権 武器 山口 理事 期待 込める
　ただ、航空貨物を巡る競争は活発化している。阿蘇くまもと空港では昨年３月、全日本空輸が初めて大型の貨物機を運航。半導体関連製品の需要が見込めるためで、将来の定期便化も目指す。九州の空を掌握するには、こうした都市間競争にも打ち勝つ必要がある。,航空 貨物 巡る 競争 活発 阿蘇 くま もと 空港 昨年 全日本空輸 初めて 大型 貨物 運航 半導体 関連 製品 需要 見込める 将来 定期 目指す 九州 掌握 都市 競争 打ち勝つ 必要
　物流の潜在力が再評価される中、工場新設など大型投資計画の表明も相次ぐ。,物流 潜在 評価 工場 新設 大型 投資 計画 表明 相次ぐ
　日産自動車は１月、電気自動車（ＥＶ）の電池工場を北九州市若松区に建設すると発表。投資総額は約１５００億円で２８年度の生産開始を目指す。トヨタ自動車も北九州空港そばに電池工場を新設する意向だ。,日産自動車 電気 自動車 電池 工場 北九州 若松 建設 発表 投資 総額 年度 生産 開始 目指す トヨタ自動車 北九州 空港 そば 電池 工場 新設 意向
　半導体分野では、半導体を最終的に仕上げる「後工程」の受託生産で世界最大の台湾企業「日月光」（ＡＳＥ）グループが昨年、工場建設を念頭に市内の用地購入を表明している。,半導体 分野 半導体 最終 仕上げる 工程 受託 生産 世界 最大 台湾 企業 日月 グループ 昨年 工場 建設 念頭 市内 用地 購入 表明
　２４年は、６０年ぶりに転入者が転出者を上回り、地域経済の低迷に底打ち感も出てきた。不動産サービス大手ＣＢＲＥ福岡支店の伊藤憲一・アソシエイトディレクターは「製造業と物流は切り離せない関係で、北九州では物流機能の充実が生産拠点を呼び込む相乗効果が生まれている。好循環を維持するためにも、土地や人材の確保が今後の課題だ」と指摘する。（中西瑛、梅野健吾）,ぶり 転入 転出 上回り 地域 経済 低迷 打ち 不動産 サービス 大手 福岡 支店 伊藤 憲一 アソシエイトディレクター 製造 物流 切り離せ 関係 北九州 物流 機能 充実 生産 拠点 呼び込む 相乗 効果 生まれ 循環 維持 土地 人材 確保 今後 課題 指摘 中西 梅野 健吾
Title: 昨年４～１２月期　トヨタ２期ぶり営業減益　１０月以降は生産回復,昨年 トヨタ ぶり 営業 減益 以降 生産 回復
トヨタ自動車の２０２４年４～１２月期連結決算は、前半に発覚した日本国内での不正や米国でのリコールの影響で２期ぶりの営業減益となった。一方、１０月以降は生産が回復し、業績に底打ち感も出ている。今後は米中の２大市場への投資を加速する。（杉本要）,トヨタ自動車 連結 決算 前半 発覚 日本 国内 不正 米国 リコール 影響 ぶり 営業 減益 以降 生産 回復 業績 打ち 今後 市場 投資 加速 杉本
■認証問題に区切り 　トヨタの２４年４～１２月期連結決算は、本業のもうけを示す営業利益が前年同期比１３・２％減の３兆６７９４億円だった。販売台数の減少や労務費の上昇が利益を押し下げたが、過去最高だった２３年同期（４兆２４０２億円）に次ぐ２番目の高水準だった。会計処理の変更に伴う一時的な増益もあり、最終利益は３・９％増の４兆１００３億円で過去最高だった。,認証 問題 区切り トヨタ 連結 決算 本業 もうけ 示す 営業 利益 前年 同期 販売 台数 減少 労務 上昇 利益 押し下げ 過去 最高 同期 次ぐ 高水準 会計 処理 変更 伴う 一時 増益 最終 利益 過去 最高
　地域別の営業利益は、事業規模の大きい日本、北米、中国でそれぞれ販売台数を落として減益となった一方、欧州やアジアでは販売後の補修部品やサービスの利益増、原価改善などによって増益を確保した。,地域 営業 利益 事業 規模 大きい 日本 北米 中国 販売 台数 落とし 減益 一方 欧州 アジア 販売 補修 部品 サービス 利益 原価 改善 増益 確保
　昨年６月、量産に必要な認証「型式指定」を巡る不正が発覚して一部車種の生産を停止したが、１０月以降は回復している。山本正裕・経理本部長は今月５日の決算説明会で、「認証問題への対応による減益要因は、９か月（４～１２月期）におおむね織り込まれた」と、一定の区切りがついたとの認識を示した。,昨年 量産 必要 認証 型式 指定 巡る 不正 発覚 一部 車種 生産 停止 以降 回復 山本 正裕 経理 本部 今月 決算 説明 認証 問題 対応 減益 要因 か月 おおむね 織り込ま 一定 区切り つい 認識 示し
　トヨタが示した２５年３月期の国内生産の見通しは３２７万台で、前期比３万台の小幅な減少にとどめる方針だ。関係者によると、１月下旬にトヨタが取引先に示した２５年（１～１２月）の国内生産見通しは３３７万台で、２３年（３３７万台）と同水準に引き上げる。,トヨタ 示し 国内 生産 見通し 前期 小幅 減少 とどめる 方針 関係 よる 月下 トヨタ 取引 示し 国内 生産 見通し 水準 引き上げる
■米中投資に力 　トヨタは市場規模が大きい米中への投資を強化する。５日には、中国・上海に高級車ブランド「レクサス」の電気自動車（ＥＶ）の工場を新設すると発表した。ＢＹＤなど現地メーカーが勢力を強め、海外メーカーが事業縮小を余儀なくされる中、トヨタは開発や生産機能を強化し、巻き返しを図る。,投資 トヨタ 市場 規模 大きい 投資 強化 中国 上海 高級 ブランド レクサス 電気 自動車 工場 新設 発表 現地 メーカー 勢力 強め 海外 メーカー 事業 縮小 余儀なく トヨタ 開発 生産 機能 強化 巻き返し 図る
　トヨタは中国新工場の発表と同時に、米国への投資強化も強調した。ノースカロライナ州に建設した電池工場で、今年４月から出荷を始める。まずは需要が高まっているハイブリッド車（ＨＶ）向けの電池を生産し、ＥＶやプラグインハイブリッド車（ＰＨＶ）向けにも供給する。同工場の投資額は２兆円を超える。,トヨタ 中国 工場 発表 同時に 米国 投資 強化 強調 ノースカロライナ 建設 電池 工場 今年 出荷 始める 需要 高まっ ハイブリッド 向け 電池 生産 プラグインハイブリッド 向け 供給 工場 投資 超える
　背景には、米トランプ政権への配慮もうかがえる。トランプ大統領はカナダやメキシコへの高関税を土壇場で１か月間延期する一方、中国には予定通り発動するなどし、世界を 翻弄ほんろう している。,背景 トランプ 政権 配慮 うかがえる トランプ 大統領 カナダ メキシコ 関税 土壇場 月間 延期 一方 中国 予定 通り 発動 世界 翻弄 ほんろう
　野村証券の試算では、米国がカナダ、メキシコ、中国に高い関税を課した場合、販売価格に転嫁しなければ、トヨタは２６年３月期の営業利益が１８％押し下げられる可能性がある。不確実性は高まるばかりだが、宮崎洋一副社長は決算説明会で、「雨が降ったら傘を差す、ぐらいの気持ちで対応する」と述べるにとどめた。現地生産の強化など複数のシナリオを検討中とみられる。,野村証券 試算 米国 カナダ メキシコ 中国 高い 関税 課し 場合 販売 価格 転嫁 なけれ トヨタ 営業 利益 押し下げ 可能 確実 高まる 宮崎 洋一 社長 決算 説明 降っ たら 差す 気持ち 対応 述べる とどめ 現地 生産 強化 複数 シナリオ 検討
■課題はＥＶ 　原価低減により利益率が高まっているＨＶの販売好調で、トヨタの決算は高水準が続いている。今後は開発が遅れる次世代ＥＶやＰＨＶの投入が課題となる。,課題 原価 低減 利益 高まっ 販売 好調 トヨタ 決算 高水準 続い 今後 開発 遅れる 次世代 投入 課題
