车辆名称,品牌,价格,上牌时间,上市时间,表显里程,厂商,生产方式,厂商指导价(万元),能源形式,变速箱,车身形式,整车质保,电动机总功率(kW),过户次数
奥迪Q2L e-tron 2019款 Q2L e-tron 纯电智享型,奥迪,1O.27万,2020年,2019.11,4.31万公里,一汽奥迪,合资,23.73,纯电动,,5门5座SUV,三年或10万公里,100,2次
奥迪Q4 e-tron 2023款 40 e-tron 创行版,奥迪,19.77万,2023年,2023.03,O.9万公里,一汽奥迪,合资,28.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,150,0次
奥迪Q5 2016款 40 TFSI 技术型,奥迪,14.88万,2016年,2015.1,12.1万公里,一汽奥迪,合资,42.76,汽油,8挡手自一体,5门5座SUV,三年或10万公里,165,3次
奥迪Q2L e-tron 2019款 Q2L e-tron 纯电智享型,奥迪,9.88万,2020年,2019.11,4.46万公里,一汽奥迪,合资,23.73,纯电动,,5门5座SUV,三年或10万公里,100,1次
奥迪Q2L e-tron 2019款 Q2L e-tron 纯电智享型,奥迪,9.45万,2021年,2019.11,2.65万公里,一汽奥迪,合资,23.73,纯电动,,5门5座SUV,三年或10万公里,100,2次
奥迪Q2L e-tron 2022款 Q2L e-tron 纯电智享型,奥迪,13.8O万,2022年,2021.12,O.71万公里,一汽奥迪,合资,24.38,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,100,1次
奥迪Q2L e-tron 2019款 Q2L e-tron 纯电智享型,奥迪,1O.48万,2021年,2019.11,1.75万公里,一汽奥迪,合资,23.73,纯电动,,5门5座SUV,三年或10万公里,100,0次
奥迪Q5 e-tron 2022款 40 e-tron 星耀型 机甲套装,奥迪,22.45万,2022年,2022.02,1.78万公里,上汽奥迪,合资,31.25,纯电动,电动车单速变速箱,5门7座SUV,三年或10万公里,150,1次
奥迪Q2L e-tron 2019款 Q2L e-tron 纯电智享型,奥迪,9.98万,2020年,2019.11,3.78万公里,一汽奥迪,合资,23.73,纯电动,,5门5座SUV,三年或10万公里,100,0次
奥迪Q2L e-tron 2019款 Q2L e-tron 纯电智享型,奥迪,1O.35万,2021年,2019.11,1.26万公里,一汽奥迪,合资,23.73,纯电动,,5门5座SUV,三年或10万公里,100,0次
奥迪Q2L e-tron 2019款 Q2L e-tron 纯电智享型,奥迪,9.38万,2020年,2019.11,7.98万公里,一汽奥迪,合资,23.73,纯电动,,5门5座SUV,三年或10万公里,100,4次
奥迪Q2L e-tron 2019款 Q2L e-tron 纯电智享型,奥迪,9.19万,2020年,2019.11,9万公里,一汽奥迪,合资,23.73,纯电动,,5门5座SUV,三年或10万公里,100,0次
奥迪Q2L e-tron 2019款 Q2L e-tron 纯电智酷型,奥迪,9.99万,2020年,2019.11,1.52万公里,一汽奥迪,合资,22.68,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,100,0次
奥迪Q2L e-tron 2022款 Q2L e-tron 纯电智享型,奥迪,12.9O万,2022年,2021.12,3.O1万公里,一汽奥迪,合资,24.38,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,100,1次
奥迪A4L 2019款 40 TFSI 时尚型 国V,奥迪,16.65万,2019年,2018.1,7.31万公里,一汽奥迪,合资,33.58,汽油,7挡双离合,4门5座三厢车,三年或10万公里,140,2次
奥迪Q5 e-tron 2022款 50 e-tron quattro edition one 艺创典藏版,奥迪,26.2O万,2022年,2022.02,1.34万公里,上汽奥迪,合资,43.55,纯电动,电动车单速变速箱,5门6座SUV,三年或10万公里,225,0次
奥迪Q5L 2018款 40 TFSI 荣享时尚型 国V,奥迪,23.48万,2018年,2018.07,8.16万公里,一汽奥迪,合资,41.38,汽油,7挡双离合,5门5座SUV,三年或10万公里,140,1次
奥迪Q2L e-tron 2019款 Q2L e-tron 纯电智享型,奥迪,9.39万,2021年,2019.11,2.89万公里,一汽奥迪,合资,23.73,纯电动,,5门5座SUV,三年或10万公里,100,1次
奥迪Q2L e-tron 2019款 Q2L e-tron 纯电智享型,奥迪,11.16万,2021年,2019.11,1.39万公里,一汽奥迪,合资,23.73,纯电动,,5门5座SUV,三年或10万公里,100,1次
奥迪Q2L e-tron 2019款 Q2L e-tron 纯电智享型,奥迪,1O.89万,2021年,2019.11,1.78万公里,一汽奥迪,合资,23.73,纯电动,,5门5座SUV,三年或10万公里,100,2次
奥迪A6(进口) 2017款 Avant 40 TFSI 运动型(进口),奥迪,24.O8万,2018年,2017.06,7.91万公里,奥迪(进口),进口,45.48,汽油,7挡双离合,5门5座旅行车,三年或10万公里,185,2次
奥迪A6L 2019款 40 TFSI 豪华动感型,奥迪,24.44万,2019年,2019.01,15.11万公里,一汽奥迪,合资,40.98,汽油,7挡双离合,4门5座三厢车,三年或10万公里,140,3次
奥迪Q2L e-tron 2019款 e-tron 纯电智享型,奥迪,1O.29万,2021年,2019.11,3.13万公里,一汽奥迪,合资,23.73,纯电动,,5门5座SUV,三年或10万公里,100,1次
奥迪A4(进口) 2020款 Avant 先锋派 40 TFSI 豪华动感型(进口),奥迪,25.5O万,2020年,2019.11,3.63万公里,奥迪(进口),进口,36.88,汽油,7挡湿式双离合,5门5座旅行车,三年或10万公里,140,1次
奥迪e-tron 2021款 50 quattro 豪华型,奥迪,26.8O万,2022年,2021.04,O.69万公里,一汽奥迪,合资,54.68,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,230,1次
奥迪e-tron 2021款 50 quattro 豪华型,奥迪,24.93万,2022年,2021.04,O.74万公里,一汽奥迪,合资,54.68,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,230,0次
奥迪Q2L e-tron 2019款 Q2L e-tron 纯电智酷型,奥迪,9.47万,2021年,2019.11,4.1万公里,一汽奥迪,合资,22.68,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,100,2次
宝马iX3 2022款 创领型,宝马,24.4O万,2022年,2021.09,3.O2万公里,华晨宝马,合资,43.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,0次
宝马iX3 2021款 改款 领先型,宝马,21.74万,2021年,2021.05,3.53万公里,华晨宝马,合资,39.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,0次
宝马iX3 2021款 领先型,宝马,25.O5万,2022年,2020.11,2.39万公里,华晨宝马,合资,39.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,1次
宝马i3 2022款 eDrive 35 L,宝马,21.63万,2023年,2022.03,1.27万公里,宝马(进口),合资,35.39,纯电动,电动车单速变速箱,4门5座三厢车,三年或10万公里,210,0次
宝马iX3 2021款 改款 领先型,宝马,25.25万,2022年,2021.05,2.46万公里,华晨宝马,合资,39.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,1次
宝马iX3 2021款 改款 创领型,宝马,25.8O万,2022年,2021.05,1.46万公里,华晨宝马,合资,43.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,1次
宝马X1 2021款 改款 xDrive25Li 尊享型,宝马,19.85万,2022年,2021.05,1.51万公里,华晨宝马,合资,33.98,汽油,8挡手自一体,5门5座SUV,三年或10万公里,141,1次
宝马i3 2022款 eDrive 35 L,宝马,19.43万,2022年,2022.03,3.63万公里,宝马(进口),合资,35.39,纯电动,电动车单速变速箱,4门5座三厢车,三年或10万公里,210,1次
宝马X1 2015款 sDrive18i 时尚晋级版,宝马,9.5O万,2016年,2015.06,3.2万公里,华晨宝马,合资,28.5,汽油,8挡手自一体,5门5座SUV,三年或10万公里,115,0次
宝马i3 2022款 eDrive 35 L,宝马,19.93万,2022年,2022.03,2.1万公里,宝马(进口),合资,35.39,纯电动,电动车单速变速箱,4门5座三厢车,三年或10万公里,210,0次
宝马7系 2018款 750Li xDrive M运动套装(进口),宝马,71.98万,2019年,2017.08,4.7万公里,宝马(进口),进口,178.8,汽油,8挡手自一体,4门4座三厢车,三年或10万公里,330,2次
宝马1系(进口) 2016款 118i 领先型(进口),宝马,9.53万,2019年,2015.12,3.77万公里,宝马(进口),进口,25.6,汽油,8挡手自一体,5门5座两厢车,三年或10万公里,100,0次
宝马3系 2022款 325Li M运动套装,宝马,24.55万,2022年,2021.08,2.9万公里,华晨宝马,合资,34.53,汽油,8挡手自一体,4门5座三厢车,三年或10万公里,135,2次
宝马iX3 2021款 改款 创领型,宝马,21.95万,2021年,2021.05,3.78万公里,华晨宝马,合资,43.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,0次
宝马iX3 2021款 领先型,宝马,21.96万,2021年,2020.11,2.97万公里,华晨宝马,合资,39.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,1次
宝马iX3 2021款 创领型,宝马,24.4O万,2021年,2020.11,O.62万公里,华晨宝马,合资,43.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,2次
宝马i3 2015款 时尚型(进口),宝马,6.85万,2016年,2015.11,2.79万公里,宝马(进口),进口,41.68,纯电动,电动车单速变速箱,5门4座两厢车,三年或10万公里,125,8次
宝马5系 2014款 530Li 领先型,宝马,14.3O万,2014年,2013.09,11.3万公里,华晨宝马,合资,56.66,汽油,8挡手自一体,4门5座三厢车,三年或10万公里,190,1次
宝马M4 2016款 M4敞篷轿跑车 竞速限量版,宝马,58.OO万,2019年,2016.06,2.24万公里,宝马M,进口,120.68,汽油,7挡双离合,2门4座硬顶敞篷车,三年或10万公里,331,7次
宝马5系 2013款 525Li 领先型,宝马,13.55万,2013年,2012.08,6.93万公里,华晨宝马,合资,45.96,汽油,8挡手自一体,4门5座三厢车,三年或10万公里,160,1次
宝马i3 2022款 eDrive 35 L,宝马,2O.35万,2023年,2022.03,2.19万公里,宝马(进口),合资,35.39,纯电动,电动车单速变速箱,4门5座三厢车,三年或10万公里,210,1次
宝马3系 2017款 320i M运动型,宝马,14.26万,2017年,2016.09,8.O7万公里,华晨宝马,合资,32,汽油,8挡手自一体,4门5座三厢车,三年或10万公里,135,0次
宝马i3 2018款 豪华型(进口),宝马,9.O3万,2018年,2018.03,7.29万公里,宝马(进口),进口,33.98,纯电动,电动车单速变速箱,5门4座两厢车,三年或10万公里,125,1次
宝马i3 2022款 eDrive 35 L,宝马,2O.5O万,2023年,2022.03,2.5万公里,宝马(进口),合资,35.39,纯电动,电动车单速变速箱,4门5座三厢车,三年或10万公里,210,0次
宝马3系 2023款 325Li xDrive M运动套装,宝马,28.5O万,2022年,2022.08,O.52万公里,华晨宝马,合资,36.49,汽油,8挡手自一体,4门5座三厢车,三年或10万公里,135,0次
宝马iX3 2022款 改款 领先型,宝马,24.22万,2023年,2022.09,1.28万公里,华晨宝马,合资,40.5,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,0次
宝马iX3 2022款 领先型,宝马,26.18万,2022年,2021.09,O.81万公里,华晨宝马,合资,39.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,0次
宝马iX3 2022款 创领型,宝马,23.24万,2021年,2021.09,4.71万公里,华晨宝马,合资,43.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,1次
宝马i3 2018款 豪华型(进口),宝马,8.93万,2018年,2018.03,7.89万公里,宝马(进口),进口,33.98,纯电动,电动车单速变速箱,5门4座两厢车,三年或10万公里,125,1次
宝马iX3 2021款 领先型,宝马,19.61万,2021年,2020.11,5.96万公里,华晨宝马,合资,39.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,2次
宝马iX3 2022款 改款 创领型,宝马,26.94万,2023年,2022.09,1.61万公里,华晨宝马,合资,44.5,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,1次
宝马iX3 2022款 创领型,宝马,27.68万,2023年,2021.09,O.52万公里,华晨宝马,合资,43.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,0次
宝马3系 2018款 320Li 时尚型,宝马,15.2O万,2018年,2017.09,9.77万公里,华晨宝马,合资,32.38,汽油,8挡手自一体,4门5座三厢车,三年或10万公里,135,1次
宝马 i3 2022款 eDrive 35 L,宝马,21.5O万,2023年,2022.03,O.42万公里,宝马(进口),合资,35.39,纯电动,电动车单速变速箱,4门5座三厢车,三年或10万公里,210,1次
宝马iX3 2022款 创领型,宝马,25.68万,2022年,2021.09,2.O2万公里,华晨宝马,合资,43.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,2次
宝马3系 2020款 320Li M运动套装,宝马,22.5O万,2020年,2019.11,6.25万公里,华晨宝马,合资,31.89,汽油,8挡手自一体,4门5座三厢车,三年或10万公里,115,0次
宝马3系 2017款 320Li M运动型,宝马,14.88万,2017年,2016.09,11.21万公里,华晨宝马,合资,35.39,汽油,8挡手自一体,4门5座三厢车,三年或10万公里,135,0次
宝马X3 2020款  xDrive30i 领先型 M运动套装,宝马,26.88万,2020年,2019.1,9.8万公里,华晨宝马,合资,47.98,汽油,8挡手自一体,5门5座SUV,三年或10万公里,185,1次
宝马iX3 2022款 改款 领先型,宝马,24.99万,2022年,2022.09,O.28万公里,华晨宝马,合资,40.5,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,1次
宝马iX3 2021款 改款 领先型,宝马,24.5O万,2022年,2021.05,5.21万公里,华晨宝马,合资,39.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,1次
宝马 i3 2022款 eDrive 35 L,宝马,2O.1O万,2022年,2022.03,2.29万公里,宝马(进口),合资,35.39,纯电动,电动车单速变速箱,4门5座三厢车,三年或10万公里,210,1次
宝马5系 2020款 530Li 领先型 M运动套装,宝马,29.6O万,2020年,2019.1,9.95万公里,华晨宝马,合资,46.69,汽油,8挡手自一体,4门5座三厢车,三年或10万公里,185,0次
宝马 i3 2022款 eDrive 35 L,宝马,19.77万,2022年,2022.03,2.67万公里,宝马(进口),合资,35.39,纯电动,电动车单速变速箱,4门5座三厢车,三年或10万公里,210,0次
宝马iX3 2022款 创领型,宝马,24.46万,2022年,2021.09,3.41万公里,华晨宝马,合资,43.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,1次
宝马i3 2019款 快充版(进口),宝马,12.38万,2019年,2019.03,6.14万公里,宝马(进口),进口,33.98,纯电动,电动车单速变速箱,5门4座两厢车,三年或10万公里,125,3次
宝马3系 2017款 318Li 时尚型,宝马,15.5O万,2018年,2016.09,8.33万公里,华晨宝马,合资,30.99,汽油,8挡手自一体,4门5座三厢车,三年或10万公里,100,4次
宝马iX3 2021款 创领型,宝马,22.63万,2020年,2020.11,3.6万公里,华晨宝马,合资,43.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,0次
宝马i3 2018款 豪华型(进口),宝马,9.42万,2018年,2018.03,3.76万公里,宝马(进口),进口,33.98,纯电动,电动车单速变速箱,5门4座两厢车,三年或10万公里,125,2次
宝马iX3 2022款 创领型,宝马,21.63万,2021年,2021.09,4.73万公里,华晨宝马,合资,43.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,3次
宝马iX3 2021款 改款 领先型,宝马,22.2O万,2021年,2021.05,3万公里,华晨宝马,合资,39.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,0次
宝马 i3 2022款 eDrive 35 L,宝马,2O.O9万,2022年,2022.03,1.71万公里,宝马(进口),合资,35.39,纯电动,电动车单速变速箱,4门5座三厢车,三年或10万公里,210,1次
宝马 i3 2022款 eDrive 35 L,宝马,21.58万,2023年,2022.03,1.78万公里,宝马(进口),合资,35.39,纯电动,电动车单速变速箱,4门5座三厢车,三年或10万公里,210,2次
宝马 i3 2022款 eDrive 35 L,宝马,2O.28万,2022年,2022.03,O.34万公里,宝马(进口),合资,35.39,纯电动,电动车单速变速箱,4门5座三厢车,三年或10万公里,210,1次
宝马iX3 2022款 改款 领先型,宝马,26.55万,2023年,2022.09,1.64万公里,华晨宝马,合资,40.5,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,0次
宝马i3 2016款 升级款时尚型(进口),宝马,8.O4万,2018年,2016.09,4.96万公里,宝马(进口),进口,42.28,纯电动,电动车单速变速箱,5门4座两厢车,三年或10万公里,125,1次
宝马iX3 2022款 领先型,宝马,23.98万,2023年,2021.09,1.2万公里,华晨宝马,合资,39.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,0次
宝马3系 2014款 320i 时尚型,宝马,7.95万,2014年,2013.1,13.96万公里,华晨宝马,合资,34.3,汽油,8挡手自一体,4门5座三厢车,三年或10万公里,135,1次
宝马iX3 2022款 领先型,宝马,22.8O万,2022年,2021.09,2.68万公里,华晨宝马,合资,39.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,0次
宝马7系 2013款 740Li xDrive(进口),宝马,36.85万,2016年,2012.12,6.25万公里,宝马(进口),进口,133.35,汽油,8挡手自一体,4门5座三厢车,三年或10万公里,235,2次
宝马iX3 2022款 领先型,宝马,24.62万,2022年,2021.09,2.99万公里,华晨宝马,合资,39.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,1次
宝马iX3 2021款 领先型,宝马,21.18万,2021年,2020.11,5.16万公里,华晨宝马,合资,39.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,0次
宝马5系 2019款 改款 530Li xDrive M运动套装,宝马,33.96万,2020年,2019.06,2.84万公里,华晨宝马,合资,48.39,汽油,8挡手自一体,4门5座三厢车,三年或10万公里,185,1次
宝马 i3 2022款 eDrive 35 L,宝马,21.38万,2023年,2022.03,O.69万公里,宝马(进口),合资,35.39,纯电动,电动车单速变速箱,4门5座三厢车,三年或10万公里,210,0次
宝马 i3 2022款 eDrive 35 L,宝马,21.OO万,2022年,2022.03,O.96万公里,宝马(进口),合资,35.39,纯电动,电动车单速变速箱,4门5座三厢车,三年或10万公里,210,1次
宝马5系 2019款 改款 530Li 尊享型 豪华套装,宝马,32.38万,2019年,2019.06,4.52万公里,华晨宝马,合资,50.69,汽油,8挡手自一体,4门5座三厢车,三年或10万公里,185,0次
宝马 i3 2022款 eDrive 35 L,宝马,2O.9O万,2023年,2022.03,1.72万公里,宝马(进口),合资,35.39,纯电动,电动车单速变速箱,4门5座三厢车,三年或10万公里,210,0次
宝马X2 2020款 sDrive25i 领先型M越野套装,宝马,15.84万,2020年,2019.1,3.66万公里,华晨宝马,合资,28.98,汽油,7挡双离合,5门5座SUV,三年或10万公里,141,0次
宝马iX3 2022款 领先型,宝马,25.6O万,2023年,2021.09,O.91万公里,华晨宝马,合资,39.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,2次
宝马iX 2022款 xDrive40(进口),宝马,42.3O万,2022年,2022.01,O.24万公里,宝马(进口),进口,74.69,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,240,1次
宝马 i3 2022款 eDrive 35 L,宝马,2O.82万,2023年,2022.03,1.12万公里,宝马(进口),合资,35.39,纯电动,电动车单速变速箱,4门5座三厢车,三年或10万公里,210,0次
宝马iX3 2022款 创领型,宝马,24.8O万,2022年,2021.09,3.47万公里,华晨宝马,合资,43.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,1次
宝马iX3 2022款 领先型,宝马,23.93万,2022年,2021.09,1.72万公里,华晨宝马,合资,39.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,2次
宝马X3 2022款 改款 xDrive30i 尊享型 M曜夜套装,宝马,36.5O万,2022年,2021.1,2.2万公里,华晨宝马,合资,47.98,汽油,8挡手自一体,5门5座SUV,三年或10万公里,185,1次
宝马X1 2019款 xDrive20Li 尊享型,宝马,15.38万,2018年,2018.1,8.99万公里,华晨宝马,合资,33.98,汽油,8挡手自一体,5门5座SUV,三年或10万公里,141,1次
宝马iX3 2022款 改款 领先型,宝马,23.25万,2022年,2022.09,4.1万公里,华晨宝马,合资,40.5,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,2次
宝马iX3 2021款 改款 领先型,宝马,22.O8万,2021年,2021.05,5.4万公里,华晨宝马,合资,39.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,0次
宝马i3 2019款 快充版(进口),宝马,19.92万,2020年,2019.03,4.79万公里,宝马(进口),进口,33.98,纯电动,电动车单速变速箱,5门4座两厢车,三年或10万公里,125,1次
宝马iX3 2022款 改款 创领型,宝马,27.38万,2023年,2022.09,O.4万公里,华晨宝马,合资,44.5,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,1次
宝马iX3 2022款 创领型,宝马,24.9O万,2022年,2021.09,3.82万公里,华晨宝马,合资,43.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,0次
宝马iX3 2021款 领先型,宝马,2O.46万,2021年,2020.11,4.O8万公里,华晨宝马,合资,39.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,1次
宝马X5 2022款 xDrive 40Li 尊享型M运动套装,宝马,69.OO万,2022年,2022.03,2.71万公里,华晨宝马,合资,77.5,汽油+48V轻混系统,8挡手自一体,5门5座SUV,三年或10万公里,272,1次
宝马1系 2021款 120i M运动曜夜版,宝马,12.68万,2021年,2020.1,2.73万公里,华晨宝马,合资,22.68,汽油,7挡湿式双离合,4门5座三厢车,三年或10万公里,103,1次
宝马3系 2020款 改款 325Li M运动曜夜套装,宝马,24.58万,2020年,2019.11,5.81万公里,华晨宝马,合资,36.39,汽油,8挡手自一体,4门5座三厢车,三年或10万公里,135,0次
宝马i3 2018款 豪华型(进口),宝马,8.98万,2018年,2018.03,4.O2万公里,宝马(进口),进口,33.98,纯电动,电动车单速变速箱,5门4座两厢车,三年或10万公里,125,4次
宝马 i3 2022款 eDrive 35 L,宝马,19.9O万,2022年,2022.03,1.47万公里,宝马(进口),合资,35.39,纯电动,电动车单速变速箱,4门5座三厢车,三年或10万公里,210,1次
宝马7系 2019款 改款 740Li 领先型 豪华套装(进口),宝马,6O.2O万,2021年,2019.07,8.82万公里,宝马(进口),进口,93.8,汽油,8挡手自一体,4门5座三厢车,三年或10万公里,250,0次
宝马 i3 2022款 eDrive 35 L,宝马,2O.5O万,2023年,2022.03,1.14万公里,宝马(进口),合资,35.39,纯电动,电动车单速变速箱,4门5座三厢车,三年或10万公里,210,1次
宝马iX3 2022款 领先型,宝马,23.38万,2022年,2021.09,5.96万公里,华晨宝马,合资,39.99,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,210,1次
宝马iX 2022款 xDrive40(进口),宝马,4O.7O万,2022年,2022.01,1.6万公里,宝马(进口),进口,74.69,纯电动,电动车单速变速箱,5门5座SUV,三年或10万公里,240,0次
宝马5系 2013款 520Li 典雅型,宝马,13.28万,2014年,2012.08,1O.47万公里,华晨宝马,合资,42.86,汽油,8挡手自一体,4门5座三厢车,三年或10万公里,135,0次
宝马X6 2019款 xDrive35i M运动套装(进口),宝马,38.9O万,2019年,2019.01,12.73万公里,宝马(进口),进口,82.89,汽油,8挡手自一体,5门5座SUV跨界车,三年或10万公里,225,0次
宝马X3 2020款  xDrive28i M运动套装,宝马,29.53万,2020年,2019.1,2.O4万公里,华晨宝马,合资,42.58,汽油,8挡手自一体,5门5座SUV,三年或10万公里,165,1次
