Pre-Theme,Theme,Sim
Feb Topic 14,Mar Topic 13,0.55
Feb Topic 15,Mar Topic 1,0.61
Feb Topic 15,Mar Topic 2,0.60
Feb Topic 15,Mar Topic 3,0.54
Feb Topic 15,Mar Topic 5,0.57
Feb Topic 15,Mar Topic 6,0.61
Feb Topic 15,Mar Topic 8,0.61
Feb Topic 15,Mar Topic 9,0.52
Feb Topic 15,Mar Topic 10,0.65
Feb Topic 15,Mar Topic 11,0.58
Feb Topic 15,Mar Topic 12,0.51
Feb Topic 15,Mar Topic 13,0.61
Feb Topic 16,Mar Topic 0,0.54
Feb Topic 16,Mar Topic 1,0.64
Feb Topic 16,Mar Topic 2,0.70
Feb Topic 16,Mar Topic 5,0.55
Feb Topic 16,Mar Topic 6,0.63
Feb Topic 16,Mar Topic 7,0.52
Feb Topic 16,Mar Topic 8,0.60
Feb Topic 16,Mar Topic 9,0.55
Feb Topic 16,Mar Topic 10,0.50
Feb Topic 16,Mar Topic 11,0.57
Feb Topic 16,Mar Topic 12,0.71
Feb Topic 16,Mar Topic 13,0.53
Feb Topic 17,Mar Topic 1,0.56
Feb Topic 17,Mar Topic 2,0.58
Feb Topic 17,Mar Topic 5,0.53
Feb Topic 17,Mar Topic 6,0.60
Feb Topic 17,Mar Topic 8,0.53
Feb Topic 17,Mar Topic 10,0.55
Feb Topic 17,Mar Topic 11,0.60
Feb Topic 17,Mar Topic 12,0.59
Feb Topic 17,Mar Topic 13,0.57
Mar Topic 0,Apr Topic 0,0.51
Mar Topic 0,Apr Topic 1,0.50
Mar Topic 0,Apr Topic 2,0.51
Mar Topic 0,Apr Topic 3,0.51
Mar Topic 0,Apr Topic 5,0.53
Mar Topic 0,Apr Topic 6,0.53
Mar Topic 0,Apr Topic 10,0.52
Mar Topic 0,Apr Topic 11,0.57
Mar Topic 0,Apr Topic 12,0.53
Mar Topic 0,Apr Topic 15,0.57
Mar Topic 1,Apr Topic 1,0.68
Mar Topic 1,Apr Topic 2,0.62
Mar Topic 1,Apr Topic 3,0.54
Mar Topic 1,Apr Topic 5,0.61
Mar Topic 1,Apr Topic 6,0.56
Mar Topic 1,Apr Topic 7,0.55
Mar Topic 1,Apr Topic 8,0.61
Mar Topic 1,Apr Topic 9,0.52
Mar Topic 1,Apr Topic 10,0.63
Mar Topic 1,Apr Topic 11,0.54
Mar Topic 1,Apr Topic 12,0.58
Mar Topic 1,Apr Topic 13,0.56
Mar Topic 1,Apr Topic 14,0.57
Mar Topic 1,Apr Topic 15,0.61
Mar Topic 2,Apr Topic 1,0.57
Mar Topic 2,Apr Topic 2,0.73
Mar Topic 2,Apr Topic 3,0.55
Mar Topic 2,Apr Topic 5,0.63
Mar Topic 2,Apr Topic 6,0.63
Mar Topic 2,Apr Topic 7,0.51
Mar Topic 2,Apr Topic 8,0.63
Mar Topic 2,Apr Topic 9,0.52
Mar Topic 2,Apr Topic 10,0.60
Mar Topic 2,Apr Topic 11,0.59
Mar Topic 2,Apr Topic 12,0.63
Mar Topic 2,Apr Topic 13,0.60
Mar Topic 2,Apr Topic 14,0.53
Mar Topic 2,Apr Topic 15,0.59
Mar Topic 2,Apr Topic 16,0.50
Mar Topic 3,Apr Topic 1,0.51
Mar Topic 3,Apr Topic 2,0.51
Mar Topic 3,Apr Topic 3,0.53
Mar Topic 3,Apr Topic 7,0.51
Mar Topic 3,Apr Topic 9,0.50
Mar Topic 3,Apr Topic 11,0.51
Mar Topic 3,Apr Topic 14,0.51
Mar Topic 4,Apr Topic 4,0.51
Mar Topic 4,Apr Topic 7,0.53
Mar Topic 4,Apr Topic 8,0.51
Mar Topic 4,Apr Topic 10,0.51
Mar Topic 4,Apr Topic 15,0.51
Mar Topic 5,Apr Topic 1,0.53
Mar Topic 5,Apr Topic 2,0.60
Mar Topic 5,Apr Topic 5,0.58
Mar Topic 5,Apr Topic 6,0.63
Mar Topic 5,Apr Topic 7,0.54
Mar Topic 5,Apr Topic 8,0.61
Mar Topic 5,Apr Topic 10,0.60
Mar Topic 5,Apr Topic 11,0.54
Mar Topic 5,Apr Topic 12,0.57
Mar Topic 5,Apr Topic 13,0.57
Mar Topic 5,Apr Topic 15,0.63
Mar Topic 6,Apr Topic 1,0.61
Mar Topic 6,Apr Topic 2,0.62
Mar Topic 6,Apr Topic 3,0.53
Mar Topic 6,Apr Topic 5,0.54
Mar Topic 6,Apr Topic 6,0.68
Mar Topic 6,Apr Topic 7,0.56
Mar Topic 6,Apr Topic 8,0.64
Mar Topic 6,Apr Topic 9,0.50
Mar Topic 6,Apr Topic 10,0.64
Mar Topic 6,Apr Topic 11,0.59
Mar Topic 6,Apr Topic 12,0.56
Mar Topic 6,Apr Topic 13,0.60
Mar Topic 6,Apr Topic 14,0.58
Mar Topic 6,Apr Topic 15,0.63
Mar Topic 7,Apr Topic 1,0.52
Mar Topic 7,Apr Topic 2,0.53
Mar Topic 7,Apr Topic 5,0.54
Mar Topic 7,Apr Topic 6,0.55
Mar Topic 7,Apr Topic 7,0.59
Mar Topic 7,Apr Topic 8,0.54
Mar Topic 7,Apr Topic 10,0.57
Mar Topic 7,Apr Topic 11,0.55
Mar Topic 7,Apr Topic 12,0.53
Mar Topic 7,Apr Topic 13,0.55
Mar Topic 7,Apr Topic 15,0.57
Mar Topic 8,Apr Topic 1,0.58
Mar Topic 8,Apr Topic 2,0.63
Mar Topic 8,Apr Topic 5,0.54
Mar Topic 8,Apr Topic 6,0.70
Mar Topic 8,Apr Topic 7,0.53
Mar Topic 8,Apr Topic 8,0.70
Mar Topic 8,Apr Topic 10,0.70
Mar Topic 8,Apr Topic 11,0.59
Mar Topic 8,Apr Topic 12,0.59
Mar Topic 8,Apr Topic 13,0.59
Mar Topic 8,Apr Topic 14,0.55
Mar Topic 8,Apr Topic 15,0.65
Mar Topic 9,Apr Topic 2,0.56
Mar Topic 9,Apr Topic 3,0.54
Mar Topic 9,Apr Topic 5,0.52
Mar Topic 9,Apr Topic 9,0.63
Mar Topic 9,Apr Topic 11,0.56
Mar Topic 9,Apr Topic 12,0.53
Mar Topic 9,Apr Topic 13,0.50
Mar Topic 9,Apr Topic 14,0.51
Mar Topic 9,Apr Topic 16,0.51
Mar Topic 10,Apr Topic 1,0.60
Mar Topic 10,Apr Topic 2,0.66
Mar Topic 10,Apr Topic 5,0.53
Mar Topic 10,Apr Topic 6,0.65
Mar Topic 10,Apr Topic 7,0.53
Mar Topic 10,Apr Topic 8,0.62
Mar Topic 10,Apr Topic 9,0.53
Mar Topic 10,Apr Topic 10,0.69
Mar Topic 10,Apr Topic 11,0.53
Mar Topic 10,Apr Topic 14,0.53
Mar Topic 10,Apr Topic 15,0.61
Mar Topic 11,Apr Topic 1,0.53
Mar Topic 11,Apr Topic 2,0.64
Mar Topic 11,Apr Topic 3,0.50
Mar Topic 11,Apr Topic 5,0.57
Mar Topic 11,Apr Topic 6,0.58
Mar Topic 11,Apr Topic 7,0.54
Mar Topic 11,Apr Topic 8,0.61
Mar Topic 11,Apr Topic 10,0.59
Mar Topic 11,Apr Topic 11,0.59
Mar Topic 11,Apr Topic 12,0.53
Mar Topic 11,Apr Topic 13,0.57
Mar Topic 11,Apr Topic 14,0.56
Mar Topic 11,Apr Topic 15,0.56
Mar Topic 12,Apr Topic 1,0.53
Mar Topic 12,Apr Topic 2,0.62
Mar Topic 12,Apr Topic 3,0.56
Mar Topic 12,Apr Topic 5,0.65
Mar Topic 12,Apr Topic 6,0.53
Mar Topic 12,Apr Topic 8,0.56
Mar Topic 12,Apr Topic 11,0.59
Mar Topic 12,Apr Topic 12,0.67
Mar Topic 12,Apr Topic 13,0.52
Mar Topic 12,Apr Topic 15,0.54
Mar Topic 13,Apr Topic 0,0.56
Mar Topic 13,Apr Topic 1,0.55
Mar Topic 13,Apr Topic 2,0.54
Mar Topic 13,Apr Topic 3,0.57
Mar Topic 13,Apr Topic 4,0.55
Mar Topic 13,Apr Topic 5,0.51
Mar Topic 13,Apr Topic 6,0.53
Mar Topic 13,Apr Topic 7,0.58
Mar Topic 13,Apr Topic 8,0.50
Mar Topic 13,Apr Topic 9,0.57
Mar Topic 13,Apr Topic 10,0.56
Mar Topic 13,Apr Topic 11,0.53
Mar Topic 13,Apr Topic 12,0.55
Mar Topic 13,Apr Topic 13,0.56
Mar Topic 13,Apr Topic 14,0.62
Mar Topic 13,Apr Topic 15,0.53
Mar Topic 13,Apr Topic 16,0.53
Apr Topic 0,May Topic 0,0.50
Apr Topic 0,May Topic 9,0.53
Apr Topic 0,May Topic 11,0.50
Apr Topic 1,May Topic 0,0.52
Apr Topic 1,May Topic 1,0.66
Apr Topic 1,May Topic 5,0.55
Apr Topic 1,May Topic 6,0.54
Apr Topic 1,May Topic 7,0.53
Apr Topic 1,May Topic 8,0.55
Apr Topic 1,May Topic 9,0.52
Apr Topic 1,May Topic 10,0.52
Apr Topic 1,May Topic 11,0.51
Apr Topic 1,May Topic 17,0.55
Apr Topic 2,May Topic 0,0.58
Apr Topic 2,May Topic 1,0.61
Apr Topic 2,May Topic 2,0.63
Apr Topic 2,May Topic 3,0.52
Apr Topic 2,May Topic 5,0.65
Apr Topic 2,May Topic 6,0.63
Apr Topic 2,May Topic 7,0.57
Apr Topic 2,May Topic 8,0.58
Apr Topic 2,May Topic 9,0.56
Apr Topic 2,May Topic 10,0.52
Apr Topic 2,May Topic 12,0.57
Apr Topic 2,May Topic 13,0.56
Apr Topic 2,May Topic 17,0.60
Apr Topic 3,May Topic 0,0.56
Apr Topic 3,May Topic 3,0.60
Apr Topic 3,May Topic 7,0.55
Apr Topic 3,May Topic 9,0.53
Apr Topic 3,May Topic 12,0.57
Apr Topic 3,May Topic 13,0.55
Apr Topic 3,May Topic 17,0.52
Apr Topic 5,May Topic 0,0.60
Apr Topic 5,May Topic 1,0.60
Apr Topic 5,May Topic 2,0.56
Apr Topic 5,May Topic 3,0.54
Apr Topic 5,May Topic 5,0.61
Apr Topic 5,May Topic 7,0.53
Apr Topic 5,May Topic 8,0.52
Apr Topic 5,May Topic 9,0.52
Apr Topic 5,May Topic 12,0.63
Apr Topic 5,May Topic 13,0.57
Apr Topic 5,May Topic 17,0.60
Apr Topic 6,May Topic 0,0.51
Apr Topic 6,May Topic 1,0.63
Apr Topic 6,May Topic 2,0.53
Apr Topic 6,May Topic 5,0.61
Apr Topic 6,May Topic 6,0.56
Apr Topic 6,May Topic 8,0.63
Apr Topic 6,May Topic 11,0.50
Apr Topic 6,May Topic 15,0.54
Apr Topic 6,May Topic 17,0.52
Apr Topic 7,May Topic 1,0.55
Apr Topic 7,May Topic 5,0.54
Apr Topic 7,May Topic 7,0.60
Apr Topic 7,May Topic 8,0.54
Apr Topic 7,May Topic 9,0.52
Apr Topic 7,May Topic 10,0.54
Apr Topic 7,May Topic 15,0.50
Apr Topic 8,May Topic 0,0.55
Apr Topic 8,May Topic 1,0.61
Apr Topic 8,May Topic 2,0.58
Apr Topic 8,May Topic 5,0.67
Apr Topic 8,May Topic 6,0.52
Apr Topic 8,May Topic 7,0.56
Apr Topic 8,May Topic 8,0.63
Apr Topic 8,May Topic 9,0.52
Apr Topic 8,May Topic 10,0.53
Apr Topic 8,May Topic 12,0.53
Apr Topic 8,May Topic 17,0.54
Apr Topic 9,May Topic 9,0.59
Apr Topic 10,May Topic 1,0.68
Apr Topic 10,May Topic 2,0.52
Apr Topic 10,May Topic 5,0.56
Apr Topic 10,May Topic 6,0.54
Apr Topic 10,May Topic 8,0.60
Apr Topic 10,May Topic 9,0.54
Apr Topic 10,May Topic 10,0.56
Apr Topic 10,May Topic 11,0.54
Apr Topic 10,May Topic 15,0.55
Apr Topic 10,May Topic 17,0.52
Apr Topic 11,May Topic 0,0.58
Apr Topic 11,May Topic 1,0.57
Apr Topic 11,May Topic 3,0.53
Apr Topic 11,May Topic 5,0.54
Apr Topic 11,May Topic 7,0.53
Apr Topic 11,May Topic 8,0.55
Apr Topic 11,May Topic 9,0.51
Apr Topic 11,May Topic 10,0.52
Apr Topic 11,May Topic 11,0.56
Apr Topic 11,May Topic 12,0.58
Apr Topic 11,May Topic 14,0.52
Apr Topic 11,May Topic 17,0.56
Apr Topic 12,May Topic 0,0.55
Apr Topic 12,May Topic 1,0.52
Apr Topic 12,May Topic 3,0.56
Apr Topic 12,May Topic 5,0.56
Apr Topic 12,May Topic 7,0.54
Apr Topic 12,May Topic 8,0.55
Apr Topic 12,May Topic 12,0.64
Apr Topic 12,May Topic 13,0.56
Apr Topic 12,May Topic 17,0.63
Apr Topic 13,May Topic 1,0.57
Apr Topic 13,May Topic 5,0.52
Apr Topic 13,May Topic 6,0.54
Apr Topic 13,May Topic 7,0.58
Apr Topic 13,May Topic 8,0.54
Apr Topic 13,May Topic 12,0.53
Apr Topic 13,May Topic 13,0.54
Apr Topic 13,May Topic 17,0.52
Apr Topic 14,May Topic 1,0.55
Apr Topic 14,May Topic 6,0.56
Apr Topic 14,May Topic 7,0.57
Apr Topic 14,May Topic 8,0.53
Apr Topic 14,May Topic 9,0.54
Apr Topic 14,May Topic 11,0.52
Apr Topic 15,May Topic 0,0.55
Apr Topic 15,May Topic 1,0.64
Apr Topic 15,May Topic 2,0.50
Apr Topic 15,May Topic 5,0.57
Apr Topic 15,May Topic 8,0.58
Apr Topic 15,May Topic 11,0.57
Apr Topic 15,May Topic 12,0.51
Apr Topic 15,May Topic 15,0.55
Apr Topic 15,May Topic 17,0.58
Apr Topic 16,May Topic 1,0.52
Apr Topic 16,May Topic 13,0.55
Apr Topic 16,May Topic 16,0.52
May Topic 0,Jun Topic 0,0.69
May Topic 0,Jun Topic 1,0.58
May Topic 0,Jun Topic 2,0.61
May Topic 0,Jun Topic 3,0.51
May Topic 0,Jun Topic 5,0.65
May Topic 0,Jun Topic 7,0.56
May Topic 0,Jun Topic 8,0.58
May Topic 0,Jun Topic 9,0.50
May Topic 0,Jun Topic 10,0.54
May Topic 0,Jun Topic 11,0.61
May Topic 0,Jun Topic 12,0.66
May Topic 0,Jun Topic 14,0.55
May Topic 1,Jun Topic 0,0.55
May Topic 1,Jun Topic 1,0.67
May Topic 1,Jun Topic 2,0.60
May Topic 1,Jun Topic 3,0.56
May Topic 1,Jun Topic 5,0.67
May Topic 1,Jun Topic 6,0.64
May Topic 1,Jun Topic 7,0.59
May Topic 1,Jun Topic 8,0.67
May Topic 1,Jun Topic 9,0.61
May Topic 1,Jun Topic 10,0.62
May Topic 1,Jun Topic 11,0.61
May Topic 1,Jun Topic 12,0.63
May Topic 1,Jun Topic 13,0.62
May Topic 1,Jun Topic 14,0.55
May Topic 2,Jun Topic 0,0.51
May Topic 2,Jun Topic 1,0.59
May Topic 2,Jun Topic 2,0.62
May Topic 2,Jun Topic 3,0.51
May Topic 2,Jun Topic 5,0.63
May Topic 2,Jun Topic 6,0.53
May Topic 2,Jun Topic 7,0.51
May Topic 2,Jun Topic 8,0.58
May Topic 2,Jun Topic 9,0.54
May Topic 2,Jun Topic 10,0.57
May Topic 2,Jun Topic 11,0.54
May Topic 2,Jun Topic 12,0.55
May Topic 2,Jun Topic 13,0.51
May Topic 3,Jun Topic 0,0.57
May Topic 3,Jun Topic 2,0.58
May Topic 3,Jun Topic 3,0.59
May Topic 3,Jun Topic 5,0.53
May Topic 3,Jun Topic 6,0.52
May Topic 3,Jun Topic 8,0.51
May Topic 3,Jun Topic 9,0.59
May Topic 3,Jun Topic 11,0.50
May Topic 3,Jun Topic 12,0.61
May Topic 3,Jun Topic 14,0.50
May Topic 4,Jun Topic 4,0.53
May Topic 4,Jun Topic 8,0.52
May Topic 4,Jun Topic 9,0.51
May Topic 4,Jun Topic 14,0.51
May Topic 5,Jun Topic 0,0.59
May Topic 5,Jun Topic 1,0.65
May Topic 5,Jun Topic 2,0.66
May Topic 5,Jun Topic 5,0.78
May Topic 5,Jun Topic 6,0.59
May Topic 5,Jun Topic 7,0.58
May Topic 5,Jun Topic 8,0.69
May Topic 5,Jun Topic 9,0.58
May Topic 5,Jun Topic 10,0.65
May Topic 5,Jun Topic 11,0.58
May Topic 5,Jun Topic 12,0.67
May Topic 5,Jun Topic 13,0.52
May Topic 5,Jun Topic 14,0.53
May Topic 6,Jun Topic 0,0.60
May Topic 6,Jun Topic 1,0.54
May Topic 6,Jun Topic 2,0.58
May Topic 6,Jun Topic 3,0.50
May Topic 6,Jun Topic 5,0.57
May Topic 6,Jun Topic 6,0.73
May Topic 6,Jun Topic 7,0.52
May Topic 6,Jun Topic 8,0.51
May Topic 6,Jun Topic 9,0.54
May Topic 6,Jun Topic 10,0.53
