评论,fenci,情感分类,主题概率,主题类型
性价比不用说了，4455买的，配置也比较正常些，工作娱乐看电影玩些弱3游戏都。键盘是个亮点，击键幅度小，没什么声音，打字手感不错。不过那键盘容易进灰，所以建议宏友们都去买个键盘膜，现在已经有4736专用的。,性价比 不用说 配置 工作 娱乐 电影 游戏 键盘 亮点 击键 幅度 没什么 声音 打字 手感 不错 键盘 进灰 建议 宏友 键盘 专用,pos,"[(1, 0.95960116)]",1
外观很漂亮，键盘很漂亮，3的条子，蓝牙，全都有，完美屏。。,外观 很漂亮 键盘 很漂亮 条子 蓝牙 完美,pos,"[(8, 0.3435683), (13, 0.54923683)]",13
相比同样配置的本本，这款价格实在；配置较合理。功能也都实用。入手以后直接换ＸＰ系统。,相比 配置 本本 价格 实在 配置 功能 实用 入手 系统,pos,"[(4, 0.7189517), (7, 0.20311917)]",4
配置搭配比较合理 没有明显的鸡肋 散热和做工都不错 键盘设计是亮点 赠品也都比较实用 这个价位的好性价比本本确实不多,配置 搭配 鸡肋 散热 做工 不错 键盘 设计 亮点 赠品 实用 价位 性价比 本本 确实,pos,"[(4, 0.50056016), (8, 0.44583312)]",4
优点是众所周知的，身边很多朋友都在用，不然也不会买。但我没心思说，原因在下面。,优点 众所周知 身边 朋友 心思 原因,pos,"[(0, 0.010211182), (1, 0.86725456), (2, 0.010211182), (3, 0.010211187), (4, 0.010211189), (5, 0.010211196), (6, 0.010211178), (7, 0.0102111865), (8, 0.010211193), (9, 0.010211198), (10, 0.010211181), (11, 0.0102111865), (12, 0.010211186), (13, 0.01021119)]",1
性价比不错，各方面比较均衡。这个价位买到这样的配置还是比较满意的，玩玩一般的游戏绰绰有余，哈哈哈,性价比 不错 均衡 价位 配置 比较满意 玩玩 游戏 绰绰有余 哈哈哈,pos,"[(4, 0.91553485)]",4
这价钱买到这种配置的笔记本，没什么可挑的了，送的东西又多，机器也好，配置合理。此外，摄像头很清晰～,价钱 配置 笔记本 没什么 可挑的 东西 机器 配置 摄像头 清晰,pos,"[(4, 0.91557)]",4
这价钱买到这种配置的笔记本，没什么可挑的了，送的东西又多，机器也好，配置合理。此外，摄像头很清晰。,价钱 配置 笔记本 没什么 可挑的 东西 机器 配置 摄像头 清晰,pos,"[(4, 0.91557)]",4
4899入手，送了一堆东西，真实惠  用了还没几天  不太清楚，初步感觉很不错,入手 一堆 东西 实惠 几天 初步 感觉 不错,pos,"[(1, 0.8968214)]",1
音效好，散热可以接受，笔记本这个程度可以了。电池目前不错，初次使用的时候刻碟，开无线网络下载等，可以连续3小时以上。,音效 散热 接受 笔记本 程度 电池 不错 初次 刻碟 无线网络 下载 连续 小时,pos,"[(1, 0.9336273)]",1
配置算可以的，虽然显卡是瓶颈（下评分是4），不过性价比来说，值得了,配置 显卡 瓶颈 评分 性价比 值得,pos,"[(0, 0.010214199), (1, 0.010214075), (2, 0.010214068), (3, 0.010214079), (4, 0.010214138), (5, 0.010214076), (6, 0.010214072), (7, 0.4692692), (8, 0.010214101), (9, 0.4081616), (10, 0.0102141155), (11, 0.01021414), (12, 0.010214061), (13, 0.010214113)]",7
到手的是完美屏，不过可视(清晰)角度比较小，不知是不是笔记本屏幕的通病,到手 完美 可视 清晰 角度 不知 笔记本 屏幕 通病,pos,"[(0, 0.302359), (13, 0.61181825)]",13
"的屏幕还是不错的,就是太亮了,有点反光.多功能的触摸板也是一大亮点",屏幕 不错 反光 多功能 触摸板 一大 亮点,pos,"[(0, 0.7893319), (7, 0.10344599)]",0
产品不错，性价比高，就是显卡有些瓶颈。,产品 不错 性价比 显卡 瓶颈,pos,"[(0, 0.011917668), (1, 0.011917662), (2, 0.011917643), (3, 0.011917724), (4, 0.6845826), (5, 0.011917671), (6, 0.011917661), (7, 0.011917712), (8, 0.011917665), (9, 0.011917692), (10, 0.011917666), (11, 0.011917639), (12, 0.17240524), (13, 0.011917708)]",4
优点就是屏，做工还可以，功能键挺多，居然配有蓝牙，惊喜！用过不少笔记本，这款运行时的声音还是比较小的,优点 做工 功能键 配有 蓝牙 惊喜 笔记本 运行 声音,pos,"[(0, 0.1662294), (2, 0.14416125), (11, 0.61101264)]",11
喜欢新颖的键盘。整机运行很平稳，噪音也很小。使用几个小时没有明显的发热感。,喜欢 新颖 键盘 整机 运行 平稳 噪音 很小 几个 小时 发热,pos,"[(1, 0.5031281), (10, 0.42542213)]",1
外观设置的漂亮，音质不错，看电影挺爽的，键盘不错，系统正在努力探索中,外观 设置 漂亮 音质 不错 电影 挺爽 键盘 不错 系统 努力 探索,pos,"[(13, 0.92854273)]",13
"性能很好!配置不错!自带系统,开机可以用.比传说中的好用.送货很快!当天14点下单,次日早11点到货!",性能 配置 不错 自带 系统 开机 好用 送货 很快 当天 下单 次日 到货,pos,"[(4, 0.9336439)]",4
东西很喜欢，手感不错，送货很快，下单到手上才20个小时不到~~,东西 喜欢 手感 不错 送货 很快 下单 手上 小时 不到,pos,"[(1, 0.4615994), (4, 0.4604717)]",1
总体性价比还算不错 不足： 接口太少，靠得近，而且还在左边！麻烦麻烦。。。 总结： 总体性价比还算不错，唉！我朋友说还想等到2999的时候再通知他买。。。,总体 性价比 不错 接口 左边 麻烦 麻烦 总体 性价比 不错 朋友 通知,pos,"[(4, 0.5743459), (8, 0.35969576)]",4
很好很强大，超高性价比！真没想到今天3300块钱就是买一台满足80%游戏的笔记本，你还等什么？赶快下手哦！,很好 强大 高性价比 真没想到 块钱 一台 游戏 笔记本 下手,pos,"[(2, 0.1059266), (6, 0.80826396)]",6
价格便宜，配置很足，什么双核啊、大内存啊、大硬盘啊、无线啊都有。打开一看，完美屏。,价格便宜 配置 很足 双核 内存 大硬盘 无线 打开 完美,pos,"[(4, 0.9070443)]",4
不错，帮朋友选的，朋友比较满意，就是接口少了，而且全是在左边，图片有误,不错 朋友 朋友 比较满意 接口 左边 图片 有误,pos,"[(4, 0.8967492)]",4
几天去取货的时候发现其实一点也不难看啊，屏幕虽然是的，但是及其设计也很稳重，这样的配置，这样的价钱，真的挺值的！,几天 去取 发现 一点 难看 屏幕 设计 稳重 配置 价钱 真的 挺值,pos,"[(10, 0.92853445)]",10
优点还真找不到啊，唯一的就是价格，系统没法用，找售后不关，说一大堆话，就是要让自己搞定。,优点 不到 唯一 价格 系统 没法用 售后 一大堆 搞定,pos,"[(11, 0.7686284), (13, 0.14562233)]",11
还不错，装系统有点小麻烦，对装系统不熟悉的人可能会用较长的时间。,不错 系统 小麻烦 系统 熟悉 会用 时间,pos,"[(4, 0.7153131), (8, 0.17737977)]",4
性价比高，无亮点，包装的不错，还有速度挺快的，晚上下的单，第三天中午就到了。,性价比 无亮点 包装 不错 速度 挺快 晚上 第三天 中午,pos,"[(2, 0.7186415), (3, 0.19559947)]",2
性价比高。,性价比,pos,"[(0, 0.035714503), (1, 0.035714597), (2, 0.03571456), (3, 0.035714526), (4, 0.03571468), (5, 0.035714615), (6, 0.035714567), (7, 0.5357107), (8, 0.035714604), (9, 0.03571451), (10, 0.03571454), (11, 0.035714544), (12, 0.03571449), (13, 0.035714567)]",7
性价比高，机器做工大方，合金手托板，驱动程序好找，就是系统难装，,性价比 机器 做工 大方 合金 托板 驱动程序 好找 系统,pos,"[(4, 0.6013433), (8, 0.3127747)]",4
简洁，适用。需要的配置都有了。当时担心有坏点。收到后品质令人放心。,简洁 配置 担心 坏点 收到 品质 令人 放心,pos,"[(4, 0.33165008), (8, 0.19007125), (12, 0.39096195)]",12
1.显示屏没有坏点、没有亮点，在京东买的2台笔记本都是完美屏幕哦 ,显示屏 坏点 亮点 京东 笔记本 完美 屏幕,pos,"[(8, 0.3745422), (12, 0.5183023)]",12
"很好的商品,购买后非常满意,",很好 商品 购买 满意,pos,"[(0, 0.014286251), (1, 0.014286059), (2, 0.014286081), (3, 0.014286191), (4, 0.0142861735), (5, 0.014286065), (6, 0.014286117), (7, 0.45379916), (8, 0.014286065), (9, 0.014286116), (10, 0.014286092), (11, 0.014286064), (12, 0.014286149), (13, 0.37476742)]",7
价格有一点贵，给朋友买的，朋友高兴就行，上网，也不做三维、，不要求速度，能上网就行，玩个、聊个天，玩玩小游戏，足够了。,价格 一点 朋友 朋友 上网 三维 速度 上网 聊个 玩玩 小游戏 足够,pos,"[(9, 0.92852515)]",9
小巧，漂亮，键盘大，便携性好，电池续航还行，虽然没达到宣传的8个小时，不过有6个小时也不错,小巧 漂亮 键盘 便携性 电池 续航 宣传 小时 小时 不错,pos,"[(1, 0.39925426), (7, 0.5227906)]",7
很漂亮，比图片上看好看很多，三星的就是做得比较精致。用起来也感觉很好。待机时间比较长。,很漂亮 图片 上看 好看 三星 精致 感觉 待机时间,pos,"[(2, 0.3458931), (8, 0.55881083)]",8
很干净 很美丽 键盘没有传说中那么小 很好用 女生的好选择啊 性价比很高的说,干净 美丽 键盘 很好 女生 选择 性价比 很高,pos,"[(7, 0.8967785)]",7
电池６小时续航，不是介绍的８小时．外观不错，2999买的，买后1天怎么就涨价了？这也算是赚钱了？,电池 小时 续航 介绍 小时 外观 不错 涨价 算是 赚钱,pos,"[(7, 0.25736427), (11, 0.66468525)]",11
图它小巧带着方便,小巧,pos,"[(0, 0.035716027), (1, 0.53569096), (2, 0.035716113), (3, 0.035716094), (4, 0.035716064), (5, 0.03571601), (6, 0.03571597), (7, 0.03571598), (8, 0.035716217), (9, 0.035716124), (10, 0.035716042), (11, 0.035716288), (12, 0.035715993), (13, 0.035716128)]",1
"电池时间长,外观很漂亮,珠光的,适合女孩子用,功能全,键盘大,运行的时候没什么声音,系统都装好了,开机填一点资料就可以上网了,不用装任何驱动,很方便.还有自带备份软件,以后要是系统崩溃,应该还蛮有用的.",电池 时间 外观 很漂亮 珠光 适合 女孩子 功能 键盘 运行 没什么 声音 系统 装好 开机 一点 资料 上网 不用 驱动 自带 备份 软件 系统 崩溃 有用,pos,"[(1, 0.33376473), (5, 0.4007947), (8, 0.10894277), (11, 0.13002747)]",5
1.基本配置完善－1芯片，1内存，160硬盘，1024*600显示，无线网卡，130万象素，3个口,配置 完善 芯片 内存 硬盘 显示 无线 网卡 万象 个口,pos,"[(7, 0.91554946)]",7
白色的，很干净，很漂亮，携带方便，速度也不错，用了一周挺满意的，电池能用7小时左右,白色 干净 很漂亮 携带方便 速度 不错 一周 满意 电池 能用 小时,pos,"[(4, 0.28576308), (9, 0.3204809), (12, 0.32824376)]",12
外观不错，速度可以，键盘舒服，发热小，电池时间长，送货快，性价比高。,外观 不错 速度 键盘 舒服 发热 电池 时间 送货 性价比,pos,"[(1, 0.4403163), (4, 0.4817576)]",4
外形小巧，白色很精致。,外形 小巧 白色 精致,pos,"[(0, 0.014287072), (1, 0.8142682), (2, 0.014287082), (3, 0.014287045), (4, 0.014287053), (5, 0.014287053), (6, 0.014287033), (7, 0.014287077), (8, 0.014287112), (9, 0.0142870555), (10, 0.014287074), (11, 0.014287067), (12, 0.014287037), (13, 0.014287062)]",1
外观漂亮，速度还很快哦，最重要的是携带超级方便，电池续航能力很强！,外观 漂亮 速度 很快 携带 超级 电池 续航 能力,pos,"[(7, 0.48136145), (9, 0.43289864)]",7
当时买这个本儿就是冲着它漂亮+电池，性能啥的小本儿也没什么追求,冲着 漂亮 电池 性能 小本儿 没什么 追求,pos,"[(1, 0.88389045)]",1
不错的上网本，外形很漂亮，操作系统应该是个很大的 卖点，电池还可以。整体上讲，作为一个上网本的定位，还是不错的。,不错 上网 外形 很漂亮 操作系统 很大 卖点 电池 整体 上网 定位 不错,pos,"[(3, 0.928546)]",3
闺蜜买了一个，我看到觉得外观啥的还不错，价格又那么便宜，正好考虑换电脑，就定了~,闺蜜 外观 不错 价格 便宜 正好 电脑,pos,"[(11, 0.29780757), (13, 0.594793)]",13
便宜，够用。搞活动返现100还用了一张券，价格很满意了。机器坏了，京东能够上门取件去换，不用我跑腿。,便宜 够用 活动 返现 还用 一张 价格 满意 机器 京东 上门 取件 不用 跑腿,pos,"[(4, 0.93802375)]",4
白色的10寸上网本里面，就三星的这一款的漆膜最漂亮。,白色 上网 三星 一款 漆膜 漂亮,pos,"[(0, 0.01020904), (1, 0.010209049), (2, 0.010208997), (3, 0.010208953), (4, 0.010209074), (5, 0.010208953), (6, 0.010208943), (7, 0.01020899), (8, 0.010209083), (9, 0.8672829), (10, 0.01020905), (11, 0.010209012), (12, 0.010209008), (13, 0.010208955)]",9
为了高兴我买了第二个小白，这个小白安静，不爱叫，外皮漂亮，得常擦擦，长的也紧凑，有很好的设计感，虽然个子小，什么都安得上，装了不少东西，跑的一点不慢,第二个 小白 小白 安静 外皮 漂亮 擦擦 紧凑 很好 设计 个子 安得 东西 一点,pos,"[(9, 0.9380438)]",9
送给的，三星的外观做的很好，机器速度还不错，就是开机时候设置得花半个小时，比较慢需要等一会儿。另外电池很好，当时就是看了超长待机而毫不犹豫的买了。,送给 三星 外观 很好 机器 速度 不错 开机 设置 半个 小时 比较慢 一会儿 电池 超长 待机 毫不犹豫,pos,"[(7, 0.948389)]",7
外观漂亮，最大的卖点。键盘大，联想ｓ１０被淘汰的原因。电池挺好的。,外观 漂亮 卖点 键盘 联想 淘汰 原因 电池,pos,"[(1, 0.201821), (9, 0.70286524)]",9
"外型漂亮,漂亮,漂亮,漂亮,噪音小,几乎没噪音,键盘超好用,摸着好舒服的,散热也很好,电池很好,时间真的很长,白天视频效果很好,好喜欢,好喜欢",外型 漂亮 漂亮 漂亮 漂亮 噪音 噪音 键盘 超好 舒服 散热 电池 时间 真的 白天 视频 效果 喜欢 喜欢,pos,"[(1, 0.9535646)]",1
外观漂亮。。做工精致。。到货时全新的包装封条未开封。。电池可以用5、6个小时吧。。适合使用。。送的内胆包比较材质比较单薄。。,外观 漂亮 做工 精致 到货 全新 包装 封条 开封 电池 小时 适合 内胆 材质 单薄,pos,"[(0, 0.64244246), (5, 0.09894725), (6, 0.20948066)]",0
买了半个月了，还没发现什么大问题，小问题多少有些，用了一天电脑还是微热，也没有其他本本那么响,半个 发现 电脑 微热 本本,pos,"[(0, 0.011908969), (1, 0.011909003), (2, 0.01190896), (3, 0.011908988), (4, 0.011908981), (5, 0.01190897), (6, 0.011908984), (7, 0.011909007), (8, 0.011908992), (9, 0.011909006), (10, 0.8451832), (11, 0.01190897), (12, 0.011908976), (13, 0.01190898)]",10
做工很精致，性能稳定，我主要是玩魔兽争霸，看视频，没有遇到障碍，很不错；,做工 精致 性能 稳定 魔兽争霸 视频 障碍 不错,pos,"[(1, 0.8967801)]",1
外观漂亮，做工精致，键盘用起来舒服，没有太大的拘束感．女孩子用还是很不错的．它的尺寸个人认为并不影响使用．反倒是携带方便．同类商品中做工最好的一个，不过价格也是最贵的．,外观 漂亮 做工 精致 键盘 舒服 拘束 女孩子 不错 尺寸 影响 携带方便 同类 商品 做工 价格 最贵,pos,"[(2, 0.5201385), (8, 0.4322178)]",2
对比比了很多的上网本，联想的键盘边框太宽，导致键盘小，惠普的边框没有，但是太贵了！银子有限，至于华硕，宏?，性价比不高，华硕普遍贵，宏?还行，做工用料差些。,上网 联想 键盘 边框 导致 键盘 惠普 边框 太贵 银子 有限 华硕 性价比 华硕 做工 用料 差些,pos,"[(6, 0.9483689)]",6
"小巧,电力威猛,做工在同类产品中属于上乘(价格也如此),配置丰富,蓝牙,摄像头,读卡器,3个口,键盘质量好",小巧 电力 威猛 做工 同类产品 上乘 价格 配置 蓝牙 摄像头 读卡器 个口 键盘 质量,pos,"[(13, 0.93805104)]",13
外观出众，键盘在上网本里算是很贴心的很舒服的。另外，京东的送货速度真是没的说。第二天到货。很是到位啊,外观 出众 键盘 上网 算是 贴心 舒服 京东 送货 速度 没的说 第二天 到货 到位,pos,"[(0, 0.19370973), (1, 0.20295846), (2, 0.32297122), (11, 0.23273058)]",2
做工非常精致，可于进口的小本媲美， 帮老婆选的，比自己的和朋友的做工要好很多，超静音,做工 精致 进口 小本 媲美 老婆 朋友 做工 静音,pos,"[(8, 0.90708536)]",8
轻便、小巧、配置不错！,轻便 小巧 配置 不错,pos,"[(0, 0.014286592), (1, 0.014286632), (2, 0.014286637), (3, 0.014286624), (4, 0.014286715), (5, 0.0142866075), (6, 0.014286627), (7, 0.014286578), (8, 0.814274), (9, 0.014286602), (10, 0.014286605), (11, 0.014286575), (12, 0.01428659), (13, 0.014286625)]",8
1.外观小巧，靓丽。机器应该是珠光白，有光的时候会略有珠光的反射。,外观 小巧 靓丽 机器 珠光 略有 珠光 反射,pos,"[(8, 0.8967659)]",8
白色的机壳让人觉得亮丽，重量轻携带方便，运行良好切续航时间长，使用很方便。,白色 机壳 亮丽 重量轻 携带方便 运行 续航 时间,pos,"[(9, 0.8967455)]",9
外观：金属边框配白色机身很精致，小小的。,外观 金属 边框 白色 机身 精致 小小的,pos,"[(1, 0.8838831)]",1
3399入手，送包送散热器，整体很不错。,入手 包送 散热器 整体 不错,pos,"[(0, 0.011915663), (1, 0.011915695), (2, 0.011915651), (3, 0.011915702), (4, 0.011915692), (5, 0.011915659), (6, 0.58252573), (7, 0.2744862), (8, 0.011915678), (9, 0.011915691), (10, 0.011915644), (11, 0.0119156465), (12, 0.011915665), (13, 0.011915654)]",6
今天到手的，装了 感觉还不错，够流畅的，显存改为128了，跑了跑10，得分还不低1804,到手 感觉 不错 流畅 显存 改为 得分,pos,"[(10, 0.88388944)]",10
没有许多网友评价热度高的问题，第一次要手动安装，主板的-硬盘重新设置,网友 评价 热度 第一次 手动 安装 主板 硬盘 设置,pos,"[(2, 0.11266138), (4, 0.47969994), (13, 0.3289538)]",4
价钱还没搞明白，货到了就掉了100，这点确实有点汗，,价钱 明白 确实,pos,"[(0, 0.017868979), (1, 0.017869025), (2, 0.017868886), (3, 0.22245163), (4, 0.017868973), (5, 0.017868891), (6, 0.017868986), (7, 0.017868899), (8, 0.017868984), (9, 0.017868884), (10, 0.017869012), (11, 0.5631208), (12, 0.017868984), (13, 0.017869089)]",11
电池强劲，虽然没有达到9小时，但初次使用觉得6小时应该有的 。,电池 强劲 小时 初次 小时,pos,"[(0, 0.011906231), (1, 0.84521884), (2, 0.011906218), (3, 0.011906259), (4, 0.011906235), (5, 0.011906234), (6, 0.011906244), (7, 0.011906279), (8, 0.011906227), (9, 0.011906236), (10, 0.011906248), (11, 0.011906246), (12, 0.011906229), (13, 0.011906245)]",1
一、最显著的优点是电池使用时间长；二、配置比较齐全：无线、蓝牙、摄像必备的都有；三、做工还不错，烤漆的也比较漂亮；四、小巧便携，就一本杂志大小，一般书包就能装下；五、品牌还可以，网上的资料相对较全；六、一般情况下硬盘和风扇声音还不算太大。,优点 电池 时间 配置 齐全 无线 蓝牙 摄像 必备 做工 不错 烤漆 漂亮 小巧 便携 一本 杂志 大小 书包 装下 品牌 网上 资料 情况 硬盘 风扇 声音 不算,pos,"[(1, 0.1427025), (3, 0.53144056), (8, 0.29873794)]",3
相比1000，电池不突出。,相比 电池,pos,"[(0, 0.023812475), (1, 0.6904372), (2, 0.023812475), (3, 0.023812547), (4, 0.023812562), (5, 0.023812484), (6, 0.023812504), (7, 0.023812596), (8, 0.023812532), (9, 0.023812536), (10, 0.023812508), (11, 0.023812564), (12, 0.023812484), (13, 0.023812512)]",1
7全兼容，只需手动安装驱动。 9全兼容，建议装3，可支持软开关蓝牙无线摄像头。,兼容 手动 安装 驱动 兼容 建议 支持 开关 蓝牙 无线 摄像头,pos,"[(4, 0.9225964)]",4
外观设计的好，做工精美，京东快递速度也很迅速，特别是2699-100的价格简直无可挑剔！,外观设计 做工 精美 京东 快递 速度 特别 价格 无可挑剔,pos,"[(4, 0.7725317), (6, 0.14170253)]",4
用了几天，结果系统崩溃了，到同方检测，发现30％坏道，已经退回换货了，不知道换来的如何,几天 系统 崩溃 同方 检测 发现 退回 换货 换来,pos,"[(3, 0.90701634)]",3
2699，价格无敌，比电脑卖我问的所谓最低价场足足便宜了300，性能也很不错，待机时间正在测试中，不可能和官方9小时一样，那太理想化了，不过估计7，8个小时问题不大,价格 无敌 电脑 最低价 足足 便宜 性能 不错 待机时间 测试 官方 小时 理想化 估计 小时,pos,"[(3, 0.7219614), (8, 0.2244207)]",3
用了一个50元券，花了2649入手的，价格而言是无敌了，当然你要是3199入手，价格上就没有优势了，产品秉承了华硕的一贯品质，各方面做工都优于的，为什么要拿微星的来比较，因为之前我买过微星的90和100各一台，应该是具有发言权的，电池更是达到了难以想象的八小时以上，作为上网本，基本上可以横扫其他品牌了，2649的性价比超乎想象！！,元券 入手 价格 无敌 入手 价格 优势 产品 秉承 华硕 一贯 品质 做工 优于 微星 微星 一台 发言权 电池 更是 难以想象 八小时 上网 横扫 品牌 性价比 超乎 想象,pos,"[(4, 0.90799266), (12, 0.062406953)]",4
