评论用户id,评论内容,分词,分词-英文
MS4wLjABAAAAeoXSfUYq3El9a1kSSibQeGWudK70rrwJPL1ANKtuDs_CWhIXaXm_bvCuCBCLeRHp,谁有便宜的鞋,便宜,Cheap
MS4wLjABAAAAi6mAYnLtB-qIxwtboxSX3XKgS_AHudM-eSwwBzhCvFI,网购要警惕！不小心的话就会买到假货！,小心 假货,Be careful of fakes
MS4wLjABAAAA4FySrwK2v9GDX1T87zROWu0PTRD9HDjMfGj_ITHxLTA,买鞋还是双星，百年品牌,买鞋 双星 品牌,Buy shoe double -star brand
MS4wLjABAAAAr77BODt2ck8KGhtLcG2ZmrV9952vNb-PzZqIQ2vkhCiEr-xStUkcXY69KThs9k21,我想要女人，该怎么搜？,女人,woman
MS4wLjABAAAA7uL8HUwPw4S7BpAFE1hd9rJz8ioDq4nmdcCQc-B8k6x0VJSDC3IPGUB_D34toHaW,这鞋确实挺好的，穿着也挺舒服，尤其鞋底非常软,确实 鞋底,Indeed sole
MS4wLjABAAAA47J8qdA0sex9Cufd8izxIsKJYgJvTW7w0dqTuvCuTyw,鞋子确实不错，高大尚,鞋子 确实 不错 高大,Shoes are really tall
MS4wLjABAAAAhco0hp0cvgMZF_dN0EF4Ka4zjSk185WQaDwl97lUUoo,雅鹿运动鞋，看上好久了，今天终于到手了，真的是超级的轻了,雅鹿 运动鞋,Yalu sports shoes
MS4wLjABAAAAveFKfC6GZWbxVFyjcX660rdJc4BySAr3pOdYGrLYWEI,下次人家也去网上买保险柜,保险柜,Safe
MS4wLjABAAAAh17rm1QOpBzPhrmT7EWAAFuOaK3KY1HTW3gg8ktQv11-Ib3touax5_YM-LFCMCYX,质量好吗,质量,quality
MS4wLjABAAAAS8q1fHwMHkiYMkRbb2l5TOSFC6fRdIgIXQvsBzYyNuY,七号云仓就是为滑县老铁服务的需要的联系,云仓 滑县 老铁,Yuncang Schi -County Old Iron
MS4wLjABAAAAwBdABoP22dvmNGqrZVkZmgdnQ-dd8L5i96Z3tJMVy8Qb6PpNi5F_IiL2xqvjujpH,是正品吗,正品,Genuine
MS4wLjABAAAAARcicE8hqyc-TdUCnCHiWUand1Wau5-MCVRuUie5zoA,在哪呀？ 裤子，外套，都有么？,裤子 外套,Pants jacket
MS4wLjABAAAAy9l1rGDC2dRFxw2_5tYzrk-MVGAyKkOjhyyjJhcIVqw,去过了，价格挺便宜，合适,价格 便宜 合适,Price and appropriate
MS4wLjABAAAAPBhLBSK8rDd5PEmYSu6WkUZz2_YHynHk6HKtNLlqK_0,这么便宜啊，我想去,便宜,Cheap
MS4wLjABAAAAtIUsJ3UYiNaHXfykNbEcIgdZolO0VMKCkSactdK9vpDPzA3pXkBibqZG_3ywJyUI,这鞋看不错啊！那天去看看,不错,good
MS4wLjABAAAAo58gtydNSXmbSL53FzttVt1JDjUIKBMI0ymmwVYIEkY,款式挺多呀 还看见喜欢的了 去看看,款式,shape
MS4wLjABAAAA_CvogNhrvF_MvSKeKbnKQD2TyqjyTES8Qzz3qrHswG6l-XIxb2vxW_koXQsV0U05,都正品么？看着不错改天溜达一圈去,正品 不错,The genuine product is good
MS4wLjABAAAAZGbC4CBruX3JQjgWSaIH4NB8BLPHh-Dz6RdkANojS1M,他家营业到几点？带孩子去溜达溜达,营业 孩子,Business child
MS4wLjABAAAAnE-PWY9wI6pB59gV8GQ975mOjQicCkvijwsQ5COX5qw,你敢说正品么？,正品,Genuine
MS4wLjABAAAAzImKOF1jZlAqrhoJiaEgK0H64L6LBwzSQMyl3zrclzaspNXCo-3P1u7Vup9dzlHj,温州皮鞋,温州 皮鞋,Wenzhou leather shoes
MS4wLjABAAAA_i-Vwi4yXIGZIyNi0ax-MWmGviDo3IwEZy7wHh1N-xo,莆田不是假的吗,莆田,Putian
MS4wLjABAAAAy_G1wh7GCBNqHwLdJ9Vz15IbWYHWuZcsX0a6g-ibcXw,最好是从实体店买,实体店,Physical store
MS4wLjABAAAADvQtrLN1Iz1m9XyDS1ORHvrmOloJHkKg3K374yFAPEk,凉鞋女款怎么搜,凉鞋 女款,Sandals women
MS4wLjABAAAAkIf03BliBOASIevPMMe7c2H8az3XxA2aaxF5GmTDjw3yWsH_1j-YuYNfpXsnxlwx,高端就到广州，做工都要好很多,高端 广州,High -end Guangzhou
MS4wLjABAAAA2Bu3WeHe4WSDFP0A6iNkit1_fy4ozJDtZniThCOIyes,小白鞋搜哪里？,白鞋,White shoes
MS4wLjABAAAAwh_EO63-STNLMFGBXI4KTWwZ-WWtnLPmGomVbmKliiffNw6rrS2x1RpqFMWsCfIZ,质量差的要命，穿一次就没要了，到专卖店买放心,质量 专卖店,Quality store
MS4wLjABAAAAYzuFh4-inYhPmmaV__4dVkuFnJe8fDCJ4tx9SGYWi2k-WSevUq5rn59b-5L5sE9v,莆田都是假货,莆田 假货,Putian fake
MS4wLjABAAAAfyWLg9vyjAOUABqoR7GzFJoEqmXUGV67dXZjirDl9Uo,你可拉倒吧，温州的皮鞋质量最差，要买皮鞋必须买广州的。,温州 皮鞋 质量 最差 皮鞋 广州,Wenzhou leather shoes are the worst quality leather shoes Guangzhou
MS4wLjABAAAA9mYK4Zbmt0Uod7IAnSL3WL0lHn7ppWLXRIgeHoQMj7M,穿了给臭脚？,臭脚,Stinky feet
MS4wLjABAAAA6TY1L7G_SPVBqN4M39jmKRn5A-AHrbcQIgg9oAg0-H8,怎么视频选货,视频 选货,Video selection
MS4wLjABAAAARCsLxn13XSOnd1cwC3NwDumLcekeqYKQcKlCSwsen-Y,这广告打的,广告,advertise
MS4wLjABAAAAMxLoZWuBxTqgG3cJSaPSMMVd8VD1TmidTGVRaqjT0ZQ,销售小姐姐好漂亮,小姐姐 漂亮,Miss Sister Beautiful
MS4wLjABAAAA76a9N_bBKiYXCgoUVxrmUiIOja_Ei3kTsGsySH-En-0,不错不错不错,不错 不错 不错,"Not bad, good, good"
MS4wLjABAAAA1xbcqVN7BrGI9VRXLKgfP3koAdbAg9kI7tYnCUH60-c,正好买新衣服去喽,正好 衣服,Just happen
MS4wLjABAAAAOuyo6t42kj6UrWRrFjCb67fvcPFYSJDsQdgawJ_ymfI,白菜价,白菜价,Cabbage
MS4wLjABAAAAFX2ryUKX-ijZjVVNpudxdxyP6poTH3DS1sIcVu6nNXI,厉害啦,厉害,sharp
MS4wLjABAAAAlF_yoJaeTVtT_vrx16eGjpG2NyaxN0A15YBLWfvyu3zCI0Y7tT1hAQc2gjIfjkGg,怎么又是这个人。买了6年东西都没有发货的,东西 发货,Delivery
MS4wLjABAAAA--oBjY-YXSMknbq9bEZVH0C14uBxJsXzsVGmzflu8bxk-nR4p7_4X5UX6E-Q0IDU,一周没收到货，联系不到商家，马上联系客服,商家 客服,Merchant customer service
MS4wLjABAAAAMEfaQHAWquOFEqXw0_GuajcaY9XG978ul3HcXqYkSeY,他不是还有6年前的30多块钱吗？,块钱,Dollars
MS4wLjABAAAA--oBjY-YXSMknbq9bEZVH0C14uBxJsXzsVGmzflu8bxk-nR4p7_4X5UX6E-Q0IDU,这个也是平台的问题，没把控好供应链,平台 供应链,Platform supply chain
MS4wLjABAAAAMUltieyzBIpwwzKHUc-NgD5YJIIeZohWx21NSiTVJyxWe9kpbLu3pZ6szb0a0cew,《消费者权益保障法》第五十五条经营者提供商品或者服务有欺诈行为的，应当按照消费者的要求增加赔偿其受到的损失，增加赔偿的金额为消费者购买商品的价款或者接受服务的费用的三倍；增加赔偿的金额不足五百元的，为五百元。法律另有规定的，依照其规定。,消费者 权益 保障法 经营者 商品 消费者 损失 金额 消费者 商品 价款 费用 金额 法律,Consumer Rights Protection Law Operator of the Commodity Consumer Loss Consumer Consumer Commodity Price Calculation Law
MS4wLjABAAAAPHVZotfZgL25H_ZNb4QjNPU8iAX4R6kcEurnTZrTJqA,网购平台应该是第一责任人，大家都是相信平台。,网购 平台 责任人 平台,Online shopping platform responsible person platform
MS4wLjABAAAAPXgjapAApMECTOGYDlcqqQ3FFrwc0sPOOoBYJaKsJTQ,怎么又是他他不是有一双买了6年没发货,发货,Ship
MS4wLjABAAAAPTbrhHLEvbmiMurCE3Ht36MuvMzHo04hkDWLhZAIq7I,为什么等到交易成功才处理,交易 成功,Successful transactions
MS4wLjABAAAA--oBjY-YXSMknbq9bEZVH0C14uBxJsXzsVGmzflu8bxk-nR4p7_4X5UX6E-Q0IDU,商家都没款了，退不了了,商家,Merchant
MS4wLjABAAAA3_CgEDIPRqYB-YyQIbQVPt9T1Bye1x3YCs02GgF3NuA,不找媒体，这个钱是退不成了,媒体,media
MS4wLjABAAAA4bSCHYWepAukv9DE6lU_KMgWnzKSBdTmyFwU73euHeo,我买枇杷芒，发的台芒,枇杷 台芒,Takayuki
MS4wLjABAAAAW360lCFDeZusnA61VMwnZJER_ai1E4Jl-EZosNUWFDU,别懒，还是实体店好，我网上超过三百的服装都不买,实体店,Physical store
MS4wLjABAAAASI62m-HF_MEz_icrIcNZQnAR9stICFce-LjkbauIWlA,不是还有一个五年的订单没有发货退款赔偿五元也是他？,订单 发货,Order delivery
MS4wLjABAAAAo_xbZrc04m0i2jApEJEy8BiJpKFRAeIqpgK8jgg9_Y7OA0msrutdEtbfUSxJ810M,我就遇到过三年前的订单现在还没发货！！！,订单 发货,Order delivery
MS4wLjABAAAA9re-ZUQL7VRc9JdlidrlRkWaV6k4V67dBNqvsvGrUlBIWXOQT_mhajYH2N6TohHB,他跟发货的是同伙要么跟商家同伙搞平台,发货 同伙 商家 同伙 平台,Delivery associate merchant's platform
MS4wLjABAAAAaMqvmaxvgaZOK_j5MO09hFji3-jN-zbEUXjIvd-gOCY,宝贝买国画挂件怎么选？,宝贝 国画 挂件,Baby Chinese Painting Pendant
MS4wLjABAAAAUcR-3tNnER7bqsJB8tjR0vAk3wzbkWw4a_jL7I7GcHM,手动剃须刀在哪里搜呢？,手动 剃须刀,Manual shaving knife
MS4wLjABAAAAivMTMRW6EcxgH6FTNg7cPZvYJcSWCgaCW9P6mVLessU,要买小白鞋，要怎么搜？？,白鞋,White shoes
MS4wLjABAAAAah_1AwRrGLVl4bXsi4FMJjxzsAhTHJ0dQ42idMdBNpZExAfd9NB80pXjmckoQI1Q,买茶叶怎么收？,茶叶,tea
MS4wLjABAAAAj7Y4R8pEsY0XrLmQs0-zaWMUGyLcFLGavKVOseQRkX4,劳保鞋哪里的好,劳保鞋,Laborer
MS4wLjABAAAAnodvsegR4G4PolrWcs7T0JO1f7FJki7vINXPf3HY4y6n7AOR-nuaKy_GMVE7OeTS,你好，美女，在哪个软件里搜？,美女 软件,
MS4wLjABAAAAVKIoIDU_D8S-JaT3HVEaPd9WkWYz2HIM3XtKxIyUuvQ,想买板鞋怎么收,板鞋,Sneakers
MS4wLjABAAAA8T3DYWzkNS477a0B0e9YknsQUXcH0x5tNUD4hG21Eex1Mf_SWHzowdspyfBcOfL3,买老北京小白鞋,北京 白鞋,Beijing white shoes
MS4wLjABAAAAqpZ7hw2gq9RiH4jOw7LY6pqt1S3nB8R8uIoAhQhXh1v4AnlNGtyLTS8ZaV5Fb8lF,美女，怎么买小白鞋呢？,美女 白鞋,Beauty white shoes
MS4wLjABAAAArAJxKtQCYRICo0s6Ioa4Kudi3jNssY27Af88MWCC_-U,浦田是啥鞋,浦田,Putian
MS4wLjABAAAAUAACQeE-BKujJBLwRvZmoYnjS3ZFFgNZL8zxPBks4OWFQsRmaRL4e--NuAl1_6ZT,在啥软件上搜索,软件,software
MS4wLjABAAAA88HULkYNlUIyl9-fO09MRBHaYlQYcaEEKkFBeEePXf8,在什么软件上搜,软件,software
