评论用户id,评论内容,分词,分词-英文
978143934,好专业 但是新人还是没太看懂作者的意思如果不在乎价格新房装修的还买惠而浦 洗碗机最好？ 因为喷淋技术最强  在国外洗碗机上直接作为切菜区域不太合适吧？经常要剁肉杀鱼的 菜刀会重重地敲击 这个区域对洗碗机没有影响吗？！,专业 新人 作者 价格 新房 惠而浦 洗碗机 技术 最强 洗碗机 切菜 区域 合适 菜刀 区域 洗碗机,Professional newcomer authors price new house Whirlpool dishwasher technology the strongest dishwasher cutting area is suitable for kitchen knife area dishwasher
935959862,修正一下吧～并没有被美的收购～只是与伊莱克斯成立中国合资公司～现已分家归还伊莱克斯全权所有～因为美的想要全控是不可能的～最后内部斗争，归还给伊莱克斯～现在仍就属于旗下独立品牌～美的自己又去玩新的子品牌去了～,修正 美的 中国 公司 分家 全权 美的 旗下 品牌 美的 品牌,Fixed the beauty of the Chinese company that has a fully dominant beauty brand beauty brand
913543807,可以详细说一下83806 跟美诺的6620 这两款吗？,详细 美诺,Detailed Meno
906132573,惠而浦322怎么样,惠而浦,Wholepu
815068753,上排水可以用水冲洗垃圾处理器,用水 垃圾 处理器,Water garbage processor
812987164,为啥国外洗碗机都没有热风烘干？,洗碗机 热风,Thermal wind breeze
708419930,目前我也在做这一块，目前已经申请了一些专利，现在是的详细功能分类以及版面设计阶段，预计明年年初正式上线。我觉得做这个首先要清晰自己的定位和思路，搞清楚以下问题。1.作为业主，对网购平台的安全感问题怎么解决，个人觉得2的产生就是因为大型需要体验实物的商品客户决定周期比较长，所以需要有实体店体验环节，作为一个新的网络平台，怎么花比较低的成本去解决这个问题，或者说直接避开这个问题，不做自营，或者说自营作为后期开展，前期只是做商户入驻。2.平台的亮点是什么，也就是解决了客户的安全感问题以后，还要解决客户购买产品的第一冲动，让业主有足够的动力去购买产品。比如说设计师这个对家装行业能起到关键性作用的职业，怎么和平台产生一个互惠互利的关系，通过设计师的设计来联系多个产品进行整体推广。3.团购活动的真实性，比如现在很多购物网站，有一种很低劣的限时促销手法，当你刷新页面之后，你会发现时间又重新开始计算了，反正我发现这种情况，第一反应就是这是什么垃圾策划，觉得客户是傻子么？如果不能保证给客户实实在在的优惠，那么也不会有实实在在的发展机会。4.做建材怎么发动跨行产业链资源，怎么让酒店，，超市心甘情愿的为你打广告，这个我自信能够办到，但是暂时不方便说，抱歉。总之思维不能局限在建材和家具，比如我之前和一家个的老板有过一些交流，我告诉他，把广告换成装修平台的广告，为什么，因为来你这里唱歌的人，知道你这里是一个，这个广告毫无价值，如果换成建材的广告，当建材商从你这里获得了广告资源提升了销量，那么建材商是不是相应的会帮你赠送一些消费券来拉动购买建材的客户呢？整个社会是一个交融的存在，买建材的是那个人，唱歌的也还是那个人。5.平台自我扩展的能力，如果说一个平台需要不断的打广告去让别人认知，那么必定无法长久的生存，缺少了之前所说的4点问题，平台就缺了一个自我扩展的能力，如果能够办到初期投入广告后让大家使用，并且能做到让大家互相推荐使用，能做到我装修完了房子，还有足够的理由留下这个手机，这比再好的广告都有用。6.界面，操作，设计感，流畅度。为什么抖音会火，除了那些视频的内容，操作方式也是至关重要的一块，从以往的点击，变成了上划刷不停，我觉得就这一个界面设计，价值千万真不过分。7.平台商业体系的宏观思路。怎么构建一个价值体系，比如说简单的买卖一个商品，只是简单的一方赚取钱财，一方出资购买必需品，虽然获得了想要的东西，但是总是被赚了钱的。一个具有广大包容性的平台，如何去做到1+1+1&;3，然后再用&;3来÷3，让每个人的获得都&;1，这也是最核心的一个部分。目前我在新注册公司。名字叫做家家团网络科技服务有限公司。以上内容如有不对之处还望指正。因为还没有上线以及著作权专利这些问题，不方便说得太多最后顺便说一下，现在很多身边的人觉得我整天像个白痴，更有人要拿出马云来洗刷我，问我是不是要成为下一个马云，挺可悲的，我认为不是我，而是他们。因为他们没有自己的梦想活的像一条咸鱼。发布于 12:20・著作权归作者所有,专利 详细 功能 分类 版面设计 阶段 正式 上线 清晰 定位 思路 业主 平台 安全感 体验 实物 商品 客户 实体店 体验 环节 网络平台 成本 商户 平台 亮点 客户 安全感 客户 产品 业主 动力 产品 设计师 家装 行业 关键性 职业 平台 关系 设计师 产品 整体 真实性 购物 网站 低劣 限时 手法 页面 时间 情况 垃圾 策划 客户 傻子 客户 机会 建材 产业链 资源 酒店 思维 局限 建材 家具 老板 交流 广告 平台 广告 唱歌 广告 建材 广告 建材 广告 资源 销量 建材 建材 客户 社会 交融 建材 唱歌 平台 能力 平台 平台 能力 广告 房子 理由 手机 广告 界面 流畅 音会 视频 内容 方式 界面设计 价值 平台 商业 体系 宏观 思路 价值体系 简单 商品 简单 钱财 东西 包容性 平台 核心 公司 名字 家家 网络科技 有限公司 内容 上线 著作权 专利 顺便 白痴 马云 马云 可悲 梦想 咸鱼 著作权 作者,"Patent Detailed Function Category Layout Design Stage officially launch Clear Positioning Thinking Master Platform Security Senior Experience Physical Product Customer Physical Store Experience link Network Platform Merchants Platform Highlight Customer Security Customer Product Designer Designer Relations Professional Platform Relations Designer Product Product Products Products ProductsOverall authenticity Shopping website Infletering time -limited method Page Time Situation Situation Waste Planning Customer Customer Customer Customer Building Material Industry Chain Resource Hotel Mind Furniture Boss Exchange Advertising Platform Advertising Singing Building Materials Advertising Building Materials Sales Building Materials Building Materials Customer Social Material Singing Building Material Singing Platform Capability PlatformPlatform ability advertising house reason for mobile advertising interface Basic video content method interface Design value Platform business system Macro -ideas Value System Simple Product Simple Falling Film Core Platform Company Name Home Network Technology Co., Ltd. Content Copywriting Patent Patent By the By By By By By By By By By By By By By By By By By the By By By By By By the By By the wayDreaming of salted fish copyright author"
2651656111,我也是做建材行业的，目前市场也面临着拆迁，也想做一个这样的平台,建材行业 市场 平台,Building material industry market platform
1196299163,写得好，看来不止我一个人这么想，和被动，我是设计师，有兴趣一起聊，志同道合可遇不可求,设计师 兴趣,Designer interest
10509395598,张哥，我也有过这个想法，之前我花钱做了一个公众号的平台，上线我觉着挺好找的，但是下线就难上加难了，没有下线，上线凭什么入驻你的平台！后来我琢磨了好久，于是就按下了暂停键！现在我又想搞一个类似于本地信息服务平台，能否给个建议？,张哥 花钱 公众 平台 上线 下线 下线 上线 平台 信息 服务平台 建议,Zhangge spent money on the public platform online offline online online information service platform suggestion
998933872,我买了山东青岛创能的两台激光切割机，来切亚克力的，用的舒心，售后很好，推荐！,山东 青岛 激光 亚克力 舒心 售后,Shandong Qingdao Laser Acrylics Shu Shuxin after -sales
682091027,有一家叫宏山激光的激光切割机厂家还蛮不错哦，我们工厂跟他们家合作很多年了，买了一台板机、两台管机，加工的产品质量非常好。最早入的那台板机，用了5年了，机子性能稳定，而且性价比也高，他们家的售后服务做得还挺到位，你可以详细了解下咯。,宏山 激光 激光 厂家 不错 工厂 板机 管机 产品质量 台板 机子 性能 稳定 性价比 详细,Hongshan Laser Laser Manufacturers Good Factory Board Pipe Machine Product Quality Plate Machine Performance Stable and Valuable Details
696801145,普及了谢谢吧主,普及 谢谢,Thank you
677819932,很详细不错,详细 不错,Pretty good
10536614717,有什么用？身体虚弱的人打一针就生龙活虎啦？指导价的目的已经达到，现在已经可有可无了。,一针 指导价 目的,One stitch guidance price purpose
10536872853,继续加油，一平米不到100万绝不提深圳二字。,深圳,Shenzhen
10536301076,基本上就是向市场低头了，不再挣扎，大家爱咋咋地，纸面财富没意思，能套现才是王道,市场 低头 纸面 财富 王道,Market bowed heads of paper wealth king
10537756000,低价居然不如高价好？这是有病吗？哈哈哈。,低价 高价,Low price and high price
10538100654,也就楼主彻夜难眠，可怜的人,楼主,Landlord
10536647264,博主都没注意吗？2、银行核定房价以网签备案价和评估价孰低为准，参考价仅作参考；这里面是“孰低为准”？知道啥意思吗？,博主 银行 核定 房价 网签 备案 评估价 参考价 啥意思,What is the meaning of the reference price of Blog Bank's approved house price online signing for the evaluation price
10536594830,然并卵现在是首付和贷款的问题吗？,贷款,loan
10537674114,除了卖房子 是不是整点高科技啊  天天就是房子汽车 都发达国家了  不能弄点大气的东西吗 ,卖房子 整点 高科技 房子 汽车 大气 东西,"Selling a house, a full point of high -tech house cars at the atmosphere"
10536963768,不公布真实成交价，成交量。居心何在？,成交价 成交量 居心,Transaction price and turnover center
10538533653,有没有一种可能，指导价其实是一个底线,指导价 底线,Guidance price bottom line
627059788,美国在哪都是他说了算，唯有联合国屡屡吃瘪，如果有国家站美国这边一起抵制美国，恐怕美国早就退了。现在五常中俄是一条线的，美英法的提案很难过。修联合国表决法也修不动了，美国唯有混混日子了，在联合国假提案，背后真行动，空袭叙利亚，假信息打萨达姆，卡扎菲，军事行动都绕开并无视联合国了。往后走这种分权的多边组织确实越来越无实质意识了，只能看未来有没有11这种协议了。,美国 联合国 国家 美国 美国 美国 中俄 美英 联合国 美国 混日子 联合国 叙利亚 信息 萨达姆 卡扎菲 军事行动 联合国 分权 确实 实质 意识 协议,"U.S. U.S., the United States, the United States, the United States and the United States, the United States, the United States, the United States, the United States, the United Nations Syrian information Saddami Gaddafi Military Action, the United Nations decentralization is indeed a substantial consciousness agreement"
408704878,根据以上美国所说的，可以断定美国可能认为联合国没有与时俱进，因而变成了一个俱乐部。现在的联合国是二战结束时建立的，但现在离二战已经有一段距离了，该进行调整，以适应时代的变化了。,美国 美国 联合国 俱乐部 联合国 二战 二战 一段距离 时代,U.S. United Nations Club UN World World War II was the distance between World War II
408549274,美国：美国是联合国最大的金家，但却没有应有的权力。但要是联合国能够发挥实际的作用，那么美国养着它也是值得的。联合国本身的潜力是很大的，可它现在却成了一个俱乐部。可悲，实在是可悲！,美国 美国 联合国 金家 权力 联合国 美国 联合国 潜力 很大 俱乐部 可悲 可悲,U.S. U.S. Golden Family Power UN UN UN UN UN potential club is sad or sad
260154827,这概率应该可以小到忽略不计吧,概率,Probability
259941101,我也是。明明前对象帅得多，但是看我现在胖胖的对象，不知道为啥想着就能笑出声。以前为自己未来的对象不知道列了多少条准则，遇见他后就觉得自己其实没什么标准的。,对象 对象 对象 准则 标准,Object Object Standard Standard
259932886,这种文章是在安慰那些不肯努力进步的人。你们只是没等到对的人吗？  对的人从来都不是时间到了就会有的,文章 努力 时间,Article effort time
259922658,用一大堆无效概念来讲问题，你表妹是，你也是。作为专业人士用一堆没意义的词粉饰你表妹的认知缺陷这样真的好吗？,无效 概念 表妹 专业人士 意义 粉饰 表妹,Increasing concept cousin professionals mean noodle decoration cousin
259890456,典型的鸡汤，正常的过程是相识相知相处相爱，跳过了相知和相处，直接从相识就到相爱的感情，往往最后不会有一个满意的结局,典型 鸡汤 过程 感情 结局,Typical chicken soup process emotional ending
396005347,喝过最惊艳的甜酒就是,惊艳 甜酒,Stunning sweet wine
303132236,进来看葡萄,葡萄,Grape
302974131, 新疆就靠你开发了,新疆,Xinjiang
302964773,不说酒吧。葡萄这种东西，我一直觉得看起来很诱人，但是很抵触去吃它是为什么,酒吧 葡萄 东西 诱人,Bar grapes are seductive
302920661,，是英语吗?,英语,English
302821520,和这个有什么异同呢？,异同,Difference
10306017115,你懂篮球？,篮球,basketball
10305067820,我认为发的恰到好处。1恭喜女排28年再进决赛，2为女篮姑娘们减压，好让他们放开打。响鼓不用重锤，压力的释放很容易让姑娘们打出水平，女篮雄起！,恭喜 女排 决赛 女篮 姑娘 重锤 压力 姑娘 水平 女篮,Congratulations to the women's volleyball finals women's basketball girl heavy hammer pressure girl level women's basketball team
10572637662,政治过线就行不计入总成绩是真的吗？,政治 过线 总成绩,Political Circuit Score
943591667,人生的意义不是寻找人生的意义，而是在于勇于承担人生无意义的勇气！,人生 意义 人生 意义 人生 意义 勇气,The meaning of life meaning of life meaning of life courage
939780805,所以你是月入3000，还是月薪+副业？,月入 月薪 副业,Monthly income monthly salary deputy industry
939778441,我也想创业，工作情况和你差不多,创业 情况,Entrepreneurial situation
477014356,主要选适合自己肤质的，先护肤，五二③③9083，专业，价好,肤质 护肤 专业,Skin skin care major
10790979070,期待你复查是良性的,良性,benign
1272244368,我也在成都，我34，也是两个宝的妈妈，单位体检发现4结节，做了穿刺，因为本来也在医院，第二天就被同事告知，高度怀疑是恶性，现在排队等着华西魏涛教授来给我做手术 积极面对,成都 妈妈 单位 结节 医院 同事 高度 恶性 排队 教授 做手术,Chengdu Mom Unit's Hospital Hospital Colleagues High Vicious Launding Professor for Surgery for Surgery
10303243674,同问，各大浏览器都没，是小众还是太贵？,浏览器 小众 太贵,Browser niche is too expensive
260114747,   的关键词，不是“通识”，不是“素质”，不是“人文”，不是“博雅”，而恰恰就是英文和拉丁文原文中的那个词——自由。  归根结底，自由技艺交给我们的，是去做一个独立的人，而不是去做一个工具。 ,关键词 通识 素质 人文 博雅 英文 拉丁文 原文中 自由 自由 技艺 工具,Keywords general quality Humanities Boya English Latin original text free free technology tool
253985989,请教，自由技艺这个专业的英文翻译是什么？,自由 技艺 专业 英文翻译,Freedom Skills English Translation
1032555366,谢谢知乎！,谢谢,Thanks
1031661886,落后太多，流着汗努力去了,落后 努力,Backward effort
535934651,卧槽加了真的一下就有了感觉,卧槽 感觉,Feel
536268880,虽然有点偏题，不过的确有些张深得品牌精髓。尤其葛优和马三立老先生的，太有范儿了,偏题 品牌 精髓 葛优 马三立 老先生 范儿,"The essence of partial question brand Ge You, Mr. Masanli, Fan Er"
536029764,太有才了而且还有趣,有趣,interesting
535929418,这个账号内容不错呀,账号 内容 不错呀,The account content is good
537057068,那个汤唯那一组真的是无违和感了,汤唯,Tang Wei
536725686,别说那东北花帽子还真挺好看，有想买的冲动。,东北 帽子 真挺,Northeast hat is really good
536747523,哇卫龙大礼包种草了好想吃,卫龙 大礼包 种草,Weilong Gift Pack plant grass
537069094,個人表示一點不喜歡吃衛龍，太甜了,衛龍,Wei Dragon
536557304,卫龙那个模特戴的帽子挺好看的,卫龙 模特 帽子,Wei Long Model Hat
10904931150,而你，我的朋友，你是真正的英雄，我愿称你为皮鞋侠！,朋友 英雄 皮鞋,Friends and heroes
10904200369,直接给他反馈到国家平台上，然后你们市委那边会告诉他这是不是形式主义，立刻整改形成报告，局长签字后报市委,国家 平台 市委 形式主义 报告 局长 后报 市委,Director of the National Platform Municipal Party Committee formalist report later reported to the Municipal Party Committee
10903394229,本来内务条令就没有规定着执勤服一定要穿皮鞋，这种领导纯属闲得没事干，推进了对他没好处，推不进影响他威信，柒的,内务条令 皮鞋 领导 纯属 威信,Internal affairs strip leather shoes leadership is pure prestige
10905054610,之所以没针对你，是因为第一次训斥之后你又举报了一次，展示了你的头铁，他又没办法轻易开除你，这种情况下和一个头铁的人置气是非常危险的，你要是第一次就怂了，他能给你小鞋穿到死，玩的就是个欺软怕硬,头铁 办法 轻易 情况 人置 危险 小鞋穿,The method of head iron is easy to put on dangerous shoes to wear
10904450397,差三级甚至更多，不会和你计较这么多。就比你高一层级这么干可能就完犊子。。。会多想的,犊子,Calf
10904383262, ，所有体制内基层蜀黍们值得拥有的一双绝世好鞋查看图片,体制 基层 蜀黍 好鞋 图片,System grass -roots shoe pictures
10904619134,其实不是穿不穿皮鞋的问题，而是要潜意识的培养你的服从性，打压式教育已经成为一种常态化了,皮鞋 潜意识 服从性 常态,Sweet shoes subconscious obedience normality
10905027296,这是你们当地某个分管警察方面的中层领导拿到了权力，然后要彰显自己的存在感和权力权限。而且多半是基层经验很缺乏的那种领导。这种领导会发现自己很多看起来很合理的要求通知下去之后阻力异常大，连续几次碰壁之后就会明白出洋相了，然后就会淡化这件事。因为他改正这个通知会更加影响他的威信。他的同级和直属下级会更不相信他的权威。,中层 领导 权力 权力 权限 基层 经验 领导 领导 阻力 连续 明白 出洋相 淡化 威信 直属 权威,Middle -level leadership authority Power Grass -roots experience Leadership leadership resistance continuously understands that the ocean phase dilutes the prestige and the authority is directly under the authority
537621459,老干妈那个  还真的有点帅你别说，真有点美式街头风格融合在一起的感觉，比李宁那个四个大字 中国李宁 强,老干妈 美式 风格 感觉 李宁 大字 中国 李宁,The old godmam's American style feels Li Ning's big character China Li Ning
537389081,穿着这套泥巴服，可以去打刺激战场了,泥巴 战场,Muddy battlefield
537264384,都想来一件，好霸气的说,霸气,Domineering
538282243,哈哈哈哈 那个新西兰的雕塑是我的一个老师作品 老师叫   . 他最近还有一个新的展览 是研究外星人的 哈哈哈 一个很搞笑的老师,新西兰 雕塑 老师 作品 老师 外星人 老师,New Zealand sculpture teacher work teacher alien teacher
537587425,啊啊啊啊，看到…我哭了！！为什么关店！！！,啊啊啊 关店,Ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
752875250,噗，没想到的是，今年有个明星穿了，还上热搜了,明星,star
537768772,涵养泉吼吼看啊！猪猪女孩表示想来一件！,猪猪 女孩,Pig girl
537625994,泸州老窖设计是抄娇兰的一千零一夜么…,泸州 老窖,Luzhou Laojiao
537621705,好像啊感觉 可惜这价格 呜呜呜,感觉 价格,Price
543455271,让我想到了香港电影《小飞侠》里吴孟达用颜料涂在身上躲避警察的审查,香港电影 小飞侠 吴孟达 颜料,Hong Kong Film Flying Man Wu Mengda Pigment
537241256,火钳刘明,火钳 刘明,Fire Pie Liu Ming
183134694,买580或者996.其他型号的太滑了。,型号,model
183383622,莆田爆款，新百伦各种加绒，一口气打包六个给父亲不是很好？,莆田 新百伦 加绒 父亲,Putian New Bellen Plus Father
581936333,酷酷的,酷酷,Cool
207518505,只买过574。。。雪天出门简直全程滑冰,全程 滑冰,Skating throughout
189083081,999好像有好多型号吧，我看怎么都带网格的呀？冬天能不冷吗？,型号 网格,Model grid
543399184,贼像那个瘦长鬼影……,瘦长 鬼影,Thin ghost shadow
543265108,很像动漫里的感觉,动漫 感觉,Anime feeling
183432665,新百伦580，双十一没抢到，心塞，现在又涨到819了。。。无良商家,新百伦 心塞 商家,New Bellen heart stuffy merchant
556703846,求个店铺,店铺,Shop
542714493,外星人吗？,外星人,alien
542278107,我才和同事说我想性感又正式地去开会，只能穿西装泳衣了，没想到真的有……,同事 性感 正式 西装 泳衣,Colleagues are sexy and officially formal suit swimsuit
183408288,支持楼主，我也才买了双580，穿着很暖很舒服呀,楼主 舒服,The original poster is comfortable
544058190,淦，撞头像了,头像,avatar
183082722,官网呢，我看好多专卖店的低档鞋子做工好差,官网 专卖店 鞋子,Official website specialty store shoes
541977495,模联划水服,模联,Model
543900690,想买毛衣,毛衣,sweater
543631236,居然出奇的好看,出奇,surprisingly
543592518,这个雪饼小包绝了,雪饼 小包,Snow cake small bag
543551694,这个是图好像，不是真实品牌的联名。,品牌,brand
544446921,我有这件衣服(｡ì _ í｡),衣服,clothing
663380685,广告举报,广告,advertise
180210897,这要是东北雪天户外雪地玩，每一款都是把脚冻伤的利器啊。,东北 雪地 利器,Northeast snow weapon
544374450,这不就跟印上对于老外是一回事吗？,印上 老外,Printed with foreigners
180195444,看了一下，除了价格都很美好,价格 美好,Good price
544249234,大学体育老师穿了同款。。。,大学 体育老师 同款,College sports teacher same paragraph
913326250,正品吗,正品,Genuine
543651960,你不知道，这是专门为克夫女性的老公出的产品.,女性 老公 产品,Female husband product
667352226,还有链接么,链接,Link
180485927,别人问冬天踩雪的，你列这一大堆不符合题目要求的，就“踩雪”这个标准，答案里大部分低帮的、有网眼的、不是防水面料的都得删掉。一双阿迪达斯 足矣。,题目 标准 答案 网眼 面料,Title Standard Answer Network Eye Fabric
543285503,这衣服我还真买了，胸前一红一蓝两大字：耐克,衣服 大字 耐克,Darge character Nike
181300669,这些在中国南方冬天穿穿还成。真要是过脚踝的雪天，这些鞋的所谓保暖没有一毛钱效果的，五分钟脚就开始难以忍受了。十五分钟以后，鞋面的水会渗进去，然后脚更加冷，半小时基本上就感觉不到自己的脚了。,中国 脚踝 一毛钱 效果 鞋面 水会 感觉,Chinese ankle -made money Effect Upper water will feel
180600191,耐克质量世界最........…..........................差,耐克 质量 世界,Nike Quality World
542587638,我居然有点动心,动心,Impressive
179797242,在哪里能买到正品？,正品,Genuine
181303437,东北基本不能用啊,东北,northeast
197266203,不是推荐踩雪的鞋么？应该没有跑题吧,跑题,Run the topic
542315015,好像一袋行走的洗衣粉,洗衣粉,washing powder
180404133,那么请问  580  这双鞋在哪儿可以买到呢？,双鞋,Double shoes
542153577,兄弟，想不到你也是全员……耐克？,兄弟 全员 耐克,Brothers all members Nike
197260461,跑题了吧,跑题,Run the topic
181394239,双十一过了被种草🙄,种草,Plant grass
53459469,是不是由球鞋的靓而关注到穿的人是什么样会更好,球鞋,sneakers
