景点名称,评星,评论文本,fenci,label,score
只有河南·戏剧幻城,5.0,先说一下，这个大园区里面有好多个小剧场，在一个一个小剧场看话剧，所以重头戏在于选剧和时间的规划。当然我也不说规划路线了，人多的时候哪有什么路线，排到哪个算哪个。剧目分为两类，一个是三大主剧目，和入园门票捆绑。一个是入园之后不用再花钱就能看的小剧场。一日票含一个主剧，场次剧目任选（买晚了就没了）。二日票含三个主剧。可以算算看怎么合适，小程序和携程对比看，票价小浮动。建议都看三个主剧，或者二个。如果买了一日票还想看另外两场主剧怎么办，可以在剧场门口扫小程序加购，一场120还是160来着。早下手要抢。我加购两场，最后一张。都是排队抢座，位置不固定，但每个人都有座。小剧场春节提前半小时去排不到的，提前1个小时能排到也不错了。如果不想排队怎么办，加钱，免排队，省一个小时的时间，一个人100元，直接进后门入场，不保证座位，但是能进去。当然热门剧场也会卖完。火车站剧场：主剧，先看这个再看李家村，有故事关联。主剧不用排队很早提前30-40分钟即可，买到票就能进。进场后要观众要转场四次。攻略来了，第一幕，观众进入黑漆漆圆形空间，你要站在进入口左手10米左右，手电筒照到有个门的样子，就在这里贴墙边等着。演出是在上面环形的铁网子里，一圈跑着演。然后红灯笼一来，从你身边的门转场，带进第二幕。第二幕是很多小房子，被分批带着进小房子里，每个小房子人数固定，人满带到下一个小房子，人人有座。每个小房子剧目不一样。这里很推荐，终于听到现场演员的声音了（之电影小镇也是，全是预制台词，录好的，效果好但还是更喜欢真人真声），我看到这个小房子的故事很感人，演技超级好，坐在前面听的真儿真儿的。第三幕就是站立式大场子，站在靠火车站和铁网中间的过道附近应该效果更好，这里扑棱的多。第四幕坐定式，无所谓了，因为第四幕有点舞台效果有点水。整体来说还是很推荐这剧，抛开剧情很推荐，评价剧情有点主观了。有泪点李家村剧场：主剧，佛系排队，第一幕就是小屋小院，剧情看分配了，也是原声，但不如火车站小屋的好看。第二幕大院子坐定式，往前坐，过道附近，有演员可能能发到东西（不知道啥）。第三幕，站在有台阶的山那里，已经提前有几个老人坐在那里了。第四幕，坐定式，无所谓了，我觉得太艺术化（ ）。最好看的是谢幕，李十一捧起粮食满意点头那一幕。幻城：主剧，可能期待值太高了，所以带着一丝失望。中原历史名人太多，一场剧浓缩也浓不完。坐定式，主打一个视觉体验，有几幕很动容，有三分之一有点太艺术。苏轼的河南：最难排的小剧场，家属带娃加钱看的，评价很高，讲苏轼一生。我最后加钱都没看上，这个排优先级。坐位网上查攻略曹操的麦田：和幻城一样，期待值太高了，不如苏轼好，也比较难排。不该加钱看的。天子驾六：排了50分钟，好在容量大所以排队有望。站着看，围地坑一圈，站最前面一圈最好，在折叠椅右手侧可能更好。不要站在人的后面，我这场有人吵架了，不知道为啥，多半是争地盘？还好演出没终止，感谢演员定力。这个剧场还出过事故，有观众伸腿演员狂奔摔坑住院好久，现在加了铁网。但在最前面胳膊还是可以伸出去，还是容易伤到演员。所以全靠观众素质了。剧情需要有漆黑的场景，曾有观众这时打开了手电筒，正好照到不该被观众看到的场景，剧情无法往后衔接了，演出终止，演员抱怨了一句被处分了。这个剧其实很好，剧本还行，演员卖力，贴着观众满场子疯跑滑跪，还有被伤的风险。所以请一定不要有光源有干扰，沉浸看剧吧。以上是我来之前铁了心要看的，剩下的随缘，一天看不完所有第七机车：铁路发展主题，坐大礼堂。还行吧，不难排，到了晚上人都坐不满，所以可以往后放。前世今生：我儿子说讲了一个嗓门大的故事，带着四世记忆，我儿子说好看，轻喜剧。红庙学校：怀旧，体验校园，坐在有道具的附近，网上褒贬不一。我没看张家大院：晚上室外剧，家属说还行，第二场人少了很多，看了一眼。乾台：室外太极表演，我没看坤台：好像禁止未成年观看，听工作人员说是女变男装还是男变女装的，我没看上。椅阵：灯光秀，路过看一眼就行文明什么光：灯光秀，离场的时候看一眼就行。其他剧场我和家属都没看，一天看这么多场很值了。 餐饮：还是有麦浪餐厅这样的美食中心，地方大可选多。路边自营摊位，有各奶茶各文创奶茶面包，有瑞幸有肯德基。小细节：等排队的时候会有小哥哥串场跳舞。还有变小魔术和发气球的。卫生纸不缺，洗手液是自动泡泡，擦手纸质量好，每个厕所配保洁侯着，洗手是温水。进门发暖宝宝和抽奖券。导览图充足。每个院和院的门楼子下面固定工作人员等着被问路。所有工作人员态度好且和善，演员实力派且卖力还颜值高，妆造完美，剧场布置用心，大制作，硬件选配拔尖儿（我外行来看）。园区处处都可拍照出片。建议：带折叠小板凳也许排队还能好过，一天腰疼的不敢咳嗽。很多剧目不让一米以下儿童入场，很多剧目不推荐学龄前儿童观看（主要是看不进去又要坐很久，必闹。）我个人的建议，初中以上，对历史文化和艺术形式有更深一层理解会体验感更好。我儿子二年级，也愿意看一些历史了，但一天下来能看进去的不过一半，跑场子和漫长的排队加上看不进去坐着煎熬，还不让吃不让出声，对孩子也是一种折磨。大部分家长初心都是想熏陶一下小孩，包括我，但是体验下来还是建议等孩子大些再带来，收货会更多。电影小镇也可以带娃看，能吃吃喝喝自在一些，但是看节目孩子的身高也很无助，什么都看不见，一直靠大力士家长托着也不是个事。我儿子145身高只能看坐着的节目，参加玩游戏这样的环节，对小孩而言，算不得是个好去处，都不如在博物馆听讲解有意思。,合适 固定 不错 固定 正好 被伤 很值 保洁 充足 固定 完美 必闹,positive,0.9286242127418518
只有河南·戏剧幻城,3.5,里面是一个一个的剧场 然后差不多半小时或者一小时就会有一场 但是热门剧都是要排非常久的队 就连不是很热门的都是排队一小时 冬天又很冷 真的挺痛苦的 个人觉得除了大剧场其他都比较一般 可能我是个不爱看这种舞台剧的人 所以觉得很无聊 差点睡着 里面还挺大的 很适合拍照打卡,痛苦 无聊 挺大,negative,0.6863505244255066
只有河南·戏剧幻城,3.5,主题音乐好听演员非常投入，朋友都哭了更喜欢 张艺谋印象系列三大系列，理解河南人民和粮食的羁绊。但我看到苦难还是会比较难受可能需要共情更高的人别的小剧场排队的人很多感觉有的其实没去也不用遗憾拍照很好看～整个地方除了这个景点没开发的很好，外卖也没啥，哈哈哈印象最深的是那个关于麦浪的剧，舞台效果特别绝，灯光一打，金黄的麦浪看着跟真的似的，感觉都能闻到麦香。演员们演得特别投入，就像他们自己就是戏里的人，把河南人过去的生活、经历的那些事儿，明明白白地展现出来了。还有坐轨道车看的剧，场景一直在变，一会儿是热闹的集市，一会儿又变成了破旧的村庄，特别逼真。在这里逛一天，能感受到河南厚重的历史和文化，就好像跟着河南这片土地走过了好多好多年，看博主推荐来的，感觉博主共情能力太强了，哈哈哈，我觉得那样吧,苦难 遗憾 很好 热闹 厚重,positive,0.9157615900039673
只有河南·戏剧幻城,5.0,非常推荐的一个旅行打卡地点，如果来建议安排两天的行程～三场大剧都看了，更喜欢火车站和李家村～几度有落泪的冲动.其他小剧也很不错，从早到晚怎么也得两天才能刷完.如果家中有小孩建议大一点再带过来，有些剧情太小的孩子也看不懂.里面的餐饮也不贵，很好，下次还来.,不错 不贵,positive,0.9500499963760376
只有河南·戏剧幻城,5.0,玩了两天，每个剧场都值得一看！真的挺震撼的！我觉得带孩子来这比去博物馆强太多了！玩的同时就了解了河南的历史！河南的重要任务，河南发生的大事件！太推荐了！哪个城市能做到这些呀！有着深厚的历史渊源，用现代形式表现出来！玩中学！,深厚,positive,0.980189859867096
只有河南·戏剧幻城,4.5,大年初九到郑州来旅游直奔（只有河南），早上10点到售票口人群排队已经排到大马路上，没想到这么受欢迎。队伍排队有序15分钟左右就进去，验票员很贴心送了暖宝宝和明信片，今天的天气确实很冷风特别大，脑壳吹麻了。每个剧院门口排队90分钟起，一天下来只刷了幻城，天子六驾，曹操的麦田三个剧，人太多7点就出来回家。剧场表演还是很精彩，但人员不限流排队时间太久又冷又饿，体验感就大打折扣。,确实,positive,0.7750501036643982
只有河南·戏剧幻城,5.0,李现同款神颜现身只有河南！覆斗书场必看舞台布置超有氛围感，十字布局国风满满，音乐一响，直接把人拉回民国。故事是民国千金追求男花旦，男主一登场，我直接惊掉下巴，这也太像李现了吧！深邃的眉眼、挺拔的身姿，气质冷峻又迷人，和李现简直是一个模子刻出来的。 他不仅外形出众，业务能力更是没得说。唱腔婉转，韵味十足，每个动作都干净利落，把角色的倔强、坚守诠释得丝丝入扣。散场后我还回味了好久，要是你也觉得他像李现，一定去现场感受下，绝对不亏！老库房的歌也好听推荐,深邃 冷峻 倔强,positive,0.986769437789917
只有河南·戏剧幻城,4.5,三个核心剧场1️⃣ 火车站剧场：讲述1942年河南大饥荒的故事，通过互动式观影展现普通百姓的挣扎与人性的闪光点。特别推荐第三幕站在台中间观看，最后一幕选择前后的区域最佳。（这个吧，就是感觉没有特别沉浸带入，感人是很感人，但是逻辑上赶角怪怪的）演员演绎的都很好。2️⃣ 李家村剧场：与《火车站》故事相呼应，聚焦苦难过后的重生，展现村民们如何重建家园。情节感人至深。3️⃣ 幻城剧场：时间轴上的河南历史故事盛宴，跨越千年的文化传承和时代变迁，舞美震撼，但是灯光有点太昏暗，就很容易犯困。,苦难 昏暗,negative,0.8204572200775146
只有河南·戏剧幻城,5.0,这个剧场跟建业电影小镇在差不多地方一下子可以玩两个景点，合适✅这次看了两个大剧场幻城剧场和火车站剧场还有一堆小剧场提前在大众买票预约，大众便宜哈哈剧目还原度很高沉浸式观演，笑着笑着就哭了有机会还是得再刷几遍！！,合适 便宜,positive,0.8383874297142029
只有河南·戏剧幻城,5.0,总体来说还是不错的 ，值得推荐哦,不错,positive,0.973812997341156
只有河南·戏剧幻城,5.0,这个剧的确很好看，也很感人。里面的吃的休息的地方都很大。我印象最深的只有河南那个剧，在当时那个年代当时那个处境这一群河南人很感人。加油河南,很大,positive,0.8950263857841492
只有河南·戏剧幻城,5.0,五星推荐，太震撼了，非常值得票价。一定要买双日票，不然根本看不完，体验不完整。如果喜欢看戏剧，不是单纯体验体验的，无脑冲双日票，三个主剧全包含，两天小剧场也基本都能刷个大概，各个剧场的舞台，灯光，演员，表现形式都不一样。,完整,positive,0.8150648474693298
只有河南·戏剧幻城,4.0,元宵节带家人来二刷，还是遗憾错过了烟花🎆三大主剧全部看完了，这一别，是要永久错过幻城的烟花了吗。三大主剧最推荐《火车站剧场》，剧情更饱满一些。小剧场看的很少，不想太赶场哈哈。《曹操的麦田》后半段很喜欢；《李家村茶铺》很搞笑，挺有意思的；《天子驾六》可以，最后还和演员合影啦。,遗憾,positive,0.6313450336456299
只有河南·戏剧幻城,3.5,除了茶铺和学校都看了。排队人太多了，春节后去还是平均提前排队1小时左右。茶铺和学校场次少，最后想排排不上了，这个最好一大早排。总体看完还过得去，不过感觉历史感不足，用1942做主剧可惜了，河南在宋以前一直都是中心，那么多历史没挑点出来。火车站还行，曹操和苏轼还过得去，但也没太惊艳。排队看戏太累了，幻城抢的最好的座位，中间还是瞌睡了几次，主要幻城没中心点，不过可能也是看过太多的表演，阈值比较高的原因。还有就是想对河南物价，票价确实不便宜。同比感觉性价比不如横店。,平均 惊艳 确实 便宜,positive,0.9153439402580261
只有河南·戏剧幻城,4.5,是内心浪漫有情怀的人认真做出的项目。几十场表演不同风格总有适合你的，不过就是人多排队时太长了，一天看不完所有演出，玩了一天被《只有河南》这歌洗脑了，值得一来,浪漫,positive,0.8964443802833557
只有河南·戏剧幻城,3.5,晴天上午真的超级出片，剧场就有一点苦情，个人无法共情。最喜欢的竟然是老库房，没有那么多的刻意煽情和悲惨，作为一日游览的最后一个剧场很好的结束了。大剧场看的是老火车站，尤其是最后一幕，实在是觉得是为了凑时长。里面有很多餐厅和奶茶，物价也不是很贵，两个人100块钱就可以吃很饱。,悲惨 很好,positive,0.8875353932380676
只有河南·戏剧幻城,5.0,两天看完只有河南的后劲儿太大啦！直到现在过去一个月仍然关注王潮歌的**，每一幕剧都有升华，每个演员都特别认真专业，两天，把所有剧目都看完啦！只能说完美！这才是河南文旅的正能量宣传手笔！不愧是王潮歌的策划！真的真的值得大家来一趟！园区内特别干净，吃饭也很实惠，总之我还想去！,完美 不愧 干净,positive,0.9165533781051636
只有河南·戏剧幻城,4.5,很惊艳的地方，剧和幻城不是单独存在而是拧在了一起，是一个看完了，会有余味的地方。,惊艳,positive,0.985308825969696
只有河南·戏剧幻城,5.0,只有河南，是我去洛阳玩顺带的一个地方！出乎意外的惊喜！下一次还会再来郑州再来只有河南的！里面的几场演出，把我这个外地人的河南人精神觉醒了！也让我了解了河南中原文化历史种种，李家村的故事特别感动🥹快要哭的时候转场了哈哈哈😆！然后个人游玩小技巧：早上刚入园去排，热门的话剧：李家村茶铺或红亩学校🏫这两个早上不排后面只会等更久！其他的就看哪儿空去哪儿！ 我当时是加钱买快速通去看了！不然一天6个剧根本看不到！洛阳到只有河南出行：1到达郑州东➡️乘坐城际列车➡️绿博园➡️打车➡️只有河南！2郑州东➡️8号地铁🚇，到达鲁庙➡️只有河南（打车🚗）,惊喜,positive,0.9455206394195557
只有河南·戏剧幻城,3.0,场地挺大的，戏剧也挺不错，挺有沉浸感的！就是景区的指示牌很少，跑了好多路绕来绕去才找到剧场，建议多加一点提示的！跑过来排队的时候就已经满人了，有些下一场又得等几个小时，看了第七机车的剧场，很感人！另外大剧场幻城剧场，个人觉得没有想象中那么好看,挺大,positive,0.8455184102058411
只有河南·戏剧幻城,5.0,总体来说人少的时候去无敌体验，人多的时候全是排队和跑图！官方已经把服务做的已经非常好了，但是人多就没办法了！首先你去之前需要关注公众号，因为上面有时间表，排队人数，导航，去之前看看攻略，喜欢什么就先去排什么节目！不要去了再看，那时候只剩下排队了！票价一人过年390，平时打折有半价，大学生票，直接公众号购买！其他平台也可以看看有没有折扣！来河南旅游，大头就是门票钱！吃住都不贵！如果人少，建议两天，看完所有节目！如果节假日，一天就可以了，因为一天的排队和跑图让你直接断掉了第二天再去的想法！买票的时候一天只有一场大剧，两天是三场大剧，需要提前预约时间！大剧建议提前半小时到一小时排队抢座位！（建议官方加一个订座系统，和电影院一样的，这样大剧就不用排队了）小剧推荐：1.红庙学校 五星，感受80后的课堂，有互动，排队人少1-2小时，人多3-4小时2.老库房 四星半，上来就是摇滚，最后还有蹦迪，中间的故事兴趣不大扣半星，排队1-2小时3.李家村茶铺 五星，小故事很有趣，演出前有尬聊互动，小哥哥不错，排队2-3小时4.候车大厅 四星，一个旋转舞台，演绎了一段故事，排队1小时5.天子什么坑，三星，古代帝王穿越聊天，排队半小时6.第七机车礼堂，四星，看故事，排队1小时，注意这几个故事有的时候前后顺序的！7.曹操的麦田和苏轼都是新剧，四星，喜欢三国或者诗词的入，排队1-3小时8.前世今生，穿越剧，排队1-3小时9.老院子，三星，年纪大的可以去，排队1小时10.其它，有室外演出，乾坤台，板凳等等晚上看看有没有烟火表演所有排队时间为我过年期间去的亲身经历！仅供参考！时刻关注公众号排队情况！餐厅：里面有一个餐厅，一楼啥都有，胡辣汤，灌汤包，馄炖，炸鸡，眷茶……别去二楼！！！文创：当你跑累了不想再去排队的时候去文创店逛逛吧，买两个特色冰箱贴啥的！,不贵 兴趣不大 有趣 有尬 不错,positive,0.9112812280654907
只有河南·戏剧幻城,5.0,只有河南超级棒 21个大小剧场 所以直接入两日票 住宿可以选择景区自带的酒店 来去都比较方便 走路就几分钟 这里看剧是没有固定对应座位 需要早去排队 建议还是淡季来吧。要不排队到奔溃 这里的剧情的是有连贯性的 时间安排的也很合理 演员演出很卖力 认真 里面有很多文创店 价格也比较亲民,固定,positive,0.8249813914299011
只有河南·戏剧幻城,5.0,这次专程从郑州送娃返校，目的就是参观“只有河南戏剧幻城”，它是一座位于河南省郑州市的独特文化旅游项目，坐落于郑州市中牟县平安大道与文宗街交叉口东北角。其总占地622亩，项目核心区是一座单边长328米、高15米的幻城。整个景区采用棋盘式格局，共分56个空间，场景各自不同，21个大大小小的剧场埋伏其中。以黄土和麦子为主要设计语汇，有全世界最长的《清明上河图》《千里江山图》的“投影”，328米长的夯土墙十分震撼，搭配百亩麦田，展现出浓郁的中原文化特色与厚重的历史感。景区拥有近千名演员，有3大主题剧场、56个不重样的戏剧情景空间、几十幕微戏剧，剧目总时长近700分钟，演出形式多样且内容丰富，涵盖了从夏商开始的时间跨度，其广度从绘画、音乐、服装、诗词歌赋到农业文明等，生动讲述关于“土地、粮食、传承”的故事。所有的剧场都采用全新的观演模式，观众转换于不同空间，沉浸于不同时代的实景戏剧表演中，所处空间位置和浏览顺序不同，“看戏”的体验也各异，具有很强的随机性和新奇感。门票是290元一位，包括一张主剧场票，其它小剧场排队进入，我们早上10：30进入，下午5：10离开，总共看了一个主剧场和4个小剧场，总体上讲还是蛮有意思的，好玩,独特 平安 最长 浓郁 厚重 各异 很强,positive,0.9080681204795837
只有河南·戏剧幻城,3.5,王导审美绝对在线！灯光舞台舞美绝美！就是戏剧啊！论剧情来讲有些崩啊！逻辑没整明白就硬上价值！割裂感严重！美是绝对美的！剧情再打磨打磨吧！全场最佳给候场跳舞的黑衣人小哥！一个个贼帅！贼帅！该说不说！服务确实好！,绝美 确实,positive,0.8219582438468933
只有河南·戏剧幻城,4.5,在里面大大小小几十个剧场，感觉一天都看不完，性价比很高，不愧是大家都极力推荐的必去景点。大剧场选择了李家村剧场，讲述了河南闹饥荒时的情况，身临其境，仿佛自己穿越到饥荒年代，对小孩挺有教育意义。第一次来郑州的，推荐！,不愧,positive,0.9748561382293701
只有河南·戏剧幻城,5.0,正好过年假期路过郑州，那一定要来只有河南看一下啊！我选的主剧场李家村不管是主剧场还是小剧场，演员演出都特别卖力气，很真实。红庙学校来之前就知道，很有名气，也很沉浸，真的像回到上学的时候一样！天子驾六虽然只有两个演员，但演员的投入程度真的有感动到我！最后，最让我惊艳的居然是老院子！真的！一定要去看老院子！唯一真声表演的小剧场！叔叔阿姨的表演很真实，很动容，会让我想起我们的父母！总之，很值得大家来看！（春节期间我也能看8个小剧场，我觉得我好厉害！）,正好 惊艳 厉害,positive,0.8929463624954224
只有河南·戏剧幻城,5.0,走进只有河南，了解河南人民郑州终于有一个好玩的景点的，只有河南，地处郑州开封交界处的中牟县，三国时期著名官渡之战的发生地。买了两日票430元，看了三大剧场和很多小剧场。无论故事性、演员的表演、舞台灯光设计、台词都非常出彩，跟着演员一起走进各个时期的河南，走进中国历史长河中，身临其境并令人动容。非常棒的景点，值得二刷三刷，满分推荐。,著名,positive,0.8173659443855286
只有河南·戏剧幻城,5.0,只🈶河南🉐戏剧幻城真值得一看，每个场景都很好看，不过建议选择工作日或淡季来，不然只剩排队了🌿环境场地很大，每个场馆都不一样，很🈶带入感，里面🉐吃喝也很便宜🌸服务每个剧场🉐工作人员都很热情，🈶礼貌，文创商店里🉐小姐姐态度也超好，品牌文化真不错🐟体验第一个看的是苏轼的剧目，诙谐中带有讽刺，2位演员演的很好虽然场景不大，但是演员满场飞奔，很卖力气，穿越古今表演的不错街坊邻里🉐日常，说着河南🉐方言，几位老演员演的很好，很感人阴谋阳谋，精于算计🉐曹操，也🈶另一面，灯光效果很好感觉一般，除了开头🉐演唱，后面感觉一般，唯一一个看睡着🉐剧场主题大剧场，大制作，尤其是一上来360度🉐演绎，再分不同房间的分支剧情，然后汇总到抢粮，护粮等环节，近距离观看，真挺好，挺震撼，就是最后麦浪🉐结尾太长了，🈶些拖拉，其他都挺好,很大 便宜 诙谐 很好 不错 很好,positive,0.9800400733947754
只有河南·戏剧幻城,5.0,来只有河南过年，烟花秀超级惊艳，剧场已经打卡三分之二过年期间人还是多，基本热门剧场都要排队，建议拿号排队，这样不用浪费时间在排队上了，小孩老人站一两个小时确实有点受罪，不过排队期间有节目表演挺惊喜的。演员很辛苦，很好的传播了河南文化，烟花真的是超级震撼，希望越来越好。,惊艳 确实 惊喜 辛苦 很好,positive,0.984890878200531
只有河南·戏剧幻城,5.0,📍只有河南·戏剧幻城一座由56个方格21个剧场(3主➕18小）组成的梦幻之城，每穿过一个洞门，又不知会穿到何时何地的河南，开启一个全新故事～身临其境的火车站、中学校、废工厂……就这样娓娓道来地讲述关于这片 土地、粮食、传承 的故事～每一次谢幕都是一次感动，👩🏻的眼泪留在了老院子，👧🏻的眼泪留在了火车站，最喜欢的小剧是《曹操的麦田》……攻略极强的麻麻，2️⃣天看完了20个剧(一个未成年🙈)，其中2个最卷的小剧和1个主剧，都坐在了最佳位置，最后两张图是我们在只有河南拼过命的证据，最后还留了半天时间松弛的闲逛感受这个城，吃了喝了买了，开森了～,极强 松弛,positive,0.5968923568725586
只有河南·戏剧幻城,2.5,硬件设计风格强烈，中原文明厚重感扑面而来。剧场表演水准也相当高。但游客流量管理有大问题，只有三个主剧能预约，所有小剧场都是先到先得，得去现场排队抢。导致游客只能互卷，提前很久去排队。明明人数满了停止排队了，也不能进场，只能在外面干等着。导致最后排队的时间比看演出还长。不光严重影响游客体验，还导致游客没有时间去逛其它的部分，文创消费区游客很少。不是不想逛，因为有点时间都去排队了，根本没时间去逛，这对景区也不利。明明可以用预约系统解决，预约完的等候时间，游客就可以去文创区消费了，而不是傻乎乎在门口排队。,有大 不利,negative,0.9522753953933716
