content,fenci,聚类结果,二级-聚类结果
身为贵州的一员这一刻我很为自己的家乡感到骄傲哈哈,贵州 家乡,0,1
贵州真的挺好的。,贵州,0,1
下次我有机会一定来贵州,机会 贵州,0,1
这就是贵州,贵州,0,1
欢迎大家来贵州玩呀,贵州,0,1
有没有贵州的旅游攻略呀,贵州,0,1
欢迎朋友们来贵州玩,朋友 贵州,0,1
太好了，终于有天看见我贵州了，欢迎大家来贵州避暑咯,贵州 贵州,0,1
太2刷贵州什么时候啊，我去狙击你,贵州,0,1
我是贵州人，发自内心的自豪。,贵州 自豪,0,1
贵州是需要流量的,贵州 流量,0,1
贵州黔东南欢迎大家来,贵州 黔东南,0,1
看到贵州好起来了很高兴,贵州,0,1
欢迎大家到贵州玩,贵州,0,1
为我大贵州感到骄傲疯狂打,贵州,0,1
北上广不相信眼泪，贵州人不相信酒醉,眼泪 贵州,0,1
贵州榕江加油,贵州 榕江,0,1
山东第一棒，二棒贵州，三棒会是哪里呢,山东 贵州,0,1
欢迎大家来贵州,贵州,0,1
贵州人是这样的外面喝酒遇到好玩的就会一起喝，人越多越好玩,贵州,0,1
贵州人看完泪目了,贵州 泪目,0,1
在外上大学很久没回去的孩子看到大家喜欢我的家乡真的很激动，看的视频一边哭一边看。欢迎大家去大贵州玩多彩贵州欢迎大家,大学 孩子 家乡 视频 贵州 贵州,0,1
朋友们，我在贵州等你,朋友 贵州,0,1
看得出贵州最近确实大力在推广旅游了,贵州,0,1
想念我大贵州了,贵州,0,1
贵州发力了，搞经济了,贵州 经济,0,1
我们贵州和广西相比，我还是觉得,贵州 广西,0,1
真心的感谢你们对贵州的宣传，希望你们能多来贵州玩，我们不仅有榕江，贵州每个地方都欢迎你们,贵州 贵州 榕江 贵州 地方,0,1
作为贵州人，很认真的提醒大家，别去吃牛瘪，别去吃牛瘪，别去吃牛瘪,贵州,0,1
贵州真不错饿,贵州,0,1
咱贵州太没存在感了，这下算是在全国人民面前狠狠地刷了一把存在,贵州 全国,0,1
贵州不产海参,贵州 海参,0,1
贵州本地人，如果是我还在贵州时我会觉得太讲的好处不应该都是最基本的吗根本不可能会是优势，但我现在去了外地，才知道....唉...,贵州 本地人 贵州 我会 优势 外地,0,1
看到你们都在说欢迎到贵州玩，我也说，欢迎大家来成。。。算了 当我没说,贵州,0,1
感谢来宣传贵州,贵州,0,1
夏天去贵州就对了,贵州,0,1
贵州坑人的也是有的，希望越大失望越大，特别是个别旅游景区，不过我们贵州大部分人还是阔以的。,贵州 坑人 景区 贵州,0,1
贵州欢迎大家,贵州,0,1
反正去贵州玩，只要有贵州朋友请你做客，去贵州哪里玩最终归宿还是喝酒……,贵州 贵州 朋友 做客 贵州,0,1
希望大家都来贵州玩 贵州人民欢迎你们,贵州 贵州,0,1
贵州人真的特别特别淳朴善良,贵州,0,1
我贵州的都没吃过牛瘪,贵州,0,1
片片鱼我不爱吃鱼的都特别喜欢吃我爱贵州黔东南,贵州 黔东南,0,1
完了完了，贵州要沦陷了,贵州,0,1
欢迎来贵州玩，但是贵州坏坑货太多了，所以来玩的时候各位擦亮眼睛,贵州 贵州 坑货,0,1
贵州和广西相比，哪我还是感觉我们贵州牛批,贵州 广西 感觉 贵州,0,1
贵州和广西相比那我觉得还是贵州,贵州 广西 贵州,0,1
大家可以听听我录制的【我在贵州等你》贵州村超主题曲 最近中了村超的毒，想去那好山好水有人情味的榕江我在贵州等你》贵州村超主题曲 最近中了村超的毒，想去那好山好水有人情味的榕江,贵州 贵州 主题曲 人情味 榕江 贵州 贵州 主题曲 人情味 榕江,0,1
贵州真的值的去，特别好，刚回来没多久，,贵州,0,1
这个就是我贵州人啦,贵州,0,1
最近的感悟是，说自己来自贵州是要被鄙视的…很无语,贵州,0,1
这个视频太好了，欢迎大家到贵州来玩,视频 贵州,0,1
贵州这山咔咔是真的只能靠旅游了,贵州,0,1
欢迎来到贵州,贵州,0,1
最美贵州,贵州,0,1
本人贵州的，说实话，很多本地人斗吃不惯牛瘪,贵州 本地人,0,1
贵州人确实能喝，但是毕业聚会贵州同学喝进了医院 我只是被人掺回去了,贵州 毕业 聚会 贵州 同学 医院,0,1
来贵州吃卷粉啊,贵州,0,1
淄博贵州还有胖东来火起来是有原因的，,淄博 贵州 原因,0,0
感谢太宣传我们贵州,贵州,0,1
贵州和广西相比，我还真觉得贵州,贵州 广西 贵州,0,1
真心希望贵州把村超打造出淄博烧烤一样的品牌，帮贵州还清债务,贵州 淄博 品牌 贵州 债务,0,0
欢迎来贵州玩,贵州,0,1
来贵州一年了 超喜欢,贵州,0,1
贵州村超,贵州,0,1
感谢宣传我大贵州,贵州,0,1
终于去贵州了，贵州风景好人文民俗也特别有魅力,贵州 贵州 风景 人文 民俗 魅力,0,1
贵州有八个城市 好美,贵州 城市,0,1
欢迎大家来贵州 好不容易火了真的是，贵州欢迎大家（贵州有些地方很凉快的，比如说六盘水，特别是昨天才办完马拉松，良心推荐但是记得不要穿的太薄，会冷）也要带好防晒霜，整个贵州适用,贵州 贵州 贵州 地方 六盘水 马拉松 防晒霜 贵州,0,1
贵州上大分,贵州,0,1
希望可以去一次贵州给我莫名看哭了,贵州,0,1
还记得在山东读书的时候被同学问过贵州是四川的那个地方，真的很无奈，贵州一直没啥存在感，前段时间看着淄博火了，挺高兴的，19年就吃过淄博烧烤真的很好吃，觉得山东特别好，现在到贵州也慢慢火起来了，希望山东和贵州都越来越好，也欢迎大家来贵州旅游，夏天时不时就会有美景,山东 读书 同学 贵州 四川 地方 贵州 前段时间 淄博 淄博 山东 贵州 山东 贵州 贵州 美景,0,0
足协这次干不过村超的，这波村超的热度跟流量简直就是整个贵州最后活命的希望了，在此之前贵州都快申请破产了，欠债巨多，这波村超几乎活生生给贵州政府续了一条命，贵州是不可能让村超被足协搞的,波村超 热度 流量 贵州 贵州 巨多 波村 活生生 贵州 政府 贵州,0,1
马上要去贵州了，希望能去感受一下,贵州,0,1
希望我们四川也能搞一个，跟贵州踢一场，太好了,四川 贵州,0,1
贵州加油,贵州,0,1
村超已经带动经济了，淄博??贵州,经济 淄博 贵州,0,0
让贵州迎来了春天,贵州,0,1
贵州真不错，之前的村就已经让我觉得贵州的篮球氛围很浓厚，没想到足球也一样,贵州 贵州 篮球 氛围 足球,0,1
作为一个在外地的贵州人，对贵州村超我感官并不好——，á?不叫我,外地 贵州 贵州 感官,0,1
贵州人是有运动天赋的，这点我在小时候看他们打篮球就映像深刻，支持贵州村超,贵州 天赋 小时候 打篮球 贵州,0,1
贵州人杰地灵，前有村，后有村超，而且个个水平超过职业，以后参加奥运会直接在贵州挑几个人去参加就行，反正他们都是天才,贵州 水平 职业 贵州 天才,0,1
村超足球出贵州,足球 贵州,0,1
中超就是个答辩，支持贵州村超,贵州,0,1
贵州村超存在一天，国足就在被火上考一天，他们能不急么,贵州 国足,0,1
可惜我不在贵州离贵州太远了,贵州 贵州,0,1
能不能踢中超就看贵州拿出来多少茅台了,贵州 茅台,0,1
希望贵州越来越好啊,贵州,0,1
支持贵州村超，加油,贵州,0,1
贵州村超牛大了,贵州,0,1
支持贵州足球??,贵州 足球,0,1
贵州不是村吗,贵州,0,1
贵州除了村超还有村吧打篮球也很燃,贵州 打篮球,0,1
我也想每个省都办个贵州那样的比赛,贵州,0,1
真好我贵州人太给力，太长脸了，好感动,贵州,0,1
贵州这孩子终于上分了，感动,贵州 孩子,0,1
贵州真的很好吃的,贵州,0,1
看到好多都来贵州看村超真的好感动,贵州,0,1
感谢大家来贵州,贵州,0,1
家人们贵州没通电 到哪儿都没路，大家都是摩托车出行，快来帮帮贵州人民,贵州 摩托车 贵州,0,1
贵州这次要火,贵州,0,1
在广州工作的贵州人看了很感动，希望贵州能抓住这个机会。贵州一直以来存在感都太弱了，是穷的代名词，太需要一个肯定了。,广州 贵州 贵州 机会 贵州 代名词,0,1
贵州真的牛,贵州,0,1
来我们贵州旅游不胖个五六斤不可能的,贵州,0,1
感谢太来贵州支持,贵州,0,1
加油贵州,贵州,0,1
欢迎太来贵州玩，希望你玩得开心，也希望贵州越来越好,贵州 贵州,0,1
欢迎大家来贵州玩,贵州,0,1
欢迎大家来我们贵州玩,贵州,0,1
欢迎大家来到贵州说实话贵州最近几年发展挺不错的，马上就市市通高铁了，出行什么的都很方便，以后来贵阳可以找我约饭,贵州 贵州 市市 贵阳,0,1
贵州欢迎您,贵州,0,1
我的天，打开站，我关注的，来帮着我们宣传贵州啦,贵州,0,1
我大贵州,贵州,0,1
我作为一个土生土长贵州人出来辟一下谣，贵州是这样子的,土生土长 贵州 贵州 样子,0,1
贵州把足协的学习请求驳回就很牛,贵州,0,1
欢迎来到贵州，多彩贵州欢迎大家,贵州 贵州,0,1
贵州美,贵州,0,1
贵州人感动了,贵州,0,1
村超牛逼，贵州牛逼。,贵州,0,1
贵州村超，淄博烧烤，希望这种越来越多,贵州 淄博,0,0
我真的服了，今天来到贵州这里，结果呢，今天没比赛。,贵州,0,1
欢迎大家来到贵州,贵州,0,1
这两天跑到贵州来耍就想去看看这个,贵州,0,1
我本来假期就是要去贵州的，但是，学校考试考到七号，又有别的事，总之就是没赶上,贵州 学校,0,1
我看到我大贵州现在这么好，我眼泪真的止不住,贵州 眼泪,0,1
来贵州，我带你见识不一样的热情,贵州 热情,0,1
刚到贵州,贵州,0,1
作为贵州人这真的好自豪啊,贵州 自豪,0,1
淄博还没有去，又想去贵州了，真的好美。,淄博 贵州,0,0
好感动 想哭哦。贵州村超牛逼,贵州,0,1
黔东南的虽然没去看过，不过欢迎来贵州玩,黔东南 贵州,0,1
虽然但是，贵州是个很的地方，欢迎大家来贵州,贵州 地方 贵州,0,1
希望大家都能对贵州有一个正确的认识，我到广州上学以后，跟同学和老师说起贵州，有些人说是贵阳省贵州市，有人说贵州是广西的，贵州是云南的，贵州是四川的。我想说贵州就是贵州,贵州 广州 上学 同学 老师 贵州 贵阳 贵州 贵州 广西 贵州 云南 贵州 四川 贵州 贵州,0,1
真的感谢国家  感谢国家的帮助 让贵州路路通 路有了 就能走出大山 期待未来贵州会越来越好,国家 国家 贵州 路路通 大山 贵州,0,1
欢迎大家老贵州玩,贵州,0,1
贵州能火，贵州人非常高兴,贵州 能火 贵州,0,1
广西，你看看人家贵州,广西 贵州,0,1
希望贵州多挣钱，挣大钱,贵州,0,1
来贵州不来看我(开玩笑的),贵州,0,1
别 贵州足球一飞冲天就好了 某些球队它飞不起来 他不配,贵州 足球 球队,0,1
欢迎来贵州玩儿,贵州 玩儿,0,1
贵州人表示也还没有来得及去榕江,贵州 榕江,0,1
贵州会崛起的,贵州,0,1
希望我们贵州越来越好,贵州,0,1
贵州那个烤土豆我超爱，好久没吃到了,贵州 土豆,0,1
感谢你们喜欢贵州，欢迎你们常来玩,贵州,0,1
贵州和广西相比，那我还是觉得我们贵州流批,贵州 广西 贵州,0,1
力挺我大贵州,贵州,0,1
欢迎大家来贵州做客,贵州 做客,0,1
那卷粉一块一碗贵州人我真的惊呆了,贵州,0,1
都来，都来，我还记得我刚开学的时候大家在寝室里说自己的家乡，我说贵州的时候，他们还以为贵州是一个市，不是省，真让我感到痛心啊，希望这次能让贵州越来越好!,开学 寝室 家乡 贵州 贵州 贵州,0,1
来我大贵州了好耶,贵州,0,1
没想到贵州终于可以算出人头地了,贵州,0,1
太来贵州了，多去逛逛吃的吧哈哈哈，好吃的还是很多的,贵州,0,1
从淄博烧烤开始看你，终于把你给盼来贵州了。,淄博 贵州,0,0
夏天去贵州避暑顺便看比赛美滋滋，贵州美女也多的很。,贵州 贵州 美女,0,1
之前淄博爆火很羡慕 希望贵州也这样 没想到下一个真的是贵州了 身为贵州人很开心,淄博 贵州 贵州 贵州,0,0
欢迎大家暑假来贵州玩耍，“走遍大地神州，最美多彩贵州”,贵州 大地 神州 贵州,0,1
贵州和广西相比，还是你们贵州牛逼,贵州 广西 贵州,0,1
我们贵州是这样的吖,贵州,0,1
欢迎大家都来贵州玩，多彩贵州欢迎大家,贵州 贵州,0,1
不吹不黑，我们贵州的商家从来不缺斤少两,贵州 商家,0,1
快都来贵州玩,贵州,0,1
贵州现在的高速 可以说是超一流,贵州,0,1
贵州科比来了吗,贵州,0,1
贵州难得以这么好的方式出圈，很自豪，欢迎大家来贵州玩我们贵州人都民风淳朴勒,贵州 方式 自豪 贵州 贵州 民风,0,1
俺们贵州好吃好玩的真的很多,贵州,0,1
好耶欢迎大家来贵州玩,贵州,0,1
好期待贵州村超雄起,贵州,0,1
贵州贵州我看村超,贵州 贵州,0,1
此时贵州和广西相比，我还是觉得贵州牛批，村超泰裤辣,贵州 广西 贵州,0,1
小贵州一直可以，我爸以前干活，有人和我们冲突那个小贵州一直第一时间冲出来,贵州 贵州 时间,0,1
我真的爱贵州,贵州,0,1
贵州啊遇到好官了,贵州,0,1
贵州,贵州,0,1
看贵州碗视频也很燃，可以去感受一下,贵州 视频,0,1
壮哉我大贵州,贵州,0,1
贵州人就是热情好客,贵州,0,1
多彩贵州欢迎您,贵州,0,1
村超牛逼大赞贵州,贵州,0,1
作为一个在贵州长大的人很骄傲,贵州 长大,0,1
好家伙，贵州、淄博开卷,贵州 淄博,0,0
2022-2023，淄博和贵州,淄博 贵州,0,0
贵州的美食真的很多，我在贵州待过几年，离开了三年还念念不忘,贵州 美食 贵州,0,1
贵州加大分,贵州,0,1
贵州是这样的，基本不会缺斤少两,贵州,0,1
我们贵州绝对不会千斤少两，除了一些例外,贵州,0,1
淄博烧烤，贵州村超，下一波是哪里的觉醒。,淄博 贵州,0,0
作为贵州人，我感到很自豪,贵州 自豪,0,1
谢谢你宣传我的家乡贵州，有机会多来贵州玩，好菜好酒招待你,谢谢 家乡 贵州 机会 贵州,0,1
足球的希望在贵州,足球 贵州,0,1
宰客门欢迎。。。哦搞错了贵州牛逼,宰客 贵州,0,1
本贵州人根本不信称是准的,贵州,0,1
贵州的都泪目了,贵州 泪目,0,1
欢迎大家来贵州玩，千万别吃烧烤就行了,贵州,0,1
欢迎欢迎来贵州玩,贵州,0,1
这几天来贵州玩啦这里好热情,贵州 热情,0,1
太来贵州了,贵州,0,1
贵州的路过,贵州,0,1
我们贵州没丢人,贵州,0,1
我们贵州是这样的,贵州,0,1
这个村超，村对贵州的宣传那真是非比寻常啊，还有很多人连贵州在哪都不知道,贵州 贵州,0,1
贵州县上村上还是大多数比较淳朴的，省上就有缺斤少两的商家，哪里都一样，我是贵州人，希望家乡越来越好。,贵州 县上 商家 贵州 家乡,0,1
感觉淄博之后下一个就是贵州了，一波预感感觉十一贵州又要被挤爆了,感觉 淄博 贵州 预感 感觉 贵州,0,0
感谢  加油  贵州,贵州,0,1
去年去贵州旅游就坚定了我贵州白的态度，希望可以继续坚持让我一生白,贵州 贵州 态度,0,1
其他的我不知道，但是贵州人是最懂得生活的，不管生活怎么样，积极认真的生活,贵州,0,1
欢迎来到我家乡贵州榕江人民欢迎您,家乡 贵州 榕江,0,1
贵州科比怎么没人去看,贵州,0,1
继淄博之后，又出了个贵州村超，希望有更多的地区能被注视。,淄博 贵州 地区,0,0
贵州牛逼,贵州,0,1
第一次为贵州自豪，哈哈哈,贵州 自豪,0,1
贵州确实爆了，都跑去救，不容易，加油把,贵州,0,1
贵州美食多,贵州 美食,0,1
贵州雄起嘞,贵州,0,1
贵州就贵州嘛，提中国足球噶什么想造饭啊,贵州 贵州 中国 足球,0,1
哇。我也想好想吃卷粉（贵州每个地方卷粉不一样）,贵州 地方,0,1
贵州基本没鬼称,贵州,0,1
欢迎太到我们贵州去,贵州,0,1
我的评价是不如贵州超级碗,评价 贵州,0,1
既然贵州人民很喜欢足球，请多多支持贵州的中冠球队吧 现场没多少人支持呢,贵州 足球 贵州 中冠 球队 现场,0,1
贵州人还是闲啊,贵州,0,1
我去过贵州，那里的足球很纯粹,贵州 足球,0,1
中超敢不敢拿着海参去贵州,海参 贵州,0,1
我贵州人出来冒个泡,贵州,0,1
希望贵州越来越好,贵州,0,1
我想说我们贵州人，会的还不少，嘻嘻,贵州,0,1
我很长一段时间都以为贵州是个市,贵州,0,1
贵州一次又一次刷新我的认知,贵州,0,1
继淄博烧烤后贵州也要出圈了 加油啊,淄博 贵州,0,0
国足原来在贵州,贵州,0,1
贵州都要破产了，不知道吗,贵州,0,1
贵州这样办下去 真的能闯进世界杯,贵州 世界杯,0,1
贵州的干部想让贵州发展，这条路可能不错,贵州 干部 贵州 条路,0,1
人贵州不说话，中超吵吵个屁，有本事来贵州说。,贵州 贵州,0,1
前有贵州，今有贵州村超,贵州 贵州,0,1
贵州跟你有仇吗,贵州,0,1
嘿嘿。足协已经到贵州考察了,贵州,0,1
不给它们进贵州就完事,贵州,0,1
什么淄博烧烤2，贵州村超,淄博 贵州,0,0
身为贵州人，都惊呆了，村联赛都这样牛吗,贵州,0,1
村超让我知道，原来贵州不是只有茅台,贵州 茅台,0,1
贵州德比,贵州,0,1
除了欧洲——中国还有个贵州，除了英超还有个贵州村超，五大联赛以外的第六大联赛。,欧洲 中国 贵州 英超 贵州,0,1
贵州体育氛围很好啊，之前还有村,贵州 氛围,0,1
可是贵州村超组织的这么好，里面肯定也是有贵州当地行政层面的支持和引导的。,贵州 贵州 行政 层面,0,1
这么好的氛围 容不下贵州恒丰 贵州人和 希望贵州早日有自己的中超球队,氛围 贵州 恒丰 贵州 贵州 球队,0,1
贵州各高校体育学院的老师和同学们加油欢迎大家来到醉美多彩贵州,贵州 高校 学院 老师 同学 贵州,0,1
贵州梅西 贵州本泽马 贵州内马尔 贵州罗 贵州皮耶罗 贵州苏亚雷斯 贵州意甲 贵州法甲 贵州德甲 贵州英超,贵州 梅西 贵州 本泽马 贵州 内马尔 贵州 贵州 皮耶罗 贵州 苏亚雷斯 贵州 意甲 贵州 法甲 贵州 德甲 贵州 英超,0,1
贵州有村超可以看，还要啥中超啊~,贵州,0,1
贵州村好样的,贵州,0,1
我猜贵州肯定没有海参,贵州 海参,0,1
冷知识，贵州有很大部分人没吃过海参。,贵州 海参,0,1
贵州这是要利用体育弯道超车啊,贵州 利用,0,1
贵州村体育模式加油,贵州 模式,0,1
在贵州旅游，明天去看看啊,贵州,0,1
酒店不涨价，各方面不涨价，县长真的格局大，我到贵州的几天，让我深切感受到，贵州和广西相比，那我还是感觉我们贵州…哈哈哈哈,酒店 涨价 涨价 县长 格局 贵州 贵州 广西 感觉 贵州,0,1
作为一个贵州人，村超真的让我感到骄傲,贵州,0,1
同样是贵州，我们这个县除了学校，没看见哪里有足球场,贵州 学校 足球场,0,1
欢迎大家来贵州避暑哦多彩贵州欢迎您,贵州 贵州,0,1
贵州村超——中国村超——世界村超,贵州 中国 世界,0,1
未来贵州最强，榕江最强,贵州 榕江,0,1
你们这样一搞，全国人民都知道我们贵州通电了。,全国 贵州,0,1
贵州兄弟们,贵州 兄弟,0,1
恳求足协放过贵州。,贵州,0,1
村超 村 村运动会 牛逼我大贵州,运动会 贵州,0,1
反对足协来贵州,贵州,0,1
足协调研之后，贵州村超就要停办咯,贵州,0,1
不是 不是贵州人嘴严 贵州人自己都不知道是金丝楠木奖牌,贵州 嘴严 贵州 金丝 楠木 奖牌,0,1
夏天了，不来贵州你去哪,贵州,0,1
我们贵州的好东西连贵州人自己都不知道 全被瞒着,贵州 东西连 贵州 全被,0,1
记得跟见过，家乡就是贵州吧,家乡 贵州,0,1
你们贵州,贵州,0,1
你们贵州瞒这么紧吗我怎么才刷到,贵州,0,1
贵州人民嘴挺严的呀 吃那么好也不吱一声,贵州,0,1
贵州表示现在才知道,贵州,0,1
不是，你们贵州人嘴这么严,贵州,0,1
不是贵州兄弟嘴真严，我才知道,贵州 兄弟,0,1
靠你们贵州人嘴真严,贵州,0,1
哪个国家的贵州瞒这么死,国家 贵州,0,1
我们贵州，这么大脸面了,贵州 脸面,0,1
你们贵州人嘴真严,贵州,0,1
不是我贵州人不知道,贵州,0,1
贵州人民嘴这么严的吗,贵州,0,1
贵州这么有实力,贵州 实力,0,1
卧槽贵州你悄无声息来个大招啊,卧槽 贵州,0,1
贵州的兄弟嘴咋那么严,贵州 兄弟,0,1
贵州人不上班吗,贵州,0,1
好好好，贵州兄弟自己偷着乐是吧,贵州 兄弟,0,1
一个县长搞活一个贵州,县长 贵州,0,1
贵州好县长,贵州 县长,0,1
贵州真适合度假,贵州,0,1
"祝?"" 贵州村超越办越好",贵州,0,1
贵州崛起,贵州,0,1
美丽贵州,美丽 贵州,0,1
贵州村超，本来就不需要职业，只需大家开心。,贵州 职业,0,1
作为一个贵州人 我想问 他哪里说错了,贵州,0,1
和我们贵州村超没关系好吗我们只是玩玩，渲染是媒体的问题，请你不要攻击我们贵州的文化，我非常鄙视你，,贵州 玩玩 媒体 贵州 文化,0,1
羡慕有啥用，只知道打压，你够职业你来一个让我们贵州人关注关注,职业 贵州,0,1
"董路：你来贵州，我保证贵州少数民族不打4?"" ?你董路：贵州没有海参，贵州村超也没有海参，所以村超不够职业",董路 贵州 贵州 少数民族 董路 贵州 海参 贵州 海参 职业,0,1
贵州的家人们，你们董路不反正我不懂，去他的吧，我开心，我傲骄,贵州 董路,0,1
我个人认为贵州村超是真的超级好,贵州,0,1
反正我们贵州没说国足怎么样，至于你说我们“村超”这件事，我记住了,贵州 国足,0,1
贵州队知道吧贵州队在中超都被打出屎了，你的意思是贵州省的省职业足球队还不如贵州业余的,贵州 贵州 贵州省 职业 足球队 贵州 业余,0,1
贵州村超只是人家业余爱好，带动全民健身而已，怎么成攻击国足了，难道影响有些人赚钱了,贵州 全民,0,1
10万我们贵州人也有，不需要,贵州,0,1
推荐我的家乡贵州,家乡 贵州,0,1
欢迎全国各地的朋友来我们最美贵州旅游，我请你们来我家喝酒,全国 朋友 贵州,0,1
