商品id,评论内容,评论者,评分,评论时间,评价距离购买天数,用户ip属地,评论商品,评论回复数,用户点赞数,形容词,text_rank,text_rank_value,聚类结果
100017338426,方便的很，自己测再也不用跑医院那么麻烦,y***r,5,2022-02-19 05:05:58,11,,心电仪贴片（4贴/盒）,0,0,方便 很 麻烦,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
100036752464,小东西非常好用，贴在身上就可以监测。APP的AI分析还挺准的，和医院诊断的一样。去医院背holter太麻烦了，有这个小东西就很方便，随时就可以看自己近期情况～,l***o,5,2023-10-16 00:18:23,10,北京,长程心电监护仪ER1,1,0,好 麻烦 方便,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
100036752464,老人家近百岁了，近年发现间歇性心房颤动，用药情况需要做心电图才能确定效果，去医院做一次心电图非常麻烦又辛苦。用这个仪器测量极其方便且结果准，是家庭监测老人心房颤动，用药效果最好选择。客服态度非常好，到货速度非常快。,j***3,5,2022-04-04 00:58:08,4,,,1,7,近 麻烦 辛苦 方便 准 最好 好 快,麻烦,"[{'word': '麻烦', 'weight': 0.5}, {'word': '准', 'weight': 0.5}]",0
100036752464,第一次买了别的品牌，用起来很麻烦。这个使用简单，也方便,c***c,5,2023-01-05 17:06:12,5,,长程心电监护仪ER1,0,0,麻烦 简单 方便,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
100036752464,贴电极的时候有点麻烦 尤其是第一次贴 不过电极片粘性很大 我连续贴了48小时 测了两次 最后还很难撕下来 不过撕下来也没留下残胶 检测结果准不准 不太懂 长程的准确度应该来说要比短程的高 电脑手机都有分析软件 ai分析也很快 唯一奇葩的就是手机电脑软件居然要分别注册 数据并不通用 不过分析结果是一样的,菠***0,5,2023-03-10 09:14:20,7,,12导心电监护仪TH12,0,0,麻烦 很大 连续 难,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
100036752464,这个机器有点一言难尽，要是不差条件的，需求率高的买一个可以。 我买来就给妈妈用了一次 然后降价五百多，经过漫长的交涉，最后还好，给我补了差价。这里京东的服务还是没有让我失望的。 产品的话 使胶贴不是一次性 每次都要买新的。 后台程序里数据很全，但是不会看就很麻烦，家里都是学医看起来方便。 还不了差价所以机器就留下了,阳***儿,5,2022-11-21 02:41:51,61,,12导心电监护仪TH12,2,1,差 高 新 全 麻烦 方便,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
10450576565,经常心悸，多次做心电图都未有发现，动态心电门图需要预约，非常麻烦，最后买了这个才发现因为早搏。使用方便，机子小巧，夏天戴了上班都看不出来。,j***k,5,2020-08-22 16:56:04,24,,,1,2,麻烦,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
10450576565,买回来用了一点时间，还不错，操作很方便，很小巧，戴起来不会不舒服，用的过程中没有出现操作困难的情况。贴片是一次性的，很卫生，物流也超级快，发顺丰快递，很快就到。客服也非常好，超级有耐心。总之购物体验很好。,熏***芳,5,2020-10-16 10:40:12,17,,,1,1,不错 方便 舒服 困难 很 卫生 快 丰 好 耐心 好,困难 卫生,"[{'word': '困难', 'weight': 0.5}, {'word': '卫生', 'weight': 0.5}]",3
10450576565,很棒棒，操作不是很麻烦，支持的软件也挺多的，刚收到就带上了期待动态检测的结果,j***L,5,2018-12-12 14:44:27,2,,,1,0,麻烦,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
10450576565,孩子有点窦性心率 医生推荐购买的。机器非常小巧精致，用起来也很方便。就是只能用安卓手机导数据，有丢丢麻烦呀～,B***G,5,2023-02-02 13:39:22,33,,,2,0,精致 方便 麻烦,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
10450576565,这个用起来很方便，质量也不错，用手机査看实时心动态一清二楚，可上传诊断。但连接电脑操作相当麻烦，不象査U盘内资料那么简单，偿试过几次都无法查获主机内的资料。电脑已装蓝牙软件，点数据库无数据出现。继续摸索中,勿***明,5,2018-09-08 14:38:29,9,,,2,1,方便 不错 麻烦 简单,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
10450576565,开始用还需要参考说明，实物很小，第一次尝试用的时候链接蓝牙有些困难，但最后解决了，体验感还不错。,d***s,5,2018-03-21 16:59:21,7,,,1,0,很小 困难 不错,困难,"[{'word': '困难', 'weight': 1.0}]",3
100051931155,东西不错，晚上下单，第二天中午就到了，速度没的说，一个字&ldquo;快&rdquo;！开封后看到了颜值很高很轻巧的东东，看上去使用会很方便，正在阅读使用手册和指南，待使用后再评，希望准确。可以推荐给老人使用，免去医院排队的麻烦！,y***n,5,2021-12-31 21:48:00,1,,24小时动态心电仪TE-5100Y-C,0,0,不错 快 高 轻巧 方便 准确 麻烦,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
100051931155,很方便，期待明天的结果。每次带妈妈去医院好麻烦，现在方便多了。,嗯***团,5,2022-04-03 22:59:43,0,,24小时动态心电仪TE-5100Y-C,1,0,方便 好 麻烦 方便,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
100051931155,最近心脏一直不太舒服，有早博和心悸。心电图一查就正常，到医院背豪特太麻烦，全身都是电线不方便。于是网上对比一下，选中好络维。发货也快。充上电了，先试试24小时动态监测。效果期待&hellip;,n***h,5,2021-11-20 20:09:13,2,,24小时动态心电仪TE-5100Y-C,1,1,舒服 早 麻烦 方便 快,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
100051931155,家人最近查出有点心律不齐，还是要引起重视😟。平时跑医院🏥去背那个24小时动态仪器太麻烦，身上贴一堆，不如自己买一个👌，虽然不能完全替代医院的，但至少也算是医疗器械了，能够表征是还是不是的问题，大概什么程度，心里做到有个大概的数✊。特别是链接手机app，用起来挺方便，随时随地都能监测。非常好的东西！😊,迅***哥,5,2021-10-28 23:11:12,6,,24小时动态心电仪TE-5100Y-C,1,2,麻烦 完全 方便 好,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
100051931155,当时在淘宝上一搜，都是上千的机器，当时朋友推荐了这款，所以就买回来用一下。本来以为会是像医院一样的那种需要带很多线的一个背在身上的小盒子，结果寄回来就一个很小的小盒子，就这一点我觉得就方便很多，因为毕竟要长时间测试的话，不会特别累赘,j***5,5,2021-11-08 16:33:07,3,,24小时动态心电仪TE-5100Y-C,1,1,很小 方便 累赘,累赘,"[{'word': '累赘', 'weight': 1.0}]",1
100051931155,家人突然不舒服，去医院检查又很麻烦，于是着急从网上买个监护仪先看下大体情况，分析了好几款之后感觉这个设计还算合理，实测快速心电图比较难消除干扰，使用贴片长时间检测的基线会稳定一些,u***7,4,2022-01-10 23:51:50,12,,24小时动态心电仪TE-5100Y-C,0,0,突然 舒服 麻烦 着急 好 难 稳定,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
100041525117,东西不错，晚上下单，第二天中午就到了，速度没的说，一个字&ldquo;快&rdquo;！开封后看到了颜值很高很轻巧的东东，看上去使用会很方便，正在阅读使用手册和指南，待使用后再评，希望准确。可以推荐给老人使用，免去医院排队的麻烦！,y***n,5,2021-12-31 21:48:00,1,,24小时动态心电仪TE-5100Y-C,0,0,不错 快 高 轻巧 方便 准确 麻烦,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
100041525117,很方便，期待明天的结果。每次带妈妈去医院好麻烦，现在方便多了。,嗯***团,5,2022-04-03 22:59:43,0,,24小时动态心电仪TE-5100Y-C,1,0,方便 好 麻烦 方便,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
100041525117,最近心脏一直不太舒服，有早博和心悸。心电图一查就正常，到医院背豪特太麻烦，全身都是电线不方便。于是网上对比一下，选中好络维。发货也快。充上电了，先试试24小时动态监测。效果期待&hellip;,n***h,5,2021-11-20 20:09:13,2,,24小时动态心电仪TE-5100Y-C,1,1,舒服 早 麻烦 方便 快,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
100041525117,家人最近查出有点心律不齐，还是要引起重视😟。平时跑医院🏥去背那个24小时动态仪器太麻烦，身上贴一堆，不如自己买一个👌，虽然不能完全替代医院的，但至少也算是医疗器械了，能够表征是还是不是的问题，大概什么程度，心里做到有个大概的数✊。特别是链接手机app，用起来挺方便，随时随地都能监测。非常好的东西！😊,迅***哥,5,2021-10-28 23:11:12,6,,24小时动态心电仪TE-5100Y-C,1,2,麻烦 完全 方便 好,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
100041525117,当时在淘宝上一搜，都是上千的机器，当时朋友推荐了这款，所以就买回来用一下。本来以为会是像医院一样的那种需要带很多线的一个背在身上的小盒子，结果寄回来就一个很小的小盒子，就这一点我觉得就方便很多，因为毕竟要长时间测试的话，不会特别累赘,j***5,5,2021-11-08 16:33:07,3,,24小时动态心电仪TE-5100Y-C,1,1,很小 方便 累赘,累赘,"[{'word': '累赘', 'weight': 1.0}]",1
100041525117,家人突然不舒服，去医院检查又很麻烦，于是着急从网上买个监护仪先看下大体情况，分析了好几款之后感觉这个设计还算合理，实测快速心电图比较难消除干扰，使用贴片长时间检测的基线会稳定一些,u***7,4,2022-01-10 23:51:50,12,,24小时动态心电仪TE-5100Y-C,0,0,突然 舒服 麻烦 着急 好 难 稳定,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
10072415340742,用了好些天，产品很好用，方便快捷，省去医院的麻烦，担心了测一测，不舒适测一测，调整心态去做检测，不用因为紧张影响结果，卖家服务态度很好，比较适合家庭的心电监护仪，非常值得推荐，人到中年，身体健康最重要，定期检测。,j***C,5,2023-07-10 09:03:52,3,湖南,心电监护仪1,0,0,麻烦 舒适 紧张 好 重要,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
10072415340742,之前都得去医院背24小时动态心电图，特别麻烦，现在一直都用这个，特别小巧，吃个药随时还能看看到底能不能有效。前几天偶然用这个心电监护仪测量的时候，发现自己心率总是很高，以为是仪器出现了问题，去医院检查之后是真的复发了，医生说幸好及时来检查，再过几天就晚了，真的太感谢这个心电监护仪了！,j***b,5,2023-07-07 09:34:29,4,湖南,心电监护仪1,1,0,麻烦 有效 高 幸好,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
10081651528547,用了好几天，产品很不错，方便快捷，可以很好的做检测，省去医院的麻烦，担心了测一测，不舒适测一测，可以很好调整心态去做检测，不用因为紧张影响结果，卖家服务态度很好，这是一款适合家庭的心电监护仪，非常值得推荐，人到中年，身体健康最重要，定期检测。真是太方便了。,j***m,5,2023-08-02 11:12:11,5,安徽,礼遇旗舰版【专家解读+导联线】,0,0,好 不错 很好 麻烦 舒适 好 紧张 好 重要 方便,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
10079276861844,很不错哦 推荐有需要的人 赶紧入手吧！我一直有心律失常 偶发到频发 经常去医院挂号检查&hellip;很麻烦&hellip;也很累！买了这个之后 随时都可以测 特别方便！结果也分分钟就出来了 看似很专业呢！,T***a,5,2023-09-09 21:02:52,2,广东,ER2白色有屏幕,1,0,不错 麻烦 方便,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
10079114821874,很不错哦 推荐有需要的人 赶紧入手吧！我一直有心律失常 偶发到频发 经常去医院挂号检查&hellip;很麻烦&hellip;也很累！买了这个之后 随时都可以测 特别方便！结果也分分钟就出来了 看似很专业呢！,T***a,5,2023-09-09 21:02:52,2,广东,ER2白色有屏幕,1,0,不错 麻烦 方便,麻烦,"[{'word': '麻烦', 'weight': 1.0}]",0
