,word,聚类结果
148,规则 执行 随意 妥协 舆情 及时 应该,1
149,各大 考试 通过 面试 逆袭 不要 优秀 真的 很多,1
150,逆袭 努力 证据 不是 正常 高考 自己 不准 别人 一天 微博上 造谣生事 什么 毛病 你们,1
151,速度 高效 复盘 透明 疑点 澄清 有力,1
152,造谣,1
153,只要 放弃 努力 终会 回报 奇迹 恭喜 学长 上岸 研究生 加油,0
154,造谣 一张 辟谣 跑断腿,1
155,专业知识 英语 听说 逻辑思维 语言表达 科研 能力,1
156,两个 优秀 名额 只有 一个,1
157,清楚 不可否认 优秀 但是 招生 条件 限制 只能 一个,1
158,知道 为什么 好想哭 同学 分数 那么 顶住 压力,1
159,哈朝 平凡 小日子 那英 同学 人手 好几篇 可能 他们 觉得 sci 英语 作文 比赛,1
160,,1
161,官方消息 实在 复试 逆袭,1
162,英文 大部分 论文 中文 出来 翻译 润色 直接 上来 开始,1
163,造谣 成本 真低,1
164,逆袭 翻盘 很酷 事儿,1
165,考试 厉害 导师 什么 sci,1
166,声明,1
167,那些 网暴 人能 不能 出来 道歉,1
168,造谣 不用 成本,1
169,一个 其实 不是 刻意 压低 同学 面试 他们 只有 两个 就是 选择题 选择 综合 分数 就要,1
170,复试 学校 权力 自己 培养 学生 刷人 根本 需要 任何理由 解释权 完全 校方,1
171,好样,1
172,不会 学校 考试 居然 还有 质疑 别人 初试 复试 以为 考研 小升初 一样 如果 卷面 成绩 看得 科研成果 重要 觉得 这个 不开 难道真 支持 应试教育 研究生 难道 只要 什么 论文 科研 愿意,1
173,整件事 下来 就是 一群 网络 学渣 现实 学霸 仲裁 可真 笑死人,1
174,初试 复试 公平 除了 按照 百分制 加成 有点 有违 其他 没什么 sci 肯定 人家 就要 毕竟 这么 设置 比例 结构 为了 校方 掌握 主动权,1
175,只能 两个 厉害,1
176,网友 是不是 高校 主任 太看 权力 不到 北京 协和 那边,1
177,复试 开刷 就是 高分低能 大惊小怪,1
178,面试 原来 协和 这么 只要 导师 打声 招呼 哪个 老师 给面子,1
179,问题 技不如人 反思 自身 觉得 对方 背景 利用 舆论 造谣 网爆 还好 没考上 不然 品德 医学界 日后 难免 风险,1
180,不出 缺什么 在意 什么 sci 代表 别人,1
181,恭喜 同学 上岸 本科 一篇 sci 而且 还是 一作 一看 就是 大神 一条 不论 哪个 导师 肯定 眼前一亮 复试 逆袭,0
182,嫉妒 可怕,1
183,不是 成绩 面试 意义 就是 综合 素质 多少 因为 分数 卡住 脖子 考试 之光,1
184,不明真相 定论 人会 道歉,1
185,恭喜 陈鑫 同学 上岸,0
186,还是 向往 那个 学校 公平 公正,1
187,最后 考研 面试 就是 为了 多方面 考察 一个 只会 做题 其他 方面 能力 欠缺 不算 完全 优秀 所以 两个 各有所长 只是 第二名 险胜 罢了 包含 努力 运气 各个方面 因素 相信 专家组 评审 祝贺 同学,1
188,老师 选有 科研项目,1
189,多少 常见 今天 嘲讽 谩骂 一下 应试 成绩 事儿 真的 这帮 初试 高分 不是 有些 复试 就是 厉害 翻盘,1
190,攻击 别人 只要 通过 复试 相比 必有 一技之长 恭喜 两位 优秀 学子,1
191,逆袭 加油,1
192,恭喜 考生 尾号 这位 同学,0
193,那些 造谣 真的 可恨,1
194,一本正经 胡说八道,1
195,考研 考本 最大 差距 在于 光是 小镇 做题 没用,1
196,初试 面试 英语 专业知识 低分 这么 反正 觉得 不可思议,1
197,知道 无脑 多少 sci 什么 东西 好笑 原来 NSC 失敬,1
198,奉劝 某些 人多 读点 书吧 自己 学历,1
199,有些 人管 好比 几千块 工资 操着 上海 汤臣 一品 房价,1
200,不能 一句 公布 视频 网暴 质疑,1
201,出来 时候 确实 感觉 不可思议 公告 解释 后开 成绩 一篇 sci 奇怪 如果 导师 一把,1
202,印象 笔记,1
203,诋毁,1
204,为什么 觉得 那位 上岸 家里 背景,1
205,造谣 不能 处理 一下 太过分 安苏 幸亏 农民 家庭出身 但凡 家境 好点 公告 上天,1
206,永远 同学 学校 心累 好话 赖话 键盘 侠全 一盆 脏水 身上 就是 洗不掉 他们 自己 说辞 不醒 装睡,1
207,复试 有点,1
208,如果 一篇 sci 导师 不要 的话 那才 黑幕,1
209,恭喜 同学,0
210,同学 恭喜 上岸,0
211,考生 菠萝 岛民 造谣 什么 时候 道歉,1
212,成绩 面试 逆袭 朋友 好像 正常 一个 当时 研究生 时候 笔试 结果 综合 说明 多么 这个 相对来说 平均 一些,1
213,本事 关系 真的 无所谓 别人 永远 自己 没有 借口 哪里 吃饭 这种 社会 文化 应该,1
214,复试 不是 初试 一半 人家 第二 第二十 研究生 重要 研究 两个 英语 分高 不如 招英语 专业 再说 复试线 以后 当然 各凭本事 不然 设置 干嘛,1
215,放出 录像 直观,1
216,导师 一个 怎么 贿赂 一个双 一本 背景 有钱 更何况 北京 协和 那大 能耐 本科 直接 出国 好不好 干嘛 考个 二本,1
217,后续 这个 社会 到底 怎么 事情 搞清楚 动不动 一副 唯恐 没有 黑幕 样子,1
218,均值 我们 学校 统考成绩 不得 落选 潜规则 另外 不合理 应该 去掉 一个 最高分 最低 分取 更加 公平,1
219,拜托 一篇 sci 任何 一位 导师 这个 心动,1
220,上去 离谱 确实 合理,1
221,造谣 应该 法律责任,1
222,古月 好家伙 还有 这么 一出,1
223,名字 判定 家庭 情况 活久见 节奏 话题 新闻 果然 不能 看堪 茅厕,1
224,社会 公平 黑幕 出来 相信 同时 接受,1
225,初试 无论是 复试 逆风 翻盘 还是 高分 学霸 值得尊重,1
226,复试 初试 真是 石油大学 今年 一个 自己 不好 准备,1
227,术业 专攻,1
228,但凡 英语 他们 昨天 看到 有人 努力 可能 时候 觉得 不用 争论 没考 过研 恨不得 入主 招生办 无语 动手 百度 一下 每年 不至于 这样 下结论,1
229,相差 中间 居然 一个 没有,1
230,考研 高分 不是,1
231,这么 承认 别人 优秀 况且 官方 已经 发出 声明 一些 逆袭 人家 真逆袭 一个 怀疑 人性 就是 难看,1
232,笔试 优先 面试 可以 意思 不服 不是 总成绩 个人 觉得 重要 只要 那个 这么 理解,1
233,这样的话 考研 准备 发表 感觉 如果 做好 人会 不会 开始 这些 论文 拼命 然后 笔试 成绩 一点 容易 录取 本科 期间,1
234,一个 幸运 倒霉 PS 一下 为什么 学校 一直 回答 他们 中间 有没有 别的 分数,1
235,希望 辟谣 跑断腿 估计 这位 家庭环境 不好 优秀 同学 还有 评委 老师 带来 巨大 困扰 伤害 那些 节奏 借此 攻击 整个 政府 国家 势力 完全 见到 惩罚 咱们 网友 多点 耐心 现在 反转 率太高 公知 名声 子弹 飞会 着急 义愤填膺 可好,1
236,自己 调查,1
237,人家 实力 父母 务农 是不是 这个 寒门 学子 哪位 二代,1
238,那个 复试 表现 太差,1
239,真是 承认 别人 优秀 很难,1
240,,1
241,作文 校长,1
242,复试 过程 当然 问题 之前 那些 小九 怎么 调查,1
243,恭喜 同学 上岸,0
244,陈鑫 莫名其妙 网暴 道歉,1
245,初试 复试 成绩 理解 乘加 这波 离谱,1
246,录取 一个,1
247,恭喜 陈鑫 同学 成功 上岸,0
248,建国 fakenews,1
249,一天 陈鑫 朋友 一句 多读 父母 多干 活泪目,1
250,论文 本科 有没有 质量 直接 改变 复试 老师 看法,1
251,就是 看不得 人家,1
252,寒门 贵子 难出 背景 一旦 一个 理所当然 以为 一定 不是 出身 何其 悲哀,1
253,能力 强大 不能 失败 人家 关系 还有 一种 可能 不够 一直 觉得 只要 足够 无可替代,1
254,不能 两个 录取 一个 肿瘤 专家 不好,1
255,一个 普通 学生 搜上 一天 人家 公平 不能 揪出 造谣 源头,1
256,所以 考研 这个 性质 本来 接近 求职 初试 只是 门槛 高校 肯定 愿意 一些 科研 能力,1
257,大家 论文 真的 优秀,1
258,面试 水分 官方 就是,1
259,面试 公布 根本 没有 说明 录取分数 原因 只是 分数 而已 当时 录像,1
260,一群 乌合之众,1
261,笔试 考生 其实 最该 解释 淘汰 面试 得分 原因 毕竟 人家 两次 第一 如果说 体现 能力 何必,1
262,复试 排名 颠覆 初始 成绩排名 完全 可能 正常,1
263,所以 造谣 出来 法律责任,1
264,逆袭 这个 果然 通过 面试,1
265,两个 孩子 优秀 网友 不要 评判 任何人,1
266,面试 下来,1
267,学校 老师 就要 觉得 公告 清楚 考研 复试 就是 想要 方面 人才 一般 名额 多手 宽点 差不多 顶尖 可能 偏重 某一方面 能力 这个 实力 缘分,1
268,山东 学生 就是 这么,1
269,人家 真笑 官方 通知 路上 还有 网友 上纲上线 两个 优秀 既然 公布出来 说明 同学 没有 问题,1
270,面试 因为 紧张 有没有 可能 分低 就是 表达能力 或者 正好 问题 知道 没答 上来 很多 笔试 厉害 不行 比如 公众 场合 本来 十分 五分 胆子 不够 从小到大 不少 自己 无奈 现在 长大 工作 好像 哪里 索性 琢磨 提高,1
271,还是 微博上 网友 素质,1
272,sci 要求 硕士 时候 毕业 很多 大多 考学 本科生 哪能 想到 一起 发表 一定 名校 学校 否则 不了 博士 中才 可以 看到 这个 本科 发了 一作 真的 超级 厉害 所有 老师 刮目相看 那种 面试 当然 占优,1
273,录像 有关 几个 一千个 好不好 面试 玩意 哈姆雷特 这种 没有 公开 确实 不好 判断,1
274,完想考 老师 医生 这个 社会 什么 时候 两种 多些 善意,1
275,公务员 很多 面试 逆袭,1
276,说实话 面试 紧张 说话 哆嗦,1
277,希望 同学 有着 超乎 同龄人 成熟 越来越 好分 小姐 不要 气馁 还有 其他 医学院 你们 以后 肿瘤 患者 带来,1
278,有点 只是 幸好 他家 农民 但凡 家庭 背景 可能 跳进 黄河 洗不清 昨天 围观 一天,1
279,有些 网友 根本 知道 sci,1
280,复试 老师 基本上 分数 动作 大幅 人为 提高 需要 打通 大多数 面试 大部分 自尊 原则 至少 名校 很难 操作 看到 学生 打分 不好 公平性 还是 保障 初试 第一 倒数 完全 可能,1
281,一点 建议 复试 还有 面试 是不是 改革 优化 更具 公平 公正,1
282,当年 我考 招教 百分制 笔试 五十多 面试 九十多 变成 小组第一 我们 找事,1
283,承认 别人 优秀 这么,1
284,初试 成绩 确实 面试 逆袭 几个,1
285,真是 遗憾 没能 某些 阴谋 学家 如愿,1
286,初试 成绩 百分制 再取 百分之 算成 总成绩 真的 差距 很小,1
287,笔试 通过 进入 面试 一篇 sci 秒杀,1
288,这有 什么 考研 那会 有个 初试 第一 男生 最后 复试 压根 准备 笔试 十几分,1
289,承认 别人 优秀 真的 很难,1
290,有些 恐怕 这辈子 知道 什么 叫做 读书 唯一 出路 相信 很多 理解 不了,1
291,为什么 不能 逆袭 只会 考试 大有人在 同学 加油,1
292,导师 喜欢 做题,1
293,sci 只要 复试 老师 可能 不要,1
294,咱不说 英语 问题 为什么 复试 两个 分数 相差 如此,1
295,面试 大学 成绩 比例 是否 过大 这个 具体情况 个人 建议 顶尖 加大 比重 普通 主要 依据 理论课 考试,1
296,高分 能力 协和 从来 考生 科研 能发 文章 可遇 不可 导师 选择 正常 另一方面 考研 绝对 体现 存在 高分低能 擅长 方面 不同,1
297,面试 老师 精准 打分 确保 翻盘 这个 分数 出来 换成 质疑,1
298,学校 陈某 sci 本科 这么 公众 随便 一定 出名 相信 得知 他发 喜报 学长 机械 专题 那天 全是 巴不得 全世界 知道 多篇 而且 还有 六分 坐等 出面 承认 这是 自己 学生,1
299,这个 世界 多点 善意,1
300,必须 一下 协和 医学院,1
301,这年头 还有 相信 官方,1
302,Aug,1
303,优秀 面试 每个 擅长 领域 一样 罢了 公开 公示 成绩排名 还有 什么 不能 理解,1
304,淘汰 为什么 好不好 请问 中间 还有 好多 如果 猫腻 陈鑫 一个 不是 容易 怀疑 他们 两个 根本 没有 关系 自己 原因 这个 没关系,1
305,论文 医学 领域 什么 水平 还是 重要 发表 一点 个人 看法 文章 处在 顶刊 柳叶刀 左右 济宁 医学院 科研 本科生 到底 外力 帮助 全靠 自己 考虑 近些年 撤稿 那么 含金量 是不是 评估 如果 临床 学生 医术,1
306,那些 梅们 什么 资格 人家 质疑,1
307,优秀 为什么 这样 承认 别人 很难 大部分 家境 不错 不能 认清 现实,1
308,之前 本科 二本 高分 逆袭 清北 不是 一群 下面 人家 第一 学历 不行,1
309,英语 知道 那些 非得 那个 分看 干嘛 不是 工具,1
310,一个 面试 成绩 果然 只要 人为因素 加入 进来 什么 可能,1
311,华中科技大学 建筑 城市规划 学院,1
312,华中科技大学 你们 几分钟 复试 流程 别人 重视 程度,1
313,第二名 这次 造谣 关系 建议 一下 可以 毕竟 第一名 这样,1
314,Leit,1
315,大家 之所以 这么 关注 这件 或许 还是 出于 社会 公平正义 主流 价值观 关心 拥护,1
316,当年 考研 研三 还是 垃圾 说实话 一区 sci 可以 超过 一半 硕士,1
317,考研 去年 总分 舍友 不得不 承认 学术 垃圾 人家 本科 时候 学过,1
318,我们 不是 什么 寒门 贵子 公平正义 陈曦 面试 那么 大众 眼酸 嫉妒 觉得 而是 质疑 多少 努力 追求 一瞬间 崩塌 分为 因为 只有 才能 胜出 但凡 同学 多分 淘汰 这么 你们 懂吗 可以 不能 践踏 公众 认知 实现,1
319,周慕,1
320,DrewHz 赶紧 一篇 sci,1
321,笔试 考过研 知道 复试 比重 考不上 有些 就是 做题 很行 但是 面试 实操 不行 正常,1
322,论文 指导 一个 本科生 为什么 没见 不发 那么 怀疑 一发 相信 二本 医学院 什么 实验 环境 大牛 导师 博士 这个 要是 这么 天赋 异禀 高考 考个 大学 考研 只考 二十年 书牛 人大 咖怪 各种 人见 样本 足够 就是 笔试 不行 面试 超牛 天才,1
323,协和 样子 糊弄人 竟然 大家,1
324,学医 费钱 将来 孩子 去学,1
325,公开 面试 录像 谢让 大家 究竟 多牛 临场 表现 差距,1
326,博士 毕业 要是 发分 文章 谢天谢地 这种 学生 哪里 喜欢,1
327,复试 逆袭 非常 现在 研究生 注重 初试 成绩 只是 门槛 问题 造谣 可恶,1
328,所以 现在 就是 一群 法盲 学霸,1
329,叽里咕噜 官方 声明,1
330,造谣 人会 你们 串通,1
331,一个 在读 博士 不是 同一个 领域 觉得 sci 已经 不错 多少 硕士 不了 知道 一群 各种 阴谋论,1
332,我们 拥有 逐渐 接受 寒门 难出 贵子 事实 普通人 获得 一点 成就 所有人 怎么 如果 地位 财富 学识 名声 不配 甚至 清白 诋毁 视作 理所应当 作为 还要 拼了命 争取 什么,1
333,这些 过线 希望 同学 搞乱 心态 各凭本事 录像 就是 最棒 反思 为什么 舆论 心里 不能 健康 一点,1
334,复试 疑问 一共 几个 考生 相比 这么 多分 机会 参加,1
335,公布 面试 不用 只用 腊梅 大家 怎么 不及格,1
336,英语口语 面试 还要 英语 怎么 突然 那么 厉害 另外 似乎 不会,1
337,应该 成绩 领先 面试 重点 复试 笔试 刚好 总分 差距 不会 那么 可能 大家 几分 一个 另外 不到,1
338,糖果 看到 两个 牛人分,1
339,面试 评分 标准 平口 不是 内定,1
340,笔试 面试 人家 需要 这个 事情 考研 你们 接受 不了 现在 教师 资格证 公务员 事业单位 这样 考教资 分高 难道 好多 压线 那份 应对 自如 能力 综合 考虑 自己 人才 承认 优秀 很难,1
341,典型 论文 时代 教育 评价 改革 意义 何在,1
342,优秀 人家 确实 只能 两个 一起 希望 一个 同学 结果,1
343,各种 小说 爱看 逆袭 段子 生活 出现 质疑 幸亏 家境 不好 不然 跳进 黄河 洗不清,1
344,第一名 没有 重要 第二名 如果 面试官 面试 初始 印象分 就算 论文 表现 一般 不及格 可是 这位 学位 评审 专家 平均分 及格线 文章 科研 能力 优秀 我们 承认 但是 不能 看不到 导师 为了 底下 或许 愤慨 根源,1
345,由此可见 公平 对待 声色犬马 得利 风气 多么 深入人心,1
346,衷心祝福 陈鑫 同学 考研 成功 前途 似锦 加油,1
347,文章 发出 一篇 体现 工作量 如果 不是 家徒四壁 如何 自证 清白 真是 想要 高质量 除了 以外 还有 很多 其他 无法 这样 并不比 考研 付出 同学 值得 这个 录取名额 拥抱 即将 到来 研究 生活,1
348,造谣 诽谤,1
349,儿子 声明 香草 闪电,1
