评论内容,fenci
我真的超喜欢这个柜子呀！很不错的房间，像是在家里一样，还有洗衣机，超级棒,喜欢 柜子 不错 房间 像是 洗衣机
房间不错，主要是位置合适，去五一广场商圈很近。从窗户望出去，视野很好，孩子比较喜欢。,房间 不错 位置 合适 商圈 窗户 视野 孩子 喜欢
房间很干净，空调凉快，还有智能小度，距离市中心也近，体验感不错,房间 干净 空调 凉快 智能 小度 距离 市中心 体验 不错
客服很有耐心，而且办事效率超高,客服 耐心 办事效率 超高
很舒心，第二次入住,舒心 入住
非常满意，客服非常细心 设施：新颖 卫生：整洁 环境：舒适 服务：非常好,满意 客服 细心 设施 新颖 卫生 整洁 环境 舒适
非常好，房间舒服，很安静，电器都很好很新，卫生得好,房间 舒服 电器 卫生
很干净，里面的家具电器都很新，超级棒,干净 家具 电器
地理位置不错，房间也很干净，边上就有颐而康，来长沙怎么能不选择,地理位置 不错 房间 干净 选择
在五一广场商圈，好评。值得推荐！,商圈 好评 值得 推荐
入住方便，空间大。周边好多店，购物和饮食很方便。,入住 空间 购物 饮食
房间很好 老板也很好，离地铁大概走七八分钟左右，适合和朋友们来住,房间 老板 地铁 适合 朋友
很不错适合家庭出游，离中心街很近,不错 适合 家庭 中心
酒店特别好特别干净特别舒服,酒店 干净 舒服
位置个人觉得还是可以，周围500米就有二家茶颜悦色，3公里范围内有拨子街，太平街，五一广场，文和友，楼下二楼是俏二烧烤，半夜也可以撸串，设施的话，个人觉得床太硬，夜景感觉没啥，冰箱阿姨没有清理里面，洗衣机个人建议看是否需要按一定时间洗衣机清洗内部，投影的话，我打开超出屏幕了，基本用不到，隔音效果,位置 拨子 文和友 二楼 烧烤 撸串 设施 夜景 感觉 冰箱 清理 洗衣机 建议 时间 洗衣机 清洗 投影 打开 超出 屏幕 不到 隔音 效果
房间和图片里的一样，一家人都非常喜欢，酒店位置也很容易找到，楼下也有便利店，去五一广场坐车也很方便，职员也很有礼貌，因为来不及在退房时间前回到去，也可以让我们延迟一点退房，服务态度非常值得赞赏！,房间 图片 一家人 喜欢 酒店 位置 找到 便利店 坐车 职员 礼貌 退房 时间 回到 延迟 退房 服务态度 值得 赞赏
房间不错，住的舒服☺️,房间 不错 舒服
不建议住，还是住酒店好，！环境不怎么好,建议 酒店 环境
位置非常好,位置
可以的，交通便利,交通 便利
环境特别好！住宿很满意！,环境 住宿 满意
网上订的3间房，开盲盒好惊喜间单人床，2间复式双人床，卫生很干净，马桶超级智能，双人房间住了5个人都可以，房间很大，老板人非常贴心，有问题都可以微信解决，这里交通很方便，去橘子洲，五一广场，国金中心都超级方便，我租了个电动车就可以到，,间房 开盲 惊喜 单人床 复式 卫生 干净 马桶 智能 双人 房间 房间 很大 老板 贴心 解决 交通 国金 中心 电动车
房间很不错，一家四口住很舒服，两张床都很大，床品很卫生，在张家界过来衣服都换差不多了，入住就有洗衣机可以洗衣服，太方便了，茶颜悦色外卖送到家 ，不用排大长队，离着五一广场步行也就10几分钟吧，地铁站500米！,房间 不错 舒服 两张床 很大 床品 卫生 衣服 入住 洗衣机 洗衣服 外卖 送到 不用 排大 长队 步行 地铁站
没入住前很期待，入住后，发现值不了那个价格。 设施一般，尤其是空调，一点都不冰，二楼两个房间就一个空调，关键还不凉快。开到16度风强劲，那声音像台风一样呼呼的……,入住 期待 入住 发现 价格 设施 空调 不冰 二楼 房间 空调 关键 凉快 开到 强劲 声音 呼呼
住的很舒服，很温馨，和老公一起出行，他晚上10点就睡了一觉到7点，我是十二点睡的一觉到7点，睡的很舒服，平时我是很容易醒的，在这里很放松，很舒适。,舒服 出行 觉到 觉到 舒服 放松 舒适
房间很好，很喜欢的房型，有茶台和榻榻米，服务也很好，还有智能马桶。卫生也很干净，关键服务好，因为带着小孩，所以还允许我免费延时退费。特别适合亲子住，强烈推荐。,房间 喜欢 房型 茶台 榻榻米 智能 马桶 卫生 干净 关键 小孩 退费 适合 亲子
房间跟预订图片是一样的，两个人住很方便。地理位置很好，离地铁站也不远，走路10分钟，离市中心也很近，骑个小车车就能到黄兴广场，非常方便。,房间 预订 图片 地理位置 地铁站 走路 市中心 小车 广场
在市中心比较好的位置的民宿，适合情侣出游。不过服务基本没有（可能民宿都这样），其他整体来说还是很不错的，在长沙市中心能够花这个价钱住到，值得推荐,市中心 位置 民宿 适合 情侣 民宿 整体 不错 中心 价钱 值得 推荐
服务非常好。适合一家四口出行。很哇塞！位置也好，周边有很多有特色的小吃，也有适合我们吃不了太辣的杀猪粉，强烈推荐，好吃，好吃，非常好吃！,适合 出行 位置 特色 小吃 适合 太辣 杀猪 好吃 好吃 好吃
卫生就那样吧，老污渍比较多，房间的垃圾需要自己收了丢掉。淋浴的地方跟马桶那边少了个隔断。楼下便利店很方便，去周边玩的地方也很方便。,卫生 污渍 房间 垃圾 丢掉 淋浴 地方 马桶 隔断 便利店 地方
房间干净卫生，比较新，离地铁口，商业街，国金都很近出行很方便！超级满意，订到比较哇塞的酒店 已经推荐要来长沙的小伙伴了,房间 干净 卫生 地铁口 商业街 国金 出行 满意 酒店 推荐 小伙伴
总体感觉还不错！服务态度很好也可以及时回复！设施基本齐全！但是地段不太近五一广场还是有一点距离的！楼下几百米内没什么大型超市之类的东西,总体 感觉 不错 服务态度 回复 设施 地段 距离
酒店位置很方便，离芙蓉广场5号出口步行大概七八分钟。全程线上入住退房，特别方便。酒店的房间干净，床睡得很舒服。推荐入住！,酒店 位置 芙蓉 广场 步行 全程 入住 退房 酒店 房间 干净 舒服 推荐 入住
环境：位置很好找，停车很方便。周边方便吃吃喝喝服务：管家比较周到，回复及时卫生：还可以，浴室还配有宝宝金水，很细心,环境 位置 好找 停车 管家 周到 回复 卫生 浴室 配有 金水 细心
房间挺好的，一家人或三五好友出来旅游居住很合适。服务态度也很棒很及时回应。位置出去游玩很方便，走出去500米就是地铁站。,房间 一家人 好友 居住 合适 服务态度 很棒 回应 位置 游玩 地铁站
老板人很好，房间楼上楼下的空调都很给力，离地铁站很近，出行比较方便。楼下有便利店，路口有早点铺还有好多家餐馆。,老板 房间 楼上楼下 空调 地铁站 出行 便利店 餐馆
房东非常和蔼、大中午外面排队买茶颜，延迟一丢丢退房，二话没说，就答应了，态度非常好。值得推荐的名宿。,房东 排队 买茶 延迟 退房 答应 态度 值得 推荐 名宿
酒店房间设施齐全，环境好，客服小姐姐也很耐心很好！很不错的一家店，下次来长沙也会选择住这家店。,酒店 房间 设施 环境 客服 耐心 不错 选择
房间干净整洁，出行很方便，离地铁口近，去五一广场打的坐地铁都很快。晚上回来路边有很多夜宵摊。,房间 干净 整洁 出行 地铁口 回来
卫生：干净 服务：客服能够及时回复信息 设施：交通便利 环境：视野开阔,卫生 干净 客服 回复 信息 设施 交通 便利 环境 视野 开阔
环境：高级设施：完善服务：建议提前下高铁前致电客服。,环境 设施 完善 建议 提前 高铁 致电 客服
服务人员缺乏主动性，入住都是到了楼下联系了才知道住的房间，而且和预订信息不符合,人员 缺乏 入住 房间 预订 信息 符合
房间整体整洁明亮，可以看城市夜景，有晾衣架衣服撑子，周边交通便捷，生活方便,房间 整体 整洁 明亮 夜景 晾衣架 衣服 撑子 交通 便捷
房间挺好的，服务也不错，线上办理入住和退房真的是社恐福音了,房间 不错 办理 入住 退房 社恐 福音
总体来说还可以吧，无接触办理入住，交通比较方便，地铁口走过去5-6分钟路程,总体 接触 办理 入住 交通 地铁口 路程
卫生：很好， 设施：房间设备齐全 环境：楼下就是公交车站，离米粉街就几百米,卫生 设施 房间 环境 公交车站
房间也还可以，自助式公寓还不是很适应，暑假高峰期阿姨打扫有点含糊,房间 公寓 高峰期 打扫 含糊
距离地铁站步行还是有十来分钟，房间设施也对得起这个价格,距离 地铁站 步行 房间 设施 对得起 价格
房间很新，唯一不足的是希望二楼矮有尖头的贴上防撞条！,房间 希望 二楼 尖头 贴上
位置很好找，交通很方便，房间环境好，住得很舒服,位置 好找 交通 房间 环境 舒服
房间整洁干净，出行超方便，投影电视孩子放心看,房间 整洁 干净 出行 投影 电视 孩子 放心
距离五一广场和国金中心还是有点距离，其他都很棒,距离 国金 中心 距离 很棒
就是入住前最好打电话问一下，自助住房没有前台的,入住 自助 住房 前台
满意的，店主人也很好。长沙之旅很愉快～,满意 店主人 愉快
房间很满意～楼下购物很方便，离五一广场也很近～,房间 满意 购物
房间很好！空调很给力！周边附近逛街打卡很方便,房间 空调 逛街 打卡
设施：很好 卫生：很好 环境：很好 服务：很好,设施 卫生 环境
住的非常舒服。非常不错的体验，离国金中心也很近,舒服 不错 体验 中心
房间 环境 卫生方面需要加油 出行方便,房间 环境 卫生 加油 出行
房间很舒服，跟家里差不多。附近交通也方便,房间 舒服 交通
特别好！有家家里的感觉！睡得很安稳,感觉 安稳
服务：很好 卫生：很好 设施：很好,卫生 设施
很满意，干净卫生整洁温馨，家的感觉。,满意 干净 卫生 整洁 感觉
房间宽敞明亮 设施完善，很棒的体验,房间 设施 完善 很棒 体验
房间风格很不错，很平净，往得很舒服！,房间 风格 不错 平净 舒服
离地铁站有点距离，无接触入住,地铁站 距离 接触 入住
好好好很好的啦卫生也好满意的,卫生 满意
位置很好、楼下便利店吃饭的地方都有,位置 便利店 吃饭 地方
干净整洁，环境安静，店家热情周到,干净 整洁 环境 店家
适合多人出行居住，比较经济吧,适合 出行 居住 经济
房间真的很好，干净整洁，价格美丽,房间 干净 整洁 价格
房间不错，干净，空调也很给力,房间 不错 干净 空调
风格的房间很有情调,风格 房间 情调
没有没有没有，客服态度很好,客服 态度
设施：好 卫生：非常干净,设施 卫生 干净
环境：很好，装饰很清新,环境 装饰 清新
很棒！值得推荐的一家民宿。,很棒 值得 推荐 民宿
挺好的，服务态度很好。,服务态度
住的还行 装修喜欢,还行 装修 喜欢
挺好也住这舒服干净,舒服 干净
还不错很有感觉 很温馨,不错 感觉
很好，就是停车收费。,停车 收费
出行方便，总环境还可以,出行 环境
服务态度好，环境一般般,服务态度 环境
口碑评分与实际情况不符,口碑 评分 情况 不符
房间很干净，服务很好,房间 干净
酒店环境好，卫生干净,酒店 环境 卫生 干净
非常好 干净整洁舒适,干净 整洁 舒适
房间很棒，出行方便,房间 很棒 出行
卫生干净 安静舒适,卫生 干净 舒适
房间很好的，推荐。,房间 很好 推荐
房间很干净也很安静,房间 干净
环境好，卫生好,环境 卫生
体验感超赞 棒棒的,体验 超赞 棒棒
感觉刚刚装修好。,感觉 装修
房间干净舒适,房间 干净 舒适
干净，安静，舒适,干净 舒适
已住，还不错,不错
距离步行街很近,距离 步行街
住的很不错,不错
服务很不错,不错
不错不错不错,不错 不错 不错
非常好很满意,满意
体验感很好,体验
住房体验好,住房 体验
老板人很好,老板
民宿离黄兴广场很近，走路十分钟就到，楼下有超好吃的粉店，还有几家酒吧，房间很干净，设施齐全，还有小爱同学可以调戏 前台小姐姐服务态度超好，回复很快，有问必答，临走时提了一点小建议，还给发红包！很满意的一次住宿,民宿 广场 走路 好吃 粉店 酒吧 房间 干净 设施 同学 调戏 前台 服务态度 超好 回复 建议 还给 满意 住宿
民宿在一个古街里面，真的是很有市井气息的一条古街，环境确实还蛮不错的，个人蛮喜欢的，前台小妹妹也很热情，有问题问她都回复的很快，晚上的五一广场真的很热闹，不愧是不夜城，推荐来这个民宿。,民宿 市井 气息 环境 确实 不错 喜欢 前台 热情 回复 热闹 不愧 推荐 民宿
民宿地理位置很好，离黄兴步行街很近，去哪都方便，房间隔音还不错，楼下是酒吧一条街，晚上听着还好，前台小姐姐人特别好，有什么问题都可以及时解决，提前帮我开了空调，还给我点了茶颜悦色，真的爱了。我们还定了一间隔壁的电竞房，性价比也挺高的。,民宿 地理位置 步行街 房间 隔音 不错 酒吧 一条街 还好 前台 解决 提前 空调 还给 还定 竞房 性价比
设施：五星卫生：五星环境：五星服务：五星我的运气太好了！无意间在携程看到这家民宿真的很不错小姐姐人美又非常，好温柔的，太暖了吧！各种推荐都很好吃！这条街真的很爱，还没坐下喝一杯就要走了！下次还来！,设施 卫生 环境 运气 携程 民宿 不错 温柔 推荐 好吃 坐下 喝一杯
房间干净，服务周到，很贴心的发信息介绍了周边的老字号和网红店。 民宿在都正街里，购物吃饭都很方便。需要注意的是房间有临街的，对声音要求高的建议和店家提前沟通一下。 距离黄兴广场、坡子街、五一广场（其实都连成一体了）步行5分钟，方便至极。街里就有一家茶颜悦色,房间 干净 贴心 信息 介绍 老字号 红店 民宿 正街 购物 吃饭 房间 声音 建议 店家 提前 沟通 距离 广场 坡子 一体 步行 至极
房间整体风格很喜欢，负责办理入住的小姐姐也贼好，推荐吃的实惠的有什么好吃老字号的店，很贴心。我们定的房间由于热水器有问题在维修还主动帮我们升级了一个带有小阳台的房间。整体来说都很好。,房间 整体 风格 喜欢 负责 办理 入住 推荐 好吃 老字号 贴心 房间 热水器 维修 带有 阳台 房间 整体
设施：小米智能家居，调戏了很久小爱同学。 卫生：没毛病。 环境：在一个比较有韵味的仿古巷子里，整体来说没有特别吵，挺多游客住在这边。 服务：挺好的，前台小姐姐很热情，会发消息告知天气，会推荐附近网红饭店和美食。,设施 小米 调戏 同学 卫生 毛病 环境 韵味 巷子 整体 游客 前台 热情 发消息 告知 天气 推荐 网红 饭店 美食
老板很好，好吃的好玩的都告诉我们，位置也很好啊，闹中取静，去哪里都方便，旁边还有好几个网红店，以后再去还会优先选择,老板 好吃 好玩 告诉 位置 网红店
挺好的，看电视也是，网速也快，附近的扶记小吃，盟重烧烤，虾小龙，周记面馆都试了，味道都很好，下次来长沙还住这。,看电视 网速 扶记 小吃 盟重 烧烤 周记 面馆 味道
房间很舒服，附近很多小酒馆，尤其隔壁的那家氛围很好，民宿就在巷子进去20米，很好找。,房间 舒服 小酒馆 氛围 民宿 巷子 好找
房间干净，老板人很好非常热情。第一次去长沙老板好长沙的好吃的都会告诉你。酒店位置方便去哪都不远，离地铁不远。酒店楼下就是老街,房间 干净 老板 热情 老板 好吃 告诉 酒店 位置 地铁 酒店 老街
交通方便，四通八达。楼下就是都正街美食一条街，住宿也舒适。老板人超，是很好的住宿体验。,交通 正街 美食 一条街 住宿 舒适 老板 很好 住宿 体验
房间 地理位置优越，服务很到位 热门的商圈徒步可达，还推荐周边吃的商埔 ，会推荐朋友入住的。,房间 地理位置 优越 到位 热门 商圈 推荐 推荐 朋友 入住
房间很大，服务很到位，会推荐周围好吃的，离五一广场很近，晚上很热闹，地理位置优越，会推荐朋友的，挺好,房间 很大 到位 推荐 好吃 热闹 地理位置 优越 推荐 朋友
很好的体验，出行很方便，猫猫很可爱✌️,很好 体验 出行 猫猫 可爱
不错，古色古香民宿，周边小吃特别多，非常方便,不错 古色古香 民宿 小吃
性价比非常高的民宿，位置很方便 热门商圈徒步可达，楼下一百米就有不排队的茶颜悦色,性价比 民宿 位置 热门 商圈 排队
位置好，方便！环境不错，服务也好！,位置 环境 不错
适合年轻人住的地方，晚上楼下有酒吧，可以玩到两三点,适合 年轻人 地方 酒吧
