评论内容,fenci
房间卫生干净利落整洁 小哥哥服务态度特别好 下次来长沙还会来,房间 卫生 干净利落 整洁 服务态度
太棒啦！！很出片！！,太棒
不错，交通挺方便。干静,不错 交通 干静
民宿很有风格，有格调，闹中取静，很舒服，一楼的咖啡馆也特别适合打卡拍照，每天都很多小姐姐拍照，下次不忙的时候一定要在这里喝杯咖啡好好休息一下。,民宿 风格 格调 舒服 一楼 咖啡馆 适合 打卡 拍照 拍照 喝杯 咖啡 休息
推荐推荐这家民宿，喜欢拍照的小姐姐这在这里，处处出片，隔壁的店铺很多潮牌店，最喜欢民宿门口的玩偶，好特别！房间的大浴缸，智能马桶，戴森吹风机，高级感满满。,推荐 推荐 民宿 喜欢 拍照 出片 店铺 潮牌 喜欢 民宿 玩偶 房间 浴缸 智能 马桶 吹风机 满满
位置好逛吃都方便、装修好是网红打卡地、服务卫生也都不错。 小插曲阳台锁有点问题，反映了一下，态度挺好给解决了。 还会再次入住。,位置 装修 打卡 卫生 不错 插曲 阳台 态度 解决 入住
位置绝佳，吃饭，逛街，打车，地铁都非常方便。非常适合带闺蜜来拍拍拍，房间很整洁干净，再来长沙还会选择。,位置 吃饭 逛街 打车 地铁 闺蜜 拍拍 房间 整洁 干净 选择
住宿很安静，还配备了戴森吹风机，真的不错,住宿 配备 吹风机 不错
赞 房间采光、房间面积、住宿安全、蚊虫治理、地段、性价比令我满意；环境特别好，服务也很耐思,房间 采光 房间 面积 住宿 蚊虫 治理 地段 性价比 满意 环境 很耐思
就在潮宗街上，位置优越，五一、黄兴步行街、太平老街都在附近，楼下是咖啡厅，楼上是民宿，房间虽不大，但设备齐全，有免治马桶、戴森吹风机，尤其洗发水和冲凉液特别香。由于未到入住时间，员工亚鹏让我存放行李，结果不到半小时就通知可以提前入住，帮忙提行李之余还介绍长沙很多好玩好吃的，亚鹏真的很热心、服务周全。 离民宿5分钟的万达广场里有一个不错的泰式按摩，去长沙四天就按了两天，环境和技师一流。,潮宗 位置 优越 步行街 老街 咖啡厅 民宿 房间 免治 马桶 吹风机 冲凉 入住 时间 员工 存放 行李 不到 通知 提前 入住 帮忙 行李 介绍 好玩 好吃 热心 民宿 广场 不错 按摩 环境 技师 一流
房间装修风格真的超级喜欢，设施也很新！洗衣服做饭什么的很方便，很适合情侣出游。地理位置优越，交通方便，靠近地铁站，距离市中心也不远。旁边就有购物中心，茶颜悦色和一些餐馆。总之非常愉悦的入住体验！,房间 装修 风格 喜欢 设施 洗衣服 做饭 适合 情侣 地理位置 优越 交通 靠近 地铁站 距离 市中心 购物中心 餐馆 愉悦 入住 体验
住了三个房型，第一天摩卡第二天琉白，第三四天 晨汐，这里的每个房型名字都好好。房间基本跟照片一致，都很好看，床很舒服！！！民宿离地铁站很近，出行比较方便，楼下润和广场那里就有一个小夜市，好像会营业到晚上十一点多十二点这样，那里有一个卖啤酒的摊档，荔枝海盐味和百香果味很好喝哈哈哈哈哈！去四方坪夜市也很近，还是比较方便的！小姐姐服务态度都很好，很贴心！下次去长沙还是选择这里哦！,房型 晨汐 房型 名字 房间 照片 好看 舒服 民宿 地铁站 出行 广场 夜市 好像 营业 啤酒 摊档 荔枝 海盐 百香果 好喝 夜市 服务态度 贴心 选择
来到长沙住过的最舒服的民宿，体验感真的是很棒 很适合拍照，很温馨，还有个超大的投影，可以说是体验感拉满了，观影效果也是拉满了,来到 民宿 体验 很棒 适合 拍照 超大 投影 体验 拉满 观影 效果 拉满
房间干净、漂亮。适合拍照呀、落地窗好有感觉。距离地铁站五分钟路程、超方便。楼下有夜市、茶颜悦色、各种小吃。,房间 干净 漂亮 适合 拍照 落地窗 感觉 距离 地铁站 路程 夜市 小吃
旁边就有茶颜悦色，酒店不错，性价比高，挺好,酒店 不错 性价比
房间很好看 就是我们两个人住有点浪费了 住四个人刚好！楼下茶颜 罗家臭豆腐 小龙虾什么都有 还不用排队 就是卫生可以再搞得好一点！离地铁站步行10分钟左右 去五一广场就几个站 很方便啦～下次去还会住这里！,房间 好看 浪费 臭豆腐 不用 排队 卫生 地铁站 步行
非常好看的房间，干净明亮。超级喜欢。小姐姐人也很好，楼下就是商场，买东西也很方便。值得推荐，跟照片一样不踩雷,好看 房间 干净 明亮 喜欢 商场 值得 推荐 照片
卫生条件非常差、卫生间墙上遗留上位顾客的头发很多在墙上、特别是那个洗衣机里面是真的脏啊！其他的都还行,卫生条件 卫生间 上位 头发 洗衣机 还行
房间和图片差不多，感觉挺干净的，无人自助入住太适合我这种社恐哈哈哈哈,房间 图片 感觉 干净 无人 自助 入住 适合 社恐
环境好，老板服务好，耐心带我选房，细心服务值得推荐,环境 老板 耐心 选房 细心 值得 推荐
这次来长沙还是住的梦，环境很整洁,环境 整洁
挺好的，没住很久不做评论.,没住 评论
房间比较吵 基础设施一般,房间 基础设施
设施：很棒,设施 很棒
超级超级好的装修,装修
很好干净卫生,干净 卫生
哎呦，不错哦,不错
非常值得推荐,值得 推荐
很舒适，干净,舒适 干净
环境非常好,环境
"位置方便近地铁,楼下已有夜市,非常热闹.",位置 地铁 已有 夜市 热闹
房间设施很好！很齐全！真的很好！老板人超好！特别温暖～下回来长沙还住大梦～有朋友来也会推荐～谢谢老板让我在陌生的城市感觉到温暖～房间也很漂亮～因为这几天身体不舒服没顾上拍好看的照片～大家真的可以放心冲～,房间 设施 老板 超好 温暖 回来 朋友 推荐 老板 陌生 感觉 温暖 房间 很漂亮 身体 舒服 没顾 好看 照片 放心
很新的大厦，位置离地铁站有点距离，但不远，拉行李箱走路几分钟就到，装修都很新，可以洗衣服，有冰箱，很方便，就是卫生间是不是应该有个挡水帘会更好些,大厦 位置 地铁站 距离 行李箱 走路 装修 洗衣服 冰箱 卫生间 水帘
房间舒适，干净，管家管理比较到位，有什么信息及时告知，服务比较到位。位置比较好，晚上休息也不吵，值得一家人入住。,房间 舒适 干净 管家 到位 信息 告知 到位 位置 休息 值得 一家人 入住
房间跟图片上一样，收拾得很干净，冰箱洗衣机都有，全自助入住社恐友好，高层还安静，附近就是米粉街，离五一广场也不远，很棒的入住体验！,房间 图片 收拾 干净 冰箱 洗衣机 自助 入住 社恐 友好 高层 很棒 入住 体验
确实不错，就是早上有装修的声音 而且位置特别方便 适合朋友结伴 很不错的哦 大家勇敢冲，而且旁边的有个书屋特别不错,确实 不错 装修 声音 位置 适合 朋友 结伴 不错 勇敢 书屋 不错
第一次住民宿，体验感很不错的民宿。室内格局非常喜欢，窗外视野非常好。老板人很，无接触入住，但是服务很赞。总之，非常推荐哦。下次来长沙还入住大梦。,民宿 体验 不错 民宿 格局 喜欢 视野 老板 接触 入住 推荐 入住
酒店整体还是不错的，坐地铁的地理位置就是去哪都不远，晚上不热步行去五一广场或者都还不远，楼下也有小超市啥的，挺方便,酒店 整体 不错 地理位置 步行 超市
小姐姐很贴心 因为火车到的早 两点之前就到啦 但上一间房客还没有退房 本以为要拖着行李到处走了 没想到小姐姐了解情况之后帮我提前办理其他房间的入住 真的超级感动 入住期间热水壶坏掉了 然后小姐姐立马让人快递了一个新的 服务态度嘎嘎棒！！很愉快的一次体验,贴心 火车 退房 行李 情况 提前 办理 房间 入住 感动 入住 水壶 坏掉 快递 服务态度 愉快 体验
房间布局合理温馨，有回家的感觉 卫生：清洁卫生，如果有一次性马桶垫就更好了 设施：房间虽小，设施齐全 环境：生活方便，楼下有便利店烧烤 服务：周到，及时，有问题及时解决,房间 布局合理 回家 感觉 卫生 清洁卫生 马桶 设施 房间 设施 环境 便利店 烧烤 周到 解决
民宿位置出行方便，房间设施齐全，卫生干净，服务很好，真心推荐给大家，住着非常舒服！,民宿 位置 出行 房间 设施 卫生 干净 推荐 舒服
房间在市中心的位置，去五一广场 橘子洲头都很近很方便，全自助入住，环境不错，楼层高，可以看到长沙夜晚的样子,房间 市中心 位置 自助 入住 环境 不错 楼层 样子
酒店在五一广场附近，去周边都好方便～房间超级漂亮，有我最爱的榻榻米和飘窗～房间干净舒服 下次来还住这个！,酒店 房间 漂亮 最爱 榻榻米 房间 干净 舒服
房间很漂亮而且很大 离二号线很近 客服姐姐超级好 有问题都会及时回并帮忙解决 住得很开心 下次来长沙还会选这里的^^,房间 很漂亮 很大 二号线 客服 姐姐 回并 帮忙 解决 开心
很干净，环境也非常好，招待的电话也很及时哦。很靠近中山亭，不错,干净 环境 招待 电话 靠近 不错
位置好，环境不错，复式结构很舒服 缺点：自助服务，厕所未干湿分离,位置 环境 不错 复式 结构 舒服 缺点 自助 厕所 干湿 分离
提前跟房东预约开房，凭密码进入，房间非常干净，两张双人床还有大飘窗和投影，非常舒服干净！,提前 房东 预约 开房 密码 房间 干净 投影 舒服 干净
觉得还好了。,还好
房间非常干净，环境很好，设施齐全，服务周到，飘窗可以看到远处繁荣的夜景,房间 干净 环境 设施 繁荣 夜景
卫生很干净，房东服务也很好， 环境也很舒服，下次来长沙首选还是这家,卫生 干净 房东 环境 舒服 首选
开车过去半夜啦，幸好没踩雷 环境很满意，提供几张实拍图 供大家参考,开车 幸好 环境 满意 提供 实拍 参考
真的很舒服，干干净净，啥都齐全（使用者原因有点乱）,舒服 使用者 原因
房间很喜欢,房间 喜欢
公寓的地理位置尚可，周边都是长沙的旅游景点，设施配套比较齐全。由于我没有提前预订，所以第一天晚上预订的还挺满意的，但是第二晚客服小姐姐给我换了一间麻将室，比上一间差多了，卫生间极小，沙发和飘窗也比较脏，吹风机还是坏的，但是客服小姐姐连夜订了外卖送了个新的，好评！,公寓 地理位置 旅游景点 设施 配套 提前 预订 预订 满意 客服 麻将 卫生间 吹风机 客服 外卖 好评
环境不错，很方便,环境 不错
离地铁近，楼下有家俏孙二娘烧烤，味道不错，就是有点辣,地铁 烧烤 味道 不错
没有前台，需要添加店家微信拿开门密码。距离五一广场走路约10–15分钟，楼下还有个酒吧。配有洗衣机这点方便。和别的住客感觉一样，淋浴处没有门或者帘子，洗完澡厕所里都是水，而且淋浴的地面不是防滑瓷砖，如果是小孩和老人家要特别注意。,前台 添加 店家 微信 开门 密码 距离 走路 酒吧 配有 洗衣机 住客 感觉 淋浴 帘子 洗完 厕所 淋浴 地面 防滑 瓷砖 小孩 老人家
民宿的位置超棒的，地铁二号线5号口出来走几百米就能看到一个特别高的楼写着“阳光檀悦”，进去之后里面很气派很多电梯根本不用挤电梯!周围的交通无论是公交还是打车都很便利，而且下楼往外走还停着很多共享电动车!出行尊的很方便就是说因!然后楼下就是便利店，出门还有早餐店啊 水果店，进去之后感觉特别温馨，很干净很好看 随便拍拍都巨好看!里面有洗衣机冰箱投影仪各种应有尽有，就是说真的很棒!!楼上的床超级舒服，楼下的沙发和窗台那 都超级软，晚上在二楼一楼看窗外的夜景也是别有一番风味!早上窗帘一拉太阳直接晒进来真的很有感觉!然后住的地方离五一广场也超近的可以选择坐地铁过去但是完全没必要走走路就可以到五一广场坡子街长沙美食城太平街…(这些打卡的地方都在一块)在这里要特别感谢房东，他真的超级超级好!很细节，也很有耐心的回答你问的问题，会为你解决你的问题，作为游客对地理情况完全不了解的情况下，他会提前发给你各种交通工具来住宿地方的路线，还有图片指引!会在你问去五一广场怎么逛之后给你画路线告诉你怎么样可以一次性全部逛完这些地方。下次来还要住这里~,民宿 位置 超棒 地铁 二号线 号口 气派 电梯 不用 电梯 交通 公交 打车 便利 下楼 共享 电动车 出行 便利店 出门 早餐 水果店 感觉 干净 好看 拍拍 好看 洗衣机 冰箱 投影仪 很棒 舒服 窗台 二楼 一楼 夜景 风味 窗帘 感觉 地方 超近 选择 走路 坡子 打卡 地方 房东 细节 耐心 回答 解决 游客 地理 情况 情况 提前 住宿 地方 路线 图片 指引 路线 告诉 地方
很满意，三个人住刚好,满意
这次的长沙之行很满意，住的很满意，房间设施很新，卫生干净整洁，房间是跃层式，所以空间比较大，不拥挤。服务员态度很好，我们原先住的房间无线网有问题，服务员很快帮我换了一间房，离开长沙的当天我们买的下午车票，中午退房，服务员又帮我们解决了行李存放问题。让我们晃着两膀子去太平老街吃吃喝喝，到了离开时间再去提着行李走人。,满意 满意 房间 设施 卫生 干净 整洁 房间 跃层 空间 拥挤 服务员 态度 房间 无线网 服务员 离开 车票 退房 服务员 解决 行李 存放 膀子 老街 离开 时间 提着 行李
很不错的房间,不错 房间
非常蛮意的一次住宿，卫生非常干净，设施也非常的齐全，一进门就有家的感觉，老板也非常好，火车到得比较早，房间空出来了还让我们提前入住了，下楼出行也非常的方便，到五一广场等各个打卡地都非常近,蛮意 住宿 卫生 干净 设施 进门 感觉 老板 火车 房间 提前 入住 下楼 出行 打卡 地都
梦中情舍谁懂！！出去玩了一天累的要命，晚上回到心满意足的住处感觉整个心情都再次愉快起来 复式的设计真的好棒！！我和好朋友们都一致喜欢！！晚上如果不是特别累，在一楼看投屏的电影，桌子上摆上烧烤，姐妹们一起坐在沙发上 太满足了！！下次还住！！,情舍 出去玩 要命 回到 住处 感觉 心情 愉快 复式 朋友 喜欢 一楼 投屏 电影 桌子 摆上 烧烤 姐妹 坐在
总体不好，不推荐入住，原因如下设施：加热式电热水器，需要等半小时以上第二个人才敢洗澡，怕热水不够卫生：清洁不到位，很多细节卫生很差，而且打开柜子里面的东西扔的乱七八糟，都是些用品补充品。最难接受的是入住期间不提供卫生清洁，比如我连续住2天，他们不提供打扫卫生服务：一般，没有剃须刀，问了也没有,总体 推荐 入住 原因 设施 加热式 电热水器 人才 洗澡 热水 卫生 清洁 到位 细节 卫生 打开 柜子 用品 补充品 接受 入住 提供 卫生 清洁 连续 提供 剃须刀
住宿体验很好，到周边各个地方都挺方便，步行十来分钟都能到。楼下右手边也有共享电车停车点，扫码想去哪去哪，下次来长沙还选这家民宿,住宿 体验 地方 步行 右手边 共享 电车 停车 扫码 想去 民宿
地理位置:方便，地铁站附近 设施：齐全 卫生：良好 环境：装修较新 服务：挺贴心的 一家人第一次感觉住的舒适,地理位置 地铁站 设施 卫生 环境 装修 贴心 一家人 感觉 舒适
自助入职、退宿都很方便，房间跟描述一致，交通便利，离地铁站、步行路、国金广场都很近，楼下就有便利店、水果店、药店等,自助 入职 退宿 房间 描述 交通 便利 地铁站 步行 国金 广场 便利店 水果店 药店
干净卫生而且小姐姐真的很好！帮了很多忙，下次来长沙还是会住这边！住的地方去哪都很方便  去五一广场去文和友都很不错,干净 卫生 地方 文和友 不错
非常方便，去哪都近，离地铁口，五一广场，省博步行可达！闹中取静！房间很干净，老板很热情！临走忘记了身份证，也能及时解决了！,地铁口 步行 房间 干净 老板 热情 临走 忘记 身份证 解决
因为是新酒店，所有设施都挺新的，1的床睡着也舒服。店小二特别贴心的帮我解决了行李寄存的问题，感谢,酒店 设施 睡着 舒服 店小二 贴心 解决 行李 寄存 感谢
酒店是全自助的，服务很周到贴心。就是洗手间真的比较小，使用起来不太方便，价格是真的很好 ，可以推荐,酒店 自助 周到 贴心 洗手间 价格 推荐
商家服务周到，很满意的一次入住体验，周边环境非常便利，不远处就有地铁，下次长沙之旅还是会选择到大梦,商家 满意 入住 体验 便利 地铁 选择
地理位置很好，去哪里都很方便，楼下小吃也很多，房间环境也很好，很满意的一次住宿,地理位置 小吃 房间 环境 满意 住宿
环境不错，住着也舒服，地方也比较好找，距离玩的地方出行方便，老板也特别热情，推荐很多攻略，值得推荐,环境 不错 舒服 地方 好找 距离 地方 出行 老板 热情 推荐 攻略 值得 推荐
房间设施很好，入住方便，卫生干净，服务态度很好，是一次非常好的体验。,房间 设施 入住 卫生 干净 服务态度 体验
好～干净整洁 明亮 服务周到 推荐 老板亲切 棒棒,干净 整洁 明亮 推荐 老板 亲切 棒棒
房间很舒服，交通也很方便，客服的服务态度很好，下次来会继续住的,房间 舒服 交通 客服 服务态度
房间很干净 而且位置也很好找，和朋友一起住很方便，楼下的投影仪同样很给力,房间 干净 位置 好找 朋友 投影仪
房间非常不错，离周边景点都比较近，出行很方便，值得推荐,房间 不错 景点 出行 值得 推荐
房间环境卫生都很赞￼，交通也很方便，一次很满意的选择,房间 环境卫生 交通 满意 选择
店家超级好，环境也好，位置也好找，之后去长沙都选这家,店家 环境 位置
卫生是真的很差，位置不错离五一广场很近，客服服务也不错,卫生 位置 不错 客服 不错
房间更好很干净，性价比高，入住退房也很方便，非常满意！,房间 干净 性价比 入住 退房 满意
挺好的，房东态度很好，住在这里离哪里都比较近，很方便～,房东 态度
卫生很好设施很齐全，可以住好多好多人￼￼,卫生 设施
设施：比较新 卫生：干净 环境：舒适 服务：还行,设施 卫生 干净 环境 舒适
靠近五一广场 交通便利 出行方便 管家服务很贴心,靠近 交通 便利 出行 管家 贴心
干净整洁，环境很不错，小孩子很喜欢，,干净 整洁 环境 不错 小孩子 喜欢
房间干净，设施齐全，交通方便，客服态度好！,房间 干净 设施 交通 客服 态度
住着很舒服，而且离哪里都特别近，出行非常方便,舒服 出行
房东非常！房子住的也很舒服！,房东 房子 舒服
设施满意，卫生很好，环境不错，服务到位,设施 满意 卫生 环境 不错 服务到位
房间很温馨有家的感觉，地理位置也不错,房间 感觉 地理位置 不错
不错不错 还可以非常不错！哈哈哈哈,不错 不错 不错
两天入住的非常舒服，下次来长沙还会预订~,入住 舒服 预订
很好环境 非常舒适 出行方便,环境 舒适 出行
房间很大很新，性价比很高,房间 很大 性价比
房间不错，老板服务态度好,房间 不错 老板 服务态度
环境太差了，脏乱差，不建议住,环境 建议
服务超棒 干净卫生！,超棒 干净 卫生
老板人美心善，公寓干净卫生,老板 心善 公寓 干净 卫生
非常不错，很干净！,不错 干净
挺满意的一次住宿！,满意 住宿
楼梯有些陡，设施不新,楼梯 设施
一次满意的住宿体验,满意 住宿 体验
服务很好，值得推荐,值得 推荐
地理位置好，有烟味,地理位置 烟味
还不错，住了两晚,不错
价位性价比都不错,价位 性价比 不错
环境 卫生不错,环境 卫生 不错
满意满意满意,满意 满意 满意
不错不错哦,不错 不错
洗浴间没有玻璃门，洗个澡喷得整个浴室地板都是湿的，受不了,洗浴 玻璃门 喷得 浴室 地板
老板人很好，非常热情贴心，介绍了许多不踩雷的当地美食，楼下的环境也很好，有一种古镇的感觉,老板 热情 贴心 介绍 美食 环境 感觉
地理位置超级方便，离五一黄兴就几步路诶，环境也很棒，还给免费升了房，下次还来,地理位置 环境 很棒 还给
酒店环境十分不错，干净整洁，智能化，交通很方便，往前走是 五一街附近，入住第一天房东小哥哥就把附近的好吃的好玩得发微信给我房东有一只猫咪很可爱。,酒店 环境 不错 干净 整洁 交通 往前走 入住 房东 好吃 好玩 得发 房东 猫咪 可爱
有阳台房间很完美，老板也会介绍周围好吃好玩的地方，服务很到位，值得推荐,阳台 房间 完美 老板 介绍 好吃 好玩 地方 到位 值得 推荐
很棒的民宿哦，房间干净，位置很好，楼下就是都正街，周围全是好吃的。离黄兴广场地铁站也很近，去哪里都很方便。还有可爱的小白猫！,很棒 民宿 房间 干净 位置 正街 好吃 广场 地铁站 可爱 白猫
房间干净整洁，老板还会热心推荐附近好吃的，位置超方便附近小吃很多,房间 干净 整洁 老板 热心 推荐 好吃 位置 小吃
住的可以，关了窗可以安稳入睡，周围离吃的地方都很近,安稳 入睡 离吃 地方
门外就是都正街，非常方便。店里小哥待人很好，住在这里感受到了长沙的舒适,正街 店里 小哥 待人 感受 舒适
民宿位置很好，离五一广场十分钟距离。也挺干净的,民宿 位置 距离 干净
民宿外面环境很好，适合居住，室内整洁,民宿 环境 适合 居住 整洁
在都正街里面，古色古香。店家还有一只白色的小猫咪，软萌萌的。 房间干净，24小时热水，店家会主动问需不需要搞卫生，入住也会发攻略。 离五一广场黄兴广场走路不到10分钟吧，打车也很方便。,正街 古色古香 店家 白色 房间 干净 小时 热水 店家 需不需要 卫生 入住 攻略 广场 走路 不到 打车
周围都很方便，楼下古街很有格调，阳台坐着很舒服,格调 阳台 舒服
酒店位置特别的好，就在闹市中的古风老街里面，楼下各类风格的食肆酒吧鳞次栉比，热闹又文艺。房间隔音很好，基本听不到外面喧嚣的声音。从这里去五一广场、岳麓山、橘子洲头都非常近，太方便了。店主推荐的长沙烧烤扛把子盟重，长沙米粉天花板唯一入了非遗粉店的周记粉店，盖码饭天花板德天顺都是走几步路就到，而且那味道真是地道，长沙不愧是美食之都。因为时间的关系，笨罗卜、鲁哥饭店、光脑壳粉面菜馆、娟娟餐馆、一盏灯等就没去成，留着遗憾下次吧。,酒店 位置 闹市 古风 老街 风格 食肆 酒吧 热闹 文艺 房间 隔音 不到 喧嚣 声音 店主 推荐 烧烤 把子 盟重 天花板 粉店 周记 粉店 盖码 天花板 味道 地道 不愧 美食 时间 关系 饭店 脑壳 粉面 菜馆 餐馆 一盏灯 没去 遗憾
民宿体验非常好，老板很热情也很贴心，会安利你哪家米粉好吃，哪家饭店好吃和几点去排队。民宿位置也很好，楼下虽然有小酒馆但晚上不影响睡眠。离步行街，五一广场都很近，走路就可以到，最主要是对宠物超级友好，超级适合带毛孩子入住。,民宿 体验 老板 热情 贴心 好吃 饭店 好吃 排队 民宿 位置 小酒馆 睡眠 步行街 走路 宠物 友好 适合 毛孩子 入住
实话说，我自己也是做民宿的，订之前觉得图片啥不错，还跟朋友说感觉老板在用心做民宿，但是和我想象有差距，周末去的的，380元左右一晚的价格，房间不算小，但是设施简陋，睡觉是没有问题的，放在床头的马克杯有口红印也是崩的，另外没有矿泉水配，公共区域显得有些破烂和简陋，住了两天，一楼,实话 民宿 图片 不错 朋友 感觉 老板 用心 民宿 想象 差距 价格 房间 不算 设施 简陋 睡觉 放在 床头 口红 矿泉水 区域 显得 破烂 简陋 一楼
第一天入住的时候虽然有个小问题，但是老板很快就给我解决了，而且还主动给我升级了房间。到第二天还想续一晚老板也是给我主动升级了阳台房，棒棒的。店内环境卫生也很好,入住 老板 解决 房间 想续 老板 阳台 棒棒 环境卫生
房间很干净，房东小哥哥很热情，给我们推荐了当地美食和游玩攻略，有什么不懂的都可以随时微信问老板。民宿就在都正老街里面，走几步就有周记粉店、盟重烧烤和扶记小吃货，非常方便！,房间 干净 房东 热情 推荐 美食 游玩 攻略 不懂 老板 民宿 老街 周记 粉店 盟重 烧烤 扶记 小吃
前台免费升了房，智能家居挺舒服，送的香皂是绿茶味，沐浴露和洗发水也挺好闻，床比较舒服，前台也挺热情虽然是小哥哥2333,前台 香皂 绿茶 好闻 舒服 前台 热情
民宿位置很好，去五一广场 潮宗街，橘子洲头打车，地铁都很方便，周围有很多网红小吃店，还有潮牌店，很适合打卡。,民宿 位置 打车 地铁 网红 小吃店 潮牌 适合 打卡
环境非常的干净，也很舒适，全是智能的 的可以听歌，外面晚上也很安静不吵闹，总体来说是一个非常好的体验，下次还会再来,环境 干净 舒适 智能 听歌 吵闹 总体 体验
老板帮忙升级了房间还发来了攻略，体验良好 周围很多好吃的店，好逛好玩,老板 帮忙 房间 发来 攻略 体验 好吃 好玩
民宿地理位置非常好，出行很方便，老板人特别好，非常热心的介绍周边好吃的餐馆。,民宿 地理位置 出行 老板 介绍 好吃 餐馆
民宿位置很好，离黄兴广场和地铁站很近，出门交通便利，老板人也很好，服务很好，很满意,民宿 位置 广场 地铁站 出门 交通 便利 老板 满意
来长沙旅游第二次选择这家民宿了，老板很热情，卫生也很干净，下次在来玩,选择 民宿 老板 热情 卫生 干净
民宿老板非常好！推荐的吃饭的地方都不错！楼底下那条街也可以逛逛！,民宿 老板 推荐 吃饭 地方 不错 逛逛
环境不错很有烟火气息，适合出游居住～店家服务态度也很好,环境 不错 烟火 气息 适合 居住 店家 服务态度
老板人很好，还介绍附近的美食，环境挺不错，下面挺多小吃的,老板 介绍 美食 环境 小吃
地理位置优越 服务态度也蛮好 前台会帮忙提行李,地理位置 优越 服务态度 前台 帮忙 行李
干净卫生舒服，店主很热情帮忙，孩子喜欢跟猫猫玩,干净 卫生 舒服 店主 热情 帮忙 孩子 喜欢 猫猫
像回家一样温馨舒服。智能家居很方便！原木的风格很温馨。,回家 舒服 原木 风格
环境很不错，店家很贴心，下次去还会继续住的,环境 不错 店家 贴心
环境很好，服务态度好。下次还会考虑入住,环境 服务态度 入住
性价比很高，特别适合朋友，情侣出行入住,性价比 适合 朋友 情侣 出行 入住
民宿风格 周围环境都挺好的  老板态度也很好,民宿 风格 挺好 老板 态度
房间干净 服务到位 前台小哥哥人很好,房间 干净 服务到位 前台
房间干净！位置也很棒！离中心地区也很近,房间 干净 位置 很棒 中心 地区
很舒服很安逸～附近吃的也很多很方便,舒服
环境很好，位置很不错，很安静,环境 位置 不错
环境可以的，然后一整条街也很好玩！！,环境 好玩
服务好、环境优美、交通便利,环境优美 交通 便利
房间干净整洁，老板人特别好,房间 干净 整洁 老板
晚上可以到楼下小酒馆坐坐，很不错,小酒馆 坐坐 不错
挺好的。老板人也很奈斯,老板
位置很好 各方面都不错 推荐,位置 不错 推荐
房间很干净，住起来很舒服,房间 干净 舒服
还不错的，附近环境也很好,不错 环境
位置好，方便，店家服务很好,位置 店家
环境很好老板服务很好,环境 老板
不错，老板又挺好,不错 老板
