评论内容,fenci
卫生 位置等都挺好的，但给个建议哈，浴室那里没有格挡门的话，洗澡真的太容易溅出来了。另外不知道是哪里的声音（有点像空调外机的那种），有点点吵,卫生 位置 挺好 建议 浴室 洗澡 声音 有点像 空调 外机 点点
位置很好找，而且客服小哥哥会提前发信息提醒，入住前可以提前联系一下更方便一点。晚上也挺安静的，一点都不吵，房间大但是开一台空调就挺暖和了，携程客服和民宿客服都很耐心解决问题，推荐推荐！,位置 好找 客服 提前 信息 提醒 入住 提前 房间 空调 暖和 携程 客服 民宿 客服 耐心 解决问题 推荐 推荐
地理位置不错，靠近五一广场；里面设施设备齐全。店家还贴心的发了游玩和美食攻略；停车也很方便，需要自费。美中不足的是：1，由于是家用热水器，洗澡半小时就没热水了，需要再等等；2，年前和店家沟通有误，导致第三晚没法继续续住，只好换了另外一家民宿，有点失落！年前订的早，房间价格还挺优惠，年后订，长沙的酒店民宿价格都翻了一倍。总结这是一家不错的民宿！,地理位置 不错 靠近 设施 店家 贴心 游玩 美食 攻略 停车 家用 热水器 洗澡 热水 店家 沟通 导致 没法 续住 民宿 失落 房间 价格 酒店 民宿 价格 不错 民宿
如果对住的没太大要求的，整体还行。除了一点，家里老人家都说浴室没有门，水都溅出来了这一点不太好，且没有防滑垫，这个要改进！,对住 整体 老人家 浴室 不太好 防滑垫 改进
住房感受： 优点：楼层高，安静，交通方便，生活便利，有洗衣机，也有晾衣区（就是飘窗）。 缺点： 1、洗手间没有干湿分离，这点无论老板怎么解释说条件有限无法实现，但在没订房之前我已经在携程咨询过店家客服说是有的，导致几天下来洗澡总是小心翼翼缩在一个角落洗，生怕洒太多水出来整个洗手间都浸水！ 2、阿姨打扫房间不到位，我们提前到达进来放行李，确实有阿姨在收拾上位房客走后的房间，但当我们下午真正入住的时候，赤脚一踩上地板就感觉不对劲，沙发底下根本就没清理，瓜子开心果都有，目光所及的地板也是很多头发灰尘，无法忍受，最终只能自己扫一遍拖一遍。（老板说我标准高也好，有点强迫症也好，但我觉得无论是酒店还是民宿，卫生是基本要求！） 3、楼梯的感应灯自己开开关关的，太吓人了。（客服说前面没有房客反馈过，看来所有倒霉事都让我遇上了。） 4、住过好多款的民宿，二层能有多高我们心里有数，并没有多大期待，但床靠着窗，窗边又好大一条梁，睡靠窗那个位置坐起来就差点撞到头这个是想不到的，不靠窗睡也不行，这几天长沙刚好降温，空调就装在梁上，一开就对着另外半边床直吹…… 总体来说，这个盲盒开得太堵心了。,住房 感受 优点 楼层 交通 便利 洗衣机 晾衣 缺点 洗手间 干湿 分离 老板 解释 条件 有限 没订 携程 店家 客服 导致 洗澡 角落 生怕 洗手间 浸水 打扫 房间 到位 提前 到达 行李 确实 收拾 上位 房间 入住 赤脚 地板 感觉 清理 瓜子 开心果 目光 地板 头发 灰尘 只能 老板 标准 强迫症 酒店 民宿 卫生 楼梯 感应 吓人 客服 反馈 倒霉事 遇上 民宿 期待 靠窗 位置 差点 靠窗 不行 降温 空调 总体 盲盒 开得 堵心
酒店位置不错，是在公寓楼里，分布在各个楼层，不是体系管理的民宿，是私人的，所以在服务方面会略有不熟练，如果有停车、开票，订多件想在一层等需求，还有房门是密码锁，所以都需要提前加老板微信沟通。全程没有任何工作人员的，详细看详情页面，如果期待感是在商业民宿的程度上是会失望的。各有各的优势，因为这样的民宿优点就是绝对的自由，像租房子一样，年轻人会喜欢，年纪大点估计会觉得不大行。其他都很不错，没什么问题。,酒店 位置 不错 公寓楼 分布 楼层 体系 民宿 私人 略有 熟练 停车 开票 需求 房门 密码锁 提前 老板 沟通 全程 工作人员 详细 详情 页面 期待 商业 民宿 程度 失望 优势 民宿 优点 自由 租房子 年轻人 喜欢 不错
真的很不错 房间很安静 客服也很热情 4人出游也不会很拥挤 唯一不足就是热水器 哈哈哈 需要分开洗澡就没啥关系 长沙真的是来了还想来的城市,不错 房间 客服 热情 拥挤 热水器 分开 洗澡 关系 想来
交通便利，干净卫生，与图片一致。突然停水了也很快解决，回复也很及时。下次过来还是会订大梦！非常满意！入房时没照，这两张时退房时照的。,交通 便利 干净 卫生 图片 停水 解决 回复 会订 满意 没照 退房 时照
年初一住到年初四，地理位置很好，距离五一广场步行就可以，省去打车费，住的位置很安静，住的楼层也高，卫生也算可以，我们四个人住，挺温馨，唯一缺点就是隔音不太好，老板人很好,地理位置 距离 步行 省去 车费 位置 楼层 卫生 缺点 隔音 不太好 老板
超级棒，服务特别好，还会给你推荐吃的玩的，房间隔音也不错，值得推荐，主要服务态度真的让人太喜欢了，,推荐 房间 隔音 不错 值得 推荐 服务态度 喜欢
小姐姐服务十分赞，卫生环境也是不错的，就是隔音效果要是再好一点就完美了,卫生 环境 不错 隔音 效果 完美
是复式的，空间还是比较大，环境位置都很。 小孩也很喜欢住这里，车直接在地下停车场也很方便。叫外卖也方便，去五一广场，庙街也很方便，滴滴也很快,复式 空间 环境 位置 小孩 喜欢 停车场 叫外卖 滴滴
房间卫生干净，交通方便。离地铁站近，最重要离五一广场也很近，客服也很友好。,房间 卫生 干净 交通 地铁站 客服 友好
房间很干净，入住方便，设施齐全，夜晚很安静不吵闹嘈杂，总体感觉很喜欢。,房间 干净 入住 设施 吵闹 嘈杂 总体 感觉 喜欢
很温馨很舒服又漂亮，挺不错的，复式设计挺喜欢的，推荐 不会失望哟,舒服 漂亮 复式 喜欢 推荐 失望
位置，环境很好，卫生也做的不错，住的很舒服。,位置 环境 卫生 不错 舒服
民宿布置的很温馨，办理入住很方便，客服小姐姐服务好，很喜欢这种两层的住宿。房间热水和空调都很给力，还有洗衣机，交通方便地理位置优越。建议洗手池上方的板能做个防撞条，洗东西的时候就不会撞到脑袋了，总体很满意！,民宿 布置 办理 入住 客服 喜欢 住宿 房间 热水 空调 洗衣机 交通 地理位置 优越 建议 板能 脑袋 总体 满意
卫生很差   到处都有脚印  床单被罩很脏 智能穿衣服睡觉  体验感很差  超时还要多收费  那跟住酒店是一个价格了   那为什么要选择名宿呢    住过那么多名宿  这家给我的感觉真的很差  投影仪也是坏的  连拖鞋都是脏的,卫生 脚印 床单 被罩 很脏 智能 穿衣服 睡觉 体验 收费 跟住 酒店 价格 选择 名宿 名宿 感觉 投影仪 拖鞋
出行方便，挺满意,出行 满意
民宿不错，挺干净的,民宿 不错 干净
不错，舒适，设备齐全,不错 舒适
比较安静，距离五一广场、黄兴广场比较远，步行大概20分钟左右（步行过），打车的话都是起步价就到了。直接打出租车就可以了不用网上平台，距离太平街好像是挺近的，小伙伴去逛了我没去，环境不错的，可以住4个人，复式公寓，2张床在2楼，中间有个帘子隔开…感觉住2个人刚好，4个人有点拥挤，卫生间只有一个,距离 广场 步行 步行 打车 起步价 出租车 不用 平台 距离 好像 小伙伴 去逛 环境 不错 复式 公寓 帘子 隔开 感觉 拥挤 卫生间
这次旅行唯一觉得欣慰的就是订了一间民宿，干净，整理，温馨，给人带来家的感觉，离商圈也近，步行一段路就到了，老板很热情，服务也好，还介绍了长沙美食给我，下次过去绝对还订这家！,欣慰 民宿 干净 整理 带来 感觉 商圈 步行 老板 热情 介绍 美食 还订
忘记拍照了，房间很干净，一般的酒店都特吵，这家很安静，也不会催你退房，在一个高层小区里，一家四口住挺好的，除了厕所小点，其它都没毛病，推荐推荐,忘记 拍照 房间 干净 酒店 退房 高层 小区 厕所 小点 毛病 推荐 推荐
房间真的非常好跟照片一样，客服小姐姐也非常的有耐心人也好，推荐的景点还有美食太棒啦！订了一天体验特别好又续租了两天,房间 照片 客服 耐心 推荐 景点 美食 太棒 体验 续租
住宿环境很满意， 附近吃的特别多，我们晚上会在嗯，附近吃夜宵点外卖，然后回去看投影，很舒服，空调很给力哦,住宿 环境 满意 外卖 回去 投影 舒服 空调
第二回来了，非常棒的一次体验，房间里面非常干净，两张大床超赞，与老板娘沟通也非常愉快，再来长沙的话首选还是它！！,回来 体验 房间 干净 大床 超赞 老板娘 沟通 愉快 首选
环境：民宿在大楼里还是很干净，地理位子也便捷离地铁口步行五分钟。 卫生：房间里面还是很干净。 服务：联系老板都有及时回应，给一些推荐。,环境 民宿 大楼 干净 地理 位子 便捷 地铁口 步行 卫生 房间 干净 老板 回应 推荐
住的超级舒服！民宿里面备的东西也全！而且东西也都非常新！还好用！离那里都近，还不吵！楼下有24小时超市！贼方便！太好了～,舒服 民宿 还好 小时 超市
酒店靠近芙蓉广场站，离五一广场和米粉街都超近，出行很方便！！房间还是挺大的，视野也不错，性价比很高，住了三晚，整体感觉很不错,酒店 靠近 芙蓉 广场 超近 出行 房间 挺大 视野 不错 性价比 整体 感觉 不错
老板人很好，有问题都是第一时间回短信解答。入住全程无接触，房间卫生还是蛮干净的。没有踩坑的一次住宿,老板 时间 短信 解答 入住 接触 房间 卫生 干净 住宿
房间很干净整洁 地理位置也很优秀 去橘子洲、岳麓山都很近 吃东西也很方便 房东小姐姐也很热心 非常满意！,房间 干净 整洁 地理位置 优秀 房东 热心 满意
房间干净整洁、交通比较便利，客服态度很好！ 唯一小小瑕疵就是卫生间有一点小，只能容纳一个人洗漱，其他完美！,房间 干净 整洁 交通 便利 客服 态度 瑕疵 卫生间 只能 洗漱 完美
位置不错，打车去哪都方便，房间和大厦都很新挺干净，不过楼上两张床没有隔断，适合闺蜜朋友出行,位置 不错 打车 房间 大厦 干净 两张床 隔断 适合 闺蜜 朋友 出行
酒店风格很喜欢，从墙上的装饰品能看出老板有独特的审美，住的蛮舒服，就是可能因为楼层高水龙头的水有点小。,酒店 风格 喜欢 装饰品 老板 独特 舒服 楼层 水龙头
房东很友好，房间干净，步行到地铁站几百米距离，可以走路到五一广场，1公里左右，出行方便,房东 友好 房间 干净 步行 地铁站 距离 走路 出行
自助式入住，新颖又快捷，酒店地址距离市中心非常近，出行方便，酒店干净设施齐全，入住很愉快,入住 新颖 快捷 酒店 地址 距离 市中心 出行 酒店 干净 设施 入住 愉快
环境不错，设施齐全，就是没人打扫卫生，住了三天，里面常用物品，准备的不多,环境 不错 设施 物品
干净整洁，设备完善，带小朋友入住，小朋友非常喜欢。入住方便，很满意,干净 整洁 完善 小朋友 入住 小朋友 喜欢 入住 满意
地理位置很棒，出门步行就可以到，周边饮食也很多。尤其管家很热情，帮忙处理行李寄存的问题。特别适合朋友、家人外出旅行住宿，私密性也很好，办理入住也很方便快捷。 设施：不错 卫生：不错 环境：不错 服务：很棒,地理位置 很棒 出门 步行 饮食 管家 热情 帮忙 行李 寄存 适合 朋友 家人 外出 住宿 私密性 办理 入住 设施 不错 卫生 不错 环境 不错 很棒
位置不错，离市中心近，是无接触的旅店，比较自由。装修比较现代，就是浴室小了点,位置 不错 市中心 接触 旅店 自由 装修 浴室
房间比想象中好很多！很大也很干净！下次有机会再来！,房间 想象 很大 干净 机会
位置离五一广场很近，交通便利，就是房间空间偏小,位置 交通 便利 房间 空间
和朋友出行，很好的民宿，离地铁站很近，去哪都很方便,朋友 出行 很好 民宿 地铁站
酒店服务很好位置很不错干净卫生行李免费寄送到高铁南站,酒店 位置 不错 干净 卫生 行李 送到 高铁
挺棒的，环境也很舒适，位置也在市中心，出行很方便,挺棒 环境 舒适 位置 市中心 出行
位置很不错，去黄兴路步行街，国金中心，坡子街都很近,位置 不错 步行街 国金 中心 坡子
卫生什么的都还可以，就是住两个人差不多，人多有点挤,卫生
很不错，比想象中更好，就是能提供一次性拖鞋就好了,不错 想象 提供 拖鞋
住得比较满意，酒店挺干净，也靠近五一广场,酒店 干净 靠近
其实真的很小一间，但是照片拍的很大。,很小 照片 很大
非常好！老板人也好！！下次还来！！！，,老板
跟照片和想象会有非常大的出入，慎选,照片 想象 出入 慎选
自主入住，有种归家的感觉，里面设施应有尽有,自主 入住 归家 感觉 设施
酒店很干净，住着也很舒适，环境也不错,酒店 干净 舒适 环境 不错
设施很足 样样齐全 有种在家住的感觉,设施 很足 样样 家住 感觉
环境还可以，房间设施比较齐全，值得入住,环境 房间 设施 值得 入住
非常棒，房间干净，位置方便，老板热情。,房间 干净 位置 老板 热情
环境好，离五一广场近，老板人也好,环境 老板
干净卫生，环境好，入住便捷，,干净 卫生 环境 入住 便捷
非常好的公寓，适合家庭游,公寓 适合 家庭
值得推荐的民宿，交通方便。,值得 推荐 民宿 交通
挺好的 商家很耐心 房间也很漂亮,商家 耐心 房间 很漂亮
设施：很齐全，而且投影很好,设施 投影
老板很热情，介绍了许多美食,老板 热情 介绍 美食
感觉住宿体验非常好！,感觉 住宿 体验
很多电器都是坏的,电器
很满意，服务很好。,满意
非常满意的一次旅行,满意
房间干净整洁,房间 干净 整洁
非常不错！,不错
服务好热情,热情
老板很热情,老板 热情
环境还可以,环境
很棒的一家民宿！楼下是步行街，晚上在阳台喝着小酒看着风景很是惬意。小哥哥给我们推荐了长沙几家好吃的店，从烧烤粉面到正餐完全没有踩雷！去吃饭一定一定要提前扫码排队，越早越好！等位八个小时也是没谁了！下次去一定要跟他们家的猫猫店员好好沟通一下感情！,很棒 民宿 步行街 阳台 小酒 看着 风景 惬意 推荐 好吃 烧烤 粉面 正餐 吃饭 提前 扫码 排队 等位 小时 猫猫 店员 沟通 感情
有一说一，老板服务态度真的绝啊！！！真的好！！！我住这么多酒店，这是老板服务态度最好的一次，事无巨细啥都能帮忙，楼下大厅还有个投影，还能撸猫，直接就是和小姐妹一起看三体哈哈哈哈哈，房间卫生也挺不错的，反正我觉得挺赞的这一家，下次来长沙应该还会考虑住他们家吧,老板 服务态度 酒店 老板 服务态度 帮忙 大厅 投影 撸猫 姐妹 三体 房间 卫生 挺赞
订了一个榻榻米房，老板帮我免费升级成了广济桥，还挺惊喜的。房间的卫生很干净，而且用的是智能家电。民宿是在民俗街里面，附近有很多小酒馆和小饭馆，老板还很热情的推荐了长沙好吃的几家店。而且可以走路到步行街和，超级文和友，别提多方便了。下次来长沙吃小龙虾还订这里,榻榻米 老板 惊喜 房间 卫生 干净 智能 民宿 民俗 小酒馆 饭馆 老板 热情 推荐 好吃 走路 步行街 文和友 还订
房间很安静，在都正街里，里面好多小酒馆，很古风，位置也很好，去哪里都挺近的，前台也特别好，还帮着拿行李，发了很多攻略，房间很干净，智能语音哒～楼下有烘干机～长沙很好，就是出来玩太累了，大家一定要准备舒服的鞋子！带好雨伞，一直在下雨，蒙蒙细雨，不过下雨也不冷，不错哒，推荐大家～,房间 正街 小酒馆 古风 位置 前台 行李 攻略 房间 干净 智能 语音 烘干机 舒服 鞋子 雨伞 下雨 下雨 不冷 不错 推荐
店家服务很热心，日式风格装修还带有智能化系统，关键民宿地理位置超级好，就在市中心黄兴广场旁边的一条古街里，入住的那天还敢上了综艺节目来古街录制，体验感直接拉满~,店家 热心 日式 风格 装修 带有 系统 关键 民宿 地理位置 市中心 广场 入住 录制 体验
"老板的服务很好,环境不错,附近有好子多好吃的,而且周边交通方便!猫咪好乖,胖胖的好可爱。下次次再去长沙还会选这里住!",老板 环境 不错 好子 好吃 交通 猫咪 可爱
设施齐全先进 房间干净明亮 环境幽雅 服务很好 拍了一些街景 我选称为长沙最好的一条街 比什么五一广场太平街好了不止一点 这才是旅游人真正该来的地方,设施 先进 房间 干净 明亮 环境 幽雅 街景 称为 一条街 地方
步行几分钟就到步行街 地铁站。方便。楼下也很多小酒馆。古色古香。   来旅游的首选住宿。   最主要这周边的邻居都喜欢宠物哦,步行 步行街 地铁站 小酒馆 古色古香 首选 住宿 邻居 喜欢 宠物
这家民宿的卫生做的非常好 楼下还有胖猫咪激情揽客，老板很热情，有一种“小隐隐于野，大隐隐于市”的感觉，很好的一次入住体验。,民宿 卫生 猫咪 激情 揽客 老板 热情 感觉 很好 入住 体验
预定的榻榻米房，床很大感觉可以睡得下三个人，房间设计也很好看，住的很舒服，老板很热情服务很好，还有可爱的大白猫,预定 榻榻米 很大 感觉 房间 好看 舒服 老板 可爱 白猫
地理位置优越，去各网红打卡点方便，双人床够大软硬适中，智能化家电，卫生干净,地理位置 优越 打卡 软硬 适中 卫生 干净
位置不错离黄兴广场步行十分钟就到了，晚上也不会吵很安静，如果晚上有时间可以去这条街上的酒吧坐一坐，很有氛围感,位置 不错 广场 步行 时间 酒吧 氛围
酒店环境很舒服，房间安逸，都是智能家电。位置也挺好的，就在步行街附近，周边也挺热闹的，吃夜宵啥都很方便。,酒店 环境 舒服 房间 智能 位置 挺好 步行街 热闹
干净卫生 ，很舒服 ，老板很好很温柔，楼下有挺多吃的和小酒馆的，玩回来在小酒馆坐一下听听民谣很惬意,干净 卫生 舒服 老板 温柔 小酒馆 回来 小酒馆 听听 民谣 惬意
店里环境和房间卫生都特别不错 地理位置也很好 服务什么都特别到位 总结来说就是非常满意,店里 环境 房间 卫生 不错 地理位置 到位 满意
漂亮的阳台房度过了很愉快的两天,漂亮 阳台 度过 愉快
在长沙的一条老街里，小而美且具有独特气质的民宿，很幸运在来的第一夜看到了雪。,老街 独特 气质 民宿 幸运
环境不错 设施智能 如有下次 还能再来,环境 不错 设施 智能
很不错的一家民宿！值得推荐！,不错 民宿 值得 推荐
很容易就找到啦 我们比预计入住时间早到了挺多 也当场就给我们办理入住了 还给我们免费升房 但是我们比较想住榻榻米 所以就没换 还给我们发了好多攻略 晚上炒鸡安静很好睡觉 楼下也挺多吃的连续吃了两天的周记 走路几分钟就是黄兴广场再往前走就到去哪玩都超方便,入住 时间 办理 入住 还给 升房 榻榻米 没换 还给 攻略 睡觉 连续 周记 走路 广场 往前走
不错的民宿，所在巷子晚上有吃有喝，小爱同学很好用,不错 民宿 巷子 同学
卫生:被套上还有血印，被芯也是脏的不行，卫生间洗漱台边上都是黄黑的污垢，自己带的洗漱用品都不敢放上面 环境：小，超级小，详情写的20平方，不知道怎么敢写的，上楼的楼梯超级窄且陡，隔音超级差，楼下经常有很大的噪音，凌晨一两点都有，大清早六七点又开始吵，楼梯间路过的声音也听得一清二楚，楼上的声音也是。 设施：空调很久才能制热，声音也超级大，热水要放很久，久到我都以为凌晨不提供热水了，幸好后面还是放出热水了。 服务：民宿的服务还行。,卫生 被套 血印 不行 卫生间 洗漱 污垢 洗漱 用品 环境 详情 敢写 楼梯 隔音 很大 噪音 楼梯间 路过 声音 声音 设施 空调 制热 声音 热水 要放 提供 热水 幸好 放出 热水 民宿
老板人很热情。！推荐了不少好吃的。 离黄兴路步行街蛮近。 全屋语音智能系统很方便，呼唤小爱同学即可。 有一只很可爱的大白猫。 就是感觉房间稍微有点小，不过我订的时候也没看是多少平的。 很安静，适合出来玩儿的时候住。,老板 热情 推荐 好吃 步行街 全屋 语音 智能 系统 同学 可爱 白猫 感觉 房间 适合 玩儿
住过这么多酒店，这是我见过最好的，全智能的，对于我这种懒的人来说真的太合适了，全程小爱同学，离步行街也超近，步行几分钟就到了，周边美食超多，位置超可观，推荐推荐推荐！！！！,酒店 全智能 合适 全程 同学 步行街 超近 步行 美食 超多 位置 可观 推荐 推荐 推荐
酒店地理位置非常好，周围很多吃的，老板也会主动给我推荐小吃和湘菜，都很便宜好吃，房间设备也很智能，因为在古街里不临街，所以很安静，非常棒,酒店 地理位置 老板 推荐 小吃 湘菜 便宜 好吃 房间 智能
名宿环境还可以，在都正街里面，都正街店面很多，可以逛逛，离步行街也不是很远走路十分钟，离各个景点都不是很远，宠物友好，我带狗狗自驾，停车不免费自费。,名宿 环境 正街 正街 店面 逛逛 步行街 走路 景点 宠物 友好 狗狗 自驾 停车
位置很合适，去黄兴广场很方便。然后在都正街里面，晚上出门去旁边吃个盟重烧烤什么的很爽。附近小酒馆很多很喜欢，氛围很好。,位置 合适 广场 正街 出门 盟重 烧烤 很爽 小酒馆 喜欢 氛围
和朋友一起来的长沙玩，一眼就看中了这家店，原木风的房间干净卫生，还有智能小爱同学，住的很舒服，老板服务很周到，有需要问老板就好，值得推荐！,朋友 看中 原木 房间 干净 卫生 智能 同学 舒服 老板 周到 老板 值得 推荐
服务：非常棒，老板很热情 设施：很智能，一个小爱同学根本不用动手就能打开电器 环境：出行很方便，楼下很多好玩好次的,老板 热情 设施 智能 同学 不用 动手 打开 电器 环境 出行 好玩
房间卫生很干净，全屋小爱同学智能方便，老板小哥很热心会帮忙拿行李，还介绍当地特色美食，还有喵桑可以撸，推荐。,房间 卫生 干净 全屋 同学 智能 老板 小哥 热心 帮忙 行李 介绍 特色美食 推荐
在都正街里，一个非常好看的小巷子，住的很舒服景色很美，交通也方便，下次来长沙还住这家,正街 好看 舒服 景色 交通
老板人很，推荐的店味道也都很给力！很棒的入住体验，下次来还会选这家的！,老板 推荐 味道 很棒 入住 体验
老板很热心。服务态度没得说。地理位置很好。去热门景点吃饭打卡都很近,老板 热心 服务态度 地理位置 热门 景点 吃饭 打卡
老板人真好，我们打麻将人不够老板还陪我们打麻将，一晚上输了八九百，房费都省了,老板 打麻将 老板 打麻将 房费
附近挺安静的，但是隔离不太好，店家小哥哥挺负责的，还帮我们拿行李,隔离 不太好 店家 负责 行李
房间很好，地理位置也不错，晚上出去玩很方便，老板也很热情。,房间 地理位置 不错 出去玩 老板 热情
很不错，老板很好人，还给发攻略。智能家居会自己开灯，不喜欢可以让关。,不错 老板 好人 还给 攻略 开灯 喜欢
位置超级好 房间也很干净 特别是老板服务态度无敌好！,位置 房间 干净 老板 服务态度 无敌
民宿的老街道风景不错，还有很多好吃的。退房之后还能免费寄存行李。,民宿 街道 风景 不错 好吃 退房 寄存 行李
卫生环境都不错，老板也很友善，晚上也安静，五星好评！,卫生 环境 不错 老板 友善 好评
环境和卫生都不错，楼下也很多吃的，不错哦！！！,环境 卫生 不错 不错
在都正街上，位置很好找，房间也蛮干净的。,位置 好找 房间 干净
各方面都不错，楼下的小巷子逛着很舒服,不错 舒服
